ID;Leeftijd;Marges;RegioS;ErvarenGezondheidGoedZeerGoed_1;EenOfMeerLangdurigeAandoeningen_2;EenOfMeerLichamelijkeBeperkingen_3;BeperkingInHoren_4;BeperkingInZien_5;BeperkingInBewegen_6;Ondergewicht_7;NormaalGewicht_8;Overgewicht_9;MatigOvergewicht_10;ErnstigOvergewichtObesitas_11;VoldoetAanBeweegrichtlijn_12;WekelijksSporter_13;Mantelzorger_14;ZwaarBelasteMantelzorgers_15;UrenMantelzorgPerWeek_16;Rokers_17;VoldoetAanRichtlijnAlcoholgebruik_18;ZwareDrinker_19;OvermatigDrinker_20
10;Totaal;Waarde;Gelderland (PV);79.4;33.3;14.1;4.4;4.9;8.5;1.6;47.9;50.5;35.1;15.4;51.6;50.6;14.5;13.8;11.1;16.7;43.0;8.5;6.2
11;Totaal;Waarde;Utrecht (PV);81.1;30.1;12.0;3.9;4.3;7.3;1.8;53.9;44.3;32.1;12.2;;;13.2;13.1;11.3;15.1;42.3;7.3;5.7
12;Totaal;Waarde;Noord-Holland (PV);80.0;30.6;13.4;3.8;5.4;8.4;2.1;52.7;45.3;32.5;12.7;53.8;54.9;12.1;14.9;12.3;17.4;40.5;9.2;6.8
13;Totaal;Waarde;Zuid-Holland (PV);78.7;32.1;15.2;4.6;5.9;9.8;1.8;48.6;49.7;34.5;15.1;47.3;49.9;12.6;14.1;12.2;16.4;47.9;7.2;5.5
14;Totaal;Waarde;Zeeland (PV);76.9;33.7;15.4;4.8;5.2;9.5;1.5;46.6;51.9;37.4;14.5;50.5;43.2;15.8;11.2;10.6;16.1;48.6;6.5;5.7
15;Totaal;Waarde;Noord-Brabant (PV);78.8;31.5;14.8;4.7;5.6;9.1;1.6;47.7;50.7;35.5;15.2;49.3;53.5;14.2;12.8;11.2;15.2;40.6;9.1;6.2
16;Totaal;Waarde;Limburg (PV);74.4;36.9;18.3;5.8;6.5;11.6;1.7;45.0;53.3;36.5;16.8;47.9;46.6;15.9;13.9;10.9;18.2;43.4;8.0;5.9
17;Totaal;Waarde;Aa en Hunze;83.1;34.9;13.8;5.1;3.8;8.2;0.7;50.1;49.2;34.3;14.9;47.3;48.3;16.1;17.1;9.3;14.3;40.6;7.1;5.4
18;Totaal;Waarde;Aalsmeer;82.7;27.6;10.2;2.4;3.6;5.8;1.2;50.3;48.5;36.4;12.1;48.1;58.8;12.4;13.0;14.3;13.0;40.4;6.9;5.0
19;Totaal;Waarde;Aalten;79.1;31.0;15.1;5.1;5.7;8.3;1.4;49.2;49.4;33.8;15.6;56.2;51.5;17.7;6.7;7.6;14.7;41.3;11.7;6.6
20;Totaal;Waarde;Achtkarspelen;79.1;34.6;16.0;4.9;5.7;11.4;0.8;42.6;56.6;40.0;16.6;48.7;40.7;13.5;5.7;7.1;19.8;40.4;11.1;7.9
21;Totaal;Waarde;Alblasserdam;77.0;34.3;17.1;5.5;7.0;11.5;2.0;41.7;56.3;38.8;17.5;42.9;40.0;15.7;12.2;13.7;14.9;55.8;5.9;5.2
22;Totaal;Waarde;Albrandswaard;80.6;31.2;11.9;3.6;4.5;6.2;1.8;43.9;54.3;40.0;14.4;46.7;57.3;12.4;11.5;9.8;12.0;44.9;5.7;3.5
23;Totaal;Waarde;Alkmaar;79.4;34.0;12.8;4.0;4.6;8.0;2.3;50.2;47.4;33.2;14.3;57.0;54.1;12.2;12.2;7.7;15.7;40.5;9.3;6.8
24;Totaal;Waarde;Almelo;77.1;33.1;20.2;6.2;7.9;12.9;1.7;42.1;56.3;37.8;18.5;49.1;41.3;14.6;12.0;11.2;21.8;46.0;8.3;6.8
25;Totaal;Waarde;Almere;76.4;32.6;13.6;3.2;5.3;8.0;2.2;43.3;54.5;39.6;14.8;43.4;47.1;12.0;17.8;15.2;16.3;54.3;5.5;4.0
26;Totaal;Waarde;Alphen aan den Rijn;80.1;34.1;12.6;4.0;4.9;7.1;1.3;48.3;50.4;36.5;13.9;48.6;49.6;13.0;13.5;11.8;16.0;44.4;6.9;6.3
27;Totaal;Waarde;Alphen-Chaam;82.5;27.4;10.9;3.6;3.9;5.4;1.6;50.4;48.1;37.1;11.0;50.7;50.6;16.6;11.7;7.7;9.7;35.7;10.6;8.9
28;Totaal;Waarde;Altena;81.1;31.3;11.5;3.7;4.5;6.7;2.4;42.7;54.8;39.0;15.8;44.6;44.3;16.0;9.9;7.7;14.3;50.4;6.7;4.9
29;Totaal;Waarde;Ameland;81.9;31.9;13.1;4.5;6.2;7.2;2.8;43.6;53.6;42.9;10.7;64.2;38.5;10.8;;;16.9;36.3;8.8;6.9
30;Totaal;Waarde;Amersfoort;80.7;30.5;11.2;3.2;3.9;6.7;1.9;54.3;43.8;31.8;12.0;;;12.4;10.4;9.9;14.7;42.7;5.8;4.2
31;Totaal;Waarde;Amstelveen;82.3;25.8;11.3;3.0;4.7;7.5;2.7;55.1;42.2;31.0;11.2;48.7;57.3;10.9;13.8;14.2;12.2;46.2;6.3;5.3
32;Totaal;Waarde;Amsterdam;79.3;28.7;14.9;4.3;6.7;9.4;2.7;58.1;39.3;28.1;11.2;56.9;58.6;9.4;16.1;13.2;21.8;40.5;11.2;7.1
33;Totaal;Waarde;Apeldoorn;79.2;34.4;14.2;4.7;4.2;9.4;2.0;47.1;51.0;34.2;16.7;48.7;49.4;14.4;15.5;10.9;16.0;47.1;7.6;5.5
34;Totaal;Waarde;Appingedam;72.8;35.5;20.1;4.1;5.8;15.3;1.5;38.1;60.4;38.9;21.6;44.5;36.7;12.9;;;18.4;52.9;7.6;6.4
35;Totaal;Waarde;Arnhem;80.2;31.8;15.5;4.3;6.4;8.7;1.1;54.3;44.6;30.9;13.7;53.8;53.1;12.6;18.2;13.6;21.3;43.4;9.4;7.4
36;Totaal;Waarde;Assen;78.8;34.7;13.6;4.5;5.4;8.3;0.5;46.8;52.7;37.1;15.6;50.1;45.3;14.4;11.0;10.5;16.3;49.1;5.0;4.3
37;Totaal;Waarde;Asten;78.4;31.6;15.6;4.9;7.0;7.6;3.2;52.8;43.9;31.7;12.2;48.7;55.6;19.4;13.7;9.4;13.6;36.3;9.9;9.1
38;Totaal;Waarde;Baarle-Nassau;74.7;31.7;15.3;4.0;4.5;10.4;0.8;46.2;53.1;34.2;18.8;48.5;45.2;17.1;13.2;14.0;14.3;41.3;10.5;6.6
39;Totaal;Waarde;Baarn;80.9;29.9;10.6;3.5;3.0;6.2;3.2;52.9;43.9;32.0;11.8;;;13.3;16.0;11.0;13.3;43.4;6.4;6.0
40;Totaal;Waarde;Barendrecht;83.6;32.4;11.7;3.0;4.4;7.3;1.3;47.6;51.0;35.6;15.4;40.2;51.7;12.7;18.1;15.5;14.2;49.6;4.7;4.0
41;Totaal;Waarde;Barneveld;84.2;29.1;13.7;5.1;4.3;7.9;2.7;47.9;49.4;35.5;14.0;50.9;46.8;15.2;16.7;12.2;15.7;47.2;7.5;5.9
42;Totaal;Waarde;Beek (L.);75.3;36.1;18.1;5.6;5.5;12.6;1.5;43.8;54.7;39.3;15.4;44.3;45.6;14.9;16.0;11.6;13.9;44.8;5.8;5.0
43;Totaal;Waarde;Beekdaelen;73.7;37.2;16.9;5.8;5.6;10.7;1.4;43.0;55.6;37.9;17.7;42.7;46.5;17.3;13.9;10.9;15.7;43.8;7.1;5.2
44;Totaal;Waarde;Beemster;84.2;31.2;10.9;3.1;3.4;6.4;1.7;53.8;44.5;34.8;9.7;51.7;53.0;12.5;8.0;9.3;11.4;37.9;5.9;4.8
45;Totaal;Waarde;Beesel;73.9;38.7;20.1;7.3;6.5;12.8;2.4;44.6;53.0;34.7;18.3;52.7;44.7;19.0;13.4;10.5;16.0;46.5;7.9;4.8
46;Totaal;Waarde;Berg en Dal;74.2;33.4;14.2;4.7;5.1;8.8;1.2;46.6;52.2;35.9;16.4;49.4;52.0;14.8;13.0;11.5;17.1;38.8;8.4;5.8
47;Totaal;Waarde;Bergeijk;80.3;29.0;14.8;4.7;5.6;7.1;2.7;44.0;53.2;37.6;15.6;47.8;51.2;16.6;15.3;11.3;12.5;36.2;10.2;6.7
48;Totaal;Waarde;Bergen (L.);74.8;37.7;16.3;6.1;5.7;8.8;1.7;43.6;54.7;36.8;17.8;49.9;42.5;16.6;12.0;6.9;18.1;40.0;10.3;6.7
49;Totaal;Waarde;Bergen (NH.);80.7;32.0;10.5;2.2;3.7;7.4;1.8;55.8;42.4;33.4;9.0;58.2;52.1;14.4;16.3;9.3;12.7;36.6;10.4;8.3
50;Totaal;Waarde;Bergen op Zoom;76.3;30.5;16.0;5.7;6.0;9.7;1.2;44.0;54.8;37.2;17.6;49.1;47.3;14.7;8.8;11.6;17.5;44.4;7.0;5.5
51;Totaal;Waarde;Berkelland;82.4;30.6;13.6;3.5;4.5;8.8;1.2;44.7;54.1;38.0;16.1;52.0;52.6;13.4;10.8;9.4;14.5;35.8;11.9;9.9
52;Totaal;Waarde;Bernheze;82.2;28.8;13.0;5.1;4.7;8.6;2.0;50.0;48.0;36.0;12.0;49.9;58.6;13.4;9.7;9.6;12.1;37.6;11.9;6.7
53;Totaal;Waarde;Best;79.9;31.7;13.2;3.9;5.4;9.0;1.0;46.6;52.4;36.6;15.8;47.8;56.4;16.1;14.1;12.3;10.3;38.9;8.8;5.8
54;Totaal;Waarde;Beuningen;74.1;35.7;11.3;3.7;4.0;6.5;1.5;45.4;53.1;38.2;14.8;48.1;53.3;14.9;19.5;12.1;16.4;36.7;7.5;6.2
55;Totaal;Waarde;Beverwijk;75.4;36.3;16.8;4.6;5.8;10.1;2.3;43.9;53.8;37.1;16.7;54.5;49.0;13.5;15.5;13.3;18.1;42.3;6.8;6.7
56;Totaal;Waarde;De Bilt;80.3;32.8;11.4;3.7;3.1;7.7;1.8;56.3;41.9;31.6;10.3;;;16.7;15.4;11.0;12.1;43.1;6.0;6.8
57;Totaal;Waarde;Bladel;81.3;27.6;12.3;3.9;3.3;7.6;1.9;47.2;50.9;36.6;14.4;53.2;52.2;14.2;11.1;9.5;12.3;34.8;12.2;7.7
58;Totaal;Waarde;Blaricum;82.4;33.1;12.4;3.1;3.9;7.7;3.1;57.2;39.7;29.1;10.5;49.3;53.7;14.3;19.3;;12.7;39.2;9.0;8.3
59;Totaal;Waarde;Bloemendaal;85.3;31.4;10.4;3.6;3.5;6.2;2.3;61.8;35.9;29.2;6.7;66.4;67.2;15.9;16.5;9.7;9.7;31.2;6.6;8.7
60;Totaal;Waarde;Bodegraven-Reeuwijk;84.1;30.6;12.0;4.7;3.9;8.0;1.3;49.4;49.4;35.6;13.7;47.8;50.0;14.0;9.2;8.7;13.1;43.5;6.2;5.4
61;Totaal;Waarde;Boekel;81.7;29.1;14.7;5.2;5.0;7.8;1.3;49.7;49.0;34.5;14.5;51.7;57.1;14.9;9.3;9.5;10.9;33.7;11.9;5.8
62;Totaal;Waarde;Borger-Odoorn;78.4;35.5;15.7;5.0;4.4;9.5;2.3;40.7;57.0;38.7;18.4;46.1;40.5;14.6;8.5;;15.6;47.6;5.6;5.6
63;Totaal;Waarde;Borne;84.0;27.8;13.2;5.2;4.6;8.6;1.3;45.6;53.1;39.4;13.7;55.1;54.4;16.9;14.5;7.5;14.6;37.5;8.6;7.7
64;Totaal;Waarde;Borsele;76.6;33.6;14.5;6.0;4.5;8.2;1.5;44.7;53.9;37.9;16.0;44.8;41.7;18.9;10.6;9.4;15.7;50.2;7.2;6.8
65;Totaal;Waarde;Boxmeer;79.9;30.5;13.2;4.3;4.6;8.9;0.8;51.0;48.2;34.8;13.4;53.3;57.6;14.9;16.8;14.4;12.0;36.9;11.5;7.7
66;Totaal;Waarde;Boxtel;79.8;28.5;13.9;5.7;5.0;8.1;0.8;49.3;49.9;35.9;14.0;55.1;55.8;15.0;11.9;9.0;16.4;38.6;9.2;6.7
67;Totaal;Waarde;Breda;79.0;30.1;14.7;4.8;6.0;8.9;2.1;51.4;46.5;33.6;12.9;50.0;57.7;13.5;13.8;12.3;17.5;38.7;9.4;6.5
68;Totaal;Waarde;Brielle;81.3;30.4;13.3;4.4;3.5;8.4;1.0;47.0;51.9;35.7;16.3;45.3;49.2;13.4;9.4;;14.9;41.0;7.5;5.4
69;Totaal;Waarde;Bronckhorst;81.1;31.3;11.2;3.5;2.8;6.9;0.9;45.9;53.1;38.0;15.1;52.3;50.9;17.1;9.3;8.6;13.5;39.1;8.7;6.8
70;Totaal;Waarde;Brummen;80.2;32.8;15.6;5.8;3.8;10.7;1.4;42.2;56.4;36.9;19.5;51.2;47.3;16.3;14.1;10.2;15.0;43.0;8.3;6.4
71;Totaal;Waarde;Brunssum;69.8;44.9;23.5;7.1;8.1;16.0;1.9;39.1;59.1;37.7;21.4;39.2;40.3;17.1;16.1;10.4;19.9;49.0;6.1;5.1
72;Totaal;Waarde;Bunnik;84.5;31.6;9.7;2.4;4.2;5.3;1.2;57.5;41.3;31.8;9.5;;;13.9;17.6;8.7;9.7;44.6;5.7;5.6
73;Totaal;Waarde;Bunschoten;81.4;29.4;14.8;4.2;4.9;8.9;1.0;50.9;48.1;33.3;14.7;;;13.8;11.1;12.4;15.2;37.0;9.2;6.2
74;Totaal;Waarde;Buren;78.2;32.9;11.8;4.7;3.9;6.3;0.8;44.7;54.5;38.7;15.9;40.0;45.3;17.3;12.7;11.5;18.6;46.6;7.0;5.2
75;Totaal;Waarde;Capelle aan den IJssel;75.8;35.3;13.7;3.6;4.6;10.0;2.0;44.4;53.6;36.3;17.2;42.5;50.3;11.7;10.9;14.5;16.3;51.9;5.1;5.0
76;Totaal;Waarde;Castricum;83.5;30.2;10.8;2.7;3.9;6.9;2.5;56.2;41.3;32.3;9.0;57.5;62.3;15.2;10.4;9.4;10.8;35.8;10.3;8.2
77;Totaal;Waarde;Coevorden;76.5;34.5;17.0;5.2;5.2;10.3;1.4;39.1;59.4;41.2;18.2;49.5;44.2;14.1;14.4;12.2;17.9;38.0;8.9;7.4
78;Totaal;Waarde;Cranendonck;77.7;31.1;13.4;3.9;6.3;7.0;2.0;49.1;48.9;36.7;12.2;51.0;52.7;14.0;8.2;10.3;13.3;38.2;11.5;9.3
79;Totaal;Waarde;Cuijk;77.8;32.7;18.2;6.3;7.7;10.1;0.8;48.6;50.6;34.2;16.4;52.3;50.7;14.1;13.4;13.1;12.2;41.0;6.9;5.0
80;Totaal;Waarde;Culemborg;77.2;30.7;12.5;4.9;4.6;7.2;1.8;50.1;48.1;33.6;14.5;52.0;50.2;11.0;24.1;16.1;13.1;47.0;7.2;4.9
81;Totaal;Waarde;Dalfsen;85.9;28.4;12.2;4.5;3.5;7.0;1.6;48.5;49.9;35.5;14.4;51.5;51.2;17.1;11.3;7.2;12.5;38.4;10.0;6.5
82;Totaal;Waarde;Dantumadiel;77.6;35.2;17.7;6.0;6.4;11.3;1.3;41.6;57.2;40.9;16.2;46.2;38.9;14.7;7.3;9.5;15.2;41.9;7.4;5.9
83;Totaal;Waarde;Delft;79.7;29.6;10.8;2.8;4.3;7.4;1.9;58.5;39.6;28.2;11.3;54.1;58.3;10.5;15.8;11.9;15.0;42.4;9.7;6.7
84;Totaal;Waarde;Delfzijl;77.6;34.5;16.4;4.5;5.9;12.4;0.9;40.5;58.5;35.8;22.8;40.9;36.0;14.0;13.3;11.5;19.5;48.3;6.2;4.4
85;Totaal;Waarde;Deurne;78.5;30.8;15.6;4.7;6.7;9.2;1.3;43.9;54.8;39.7;15.1;52.0;52.8;15.9;9.0;12.2;13.5;36.4;12.0;7.3
86;Totaal;Waarde;Deventer;78.1;32.7;13.5;4.2;6.2;8.2;0.9;49.9;49.2;36.0;13.2;51.4;51.1;12.6;19.1;11.0;19.5;41.9;6.9;4.8
87;Totaal;Waarde;Diemen;81.9;27.4;12.1;2.9;5.9;7.0;3.5;54.4;42.1;30.8;11.3;48.9;56.7;10.2;24.4;16.2;16.9;43.9;9.2;5.8
88;Totaal;Waarde;Dinkelland;83.6;24.9;12.0;3.8;4.1;7.2;0.4;47.4;52.2;40.2;12.0;56.1;57.7;16.8;8.5;6.4;15.8;30.7;18.0;12.1
89;Totaal;Waarde;Doesburg;73.9;40.7;18.0;3.8;6.4;10.5;0.9;42.3;56.8;40.5;16.3;49.7;45.6;16.8;16.5;12.1;19.2;42.4;9.4;6.1
90;Totaal;Waarde;Doetinchem;80.1;33.9;13.6;4.1;5.2;8.2;2.4;45.6;52.0;35.9;16.1;54.8;52.7;16.6;10.3;10.4;14.6;40.7;9.2;6.1
91;Totaal;Waarde;Dongen;82.0;30.9;14.4;4.6;3.5;8.9;1.3;44.0;54.6;36.1;18.5;47.3;56.0;14.8;5.8;8.5;14.1;39.3;8.9;4.7
92;Totaal;Waarde;Dordrecht;76.7;34.8;16.0;4.7;5.6;10.2;2.0;45.0;52.9;34.9;18.0;48.2;47.4;14.8;13.1;13.4;15.7;52.1;6.8;5.3
93;Totaal;Waarde;Drechterland;82.0;28.9;10.4;3.0;4.1;5.8;1.2;53.7;45.1;32.9;12.2;55.7;55.9;12.2;9.8;8.9;12.5;36.3;9.3;6.2
94;Totaal;Waarde;Drimmelen;77.9;32.0;13.5;5.7;4.1;7.3;1.0;45.4;53.6;36.7;17.0;44.8;49.1;16.8;8.0;12.3;15.2;35.4;10.5;7.9
95;Totaal;Waarde;Dronten;82.2;32.1;13.4;4.7;4.1;7.8;1.6;48.2;50.2;34.9;15.3;50.4;46.6;14.6;16.5;12.7;14.3;45.4;7.2;5.5
96;Totaal;Waarde;Druten;74.4;33.1;14.7;4.5;4.9;9.7;1.1;39.6;59.3;42.7;16.6;45.2;46.6;14.7;8.8;11.4;15.9;42.0;8.0;4.7
97;Totaal;Waarde;Duiven;78.5;36.4;16.5;5.0;6.2;9.7;0.9;45.3;53.8;36.0;17.9;52.5;51.4;16.2;12.5;8.8;14.6;40.4;9.0;6.5
98;Totaal;Waarde;Echt-Susteren;72.7;40.0;19.5;6.0;7.3;11.9;1.4;42.1;56.5;37.7;18.8;45.7;45.1;18.1;16.1;12.6;16.0;47.1;5.9;4.9
99;Totaal;Waarde;Edam-Volendam;81.3;29.6;13.9;3.1;5.9;8.0;1.6;49.1;49.2;35.8;13.4;49.6;51.5;11.5;14.6;11.7;12.4;30.3;12.1;7.9
100;Totaal;Waarde;Ede;83.4;35.1;14.4;4.8;6.0;8.8;1.8;48.1;50.1;32.3;17.7;54.3;49.4;14.6;13.2;10.2;16.5;49.8;6.0;4.4
101;Totaal;Waarde;Eemnes;82.2;30.8;8.7;2.7;2.8;5.4;1.6;46.6;51.8;39.1;12.7;;;13.5;11.5;8.1;15.2;33.1;8.5;9.0
102;Totaal;Waarde;Eersel;80.4;29.8;14.2;5.4;5.8;6.8;0.7;52.6;46.7;34.4;12.3;51.3;53.8;16.4;14.9;10.0;10.4;39.0;8.2;6.5
103;Totaal;Waarde;Eijsden-Margraten;78.4;33.6;14.7;4.8;4.1;9.4;1.7;46.3;52.0;36.8;15.2;48.8;47.2;15.5;15.5;10.1;14.3;37.7;9.3;6.4
104;Totaal;Waarde;Eindhoven;77.9;30.9;14.2;4.5;5.7;8.6;1.8;53.9;44.3;30.9;13.3;52.6;54.5;10.7;16.1;12.5;17.4;42.1;8.5;5.8
105;Totaal;Waarde;Elburg;82.0;30.4;12.3;3.7;3.1;7.7;2.0;45.9;52.2;36.4;15.8;48.3;46.6;17.1;9.7;10.6;15.5;49.0;5.5;5.1
106;Totaal;Waarde;Emmen;78.4;35.0;16.2;5.7;6.0;11.0;1.9;41.4;56.7;37.5;19.2;46.7;36.4;10.9;;;18.2;43.4;7.0;4.9
107;Totaal;Waarde;Enkhuizen;77.2;30.8;14.6;2.3;6.1;8.6;1.7;48.5;49.7;33.7;16.1;49.5;47.2;11.7;;;16.6;40.7;7.5;6.4
108;Totaal;Waarde;Enschede;77.1;32.6;17.2;5.7;6.7;11.3;1.2;47.6;51.1;34.5;16.6;53.8;47.7;13.6;14.1;11.5;18.1;43.6;8.8;6.2
109;Totaal;Waarde;Epe;81.4;31.9;15.1;3.9;5.5;10.1;1.0;45.9;53.0;38.7;14.4;50.5;48.9;15.1;12.6;8.6;14.4;44.3;7.5;6.3
110;Totaal;Waarde;Ermelo;80.3;34.2;11.5;3.7;4.0;6.5;1.3;47.8;50.9;36.8;14.1;48.7;47.6;15.9;12.2;8.7;15.8;47.9;6.0;4.7
111;Totaal;Waarde;Etten-Leur;78.6;32.0;16.9;5.1;5.4;11.1;2.4;44.9;52.8;37.4;15.4;49.3;52.3;15.8;16.4;11.4;12.0;43.4;8.8;5.7
112;Totaal;Waarde;De Fryske Marren;82.4;30.7;12.4;2.8;3.6;7.9;2.5;47.8;49.6;36.1;13.5;53.8;50.9;12.8;11.5;11.8;13.9;39.1;8.9;7.6
113;Totaal;Waarde;Geertruidenberg;76.4;33.2;15.7;4.9;4.4;10.3;1.7;39.7;58.6;39.9;18.7;43.8;47.7;12.1;14.4;9.8;12.7;40.3;9.2;4.4
114;Totaal;Waarde;Geldrop-Mierlo;80.0;32.9;15.2;4.1;5.4;10.4;2.0;45.9;52.1;35.6;16.5;51.8;52.1;15.6;13.9;9.1;15.4;39.8;10.8;7.6
115;Totaal;Waarde;Gemert-Bakel;80.3;30.6;13.7;3.9;5.8;7.6;0.9;47.2;51.9;38.7;13.2;54.3;56.9;16.4;13.8;11.3;11.8;32.2;11.3;7.7
116;Totaal;Waarde;Gennep;77.9;36.0;17.1;5.9;6.7;9.0;1.3;47.7;51.0;37.9;13.1;53.0;48.0;18.0;22.2;8.9;14.9;45.8;7.1;4.5
117;Totaal;Waarde;Gilze en Rijen;77.7;30.8;14.5;5.1;5.8;9.1;1.3;44.9;53.8;38.5;15.3;50.7;55.5;13.8;9.8;16.2;11.6;42.6;6.5;5.9
118;Totaal;Waarde;Goeree-Overflakkee;80.8;31.0;13.0;3.7;3.9;8.4;0.7;44.2;55.0;37.5;17.5;42.2;41.4;14.1;14.3;7.8;13.1;52.1;6.8;5.3
119;Totaal;Waarde;Goes;78.3;34.3;14.2;4.2;4.9;9.6;1.5;49.4;49.1;36.9;12.2;52.9;46.4;14.8;14.3;8.5;15.6;52.0;6.5;5.0
120;Totaal;Waarde;Goirle;79.7;33.5;13.5;3.4;6.0;7.7;1.4;41.9;56.7;39.8;16.9;51.5;54.5;15.9;9.7;9.4;12.6;37.5;8.7;4.4
121;Totaal;Waarde;Gooise Meren;82.4;33.1;10.9;2.8;3.9;7.1;2.5;55.1;42.4;32.8;9.6;52.2;57.1;13.4;8.7;9.5;15.6;35.8;8.1;8.0
122;Totaal;Waarde;Gorinchem;79.0;33.0;16.8;4.7;5.5;10.9;0.9;47.9;51.2;34.7;16.5;46.0;47.1;12.0;18.0;13.2;17.2;51.8;5.6;4.0
123;Totaal;Waarde;Gouda;80.3;35.0;14.1;4.0;4.5;9.6;1.4;50.8;47.7;32.5;15.2;52.0;50.6;11.8;10.4;10.5;14.9;50.3;5.7;4.7
124;Totaal;Waarde;Grave;76.8;37.7;13.9;3.2;4.6;9.4;2.0;47.5;50.5;34.9;15.5;44.7;51.3;18.2;16.1;14.4;13.6;40.0;7.4;6.7
125;Totaal;Waarde;'s-Gravenhage (gemeente);76.0;31.6;19.3;6.1;8.5;12.5;2.2;50.7;47.1;32.5;14.6;49.9;50.3;11.4;14.0;11.9;19.1;51.0;6.9;4.7
126;Totaal;Waarde;Groningen (gemeente);81.1;28.1;10.3;2.8;4.1;6.3;2.5;58.3;39.2;28.3;11.0;57.8;56.3;10.3;10.5;10.3;22.8;36.2;10.7;7.6
127;Totaal;Waarde;Gulpen-Wittem;76.3;35.7;14.7;5.2;5.0;8.3;1.5;48.0;50.5;35.7;14.8;39.9;45.0;17.9;10.3;10.1;14.4;42.1;5.5;6.6
128;Totaal;Waarde;Haaksbergen;82.7;27.8;14.9;3.9;4.6;9.9;2.2;45.2;52.6;36.3;16.3;54.8;51.8;18.7;12.0;11.6;14.6;35.6;8.8;7.1
129;Totaal;Waarde;Haaren;82.1;29.0;11.5;3.0;4.0;6.7;0.9;48.3;50.8;36.6;14.2;52.0;60.1;15.9;7.2;7.4;13.0;35.2;11.2;7.8
130;Totaal;Waarde;Haarlem;81.6;29.4;12.6;3.7;5.2;8.0;1.9;55.5;42.6;30.9;11.7;60.2;57.5;13.6;11.3;12.1;15.2;37.9;7.6;6.4
131;Totaal;Waarde;Haarlemmermeer;81.5;30.5;12.0;3.5;4.4;7.2;1.6;49.5;48.9;35.1;13.8;52.6;55.2;14.1;14.3;10.8;13.6;44.3;6.6;5.7
132;Totaal;Waarde;Halderberge;79.1;30.2;14.4;3.2;4.3;9.7;0.9;43.6;55.6;36.2;19.3;45.6;53.6;13.7;4.9;10.3;14.3;48.6;5.5;5.5
133;Totaal;Waarde;Hardenberg;83.5;30.0;14.7;6.1;5.6;7.3;1.5;43.7;54.8;36.6;18.2;48.9;44.6;13.2;5.6;10.3;16.9;39.3;12.4;8.0
134;Totaal;Waarde;Harderwijk;77.9;37.3;13.5;4.7;3.9;8.4;0.8;45.2;54.0;36.8;17.2;50.9;49.1;13.0;6.6;10.6;14.9;49.3;6.3;4.1
