ID;Perioden;TotaalNieuwbouwEnBestaandeBouw_1;WoningenNieuwbouwEnBestaandeBouw_2;BedrijfsgebouwenNieuwbouwEnBestaand_3;TotaalWoningenEnBedrijfsgebouwen_4;Woningen_5;Bedrijfsgebouwen_6;TotaalHuurEnKoopwoningen_7;Huurwoningen_8;Koopwoningen_9;TotaalHuurEnKoopwoningen_10;Huurwoningen_11;Koopwoningen_12;TotaalHuurEnKoopwoningen_13;Huurwoningen_14;Koopwoningen_15;TotaalHuurEnKoopwoningen_16;Huurwoningen_17;Koopwoningen_18;TotaalHuurEnKoopwoningen_19;Huurwoningen_20;Koopwoningen_21;TotaalHuurEnKoopwoningen_22;Huurwoningen_23;Koopwoningen_24;TotaalHuurEnKoopwoningen_25;Huurwoningen_26;Koopwoningen_27;TotaalHuurEnKoopwoningen_28;Huurwoningen_29;Koopwoningen_30
18;1998 4e kwartaal;4458;2360;2098;3671;2177;1494;27798;5373;22425;36304;8262;28042;5438;3440;1998;7556;5594;1962;18735;1438;17297;23960;2276;21684;3625;495;3130;4788;392;4396
19;1998;15029;7520;7509;12148;6847;5300;87673;19452;68221;90516;21454;69062;19326;13911;5415;20390;15356;5034;54166;4258;49908;57184;5325;51859;14181;1283;12898;12942;773;12169
20;1999 1e kwartaal;3507;1638;1870;2810;1491;1319;17063;2869;14194;11864;3029;8835;2615;1742;873;2810;2130;680;11124;849;10275;7257;857;6400;3324;278;3046;1797;42;1755
21;1999 2e kwartaal;4086;2041;2045;3335;1840;1495;21534;3611;17923;18407;4019;14388;4477;2776;1701;4427;3258;1169;13673;713;12960;11649;745;10904;3384;122;3262;2331;16;2315
22;1999 3e kwartaal;4041;2133;1908;3320;1922;1397;22513;4326;18187;15915;3572;12343;4485;3194;1291;3389;2327;1062;14701;886;13815;9785;960;8825;3327;246;3081;2741;285;2456
23;1999 4e kwartaal;4409;2309;2100;3606;2102;1504;23091;3518;19573;32439;7031;25408;4081;2938;1143;7034;4880;2154;15406;374;15032;20288;1833;18455;3604;206;3398;5117;318;4799
24;1999;16044;8121;7923;13071;7355;5716;84201;14324;69877;78625;17651;60974;15658;10650;5008;17660;12595;5065;54904;2822;52082;48979;4395;44584;13639;852;12787;11986;661;11325
25;2000 1e kwartaal;4108;2044;2064;3353;1851;1502;20509;3958;16551;10835;2360;8475;4254;3055;1199;2278;1639;639;12982;688;12294;6504;611;5893;3273;215;3058;2053;110;1943
26;2000 2e kwartaal;4237;2106;2131;3438;1901;1537;20841;2918;17923;14377;3103;11274;3259;2278;981;2801;2066;735;14423;540;13883;9329;852;8477;3159;100;3059;2247;185;2062
27;2000 3e kwartaal;3920;1860;2060;3017;1625;1391;18303;3956;14347;14892;2800;12092;3770;2549;1221;2947;1934;1013;10957;971;9986;9265;764;8501;3576;436;3140;2680;102;2578
28;2000 4e kwartaal;4113;2017;2096;3357;1794;1563;18910;3479;15431;30546;6946;23600;3413;2186;1227;6537;4490;2047;12679;1035;11644;18739;1626;17113;2818;258;2560;5270;830;4440
29;2000;16379;8028;8351;13165;7170;5995;78563;14311;64252;70650;15209;55441;14696;10068;4628;14563;10129;4434;51041;3234;47807;43837;3853;39984;12826;1009;11817;12250;1227;11023
30;2001 1e kwartaal;4187;1905;2282;3244;1626;1618;15119;2652;12467;11133;2372;8761;2617;1876;741;2148;1616;532;9584;723;8861;7029;562;6467;2918;53;2865;1956;194;1762
31;2001 2e kwartaal;4093;1745;2349;3172;1443;1729;13451;2282;11169;15193;3286;11907;2163;1693;470;3203;2209;994;8700;534;8166;10130;996;9134;2588;55;2533;1860;81;1779
32;2001 3e kwartaal;4235;2027;2208;3328;1771;1557;17549;3393;14156;15931;2786;13145;3014;2183;831;2789;2013;776;12090;1120;10970;10898;746;10152;2445;90;2355;2244;27;2217
33;2001 4e kwartaal;4021;2061;1960;3210;1801;1410;16207;2781;13426;30701;5645;25056;3658;2139;1519;5585;3628;1957;10390;578;9812;20876;1759;19117;2159;64;2095;4240;258;3982
34;2001;16537;7738;8799;12955;6641;6313;62326;11108;51218;72958;14089;58869;11452;7891;3561;13725;9466;4259;40764;2955;37809;48933;4063;44870;10110;262;9848;10300;560;9740
35;2002 1e kwartaal;3270;1646;1624;2573;1420;1153;12281;2931;9350;8961;1747;7214;2613;2062;551;1690;1160;530;7678;715;6963;5768;506;5262;1990;154;1836;1503;81;1422
36;2002 2e kwartaal;3651;1975;1676;2809;1707;1102;14805;3461;11344;14989;2821;12168;3875;2842;1033;2888;1993;895;8830;544;8286;9776;587;9189;2100;75;2025;2325;241;2084
37;2002 3e kwartaal;3869;1986;1883;2955;1734;1221;15291;2603;12688;13390;2197;11193;2927;1732;1195;2552;1361;1191;10506;860;9646;8776;739;8037;1858;11;1847;2062;97;1965
38;2002 4e kwartaal;5290;3172;2119;4193;2838;1355;24806;4164;20642;29364;5889;23475;4641;2780;1861;5971;3735;2236;17903;1367;16536;19276;1958;17318;2262;17;2245;4117;196;3921
39;2002;16081;8779;7302;12530;7699;4831;67183;13159;54024;66704;12654;54050;14056;9416;4640;13101;8249;4852;44917;3486;41431;43596;3790;39806;8210;257;7953;10007;615;9392
40;2003 1e kwartaal;3958;2363;1595;3215;2106;1109;17106;2892;14214;7480;1312;6168;3429;2314;1115;1713;978;735;11693;567;11126;4405;314;4091;1984;11;1973;1362;20;1342
41;2003 2e kwartaal;3750;2315;1435;3055;2070;985;16463;4628;11835;11972;3037;8935;4342;3377;965;3045;2228;817;10499;1223;9276;7148;559;6589;1622;28;1594;1779;250;1529
42;2003 3e kwartaal;3590;2091;1499;2689;1807;883;15586;3593;11993;10889;2051;8838;4225;2653;1572;2000;1189;811;9929;938;8991;7084;752;6332;1432;2;1430;1805;109;1696
43;2003 4e kwartaal;5365;3226;2139;4373;2890;1483;23299;4735;18564;29288;6575;22713;6224;3802;2422;6607;4202;2405;15050;904;14146;19089;2068;17021;2025;29;1996;3592;305;3287
44;2003;16663;9995;6668;13332;8873;4459;72454;15848;56606;59629;12975;46654;18220;12146;6074;13365;8597;4768;47171;3632;43539;37726;3693;34033;7063;70;6993;8538;684;7854
45;2004 1e kwartaal;3699;1923;1776;2855;1681;1174;14085;3715;10370;8824;1460;7364;4363;3163;1200;1565;962;603;8270;546;7724;5966;395;5571;1452;6;1446;1293;103;1190
46;2004 2e kwartaal;4227;2353;1874;3352;2083;1269;16579;3527;13052;12213;2506;9707;4207;2685;1522;2577;1587;990;10537;766;9771;7917;812;7105;1835;76;1759;1719;107;1612
47;2004 3e kwartaal;4116;2178;1939;3069;1832;1237;14590;3298;11292;10569;1940;8629;3687;2490;1197;1757;1244;513;8724;692;8032;6935;561;6374;2179;116;2063;1877;135;1742
48;2004 4e kwartaal;6457;4097;2360;5267;3698;1569;30926;6760;24166;33708;8234;25474;8613;5376;3237;8710;5365;3345;19762;1271;18491;21415;2780;18635;2551;113;2438;3583;89;3494
49;2004;18500;10551;7948;14542;9293;5249;76180;17300;58880;65314;14140;51174;20870;13714;7156;14609;9158;5451;47293;3275;44018;42233;4548;37685;8017;311;7706;8472;434;8038
50;2005 1e kwartaal;3761;2239;1522;2978;1974;1004;17139;3818;13321;9500;2283;7217;5727;2828;2899;2327;1345;982;9852;982;8870;5749;816;4933;1560;8;1552;1424;122;1302
51;2005 2e kwartaal;4523;2714;1809;3492;2373;1119;19448;4397;15051;13811;3354;10457;4941;3322;1619;3444;2448;996;12503;1032;11471;8907;878;8029;2004;43;1961;1460;28;1432
52;2005 3e kwartaal;4282;2567;1715;3344;2198;1146;17899;3185;14714;12885;2613;10272;4307;2223;2084;3076;1846;1230;11652;954;10698;8270;758;7512;1940;8;1932;1539;9;1530
53;2005 4e kwartaal;6503;3950;2553;5137;3548;1589;28787;7237;21550;30820;8650;22170;7625;5079;2546;8146;5385;2761;18497;1970;16527;19601;2850;16751;2665;188;2477;3073;415;2658
54;2005;19069;11470;7599;14951;10093;4857;83273;18637;64636;67016;16900;50116;22600;13452;9148;16993;11024;5969;52504;4938;47566;42527;5302;37225;8169;247;7922;7496;574;6922
55;2006 1e kwartaal;5089;3210;1878;4192;2884;1309;23621;4880;18741;12417;3080;9337;5315;3091;2224;2846;1690;1156;15956;1579;14377;8046;1378;6668;2350;210;2140;1525;12;1513
56;2006 2e kwartaal;5509;3519;1990;4473;3172;1301;25536;5914;19622;13646;3466;10180;5402;3460;1942;3219;1902;1317;17932;2416;15516;9004;1423;7581;2202;38;2164;1423;141;1282
57;2006 3e kwartaal;5425;3074;2351;4355;2717;1638;21702;5665;16037;15281;4395;10886;4917;3711;1206;3885;2641;1244;14594;1874;12720;9626;1740;7886;2191;80;2111;1770;14;1756
58;2006 4e kwartaal;6224;3606;2618;5063;3210;1853;25588;7458;18130;31038;9275;21763;7344;5511;1833;9021;6422;2599;15798;1767;14031;18508;2584;15924;2446;180;2266;3509;269;3240
59;2006;22246;13409;8837;18084;11984;6100;96447;23917;72530;72382;20216;52166;22978;15773;7205;18971;12655;6316;64280;7636;56644;45184;7125;38059;9189;508;8681;8227;436;7791
60;2007 1e kwartaal;4650;2662;1988;3763;2353;1410;18251;5492;12759;10395;2401;7994;5653;3621;2032;2434;1771;663;10586;1592;8994;6722;626;6096;2012;279;1733;1239;4;1235
61;2007 2e kwartaal;5393;2851;2542;4178;2529;1649;19153;4933;14220;14463;3705;10758;4513;3287;1226;3864;2554;1310;12559;1571;10988;8985;1098;7887;2081;75;2006;1614;53;1561
62;2007 3e kwartaal;5906;3391;2516;4695;2983;1712;22405;5960;16445;17066;4978;12088;6796;4593;2203;4080;2667;1413;13154;1330;11824;10995;2191;8804;2455;37;2418;1991;120;1871
63;2007 4e kwartaal;6830;4115;2714;5638;3714;1925;28109;7358;20751;38269;11680;26589;8683;5203;3480;10582;7037;3545;16992;2061;14931;24183;4418;19765;2434;94;2340;3504;225;3279
64;2007;22778;13019;9760;18274;11578;6696;87918;23743;64175;80193;22764;57429;25645;16704;8941;20960;14029;6931;53291;6554;46737;50885;8333;42552;8982;485;8497;8348;402;7946
65;2008 1e kwartaal;5007;2701;2307;4036;2389;1647;16766;4191;12575;12715;3306;9409;4450;2626;1824;3240;2130;1110;10414;1460;8954;7952;1101;6851;1902;105;1797;1523;75;1448
66;2008 2e kwartaal;5341;2876;2465;4383;2587;1796;18808;5294;13514;15381;4420;10961;5188;3798;1390;3416;2306;1110;11435;1479;9956;10177;1796;8381;2185;17;2168;1788;318;1470
67;2008 3e kwartaal;6561;3539;3023;5365;3167;2198;22425;6181;16244;16798;6173;10625;6557;4178;2379;4997;3889;1108;13575;1923;11652;9971;2165;7806;2293;80;2213;1830;119;1711
68;2008 4e kwartaal;7869;4448;3421;6594;4027;2567;29199;8075;21124;33988;9882;24106;8812;5410;3402;9762;6285;3477;17814;2358;15456;20954;3393;17561;2573;307;2266;3272;204;3068
69;2008;24779;13563;11216;20378;12170;8208;87198;23741;63457;78882;23781;55101;25007;16012;8995;21415;14610;6805;53238;7220;46018;49054;8455;40599;8953;509;8444;8413;716;7697
70;2009 1e kwartaal;4746;2522;2224;3788;2236;1553;15857;5407;10450;13092;3822;9270;5359;3564;1795;3722;2365;1357;8741;1534;7207;7943;1298;6645;1757;309;1448;1427;159;1268
71;2009 2e kwartaal;4545;2518;2027;3622;2234;1389;16253;5386;10867;13882;4157;9725;5732;3777;1955;4293;2553;1740;8719;1448;7271;7997;1410;6587;1802;161;1641;1592;194;1398
72;2009 3e kwartaal;4678;2373;2305;3726;2085;1640;15209;5440;9769;16755;4129;12626;5162;3828;1334;4230;2285;1945;8059;1390;6669;10513;1698;8815;1988;222;1766;2012;146;1866
73;2009 4e kwartaal;6004;3638;2366;4877;3290;1587;25327;9718;15609;39203;13356;25847;8724;6209;2515;11879;8030;3849;14110;2824;11286;23919;4949;18970;2493;685;1808;3405;377;3028
74;2009;19973;11051;8922;16013;9845;6168;72646;25951;46695;82932;25464;57468;24977;17378;7599;24124;15233;8891;39629;7196;32433;50372;9355;41017;8040;1377;6663;8436;876;7560
75;2010 1e kwartaal;3125;1712;1412;2383;1444;938;10843;3407;7436;7280;2262;5018;2574;1720;854;1771;1315;456;6784;1413;5371;4472;834;3638;1485;274;1211;1037;113;924
76;2010 2e kwartaal;3915;2191;1724;3233;1922;1311;14399;4326;10073;10665;4293;6372;4789;2404;2385;4242;2658;1584;8144;1879;6265;5454;1517;3937;1466;43;1423;969;118;851
77;2010 3e kwartaal;4268;2358;1910;3396;2064;1332;15187;4928;10259;12757;4987;7770;4686;2978;1708;4179;2672;1507;8656;1701;6955;7339;2279;5060;1845;249;1596;1239;36;1203
78;2010 4e kwartaal;4951;2905;2046;3987;2625;1362;20599;6736;13863;25297;9888;15409;5880;3377;2503;8105;5826;2279;12564;3056;9508;14201;3661;10540;2155;303;1852;2991;401;2590
79;2010;16259;9166;7093;12999;8055;4944;61028;19397;41631;55999;21430;34569;17929;10479;7450;18297;12471;5826;36148;8049;28099;31466;8291;23175;6951;869;6082;6236;668;5568
80;2011 1e kwartaal;3635;2239;1396;2976;2012;964;14232;3660;10572;8540;3437;5103;3373;2085;1288;2743;1838;905;9142;1525;7617;4759;1530;3229;1717;50;1667;1038;69;969
81;2011 2e kwartaal;3442;1881;1561;2764;1685;1079;12536;4556;7980;10999;4173;6826;4238;2593;1645;3852;2919;933;6915;1851;5064;5850;1135;4715;1383;112;1271;1297;119;1178
82;2011 3e kwartaal;3327;1887;1440;2684;1664;1020;13049;3483;9566;11151;3900;7251;3504;2282;1222;3634;2297;1337;8108;1033;7075;6119;1518;4601;1437;168;1269;1398;85;1313
83;2011 4e kwartaal;4533;2447;2086;3657;2186;1470;15987;5982;10005;27013;10956;16057;4628;3385;1243;10238;7331;2907;9296;2295;7001;14038;3450;10588;2063;302;1761;2737;175;2562
84;2011;14937;8454;6484;12081;7547;4534;55804;17681;38123;57703;22466;35237;15743;10345;5398;20467;14385;6082;33461;6704;26757;30766;7633;23133;6600;632;5968;6470;448;6022
