ID;RegioS;SamenstellingVanHetHuishouden;Totaal_1;Totaal_2;HuishoudensMetEenLaagInkomen_3;HuishOnderOfRondHetSociaalMinimum_4;Totaal_5;HuishMetEenLangdurigLaagInkomen_6;HuishLangdurigOnderOfRondSocMin_7
118;Noord-Drenthe (CR);Paar met kinderen;23.6;23.1;6.0;4.0;20.4;2.0;1.0
119;Noord-Drenthe (CR);Eenoudergezin;3.9;3.6;24.0;27.0;3.0;6.0;7.0
120;Zuidoost-Drenthe (CR);Totaal particulier huishouden;70.3;68.1;10.0;9.0;60.9;3.0;2.0
121;Zuidoost-Drenthe (CR);Eenpersoonshuishouden;18.7;18.0;17.0;16.0;16.3;5.0;4.0
122;Zuidoost-Drenthe (CR);Paar zonder kinderen;23.8;23.6;4.0;4.0;22.0;1.0;1.0
123;Zuidoost-Drenthe (CR);Paar met kinderen;21.9;21.1;8.0;5.0;18.1;2.0;1.0
124;Zuidoost-Drenthe (CR);Eenoudergezin;3.5;3.2;25.0;29.0;2.6;7.0;9.0
125;Zuidwest-Drenthe (CR);Totaal particulier huishouden;52.1;50.6;9.0;8.0;45.8;2.0;2.0
126;Zuidwest-Drenthe (CR);Eenpersoonshuishouden;14.9;14.3;14.0;13.0;13.2;4.0;3.0
127;Zuidwest-Drenthe (CR);Paar zonder kinderen;16.6;16.5;3.0;4.0;15.4;1.0;1.0
128;Zuidwest-Drenthe (CR);Paar met kinderen;16.5;16.1;7.0;4.0;14.2;1.0;1.0
129;Zuidwest-Drenthe (CR);Eenoudergezin;2.5;2.3;28.0;30.0;1.8;7.0;7.0
130;Noord-Overijssel (CR);Totaal particulier huishouden;133.9;130.1;9.0;7.0;117.1;2.0;2.0
131;Noord-Overijssel (CR);Eenpersoonshuishouden;38.0;36.5;15.0;14.0;33.0;5.0;4.0
132;Noord-Overijssel (CR);Paar zonder kinderen;38.9;38.6;3.0;3.0;35.7;1.0;1.0
133;Noord-Overijssel (CR);Paar met kinderen;46.4;45.3;6.0;3.0;40.3;1.0;1.0
134;Noord-Overijssel (CR);Eenoudergezin;6.4;5.9;24.0;24.0;4.8;8.0;8.0
135;Zuidwest-Overijssel (CR);Totaal particulier huishouden;60.2;58.1;9.0;8.0;52.0;2.0;2.0
136;Zuidwest-Overijssel (CR);Eenpersoonshuishouden;17.6;16.6;15.0;14.0;14.9;4.0;3.0
137;Zuidwest-Overijssel (CR);Paar zonder kinderen;18.3;18.0;3.0;3.0;16.7;1.0;1.0
138;Zuidwest-Overijssel (CR);Paar met kinderen;19.1;18.5;6.0;3.0;16.4;2.0;1.0
139;Zuidwest-Overijssel (CR);Eenoudergezin;3.1;2.8;25.0;28.0;2.3;8.0;8.0
140;Twente (CR);Totaal particulier huishouden;243.5;234.7;10.0;8.0;210.2;3.0;2.0
141;Twente (CR);Eenpersoonshuishouden;69.2;65.8;17.0;15.0;59.3;5.0;5.0
142;Twente (CR);Paar zonder kinderen;73.1;72.3;4.0;4.0;67.0;1.0;1.0
143;Twente (CR);Paar met kinderen;78.9;76.0;7.0;4.0;66.9;2.0;1.0
144;Twente (CR);Eenoudergezin;12.5;11.4;25.0;27.0;9.2;7.0;7.0
145;Veluwe (CR);Totaal particulier huishouden;247.0;239.8;7.0;6.0;217.3;2.0;1.0
146;Veluwe (CR);Eenpersoonshuishouden;68.3;65.0;14.0;12.0;59.3;4.0;3.0
147;Veluwe (CR);Paar zonder kinderen;73.6;73.0;3.0;3.0;68.7;1.0;1.0
148;Veluwe (CR);Paar met kinderen;83.6;81.6;5.0;3.0;72.4;1.0;0.0
149;Veluwe (CR);Eenoudergezin;11.7;10.7;21.0;22.0;8.8;5.0;6.0
150;Achterhoek (CR);Totaal particulier huishouden;159.8;155.2;8.0;7.0;140.3;2.0;2.0
151;Achterhoek (CR);Eenpersoonshuishouden;41.8;40.2;14.0;13.0;37.0;4.0;4.0
152;Achterhoek (CR);Paar zonder kinderen;51.4;50.9;4.0;4.0;47.4;1.0;1.0
153;Achterhoek (CR);Paar met kinderen;53.0;51.4;5.0;3.0;45.3;1.0;1.0
154;Achterhoek (CR);Eenoudergezin;7.3;6.7;22.0;24.0;5.4;6.0;7.0
155;Arnhem/Nijmegen (CR);Totaal particulier huishouden;288.8;278.3;11.0;9.0;241.2;3.0;2.0
156;Arnhem/Nijmegen (CR);Eenpersoonshuishouden;95.6;90.3;18.0;15.0;77.2;5.0;5.0
157;Arnhem/Nijmegen (CR);Paar zonder kinderen;83.5;82.7;4.0;4.0;75.0;1.0;1.0
158;Arnhem/Nijmegen (CR);Paar met kinderen;82.8;80.4;6.0;4.0;70.1;1.0;1.0
159;Arnhem/Nijmegen (CR);Eenoudergezin;17.5;16.2;27.0;28.0;12.1;7.0;8.0
160;Zuidwest-Gelderland (CR);Totaal particulier huishouden;87.9;85.7;7.0;6.0;77.7;2.0;1.0
161;Zuidwest-Gelderland (CR);Eenpersoonshuishouden;20.5;19.7;13.0;12.0;18.1;3.0;3.0
162;Zuidwest-Gelderland (CR);Paar zonder kinderen;26.2;25.9;3.0;3.0;24.4;1.0;1.0
163;Zuidwest-Gelderland (CR);Paar met kinderen;33.4;32.7;5.0;3.0;29.0;1.0;1.0
164;Zuidwest-Gelderland (CR);Eenoudergezin;4.2;4.0;22.0;22.0;3.2;6.0;5.0
165;Utrecht (CR);Totaal particulier huishouden;478.1;462.3;8.0;7.0;407.0;2.0;2.0
166;Utrecht (CR);Eenpersoonshuishouden;154.9;146.8;13.0;12.0;129.0;4.0;4.0
