ID;Periods;GrossDomesticProduct_1;NetPrimaryIncomeFromRestOfWorld_2;Total_3;CompensationOfEmployees_4;PropertyIncome_5;SubsidiesReceivedFromRestOfWorld_6;Total_7;CompensationOfEmployees_8;PropertyIncome_9;TaxesOnProductionAndImports_10;GrossNationalIncome_11;ConsumptionOfFixedCapital_12;NetNationalIncome_13;NetCurrentTransfersFromRestOfWorld_14;Total_15;CurrentTaxesOnIncomeAndWealth_16;SocialContributions_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;Total_20;CurrentTaxesOnIncomeAndWealth_21;SocialContributions_22;SocialBenefitsInCash_23;OtherCurrentTransfers_24;NetDisposableNationalIncome_25;FinalConsumptionExpenditure_26;AdjustmChangeInPensionEntitlements_27;NetNationalSaving_28;NetFixedCapitalFormation_29;ChangesInInventories_30;SurplusNationOnCurrentTransactions_31;Total_32;NetExportsOfGoods_33;NetExportsOfServices_34;NetPrimaryIncome_35;PrimaryIncomeFromRestOfWorld_36;PrimaryIncomePaidToRestOfWorld_37;NetCurrentTransfers_38;CurrentTransfersFromRestOfWorld_39;CurrentTransfersPaidToRestOfWorld_40;AdjustmChangeInPensionEntitlements_41;NetCapitalTransfersFromRestOfWorld_42;CapitalTransfersFromRestOfWorld_43;CapitalTransfersPaidToRestOfWorld_44;AcqLessDisposalsOfNonProdAssets_45;NationalNetLendingOrNetBorrowing_46;TotalFinancialTransactionsInAssets_47;TotalFinancialTransactionsLiabilities_48;StatisticalDiscrepancy_49
14;2009;630173;-22636;173325;1857;170088;1380;195961;9202;184984;1775;607537;106740;500797;-5994;8332;3451;2551;248;2082;14326;2077;412;2551;9286;494803;449498;-51;45254;26116;-3187;22325;51006;46690;4316;-22636;173325;195961;-5994;8332;14326;-51;-716;828;1544;-283;21326;110143;88542;-275
15;2010;643022;-3416;232937;1928;229733;1276;236353;8191;226243;1919;639606;109569;530037;-8594;8659;3822;2471;248;2118;17253;2687;416;2491;11659;521443;459567;53;61929;15435;3839;42655;54612;50282;4330;-3416;232937;236353;-8594;8659;17253;53;-2015;759;2774;-1119;39521;164727;126449;1243
16;2011;656013;-894;258805;2132;255266;1407;259699;8974;248593;2132;655119;109885;545234;-7921;9279;3948;2609;248;2474;17200;2633;431;2407;11729;537313;469017;67;68363;20868;-130;47625;56373;54764;1609;-894;258805;259699;-7921;9279;17200;67;-1120;658;1778;-136;46369;373969;327507;-93
17;2012;658232;-6008;243798;2240;240186;1372;249806;9056;238754;1996;652224;110836;541388;-6798;9818;4361;2693;248;2516;16616;2866;441;2509;10800;534590;471685;-25;62880;11532;-51;51399;64230;61212;3018;-6008;243798;249806;-6798;9818;16616;-25;-260;654;914;-9359;41780;238561;194208;-2573
18;2013;665567;-3829;242488;2297;238645;1546;246317;8818;235540;1959;661738;112776;548962;-8218;10090;4007;2691;250;3142;18308;2877;448;2510;12473;540744;476205;-74;64465;8352;1075;55038;67159;65625;1534;-3829;242488;246317;-8218;10090;18308;-74;-563;569;1132;-543;53932;233310;177814;-1564
19;2014;678627;-6148;252897;2636;249001;1260;259045;8706;247980;2359;672479;113837;558642;-8676;10773;4546;3350;253;2624;19449;3043;471;2398;13537;549966;483486;-17;66463;4175;2150;60138;74979;65402;9577;-6148;252897;259045;-8676;10773;19449;-17;-1281;569;1850;-14175;44682;259874;214473;-719
20;2015;699175;-10622;263898;2787;259539;1572;274520;8876;262807;2837;688553;115177;573376;-8915;11097;4430;3277;270;3120;20012;3575;490;2682;13265;564461;490626;106;73941;37291;2539;34111;53542;67741;-14199;-10622;263898;274520;-8915;11097;20012;106;-296;801;1097;-19270;14545;409323;391373;-3405
21;2016;720175;-21362;261144;2762;256997;1385;282506;9322;270388;2796;698813;117405;581408;-4243;11538;5221;3398;240;2679;15781;3518;482;2687;9094;577165;499586;130;77709;21547;3473;52689;78164;70966;7198;-21362;261144;282506;-4243;11538;15781;130;-938;748;1686;73;51824;440471;389541;894
22;2017;750861;-13711;290078;2900;285718;1460;303789;10130;290824;2835;737150;120217;616933;-5886;11389;5033;3528;240;2588;17275;3500;506;2809;10460;611047;518633;195;92609;28140;3431;61038;80440;75131;5309;-13711;290078;303789;-5886;11389;17275;195;-1093;737;1830;-1052;58893;245277;182759;-3625
23;2018;787273;-4844;303785;3042;299252;1491;308629;11173;294395;3061;782429;125574;656855;-7595;12242;5770;3775;240;2457;19837;3916;519;2907;12495;649260;542949;168;106479;31495;4168;70816;83087;76588;6499;-4844;303785;308629;-7595;12242;19837;168;-354;721;1075;-9409;61053;-191491;-251707;837
24;2019;829767;-18062;283346;3176;278599;1571;301408;11890;286245;3273;811705;131355;680350;-8033;12710;5796;3964;240;2710;20743;4007;529;2870;13337;672317;566538;168;105947;42129;7057;56761;82688;63861;18827;-18062;283346;301408;-8033;12710;20743;168;-240;808;1048;-1812;54709;6786;-47585;338
25;2020;816463;-25462;217817;3095;213099;1623;243279;11613;228449;3217;791001;137280;653721;-12831;12748;4720;3992;240;3796;25579;3595;519;2922;18543;640890;558446;200;82644;36414;637;45593;83686;61913;21773;-25462;217817;243279;-12831;12748;25579;200;-1263;766;2029;142;44472;-142770;-190883;-3641
26;2021;891550;10826;278971;3242;274016;1713;268145;12229;252160;3756;902376;144622;757754;-8636;14222;5245;4046;240;4691;22858;3473;559;2910;15916;749118;606798;239;142559;39803;13444;89312;86883;64955;21928;10826;278971;268145;-8636;14222;22858;239;-232;850;1082;589;89669;144654;62355;7370
27;2022;993820;-14644;356845;3436;351555;1854;371489;13730;352984;4775;979176;157385;821791;-7064;16477;6463;4366;240;5408;23541;3605;568;3288;16080;814727;679345;191;135573;46037;23798;65738;87255;55000;32255;-14644;356845;371489;-7064;16477;23541;191;-1649;786;2435;106799;170888;704146;534613;1355
28;2023;1067599;-8909;378591;3638;373036;1917;387500;14821;368396;4283;1058690;167048;891642;-5323;17816;7478;4851;240;5247;23139;3522;584;3576;15457;886319;735272;198;151245;47496;-1454;105203;119237;85108;34129;-8909;378591;387500;-5323;17816;23139;198;-2533;741;3274;193;102863;64452;-28131;10280
