ID;TypeGefailleerde;Perioden;FaillissementenZittingsdaggecorrigeerd_1
53;Totaal rechtsvormen Nederland/buitenland;1984 maart;646
54;Totaal rechtsvormen Nederland/buitenland;1984 1e kwartaal;1848
55;Totaal rechtsvormen Nederland/buitenland;1984 april;487
56;Totaal rechtsvormen Nederland/buitenland;1984 mei;492
57;Totaal rechtsvormen Nederland/buitenland;1984 juni;518
58;Totaal rechtsvormen Nederland/buitenland;1984 2e kwartaal;1497
59;Totaal rechtsvormen Nederland/buitenland;1984 juli;437
60;Totaal rechtsvormen Nederland/buitenland;1984 augustus;530
61;Totaal rechtsvormen Nederland/buitenland;1984 september;503
62;Totaal rechtsvormen Nederland/buitenland;1984 3e kwartaal;1470
63;Totaal rechtsvormen Nederland/buitenland;1984 oktober;533
64;Totaal rechtsvormen Nederland/buitenland;1984 november;480
65;Totaal rechtsvormen Nederland/buitenland;1984 december;396
66;Totaal rechtsvormen Nederland/buitenland;1984 4e kwartaal;1409
67;Totaal rechtsvormen Nederland/buitenland;1984;6224
68;Totaal rechtsvormen Nederland/buitenland;1985 januari;497
69;Totaal rechtsvormen Nederland/buitenland;1985 februari;462
70;Totaal rechtsvormen Nederland/buitenland;1985 maart;588
71;Totaal rechtsvormen Nederland/buitenland;1985 1e kwartaal;1547
72;Totaal rechtsvormen Nederland/buitenland;1985 april;454
73;Totaal rechtsvormen Nederland/buitenland;1985 mei;469
74;Totaal rechtsvormen Nederland/buitenland;1985 juni;446
75;Totaal rechtsvormen Nederland/buitenland;1985 2e kwartaal;1369
76;Totaal rechtsvormen Nederland/buitenland;1985 juli;416
77;Totaal rechtsvormen Nederland/buitenland;1985 augustus;403
78;Totaal rechtsvormen Nederland/buitenland;1985 september;429
79;Totaal rechtsvormen Nederland/buitenland;1985 3e kwartaal;1248
80;Totaal rechtsvormen Nederland/buitenland;1985 oktober;437
81;Totaal rechtsvormen Nederland/buitenland;1985 november;443
82;Totaal rechtsvormen Nederland/buitenland;1985 december;334
83;Totaal rechtsvormen Nederland/buitenland;1985 4e kwartaal;1214
84;Totaal rechtsvormen Nederland/buitenland;1985;5378
85;Totaal rechtsvormen Nederland/buitenland;1986 januari;351
86;Totaal rechtsvormen Nederland/buitenland;1986 februari;320
87;Totaal rechtsvormen Nederland/buitenland;1986 maart;436
88;Totaal rechtsvormen Nederland/buitenland;1986 1e kwartaal;1107
89;Totaal rechtsvormen Nederland/buitenland;1986 april;358
90;Totaal rechtsvormen Nederland/buitenland;1986 mei;376
91;Totaal rechtsvormen Nederland/buitenland;1986 juni;426
92;Totaal rechtsvormen Nederland/buitenland;1986 2e kwartaal;1160
93;Totaal rechtsvormen Nederland/buitenland;1986 juli;323
94;Totaal rechtsvormen Nederland/buitenland;1986 augustus;380
95;Totaal rechtsvormen Nederland/buitenland;1986 september;402
96;Totaal rechtsvormen Nederland/buitenland;1986 3e kwartaal;1105
97;Totaal rechtsvormen Nederland/buitenland;1986 oktober;358
98;Totaal rechtsvormen Nederland/buitenland;1986 november;414
99;Totaal rechtsvormen Nederland/buitenland;1986 december;304
100;Totaal rechtsvormen Nederland/buitenland;1986 4e kwartaal;1076
101;Totaal rechtsvormen Nederland/buitenland;1986;4448
102;Totaal rechtsvormen Nederland/buitenland;1987 januari;344
103;Totaal rechtsvormen Nederland/buitenland;1987 februari;342
104;Totaal rechtsvormen Nederland/buitenland;1987 maart;357
105;Totaal rechtsvormen Nederland/buitenland;1987 1e kwartaal;1043
106;Totaal rechtsvormen Nederland/buitenland;1987 april;310
107;Totaal rechtsvormen Nederland/buitenland;1987 mei;303
108;Totaal rechtsvormen Nederland/buitenland;1987 juni;278
109;Totaal rechtsvormen Nederland/buitenland;1987 2e kwartaal;891
110;Totaal rechtsvormen Nederland/buitenland;1987 juli;337
111;Totaal rechtsvormen Nederland/buitenland;1987 augustus;286
112;Totaal rechtsvormen Nederland/buitenland;1987 september;322
113;Totaal rechtsvormen Nederland/buitenland;1987 3e kwartaal;945
114;Totaal rechtsvormen Nederland/buitenland;1987 oktober;327
115;Totaal rechtsvormen Nederland/buitenland;1987 november;305
116;Totaal rechtsvormen Nederland/buitenland;1987 december;275
117;Totaal rechtsvormen Nederland/buitenland;1987 4e kwartaal;907
118;Totaal rechtsvormen Nederland/buitenland;1987;3786
119;Totaal rechtsvormen Nederland/buitenland;1988 januari;308
120;Totaal rechtsvormen Nederland/buitenland;1988 februari;364
121;Totaal rechtsvormen Nederland/buitenland;1988 maart;324
122;Totaal rechtsvormen Nederland/buitenland;1988 1e kwartaal;996
123;Totaal rechtsvormen Nederland/buitenland;1988 april;305
124;Totaal rechtsvormen Nederland/buitenland;1988 mei;339
125;Totaal rechtsvormen Nederland/buitenland;1988 juni;335
126;Totaal rechtsvormen Nederland/buitenland;1988 2e kwartaal;979
127;Totaal rechtsvormen Nederland/buitenland;1988 juli;311
128;Totaal rechtsvormen Nederland/buitenland;1988 augustus;287
129;Totaal rechtsvormen Nederland/buitenland;1988 september;307
130;Totaal rechtsvormen Nederland/buitenland;1988 3e kwartaal;905
131;Totaal rechtsvormen Nederland/buitenland;1988 oktober;365
132;Totaal rechtsvormen Nederland/buitenland;1988 november;332
133;Totaal rechtsvormen Nederland/buitenland;1988 december;272
134;Totaal rechtsvormen Nederland/buitenland;1988 4e kwartaal;969
135;Totaal rechtsvormen Nederland/buitenland;1988;3849
136;Totaal rechtsvormen Nederland/buitenland;1989 januari;342
137;Totaal rechtsvormen Nederland/buitenland;1989 februari;303
138;Totaal rechtsvormen Nederland/buitenland;1989 maart;340
139;Totaal rechtsvormen Nederland/buitenland;1989 1e kwartaal;985
140;Totaal rechtsvormen Nederland/buitenland;1989 april;300
141;Totaal rechtsvormen Nederland/buitenland;1989 mei;285
142;Totaal rechtsvormen Nederland/buitenland;1989 juni;333
143;Totaal rechtsvormen Nederland/buitenland;1989 2e kwartaal;918
144;Totaal rechtsvormen Nederland/buitenland;1989 juli;287
145;Totaal rechtsvormen Nederland/buitenland;1989 augustus;254
146;Totaal rechtsvormen Nederland/buitenland;1989 september;341
147;Totaal rechtsvormen Nederland/buitenland;1989 3e kwartaal;882
148;Totaal rechtsvormen Nederland/buitenland;1989 oktober;315
149;Totaal rechtsvormen Nederland/buitenland;1989 november;325
150;Totaal rechtsvormen Nederland/buitenland;1989 december;254
151;Totaal rechtsvormen Nederland/buitenland;1989 4e kwartaal;894
152;Totaal rechtsvormen Nederland/buitenland;1989;3679
153;Totaal rechtsvormen Nederland/buitenland;1990 januari;320
154;Totaal rechtsvormen Nederland/buitenland;1990 februari;266
155;Totaal rechtsvormen Nederland/buitenland;1990 maart;337
156;Totaal rechtsvormen Nederland/buitenland;1990 1e kwartaal;923
157;Totaal rechtsvormen Nederland/buitenland;1990 april;290
158;Totaal rechtsvormen Nederland/buitenland;1990 mei;280
159;Totaal rechtsvormen Nederland/buitenland;1990 juni;300
160;Totaal rechtsvormen Nederland/buitenland;1990 2e kwartaal;870
161;Totaal rechtsvormen Nederland/buitenland;1990 juli;286
162;Totaal rechtsvormen Nederland/buitenland;1990 augustus;255
163;Totaal rechtsvormen Nederland/buitenland;1990 september;334
164;Totaal rechtsvormen Nederland/buitenland;1990 3e kwartaal;875
165;Totaal rechtsvormen Nederland/buitenland;1990 oktober;311
166;Totaal rechtsvormen Nederland/buitenland;1990 november;308
167;Totaal rechtsvormen Nederland/buitenland;1990 december;232
168;Totaal rechtsvormen Nederland/buitenland;1990 4e kwartaal;851
169;Totaal rechtsvormen Nederland/buitenland;1990;3519
170;Totaal rechtsvormen Nederland/buitenland;1991 januari;290
171;Totaal rechtsvormen Nederland/buitenland;1991 februari;320
172;Totaal rechtsvormen Nederland/buitenland;1991 maart;364
173;Totaal rechtsvormen Nederland/buitenland;1991 1e kwartaal;974
174;Totaal rechtsvormen Nederland/buitenland;1991 april;296
175;Totaal rechtsvormen Nederland/buitenland;1991 mei;325
176;Totaal rechtsvormen Nederland/buitenland;1991 juni;331
177;Totaal rechtsvormen Nederland/buitenland;1991 2e kwartaal;952
178;Totaal rechtsvormen Nederland/buitenland;1991 juli;316
179;Totaal rechtsvormen Nederland/buitenland;1991 augustus;301
180;Totaal rechtsvormen Nederland/buitenland;1991 september;326
181;Totaal rechtsvormen Nederland/buitenland;1991 3e kwartaal;943
182;Totaal rechtsvormen Nederland/buitenland;1991 oktober;400
183;Totaal rechtsvormen Nederland/buitenland;1991 november;444
184;Totaal rechtsvormen Nederland/buitenland;1991 december;362
185;Totaal rechtsvormen Nederland/buitenland;1991 4e kwartaal;1206
186;Totaal rechtsvormen Nederland/buitenland;1991;4075
187;Totaal rechtsvormen Nederland/buitenland;1992 januari;342
188;Totaal rechtsvormen Nederland/buitenland;1992 februari;363
189;Totaal rechtsvormen Nederland/buitenland;1992 maart;433
190;Totaal rechtsvormen Nederland/buitenland;1992 1e kwartaal;1138
191;Totaal rechtsvormen Nederland/buitenland;1992 april;408
192;Totaal rechtsvormen Nederland/buitenland;1992 mei;413
193;Totaal rechtsvormen Nederland/buitenland;1992 juni;382
194;Totaal rechtsvormen Nederland/buitenland;1992 2e kwartaal;1203
195;Totaal rechtsvormen Nederland/buitenland;1992 juli;403
196;Totaal rechtsvormen Nederland/buitenland;1992 augustus;349
197;Totaal rechtsvormen Nederland/buitenland;1992 september;463
198;Totaal rechtsvormen Nederland/buitenland;1992 3e kwartaal;1215
199;Totaal rechtsvormen Nederland/buitenland;1992 oktober;534
200;Totaal rechtsvormen Nederland/buitenland;1992 november;503
201;Totaal rechtsvormen Nederland/buitenland;1992 december;452
202;Totaal rechtsvormen Nederland/buitenland;1992 4e kwartaal;1489
203;Totaal rechtsvormen Nederland/buitenland;1992;5045
204;Totaal rechtsvormen Nederland/buitenland;1993 januari;491
205;Totaal rechtsvormen Nederland/buitenland;1993 februari;461
206;Totaal rechtsvormen Nederland/buitenland;1993 maart;600
207;Totaal rechtsvormen Nederland/buitenland;1993 1e kwartaal;1552
208;Totaal rechtsvormen Nederland/buitenland;1993 april;515
209;Totaal rechtsvormen Nederland/buitenland;1993 mei;545
210;Totaal rechtsvormen Nederland/buitenland;1993 juni;498
211;Totaal rechtsvormen Nederland/buitenland;1993 2e kwartaal;1558
212;Totaal rechtsvormen Nederland/buitenland;1993 juli;593
213;Totaal rechtsvormen Nederland/buitenland;1993 augustus;524
214;Totaal rechtsvormen Nederland/buitenland;1993 september;537
215;Totaal rechtsvormen Nederland/buitenland;1993 3e kwartaal;1654
216;Totaal rechtsvormen Nederland/buitenland;1993 oktober;544
217;Totaal rechtsvormen Nederland/buitenland;1993 november;599
218;Totaal rechtsvormen Nederland/buitenland;1993 december;521
219;Totaal rechtsvormen Nederland/buitenland;1993 4e kwartaal;1664
220;Totaal rechtsvormen Nederland/buitenland;1993;6428
221;Totaal rechtsvormen Nederland/buitenland;1994 januari;590
222;Totaal rechtsvormen Nederland/buitenland;1994 februari;536
223;Totaal rechtsvormen Nederland/buitenland;1994 maart;607
224;Totaal rechtsvormen Nederland/buitenland;1994 1e kwartaal;1733
225;Totaal rechtsvormen Nederland/buitenland;1994 april;527
226;Totaal rechtsvormen Nederland/buitenland;1994 mei;448
227;Totaal rechtsvormen Nederland/buitenland;1994 juni;572
228;Totaal rechtsvormen Nederland/buitenland;1994 2e kwartaal;1547
229;Totaal rechtsvormen Nederland/buitenland;1994 juli;503
230;Totaal rechtsvormen Nederland/buitenland;1994 augustus;570
231;Totaal rechtsvormen Nederland/buitenland;1994 september;560
232;Totaal rechtsvormen Nederland/buitenland;1994 3e kwartaal;1633
233;Totaal rechtsvormen Nederland/buitenland;1994 oktober;521
234;Totaal rechtsvormen Nederland/buitenland;1994 november;558
235;Totaal rechtsvormen Nederland/buitenland;1994 december;472
236;Totaal rechtsvormen Nederland/buitenland;1994 4e kwartaal;1551
237;Totaal rechtsvormen Nederland/buitenland;1994;6464
238;Totaal rechtsvormen Nederland/buitenland;1995 januari;529
239;Totaal rechtsvormen Nederland/buitenland;1995 februari;452
240;Totaal rechtsvormen Nederland/buitenland;1995 maart;532
241;Totaal rechtsvormen Nederland/buitenland;1995 1e kwartaal;1513
242;Totaal rechtsvormen Nederland/buitenland;1995 april;497
243;Totaal rechtsvormen Nederland/buitenland;1995 mei;417
244;Totaal rechtsvormen Nederland/buitenland;1995 juni;462
245;Totaal rechtsvormen Nederland/buitenland;1995 2e kwartaal;1376
246;Totaal rechtsvormen Nederland/buitenland;1995 juli;522
247;Totaal rechtsvormen Nederland/buitenland;1995 augustus;446
248;Totaal rechtsvormen Nederland/buitenland;1995 september;538
249;Totaal rechtsvormen Nederland/buitenland;1995 3e kwartaal;1506
250;Totaal rechtsvormen Nederland/buitenland;1995 oktober;544
251;Totaal rechtsvormen Nederland/buitenland;1995 november;472
252;Totaal rechtsvormen Nederland/buitenland;1995 december;436
253;Totaal rechtsvormen Nederland/buitenland;1995 4e kwartaal;1452
254;Totaal rechtsvormen Nederland/buitenland;1995;5847
255;Totaal rechtsvormen Nederland/buitenland;1996 januari;465
256;Totaal rechtsvormen Nederland/buitenland;1996 februari;434
257;Totaal rechtsvormen Nederland/buitenland;1996 maart;514
258;Totaal rechtsvormen Nederland/buitenland;1996 1e kwartaal;1413
259;Totaal rechtsvormen Nederland/buitenland;1996 april;441
260;Totaal rechtsvormen Nederland/buitenland;1996 mei;456
261;Totaal rechtsvormen Nederland/buitenland;1996 juni;474
262;Totaal rechtsvormen Nederland/buitenland;1996 2e kwartaal;1371
263;Totaal rechtsvormen Nederland/buitenland;1996 juli;424
264;Totaal rechtsvormen Nederland/buitenland;1996 augustus;456
265;Totaal rechtsvormen Nederland/buitenland;1996 september;488
266;Totaal rechtsvormen Nederland/buitenland;1996 3e kwartaal;1368
267;Totaal rechtsvormen Nederland/buitenland;1996 oktober;484
268;Totaal rechtsvormen Nederland/buitenland;1996 november;479
269;Totaal rechtsvormen Nederland/buitenland;1996 december;462
270;Totaal rechtsvormen Nederland/buitenland;1996 4e kwartaal;1425
271;Totaal rechtsvormen Nederland/buitenland;1996;5577
272;Totaal rechtsvormen Nederland/buitenland;1997 januari;511
273;Totaal rechtsvormen Nederland/buitenland;1997 februari;481
274;Totaal rechtsvormen Nederland/buitenland;1997 maart;485
275;Totaal rechtsvormen Nederland/buitenland;1997 1e kwartaal;1477
276;Totaal rechtsvormen Nederland/buitenland;1997 april;425
277;Totaal rechtsvormen Nederland/buitenland;1997 mei;503
278;Totaal rechtsvormen Nederland/buitenland;1997 juni;453
279;Totaal rechtsvormen Nederland/buitenland;1997 2e kwartaal;1381
280;Totaal rechtsvormen Nederland/buitenland;1997 juli;436
281;Totaal rechtsvormen Nederland/buitenland;1997 augustus;396
282;Totaal rechtsvormen Nederland/buitenland;1997 september;482
283;Totaal rechtsvormen Nederland/buitenland;1997 3e kwartaal;1314
284;Totaal rechtsvormen Nederland/buitenland;1997 oktober;474
285;Totaal rechtsvormen Nederland/buitenland;1997 november;494
286;Totaal rechtsvormen Nederland/buitenland;1997 december;407
287;Totaal rechtsvormen Nederland/buitenland;1997 4e kwartaal;1375
288;Totaal rechtsvormen Nederland/buitenland;1997;5547
289;Totaal rechtsvormen Nederland/buitenland;1998 januari;432
290;Totaal rechtsvormen Nederland/buitenland;1998 februari;424
291;Totaal rechtsvormen Nederland/buitenland;1998 maart;556
292;Totaal rechtsvormen Nederland/buitenland;1998 1e kwartaal;1412
293;Totaal rechtsvormen Nederland/buitenland;1998 april;463
294;Totaal rechtsvormen Nederland/buitenland;1998 mei;384
295;Totaal rechtsvormen Nederland/buitenland;1998 juni;444
296;Totaal rechtsvormen Nederland/buitenland;1998 2e kwartaal;1291
297;Totaal rechtsvormen Nederland/buitenland;1998 juli;422
298;Totaal rechtsvormen Nederland/buitenland;1998 augustus;361
299;Totaal rechtsvormen Nederland/buitenland;1998 september;484
300;Totaal rechtsvormen Nederland/buitenland;1998 3e kwartaal;1267
301;Totaal rechtsvormen Nederland/buitenland;1998 oktober;380
302;Totaal rechtsvormen Nederland/buitenland;1998 november;409
303;Totaal rechtsvormen Nederland/buitenland;1998 december;272
304;Totaal rechtsvormen Nederland/buitenland;1998 4e kwartaal;1061
305;Totaal rechtsvormen Nederland/buitenland;1998;5031
306;Totaal rechtsvormen Nederland/buitenland;1999 januari;308
307;Totaal rechtsvormen Nederland/buitenland;1999 februari;327
308;Totaal rechtsvormen Nederland/buitenland;1999 maart;366
309;Totaal rechtsvormen Nederland/buitenland;1999 1e kwartaal;1001
310;Totaal rechtsvormen Nederland/buitenland;1999 april;349
311;Totaal rechtsvormen Nederland/buitenland;1999 mei;290
312;Totaal rechtsvormen Nederland/buitenland;1999 juni;325
313;Totaal rechtsvormen Nederland/buitenland;1999 2e kwartaal;964
314;Totaal rechtsvormen Nederland/buitenland;1999 juli;294
315;Totaal rechtsvormen Nederland/buitenland;1999 augustus;282
316;Totaal rechtsvormen Nederland/buitenland;1999 september;319
317;Totaal rechtsvormen Nederland/buitenland;1999 3e kwartaal;895
318;Totaal rechtsvormen Nederland/buitenland;1999 oktober;332
319;Totaal rechtsvormen Nederland/buitenland;1999 november;335
320;Totaal rechtsvormen Nederland/buitenland;1999 december;313
321;Totaal rechtsvormen Nederland/buitenland;1999 4e kwartaal;980
322;Totaal rechtsvormen Nederland/buitenland;1999;3840
323;Totaal rechtsvormen Nederland/buitenland;2000 januari;341
324;Totaal rechtsvormen Nederland/buitenland;2000 februari;332
325;Totaal rechtsvormen Nederland/buitenland;2000 maart;346
326;Totaal rechtsvormen Nederland/buitenland;2000 1e kwartaal;1019
327;Totaal rechtsvormen Nederland/buitenland;2000 april;320
328;Totaal rechtsvormen Nederland/buitenland;2000 mei;356
329;Totaal rechtsvormen Nederland/buitenland;2000 juni;343
330;Totaal rechtsvormen Nederland/buitenland;2000 2e kwartaal;1019
331;Totaal rechtsvormen Nederland/buitenland;2000 juli;391
332;Totaal rechtsvormen Nederland/buitenland;2000 augustus;399
333;Totaal rechtsvormen Nederland/buitenland;2000 september;374
334;Totaal rechtsvormen Nederland/buitenland;2000 3e kwartaal;1164
335;Totaal rechtsvormen Nederland/buitenland;2000 oktober;454
336;Totaal rechtsvormen Nederland/buitenland;2000 november;454
337;Totaal rechtsvormen Nederland/buitenland;2000 december;388
338;Totaal rechtsvormen Nederland/buitenland;2000 4e kwartaal;1296
339;Totaal rechtsvormen Nederland/buitenland;2000;4498
340;Totaal rechtsvormen Nederland/buitenland;2001 januari;419
341;Totaal rechtsvormen Nederland/buitenland;2001 februari;450
342;Totaal rechtsvormen Nederland/buitenland;2001 maart;470
343;Totaal rechtsvormen Nederland/buitenland;2001 1e kwartaal;1339
344;Totaal rechtsvormen Nederland/buitenland;2001 april;460
345;Totaal rechtsvormen Nederland/buitenland;2001 mei;479
346;Totaal rechtsvormen Nederland/buitenland;2001 juni;462
347;Totaal rechtsvormen Nederland/buitenland;2001 2e kwartaal;1401
348;Totaal rechtsvormen Nederland/buitenland;2001 juli;556
349;Totaal rechtsvormen Nederland/buitenland;2001 augustus;493
350;Totaal rechtsvormen Nederland/buitenland;2001 september;480
351;Totaal rechtsvormen Nederland/buitenland;2001 3e kwartaal;1529
352;Totaal rechtsvormen Nederland/buitenland;2001 oktober;553
353;Totaal rechtsvormen Nederland/buitenland;2001 november;539
354;Totaal rechtsvormen Nederland/buitenland;2001 december;473
355;Totaal rechtsvormen Nederland/buitenland;2001 4e kwartaal;1565
356;Totaal rechtsvormen Nederland/buitenland;2001;5834
357;Totaal rechtsvormen Nederland/buitenland;2002 januari;535
358;Totaal rechtsvormen Nederland/buitenland;2002 februari;524
359;Totaal rechtsvormen Nederland/buitenland;2002 maart;548
360;Totaal rechtsvormen Nederland/buitenland;2002 1e kwartaal;1607
361;Totaal rechtsvormen Nederland/buitenland;2002 april;496
362;Totaal rechtsvormen Nederland/buitenland;2002 mei;509
363;Totaal rechtsvormen Nederland/buitenland;2002 juni;560
364;Totaal rechtsvormen Nederland/buitenland;2002 2e kwartaal;1565
365;Totaal rechtsvormen Nederland/buitenland;2002 juli;636
366;Totaal rechtsvormen Nederland/buitenland;2002 augustus;517
367;Totaal rechtsvormen Nederland/buitenland;2002 september;626
368;Totaal rechtsvormen Nederland/buitenland;2002 3e kwartaal;1779
369;Totaal rechtsvormen Nederland/buitenland;2002 oktober;623
370;Totaal rechtsvormen Nederland/buitenland;2002 november;617
371;Totaal rechtsvormen Nederland/buitenland;2002 december;580
372;Totaal rechtsvormen Nederland/buitenland;2002 4e kwartaal;1820
373;Totaal rechtsvormen Nederland/buitenland;2002;6771
374;Totaal rechtsvormen Nederland/buitenland;2003 januari;629
375;Totaal rechtsvormen Nederland/buitenland;2003 februari;643
376;Totaal rechtsvormen Nederland/buitenland;2003 maart;685
377;Totaal rechtsvormen Nederland/buitenland;2003 1e kwartaal;1957
378;Totaal rechtsvormen Nederland/buitenland;2003 april;712
379;Totaal rechtsvormen Nederland/buitenland;2003 mei;796
380;Totaal rechtsvormen Nederland/buitenland;2003 juni;799
381;Totaal rechtsvormen Nederland/buitenland;2003 2e kwartaal;2307
382;Totaal rechtsvormen Nederland/buitenland;2003 juli;670
383;Totaal rechtsvormen Nederland/buitenland;2003 augustus;645
384;Totaal rechtsvormen Nederland/buitenland;2003 september;883
385;Totaal rechtsvormen Nederland/buitenland;2003 3e kwartaal;2198
386;Totaal rechtsvormen Nederland/buitenland;2003 oktober;772
387;Totaal rechtsvormen Nederland/buitenland;2003 november;821
388;Totaal rechtsvormen Nederland/buitenland;2003 december;693
389;Totaal rechtsvormen Nederland/buitenland;2003 4e kwartaal;2286
390;Totaal rechtsvormen Nederland/buitenland;2003;8748
391;Totaal rechtsvormen Nederland/buitenland;2004 januari;761
392;Totaal rechtsvormen Nederland/buitenland;2004 februari;784
393;Totaal rechtsvormen Nederland/buitenland;2004 maart;846
394;Totaal rechtsvormen Nederland/buitenland;2004 1e kwartaal;2391
395;Totaal rechtsvormen Nederland/buitenland;2004 april;754
396;Totaal rechtsvormen Nederland/buitenland;2004 mei;820
397;Totaal rechtsvormen Nederland/buitenland;2004 juni;756
398;Totaal rechtsvormen Nederland/buitenland;2004 2e kwartaal;2330
399;Totaal rechtsvormen Nederland/buitenland;2004 juli;775
400;Totaal rechtsvormen Nederland/buitenland;2004 augustus;775
401;Totaal rechtsvormen Nederland/buitenland;2004 september;769
402;Totaal rechtsvormen Nederland/buitenland;2004 3e kwartaal;2319
403;Totaal rechtsvormen Nederland/buitenland;2004 oktober;754
404;Totaal rechtsvormen Nederland/buitenland;2004 november;832
405;Totaal rechtsvormen Nederland/buitenland;2004 december;723
406;Totaal rechtsvormen Nederland/buitenland;2004 4e kwartaal;2309
407;Totaal rechtsvormen Nederland/buitenland;2004;9349
408;Totaal rechtsvormen Nederland/buitenland;2005 januari;877
409;Totaal rechtsvormen Nederland/buitenland;2005 februari;841
410;Totaal rechtsvormen Nederland/buitenland;2005 maart;871
411;Totaal rechtsvormen Nederland/buitenland;2005 1e kwartaal;2589
412;Totaal rechtsvormen Nederland/buitenland;2005 april;858
413;Totaal rechtsvormen Nederland/buitenland;2005 mei;860
414;Totaal rechtsvormen Nederland/buitenland;2005 juni;836
415;Totaal rechtsvormen Nederland/buitenland;2005 2e kwartaal;2554
416;Totaal rechtsvormen Nederland/buitenland;2005 juli;871
417;Totaal rechtsvormen Nederland/buitenland;2005 augustus;754
418;Totaal rechtsvormen Nederland/buitenland;2005 september;844
419;Totaal rechtsvormen Nederland/buitenland;2005 3e kwartaal;2469
420;Totaal rechtsvormen Nederland/buitenland;2005 oktober;869
421;Totaal rechtsvormen Nederland/buitenland;2005 november;830
422;Totaal rechtsvormen Nederland/buitenland;2005 december;771
423;Totaal rechtsvormen Nederland/buitenland;2005 4e kwartaal;2470
424;Totaal rechtsvormen Nederland/buitenland;2005;10082
425;Totaal rechtsvormen Nederland/buitenland;2006 januari;858
426;Totaal rechtsvormen Nederland/buitenland;2006 februari;823
427;Totaal rechtsvormen Nederland/buitenland;2006 maart;861
428;Totaal rechtsvormen Nederland/buitenland;2006 1e kwartaal;2542
429;Totaal rechtsvormen Nederland/buitenland;2006 april;805
430;Totaal rechtsvormen Nederland/buitenland;2006 mei;787
431;Totaal rechtsvormen Nederland/buitenland;2006 juni;728
432;Totaal rechtsvormen Nederland/buitenland;2006 2e kwartaal;2320
