ID;Perioden;TotaalIngeschrevenStrafzaken_1;TotaalAfdoeningenOpenbaarMinisterie_2;Sepots_3;Transacties_4;Voeging_5;Overdracht_6;TotaalAfdoeningenDoorDeRechter_7;Schuldigverklaring_8;VrijspraakOntslagVanRechtsvervolging_9;OverigeAfdoeningenDoorDeRechter_10;TotaalIngeschrevenStrafzaken_11;TotaalBeslissingenOpenbaarMinisterie_12;DagvaardingEnOproepenTtz_13;OnvoorwaardelijkSepot_14;VoorwaardelijkBeleidssepot_15;Transactie_16;Strafbeschikking_17;Voeging_18;Overdracht_19;OverigeEnOnbekendeBeslissingenOM_20;TotaalAfdoeningenDoorDeRechter_21;Schuldigverklaring_22;VrijspraakOntslagVanRechtsvervolging_23;OverigeAfdoeningenDoorDeRechter_24;TotaalBeschikkingenWetMulder_25;Snelheid_26;Verkeerslichten_27;ParkerenStilstaan_28;OverigeBeschikkingenWetMulder_29;TotaalOpBasisVanKenteken_30;Snelheid_31;Verkeerslichten_32;ParkerenStilstaan_33;OverigeBeschikkingenWetMulder_34;TotaalOpBasisVanStaandehouding_35;Snelheid_36;Verkeerslichten_37;ParkerenStilstaan_38;OverigeBeschikkingenWetMulder_39
10;2004;300.9;140.1;44.7;54.1;37.4;3.9;174.1;163.1;4.9;6.1;274.0;293.6;165.9;27.4;3.9;78.6;;14.0;3.7;0.1;136.1;128.8;6.6;0.7;10372.7;7271.0;379.3;1132.1;1590.3;8766.5;7097.9;269.0;1074.9;324.8;1606.2;173.1;110.4;57.2;1265.5
11;2005;289.3;123.7;40.6;49.0;30.7;3.4;165.4;156.5;4.7;4.1;266.9;285.8;162.8;26.5;4.8;76.1;;12.0;3.6;0.1;136.3;127.8;7.7;0.8;10977.4;7964.2;407.9;1039.9;1565.5;9341.8;7778.3;283.6;984.7;295.1;1635.6;185.9;124.2;55.1;1270.3
12;2006;262.0;113.0;41.2;49.4;19.8;2.6;181.0;168.6;5.6;6.8;267.7;287.2;161.2;27.8;5.5;77.9;;11.6;3.3;0.1;137.8;127.6;9.3;0.9;11943.8;8874.1;368.3;1000.2;1701.1;10411.6;8692.7;247.4;949.2;522.3;1532.2;181.4;120.9;51.1;1178.8
13;2007;252.2;101.1;34.8;49.5;14.9;1.9;155.7;144.3;5.4;6.0;272.7;281.6;159.3;27.3;5.6;74.2;;11.6;3.3;0.2;131.1;121.0;9.3;0.8;12640.9;9740.9;326.2;949.9;1624.0;11180.1;9557.1;208.4;898.0;516.5;1460.8;183.7;117.8;51.8;1107.5
14;2008;233.6;93.4;27.1;44.5;20.0;1.8;169.7;153.0;5.8;10.9;263.0;275.9;152.2;31.4;7.2;69.6;;12.0;3.6;0.0;131.5;120.0;10.6;0.9;11663.0;9159.3;277.4;880.5;1345.8;10569.9;9029.9;187.1;841.2;511.8;1093.1;129.4;90.4;39.3;834.0
15;2009;211.0;86.4;38.1;36.1;11.0;1.3;147.0;;;;232.7;268.2;145.9;31.2;7.2;66.6;5.7;8.6;2.9;0.1;131.0;119.6;10.5;0.9;11823.2;9102.9;297.9;921.6;1500.9;10503.6;8945.8;189.7;874.2;493.9;1319.6;157.0;108.2;47.4;1007.0
16;2010;193.6;42.2;14.4;26.0;1.4;0.4;144.2;;;;212.9;222.2;129.1;23.8;6.3;43.0;12.7;5.2;1.8;0.3;113.5;102.4;10.4;0.8;10973.5;8303.6;321.1;911.7;1437.1;9843.2;8175.4;227.6;867.3;573.0;1130.3;128.2;93.6;44.4;864.1
17;2011;167.1;33.0;15.0;17.5;0.4;0.1;139.5;;;;232.5;239.4;128.7;30.1;7.0;36.5;30.3;4.7;1.3;0.8;109.4;97.9;10.6;0.9;9728.8;7403.5;243.0;852.7;1229.6;8981.1;7315.6;181.2;820.4;664.0;747.7;88.0;61.8;32.3;565.6
18;2012;119.9;18.7;13.2;5.1;0.3;0.1;84.4;;;;226.9;240.4;117.9;35.9;9.1;25.8;44.3;4.5;1.3;1.5;104.2;92.8;10.4;1.0;9661.1;7600.2;228.6;715.9;1116.5;9160.0;7539.2;188.2;691.5;741.2;501.1;61.0;40.4;24.4;375.3
19;2013;87.7;16.3;13.2;2.9;0.2;0.1;65.0;;;;210.6;224.3;109.0;39.7;9.8;18.2;41.3;3.1;0.8;2.5;104.6;92.8;10.7;1.2;10334.6;8442.4;223.9;668.4;1000.0;9780.1;8378.5;179.1;642.0;580.5;554.5;63.8;44.8;26.4;419.5
20;2014;;;;;;;;;;;212.3;221.8;111.7;40.6;11.1;14.5;38.3;2.5;0.4;2.8;102.1;89.7;11.1;1.3;8306.1;6730.4;185.0;577.6;813.1;7818.3;6670.6;144.0;556.1;447.6;487.8;59.9;40.9;21.5;365.5
21;2015;;;;;;;;;;;191.5;203.9;107.3;39.3;9.3;11.9;30.9;1.8;0.3;3.0;106.4;92.2;12.5;1.7;7968.9;6636.1;215.6;472.0;645.2;7727.2;6609.4;194.5;457.5;465.8;241.7;26.7;21.1;14.6;179.5
22;2016;;;;;;;;;;;190.9;202.5;107.5;40.7;8.7;7.4;33.4;1.9;0.3;2.8;94.4;82.5;10.6;1.2;9437.7;7972.2;297.3;456.1;712.1;9080.2;7927.3;270.7;438.4;443.7;357.5;44.9;26.6;17.6;268.3
