ID;BelastingschijfElektriciteit;SBI2008;Perioden;AantalDoorDeSchijfGehaaldeEenheden_1;LeveringVoorEigenGebruik_2;ElektriciteitsproductieTotaal_3;ElektriciteitsproductieAflevering_4;ElektriciteitsproductieVerbruik_5
84;Totaal elektriciteit;231-234 Glas- en glaswerkindustrie, voor;2019;345;603100.0;5400.0;;
85;Totaal elektriciteit;231-234 Glas- en glaswerkindustrie, voor;2020;330;577700.0;10900.0;;
86;Totaal elektriciteit;231-234 Glas- en glaswerkindustrie, voor;2022;350;676100.0;19100.0;6400.0;12800.0
87;Totaal elektriciteit;235-239 Overige bouwmaterialenindustrie;2019;650;526700.0;16300.0;;
88;Totaal elektriciteit;235-239 Overige bouwmaterialenindustrie;2020;630;474900.0;24500.0;;
89;Totaal elektriciteit;235-239 Overige bouwmaterialenindustrie;2022;645;462700.0;36000.0;10900.0;25100.0
90;Totaal elektriciteit;24 Basismetaalindustrie;2019;265;5157100.0;;;900.0
91;Totaal elektriciteit;24 Basismetaalindustrie;2020;185;4819200.0;;;1700.0
92;Totaal elektriciteit;24 Basismetaalindustrie;2022;230;3259900.0;258500.0;256100.0;2400.0
93;Totaal elektriciteit;IJzer- en staalindustrie;2019;155;2459700.0;;;300.0
94;Totaal elektriciteit;IJzer- en staalindustrie;2020;150;2212300.0;;;
95;Totaal elektriciteit;IJzer- en staalindustrie;2022;135;2173600.0;258300.0;256000.0;2300.0
96;Totaal elektriciteit;Non-ferrometaalindustrie;2019;110;2697500.0;;;600.0
97;Totaal elektriciteit;Non-ferrometaalindustrie;2020;35;2607000.0;;900.0;
98;Totaal elektriciteit;Non-ferrometaalindustrie;2022;95;1086300.0;;0.0;
99;Totaal elektriciteit;25 Metaalproductenindustrie;2019;6605;1655500.0;42200.0;5800.0;36400.0
100;Totaal elektriciteit;25 Metaalproductenindustrie;2020;6730;1507500.0;88400.0;41600.0;46800.0
101;Totaal elektriciteit;25 Metaalproductenindustrie;2022;6900;1523100.0;184000.0;107600.0;76400.0
102;Totaal elektriciteit;26-28 Elektrotechn. en machine-industrie;2019;4000;1533600.0;15000.0;4000.0;11000.0
103;Totaal elektriciteit;26-28 Elektrotechn. en machine-industrie;2020;3790;1385900.0;21400.0;3300.0;18000.0
104;Totaal elektriciteit;26-28 Elektrotechn. en machine-industrie;2022;3730;1408100.0;72900.0;38700.0;34200.0
105;Totaal elektriciteit;29 Auto- en aanhangwagenindustrie;2019;490;461100.0;14000.0;7700.0;6300.0
106;Totaal elektriciteit;29 Auto- en aanhangwagenindustrie;2020;480;391800.0;6000.0;2000.0;4000.0
107;Totaal elektriciteit;29 Auto- en aanhangwagenindustrie;2022;505;327400.0;25300.0;12400.0;12900.0
108;Totaal elektriciteit;29-30 Transportmiddelenindustrie;2019;1110;666500.0;17300.0;7700.0;9600.0
109;Totaal elektriciteit;29-30 Transportmiddelenindustrie;2020;1080;613000.0;10000.0;2700.0;7300.0
110;Totaal elektriciteit;29-30 Transportmiddelenindustrie;2022;1100;580400.0;35000.0;16600.0;18500.0
111;Totaal elektriciteit;30 Overige transportmiddelenindustrie;2019;620;205300.0;3300.0;0.0;3300.0
112;Totaal elektriciteit;30 Overige transportmiddelenindustrie;2020;600;221200.0;4000.0;600.0;3300.0
113;Totaal elektriciteit;30 Overige transportmiddelenindustrie;2022;595;253000.0;9700.0;4100.0;5600.0
114;Totaal elektriciteit;31-33 Overige industrie en reparatie;2019;8715;540300.0;9500.0;1600.0;7900.0
115;Totaal elektriciteit;31-33 Overige industrie en reparatie;2020;8835;489300.0;17500.0;4300.0;13200.0
116;Totaal elektriciteit;31-33 Overige industrie en reparatie;2022;9590;455900.0;50800.0;24100.0;26800.0
117;Totaal elektriciteit;31 Meubelindustrie;2019;3070;196100.0;4400.0;1000.0;3400.0
118;Totaal elektriciteit;31 Meubelindustrie;2020;3090;175100.0;9200.0;2500.0;6700.0
119;Totaal elektriciteit;31 Meubelindustrie;2022;3330;189000.0;35500.0;15500.0;20000.0
120;Totaal elektriciteit;32 Overige industrie;2019;2040;124000.0;2200.0;0.0;2200.0
121;Totaal elektriciteit;32 Overige industrie;2020;2030;116100.0;3600.0;200.0;3400.0
122;Totaal elektriciteit;32 Overige industrie;2022;2105;93100.0;6500.0;2800.0;3800.0
123;Totaal elektriciteit;33 Reparatie en installatie van machines;2019;3605;220200.0;2900.0;600.0;2300.0
124;Totaal elektriciteit;33 Reparatie en installatie van machines;2020;3715;198100.0;4700.0;1700.0;3100.0
125;Totaal elektriciteit;33 Reparatie en installatie van machines;2022;4155;173800.0;8800.0;5800.0;3000.0
126;Totaal elektriciteit;D Energievoorziening;2019;20;558000.0;92351700.0;90210300.0;2141400.0
127;Totaal elektriciteit;D Energievoorziening;2020;15;288900.0;88997000.0;87029700.0;1967300.0
128;Totaal elektriciteit;D Energievoorziening;2022;15;274500.0;83705000.0;81315000.0;2390000.0
129;Totaal elektriciteit;E Waterbedrijven en afvalbeheer;2019;1195;2178900.0;4710200.0;3666000.0;1044200.0
130;Totaal elektriciteit;E Waterbedrijven en afvalbeheer;2020;1170;2155300.0;4808400.0;3782500.0;1025900.0
131;Totaal elektriciteit;E Waterbedrijven en afvalbeheer;2022;1180;2138300.0;5179100.0;3968800.0;1210200.0
132;Totaal elektriciteit;F Bouwnijverheid;2019;51610;882100.0;96100.0;;
133;Totaal elektriciteit;F Bouwnijverheid;2020;58325;962100.0;170400.0;;
134;Totaal elektriciteit;F Bouwnijverheid;2022;65440;994700.0;348300.0;;
135;Totaal elektriciteit;G Handel;2019;199960;8171900.0;305400.0;;
136;Totaal elektriciteit;G Handel;2020;196080;7953700.0;454300.0;;
137;Totaal elektriciteit;G Handel;2022;185505;7717300.0;;;
138;Totaal elektriciteit;H Vervoer en opslag;2019;50850;5668900.0;142600.0;;
139;Totaal elektriciteit;H Vervoer en opslag;2020;56095;5598200.0;216900.0;;
140;Totaal elektriciteit;H Vervoer en opslag;2022;65740;5909900.0;;;
141;Totaal elektriciteit;I Horeca;2019;97125;3302200.0;35900.0;;
142;Totaal elektriciteit;I Horeca;2020;98630;2986300.0;56400.0;;
143;Totaal elektriciteit;I Horeca;2022;98885;3232600.0;;;
144;Totaal elektriciteit;J Informatie en communicatie;2019;45155;4026000.0;7400.0;;
145;Totaal elektriciteit;J Informatie en communicatie;2020;46325;4408400.0;12300.0;;
146;Totaal elektriciteit;J Informatie en communicatie;2022;45025;5391800.0;;;
147;Totaal elektriciteit;K Financiële dienstverlening;2019;36570;1267500.0;80700.0;;
148;Totaal elektriciteit;K Financiële dienstverlening;2020;34955;1172500.0;138600.0;;
149;Totaal elektriciteit;K Financiële dienstverlening;2022;35500;1109300.0;;;
150;Totaal elektriciteit;L Verhuur en handel van onroerend goed;2019;20585;997800.0;60300.0;;
151;Totaal elektriciteit;L Verhuur en handel van onroerend goed;2020;20205;943300.0;104800.0;;
152;Totaal elektriciteit;L Verhuur en handel van onroerend goed;2022;23680;976400.0;;;
153;Totaal elektriciteit;M Specialistische zakelijke diensten;2019;46875;1422800.0;77300.0;;
154;Totaal elektriciteit;M Specialistische zakelijke diensten;2020;46785;1415500.0;125100.0;;
155;Totaal elektriciteit;M Specialistische zakelijke diensten;2022;48530;1520000.0;;;
156;Totaal elektriciteit;N Verhuur en overige zakelijke diensten;2019;17080;638800.0;35100.0;;
157;Totaal elektriciteit;N Verhuur en overige zakelijke diensten;2020;15925;593800.0;50500.0;;
158;Totaal elektriciteit;N Verhuur en overige zakelijke diensten;2022;15510;560300.0;;;
159;Totaal elektriciteit;O Openbaar bestuur en overheidsdiensten;2019;103980;2968300.0;97000.0;;
160;Totaal elektriciteit;O Openbaar bestuur en overheidsdiensten;2020;103050;2884000.0;141100.0;;
161;Totaal elektriciteit;O Openbaar bestuur en overheidsdiensten;2022;102590;2729600.0;;;
162;Totaal elektriciteit;P Onderwijs;2019;16830;1450500.0;207200.0;;
163;Totaal elektriciteit;P Onderwijs;2020;16415;1366000.0;205900.0;;
164;Totaal elektriciteit;P Onderwijs;2022;17080;1486700.0;;;
165;Totaal elektriciteit;Q Gezondheids- en welzijnszorg;2019;82050;3338100.0;308000.0;;
166;Totaal elektriciteit;Q Gezondheids- en welzijnszorg;2020;80260;3279100.0;349700.0;;
167;Totaal elektriciteit;Q Gezondheids- en welzijnszorg;2022;70955;3170500.0;;;
168;Totaal elektriciteit;R Cultuur, sport en recreatie;2019;28355;1444700.0;92500.0;;
169;Totaal elektriciteit;R Cultuur, sport en recreatie;2020;27125;1249500.0;135400.0;;
170;Totaal elektriciteit;R Cultuur, sport en recreatie;2022;27975;1352500.0;;;
171;Totaal elektriciteit;S Overige dienstverlening;2019;35785;541800.0;23900.0;;
172;Totaal elektriciteit;S Overige dienstverlening;2020;33750;475000.0;35900.0;;
173;Totaal elektriciteit;S Overige dienstverlening;2022;33180;469900.0;;;
174;Totaal elektriciteit;U Extraterritoriale organisaties;2019;560;51100.0;0.0;;
175;Totaal elektriciteit;U Extraterritoriale organisaties;2020;570;48100.0;0.0;;
176;Totaal elektriciteit;U Extraterritoriale organisaties;2022;560;43000.0;;;
177;Schijf 1: 0 t/m 10 000 kWh;A-U Alle economische activiteiten;2019;947410;5958000.0;;;
178;Schijf 1: 0 t/m 10 000 kWh;A-U Alle economische activiteiten;2020;949125;5943100.0;;;
179;Schijf 1: 0 t/m 10 000 kWh;A-U Alle economische activiteiten;2022;940410;5818700.0;;;
