ID;RegioS;Perioden;TotaalTehuizenNaarGrootteklasse_1;MinderDan25Bewoners_2;k_2549Bewoners_3;k_5074Bewoners_4;k_7599Bewoners_5;k_100149Bewoners_6;k_150199Bewoners_7;k_200249Bewoners_8;k_250EnMeerBewoners_9;TotaleCapaciteit_10;Verzorgingsplaatsen_11;Ziekenbedden_12;TotaalAppartementen_13;Eenpersoons_14;Meerpersoons_15;TotaalAantalBewoners_16
30;West-Nederland;2001;565;10;73;162;130;134;45;8;3;50202;49715;487;46275;42255;4020;47204
31;West-Nederland;2002;564;10;70;164;127;141;42;7;3;50078;49575;503;46220;42286;3934;47131
32;Zuid-Nederland;1995;326;26;59;85;67;63;19;0;0;25846;25656;190;23851;22145;1706;24288
33;Zuid-Nederland;1996;322;21;63;80;68;65;18;0;0;25662;25476;186;23818;22171;1647;24138
34;Zuid-Nederland;1997;324;24;68;82;66;60;19;0;0;25335;25188;147;23584;21811;1773;24046
35;Zuid-Nederland;1998;324;17;73;89;66;57;16;0;0;25114;24824;290;23372;21552;1820;23779
36;Zuid-Nederland;1999;322;14;71;89;67;60;17;0;0;24975;24794;181;23534;21440;2094;23812
37;Zuid-Nederland;2000;322;16;73;85;67;59;18;4;0;25108;24963;145;23556;21337;2219;23404
38;Zuid-Nederland;2001;320;15;72;94;62;58;15;4;0;24354;24141;213;22822;20829;1993;22631
39;Zuid-Nederland;2002;320;13;71;95;64;59;14;4;0;24255;24070;185;22350;20354;1996;22405
40;Groningen;1995;65;1;6;23;20;10;4;1;0;5430;5266;165;4880;4494;386;4857
41;Groningen;1996;66;1;7;26;16;12;4;0;0;5311;5181;130;4808;4436;373;4745
42;Groningen;1997;65;1;8;27;16;11;1;1;0;5072;5007;64;4693;4319;374;4751
43;Groningen;1998;62;0;7;27;15;10;2;1;0;4946;4889;57;4615;4225;392;4659
44;Groningen;1999;63;0;7;28;15;10;2;1;0;4926;4861;65;4599;4217;382;4603
45;Groningen;2000;63;0;12;28;12;11;0;0;0;4544;4497;47;4312;3951;361;4460
46;Groningen;2001;62;0;10;28;14;9;1;0;0;4559;4518;42;4167;3835;332;4432
47;Groningen;2002;62;0;11;27;14;9;1;0;0;4550;4509;41;4220;3895;325;4348
48;Friesland;1995;67;2;11;24;13;13;2;1;0;5375;5270;106;4840;4414;426;5051
49;Friesland;1996;66;2;12;23;12;14;2;1;0;5191;5101;91;4692;4288;403;4892
50;Friesland;1997;65;2;11;25;12;11;3;1;0;5010;4968;42;4632;4183;449;4842
51;Friesland;1998;65;4;11;25;13;9;2;1;0;4737;4683;54;4403;4011;392;4491
52;Friesland;1999;63;1;11;26;18;4;2;1;0;4604;4553;51;4311;3752;559;4418
53;Friesland;2000;62;1;11;25;17;5;2;1;0;4622;4496;126;4357;3513;844;4341
54;Friesland;2001;62;1;12;24;18;5;2;0;0;4409;4355;53;4006;3650;356;4165
55;Friesland;2002;61;1;11;26;16;4;2;1;0;4443;4392;51;4130;3808;322;4223
56;Drenthe;1995;43;2;2;12;17;8;2;0;0;3665;3522;143;3224;2928;296;3317
57;Drenthe;1996;43;1;3;13;16;9;1;0;0;3495;3363;132;3095;2827;268;3220
58;Drenthe;1997;43;2;1;15;16;7;2;0;0;3475;3414;61;3114;2777;337;3280
59;Drenthe;1998;41;0;1;19;13;6;2;0;0;3342;3260;82;3054;2801;253;3146
60;Drenthe;1999;41;0;1;19;12;8;1;0;0;3378;3324;54;3127;2790;337;3216
61;Drenthe;2000;41;0;1;19;11;9;1;0;0;3458;3394;64;3081;2748;333;3166
62;Drenthe;2001;50;3;7;19;13;7;1;0;0;3637;3582;55;3166;2810;356;3373
63;Drenthe;2002;50;3;7;22;9;8;1;0;0;3563;3502;61;3211;2853;358;3332
64;Overijssel;1995;98;10;12;26;19;20;6;0;0;8802;8682;120;7974;7270;704;8016
65;Overijssel;1996;92;10;12;24;19;16;6;0;0;8325;8217;107;7544;6877;667;7463
66;Overijssel;1997;93;11;13;24;19;20;3;0;0;7647;7600;47;7467;6751;716;7500
67;Overijssel;1998;96;11;14;27;20;16;5;0;0;7880;7800;80;7317;6617;701;7458
68;Overijssel;1999;94;11;12;26;20;16;6;0;0;7836;7774;62;7301;6346;955;7512
69;Overijssel;2000;93;11;13;23;22;16;5;1;2;7638;7585;53;7155;6200;955;7132
70;Overijssel;2001;94;12;12;23;25;13;6;1;2;7692;7640;52;7102;6473;629;7127
71;Overijssel;2002;94;12;12;27;21;15;4;1;2;7486;7442;44;6847;6208;639;6906
72;Flevoland;1995;11;0;1;1;3;5;1;0;0;1097;1073;24;995;916;79;1044
73;Flevoland;1996;10;0;1;1;3;4;1;0;0;950;938;12;865;793;72;883
74;Flevoland;1997;11;0;1;1;4;4;1;0;0;991;986;5;944;866;78;986
75;Flevoland;1998;12;0;1;1;4;5;1;0;0;1086;1075;11;1008;934;75;1033
76;Flevoland;1999;12;0;1;1;4;5;1;0;0;1076;1066;10;1022;933;89;1018
77;Flevoland;2000;12;0;1;1;8;1;1;0;0;1076;1059;17;1034;944;90;1008
78;Flevoland;2001;12;0;1;1;5;4;1;0;0;1081;1064;17;1019;929;90;1004
79;Flevoland;2002;12;0;1;1;4;5;1;0;0;1099;1080;19;1026;943;83;1038
80;Gelderland;1995;196;5;31;68;50;32;7;0;0;15333;15238;95;14120;13079;1041;14310
81;Gelderland;1996;195;9;30;68;49;32;5;0;0;14732;14630;102;13616;12671;945;13728
82;Gelderland;1997;193;7;33;74;47;27;3;0;0;14111;14058;53;13389;12427;962;13687
83;Gelderland;1998;189;6;31;74;46;28;2;0;0;13841;13721;120;13018;12054;959;13260
84;Gelderland;1999;189;6;32;70;47;30;1;0;0;13935;13821;114;13095;11969;1126;13357
85;Gelderland;2000;188;5;32;69;46;32;2;1;1;14066;13969;97;13275;12043;1232;13205
86;Gelderland;2001;181;3;31;64;47;30;4;1;1;13951;13848;103;12819;11601;1218;12984
87;Gelderland;2002;179;3;33;62;48;29;2;1;1;13459;13374;85;12411;11317;1094;12705
88;Utrecht;1995;92;3;11;22;18;26;6;0;0;9134;8850;284;8164;7480;684;8047
89;Utrecht;1996;90;4;15;20;20;22;6;0;0;7824;7617;207;7068;6520;548;7127
90;Utrecht;1997;92;6;15;20;20;22;6;0;0;7782;7713;69;7386;6785;600;7415
91;Utrecht;1998;91;7;18;21;22;16;6;0;0;7106;7002;104;6656;6148;511;6640
92;Utrecht;1999;89;7;17;22;19;19;4;0;0;6916;6851;65;6545;5822;723;6578
93;Utrecht;2000;86;6;19;21;20;14;5;1;0;6637;6586;51;6201;5360;841;6249
94;Utrecht;2001;84;5;18;21;21;14;5;0;0;6429;6378;51;5942;5445;497;6044
95;Utrecht;2002;84;4;17;23;21;14;4;1;0;6502;6453;49;6045;5583;462;6148
96;Noord-Holland;1995;237;6;41;55;49;55;19;0;0;22463;21976;486;20246;18563;1683;20419
97;Noord-Holland;1996;226;4;39;50;52;57;14;0;0;21161;20735;426;19188;17651;1536;19333
98;Noord-Holland;1997;222;7;41;58;41;52;16;0;0;19682;19448;234;18398;16881;1516;18644
99;Noord-Holland;1998;212;7;40;52;43;50;14;0;0;18482;18185;297;17243;15840;1406;17393
100;Noord-Holland;1999;204;5;37;49;42;50;16;0;0;17917;17745;172;16913;15385;1528;17012
101;Noord-Holland;2000;199;5;40;43;51;43;13;3;1;17180;17020;160;16068;14566;1502;16269
102;Noord-Holland;2001;196;4;32;49;44;46;16;4;1;17445;17284;160;16006;14504;1502;16323
103;Noord-Holland;2002;196;4;29;53;40;51;15;3;1;17378;17206;172;15934;14438;1496;16349
104;Zuid-Holland;1995;243;1;6;62;45;83;32;0;0;26815;26168;647;24094;22108;1973;24489
105;Zuid-Holland;1996;250;2;10;65;55;76;26;0;0;26718;26127;591;24131;22187;1943;24022
106;Zuid-Holland;1997;243;1;11;70;51;74;23;0;0;24700;24471;229;22736;20940;1796;23176
107;Zuid-Holland;1998;245;1;15;73;51;76;23;0;0;24249;23943;306;22453;20614;1841;22632
108;Zuid-Holland;1999;246;2;17;72;53;73;24;0;0;23444;23191;253;22004;20131;1873;22255
109;Zuid-Holland;2000;243;1;23;71;55;68;19;5;1;22784;22563;221;21465;19736;1729;21581
110;Zuid-Holland;2001;242;1;20;73;51;69;23;4;1;22909;22662;247;21214;19482;1732;21601
111;Zuid-Holland;2002;241;2;22;67;52;72;22;3;1;22787;22543;244;21128;19444;1684;21429
112;Zeeland;1995;46;0;2;19;16;7;1;0;0;3878;3790;88;3518;3245;272;3653
113;Zeeland;1996;44;0;2;19;15;6;1;0;0;3674;3618;56;3372;3125;246;3483
114;Zeeland;1997;43;0;2;20;15;4;1;0;0;3504;3469;35;3245;3011;234;3392
115;Zeeland;1998;43;0;2;21;14;5;0;0;0;3469;3433;36;3241;3017;224;3313
116;Zeeland;1999;43;0;2;21;14;4;1;0;0;3434;3392;42;3185;2879;306;3284
117;Zeeland;2000;43;0;3;17;15;6;1;0;1;3556;3514;42;3301;2986;315;3298
118;Zeeland;2001;43;0;3;19;14;5;1;0;1;3420;3391;29;3113;2824;289;3236
119;Zeeland;2002;43;0;2;21;14;4;1;0;1;3411;3373;38;3113;2821;292;3205
120;Noord-Brabant;1995;223;18;41;61;49;38;9;0;0;17176;17028;148;15751;14529;1200;16080
121;Noord-Brabant;1996;220;16;45;56;50;40;7;0;0;16908;16755;152;15600;14454;1146;15909
122;Noord-Brabant;1997;221;17;50;59;48;35;7;0;0;16638;16508;130;15445;14164;1281;15768
123;Noord-Brabant;1998;224;14;53;65;47;34;5;0;0;16537;16308;229;15364;14160;1200;15661
124;Noord-Brabant;1999;221;11;53;61;48;38;6;0;0;16492;16357;135;15514;14012;1502;15745
125;Noord-Brabant;2000;221;13;51;61;47;38;7;4;0;16649;16545;104;15564;13928;1636;15489
126;Noord-Brabant;2001;220;13;50;66;43;38;6;4;0;16296;16153;144;15244;13839;1405;15121
127;Noord-Brabant;2002;220;13;48;66;46;37;6;4;0;16245;16125;120;14952;13577;1375;14889
128;Limburg;1995;103;8;18;24;18;25;10;0;0;8670;8628;42;8122;7616;506;8208
129;Limburg;1996;102;5;18;24;18;25;11;0;0;8755;8721;34;8219;7717;501;8229
130;Limburg;1997;103;7;18;23;18;25;12;0;0;8697;8680;17;8139;7647;492;8278
131;Limburg;1998;100;3;20;24;19;23;11;0;0;8577;8516;61;8011;7392;620;8118
132;Limburg;1999;101;3;18;28;19;22;11;0;0;8483;8437;46;8020;7428;592;8067
133;Limburg;2000;101;3;22;24;20;21;11;0;0;8459;8418;41;7992;7409;583;7915
134;Limburg;2001;100;2;22;28;19;20;9;0;0;8057;7988;69;7577;6990;588;7510
135;Limburg;2002;100;0;23;29;18;22;8;0;0;8010;7945;65;7398;6777;621;7516
136;Amsterdam;1995;43;0;2;5;9;14;4;0;0;6021;5851;170;5354;4864;490;4991
137;Amsterdam;1996;44;0;4;4;11;15;4;0;0;5513;5395;117;4970;4554;416;4695
138;Amsterdam;1997;45;1;5;8;8;16;4;0;0;5012;4929;83;4644;4190;454;4533
139;Amsterdam;1998;43;2;4;7;8;16;4;0;0;4524;4460;64;4173;3781;392;4241
140;Amsterdam;1999;41;2;4;6;8;15;4;0;0;4296;4255;41;3986;3578;408;4061
141;Amsterdam;2000;41;2;5;4;11;13;4;0;0;4259;4209;51;3913;3433;479;3957
142;Amsterdam;2001;40;1;5;4;9;14;4;2;1;4357;4305;52;3978;3551;427;3996
143;Amsterdam;2002;40;1;4;6;7;16;4;1;1;4355;4287;68;3978;3551;427;3998
144;Rotterdam;1995;43;0;0;7;5;16;6;0;0;5959;5782;177;5270;4793;464;5192
145;Rotterdam;1996;42;0;0;7;9;11;7;0;0;5692;5522;170;5042;4592;450;4585
146;Rotterdam;1997;37;0;0;8;6;12;4;0;0;4661;4595;66;4218;3880;338;4038
147;Rotterdam;1998;40;0;1;10;6;18;3;0;0;4472;4391;81;4116;3703;414;3928
148;Rotterdam;1999;40;0;2;10;9;13;4;0;0;4130;4078;52;3937;3618;319;3933
149;Rotterdam;2000;39;0;2;11;9;13;2;0;0;3974;3940;34;3794;3527;267;3765
150;Rotterdam;2001;39;0;2;9;8;14;4;1;1;4102;4064;38;3839;3564;275;3922
151;Rotterdam;2002;39;0;2;9;8;16;2;1;1;4084;4050;34;3839;3564;275;3839
152;Den Haag;1995;35;0;0;3;4;17;10;0;0;4614;4448;166;4171;3893;277;4181
153;Den Haag;1996;37;0;2;3;6;19;7;0;0;4456;4321;134;4055;3790;265;3972
154;Den Haag;1997;37;0;2;4;7;17;7;0;0;4217;4172;45;3925;3651;274;3993
155;Den Haag;1998;37;0;2;5;6;17;7;0;0;4204;4154;50;3889;3588;303;3964
156;Den Haag;1999;37;0;3;4;6;17;7;0;0;4125;4074;51;3859;3520;339;3924
157;Den Haag;2000;37;0;4;3;9;14;7;0;0;4054;4023;32;3825;3504;321;3839
158;Den Haag;2001;36;0;3;3;7;16;7;0;0;4037;4004;33;3742;3427;315;3799
159;Den Haag;2002;36;0;3;3;6;17;7;0;0;4050;4015;35;3742;3427;315;3753
160;Utrecht;1995;13;0;0;1;0;6;1;0;0;2345;2309;36;2119;1932;187;1906
161;Utrecht;1996;14;1;0;1;0;7;2;0;0;1868;1839;28;1719;1599;120;1772
162;Utrecht;1997;14;1;0;1;2;6;2;0;0;1742;1736;6;1771;1620;151;1671
163;Utrecht;1998;14;1;1;1;3;4;3;0;0;1492;1479;13;1446;1329;118;1435
164;Utrecht;1999;13;1;1;1;1;6;2;0;0;1465;1457;8;1432;1125;307;1399
165;Utrecht;2000;13;1;1;2;0;5;4;0;0;1444;1436;8;1351;955;396;1360
166;Utrecht;2001;10;0;1;1;1;4;3;0;0;1156;1149;7;1071;971;100;1077
167;Utrecht;2002;10;0;1;1;1;4;2;1;0;1155;1149;6;1071;971;100;1100
