ID;Energiedragers;Perioden;TotaalAanbodTPES_1;Winning_2;Invoer_3;Uitvoer_4;Invoersaldo_5;Bunkering_6;Voorraadmutatie_7;Verbruikssaldo_8;TotaalInzet_9;InzetElektriciteitWKKOmzetting_10;InzetAndereOmzetting_11;TotaalProductie_12;ProductieElektriciteitWKKOmzetting_13;ProductieAndereOmzetting_14;TotaalSaldoEnergieomzetting_15;SaldoElektriciteitWKKOmzetting_16;SaldoAndereOmzetting_17;EigenVerbruikEnergiesector_18;VerliezenBijDistributie_19;TotaalFinaalVerbruik_20;FinaalEnergieverbruik_21;NietEnergetischGebruik_22;StatistischeVerschillen_23
55;Totaal energiedragers;1996 2e kwartaal;708.0;591.0;1623.0;1297.0;326.0;146.0;-62.0;;993.0;208.0;785.0;875.0;115.0;761.0;118.0;93.0;24.0;45.0;5.0;;;115.0;
56;Totaal energiedragers;1996 3e kwartaal;659.0;449.0;1585.0;1265.0;320.0;147.0;36.0;;989.0;210.0;779.0;868.0;115.0;753.0;121.0;95.0;26.0;41.0;5.0;;;124.0;
57;Totaal energiedragers;1996 4e kwartaal;914.0;926.0;1733.0;1549.0;184.0;146.0;-50.0;;1024.0;241.0;783.0;897.0;139.0;758.0;127.0;102.0;25.0;42.0;5.0;;;123.0;
58;Totaal energiedragers;1996;3269.0;3143.0;6500.0;5794.0;706.0;583.0;3.0;3291.0;4024.0;894.0;3130.0;3532.0;505.0;3027.0;492.0;389.0;103.0;174.0;22.0;2602.0;2126.0;475.0;-21.0
59;Totaal energiedragers;1997 1e kwartaal;901.0;962.0;1626.0;1550.0;76.0;147.0;10.0;;997.0;226.0;772.0;876.0;134.0;742.0;121.0;91.0;30.0;42.0;6.0;;;119.0;
60;Totaal energiedragers;1997 2e kwartaal;720.0;540.0;1743.0;1375.0;368.0;159.0;-28.0;;1012.0;204.0;808.0;897.0;116.0;781.0;115.0;88.0;27.0;41.0;5.0;;;127.0;
61;Totaal energiedragers;1997 3e kwartaal;660.0;427.0;1753.0;1285.0;468.0;163.0;-72.0;;991.0;214.0;777.0;863.0;115.0;748.0;128.0;99.0;29.0;44.0;5.0;;;126.0;
62;Totaal energiedragers;1997 4e kwartaal;882.0;867.0;1722.0;1566.0;156.0;158.0;17.0;;993.0;241.0;752.0;862.0;140.0;722.0;131.0;100.0;30.0;39.0;6.0;;;123.0;
63;Totaal energiedragers;1997;3163.0;2795.0;6844.0;5776.0;1068.0;627.0;-73.0;3177.0;3993.0;884.0;3109.0;3498.0;506.0;2992.0;495.0;379.0;117.0;167.0;21.0;2494.0;1998.0;496.0;-14.0
64;Totaal energiedragers;1998 1e kwartaal;880.0;855.0;1717.0;1529.0;187.0;147.0;-16.0;;1028.0;236.0;793.0;904.0;140.0;764.0;124.0;95.0;29.0;44.0;6.0;;;125.0;
65;Totaal energiedragers;1998 2e kwartaal;705.0;477.0;1726.0;1294.0;432.0;157.0;-47.0;;972.0;219.0;754.0;845.0;124.0;721.0;127.0;94.0;33.0;39.0;5.0;;;119.0;
66;Totaal energiedragers;1998 3e kwartaal;660.0;417.0;1737.0;1341.0;395.0;161.0;10.0;;1038.0;218.0;819.0;909.0;120.0;789.0;129.0;98.0;31.0;39.0;5.0;;;118.0;
67;Totaal energiedragers;1998 4e kwartaal;940.0;935.0;1732.0;1591.0;141.0;168.0;33.0;;1069.0;250.0;819.0;932.0;147.0;785.0;137.0;103.0;33.0;46.0;6.0;;;115.0;
68;Totaal energiedragers;1998;3184.0;2684.0;6913.0;5760.0;1153.0;634.0;-20.0;3188.0;4107.0;922.0;3185.0;3590.0;531.0;3059.0;517.0;391.0;126.0;168.0;23.0;2481.0;1995.0;486.0;-4.0
69;Totaal energiedragers;1999 1e kwartaal;891.0;889.0;1707.0;1560.0;147.0;158.0;12.0;;1002.0;233.0;768.0;880.0;140.0;740.0;122.0;94.0;28.0;42.0;7.0;;;119.0;
70;Totaal energiedragers;1999 2e kwartaal;709.0;476.0;1754.0;1315.0;439.0;170.0;-36.0;;964.0;205.0;759.0;848.0;118.0;730.0;116.0;87.0;29.0;38.0;5.0;;;126.0;
71;Totaal energiedragers;1999 3e kwartaal;645.0;368.0;1646.0;1242.0;404.0;165.0;39.0;;961.0;206.0;755.0;841.0;116.0;725.0;119.0;89.0;30.0;35.0;5.0;;;120.0;
72;Totaal energiedragers;1999 4e kwartaal;881.0;777.0;1691.0;1539.0;151.0;167.0;119.0;;990.0;239.0;750.0;862.0;141.0;722.0;128.0;99.0;29.0;41.0;6.0;;;125.0;
73;Totaal energiedragers;1999;3126.0;2510.0;6797.0;5657.0;1141.0;660.0;135.0;3140.0;3916.0;883.0;3033.0;3432.0;515.0;2917.0;484.0;369.0;116.0;156.0;23.0;2476.0;1987.0;490.0;-14.0
74;Totaal energiedragers;2000 1e kwartaal;905.0;896.0;1781.0;1629.0;152.0;157.0;14.0;;993.0;240.0;753.0;867.0;142.0;725.0;126.0;98.0;28.0;42.0;6.0;;;124.0;
75;Totaal energiedragers;2000 2e kwartaal;698.0;470.0;1808.0;1336.0;473.0;179.0;-66.0;;921.0;213.0;708.0;802.0;121.0;681.0;119.0;92.0;27.0;36.0;5.0;;;119.0;
76;Totaal energiedragers;2000 3e kwartaal;676.0;352.0;1935.0;1404.0;531.0;177.0;-30.0;;989.0;218.0;771.0;860.0;121.0;739.0;129.0;97.0;32.0;36.0;5.0;;;133.0;
77;Totaal energiedragers;2000 4e kwartaal;880.0;710.0;1941.0;1584.0;357.0;175.0;-12.0;;1052.0;236.0;816.0;927.0;141.0;786.0;125.0;95.0;30.0;40.0;7.0;;;122.0;
78;Totaal energiedragers;2000;3159.0;2428.0;7465.0;5952.0;1513.0;689.0;-94.0;3157.0;3955.0;906.0;3048.0;3456.0;525.0;2931.0;499.0;381.0;118.0;154.0;24.0;2481.0;1982.0;498.0;2.0
79;Totaal energiedragers;2001 1e kwartaal;951.0;903.0;1944.0;1689.0;255.0;176.0;-31.0;;1022.0;251.0;771.0;886.0;146.0;740.0;136.0;105.0;31.0;41.0;7.0;;;125.0;
80;Totaal energiedragers;2001 2e kwartaal;739.0;522.0;1956.0;1581.0;375.0;183.0;26.0;;995.0;227.0;768.0;863.0;126.0;737.0;132.0;101.0;31.0;36.0;6.0;;;135.0;
81;Totaal energiedragers;2001 3e kwartaal;683.0;386.0;2035.0;1513.0;521.0;181.0;-43.0;;978.0;225.0;753.0;844.0;122.0;721.0;134.0;102.0;32.0;36.0;5.0;;;124.0;
82;Totaal energiedragers;2001 4e kwartaal;882.0;778.0;1887.0;1628.0;259.0;197.0;42.0;;1009.0;249.0;760.0;870.0;142.0;727.0;139.0;107.0;33.0;41.0;7.0;;;122.0;
83;Totaal energiedragers;2001;3255.0;2588.0;7821.0;6411.0;1410.0;736.0;-7.0;3242.0;4004.0;953.0;3052.0;3462.0;537.0;2925.0;542.0;415.0;127.0;153.0;24.0;2522.0;2016.0;506.0;13.0
84;Totaal energiedragers;2002 1e kwartaal;931.0;855.0;1960.0;1691.0;269.0;176.0;-16.0;;1025.0;253.0;772.0;888.0;147.0;741.0;137.0;105.0;31.0;42.0;7.0;;;131.0;
85;Totaal energiedragers;2002 2e kwartaal;722.0;498.0;1925.0;1519.0;406.0;196.0;14.0;;923.0;228.0;695.0;796.0;126.0;670.0;127.0;102.0;25.0;37.0;6.0;;;126.0;
86;Totaal energiedragers;2002 3e kwartaal;707.0;414.0;1910.0;1493.0;417.0;186.0;62.0;;954.0;229.0;725.0;817.0;124.0;693.0;136.0;105.0;32.0;35.0;6.0;;;142.0;
87;Totaal energiedragers;2002 4e kwartaal;934.0;787.0;2058.0;1738.0;320.0;180.0;6.0;;1002.0;258.0;745.0;861.0;147.0;714.0;141.0;110.0;31.0;35.0;7.0;;;142.0;
88;Totaal energiedragers;2002;3294.0;2554.0;7854.0;6442.0;1412.0;737.0;66.0;3271.0;3903.0;967.0;2936.0;3362.0;545.0;2817.0;541.0;422.0;119.0;150.0;25.0;2555.0;2013.0;541.0;23.0
89;Totaal energiedragers;2003 1e kwartaal;978.0;927.0;1909.0;1741.0;169.0;164.0;47.0;;989.0;257.0;732.0;850.0;150.0;700.0;139.0;107.0;32.0;39.0;7.0;;;137.0;
90;Totaal energiedragers;2003 2e kwartaal;752.0;397.0;2057.0;1469.0;588.0;172.0;-60.0;;1007.0;229.0;777.0;873.0;127.0;746.0;133.0;102.0;31.0;36.0;6.0;;;148.0;
91;Totaal energiedragers;2003 3e kwartaal;720.0;326.0;2015.0;1407.0;608.0;179.0;-34.0;;1041.0;235.0;805.0;897.0;126.0;771.0;144.0;109.0;34.0;37.0;5.0;;;162.0;
92;Totaal energiedragers;2003 4e kwartaal;957.0;823.0;1964.0;1707.0;257.0;182.0;60.0;;990.0;251.0;739.0;848.0;144.0;704.0;142.0;107.0;35.0;40.0;7.0;;;154.0;
93;Totaal energiedragers;2003;3407.0;2472.0;7946.0;6324.0;1621.0;698.0;12.0;3382.0;4026.0;973.0;3053.0;3468.0;547.0;2921.0;558.0;426.0;132.0;151.0;25.0;2648.0;2048.0;600.0;25.0
94;Totaal energiedragers;2004 1e kwartaal;990.0;984.0;2093.0;1857.0;235.0;179.0;-50.0;;1083.0;260.0;824.0;941.0;151.0;789.0;143.0;108.0;34.0;41.0;7.0;;;157.0;
95;Totaal energiedragers;2004 2e kwartaal;766.0;484.0;2078.0;1633.0;446.0;191.0;28.0;;1069.0;235.0;834.0;934.0;131.0;803.0;135.0;104.0;31.0;37.0;6.0;;;153.0;
96;Totaal energiedragers;2004 3e kwartaal;737.0;461.0;2104.0;1580.0;525.0;191.0;-58.0;;1053.0;246.0;807.0;908.0;135.0;773.0;145.0;110.0;35.0;38.0;6.0;;;155.0;
97;Totaal energiedragers;2004 4e kwartaal;968.0;929.0;1953.0;1760.0;194.0;197.0;42.0;;1006.0;266.0;741.0;863.0;154.0;709.0;143.0;112.0;31.0;41.0;7.0;;;160.0;
98;Totaal energiedragers;2004;3461.0;2857.0;8229.0;6829.0;1400.0;758.0;-38.0;3443.0;4212.0;1006.0;3206.0;3646.0;571.0;3075.0;566.0;435.0;132.0;157.0;26.0;2693.0;2067.0;625.0;18.0
99;Totaal energiedragers;2005 1e kwartaal;983.0;949.0;2059.0;1836.0;224.0;184.0;-5.0;;1050.0;258.0;792.0;913.0;152.0;761.0;137.0;106.0;31.0;46.0;7.0;;;155.0;
100;Totaal energiedragers;2005 2e kwartaal;779.0;512.0;2156.0;1634.0;523.0;210.0;-46.0;;1073.0;233.0;840.0;938.0;131.0;808.0;135.0;102.0;32.0;41.0;6.0;;;156.0;
101;Totaal energiedragers;2005 3e kwartaal;729.0;372.0;2190.0;1612.0;578.0;211.0;-10.0;;1040.0;235.0;805.0;907.0;130.0;777.0;133.0;105.0;28.0;38.0;6.0;;;161.0;
102;Totaal energiedragers;2005 4e kwartaal;917.0;786.0;2186.0;1861.0;325.0;201.0;6.0;;1108.0;261.0;847.0;963.0;151.0;812.0;144.0;110.0;34.0;38.0;7.0;;;162.0;
103;Totaal energiedragers;2005;3407.0;2619.0;8593.0;6943.0;1650.0;806.0;-55.0;3408.0;4271.0;987.0;3284.0;3722.0;564.0;3158.0;549.0;423.0;126.0;163.0;26.0;2670.0;2036.0;634.0;-1.0
104;Totaal energiedragers;2006 1e kwartaal;1018.0;1057.0;2201.0;2041.0;160.0;198.0;-1.0;;1075.0;266.0;809.0;937.0;161.0;777.0;138.0;106.0;32.0;42.0;8.0;;;151.0;
105;Totaal energiedragers;2006 2e kwartaal;760.0;504.0;2237.0;1765.0;472.0;211.0;-5.0;;1001.0;219.0;782.0;878.0;126.0;753.0;123.0;94.0;29.0;36.0;6.0;;;148.0;
106;Totaal energiedragers;2006 3e kwartaal;708.0;324.0;2263.0;1641.0;622.0;231.0;-8.0;;1051.0;233.0;818.0;919.0;129.0;790.0;132.0;104.0;28.0;36.0;6.0;;;155.0;
107;Totaal energiedragers;2006 4e kwartaal;875.0;688.0;2186.0;1775.0;411.0;212.0;-13.0;;1049.0;246.0;803.0;924.0;147.0;776.0;125.0;99.0;26.0;40.0;7.0;;;168.0;
108;Totaal energiedragers;2006;3361.0;2574.0;8888.0;7223.0;1665.0;851.0;-26.0;3343.0;4176.0;965.0;3211.0;3658.0;562.0;3096.0;518.0;403.0;116.0;153.0;26.0;2645.0;2023.0;622.0;18.0
109;Totaal energiedragers;2007 1e kwartaal;920.0;804.0;2170.0;1864.0;306.0;202.0;12.0;;1022.0;271.0;752.0;874.0;163.0;711.0;148.0;108.0;40.0;39.0;7.0;;;143.0;
110;Totaal energiedragers;2007 2e kwartaal;746.0;425.0;2131.0;1588.0;543.0;226.0;4.0;;1019.0;226.0;793.0;889.0;132.0;758.0;130.0;95.0;35.0;40.0;6.0;;;154.0;
111;Totaal energiedragers;2007 3e kwartaal;749.0;411.0;2283.0;1721.0;561.0;228.0;5.0;;1070.0;231.0;838.0;936.0;131.0;805.0;133.0;100.0;34.0;42.0;6.0;;;166.0;
112;Totaal energiedragers;2007 4e kwartaal;967.0;944.0;2274.0;2002.0;272.0;214.0;-35.0;;1082.0;282.0;800.0;932.0;166.0;765.0;150.0;115.0;35.0;45.0;7.0;;;169.0;
113;Totaal energiedragers;2007;3383.0;2584.0;8857.0;7175.0;1683.0;870.0;-14.0;3368.0;4193.0;1010.0;3183.0;3631.0;592.0;3039.0;562.0;418.0;144.0;167.0;25.0;2615.0;1983.0;632.0;14.0
114;Totaal energiedragers;2008 1e kwartaal;977.0;980.0;2251.0;2040.0;211.0;215.0;1.0;;1077.0;284.0;793.0;932.0;171.0;761.0;145.0;113.0;33.0;45.0;7.0;;;159.0;
115;Totaal energiedragers;2008 2e kwartaal;755.0;513.0;2245.0;1813.0;432.0;212.0;23.0;;1047.0;240.0;807.0;914.0;138.0;776.0;133.0;102.0;31.0;37.0;6.0;;;141.0;
116;Totaal energiedragers;2008 3e kwartaal;731.0;442.0;2280.0;1785.0;496.0;217.0;10.0;;1047.0;234.0;813.0;913.0;134.0;779.0;133.0;100.0;33.0;40.0;6.0;;;155.0;
117;Totaal energiedragers;2008 4e kwartaal;887.0;872.0;2241.0;1917.0;324.0;200.0;-110.0;;1002.0;284.0;718.0;860.0;170.0;690.0;142.0;114.0;28.0;35.0;7.0;;;125.0;
118;Totaal energiedragers;2008;3350.0;2807.0;9018.0;7556.0;1462.0;844.0;-76.0;3338.0;4173.0;1041.0;3132.0;3620.0;613.0;3006.0;553.0;428.0;126.0;157.0;25.0;2602.0;2022.0;580.0;13.0
119;Totaal energiedragers;2009 1e kwartaal;947.0;939.0;2239.0;2009.0;230.0;191.0;-30.0;;1036.0;277.0;758.0;898.0;168.0;730.0;138.0;110.0;28.0;40.0;7.0;;;136.0;
120;Totaal energiedragers;2009 2e kwartaal;704.0;422.0;2303.0;1781.0;522.0;188.0;-52.0;;983.0;240.0;743.0;857.0;140.0;717.0;126.0;100.0;26.0;35.0;6.0;;;141.0;
121;Totaal energiedragers;2009 3e kwartaal;719.0;412.0;2236.0;1715.0;521.0;192.0;-22.0;;1057.0;250.0;807.0;908.0;139.0;769.0;149.0;111.0;38.0;38.0;5.0;;;153.0;
122;Totaal energiedragers;2009 4e kwartaal;913.0;876.0;2230.0;2004.0;225.0;188.0;-1.0;;1090.0;293.0;797.0;939.0;176.0;763.0;151.0;117.0;35.0;42.0;6.0;;;153.0;
123;Totaal energiedragers;2009;3287.0;2649.0;9006.0;7505.0;1501.0;758.0;-105.0;3272.0;4166.0;1060.0;3106.0;3602.0;623.0;2979.0;564.0;437.0;127.0;155.0;25.0;2528.0;1951.0;576.0;15.0
124;Totaal energiedragers;2010 1e kwartaal;1013.0;1059.0;2394.0;2262.0;132.0;176.0;-2.0;;1153.0;307.0;846.0;1007.0;188.0;819.0;146.0;120.0;27.0;44.0;8.0;;;157.0;
125;Totaal energiedragers;2010 2e kwartaal;775.0;529.0;2384.0;1902.0;482.0;181.0;-55.0;;1089.0;245.0;844.0;960.0;147.0;813.0;129.0;98.0;31.0;39.0;6.0;;;164.0;
126;Totaal energiedragers;2010 3e kwartaal;719.0;416.0;2264.0;1830.0;433.0;189.0;59.0;;1068.0;242.0;826.0;936.0;139.0;797.0;132.0;103.0;29.0;38.0;6.0;;;158.0;
127;Totaal energiedragers;2010 4e kwartaal;982.0;917.0;2463.0;2187.0;276.0;177.0;-34.0;;1116.0;313.0;803.0;963.0;189.0;774.0;153.0;123.0;30.0;40.0;7.0;;;164.0;
128;Totaal energiedragers;2010;3490.0;2921.0;9504.0;8182.0;1322.0;722.0;-31.0;3485.0;4426.0;1107.0;3319.0;3866.0;663.0;3203.0;561.0;444.0;116.0;160.0;26.0;2737.0;2094.0;643.0;5.0
129;Totaal energiedragers;2011 1e kwartaal;939.0;1004.0;2302.0;2227.0;75.0;179.0;39.0;;1102.0;280.0;822.0;968.0;175.0;793.0;134.0;105.0;28.0;44.0;7.0;;;145.0;
130;Totaal energiedragers;2011 2e kwartaal;717.0;470.0;2258.0;1828.0;430.0;200.0;18.0;;994.0;243.0;752.0;870.0;148.0;722.0;125.0;95.0;30.0;40.0;6.0;;;138.0;
131;Totaal energiedragers;2011 3e kwartaal;710.0;436.0;2422.0;1928.0;494.0;203.0;-17.0;;1073.0;234.0;838.0;949.0;140.0;809.0;123.0;94.0;29.0;43.0;5.0;;;154.0;
132;Totaal energiedragers;2011 4e kwartaal;875.0;782.0;2255.0;2067.0;188.0;190.0;94.0;;1097.0;287.0;810.0;951.0;173.0;778.0;146.0;115.0;31.0;45.0;6.0;;;138.0;
133;Totaal energiedragers;2011;3240.0;2692.0;9237.0;8051.0;1186.0;773.0;134.0;3235.0;4265.0;1044.0;3221.0;3738.0;636.0;3102.0;527.0;409.0;119.0;173.0;24.0;2511.0;1935.0;576.0;5.0
134;Totaal energiedragers;2012 1e kwartaal;951.0;963.0;2518.0;2266.0;251.0;179.0;-84.0;;1127.0;281.0;846.0;987.0;173.0;814.0;140.0;108.0;32.0;44.0;7.0;;;149.0;
135;Totaal energiedragers;2012 2e kwartaal;739.0;510.0;2467.0;2122.0;345.0;178.0;61.0;;1072.0;218.0;853.0;960.0;133.0;827.0;112.0;85.0;27.0;41.0;6.0;;;149.0;
136;Totaal energiedragers;2012 3e kwartaal;694.0;409.0;2464.0;1999.0;465.0;186.0;6.0;;1093.0;221.0;873.0;972.0;130.0;842.0;121.0;91.0;30.0;41.0;5.0;;;151.0;
137;Totaal energiedragers;2012 4e kwartaal;875.0;801.0;2537.0;2256.0;281.0;173.0;-34.0;;1039.0;265.0;774.0;903.0;159.0;744.0;136.0;106.0;31.0;40.0;6.0;;;146.0;
138;Totaal energiedragers;2012;3259.0;2683.0;9986.0;8644.0;1342.0;716.0;-50.0;3228.0;4331.0;985.0;3346.0;3822.0;596.0;3226.0;509.0;389.0;120.0;165.0;24.0;2530.0;1935.0;594.0;31.0
