ID;Perioden;ArbeidsongeschiktheidUitgekeerdBedrag_1;WAOUitgekeerdeBedragen_2;WajongUitgekeerdeBedragen_3;WAZUitgekeerdeBedragen_4
67;2001 jaarcijfer;10742.3;9014.9;1257.1;470.4
68;2002 januari;869.4;731.6;99.3;38.5
69;2002 februari;876.5;733.9;102.5;40.0
70;2002 maart;883.7;740.3;103.5;39.8
71;2002 1e kwartaal;2629.5;2205.8;305.4;118.4
72;2002 april;889.6;744.9;104.7;40.0
73;2002 mei;1660.1;1393.9;196.2;70.0
74;2002 juni;872.2;730.1;103.1;39.0
75;2002 2e kwartaal;3421.9;2868.9;404.0;149.0
76;2002 juli;905.4;758.2;106.6;40.6
77;2002 augustus;897.5;751.7;105.3;40.5
78;2002 september;890.4;745.0;105.4;40.1
79;2002 3e kwartaal;2693.3;2254.9;317.3;121.1
80;2002 oktober;906.5;757.0;108.2;41.3
81;2002 november;897.9;750.6;106.5;40.8
82;2002 december;904.6;755.7;108.6;40.3
83;2002 4e kwartaal;2709.0;2263.3;323.3;122.4
84;2002 jaarcijfer;11453.7;9593.0;1349.9;510.9
85;2003 januari;891.3;746.7;105.6;39.0
86;2003 februari;897.1;747.1;110.1;40.0
87;2003 maart;897.6;748.1;109.6;39.9
88;2003 1e kwartaal;2686.1;2241.9;325.2;118.9
89;2003 april;902.3;752.7;111.1;38.5
90;2003 mei;1603.0;1326.3;207.8;68.8
91;2003 juni;887.6;737.7;110.5;39.4
92;2003 2e kwartaal;3392.8;2816.7;429.4;146.7
93;2003 juli;905.4;752.1;112.4;40.9
94;2003 augustus;891.2;738.8;111.7;40.7
95;2003 september;894.0;740.7;112.3;40.9
96;2003 3e kwartaal;2690.6;2231.7;336.5;122.5
97;2003 oktober;896.8;742.9;113.3;40.7
98;2003 november;890.5;734.3;115.9;40.3
99;2003 december;902.0;744.9;117.4;39.7
100;2003 4e kwartaal;2689.3;2222.0;346.6;120.7
101;2003 jaarcijfer;11458.8;9512.3;1437.7;508.8
102;2004 januari;885.7;735.6;110.5;39.6
103;2004 februari;891.2;736.6;114.3;40.3
104;2004 maart;905.7;748.9;115.9;40.9
105;2004 1e kwartaal;2682.6;2221.2;340.7;120.7
106;2004 april;898.1;742.0;114.6;41.4
107;2004 mei;1690.8;1399.8;218.8;72.1
108;2004 juni;891.3;735.2;115.3;40.9
109;2004 2e kwartaal;3480.2;2877.0;448.7;154.4
110;2004 juli;886.2;729.3;115.9;41.0
111;2004 augustus;883.4;727.1;116.2;40.0
112;2004 september;884.8;727.5;116.4;40.9
113;2004 3e kwartaal;2654.3;2184.0;348.5;121.8
114;2004 oktober;869.6;713.2;116.6;39.9
115;2004 november;875.3;717.2;117.2;40.9
116;2004 december;892.3;732.6;118.4;41.2
117;2004 4e kwartaal;2637.2;2163.0;352.2;122.0
118;2004 jaarcijfer;11454.3;9445.2;1490.1;519.0
119;2005 januari;853.0;699.0;114.2;39.8
120;2005 februari;863.3;703.2;119.4;40.7
121;2005 maart;869.1;710.6;118.3;40.2
122;2005 1e kwartaal;2585.4;2112.8;351.9;120.7
123;2005 april;858.9;700.4;118.8;39.7
124;2005 mei;1631.7;1334.2;227.7;69.8
125;2005 juni;848.4;688.7;120.1;39.5
126;2005 2e kwartaal;3339.0;2723.4;466.6;149.0
127;2005 juli;837.6;679.2;120.1;38.3
128;2005 augustus;841.3;681.1;121.2;39.0
129;2005 september;829.1;670.5;120.9;37.7
130;2005 3e kwartaal;2508.1;2030.9;362.2;115.0
131;2005 oktober;822.2;662.5;122.2;37.4
132;2005 november;823.3;661.7;123.7;38.0
133;2005 december;821.8;659.3;124.7;37.7
134;2005 4e kwartaal;2467.3;1983.5;370.7;113.1
135;2005 jaarcijfer;10899.8;8850.6;1551.4;497.8
136;2006 januari;814.7;654.1;122.9;37.7
137;2006 februari;800.7;641.1;123.6;36.1
138;2006 maart;804.7;643.8;125.0;35.9
139;2006 1e kwartaal;2420.1;1939.0;371.4;109.7
140;2006 april;790.2;630.1;124.8;35.3
141;2006 mei;1519.7;1216.3;238.6;64.8
142;2006 juni;787.1;626.4;126.1;34.6
143;2006 2e kwartaal;3097.1;2472.9;489.5;134.7
144;2006 juli;762.9;601.1;127.7;34.2
145;2006 augustus;804.2;641.3;128.5;34.5
146;2006 september;775.0;614.5;128.2;32.3
147;2006 3e kwartaal;2342.1;1856.8;384.3;101.0
148;2006 oktober;770.8;608.4;129.9;32.5
149;2006 november;778.6;613.4;132.2;33.0
150;2006 december;768.6;605.7;130.6;32.3
151;2006 4e kwartaal;2318.0;1827.5;392.7;97.8
152;2006 jaarcijfer;10177.3;8096.2;1637.9;443.2
153;2007 januari;785.8;618.6;134.4;32.8
154;2007 februari;774.7;608.5;133.5;32.7
155;2007 maart;778.8;611.0;135.5;32.3
156;2007 1e kwartaal;2339.3;1838.1;403.4;97.8
157;2007 april;768.5;601.3;135.7;31.5
158;2007 mei;1462.8;1148.0;256.9;58.0
159;2007 juni;765.0;594.4;138.3;32.3
160;2007 2e kwartaal;2996.3;2343.7;530.9;121.8
161;2007 juli;806.9;630.4;143.4;33.2
162;2007 augustus;808.8;630.8;144.8;33.3
163;2007 september;797.5;619.8;144.9;32.7
164;2007 3e kwartaal;2413.3;1881.0;433.1;99.2
165;2007 oktober;803.8;624.5;147.0;32.3
166;2007 november;798.7;620.1;146.3;32.3
167;2007 december;791.3;615.3;143.8;32.1
168;2007 4e kwartaal;2393.8;1859.9;437.1;96.7
169;2007 jaarcijfer;10142.6;7922.7;1804.4;415.5
170;2008 januari;812.2;630.3;149.0;32.9
171;2008 februari;799.7;619.1;148.5;32.2
172;2008 maart;795.9;615.9;148.4;31.6
173;2008 1e kwartaal;2407.8;1865.3;445.8;96.6
174;2008 april;799.9;618.7;149.7;31.5
175;2008 mei;1488.8;1150.4;282.0;56.4
176;2008 juni;790.6;608.5;151.6;30.5
177;2008 2e kwartaal;3079.3;2377.6;583.3;118.4
178;2008 juli;802.4;616.3;155.1;31.0
179;2008 augustus;794.6;610.0;154.0;30.6
180;2008 september;797.1;611.7;155.3;30.2
181;2008 3e kwartaal;2394.2;1837.9;464.4;91.8
182;2008 oktober;798.8;610.9;157.6;30.3
183;2008 november;790.6;602.6;157.7;30.3
184;2008 december;773.1;588.2;154.8;30.1
185;2008 4e kwartaal;2362.4;1801.7;470.1;90.6
186;2008 jaarcijfer;10243.8;7882.7;1963.6;397.5
187;2009 januari;802.3;610.1;162.2;30.0
188;2009 februari;796.0;604.5;161.8;29.8
189;2009 maart;794.1;601.7;162.9;29.5
190;2009 1e kwartaal;2392.4;1816.3;486.9;89.3
191;2009 april;791.9;598.7;163.9;29.3
192;2009 mei;1485.0;1125.1;307.2;52.8
193;2009 juni;777.5;584.2;165.0;28.3
194;2009 2e kwartaal;3054.5;2308.0;636.1;110.4
195;2009 juli;790.1;591.9;169.6;28.6
196;2009 augustus;781.2;584.4;168.8;28.0
197;2009 september;779.7;581.8;169.9;28.0
198;2009 3e kwartaal;2351.0;1758.1;508.3;84.6
199;2009 oktober;780.5;580.8;171.9;27.8
200;2009 november*;773.5;576.0;169.8;27.7
201;2009 december*;771.2;570.7;173.2;27.2
202;2009 4e kwartaal*;2325.1;1727.6;514.9;82.7
203;2009 jaarcijfer*;10123.1;7609.9;2146.1;367.0
