ID;SeizoenEnWerkdagcorrectie;Perioden;BrutoBinnenlandsProduct_1;BrutoExploitatieoverschot_2;SaldoPrimaireInkomensBruto_3;BrutoBeschikbaarInkomen_4;BrutoBesparingen_5;Vorderingensaldo_6;BrutoToegevoegdeWaarde_7;BrutoExploitatieoverschot_8;InvesteringenInVasteActivaBruto_9;BeloningVanWerknemers_10;ConsumptieveBestedingen_11;InvesteringenInVasteActivaBruto_12;TotaalInkomsten_13;TotaalUitgaven_14;VorderingensaldoEMUSaldo_15;BeloningVanWerknemers_16;InkomenUitVermogen_17;SocialeUitkeringenInGeld_18;OverigeInkomensoverdrachten_19;CorrectieMutatiesInPensioenrechten_20;ConsumptieveBestedingen_21;InvesteringenInVasteActivaBruto_22;InkomenUitVermogen_23;BelastingenOpInkomenEnVermogen_24;SocialePremies_25;OverigeInkomensoverdrachten_26;CorrectieMutatiesInPensioenrechten_27;BrutoExploitatieoverschot_28;BrutoBeschikbaarInkomen_29;BrutoBesparingen_30;InvoerUitHetBuitenland_31;OntvangenPrimaireInkomens_32;OntvangenInkomensoverdrachten_33;CorrectieMutatiesInPensioenrechten_34;OntvangenKapitaaloverdrachten_35;UitvoerNaarHetBuitenland_36;BetaaldePrimaireInkomens_37;BetaaldeInkomensoverdrachten_38;CorrectieMutatiesInPensioenrechten_39;BetaaldeKapitaaloverdrachten_40
17;Oorspronkelijke, ongecorrigeerde cijfers;2003 2e kwartaal;129110;43536;126877;124674;29646;3539;73334;22075;12077;51741;30611;5257;55265;60032;-4767;72285;13038;24160;6132;4599;64409;9230;3756;9476;32541;5687;0;13243;77398;17588;66749;27788;3742;8;277;74710;25555;1539;0;295
18;Oorspronkelijke, ongecorrigeerde cijfers;2003 3e kwartaal;124858;51561;124731;122495;30172;5587;71230;28213;10062;43421;27894;5518;48907;55113;-6206;60074;10885;20704;6252;4570;64416;7736;3749;7549;28577;5708;0;14496;66828;6982;66029;29842;3792;13;319;74000;29715;1556;0;307
19;Oorspronkelijke, ongecorrigeerde cijfers;2003 4e kwartaal;132407;54316;131778;130089;34744;6688;74652;31246;12785;43989;31154;6041;57065;59233;-2168;63457;9468;20508;6417;4181;64180;8868;3765;11181;28803;5925;0;14604;64780;4781;71236;27072;3151;11;216;80140;26443;1462;0;325
20;Oorspronkelijke, ongecorrigeerde cijfers;2004 1e kwartaal;129524;54881;128135;125484;32942;6256;75677;32216;10718;44091;28161;5055;52543;55508;-2965;61442;8812;20761;6429;3908;64370;10297;3952;7587;30576;5962;0;14029;63396;2934;65599;31743;4446;11;206;75764;30354;1795;0;338
21;Oorspronkelijke, ongecorrigeerde cijfers;2004 2e kwartaal;133599;45466;130369;128233;31247;4786;75991;23574;12183;52908;31050;5057;56699;60342;-3643;73641;14080;24861;6417;5087;65929;9773;3945;9765;32069;6034;0;13762;80948;20106;72014;30731;3846;7;256;82121;27501;1710;0;298
22;Oorspronkelijke, ongecorrigeerde cijfers;2004 3e kwartaal;129034;54890;127729;125407;31043;5878;74181;31036;10914;43621;28324;5011;52566;55015;-2449;60546;11069;20865;6589;4586;66029;7829;3931;7826;29752;6085;0;14632;66107;4664;73244;34553;4039;11;289;82730;33248;1717;0;309
23;Oorspronkelijke, ongecorrigeerde cijfers;2004 4e kwartaal;137129;57454;135190;133202;36294;7405;77428;33510;12424;44556;31594;5657;59772;60172;-400;64259;9782;21583;6756;4203;65305;9408;3975;9153;32069;6263;0;15149;66069;4967;79903;39509;3622;9;205;91111;37570;1634;0;327
24;Oorspronkelijke, ongecorrigeerde cijfers;2005 1e kwartaal;133745;58082;131980;129107;34835;7903;78179;34465;12002;44338;29020;4838;54563;55155;-592;61866;8826;21641;7032;4277;65246;10011;3775;7877;31455;6513;0;14497;64242;3273;71994;37413;4819;6;163;84319;35648;1946;0;384
25;Oorspronkelijke, ongecorrigeerde cijfers;2005 2e kwartaal;139040;48943;134519;132283;32909;4524;79945;26457;12654;53920;31946;5043;57926;60851;-2925;74956;12263;26327;6568;3747;67431;10573;3935;10973;31757;6116;0;14063;81396;17712;78859;42892;4063;-3;374;90175;38371;1827;0;331
26;Oorspronkelijke, ongecorrigeerde cijfers;2005 3e kwartaal;134684;57966;131058;128602;31091;4241;77767;33597;12193;44539;29238;5068;55122;55800;-678;61720;12296;21934;6888;4696;68266;9728;3766;8357;30543;6450;0;15298;69020;5450;79263;42204;4318;7;476;89713;38578;1862;0;350
27;Oorspronkelijke, ongecorrigeerde cijfers;2005 4e kwartaal;143414;61531;143817;141058;40590;10332;81878;36852;12600;45389;32531;5665;64385;62787;1598;65381;10571;21727;7229;4496;67936;10125;4255;11900;31077;6827;0;15630;66479;3039;84849;47722;4560;1;192;97349;48125;1801;0;375
28;Oorspronkelijke, ongecorrigeerde cijfers;2006 1e kwartaal;142446;64423;144992;142083;42853;13410;83939;39376;12502;45191;32055;5351;59990;60506;-516;62845;10023;22900;5101;3225;67176;10553;4239;8687;32774;4871;0;15928;66226;2275;82032;44217;4728;-1;349;96025;46763;1819;0;315
29;Oorspronkelijke, ongecorrigeerde cijfers;2006 2e kwartaal;147405;53960;142630;140372;35545;5384;84616;29696;13662;55243;35111;5690;63693;65766;-2073;76908;14400;24979;5460;3908;69719;11382;5033;10811;32079;4792;0;16213;85245;19434;87368;50974;4683;-3;390;99806;46199;2425;0;355
30;Oorspronkelijke, ongecorrigeerde cijfers;2006 3e kwartaal;142476;63400;139940;137323;34931;5735;82596;37216;12725;45858;32428;5527;60015;60653;-638;63106;12093;22864;5129;2968;69969;10087;5653;8686;31033;4874;0;17174;70120;3119;86354;47512;4786;-5;376;97318;44976;2169;0;284
31;Oorspronkelijke, ongecorrigeerde cijfers;2006 4e kwartaal;152219;65350;152812;149301;44343;9187;87329;39130;15091;48589;35957;6322;69740;66704;3036;69096;10945;23977;5503;1142;69025;11356;6237;13393;30525;4825;0;17718;72259;4376;92583;50646;5399;-24;371;105401;51239;1888;0;375
32;Oorspronkelijke, ongecorrigeerde cijfers;2007 1e kwartaal;151680;68255;152168;149068;45277;12522;89137;41801;14321;47954;34146;5643;64470;63425;1045;65978;10792;23399;5251;2740;69655;12358;7010;9000;33191;5090;0;17981;69110;2195;86870;54724;5138;-10;295;101986;55212;2038;0;289
33;Oorspronkelijke, ongecorrigeerde cijfers;2007 2e kwartaal;155664;58386;149787;147821;38574;5048;90441;33058;15053;58086;37329;5917;65230;68655;-3425;79807;15757;25877;5243;3614;71931;12746;6806;12187;32238;4941;0;17774;88286;19969;92560;69746;4870;-13;307;105527;63869;2904;0;208
34;Oorspronkelijke, ongecorrigeerde cijfers;2007 3e kwartaal;150806;68672;149468;147160;40377;7535;88785;40727;14084;48658;34316;5673;59186;62921;-3735;65798;13138;23499;5261;2941;72477;10792;7443;9817;31056;5059;0;18763;73084;3548;92951;63828;4890;-10;275;104142;62490;2582;0;243
35;Oorspronkelijke, ongecorrigeerde cijfers;2007 4e kwartaal;161020;68864;160831;157594;46801;4938;92654;41049;26986;52176;38070;6498;74049;69370;4679;72967;12514;24837;5337;2025;72755;12052;7578;14097;32722;5172;0;19569;75655;4925;109538;64239;5548;-32;330;114182;64050;2311;0;-32
36;Oorspronkelijke, ongecorrigeerde cijfers;2008 1e kwartaal;159551;71308;152020;149133;40601;5224;94805;43486;14958;51873;36048;6562;70681;68085;2596;70284;11718;24888;5298;3403;72489;13072;7453;10543;37050;5236;0;19100;71006;1920;97137;58020;5451;-5;322;113085;50489;2564;0;159
37;Oorspronkelijke, ongecorrigeerde cijfers;2008 2e kwartaal;164065;59981;154744;153055;38620;1752;95121;33540;16866;62109;39398;6696;70079;72944;-2865;84515;17696;27268;5515;5354;75046;12760;7892;12085;36393;4809;0;18673;92488;22796;101779;62716;5009;-9;340;115001;53395;3320;0;171
38;Oorspronkelijke, ongecorrigeerde cijfers;2008 3e kwartaal;158554;71290;153955;152269;41168;5279;93645;42735;16366;51440;36280;5853;63956;66084;-2128;69093;14024;24655;5789;3982;74828;11222;8140;10481;33534;5361;0;19287;75332;4486;101179;59490;4434;-7;336;113159;54891;2748;0;160
39;Oorspronkelijke, ongecorrigeerde cijfers;2008 4e kwartaal;165028;70481;155189;152010;38642;679;96707;42936;16751;54760;40325;6475;77368;74164;3204;76052;15263;25107;6247;4401;73070;11707;8094;12664;38049;5568;0;19355;77649;8980;96419;56213;5738;-27;353;110458;46374;2559;0;153
40;Oorspronkelijke, ongecorrigeerde cijfers;2009 1e kwartaal;156165;67122;146459;143436;34028;-737;93157;40681;15210;53251;38482;6669;68712;72518;-3806;71837;10888;25994;5988;5002;70937;11709;5236;11581;38145;5719;0;15957;69983;4048;83545;52873;5595;-11;453;95907;43167;2572;0;162
41;Oorspronkelijke, ongecorrigeerde cijfers;2009 2e kwartaal;157462;53594;154125;155119;41424;8300;90374;28132;16019;63249;42124;6887;65767;75319;-9552;86308;16913;28530;5767;6834;71575;11418;4558;14676;35096;5219;0;15589;93558;28817;83124;49262;1877;-4;434;93919;45925;2871;0;220
42;Oorspronkelijke, ongecorrigeerde cijfers;2009 3e kwartaal;151694;65498;144721;143069;32421;2130;87980;37186;14477;51491;38777;6612;60777;72703;-11926;69719;11335;25706;5863;5175;71868;9024;4105;10983;34732;5393;0;16261;73671;6978;84001;46933;4267;3;435;94922;39960;2615;0;343
43;Oorspronkelijke, ongecorrigeerde cijfers;2009 4e kwartaal;159521;66033;155897;153329;39145;6747;90575;37050;14738;54526;43061;6808;71407;78719;-7312;76283;12292;26385;6321;3726;71152;9709;4076;14968;34743;5627;0;17015;78882;11456;90822;48679;5383;-29;452;104135;45055;2815;0;229
44;Oorspronkelijke, ongecorrigeerde cijfers;2010 1e kwartaal;155314;67594;151424;148723;38197;6378;89268;38370;15406;51724;39735;6419;68411;74265;-5854;70823;11428;26870;6248;3685;70816;8571;3764;11387;36107;5728;0;15846;74229;7098;91012;56508;5611;-25;620;104387;52618;2910;0;210
45;Oorspronkelijke, ongecorrigeerde cijfers;2010 2e kwartaal;162424;59151;163387;161799;45558;9414;92228;31157;17013;61975;43492;6996;69627;80512;-10885;85625;14322;30459;6212;4674;72781;9105;3730;15110;36609;5768;0;15606;91007;22900;99820;59176;4567;-32;630;110298;60139;2979;0;226
46;Oorspronkelijke, ongecorrigeerde cijfers;2010 3e kwartaal;156421;70293;155143;153097;39515;8494;90391;40072;14149;51258;40060;6410;60485;73688;-13203;69891;12161;27142;6236;4345;73542;7950;3159;11511;34666;5436;0;16381;77039;7842;98170;58407;4682;-20;576;110427;57129;2636;0;193
47;Oorspronkelijke, ongecorrigeerde cijfers;2010 4e kwartaal;165028;68822;163562;161208;43425;10367;93011;38347;14568;55596;44457;6859;75225;79413;-4188;77954;11739;27393;6340;3393;73370;8250;3758;15778;36262;5939;0;16901;78590;8613;105494;59351;5145;-44;1027;121064;57885;2791;0;258
48;Oorspronkelijke, ongecorrigeerde cijfers;2011 1e kwartaal;160242;69579;164645;162341;49840;16360;92672;39560;18001;53602;39837;6856;72399;74063;-1664;72922;11609;29000;6687;3287;72716;8227;3995;12033;38646;5982;0;16373;75935;6506;107184;58073;5212;-52;476;121493;62476;2908;0;190
49;Oorspronkelijke, ongecorrigeerde cijfers;2011 2e kwartaal;165292;60302;161050;159498;41086;6256;94530;31456;18123;63989;43454;6855;68757;80195;-11438;87647;16682;31353;6319;5859;74998;8667;4504;16545;36284;5854;0;16778;95592;26453;109508;63373;4744;-40;157;122001;59131;3192;0;208
50;Oorspronkelijke, ongecorrigeerde cijfers;2011 3e kwartaal;158947;70587;159215;157488;42325;11144;92219;40107;14459;52879;40121;6456;64347;73789;-9442;71559;12858;28246;6296;5129;75074;7572;4292;11948;37729;5603;0;16951;76338;6393;107930;60266;4587;-32;281;120604;60534;2860;0;175
51;Oorspronkelijke, ongecorrigeerde cijfers;2011 4e kwartaal;165878;68300;163268;160232;41961;10166;94376;37763;16894;57253;44294;6428;72238;78584;-6346;79605;11754;28530;6521;3837;74031;8550;3580;12116;41318;6368;0;17255;80283;10089;110915;64933;6013;-54;437;126943;62323;2977;0;201
52;Oorspronkelijke, ongecorrigeerde cijfers;2012 1e kwartaal;160917;69767;159277;156823;43110;3412;94184;39690;16952;54838;40333;5883;72894;73638;-744;74062;12880;29487;6535;4144;73423;7395;3213;11905;40024;5923;0;15786;77685;8406;111606;59917;5466;-43;307;128015;58277;3012;0;211
53;Oorspronkelijke, ongecorrigeerde cijfers;2012 2e kwartaal;166442;60328;166432;164736;45668;11104;96106;31578;18301;65314;44049;6055;70928;80532;-9604;88983;16274;32236;6340;7120;75049;7591;2655;16912;39746;5860;0;15453;94113;26184;115060;57673;5019;-30;241;128860;57663;3323;0;191
54;Oorspronkelijke, ongecorrigeerde cijfers;2012 3e kwartaal;158404;69434;155605;153918;38403;9013;92253;39005;13463;53862;40551;6395;62908;73995;-11087;72637;12338;28959;6279;5762;74987;7394;1901;12013;38494;5780;0;15712;77737;8512;112759;58788;4797;-23;269;126493;55989;3110;0;205
55;Oorspronkelijke, ongecorrigeerde cijfers;2012 4e kwartaal;167203;68116;164382;162199;43530;14175;95691;38307;15871;57924;45012;6374;74640;78878;-4238;80509;11655;29466;6391;4254;73708;7470;1951;8964;45882;5900;0;16292;81616;12162;116117;63702;5208;-51;264;135762;60881;3025;0;220
56;Oorspronkelijke, ongecorrigeerde cijfers;2013 1e kwartaal;161409;68212;163138;160634;45925;19271;94010;38771;14942;55408;41149;5828;76123;75052;1071;75142;12171;30001;6311;4786;73583;6143;1906;11935;41945;6172;0;15415;77082;8285;111415;59642;5659;-23;389;131316;61371;3155;0;192
57;Oorspronkelijke, ongecorrigeerde cijfers;2013 2e kwartaal;168105;60586;164047;162199;42531;8667;96636;31543;17242;65587;44178;6174;73414;80761;-7347;89303;16153;33005;6403;7107;75507;6462;1842;16524;41105;6161;0;15498;94730;26330;114673;64894;5121;-17;264;130471;60836;3273;0;228
58;Oorspronkelijke, ongecorrigeerde cijfers;2013 3e kwartaal;161493;71287;161492;159020;42168;12530;94013;40465;14677;53945;40740;6241;66293;74960;-8667;72952;12469;30080;6296;5758;76128;6683;2095;11746;39892;6044;0;16922;78942;8572;114183;59697;5537;-16;283;129172;59696;3065;0;179
59;Oorspronkelijke, ongecorrigeerde cijfers;2013 4e kwartaal;169456;70846;167075;163939;44478;10748;96954;39838;20140;57459;44259;6070;74010;78595;-4585;80074;12094;30831;6225;4894;75223;7340;2226;9562;45432;6003;0;17799;83800;13471;119866;59306;6181;-21;387;136622;56925;3045;0;193
60;Oorspronkelijke, ongecorrigeerde cijfers;2014 1e kwartaal;164432;70022;163233;160454;44499;16017;94069;38603;15129;55388;41518;5772;75509;74959;550;75193;12713;30407;6220;4935;74454;7465;2403;11921;41847;6286;0;17460;79536;10017;113620;68959;6185;-17;273;132939;67760;3406;0;171
61;Oorspronkelijke, ongecorrigeerde cijfers;2014 2e kwartaal;169898;60486;168577;166287;45113;11646;96214;30267;16347;66022;44590;6028;74805;81783;-6978;89715;16770;33925;6157;7461;76597;7261;2128;17291;40497;6332;0;16978;97297;28161;116996;70026;5834;-13;351;134010;68705;3544;0;193
62;Oorspronkelijke, ongecorrigeerde cijfers;2014 3e kwartaal;163863;71966;162715;161292;42999;14574;94750;39978;13384;54759;41399;5960;67296;73831;-6535;73987;12704;30396;6182;5832;76910;7480;1775;13083;39787;6041;0;17800;80383;9305;116956;69066;4617;-16;307;134159;67918;3194;0;157
63;Oorspronkelijke, ongecorrigeerde cijfers;2014 4e kwartaal;173367;71302;170259;167688;46472;15208;99360;39985;17678;59425;44958;5770;76743;78916;-2173;82617;13931;30442;5763;5195;76283;7462;1669;10105;47721;5886;0;18141;85513;14425;119000;68006;6008;-25;254;140021;64898;3437;0;171
64;Oorspronkelijke, ongecorrigeerde cijfers;2015 1e kwartaal;166535;71676;167544;164609;48075;24888;96192;40319;8269;55953;41364;6107;77534;75690;1844;75612;13080;30599;6185;5293;75211;8079;1643;13993;41735;6114;0;17279;79270;9352;115790;65559;6611;-41;361;143651;66568;3676;0;348
65;Oorspronkelijke, ongecorrigeerde cijfers;2015 2e kwartaal;175441;65586;173538;171634;48730;-18452;100737;34254;47347;66727;44407;6178;74372;81418;-7046;90395;16844;33991;6173;7033;78540;8881;1668;20739;37108;6079;0;17473;99282;27775;153578;70196;5656;-43;453;141122;68293;3752;0;251
66;Oorspronkelijke, ongecorrigeerde cijfers;2015 3e kwartaal;170501;77391;166224;164922;44061;12074;99101;44104;14438;55163;41669;6106;67348;73880;-6532;74631;13944;30082;6048;5827;79231;8185;1840;12747;39661;6043;0;18952;83366;9962;122417;67435;4779;-39;258;139966;63158;3477;0;267
67;Oorspronkelijke, ongecorrigeerde cijfers;2015 4e kwartaal;177531;74298;175672;172816;50118;14014;101304;41525;20182;60021;44914;6189;76800;78477;-1677;82941;14722;30226;5969;5126;77834;8665;1866;10608;48383;5687;0;19695;87009;14301;126809;66232;6072;-50;322;145614;64373;3216;0;231
68;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;171335;72746;169191;166168;47809;14021;98398;40896;18089;57595;41641;6037;79203;75620;3583;77680;12916;30775;6077;5077;76766;9748;1789;13983;42960;6154;0;18777;81339;9650;116366;66006;5876;-48;757;136009;63862;2853;0;237
69;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;179918;66443;172515;171643;47290;8303;103491;35088;19373;68759;45187;6094;79605;81786;-2181;92961;16250;34536;6295;6731;79216;10735;1577;17181;42204;6125;0;18609;101564;29079;123307;72541;5129;-50;351;139960;65138;4257;0;263
70;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;174235;77298;169399;167369;44928;9720;100760;43845;16160;57178;42259;6220;72305;74920;-2615;77221;13702;30831;6030;5630;80229;9877;1424;13149;42186;5965;0;19797;84857;10258;122670;69775;5050;-47;258;139214;64939;3020;0;219
71;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;182849;75860;180042;181008;55484;17169;103658;41807;18878;62257;45755;6345;78953;76841;2112;85679;14189;30979;6059;4761;79830;10014;1616;12442;47309;5853;0;21231;90917;15848;128701;69527;2099;-61;677;148194;66720;3065;0;304
72;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;178225;76600;179530;177706;55843;20618;102768;43388;18594;59518;42667;6106;84255;75356;8899;79994;12737;31541;6461;4559;79262;9939;1585;17364;41608;6527;0;20247;83896;9193;130485;63985;4629;-66;554;151882;65290;2805;0;219
73;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;187838;70127;180294;179246;50685;10382;108261;37207;19775;71396;46321;5977;81189;82470;-1281;95980;15602;35156;6526;6523;82297;11104;1674;18756;43265;6424;0;20504;103649;27875;132665;74401;5002;-57;198;151751;66857;3954;0;237
74;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;181702;81282;180374;178958;51957;15214;105787;46294;17744;59797;43286;6506;74982;75767;-785;79965;13125;31508;6329;5057;83773;10094;1755;14506;43167;6316;0;21606;86789;8073;133419;67354;4356;-58;267;151187;66026;2940;0;200
75;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;190381;79063;189464;188427;59348;19291;108611;43786;19559;65339;47217;6823;83105;79817;3288;89357;14165;31409;6347;4674;81929;10790;1789;17624;45308;6198;0;22584;92943;15688;139594;66236;4692;-67;325;160733;65319;3655;0;342
76;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;188022;80826;189725;187461;59260;20185;108069;45239;20809;62959;45188;6164;89736;78000;11736;83944;12443;32106;6370;4534;83063;11075;2108;18399;43268;6454;0;22474;87108;8579;137970;71931;5439;-50;326;158849;73634;3175;0;238
77;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwrataal;196711;73767;191142;190224;56246;12607;113888;38853;21433;75357;47956;6358;85430;85338;92;99874;16955;35524;6618;6995;86071;12506;2145;14734;49493;6478;0;22641;108762;29686;143110;83825;5192;-49;329;162275;78256;4274;0;306
78;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;190249;84344;189612;188545;55902;17968;110902;47951;16947;63271;45702;6651;79245;78733;512;84113;14049;32046;6530;5740;86988;11191;2154;16194;43824;6319;0;23421;91668;10420;145158;78520;4556;-47;173;164685;77883;3489;0;273
79;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;199005;81947;200591;198082;62933;20858;113494;45216;20327;68705;49765;7286;84456;85168;-712;93546;14591;32127;6418;4994;85438;12198;2194;18792;45768;6209;0;24331;98050;17606;147594;72629;6169;-54;482;169630;74215;3660;0;249
80;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;197454;84201;197378;194660;60799;17441;113409;46779;21506;66889;48017;6762;95921;82712;13209;88317;13745;32806;6569;5379;85908;12818;2042;21117;43786;6641;0;24123;91974;11445;142367;66674;6332;-64;436;162801;66598;3614;0;222
81;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;207309;77218;196599;195655;55482;7932;119643;40385;22356;79682;51143;6934;89234;88932;302;104731;18433;36612;6673;8177;89087;14144;1911;15070;52750;6600;0;24160;114278;33368;149039;78745;5402;-57;336;168609;68035;4458;0;301
