ID;UitgaveVoorAanschafEnBezit;Perioden;Prijsindex_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3
28;Uitgaven aanschaf en bezit koopwoning;2015 4e kwartaal;101.3;0.3;3.2
29;Uitgaven aanschaf en bezit koopwoning;2015;100.0;2.6;2.6
30;Uitgaven aanschaf en bezit koopwoning;2016 1e kwartaal;102.1;0.8;3.8
31;Uitgaven aanschaf en bezit koopwoning;2016 2e kwartaal;102.4;0.3;3.0
32;Uitgaven aanschaf en bezit koopwoning;2016 3e kwartaal;104.0;1.6;3.1
33;Uitgaven aanschaf en bezit koopwoning;2016 4e kwartaal;105.5;1.4;4.2
34;Uitgaven aanschaf en bezit koopwoning;2016;103.5;3.5;3.5
35;Uitgaven aanschaf en bezit koopwoning;2017 1e kwartaal;107.0;1.4;4.9
36;Uitgaven aanschaf en bezit koopwoning;2017 2e kwartaal;108.3;1.1;5.7
37;Uitgaven aanschaf en bezit koopwoning;2017 3e kwartaal;109.1;0.8;4.9
38;Uitgaven aanschaf en bezit koopwoning;2017 4e kwartaal;111.9;2.6;6.0
39;Uitgaven aanschaf en bezit koopwoning;2017;109.1;5.4;5.4
40;Uitgaven aanschaf en bezit koopwoning;2018 1e kwartaal;114.7;2.5;7.1
41;Uitgaven aanschaf en bezit koopwoning;2018 2e kwartaal;115.8;0.9;6.9
42;Uitgaven aanschaf en bezit koopwoning;2018 3e kwartaal;118.7;2.6;8.8
43;Uitgaven aanschaf en bezit koopwoning;2018 4e kwartaal;120.4;1.4;7.6
44;Uitgaven aanschaf en bezit koopwoning;2018;117.4;7.6;7.6
45;Uitgaven aanschaf en bezit koopwoning;2019 1e kwartaal;123.1;2.2;7.3
46;Uitgaven aanschaf en bezit koopwoning;2019 2e kwartaal;124.8;1.5;7.8
47;Uitgaven aanschaf en bezit koopwoning;2019 3e kwartaal;125.0;0.1;5.3
48;Uitgaven aanschaf en bezit koopwoning;2019 4e kwartaal;126.9;1.6;5.4
49;Uitgaven aanschaf en bezit koopwoning;2019;124.9;6.4;6.4
50;Uitgaven aanschaf en bezit koopwoning;2020 1e kwartaal;127.8;0.7;3.9
51;Uitgaven aanschaf en bezit koopwoning;2020 2e kwartaal;130.0;1.7;4.2
52;Uitgaven aanschaf en bezit koopwoning;2020 3e kwartaal;131.7;1.3;5.4
53;Uitgaven aanschaf en bezit koopwoning;2020 4e kwartaal;133.8;1.6;5.4
54;Uitgaven aanschaf en bezit koopwoning;2020;130.8;4.7;4.7
55;Uitgaven aanschaf en bezit koopwoning;2021 1e kwartaal;137.2;2.6;7.4
56;Uitgaven aanschaf en bezit koopwoning;2021 2e kwartaal;139.1;1.4;7.0
57;Uitgaven aanschaf en bezit koopwoning;2021 3e kwartaal;142.1;2.1;7.9
58;Uitgaven aanschaf en bezit koopwoning;2021 4e kwartaal;144.8;1.9;8.2
59;Uitgaven aanschaf en bezit koopwoning;2021;140.8;7.6;7.6
60;Uitgaven aanschaf en bezit koopwoning;2022 1e kwartaal;150.0;3.6;9.3
61;Uitgaven aanschaf en bezit koopwoning;2022 2e kwartaal;153.7;2.5;10.4
62;Uitgaven aanschaf en bezit koopwoning;2022 3e kwartaal;156.1;1.6;9.8
63;Uitgaven aanschaf en bezit koopwoning;2022 4e kwartaal;154.1;-1.3;6.4
64;Uitgaven aanschaf en bezit koopwoning;2022;153.4;9.0;9.0
65;Uitgaven aanschaf en bezit koopwoning;2023 1e kwartaal;160.1;3.9;6.7
66;Uitgaven aanschaf en bezit koopwoning;2023 2e kwartaal;162.8;1.7;5.9
67;Uitgaven aanschaf en bezit koopwoning;2023 3e kwartaal;164.2;0.9;5.2
68;Aanschaf woning: totaal;2010 1e kwartaal;117.3;;
69;Aanschaf woning: totaal;2010 2e kwartaal;117.3;0.0;
70;Aanschaf woning: totaal;2010 3e kwartaal;116.8;-0.4;
71;Aanschaf woning: totaal;2010 4e kwartaal;117.6;0.6;
72;Aanschaf woning: totaal;2010;117.2;;
73;Aanschaf woning: totaal;2011 1e kwartaal;118.3;0.6;0.8
74;Aanschaf woning: totaal;2011 2e kwartaal;115.0;-2.8;-1.9
75;Aanschaf woning: totaal;2011 3e kwartaal;109.1;-5.1;-6.6
76;Aanschaf woning: totaal;2011 4e kwartaal;107.8;-1.2;-8.3
77;Aanschaf woning: totaal;2011;112.5;-4.0;-4.0
78;Aanschaf woning: totaal;2012 1e kwartaal;103.3;-4.2;-12.6
79;Aanschaf woning: totaal;2012 2e kwartaal;103.5;0.2;-9.9
80;Aanschaf woning: totaal;2012 3e kwartaal;100.6;-2.8;-7.7
81;Aanschaf woning: totaal;2012 4e kwartaal;103.0;2.4;-4.4
82;Aanschaf woning: totaal;2012;102.6;-8.8;-8.8
83;Aanschaf woning: totaal;2013 1e kwartaal;101.5;-1.5;-1.7
84;Aanschaf woning: totaal;2013 2e kwartaal;98.8;-2.7;-4.6
85;Aanschaf woning: totaal;2013 3e kwartaal;99.5;0.7;-1.1
86;Aanschaf woning: totaal;2013 4e kwartaal;98.4;-1.1;-4.5
87;Aanschaf woning: totaal;2013;99.5;-3.0;-3.0
88;Aanschaf woning: totaal;2014 1e kwartaal;97.2;-1.2;-4.2
89;Aanschaf woning: totaal;2014 2e kwartaal;97.8;0.6;-1.0
90;Aanschaf woning: totaal;2014 3e kwartaal;98.2;0.3;-1.3
91;Aanschaf woning: totaal;2014 4e kwartaal;98.7;0.5;0.3
92;Aanschaf woning: totaal;2014;98.0;-1.6;-1.6
93;Aanschaf woning: totaal;2015 1e kwartaal;99.1;0.4;1.9
94;Aanschaf woning: totaal;2015 2e kwartaal;100.5;1.5;2.7
95;Aanschaf woning: totaal;2015 3e kwartaal;100.5;-0.1;2.3
96;Aanschaf woning: totaal;2015 4e kwartaal;100.0;-0.5;1.3
97;Aanschaf woning: totaal;2015;100.0;2.1;2.1
98;Aanschaf woning: totaal;2016 1e kwartaal;101.0;1.0;2.0
99;Aanschaf woning: totaal;2016 2e kwartaal;101.5;0.5;1.0
100;Aanschaf woning: totaal;2016 3e kwartaal;103.5;2.0;3.1
101;Aanschaf woning: totaal;2016 4e kwartaal;105.2;1.6;5.2
102;Aanschaf woning: totaal;2016;102.8;2.8;2.8
103;Aanschaf woning: totaal;2017 1e kwartaal;106.9;1.6;5.8
104;Aanschaf woning: totaal;2017 2e kwartaal;108.3;1.3;6.7
105;Aanschaf woning: totaal;2017 3e kwartaal;109.4;1.1;5.7
106;Aanschaf woning: totaal;2017 4e kwartaal;113.2;3.5;7.7
107;Aanschaf woning: totaal;2017;109.4;6.5;6.5
108;Aanschaf woning: totaal;2018 1e kwartaal;116.2;2.6;8.7
109;Aanschaf woning: totaal;2018 2e kwartaal;117.5;1.1;8.5
110;Aanschaf woning: totaal;2018 3e kwartaal;121.4;3.4;11.0
111;Aanschaf woning: totaal;2018 4e kwartaal;123.5;1.8;9.1
112;Aanschaf woning: totaal;2018;119.6;9.3;9.3
113;Aanschaf woning: totaal;2019 1e kwartaal;125.9;1.9;8.3
114;Aanschaf woning: totaal;2019 2e kwartaal;128.3;2.0;9.2
115;Aanschaf woning: totaal;2019 3e kwartaal;128.5;0.2;5.8
116;Aanschaf woning: totaal;2019 4e kwartaal;131.3;2.2;6.3
117;Aanschaf woning: totaal;2019;128.5;7.4;7.4
118;Aanschaf woning: totaal;2020 1e kwartaal;131.6;0.2;4.5
119;Aanschaf woning: totaal;2020 2e kwartaal;134.7;2.4;5.0
120;Aanschaf woning: totaal;2020 3e kwartaal;136.1;1.0;5.9
121;Aanschaf woning: totaal;2020 4e kwartaal;138.9;2.1;5.8
122;Aanschaf woning: totaal;2020;135.3;5.3;5.3
123;Aanschaf woning: totaal;2021 1e kwartaal;142.9;2.9;8.6
124;Aanschaf woning: totaal;2021 2e kwartaal;145.5;1.8;8.1
125;Aanschaf woning: totaal;2021 3e kwartaal;149.6;2.8;10.0
126;Aanschaf woning: totaal;2021 4e kwartaal;152.9;2.2;10.1
127;Aanschaf woning: totaal;2021;147.8;9.2;9.2
128;Aanschaf woning: totaal;2022 1e kwartaal;158.9;3.9;11.2
129;Aanschaf woning: totaal;2022 2e kwartaal;164.2;3.3;12.8
130;Aanschaf woning: totaal;2022 3e kwartaal;166.3;1.3;11.2
131;Aanschaf woning: totaal;2022 4e kwartaal;162.6;-2.3;6.3
132;Aanschaf woning: totaal;2022;163.0;10.3;10.3
133;Aanschaf woning: totaal;2023 1e kwartaal;167.6;3.1;5.5
134;Aanschaf woning: totaal;2023 2e kwartaal;170.7;1.9;4.0
135;Aanschaf woning: totaal;2023 3e kwartaal;172.2;0.9;3.5
136;Aanschaf nieuwe koopwoning;2010 1e kwartaal;109.8;;
137;Aanschaf nieuwe koopwoning;2010 2e kwartaal;109.4;-0.4;
138;Aanschaf nieuwe koopwoning;2010 3e kwartaal;108.9;-0.4;
139;Aanschaf nieuwe koopwoning;2010 4e kwartaal;111.1;2.0;
140;Aanschaf nieuwe koopwoning;2010;109.8;;
141;Aanschaf nieuwe koopwoning;2011 1e kwartaal;111.8;0.6;1.7
142;Aanschaf nieuwe koopwoning;2011 2e kwartaal;109.0;-2.4;-0.3
143;Aanschaf nieuwe koopwoning;2011 3e kwartaal;109.2;0.2;0.3
144;Aanschaf nieuwe koopwoning;2011 4e kwartaal;107.8;-1.3;-3.0
145;Aanschaf nieuwe koopwoning;2011;109.5;-0.3;-0.3
146;Aanschaf nieuwe koopwoning;2012 1e kwartaal;101.9;-5.5;-8.8
147;Aanschaf nieuwe koopwoning;2012 2e kwartaal;103.1;1.2;-5.4
148;Aanschaf nieuwe koopwoning;2012 3e kwartaal;99.5;-3.6;-8.9
149;Aanschaf nieuwe koopwoning;2012 4e kwartaal;104.2;4.8;-3.3
150;Aanschaf nieuwe koopwoning;2012;102.2;-6.6;-6.6
151;Aanschaf nieuwe koopwoning;2013 1e kwartaal;102.4;-1.7;0.5
152;Aanschaf nieuwe koopwoning;2013 2e kwartaal;99.1;-3.3;-4.0
153;Aanschaf nieuwe koopwoning;2013 3e kwartaal;100.3;1.3;0.9
154;Aanschaf nieuwe koopwoning;2013 4e kwartaal;98.9;-1.5;-5.1
155;Aanschaf nieuwe koopwoning;2013;100.2;-2.0;-2.0
156;Aanschaf nieuwe koopwoning;2014 1e kwartaal;96.9;-2.0;-5.4
157;Aanschaf nieuwe koopwoning;2014 2e kwartaal;97.8;0.9;-1.3
158;Aanschaf nieuwe koopwoning;2014 3e kwartaal;98.1;0.4;-2.2
159;Aanschaf nieuwe koopwoning;2014 4e kwartaal;98.5;0.4;-0.4
160;Aanschaf nieuwe koopwoning;2014;97.8;-2.4;-2.4
161;Aanschaf nieuwe koopwoning;2015 1e kwartaal;99.4;0.9;2.6
162;Aanschaf nieuwe koopwoning;2015 2e kwartaal;100.9;1.5;3.2
163;Aanschaf nieuwe koopwoning;2015 3e kwartaal;100.2;-0.7;2.2
164;Aanschaf nieuwe koopwoning;2015 4e kwartaal;99.5;-0.8;1.0
165;Aanschaf nieuwe koopwoning;2015;100.0;2.2;2.2
166;Aanschaf nieuwe koopwoning;2016 1e kwartaal;100.3;0.8;0.9
167;Aanschaf nieuwe koopwoning;2016 2e kwartaal;100.0;-0.3;-0.8
168;Aanschaf nieuwe koopwoning;2016 3e kwartaal;102.4;2.4;2.2
169;Aanschaf nieuwe koopwoning;2016 4e kwartaal;104.5;2.0;5.0
170;Aanschaf nieuwe koopwoning;2016;101.8;1.8;1.8
171;Aanschaf nieuwe koopwoning;2017 1e kwartaal;106.5;2.0;6.2
172;Aanschaf nieuwe koopwoning;2017 2e kwartaal;107.4;0.8;7.4
173;Aanschaf nieuwe koopwoning;2017 3e kwartaal;108.4;0.9;5.8
174;Aanschaf nieuwe koopwoning;2017 4e kwartaal;114.2;5.4;9.3
175;Aanschaf nieuwe koopwoning;2017;109.1;7.2;7.2
176;Aanschaf nieuwe koopwoning;2018 1e kwartaal;117.8;3.1;10.5
177;Aanschaf nieuwe koopwoning;2018 2e kwartaal;117.5;-0.2;9.4
178;Aanschaf nieuwe koopwoning;2018 3e kwartaal;123.0;4.7;13.5
179;Aanschaf nieuwe koopwoning;2018 4e kwartaal;126.0;2.4;10.4
180;Aanschaf nieuwe koopwoning;2018;121.1;11.0;11.0
181;Aanschaf nieuwe koopwoning;2019 1e kwartaal;128.3;1.8;8.9
182;Aanschaf nieuwe koopwoning;2019 2e kwartaal;131.4;2.5;11.8
183;Aanschaf nieuwe koopwoning;2019 3e kwartaal;131.3;-0.1;6.7
184;Aanschaf nieuwe koopwoning;2019 4e kwartaal;135.4;3.1;7.4
185;Aanschaf nieuwe koopwoning;2019;131.6;8.7;8.7
186;Aanschaf nieuwe koopwoning;2020 1e kwartaal;134.3;-0.8;4.7
187;Aanschaf nieuwe koopwoning;2020 2e kwartaal;138.7;3.3;5.6
188;Aanschaf nieuwe koopwoning;2020 3e kwartaal;140.0;0.9;6.6
189;Aanschaf nieuwe koopwoning;2020 4e kwartaal;143.8;2.7;6.2
190;Aanschaf nieuwe koopwoning;2020;139.2;5.8;5.8
191;Aanschaf nieuwe koopwoning;2021 1e kwartaal;148.3;3.1;10.4
192;Aanschaf nieuwe koopwoning;2021 2e kwartaal;150.3;1.4;8.4
193;Aanschaf nieuwe koopwoning;2021 3e kwartaal;153.8;2.3;9.9
194;Aanschaf nieuwe koopwoning;2021 4e kwartaal;156.3;1.6;8.7
195;Aanschaf nieuwe koopwoning;2021;152.2;9.3;9.3
196;Aanschaf nieuwe koopwoning;2022 1e kwartaal;163.7;4.7;10.4
197;Aanschaf nieuwe koopwoning;2022 2e kwartaal;169.1;3.3;12.5
198;Aanschaf nieuwe koopwoning;2022 3e kwartaal;172.2;1.8;12.0
199;Aanschaf nieuwe koopwoning;2022 4e kwartaal;167.9;-2.5;7.4
200;Aanschaf nieuwe koopwoning;2022;168.2;10.6;10.6
201;Aanschaf nieuwe koopwoning;2023 1e kwartaal;175.6;4.5;7.3
202;Aanschaf nieuwe koopwoning;2023 2e kwartaal;180.0;2.5;6.4
203;Aanschaf nieuwe koopwoning;2023 3e kwartaal;181.7;1.0;5.5
204;Aanschaf nieuwe koopwoning: nieuwbouw;2010 1e kwartaal;105.3;;
205;Aanschaf nieuwe koopwoning: nieuwbouw;2010 2e kwartaal;104.0;-1.3;
206;Aanschaf nieuwe koopwoning: nieuwbouw;2010 3e kwartaal;104.0;0.1;
207;Aanschaf nieuwe koopwoning: nieuwbouw;2010 4e kwartaal;106.1;2.0;
208;Aanschaf nieuwe koopwoning: nieuwbouw;2010;104.9;;
209;Aanschaf nieuwe koopwoning: nieuwbouw;2011 1e kwartaal;108.7;2.4;3.2
210;Aanschaf nieuwe koopwoning: nieuwbouw;2011 2e kwartaal;103.8;-4.5;-0.1
211;Aanschaf nieuwe koopwoning: nieuwbouw;2011 3e kwartaal;104.3;0.5;0.3
212;Aanschaf nieuwe koopwoning: nieuwbouw;2011 4e kwartaal;102.4;-1.8;-3.5
213;Aanschaf nieuwe koopwoning: nieuwbouw;2011;104.8;0.0;0.0
214;Aanschaf nieuwe koopwoning: nieuwbouw;2012 1e kwartaal;96.5;-5.8;-11.2
215;Aanschaf nieuwe koopwoning: nieuwbouw;2012 2e kwartaal;96.4;-0.1;-7.1
216;Aanschaf nieuwe koopwoning: nieuwbouw;2012 3e kwartaal;93.0;-3.5;-10.8
217;Aanschaf nieuwe koopwoning: nieuwbouw;2012 4e kwartaal;99.7;7.2;-2.6
218;Aanschaf nieuwe koopwoning: nieuwbouw;2012;96.4;-8.0;-8.0
219;Aanschaf nieuwe koopwoning: nieuwbouw;2013 1e kwartaal;93.6;-6.1;-3.0
220;Aanschaf nieuwe koopwoning: nieuwbouw;2013 2e kwartaal;91.5;-2.2;-5.1
221;Aanschaf nieuwe koopwoning: nieuwbouw;2013 3e kwartaal;94.0;2.7;1.1
222;Aanschaf nieuwe koopwoning: nieuwbouw;2013 4e kwartaal;93.9;-0.1;-5.9
223;Aanschaf nieuwe koopwoning: nieuwbouw;2013;93.3;-3.3;-3.3
224;Aanschaf nieuwe koopwoning: nieuwbouw;2014 1e kwartaal;94.0;0.1;0.4
225;Aanschaf nieuwe koopwoning: nieuwbouw;2014 2e kwartaal;93.1;-1.0;1.7
226;Aanschaf nieuwe koopwoning: nieuwbouw;2014 3e kwartaal;91.4;-1.9;-2.8
227;Aanschaf nieuwe koopwoning: nieuwbouw;2014 4e kwartaal;94.7;3.6;0.9
228;Aanschaf nieuwe koopwoning: nieuwbouw;2014;93.3;0.0;0.0
229;Aanschaf nieuwe koopwoning: nieuwbouw;2015 1e kwartaal;96.8;2.2;3.0
230;Aanschaf nieuwe koopwoning: nieuwbouw;2015 2e kwartaal;98.2;1.4;5.5
231;Aanschaf nieuwe koopwoning: nieuwbouw;2015 3e kwartaal;103.0;4.8;12.7
232;Aanschaf nieuwe koopwoning: nieuwbouw;2015 4e kwartaal;102.0;-0.9;7.7
233;Aanschaf nieuwe koopwoning: nieuwbouw;2015;100.0;7.2;7.2
234;Aanschaf nieuwe koopwoning: nieuwbouw;2016 1e kwartaal;103.5;1.5;6.9
235;Aanschaf nieuwe koopwoning: nieuwbouw;2016 2e kwartaal;102.6;-0.9;4.4
236;Aanschaf nieuwe koopwoning: nieuwbouw;2016 3e kwartaal;104.9;2.3;1.9
237;Aanschaf nieuwe koopwoning: nieuwbouw;2016 4e kwartaal;107.5;2.5;5.4
238;Aanschaf nieuwe koopwoning: nieuwbouw;2016;104.6;4.6;4.6
239;Aanschaf nieuwe koopwoning: nieuwbouw;2017 1e kwartaal;109.9;2.2;6.1
240;Aanschaf nieuwe koopwoning: nieuwbouw;2017 2e kwartaal;109.0;-0.8;6.3
241;Aanschaf nieuwe koopwoning: nieuwbouw;2017 3e kwartaal;111.4;2.2;6.2
242;Aanschaf nieuwe koopwoning: nieuwbouw;2017 4e kwartaal;118.5;6.4;10.2
243;Aanschaf nieuwe koopwoning: nieuwbouw;2017;112.2;7.2;7.2
244;Aanschaf nieuwe koopwoning: nieuwbouw;2018 1e kwartaal;122.5;3.4;11.5
245;Aanschaf nieuwe koopwoning: nieuwbouw;2018 2e kwartaal;121.8;-0.6;11.7
246;Aanschaf nieuwe koopwoning: nieuwbouw;2018 3e kwartaal;129.6;6.4;16.3
247;Aanschaf nieuwe koopwoning: nieuwbouw;2018 4e kwartaal;130.6;0.7;10.2
248;Aanschaf nieuwe koopwoning: nieuwbouw;2018;126.1;12.4;12.4
249;Aanschaf nieuwe koopwoning: nieuwbouw;2019 1e kwartaal;134.2;2.8;9.5
250;Aanschaf nieuwe koopwoning: nieuwbouw;2019 2e kwartaal;141.3;5.5;16.0
251;Aanschaf nieuwe koopwoning: nieuwbouw;2019 3e kwartaal;137.8;-2.5;6.3
252;Aanschaf nieuwe koopwoning: nieuwbouw;2019 4e kwartaal;141.9;3.0;8.7
253;Aanschaf nieuwe koopwoning: nieuwbouw;2019;138.8;10.0;10.0
254;Aanschaf nieuwe koopwoning: nieuwbouw;2020 1e kwartaal;140.4;-1.1;4.6
255;Aanschaf nieuwe koopwoning: nieuwbouw;2020 2e kwartaal;147.2;4.9;4.2
256;Aanschaf nieuwe koopwoning: nieuwbouw;2020 3e kwartaal;151.8;3.2;10.2
257;Aanschaf nieuwe koopwoning: nieuwbouw;2020 4e kwartaal;154.2;1.6;8.7
258;Aanschaf nieuwe koopwoning: nieuwbouw;2020;148.4;6.9;6.9
259;Aanschaf nieuwe koopwoning: nieuwbouw;2021 1e kwartaal;163.9;6.3;16.8
260;Aanschaf nieuwe koopwoning: nieuwbouw;2021 2e kwartaal;166.5;1.6;13.1
261;Aanschaf nieuwe koopwoning: nieuwbouw;2021 3e kwartaal;170.7;2.6;12.4
262;Aanschaf nieuwe koopwoning: nieuwbouw;2021 4e kwartaal;176.2;3.2;14.2
263;Aanschaf nieuwe koopwoning: nieuwbouw;2021;169.3;14.1;14.1
264;Aanschaf nieuwe koopwoning: nieuwbouw;2022 1e kwartaal;186.8;6.0;13.9
265;Aanschaf nieuwe koopwoning: nieuwbouw;2022 2e kwartaal;193.9;3.8;16.5
266;Aanschaf nieuwe koopwoning: nieuwbouw;2022 3e kwartaal;194.0;0.0;13.6
267;Aanschaf nieuwe koopwoning: nieuwbouw;2022 4e kwartaal;187.7;-3.2;6.6
268;Aanschaf nieuwe koopwoning: nieuwbouw;2022;190.6;12.6;12.6
269;Aanschaf nieuwe koopwoning: nieuwbouw;2023 1e kwartaal;193.2;2.9;3.5
270;Aanschaf nieuwe koopwoning: nieuwbouw;2023 2e kwartaal;197.4;2.2;1.8
271;Aanschaf nieuwe koopwoning: nieuwbouw;2023 3e kwartaal;197.6;0.1;1.9
272;Aanschaf nieuwe koopwoning: zelfbouw;2010 1e kwartaal;112.6;;
273;Aanschaf nieuwe koopwoning: zelfbouw;2010 2e kwartaal;113.9;1.2;
274;Aanschaf nieuwe koopwoning: zelfbouw;2010 3e kwartaal;112.4;-1.3;
275;Aanschaf nieuwe koopwoning: zelfbouw;2010 4e kwartaal;114.7;2.0;
276;Aanschaf nieuwe koopwoning: zelfbouw;2010;113.4;;
277;Aanschaf nieuwe koopwoning: zelfbouw;2011 1e kwartaal;113.0;-1.4;0.4
278;Aanschaf nieuwe koopwoning: zelfbouw;2011 2e kwartaal;112.9;-0.1;-0.9
279;Aanschaf nieuwe koopwoning: zelfbouw;2011 3e kwartaal;112.7;-0.2;0.3
280;Aanschaf nieuwe koopwoning: zelfbouw;2011 4e kwartaal;112.0;-0.7;-2.4
281;Aanschaf nieuwe koopwoning: zelfbouw;2011;112.7;-0.6;-0.6
282;Aanschaf nieuwe koopwoning: zelfbouw;2012 1e kwartaal;106.3;-5.1;-6.0
283;Aanschaf nieuwe koopwoning: zelfbouw;2012 2e kwartaal;109.7;3.2;-2.9
284;Aanschaf nieuwe koopwoning: zelfbouw;2012 3e kwartaal;105.7;-3.6;-6.2
285;Aanschaf nieuwe koopwoning: zelfbouw;2012 4e kwartaal;107.0;1.2;-4.5
286;Aanschaf nieuwe koopwoning: zelfbouw;2012;107.2;-4.9;-4.9
287;Aanschaf nieuwe koopwoning: zelfbouw;2013 1e kwartaal;109.3;2.2;2.8
288;Aanschaf nieuwe koopwoning: zelfbouw;2013 2e kwartaal;104.7;-4.2;-4.5
289;Aanschaf nieuwe koopwoning: zelfbouw;2013 3e kwartaal;104.9;0.1;-0.8
290;Aanschaf nieuwe koopwoning: zelfbouw;2013 4e kwartaal;102.2;-2.6;-4.5
291;Aanschaf nieuwe koopwoning: zelfbouw;2013;105.3;-1.8;-1.8
292;Aanschaf nieuwe koopwoning: zelfbouw;2014 1e kwartaal;98.8;-3.3;-9.7
293;Aanschaf nieuwe koopwoning: zelfbouw;2014 2e kwartaal;100.8;2.1;-3.7
294;Aanschaf nieuwe koopwoning: zelfbouw;2014 3e kwartaal;102.5;1.7;-2.2
295;Aanschaf nieuwe koopwoning: zelfbouw;2014 4e kwartaal;101.0;-1.5;-1.2
296;Aanschaf nieuwe koopwoning: zelfbouw;2014;100.8;-4.3;-4.3
297;Aanschaf nieuwe koopwoning: zelfbouw;2015 1e kwartaal;101.0;0.1;2.3
298;Aanschaf nieuwe koopwoning: zelfbouw;2015 2e kwartaal;102.7;1.6;1.8
299;Aanschaf nieuwe koopwoning: zelfbouw;2015 3e kwartaal;98.5;-4.1;-4.0
300;Aanschaf nieuwe koopwoning: zelfbouw;2015 4e kwartaal;97.8;-0.7;-3.1
301;Aanschaf nieuwe koopwoning: zelfbouw;2015;100.0;-0.8;-0.8
302;Aanschaf nieuwe koopwoning: zelfbouw;2016 1e kwartaal;97.3;-0.6;-3.7
303;Aanschaf nieuwe koopwoning: zelfbouw;2016 2e kwartaal;98.4;1.2;-4.1
304;Aanschaf nieuwe koopwoning: zelfbouw;2016 3e kwartaal;101.0;2.6;2.6
305;Aanschaf nieuwe koopwoning: zelfbouw;2016 4e kwartaal;102.1;1.0;4.3
306;Aanschaf nieuwe koopwoning: zelfbouw;2016;99.7;-0.3;-0.3
307;Aanschaf nieuwe koopwoning: zelfbouw;2017 1e kwartaal;103.7;1.6;6.6
308;Aanschaf nieuwe koopwoning: zelfbouw;2017 2e kwartaal;107.1;3.3;8.8
309;Aanschaf nieuwe koopwoning: zelfbouw;2017 3e kwartaal;106.0;-1.1;4.9
310;Aanschaf nieuwe koopwoning: zelfbouw;2017 4e kwartaal;110.1;3.8;7.8
311;Aanschaf nieuwe koopwoning: zelfbouw;2017;106.7;7.0;7.0
312;Aanschaf nieuwe koopwoning: zelfbouw;2018 1e kwartaal;113.0;2.7;9.0
313;Aanschaf nieuwe koopwoning: zelfbouw;2018 2e kwartaal;113.5;0.5;6.0
314;Aanschaf nieuwe koopwoning: zelfbouw;2018 3e kwartaal;116.0;2.2;9.4
315;Aanschaf nieuwe koopwoning: zelfbouw;2018 4e kwartaal;121.8;5.0;10.6
316;Aanschaf nieuwe koopwoning: zelfbouw;2018;116.1;8.8;8.8
317;Aanschaf nieuwe koopwoning: zelfbouw;2019 1e kwartaal;122.4;0.5;8.3
