ID;Accuracy;OwnerOrTenant;DwellingCharacterristics;Regions;Period;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
60;Value;Total;Total;Noord-Friesland (CR);2009;739.2;519.0;220.2;33.6;90.6;7.7;1.7
61;Value;Total;Total;Noord-Friesland (CR);2012;768.1;543.6;224.5;33.5;89.0;8.1;2.8
62;Value;Total;Total;Noord-Friesland (CR);2015;717.6;519.1;198.6;31.6;90.7;4.8;4.4
63;Value;Total;Total;Zuidwest-Friesland (CR);2009;745.0;524.7;220.3;31.4;92.0;8.0;0.0
64;Value;Total;Total;Zuidwest-Friesland (CR);2012;788.6;558.4;230.2;33.4;89.9;5.8;4.3
65;Value;Total;Total;Zuidwest-Friesland (CR);2015;773.7;569.7;204.0;33.1;87.3;3.3;9.4
66;Value;Total;Total;Zuidoost-Friesland (CR);2009;778.6;545.4;233.3;32.0;89.5;8.2;2.3
67;Value;Total;Total;Zuidoost-Friesland (CR);2012;815.8;578.5;237.3;34.4;92.2;5.6;2.2
68;Value;Total;Total;Zuidoost-Friesland (CR);2015;754.0;546.7;207.3;31.6;87.4;8.5;4.1
69;Value;Total;Total;Noord-Drenthe (CR);2009;809.2;563.1;246.2;33.6;93.5;5.1;1.4
70;Value;Total;Total;Noord-Drenthe (CR);2012;842.6;598.6;244.0;33.5;94.5;2.6;2.9
71;Value;Total;Total;Noord-Drenthe (CR);2015;795.1;576.6;218.5;29.7;91.0;5.1;3.9
72;Value;Total;Total;Zuidoost-Drenthe (CR);2009;788.2;538.8;249.4;34.5;89.3;7.3;3.4
73;Value;Total;Total;Zuidoost-Drenthe (CR);2012;841.1;597.1;244.0;34.4;90.2;5.0;4.8
74;Value;Total;Total;Zuidoost-Drenthe (CR);2015;773.6;560.2;213.4;33.9;90.4;4.5;5.0
75;Value;Total;Total;Zuidwest-Drenthe (CR);2009;742.4;508.2;234.2;33.8;92.6;6.7;0.7
76;Value;Total;Total;Zuidwest-Drenthe (CR);2012;804.6;568.4;236.2;34.4;90.6;3.9;5.5
77;Value;Total;Total;Zuidwest-Drenthe (CR);2015;742.8;529.4;213.4;30.7;88.3;5.8;5.9
78;Value;Total;Total;Noord-Overijssel (CR);2009;780.1;551.1;229.0;31.3;88.8;8.4;2.9
79;Value;Total;Total;Noord-Overijssel (CR);2012;806.6;578.9;227.7;32.8;86.4;9.0;4.6
80;Value;Total;Total;Noord-Overijssel (CR);2015;783.8;581.5;202.3;31.6;89.2;5.4;5.4
81;Value;Total;Total;Zuidwest-Overijssel (CR);2009;824.4;601.5;222.9;33.4;88.0;9.9;2.2
82;Value;Total;Total;Zuidwest-Overijssel (CR);2012;818.3;588.5;229.7;32.6;84.7;10.2;5.1
83;Value;Total;Total;Zuidwest-Overijssel (CR);2015;843.2;637.0;206.1;32.4;83.6;7.5;8.9
84;Value;Total;Total;Twente (CR);2009;760.9;529.4;231.5;33.3;87.8;8.7;3.6
85;Value;Total;Total;Twente (CR);2012;801.2;566.5;234.8;34.0;89.0;6.2;4.9
86;Value;Total;Total;Twente (CR);2015;745.3;549.7;195.5;31.5;89.3;5.5;5.2
87;Value;Total;Total;Veluwe (CR);2009;821.0;595.2;225.8;31.2;86.6;11.4;2.0
88;Value;Total;Total;Veluwe (CR);2012;863.7;637.3;226.3;32.4;86.1;9.9;4.1
89;Value;Total;Total;Veluwe (CR);2015;794.6;596.0;198.6;30.3;88.2;6.2;5.6
90;Value;Total;Total;Achterhoek (CR);2009;796.1;557.2;238.8;32.0;91.5;6.4;2.2
91;Value;Total;Total;Achterhoek (CR);2012;828.2;598.9;229.4;33.7;88.7;7.6;3.7
92;Value;Total;Total;Achterhoek (CR);2015;784.8;581.7;203.1;32.5;88.3;4.5;7.1
93;Value;Total;Total;Arnhem/Nijmegen (CR);2009;751.8;544.8;207.0;31.4;83.7;12.5;3.8
94;Value;Total;Total;Arnhem/Nijmegen (CR);2012;810.2;600.7;209.5;33.2;84.7;10.6;4.7
95;Value;Total;Total;Arnhem/Nijmegen (CR);2015;796.3;606.5;189.8;32.4;84.1;7.9;8.0
96;Value;Total;Total;Zuidwest-Gelderland (CR);2009;818.9;568.4;250.5;30.7;85.1;12.6;2.3
97;Value;Total;Total;Zuidwest-Gelderland (CR);2012;859.0;617.7;241.3;31.9;87.0;11.0;2.1
98;Value;Total;Total;Zuidwest-Gelderland (CR);2015;844.7;625.8;218.9;31.8;89.1;6.4;4.5
99;Value;Total;Total;Utrecht (CR);2009;811.2;593.6;217.6;29.7;84.6;12.8;2.6
100;Value;Total;Total;Utrecht (CR);2012;861.8;647.7;214.2;31.9;85.6;9.4;5.0
101;Value;Total;Total;Utrecht (CR);2015;859.4;664.3;195.2;31.2;86.0;7.8;6.2
102;Value;Total;Total;Kop van Noord-Holland (CR);2009;803.3;568.6;234.7;31.0;88.4;10.1;1.6
103;Value;Total;Total;Kop van Noord-Holland (CR);2012;837.1;603.5;233.6;33.7;86.5;9.1;4.5
104;Value;Total;Total;Kop van Noord-Holland (CR);2015;790.3;570.3;220.0;31.6;90.7;4.2;5.0
105;Value;Total;Total;Alkmaar en omgeving (CR);2009;780.6;561.8;218.8;31.5;88.8;7.6;3.6
106;Value;Total;Total;Alkmaar en omgeving (CR);2012;844.4;618.1;226.3;33.1;87.0;8.0;5.1
107;Value;Total;Total;Alkmaar en omgeving (CR);2015;815.1;607.4;207.7;30.8;87.4;8.3;4.4
108;Value;Total;Total;IJmond (CR);2009;749.9;535.8;214.2;29.1;82.8;15.0;2.3
109;Value;Total;Total;IJmond (CR);2012;868.5;637.8;230.7;33.1;83.4;13.5;3.1
110;Value;Total;Total;IJmond (CR);2015;779.3;572.8;206.5;29.8;85.0;7.4;7.7
111;Value;Total;Total;Agglomeratie Haarlem (CR);2009;825.5;620.5;205.0;32.5;84.0;12.7;3.4
112;Value;Total;Total;Agglomeratie Haarlem (CR);2012;903.6;688.8;214.8;33.4;85.0;8.8;6.2
113;Value;Total;Total;Agglomeratie Haarlem (CR);2015;901.7;698.7;203.1;33.6;84.8;8.1;7.2
114;Value;Total;Total;Zaanstreek (CR);2009;730.7;509.3;221.4;32.6;80.8;16.2;3.0
115;Value;Total;Total;Zaanstreek (CR);2012;807.3;581.9;225.4;33.2;81.2;11.7;7.1
116;Value;Total;Total;Zaanstreek (CR);2015;810.4;597.5;212.9;31.8;79.9;11.7;8.4
117;Value;Total;Total;Groot-Amsterdam (CR);2009;720.2;531.6;188.6;33.2;77.3;17.4;5.3
118;Value;Total;Total;Groot-Amsterdam (CR);2012;790.5;594.4;196.1;34.9;78.8;14.3;6.9
119;Value;Total;Total;Groot-Amsterdam (CR);2015;797.2;617.2;180.0;35.3;78.9;11.5;9.6
120;Value;Total;Total;Het Gooi en Vechtstreek (CR);2009;851.5;618.5;233.0;32.0;85.9;11.5;2.6
121;Value;Total;Total;Het Gooi en Vechtstreek (CR);2012;931.2;692.8;238.4;33.1;85.6;10.3;4.0
122;Value;Total;Total;Het Gooi en Vechtstreek (CR);2015;1063.8;844.7;219.1;33.8;84.0;5.9;10.1
123;Value;Total;Total;Agglomeratie Leiden en Bollenstreek (CR);2009;798.4;584.7;213.7;31.3;86.7;10.7;2.6
124;Value;Total;Total;Agglomeratie Leiden en Bollenstreek (CR);2012;869.2;648.5;220.7;32.8;84.3;10.2;5.5
125;Value;Total;Total;Agglomeratie Leiden en Bollenstreek (CR);2015;850.3;651.4;198.9;32.9;85.1;8.0;6.9
126;Value;Total;Total;Agglomeratie 's-Gravenhage (CR);2009;793.5;590.4;203.1;33.8;81.1;13.6;5.3
127;Value;Total;Total;Agglomeratie 's-Gravenhage (CR);2012;833.7;626.5;207.2;35.2;80.8;11.4;7.8
128;Value;Total;Total;Agglomeratie 's-Gravenhage (CR);2015;829.1;636.2;192.9;34.5;82.0;8.5;9.5
129;Value;Total;Total;Delft en Westland (CR);2009;760.5;548.9;211.6;32.8;83.4;12.8;3.8
130;Value;Total;Total;Delft en Westland (CR);2012;810.2;595.0;215.2;34.3;81.6;11.7;6.7
131;Value;Total;Total;Delft en Westland (CR);2015;791.7;593.8;197.9;34.0;82.5;8.1;9.4
132;Value;Total;Total;Oost-Zuid-Holland (CR);2009;802.7;577.6;225.1;30.9;86.5;10.5;3.0
133;Value;Total;Total;Oost-Zuid-Holland (CR);2012;871.0;647.6;223.4;32.5;84.0;11.1;4.9
134;Value;Total;Total;Oost-Zuid-Holland (CR);2015;820.3;613.2;207.1;32.0;87.4;7.2;5.4
135;Value;Total;Total;Groot-Rijnmond (CR);2009;736.5;535.3;201.2;31.2;80.5;14.3;5.2
136;Value;Total;Total;Groot-Rijnmond (CR);2012;788.9;580.9;208.0;34.1;81.0;11.7;7.3
137;Value;Total;Total;Groot-Rijnmond (CR);2015;771.5;577.4;194.1;32.9;81.8;8.9;9.3
138;Value;Total;Total;Zuidoost-Zuid-Holland (CR);2009;766.5;548.7;217.8;29.9;85.5;11.5;3.0
139;Value;Total;Total;Zuidoost-Zuid-Holland (CR);2012;825.1;573.2;251.9;31.8;81.6;13.6;4.7
140;Value;Total;Total;Zuidoost-Zuid-Holland (CR);2015;792.3;590.4;202.0;31.5;83.3;8.8;7.9
141;Value;Total;Total;Zeeuwsch-Vlaanderen (CR);2009;730.2;498.2;232.1;31.4;93.0;5.7;1.2
142;Value;Total;Total;Zeeuwsch-Vlaanderen (CR);2012;750.9;525.2;225.7;31.3;90.6;6.1;3.3
143;Value;Total;Total;Zeeuwsch-Vlaanderen (CR);2015;717.1;503.7;213.4;31.1;92.1;4.5;3.4
144;Value;Total;Total;Overig Zeeland (CR);2009;738.1;517.3;220.8;31.4;88.0;9.9;2.1
145;Value;Total;Total;Overig Zeeland (CR);2012;802.0;578.7;223.3;32.3;87.8;9.0;3.3
146;Value;Total;Total;Overig Zeeland (CR);2015;759.3;551.3;208.0;31.6;88.6;5.8;5.6
147;Value;Total;Total;West-Noord-Brabant (CR);2009;791.0;561.4;229.5;31.0;87.0;10.3;2.7
148;Value;Total;Total;West-Noord-Brabant (CR);2012;826.7;591.6;235.1;32.5;84.6;9.9;5.5
149;Value;Total;Total;West-Noord-Brabant (CR);2015;805.6;597.3;208.4;31.6;86.4;6.9;6.7
150;Value;Total;Total;Midden-Noord-Brabant (CR);2009;792.4;570.9;221.5;31.0;87.2;10.8;2.0
151;Value;Total;Total;Midden-Noord-Brabant (CR);2012;821.7;604.7;217.0;34.2;84.8;9.6;5.6
152;Value;Total;Total;Midden-Noord-Brabant (CR);2015;787.9;589.7;198.2;32.8;84.3;6.4;9.3
153;Value;Total;Total;Noordoost-Noord-Brabant (CR);2009;797.8;567.4;230.4;30.7;85.3;12.3;2.4
154;Value;Total;Total;Noordoost-Noord-Brabant (CR);2012;860.4;630.3;230.1;33.1;87.4;9.0;3.7
155;Value;Total;Total;Noordoost-Noord-Brabant (CR);2015;805.0;599.3;205.6;30.8;86.5;6.7;6.8
156;Value;Total;Total;Zuidoost-Noord-Brabant (CR);2009;782.6;559.1;223.6;31.2;87.9;9.0;3.2
157;Value;Total;Total;Zuidoost-Noord-Brabant (CR);2012;838.8;614.2;224.7;32.7;87.5;7.9;4.6
158;Value;Total;Total;Zuidoost-Noord-Brabant (CR);2015;824.3;621.3;203.0;32.9;86.4;6.3;7.3
159;Value;Total;Total;Noord-Limburg (CR);2009;791.6;554.3;237.4;31.6;89.8;6.8;3.4
160;Value;Total;Total;Noord-Limburg (CR);2012;820.9;580.0;240.9;33.3;87.2;7.8;5.0
161;Value;Total;Total;Noord-Limburg (CR);2015;802.3;589.8;212.5;32.1;88.8;5.9;5.3
162;Value;Total;Total;Midden-Limburg (CR);2009;790.0;544.6;245.4;32.2;87.0;8.7;4.3
163;Value;Total;Total;Midden-Limburg (CR);2012;837.7;595.3;242.4;34.8;88.9;6.5;4.6
164;Value;Total;Total;Midden-Limburg (CR);2015;736.6;524.9;211.6;32.0;91.4;2.4;6.2
165;Value;Total;Total;Zuid-Limburg (CR);2009;735.0;510.3;224.7;32.8;87.1;9.4;3.5
166;Value;Total;Total;Zuid-Limburg (CR);2012;764.7;539.6;225.1;33.8;85.8;7.8;6.4
167;Value;Total;Total;Zuid-Limburg (CR);2015;719.9;518.7;201.2;32.8;86.1;6.0;7.9
168;Value;Total;Total;Flevoland (CR);2009;795.6;571.3;224.3;31.1;89.7;6.5;3.8
169;Value;Total;Total;Flevoland (CR);2012;818.9;599.4;219.5;32.4;85.0;8.5;6.5
170;Value;Total;Total;Flevoland (CR);2015;822.7;624.9;197.8;32.5;86.7;4.0;9.3
171;Value;Total;Total;Almere;2009;799.4;584.3;215.1;30.7;86.2;8.4;5.4
172;Value;Total;Total;Almere;2012;810.9;596.2;214.8;30.8;81.1;10.3;8.5
173;Value;Total;Total;Almere;2015;837.0;643.3;193.7;33.2;84.6;4.6;10.8
174;Value;Total;Total;Amersfoort;2009;774.4;578.4;196.0;27.3;83.5;15.9;0.6
175;Value;Total;Total;Amersfoort;2012;886.1;691.5;194.6;31.7;85.0;9.0;6.0
176;Value;Total;Total;Amersfoort;2015;885.9;701.7;184.2;29.6;87.6;5.3;7.1
177;Value;Total;Total;Amsterdam;2009;677.4;504.2;173.2;34.7;74.5;19.3;6.2
178;Value;Total;Total;Amsterdam;2012;752.1;572.8;179.2;36.5;76.1;15.9;8.0
179;Value;Total;Total;Amsterdam;2015;779.8;615.3;164.5;36.7;76.0;13.5;10.5
180;Value;Total;Total;Apeldoorn;2009;795.3;578.3;216.9;31.6;84.8;13.1;2.1
181;Value;Total;Total;Apeldoorn;2012;867.8;638.3;229.4;33.5;85.2;8.4;6.4
182;Value;Total;Total;Apeldoorn;2015;793.0;598.7;194.3;30.8;86.9;3.8;9.2
183;Value;Total;Total;Arnhem;2009;703.0;521.0;182.1;32.4;80.4;14.2;5.4
184;Value;Total;Total;Arnhem;2012;767.4;578.7;188.6;34.5;81.7;13.3;5.0
185;Value;Total;Total;Arnhem;2015;771.3;597.0;174.3;33.4;81.9;8.3;9.7
186;Value;Total;Total;Breda;2009;766.7;551.4;215.3;31.8;85.2;11.0;3.8
187;Value;Total;Total;Breda;2012;845.7;622.4;223.3;33.4;83.8;9.2;7.1
188;Value;Total;Total;Breda;2015;835.3;638.2;197.1;32.3;87.6;5.3;7.1
189;Value;Total;Total;Dordrecht;2009;756.5;551.1;205.4;31.6;87.1;8.6;4.3
190;Value;Total;Total;Dordrecht;2012;748.4;542.9;205.5;33.2;83.6;9.9;6.5
191;Value;Total;Total;Dordrecht;2015;747.4;556.0;191.4;32.8;85.9;6.7;7.4
192;Value;Total;Total;Ede;2009;846.5;624.7;221.8;31.5;88.2;7.6;4.2
193;Value;Total;Total;Ede;2012;856.8;637.0;219.8;31.3;87.4;7.6;5.0
194;Value;Total;Total;Ede;2015;763.5;567.1;196.5;29.8;91.4;3.8;4.9
195;Value;Total;Total;Eindhoven;2009;720.5;525.9;194.6;32.4;82.7;11.8;5.5
196;Value;Total;Total;Eindhoven;2012;767.8;570.9;196.9;33.6;83.2;10.2;6.7
197;Value;Total;Total;Eindhoven;2015;777.5;603.8;173.8;34.3;82.0;8.1;9.9
198;Value;Total;Total;Emmen;2009;781.6;539.5;242.1;34.4;88.3;7.9;3.9
199;Value;Total;Total;Emmen;2012;844.7;605.5;239.2;34.1;89.9;4.5;5.6
200;Value;Total;Total;Emmen;2015;752.4;549.4;203.0;34.7;91.5;3.6;4.9
201;Value;Total;Total;Enschede;2009;712.8;498.9;214.0;35.1;87.4;8.6;4.0
202;Value;Total;Total;Enschede;2012;747.2;536.0;211.2;35.9;87.8;4.5;7.7
203;Value;Total;Total;Enschede;2015;715.9;534.5;181.3;35.6;83.8;7.4;8.8
204;Value;Total;Total;'s-Gravenhage (The Hague) (municipality);2009;769.5;572.5;197.1;35.4;80.6;13.5;5.9
205;Value;Total;Total;'s-Gravenhage (The Hague) (municipality);2012;799.9;597.6;202.3;36.7;79.1;11.6;9.3
206;Value;Total;Total;'s-Gravenhage (The Hague) (municipality);2015;812.0;622.8;189.2;36.2;81.4;7.8;10.8
207;Value;Total;Total;Groningen (municipality);2009;665.4;475.7;189.8;36.6;85.1;9.8;5.1
208;Value;Total;Total;Groningen (municipality);2012;693.1;502.4;190.6;34.8;85.2;9.1;5.8
209;Value;Total;Total;Groningen (municipality);2015;701.1;530.1;171.0;38.1;79.3;6.7;13.9
210;Value;Total;Total;Haarlem;2009;782.7;591.2;191.5;32.7;83.3;13.2;3.5
211;Value;Total;Total;Haarlem;2012;869.2;667.8;201.4;33.1;82.9;11.0;6.1
212;Value;Total;Total;Haarlem;2015;898.0;703.6;194.3;34.4;84.1;7.8;8.1
213;Value;Total;Total;Haarlemmermeer;2009;831.3;620.9;210.4;27.9;79.0;16.4;4.6
214;Value;Total;Total;Haarlemmermeer;2012;861.4;642.2;219.3;29.3;84.3;9.9;5.8
215;Value;Total;Total;Haarlemmermeer;2015;840.3;630.1;210.1;30.7;86.9;6.8;6.3
216;Value;Total;Total;'s-Hertogenbosch;2009;764.9;554.9;209.9;30.5;80.7;16.9;2.4
217;Value;Total;Total;'s-Hertogenbosch;2012;826.5;613.1;213.5;34.2;82.6;11.6;5.9
218;Value;Total;Total;'s-Hertogenbosch;2015;806.8;620.4;186.4;32.8;83.1;8.1;8.8
219;Value;Total;Total;Leiden;2009;753.2;566.8;186.4;33.0;82.5;13.7;3.8
220;Value;Total;Total;Leiden;2012;806.6;613.3;193.3;33.7;82.1;12.0;5.9
221;Value;Total;Total;Leiden;2015;802.8;628.9;173.9;35.5;77.9;9.9;12.2
222;Value;Total;Total;Maastricht;2009;710.4;501.0;209.4;33.7;81.1;14.0;4.9
223;Value;Total;Total;Maastricht;2012;721.5;514.8;206.7;35.5;83.6;10.2;6.2
224;Value;Total;Total;Maastricht;2015;758.9;570.1;188.8;36.3;81.7;8.5;9.8
225;Value;Total;Total;Nijmegen;2009;689.6;509.3;180.4;33.7;82.9;13.2;3.9
226;Value;Total;Total;Nijmegen;2012;748.0;565.2;182.8;33.5;81.9;12.8;5.3
227;Value;Total;Total;Nijmegen;2015;777.4;606.8;170.6;35.4;85.1;7.9;6.9
228;Value;Total;Total;Rotterdam;2009;664.1;486.9;177.3;32.9;76.5;16.2;7.2
229;Value;Total;Total;Rotterdam;2012;721.3;531.4;189.8;36.4;77.0;12.7;10.2
230;Value;Total;Total;Rotterdam;2015;735.2;552.8;182.4;34.9;79.7;9.6;10.7
231;Value;Total;Total;Tilburg;2009;743.6;544.4;199.2;32.2;87.5;9.4;3.1
232;Value;Total;Total;Tilburg;2012;793.3;595.4;197.9;35.5;83.1;9.7;7.2
233;Value;Total;Total;Tilburg;2015;773.9;588.8;185.1;35.2;81.8;5.6;12.6
234;Value;Total;Total;Utrecht (municipality);2009;765.9;573.6;192.3;32.5;80.4;15.7;3.9
235;Value;Total;Total;Utrecht (municipality);2012;818.7;629.9;188.9;34.0;83.9;11.0;5.1
236;Value;Total;Total;Utrecht (municipality);2015;827.8;648.4;179.4;34.0;83.2;8.5;8.3
237;Value;Total;Total;Westland;2009;822.6;588.7;233.9;30.5;86.1;10.1;3.8
238;Value;Total;Total;Westland;2012;855.3;619.7;235.6;31.7;80.8;10.5;8.7
239;Value;Total;Total;Westland;2015;849.5;639.3;210.2;30.7;84.7;5.3;10.0
240;Value;Total;Total;Zaanstad;2009;719.2;500.1;219.1;32.9;80.6;16.0;3.3
241;Value;Total;Total;Zaanstad;2012;820.4;597.0;223.4;33.7;81.6;10.6;7.8
242;Value;Total;Total;Zaanstad;2015;818.2;604.9;213.3;32.3;78.3;12.6;9.1
243;Value;Total;Total;Zoetermeer;2009;819.8;619.7;200.1;31.1;78.4;14.8;6.8
244;Value;Total;Total;Zoetermeer;2012;867.6;663.8;203.8;32.4;81.5;10.8;7.7
245;Value;Total;Total;Zoetermeer;2015;827.4;642.5;184.9;30.6;80.3;11.0;8.7
246;Value;Total;Total;Zwolle;2009;735.7;544.0;191.7;31.2;84.4;12.4;3.2
247;Value;Total;Total;Zwolle;2012;785.3;586.5;198.8;32.5;82.9;12.1;5.0
248;Value;Total;Total;Zwolle;2015;783.7;600.6;183.1;33.2;86.4;5.2;8.3
249;Value;Total;Bathing facilities:bath, separate shower;Nederland ;2009;991.9;724.0;267.9;29.7;97.0;1.9;1.2
250;Value;Total;Bathing facilities:bath, separate shower;Nederland ;2012;1052.7;783.1;269.6;30.7;97.1;1.5;1.3
251;Value;Total;Bathing facilities:bath, separate shower;Nederland ;2015;991.4;751.4;240.0;28.3;97.0;1.3;1.7
252;Value;Total;Bathing facilities:bath, separate shower;Noord-Nederland (LD);2009;945.1;670.2;274.9;31.6;97.3;1.6;1.1
253;Value;Total;Bathing facilities:bath, separate shower;Noord-Nederland (LD);2012;1008.5;728.6;279.9;31.7;98.6;0.6;0.8
254;Value;Total;Bathing facilities:bath, separate shower;Noord-Nederland (LD);2015;907.8;664.2;243.6;28.0;97.3;1.1;1.6
255;Value;Total;Bathing facilities:bath, separate shower;Oost-Nederland (LD);2009;996.0;722.6;273.4;30.3;97.9;1.3;0.9
