ID;Branches;Periods;LabourIncomeShare_1;CompensationOfEmployees_2;ImputedLabourIncome_3;NetOperatingSurplus_4;RemunerationOfLabour_5;RemunerationOfLabourAndCapital_6
124;C Manufacturing;2007;61.5;35838.0;2515.0;26503.0;38353.0;62341.0
125;C Manufacturing;2008;65.8;37889.0;2694.0;23792.0;40583.0;61681.0
126;C Manufacturing;2009;77.0;38439.0;2593.0;14828.0;41032.0;53267.0
127;C Manufacturing;2010;72.3;36412.0;2643.0;17623.0;39055.0;54035.0
128;C Manufacturing;2011;70.1;37269.0;2794.0;19868.0;40063.0;57137.0
129;C Manufacturing;2012;71.9;37734.0;3008.0;18914.0;40742.0;56648.0
130;C Manufacturing;2013;75.2;37876.0;3099.0;16578.0;40975.0;54454.0
131;C Manufacturing;2014;76.0;39000.0;3406.0;16787.0;42406.0;55787.0
132;C Manufacturing;2015;70.2;38816.0;3706.0;21764.0;42522.0;60580.0
133;C Manufacturing;2016;69.8;39963.0;3928.0;22940.0;43891.0;62903.0
134;C Manufacturing;2017;66.9;41044.0;4020.0;26340.0;45064.0;67384.0
135;C Manufacturing;2018;66.1;42695.0;4171.0;28162.0;46866.0;70857.0
136;C Manufacturing;2019;67.8;44754.0;4269.0;27503.0;49023.0;72257.0
137;C Manufacturing;2020;70.3;46078.0;4592.0;26037.0;50670.0;72115.0
138;C Manufacturing;2021;63.9;47185.0;4998.0;34434.0;52183.0;81619.0
139;C Manufacturing;2022;59.5;50117.0;4811.0;42236.0;54928.0;92353.0
140;D Energy supply;1995;55.1;1455.0;17.0;1217.0;1472.0;2672.0
141;D Energy supply;1996;47.8;1394.0;17.0;1557.0;1411.0;2951.0
142;D Energy supply;1997;51.8;1402.0;17.0;1340.0;1419.0;2742.0
143;D Energy supply;1998;46.4;1437.0;18.0;1697.0;1455.0;3134.0
144;D Energy supply;1999;49.9;1460.0;18.0;1500.0;1478.0;2960.0
145;D Energy supply;2000;60.1;1484.0;16.0;1013.0;1500.0;2497.0
146;D Energy supply;2001;66.0;1459.0;8.0;765.0;1467.0;2224.0
147;D Energy supply;2002;60.2;1541.0;14.0;1040.0;1555.0;2581.0
148;D Energy supply;2003;58.0;1556.0;16.0;1155.0;1572.0;2711.0
149;D Energy supply;2004;67.0;1547.0;16.0;785.0;1563.0;2332.0
150;D Energy supply;2005;52.1;1596.0;17.0;1502.0;1613.0;3098.0
151;D Energy supply;2006;43.3;1588.0;27.0;2146.0;1615.0;3734.0
152;D Energy supply;2007;43.5;1683.0;34.0;2261.0;1717.0;3944.0
153;D Energy supply;2008;54.6;1799.0;24.0;1541.0;1823.0;3340.0
154;D Energy supply;2009;35.3;1872.0;60.0;3607.0;1932.0;5479.0
155;D Energy supply;2010;41.2;1961.0;49.0;2914.0;2010.0;4875.0
156;D Energy supply;2011;41.0;1900.0;45.0;2847.0;1945.0;4747.0
157;D Energy supply;2012;40.0;1927.0;57.0;3037.0;1984.0;4964.0
158;D Energy supply;2013;46.7;2072.0;67.0;2505.0;2139.0;4577.0
159;D Energy supply;2014;55.1;2035.0;88.0;1815.0;2123.0;3850.0
160;D Energy supply;2015;53.5;1981.0;255.0;2202.0;2236.0;4183.0
161;D Energy supply;2016;56.0;1976.0;263.0;2024.0;2239.0;4000.0
162;D Energy supply;2017;66.8;2027.0;313.0;1478.0;2340.0;3505.0
163;D Energy supply;2018;66.9;2100.0;517.0;1810.0;2617.0;3910.0
164;D Energy supply;2019;63.8;2200.0;742.0;2414.0;2942.0;4614.0
165;D Energy supply;2020;58.4;2266.0;1052.0;3420.0;3318.0;5686.0
166;D Energy supply;2021;77.6;2399.0;1289.0;2353.0;3688.0;4752.0
167;D Energy supply;2022;54.9;2656.0;2514.0;6759.0;5170.0;9415.0
168;E Water supply and waste management;1995;76.0;711.0;66.0;312.0;777.0;1023.0
169;E Water supply and waste management;1996;72.7;754.0;72.0;382.0;826.0;1136.0
170;E Water supply and waste management;1997;72.3;829.0;85.0;436.0;914.0;1265.0
171;E Water supply and waste management;1998;81.0;931.0;90.0;329.0;1021.0;1260.0
172;E Water supply and waste management;1999;78.8;1084.0;105.0;424.0;1189.0;1508.0
173;E Water supply and waste management;2000;76.0;1156.0;124.0;529.0;1280.0;1685.0
174;E Water supply and waste management;2001;78.2;1305.0;135.0;536.0;1440.0;1841.0
175;E Water supply and waste management;2002;79.9;1407.0;143.0;532.0;1550.0;1939.0
176;E Water supply and waste management;2003;79.0;1507.0;152.0;593.0;1659.0;2100.0
177;E Water supply and waste management;2004;79.0;1489.0;153.0;589.0;1642.0;2078.0
178;E Water supply and waste management;2005;78.7;1482.0;149.0;590.0;1631.0;2072.0
179;E Water supply and waste management;2006;74.1;1478.0;162.0;735.0;1640.0;2213.0
180;E Water supply and waste management;2007;72.9;1527.0;177.0;810.0;1704.0;2337.0
181;E Water supply and waste management;2008;70.4;1601.0;203.0;960.0;1804.0;2561.0
182;E Water supply and waste management;2009;78.2;1684.0;193.0;715.0;1877.0;2399.0
183;E Water supply and waste management;2010;81.0;1734.0;187.0;639.0;1921.0;2373.0
184;E Water supply and waste management;2011;78.9;1800.0;185.0;716.0;1985.0;2516.0
185;E Water supply and waste management;2012;77.7;1799.0;165.0;728.0;1964.0;2527.0
186;E Water supply and waste management;2013;75.3;1813.0;165.0;815.0;1978.0;2628.0
187;E Water supply and waste management;2014;71.8;1828.0;177.0;965.0;2005.0;2793.0
188;E Water supply and waste management;2015;68.3;1812.0;171.0;1091.0;1983.0;2903.0
189;E Water supply and waste management;2016;70.4;1857.0;171.0;1023.0;2028.0;2880.0
190;E Water supply and waste management;2017;70.5;1931.0;175.0;1057.0;2106.0;2988.0
191;E Water supply and waste management;2018;72.6;2058.0;177.0;1019.0;2235.0;3077.0
192;E Water supply and waste management;2019;77.1;2153.0;164.0;851.0;2317.0;3004.0
193;E Water supply and waste management;2020;75.7;2206.0;160.0;919.0;2366.0;3125.0
194;E Water supply and waste management;2021;68.6;2307.0;165.0;1295.0;2472.0;3602.0
195;E Water supply and waste management;2022;63.2;2474.0;215.0;1781.0;2689.0;4255.0
196;F Construction;1995;97.3;11912.0;2098.0;2480.0;14010.0;14392.0
197;F Construction;1996;97.6;12233.0;2184.0;2538.0;14417.0;14771.0
198;F Construction;1997;97.4;12670.0;2300.0;2703.0;14970.0;15373.0
199;F Construction;1998;97.3;13569.0;2476.0;2920.0;16045.0;16489.0
200;F Construction;1999;94.0;14689.0;2756.0;3872.0;17445.0;18561.0
201;F Construction;2000;94.5;15933.0;3067.0;4174.0;19000.0;20107.0
202;F Construction;2001;91.7;16714.0;3396.0;5215.0;20110.0;21929.0
203;F Construction;2002;90.7;17249.0;3666.0;5815.0;20915.0;23064.0
204;F Construction;2003;90.0;17063.0;3805.0;6122.0;20868.0;23185.0
205;F Construction;2004;89.3;17031.0;3933.0;6455.0;20964.0;23486.0
206;F Construction;2005;86.0;17034.0;4276.0;7732.0;21310.0;24766.0
207;F Construction;2006;83.2;17350.0;4706.0;9166.0;22056.0;26516.0
208;F Construction;2007;80.4;18062.0;5200.0;10866.0;23262.0;28928.0
209;F Construction;2008;79.2;18992.0;5658.0;12132.0;24650.0;31124.0
210;F Construction;2009;79.2;18877.0;5839.0;12347.0;24716.0;31224.0
211;F Construction;2010;85.6;18570.0;5287.0;9304.0;23857.0;27874.0
212;F Construction;2011;88.8;18610.0;5751.0;8821.0;24361.0;27431.0
213;F Construction;2012;95.6;18462.0;5277.0;6380.0;23739.0;24842.0
214;F Construction;2013;96.1;17040.0;5223.0;6127.0;22263.0;23167.0
215;F Construction;2014;94.7;16446.0;5670.0;6919.0;22116.0;23365.0
216;F Construction;2015;91.7;16055.0;5794.0;7764.0;21849.0;23819.0
217;F Construction;2016;88.4;16323.0;6277.0;9253.0;22600.0;25576.0
218;F Construction;2017;87.1;16963.0;6838.0;10350.0;23801.0;27313.0
219;F Construction;2018;86.6;17924.0;7832.0;11829.0;25756.0;29753.0
220;F Construction;2019;82.8;18920.0;8448.0;14140.0;27368.0;33060.0
221;F Construction;2020;80.3;19769.0;9149.0;16251.0;28918.0;36020.0
222;F Construction;2021;80.5;20593.0;9763.0;17132.0;30356.0;37725.0
223;F Construction;2022;85.7;21812.0;10080.0;15398.0;31892.0;37210.0
224;G-I Trade, transport, hotels, catering;1995;81.9;34798.0;6133.0;15174.0;40931.0;49972.0
225;G-I Trade, transport, hotels, catering;1996;82.1;36071.0;6400.0;15681.0;42471.0;51752.0
226;G-I Trade, transport, hotels, catering;1997;77.2;37690.0;7047.0;20265.0;44737.0;57955.0
227;G-I Trade, transport, hotels, catering;1998;74.8;40166.0;8022.0;24295.0;48188.0;64461.0
228;G-I Trade, transport, hotels, catering;1999;76.3;43452.0;8613.0;24743.0;52065.0;68195.0
229;G-I Trade, transport, hotels, catering;2000;75.7;46706.0;9289.0;27306.0;55995.0;74012.0
230;G-I Trade, transport, hotels, catering;2001;74.7;48746.0;9933.0;29852.0;58679.0;78598.0
231;G-I Trade, transport, hotels, catering;2002;74.0;50503.0;10219.0;31580.0;60722.0;82083.0
232;G-I Trade, transport, hotels, catering;2003;76.5;51993.0;9651.0;28557.0;61644.0;80550.0
233;G-I Trade, transport, hotels, catering;2004;74.5;52584.0;9512.0;30757.0;62096.0;83341.0
234;G-I Trade, transport, hotels, catering;2005;72.6;52716.0;9495.0;32990.0;62211.0;85706.0
235;G-I Trade, transport, hotels, catering;2006;71.3;53935.0;9850.0;35501.0;63785.0;89436.0
236;G-I Trade, transport, hotels, catering;2007;70.4;56949.0;10325.0;38606.0;67274.0;95555.0
237;G-I Trade, transport, hotels, catering;2008;71.5;59942.0;9932.0;37764.0;69874.0;97706.0
238;G-I Trade, transport, hotels, catering;2009;75.9;60284.0;9213.0;31307.0;69497.0;91591.0
239;G-I Trade, transport, hotels, catering;2010;74.7;60576.0;9412.0;33168.0;69988.0;93744.0
240;G-I Trade, transport, hotels, catering;2011;75.1;62700.0;9761.0;33802.0;72461.0;96502.0
241;G-I Trade, transport, hotels, catering;2012;75.0;63955.0;9478.0;33990.0;73433.0;97945.0
242;G-I Trade, transport, hotels, catering;2013;72.2;64064.0;9238.0;37494.0;73302.0;101558.0
243;G-I Trade, transport, hotels, catering;2014;71.0;64463.0;9820.0;40130.0;74283.0;104593.0
244;G-I Trade, transport, hotels, catering;2015;69.2;65801.0;10944.0;45106.0;76745.0;110907.0
245;G-I Trade, transport, hotels, catering;2016;68.9;68004.0;11441.0;47286.0;79445.0;115290.0
246;G-I Trade, transport, hotels, catering;2017;67.8;70447.0;11624.0;50640.0;82071.0;121087.0
247;G-I Trade, transport, hotels, catering;2018;68.2;74302.0;12058.0;52333.0;86360.0;126635.0
248;G-I Trade, transport, hotels, catering;2019;67.3;78087.0;12538.0;56586.0;90625.0;134673.0
249;G-I Trade, transport, hotels, catering;2020;68.9;78879.0;12194.0;53278.0;91073.0;132157.0
250;G-I Trade, transport, hotels, catering;2021;63.3;81657.0;15194.0;71319.0;96851.0;152976.0
251;G-I Trade, transport, hotels, catering;2022;66.0;88647.0;17199.0;71634.0;105846.0;160281.0
252;G Wholesale and retail trade;1995;78.4;21698.0;4213.0;11348.0;25911.0;33046.0
253;G Wholesale and retail trade;1996;77.6;22494.0;4350.0;12087.0;26844.0;34581.0
254;G Wholesale and retail trade;1997;73.0;23458.0;4650.0;15047.0;28108.0;38505.0
255;G Wholesale and retail trade;1998;70.5;24935.0;5242.0;17862.0;30177.0;42797.0
256;G Wholesale and retail trade;1999;71.5;27094.0;5623.0;18681.0;32717.0;45775.0
257;G Wholesale and retail trade;2000;70.3;29181.0;6172.0;21133.0;35353.0;50314.0
258;G Wholesale and retail trade;2001;69.0;30492.0;6588.0;23219.0;37080.0;53711.0
259;G Wholesale and retail trade;2002;68.1;31664.0;6764.0;24804.0;38428.0;56468.0
260;G Wholesale and retail trade;2003;71.4;32808.0;6352.0;22045.0;39160.0;54853.0
261;G Wholesale and retail trade;2004;69.6;33206.0;6224.0;23443.0;39430.0;56649.0
262;G Wholesale and retail trade;2005;68.3;33356.0;6175.0;24548.0;39531.0;57904.0
263;G Wholesale and retail trade;2006;67.8;34376.0;6435.0;25773.0;40811.0;60149.0
264;G Wholesale and retail trade;2007;66.9;36333.0;6672.0;27962.0;43005.0;64295.0
265;G Wholesale and retail trade;2008;67.7;38445.0;6428.0;27833.0;44873.0;66278.0
266;G Wholesale and retail trade;2009;71.0;38723.0;5862.0;24083.0;44585.0;62806.0
267;G Wholesale and retail trade;2010;70.2;38985.0;6214.0;25435.0;45199.0;64420.0
268;G Wholesale and retail trade;2011;69.9;40357.0;6276.0;26371.0;46633.0;66728.0
269;G Wholesale and retail trade;2012;70.0;41387.0;6014.0;26369.0;47401.0;67756.0
270;G Wholesale and retail trade;2013;66.5;41251.0;5735.0;29428.0;46986.0;70679.0
271;G Wholesale and retail trade;2014;66.3;41536.0;6003.0;30116.0;47539.0;71652.0
272;G Wholesale and retail trade;2015;65.0;42307.0;6563.0;32840.0;48870.0;75147.0
273;G Wholesale and retail trade;2016;64.4;43488.0;6900.0;34770.0;50388.0;78258.0
274;G Wholesale and retail trade;2017;63.5;45122.0;6990.0;36997.0;52112.0;82119.0
275;G Wholesale and retail trade;2018;63.1;47290.0;7127.0;38991.0;54417.0;86281.0
276;G Wholesale and retail trade;2019;61.9;49505.0;7642.0;42882.0;57147.0;92387.0
277;G Wholesale and retail trade;2020;62.0;50832.0;8263.0;44478.0;59095.0;95310.0
278;G Wholesale and retail trade;2021;57.0;53067.0;9414.0;56488.0;62481.0;109555.0
279;G Wholesale and retail trade;2022;60.7;56957.0;8716.0;51166.0;65673.0;108123.0
280;H Transportation and storage;1995;87.3;10079.0;736.0;2309.0;10815.0;12388.0
281;H Transportation and storage;1996;90.5;10445.0;790.0;1969.0;11235.0;12414.0
282;H Transportation and storage;1997;83.8;10885.0;942.0;3220.0;11827.0;14105.0
283;H Transportation and storage;1998;81.4;11683.0;1090.0;4007.0;12773.0;15690.0
284;H Transportation and storage;1999;85.9;12476.0;1118.0;3345.0;13594.0;15821.0
285;H Transportation and storage;2000;86.9;13226.0;1098.0;3263.0;14324.0;16489.0
286;H Transportation and storage;2001;86.8;13793.0;1202.0;3478.0;14995.0;17271.0
287;H Transportation and storage;2002;88.1;14323.0;1094.0;3178.0;15417.0;17501.0
288;H Transportation and storage;2003;88.0;14701.0;1104.0;3267.0;15805.0;17968.0
289;H Transportation and storage;2004;84.3;14890.0;1125.0;4111.0;16015.0;19001.0
290;H Transportation and storage;2005;79.8;14812.0;1155.0;5206.0;15967.0;20018.0
291;H Transportation and storage;2006;75.5;14866.0;1240.0;6454.0;16106.0;21320.0
292;H Transportation and storage;2007;74.9;15724.0;1311.0;7012.0;17035.0;22736.0
293;H Transportation and storage;2008;76.7;16408.0;1323.0;6711.0;17731.0;23119.0
294;H Transportation and storage;2009;85.5;16441.0;1202.0;4192.0;17643.0;20633.0
295;H Transportation and storage;2010;81.9;16319.0;1127.0;4986.0;17446.0;21305.0
296;H Transportation and storage;2011;85.3;16846.0;1264.0;4380.0;18110.0;21226.0
297;H Transportation and storage;2012;84.6;16941.0;1238.0;4554.0;18179.0;21495.0
298;H Transportation and storage;2013;83.8;17068.0;1282.0;4831.0;18350.0;21899.0
299;H Transportation and storage;2014;78.7;16895.0;1378.0;6313.0;18273.0;23208.0
300;H Transportation and storage;2015;75.0;17190.0;1594.0;7869.0;18784.0;25059.0
301;H Transportation and storage;2016;76.6;17801.0;1620.0;7546.0;19421.0;25347.0
302;H Transportation and storage;2017;75.0;18194.0;1672.0;8288.0;19866.0;26482.0
303;H Transportation and storage;2018;78.4;19304.0;1749.0;7549.0;21053.0;26853.0
304;H Transportation and storage;2019;77.7;20347.0;1686.0;7994.0;22033.0;28341.0
305;H Transportation and storage;2020;81.2;20335.0;1416.0;6436.0;21751.0;26771.0
306;H Transportation and storage;2021;74.8;20999.0;1887.0;9603.0;22886.0;30602.0
307;H Transportation and storage;2022;69.8;22576.0;2354.0;13126.0;24930.0;35702.0
308;I Accommodation and food serving;1995;92.7;3021.0;1184.0;1517.0;4205.0;4538.0
309;I Accommodation and food serving;1996;92.3;3132.0;1260.0;1625.0;4392.0;4757.0
310;I Accommodation and food serving;1997;89.8;3347.0;1455.0;1998.0;4802.0;5345.0
311;I Accommodation and food serving;1998;87.7;3548.0;1690.0;2426.0;5238.0;5974.0
312;I Accommodation and food serving;1999;87.2;3882.0;1872.0;2717.0;5754.0;6599.0
