ID;Geslacht;Leeftijd;Perioden;TotaalPrivebezittingen_1;EigenWoning_2;TotaalFinancieel_3;BankEnSpaartegoeden_4;Effecten_5;Hypotheekschuld_6;Privevermogen_7;Ondernemingsvermogen_8;NagelatenVermogen_9;TotaalOverigeBezittingen_10;OverigeOnroerendeZaken_11;RoerendeZaken_12;ContantGeld_13;VorderingenRestituties_14;AandeelInOverdeeldeBoedelS_15;OverigeBezittingenNEG_16;TotaalOverigeSchulden_17;RentedragendeSchulden_18;Belastingschulden_19;HuishoudelijkeSchulden_20;OverigeRentelozeSchulden_21;VermogenNalatenschap_22;VermogenOnbekend_23;BegrafenisOfCrematiekosten_24;UitkeringenUitvaartverzekering_25;ZuiverSaldoNalatenschap_26;TotaalPriveBezittingen_27;EigenWoning_28;TotaalFinancieel_29;BankEnSpaartegoeden_30;Effecten_31;Hypotheekschuld_32;Privevermogen_33;Ondernemingsvermogen_34;NagelatenVermogen_35;TotaalOverigeBezittingen_36;OverigeOnroerendeZaken_37;RoerendeZaken_38;ContantGeld_39;VorderingenRestituties_40;AandeelInOverdeeldeBoedelS_41;OverigeBezittingenNEG_42;TotaalOverigeSchulden_43;RentedragendeSchulden_44;Belasingschulden_45;HuishoudelijkeSchulden_46;OverigeRentelozeSchulden_47;VermogenNalatenschap_48;VermogenOnbekend_49;BegrafenisOfCrematiekosten_50;UitkeringenUitvaartverzekering_51;ZuiverSaldoNalatenschap_52;TotaalPriveBezittingen_53;EigenWoning_54;TotaalFinancieel_55;BankEnSpaartegoeden_56;Effecten_57;Hypotheekschuld_58;Privevermogen_59;Ondernemingsvermogen_60;NagelatenVermogen_61;TotaalOverigeBezittingen_62;OverigeOnroerendeZaken_63;RoerendeZaken_64;ContantGeld_65;VorderingenRestituties_66;AandeelInOverdeeldeBoedelS_67;OverigeBezittingenNEG_68;TotaalOverigeSchulden_69;RentedragendeSchulden_70;Belastingschulden_71;HuishoudelijkeSchulden_72;OverigeRentelozeSchulden_73;VermogenNalatenschap_74;VermogenOnbekend_75;BegrafenisOfCrematiekosten_76;UitkeringenUitvaartverzekering_77;ZuiverSaldoNalatenschap_78;TotaalPrivebezittingen_79;EigenWoning_80;TotaalFinancieel_81;BankEnSpaartegoeden_82;Effecten_83;Hypotheekschuld_84;Privevermogen_85;Ondernemingsvermogen_86;NagelatenVermogen_87;TotaalOverigeBezittingen_88;OverigeOnroerendeZaken_89;RoerendeZaken_90;ContantGeld_91;VorderingenRestituties_92;AandeelInOverdeeldeBoedelS_93;OverigeBezittingenNEG_94;TotaalOverigeSchulden_95;RentedragendeSchulden_96;Belastingschulden_97;HuishoudelijkeSchulden_98;OverigeRentelozeSchulden_99;VermogenNalatenschap_100;VermogenOnbekend_101;BegrafenisOfCrematiekosten_102;UitkeringenUitvaartverzekering_103;ZuiverSaldoNalatenschap_104
10;Mannen en vrouwen;jonger dan 35 jaar;2009;270;140;260;260;20;130;270;30;270;210;10;140;50.0;100;0.0;30;160;40.0;70.0;50.0;40.0;290;40;250;100.0;310;24;19.0;5;5;;16.0;8;;9;6;;1.0;0.0;2.0;;;2.0;;0.0;1.0;;12;;2;1.0;11;89;138.0;20;19;;120.0;31;;32;28;;5.0;1.0;17.0;;;13.0;;3.0;10.0;;43;;9;5.0;36;79;129.0;11;11;;111.0;19;;22;5;;3.0;0.0;2.0;;;2.0;;0.0;1.0;;27;;8;4.0;20
11;Mannen en vrouwen;jonger dan 35 jaar;2010;210;100;210;200;30;100;220;10;220;140;0;90;;80;;20;110;;;;;220;30;180;;230;22;16.0;6;5;;12.0;9;;10;5;;0.0;;3.0;;;1.0;;;;;14;;1;;12;102;154.0;28;25;;126.0;44;;45;36;;4.0;;31.0;;;10.0;;;;;61;;8;;53;91;125.0;15;14;;110.0;31;;31;4;;2.0;;3.0;;;2.0;;;;;38;;7;;29
12;Mannen en vrouwen;35 tot 50 jaar;2005;2160;1640;2050;2040;490;1560;2170;290;2170;2020;180;1590;710.0;800;80.0;350;1320;510.0;560.0;410.0;310.0;2320;840;2060;750.0;2590;320;257.0;63;45;18.0;135.0;184;43.0;228;97;28.0;12.0;0.0;21.0;4.0;32.0;34.0;15.0;4.0;2.0;13.0;292;20.0;14;3.0;301;148;157.0;31;22;37.0;87.0;85;153.0;105;48;156.0;7.0;1.0;27.0;52.0;92.0;26.0;29.0;7.0;5.0;41.0;126;24.0;7;4.0;116;121;130.0;10;8;12.0;65.0;60;25.0;63;8;65.0;4.0;0.0;2.0;22.0;25.0;3.0;6.0;1.0;1.0;7.0;74;0.0;6;3.0;67
13;Mannen en vrouwen;35 tot 50 jaar;2006;2150;1630;2040;2030;460;1510;2150;290;2160;1890;200;1490;620.0;720;60.0;260;1210;340.0;600.0;420.0;290.0;2220;780;1980;740.0;2460;322;261.0;61;45;17.0;133.0;189;68.0;257;74;21.0;11.0;1.0;14.0;3.0;24.0;32.0;12.0;7.0;3.0;9.0;300;13.0;14;3.0;302;150;160.0;30;22;36.0;88.0;88;234.0;119;39;109.0;8.0;1.0;20.0;44.0;89.0;26.0;36.0;11.0;8.0;33.0;135;17.0;7;4.0;123;129;138.0;11;8;12.0;68.0;63;40.0;67;8;53.0;5.0;0.0;2.0;19.0;11.0;3.0;6.0;1.0;1.0;5.0;77;0.0;7;3.0;69
14;Mannen en vrouwen;35 tot 50 jaar;2007;1940;1450;1840;1830;400;1350;1940;270;1950;1750;190;1360;560.0;680;60.0;260;1160;340.0;570.0;370.0;320.0;2040;660;1840;700.0;2210;339;255.0;85;49;36.0;142.0;198;84.0;282;88;27.0;10.0;1.0;17.0;4.0;28.0;48.0;23.0;6.0;3.0;15.0;322;12.0;14;3.0;322;175;176.0;46;27;89.0;105.0;102;316.0;145;50;147.0;8.0;1.0;26.0;75.0;106.0;41.0;70.0;11.0;7.0;47.0;158;17.0;8;4.0;146;137;149.0;12;10;13.0;79.0;66;32.0;70;8;66.0;4.0;0.0;3.0;23.0;22.0;4.0;8.0;1.0;1.0;6.0;80;0.0;7;4.0;74
15;Mannen en vrouwen;35 tot 50 jaar;2008;1950;1470;1840;1840;370;1400;1950;270;1960;1730;180;1330;570.0;670;70.0;300;1190;340.0;570.0;420.0;340.0;2070;540;1870;730.0;2170;318;255.0;63;51;13.0;151.0;167;43.0;210;79;29.0;10.0;1.0;15.0;2.0;22.0;33.0;11.0;4.0;3.0;16.0;256;5.0;15;3.0;249;164;174.0;34;28;34.0;109.0;86;157.0;107;46;157.0;8.0;1.0;23.0;38.0;73.0;28.0;32.0;6.0;6.0;48.0;124;10.0;8;4.0;115;141;150.0;12;11;11.0;81.0;63;33.0;68;8;60.0;5.0;0.0;3.0;17.0;21.0;4.0;8.0;1.0;1.0;7.0;78;0.0;7;4.0;70
16;Mannen en vrouwen;35 tot 50 jaar;2009;1910;1450;1790;1780;360;1360;1910;250;1910;1630;190;1290;510.0;660;50.0;240;1090;340.0;540.0;320.0;320.0;1990;580;1760;740.0;2090;322;253.0;69;52;17.0;156.0;166;47.0;213;70;27.0;9.0;1.0;13.0;3.0;16.0;32.0;13.0;4.0;3.0;12.0;251;6.0;14;3.0;246;169;174.0;38;29;47.0;115.0;87;186.0;111;43;143.0;7.0;2.0;19.0;61.0;66.0;29.0;37.0;7.0;10.0;39.0;126;11.0;8;5.0;118;140;150.0;12;11;9.0;90.0;57;27.0;62;8;73.0;4.0;0.0;3.0;25.0;17.0;4.0;6.0;1.0;1.0;6.0;71;0.0;7;4.0;65
17;Mannen en vrouwen;35 tot 50 jaar;2010;1590;1190;1490;1460;380;1080;1590;270;1600;1210;110;910;;580;;190;740;;;;;1640;440;1410;;1690;299;227.0;71;52;19.0;126.0;172;55.0;227;43;14.0;6.0;;12.0;;10.0;25.0;;;;;245;3.0;10;;238;188;190.0;48;36;51.0;117.0;108;203.0;142;35;129.0;6.0;;21.0;;55.0;34.0;;;;;150;6.0;7;;141;153;161.0;16;14;12.0;85.0;77;27.0;84;6;76.0;3.0;;3.0;;23.0;4.0;;;;;91;0.0;6;;83
18;Mannen en vrouwen;50 tot 65 jaar;2005;7970;6260;7670;7630;2180;5200;7980;950;8010;7450;1110;5920;2770.0;2870;210.0;1100;4760;1690.0;2480.0;1480.0;1060.0;8410;3300;7610;2710.0;9140;1462;1033.0;428;257;172.0;337.0;1124;331.0;1455;397;174.0;48.0;3.0;55.0;12.0;104.0;145.0;63.0;32.0;8.0;41.0;1708;87.0;49;8.0;1754;183;165.0;56;34;79.0;65.0;141;348.0;182;53;157.0;8.0;1.0;19.0;59.0;95.0;30.0;37.0;13.0;6.0;39.0;203;26.0;6;3.0;192;136;135.0;17;14;16.0;44.0;96;68.0;100;8;72.0;4.0;0.0;2.0;17.0;21.0;3.0;7.0;1.0;1.0;6.0;110;0.0;6;3.0;104
19;Mannen en vrouwen;50 tot 65 jaar;2006;8660;6730;8350;8310;2130;5600;8660;1030;8700;7850;1140;6420;2950.0;3080;210.0;930;5000;1500.0;2630.0;1710.0;1150.0;8940;3270;8100;3090.0;9570;1549;1138.0;412;272;139.0;382.0;1168;287.0;1455;374;168.0;51.0;4.0;62.0;19.0;71.0;169.0;89.0;28.0;10.0;43.0;1659;63.0;55;10.0;1678;179;169.0;49;33;66.0;68.0;135;278.0;167;48;147.0;8.0;1.0;20.0;90.0;77.0;34.0;59.0;11.0;6.0;37.0;186;19.0;7;3.0;175;139;139.0;17;14;17.0;46.0;97;65.0;101;7;69.0;4.0;0.0;2.0;20.0;12.0;3.0;8.0;1.0;1.0;5.0;112;0.0;6;3.0;104
20;Mannen en vrouwen;50 tot 65 jaar;2007;8530;6580;8250;8210;2130;5450;8550;1060;8590;7890;1120;6230;2830.0;3130;190.0;1110;5230;1460.0;2790.0;1630.0;1380.0;8960;3090;8250;3230.0;9330;1686;1179.0;506;315;191.0;425.0;1260;353.0;1613;439;197.0;51.0;4.0;64.0;11.0;111.0;217.0;80.0;39.0;14.0;84.0;1836;26.0;59;11.0;1814;198;179.0;61;38;90.0;78.0;147;332.0;188;56;176.0;8.0;2.0;20.0;60.0;101.0;41.0;54.0;14.0;9.0;61.0;205;8.0;7;4.0;194;147;148.0;20;16;19.0;51.0;101;63.0;105;8;67.0;5.0;0.0;2.0;20.0;22.0;3.0;10.0;1.0;1.0;7.0;115;0.0;6;3.0;107
21;Mannen en vrouwen;50 tot 65 jaar;2008;8570;6720;8270;8230;1980;5600;8590;1070;8600;7930;1170;6180;2750.0;3090;260.0;1120;5230;1550.0;2660.0;1680.0;1460.0;9020;2880;8280;3400.0;9240;1711;1220.0;490;326;164.0;461.0;1249;323.0;1573;446;201.0;48.0;3.0;66.0;23.0;105.0;200.0;71.0;34.0;19.0;76.0;1819;14.0;61;12.0;1784;200;182.0;59;40;83.0;82.0;145;302.0;183;56;172.0;8.0;1.0;21.0;87.0;94.0;38.0;46.0;13.0;11.0;52.0;202;5.0;7;4.0;193;151;150.0;19;16;15.0;52.0;103;50.0;108;8;70.0;4.0;0.0;3.0;18.0;20.0;3.0;8.0;1.0;1.0;8.0;116;0.0;7;3.0;110
22;Mannen en vrouwen;50 tot 65 jaar;2009;8650;6730;8380;8340;1850;5720;8670;960;8690;7870;1070;6160;2720.0;3110;230.0;1060;5200;1560.0;2610.0;1580.0;1420.0;9090;2900;8380;3600.0;9360;1640;1189.0;451;331;120.0;459.0;1180;200.0;1380;369;158.0;45.0;3.0;60.0;17.0;87.0;175.0;76.0;22.0;12.0;65.0;1574;16.0;63;14.0;1542;189;177.0;54;40;65.0;80.0;136;209.0;159;47;148.0;7.0;1.0;19.0;73.0;82.0;34.0;49.0;9.0;7.0;46.0;173;6.0;7;4.0;165;149;149.0;19;17;13.0;58.0;97;49.0;101;7;65.0;4.0;0.0;2.0;19.0;24.0;3.0;9.0;1.0;1.0;6.0;110;0.0;7;3.0;102
23;Mannen en vrouwen;50 tot 65 jaar;2010;7840;6220;7520;7470;1980;4850;7850;1050;7880;6190;770;4880;;2880;;770;3740;;;;;7970;2690;7150;;8140;1764;1246.0;517;354;163.0;431.0;1332;442.0;1774;312;128.0;43.0;;86.0;;56.0;341.0;;;;;1745;-22.0;48;;1675;225;200.0;69;47;82.0;89.0;170;421.0;225;50;165.0;9.0;;30.0;;72.0;91.0;;;;;219;-8.0;7;;206;175;169.0;25;20;16.0;59.0;123;59.0;130;6;72.0;4.0;;2.0;;17.0;4.0;;;;;138;0.0;6;;130
24;Mannen en vrouwen;65 tot 85 jaar;2005;27740;15180;27330;27250;6820;7230;27760;1010;27790;24530;2850;17240;10190.0;11410;410.0;2840;16960;5120.0;8690.0;6260.0;4190.0;29250;8900;26770;9290.0;31790;5211;2755.0;2456;1511;945.0;309.0;4902;343.0;5245;1033;365.0;94.0;11.0;233.0;21.0;309.0;537.0;271.0;58.0;31.0;176.0;5742;357.0;158;18.0;5959;188;182.0;90;55;138.0;43.0;177;341.0;189;42;128.0;5.0;1.0;20.0;51.0;109.0;32.0;53.0;7.0;5.0;42.0;196;40.0;6;2.0;187;123;148.0;34;28;36.0;27.0;110;98.0;111;4;53.0;3.0;0.0;1.0;15.0;21.0;2.0;10.0;1.0;1.0;5.0;115;0.0;5;2.0;108
25;Mannen en vrouwen;65 tot 85 jaar;2006;29500;16300;29120;29020;7140;8080;29510;970;29530;25190;2960;18580;10770.0;11750;370.0;2040;17370;4550.0;9100.0;6860.0;4420.0;30250;8640;27980;10020.0;32160;5613;3059.0;2554;1598;956.0;386.0;5227;458.0;5685;969;408.0;108.0;13.0;246.0;25.0;169.0;636.0;302.0;70.0;43.0;221.0;6017;212.0;175;24.0;6078;190;188.0;88;55;134.0;48.0;177;474.0;193;38;138.0;6.0;1.0;21.0;67.0;83.0;37.0;66.0;8.0;6.0;50.0;199;24.0;6;2.0;189;128;151.0;34;28;37.0;29.0;113;113.0;114;4;56.0;3.0;0.0;1.0;16.0;7.0;2.0;13.0;1.0;1.0;6.0;118;0.0;6;2.0;110
26;Mannen en vrouwen;65 tot 85 jaar;2007;28650;16550;28260;28190;6810;8210;28680;1050;28700;25020;2960;18210;10340.0;11760;300.0;2520;17710;4480.0;9240.0;6950.0;4830.0;29880;7650;27950;10590.0;30720;5878;3205.0;2673;1680;992.0;419.0;5459;429.0;5888;1204;425.0;111.0;22.0;272.0;9.0;364.0;660.0;305.0;65.0;59.0;230.0;6432;67.0;185;26.0;6341;205;194.0;95;60;146.0;51.0;190;408.0;205;48;144.0;6.0;2.0;23.0;32.0;145.0;37.0;68.0;7.0;8.0;48.0;215;9.0;7;2.0;206;139;158.0;35;29;40.0;32.0;122;110.0;124;5;63.0;3.0;0.0;2.0;9.0;20.0;2.0;17.0;1.0;1.0;8.0;127;0.0;6;2.0;120
27;Mannen en vrouwen;65 tot 85 jaar;2008;29130;17200;28730;28660;6540;8710;29150;1080;29180;25370;3020;18370;10010.0;11760;380.0;2510;18110;5230.0;9400.0;6560.0;5140.0;30310;7530;28410;10860.0;30870;6047;3366.0;2681;1824;857.0;472.0;5575;683.0;6259;1189;436.0;108.0;13.0;264.0;104.0;263.0;732.0;359.0;62.0;57.0;253.0;6716;38.0;195;28.0;6587;208;196.0;93;64;131.0;54.0;191;630.0;215;47;145.0;6.0;1.0;22.0;275.0;105.0;40.0;69.0;7.0;9.0;49.0;222;5.0;7;3.0;213;144;160.0;37;31;35.0;34.0;125;136.0;127;4;60.0;3.0;0.0;2.0;16.0;19.0;2.0;20.0;0.0;1.0;6.0;129;0.0;6;3.0;122
28;Mannen en vrouwen;65 tot 85 jaar;2009;28540;17700;28130;28080;6400;9070;28560;1070;28590;25160;3130;18090;9590.0;11310;350.0;2820;18040;5270.0;9180.0;6290.0;5180.0;30030;7720;28310;11310.0;30690;5857;3374.0;2482;1779;703.0;494.0;5363;369.0;5732;1144;426.0;101.0;15.0;269.0;25.0;308.0;783.0;417.0;60.0;51.0;255.0;6093;61.0;201;31.0;5985;205;191.0;88;63;110.0;54.0;188;345.0;200;45;136.0;6.0;2.0;24.0;72.0;109.0;43.0;79.0;6.0;8.0;49.0;203;8.0;7;3.0;195;148;158.0;37;31;30.0;36.0;129;98.0;131;5;60.0;3.0;0.0;2.0;14.0;33.0;2.0;20.0;1.0;1.0;8.0;131;0.0;7;3.0;124
29;Mannen en vrouwen;65 tot 85 jaar;2010;26590;17830;26130;25970;6620;8690;26610;1070;26630;19100;2320;13930;;10060;;1310;12120;;;;;26940;10400;24870;;27430;6454;3809.0;2645;1783;863.0;538.0;5916;528.0;6445;831;325.0;92.0;;297.0;;117.0;389.0;;;;;6887;-415.0;164;;6308;243;214.0;101;69;130.0;62.0;222;492.0;242;43;140.0;7.0;;30.0;;89.0;32.0;;;;;256;-40.0;7;;230;176;175.0;41;33;34.0;39.0;155;99.0;157;5;54.0;3.0;;2.0;;10.0;2.0;;;;;163;0.0;6;;147
30;Mannen en vrouwen;85 jaar of ouder;2005;13790;3500;13690;13660;3210;810;13800;160;13800;11170;920;5630;4620.0;6970;170.0;1230;9320;2670.0;4260.0;3980.0;2450.0;14550;2630;13340;4260.0;16180;2486;772.0;1714;1009;705.0;35.0;2451;98.0;2549;441;149.0;31.0;9.0;111.0;4.0;137.0;324.0;172.0;22.0;29.0;101.0;2665;177.0;73;7.0;2776;180;221.0;125;74;220.0;43.0;178;618.0;185;39;162.0;5.0;2.0;16.0;25.0;111.0;35.0;64.0;5.0;7.0;41.0;183;67.0;5;2.0;172;75;180.0;46;36;68.0;23.0;74;117.0;75;2;70.0;1.0;0.0;1.0;11.0;29.0;2.0;7.0;1.0;1.0;4.0;74;14.0;5;1.0;67
