ID;Sex;Age;CountryOfBirth;DutchCaribbean;Periods;PopulationOnJanuary1st_1
5423;Total male and female;5 to 9 years;North America;Saba;2016;4
5424;Total male and female;5 to 9 years;North America;Saba;2017;6
5425;Total male and female;5 to 9 years;North America;Saba;2018;8
5426;Total male and female;5 to 9 years;North America;Saba;2019;4
5427;Total male and female;5 to 9 years;North America;Saba;2020;8
5428;Total male and female;5 to 9 years;North America;Saba;2021;8
5429;Total male and female;5 to 9 years;North America;Saba;2022;6
5430;Total male and female;5 to 9 years;North America;Saba;2023;6
5431;Total male and female;5 to 9 years;North America;Saba;2024;2
5432;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2011;431
5433;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2012;411
5434;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2013;379
5435;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2014;398
5436;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2015;414
5437;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2016;385
5438;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2017;358
5439;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2018;353
5440;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2019;314
5441;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2020;295
5442;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2021;291
5443;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2022;300
5444;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2023;299
5445;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Caribbean Netherlands;2024;331
5446;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2011;306
5447;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2012;283
5448;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2013;247
5449;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2014;255
5450;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2015;263
5451;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2016;235
5452;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2017;216
5453;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2018;202
5454;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2019;172
5455;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2020;149
5456;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2021;141
5457;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2022;145
5458;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2023;147
5459;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Bonaire;2024;172
5460;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2011;64
5461;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2012;68
5462;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2013;77
5463;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2014;84
5464;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2015;88
5465;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2016;92
5466;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2017;94
5467;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2018;94
5468;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2019;87
5469;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2020;91
5470;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2021;89
5471;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2022;92
5472;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2023;90
5473;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;St Eustatius;2024;98
5474;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2011;61
5475;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2012;60
5476;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2013;55
5477;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2014;59
5478;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2015;63
5479;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2016;58
5480;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2017;48
5481;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2018;57
5482;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2019;55
5483;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2020;55
5484;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2021;61
5485;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2022;63
5486;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2023;62
5487;Total male and female;5 to 9 years;Aruba, Curaçao, St Maarten...;Saba;2024;61
5488;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2011;13
5489;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2012;17
5490;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2013;19
5491;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2014;25
5492;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2015;27
5493;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2016;27
5494;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2017;26
5495;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2018;32
5496;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2019;29
5497;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2020;26
5498;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2021;23
5499;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2022;26
5500;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2023;29
5501;Total male and female;5 to 9 years;Aruba;Caribbean Netherlands;2024;32
5502;Total male and female;5 to 9 years;Aruba;Bonaire;2011;12
5503;Total male and female;5 to 9 years;Aruba;Bonaire;2012;16
5504;Total male and female;5 to 9 years;Aruba;Bonaire;2013;18
5505;Total male and female;5 to 9 years;Aruba;Bonaire;2014;24
5506;Total male and female;5 to 9 years;Aruba;Bonaire;2015;24
5507;Total male and female;5 to 9 years;Aruba;Bonaire;2016;23
5508;Total male and female;5 to 9 years;Aruba;Bonaire;2017;22
5509;Total male and female;5 to 9 years;Aruba;Bonaire;2018;26
5510;Total male and female;5 to 9 years;Aruba;Bonaire;2019;25
5511;Total male and female;5 to 9 years;Aruba;Bonaire;2020;21
5512;Total male and female;5 to 9 years;Aruba;Bonaire;2021;17
5513;Total male and female;5 to 9 years;Aruba;Bonaire;2022;18
5514;Total male and female;5 to 9 years;Aruba;Bonaire;2023;22
5515;Total male and female;5 to 9 years;Aruba;Bonaire;2024;24
5516;Total male and female;5 to 9 years;Aruba;St Eustatius;2011;1
5517;Total male and female;5 to 9 years;Aruba;St Eustatius;2012;1
5518;Total male and female;5 to 9 years;Aruba;St Eustatius;2013;1
5519;Total male and female;5 to 9 years;Aruba;St Eustatius;2014;1
5520;Total male and female;5 to 9 years;Aruba;St Eustatius;2015;3
5521;Total male and female;5 to 9 years;Aruba;St Eustatius;2016;4
5522;Total male and female;5 to 9 years;Aruba;St Eustatius;2017;4
5523;Total male and female;5 to 9 years;Aruba;St Eustatius;2018;6
5524;Total male and female;5 to 9 years;Aruba;St Eustatius;2019;4
5525;Total male and female;5 to 9 years;Aruba;St Eustatius;2020;3
5526;Total male and female;5 to 9 years;Aruba;St Eustatius;2021;4
5527;Total male and female;5 to 9 years;Aruba;St Eustatius;2022;6
5528;Total male and female;5 to 9 years;Aruba;St Eustatius;2023;5
5529;Total male and female;5 to 9 years;Aruba;St Eustatius;2024;5
5530;Total male and female;5 to 9 years;Aruba;Saba;2011;0
5531;Total male and female;5 to 9 years;Aruba;Saba;2012;0
5532;Total male and female;5 to 9 years;Aruba;Saba;2013;0
5533;Total male and female;5 to 9 years;Aruba;Saba;2014;0
5534;Total male and female;5 to 9 years;Aruba;Saba;2015;0
5535;Total male and female;5 to 9 years;Aruba;Saba;2016;0
5536;Total male and female;5 to 9 years;Aruba;Saba;2017;0
5537;Total male and female;5 to 9 years;Aruba;Saba;2018;0
5538;Total male and female;5 to 9 years;Aruba;Saba;2019;0
5539;Total male and female;5 to 9 years;Aruba;Saba;2020;2
5540;Total male and female;5 to 9 years;Aruba;Saba;2021;2
5541;Total male and female;5 to 9 years;Aruba;Saba;2022;2
5542;Total male and female;5 to 9 years;Aruba;Saba;2023;2
5543;Total male and female;5 to 9 years;Aruba;Saba;2024;3
5544;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2011;297
5545;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2012;275
5546;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2013;237
5547;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2014;240
5548;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2015;245
5549;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2016;218
5550;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2017;197
5551;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2018;177
5552;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2019;152
5553;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2020;128
5554;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2021;124
5555;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2022;126
5556;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2023;129
5557;Total male and female;5 to 9 years;Curaçao;Caribbean Netherlands;2024;151
5558;Total male and female;5 to 9 years;Curaçao;Bonaire;2011;292
5559;Total male and female;5 to 9 years;Curaçao;Bonaire;2012;266
5560;Total male and female;5 to 9 years;Curaçao;Bonaire;2013;226
5561;Total male and female;5 to 9 years;Curaçao;Bonaire;2014;228
5562;Total male and female;5 to 9 years;Curaçao;Bonaire;2015;232
5563;Total male and female;5 to 9 years;Curaçao;Bonaire;2016;207
5564;Total male and female;5 to 9 years;Curaçao;Bonaire;2017;188
5565;Total male and female;5 to 9 years;Curaçao;Bonaire;2018;169
5566;Total male and female;5 to 9 years;Curaçao;Bonaire;2019;141
5567;Total male and female;5 to 9 years;Curaçao;Bonaire;2020;119
5568;Total male and female;5 to 9 years;Curaçao;Bonaire;2021;118
5569;Total male and female;5 to 9 years;Curaçao;Bonaire;2022;122
5570;Total male and female;5 to 9 years;Curaçao;Bonaire;2023;122
5571;Total male and female;5 to 9 years;Curaçao;Bonaire;2024;146
5572;Total male and female;5 to 9 years;Curaçao;St Eustatius;2011;5
5573;Total male and female;5 to 9 years;Curaçao;St Eustatius;2012;8
5574;Total male and female;5 to 9 years;Curaçao;St Eustatius;2013;10
5575;Total male and female;5 to 9 years;Curaçao;St Eustatius;2014;11
5576;Total male and female;5 to 9 years;Curaçao;St Eustatius;2015;10
5577;Total male and female;5 to 9 years;Curaçao;St Eustatius;2016;8
5578;Total male and female;5 to 9 years;Curaçao;St Eustatius;2017;7
5579;Total male and female;5 to 9 years;Curaçao;St Eustatius;2018;6
5580;Total male and female;5 to 9 years;Curaçao;St Eustatius;2019;9
5581;Total male and female;5 to 9 years;Curaçao;St Eustatius;2020;9
5582;Total male and female;5 to 9 years;Curaçao;St Eustatius;2021;6
5583;Total male and female;5 to 9 years;Curaçao;St Eustatius;2022;4
5584;Total male and female;5 to 9 years;Curaçao;St Eustatius;2023;7
5585;Total male and female;5 to 9 years;Curaçao;St Eustatius;2024;5
5586;Total male and female;5 to 9 years;Curaçao;Saba;2011;0
5587;Total male and female;5 to 9 years;Curaçao;Saba;2012;1
5588;Total male and female;5 to 9 years;Curaçao;Saba;2013;1
5589;Total male and female;5 to 9 years;Curaçao;Saba;2014;1
5590;Total male and female;5 to 9 years;Curaçao;Saba;2015;3
5591;Total male and female;5 to 9 years;Curaçao;Saba;2016;3
5592;Total male and female;5 to 9 years;Curaçao;Saba;2017;2
5593;Total male and female;5 to 9 years;Curaçao;Saba;2018;2
5594;Total male and female;5 to 9 years;Curaçao;Saba;2019;2
5595;Total male and female;5 to 9 years;Curaçao;Saba;2020;0
5596;Total male and female;5 to 9 years;Curaçao;Saba;2021;0
5597;Total male and female;5 to 9 years;Curaçao;Saba;2022;0
5598;Total male and female;5 to 9 years;Curaçao;Saba;2023;0
5599;Total male and female;5 to 9 years;Curaçao;Saba;2024;0
5600;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2011;121
5601;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2012;119
5602;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2013;123
5603;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2014;133
5604;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2015;142
5605;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2016;140
5606;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2017;135
5607;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2018;144
5608;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2019;133
5609;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2020;141
5610;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2021;144
5611;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2022;148
5612;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2023;141
5613;Total male and female;5 to 9 years;St Maarten (Dutch part);Caribbean Netherlands;2024;148
5614;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2011;2
5615;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2012;1
5616;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2013;3
5617;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2014;3
5618;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2015;7
5619;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2016;5
5620;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2017;6
5621;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2018;7
5622;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2019;6
5623;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2020;9
5624;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2021;6
5625;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2022;5
5626;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2023;3
5627;Total male and female;5 to 9 years;St Maarten (Dutch part);Bonaire;2024;2
5628;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2011;58
5629;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2012;59
5630;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2013;66
5631;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2014;72
5632;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2015;75
5633;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2016;80
5634;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2017;83
5635;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2018;82
5636;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2019;74
5637;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2020;79
5638;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2021;79
5639;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2022;82
5640;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2023;78
5641;Total male and female;5 to 9 years;St Maarten (Dutch part);St Eustatius;2024;88
5642;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2011;61
5643;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2012;59
5644;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2013;54
5645;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2014;58
5646;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2015;60
5647;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2016;55
5648;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2017;46
5649;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2018;55
5650;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2019;53
5651;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2020;53
5652;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2021;59
5653;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2022;61
5654;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2023;60
5655;Total male and female;5 to 9 years;St Maarten (Dutch part);Saba;2024;58
5656;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2011;565
5657;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2012;584
5658;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2013;606
5659;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2014;641
5660;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2015;717
5661;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2016;744
5662;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2017;741
5663;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2018;773
5664;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2019;828
5665;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2020;833
5666;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2021;831
5667;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2022;849
5668;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2023;842
5669;Total male and female;5 to 9 years;Caribbean Netherlands;Caribbean Netherlands;2024;837
5670;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2011;430
5671;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2012;454
5672;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2013;492
5673;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2014;536
5674;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2015;610
5675;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2016;638
5676;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2017;645
5677;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2018;680
5678;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2019;723
5679;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2020;740
5680;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2021;752
5681;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2022;778
5682;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2023;772
5683;Total male and female;5 to 9 years;Caribbean Netherlands;Bonaire;2024;777
5684;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2011;114
5685;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2012;103
5686;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2013;87
5687;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2014;77
5688;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2015;81
5689;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2016;83
5690;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2017;79
5691;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2018;80
5692;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2019;96
5693;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2020;87
5694;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2021;72
5695;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2022;65
5696;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2023;58
5697;Total male and female;5 to 9 years;Caribbean Netherlands;St Eustatius;2024;44
5698;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2011;21
5699;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2012;27
5700;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2013;27
5701;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2014;28
5702;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2015;26
5703;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2016;23
5704;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2017;17
5705;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2018;13
5706;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2019;9
5707;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2020;6
5708;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2021;7
5709;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2022;6
5710;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2023;12
5711;Total male and female;5 to 9 years;Caribbean Netherlands;Saba;2024;16
5712;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2011;430
5713;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2012;454
5714;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2013;493
5715;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2014;537
5716;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2015;611
5717;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2016;638
5718;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2017;645
5719;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2018;680
5720;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2019;721
5721;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2020;739
5722;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2021;751
5723;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2022;777
5724;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2023;773
5725;Total male and female;5 to 9 years;Bonaire ;Caribbean Netherlands;2024;779
5726;Total male and female;5 to 9 years;Bonaire ;Bonaire;2011;430
5727;Total male and female;5 to 9 years;Bonaire ;Bonaire;2012;454
5728;Total male and female;5 to 9 years;Bonaire ;Bonaire;2013;492
5729;Total male and female;5 to 9 years;Bonaire ;Bonaire;2014;536
5730;Total male and female;5 to 9 years;Bonaire ;Bonaire;2015;610
5731;Total male and female;5 to 9 years;Bonaire ;Bonaire;2016;638
5732;Total male and female;5 to 9 years;Bonaire ;Bonaire;2017;645
5733;Total male and female;5 to 9 years;Bonaire ;Bonaire;2018;680
5734;Total male and female;5 to 9 years;Bonaire ;Bonaire;2019;721
5735;Total male and female;5 to 9 years;Bonaire ;Bonaire;2020;739
5736;Total male and female;5 to 9 years;Bonaire ;Bonaire;2021;751
5737;Total male and female;5 to 9 years;Bonaire ;Bonaire;2022;777
5738;Total male and female;5 to 9 years;Bonaire ;Bonaire;2023;770
5739;Total male and female;5 to 9 years;Bonaire ;Bonaire;2024;776
5740;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2011;0
5741;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2012;0
5742;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2013;0
5743;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2014;0
5744;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2015;0
5745;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2016;0
5746;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2017;0
5747;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2018;0
5748;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2019;0
5749;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2020;0
5750;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2021;0
5751;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2022;0
5752;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2023;2
5753;Total male and female;5 to 9 years;Bonaire ;St Eustatius;2024;2
5754;Total male and female;5 to 9 years;Bonaire ;Saba;2011;0
5755;Total male and female;5 to 9 years;Bonaire ;Saba;2012;0
5756;Total male and female;5 to 9 years;Bonaire ;Saba;2013;1
5757;Total male and female;5 to 9 years;Bonaire ;Saba;2014;1
5758;Total male and female;5 to 9 years;Bonaire ;Saba;2015;1
5759;Total male and female;5 to 9 years;Bonaire ;Saba;2016;0
5760;Total male and female;5 to 9 years;Bonaire ;Saba;2017;0
5761;Total male and female;5 to 9 years;Bonaire ;Saba;2018;0
5762;Total male and female;5 to 9 years;Bonaire ;Saba;2019;0
5763;Total male and female;5 to 9 years;Bonaire ;Saba;2020;0
5764;Total male and female;5 to 9 years;Bonaire ;Saba;2021;0
5765;Total male and female;5 to 9 years;Bonaire ;Saba;2022;0
5766;Total male and female;5 to 9 years;Bonaire ;Saba;2023;1
5767;Total male and female;5 to 9 years;Bonaire ;Saba;2024;1
5768;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2011;114
5769;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2012;103
5770;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2013;87
5771;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2014;77
5772;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2015;81
5773;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2016;85
5774;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2017;80
5775;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2018;80
5776;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2019;97
5777;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2020;86
5778;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2021;71
5779;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2022;64
5780;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2023;57
5781;Total male and female;5 to 9 years;St Eustatius;Caribbean Netherlands;2024;43
5782;Total male and female;5 to 9 years;St Eustatius;Bonaire;2011;0
5783;Total male and female;5 to 9 years;St Eustatius;Bonaire;2012;0
