ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
58;06 Extraction of crude petroleum and gas;2017;5349;5208;141;7075.0;6922.0;140.0;-13.7;-14.2;6.9;75.6;75.2;100.7
59;06 Extraction of crude petroleum and gas;2018;5365;5251;114;5943.0;5821.0;112.0;-16.0;-15.9;-19.9;90.3;90.2;101.6
60;06 Extraction of crude petroleum and gas;2019;4079;3977;102;5189.0;5083.0;97.0;-12.7;-12.7;-13.2;78.6;78.2;104.7
61;06 Extraction of crude petroleum and gas;2020;2072;1985;87;3942.0;3851.0;82.0;-24.0;-24.2;-15.7;52.6;51.5;105.9
62;06 Extraction of crude petroleum and gas;2021;5187;5101;86;3731.0;3645.0;77.0;-5.4;-5.3;-5.7;139.0;139.9;111.1
63;06 Extraction of crude petroleum and gas;2022;12896;12819;77;3282.0;3214.0;59.0;-12.0;-11.8;-23.3;392.9;398.9;129.6
64;08 Mining and quarrying (no oil and gas);2015;228;206;22;228.0;206.0;22.0;;;;100.0;100.0;100.0
65;08 Mining and quarrying (no oil and gas);2016;219;191;28;215.0;187.0;28.0;-5.7;-9.2;27.3;101.9;102.1;100.0
66;08 Mining and quarrying (no oil and gas);2017;251;222;29;238.0;210.0;28.0;10.5;12.0;0.0;105.6;106.0;103.6
67;08 Mining and quarrying (no oil and gas);2018;346;261;85;312.0;233.0;80.0;31.5;11.3;186.2;110.8;112.0;106.1
68;08 Mining and quarrying (no oil and gas);2019;328;263;65;288.0;228.0;60.0;-7.8;-2.3;-24.7;113.9;115.5;107.7
69;08 Mining and quarrying (no oil and gas);2020;313;250;63;278.0;220.0;58.0;-3.4;-3.4;-3.1;112.5;113.7;107.7
70;08 Mining and quarrying (no oil and gas);2021;399;333;66;366.0;306.0;59.0;31.6;39.2;1.6;108.9;108.8;111.1
71;08 Mining and quarrying (no oil and gas);2022;412;348;64;290.0;236.0;53.0;-20.8;-22.8;-10.6;142.0;147.3;120.5
72;09 Mining support activities;2015;4754;0;4754;4754.0;0.0;4754.0;;;;100.0;;100.0
73;09 Mining support activities;2016;3380;0;3380;3378.0;;3378.0;-28.9;;-28.9;100.1;;100.1
74;09 Mining support activities;2017;2235;0;2235;2223.0;;2223.0;-34.2;;-34.2;100.6;;100.6
75;09 Mining support activities;2018;2059;0;2059;1981.0;;1981.0;-10.9;;-10.9;103.9;;103.9
76;09 Mining support activities;2019;1519;0;1519;1447.0;;1447.0;-27.0;;-27.0;105.0;;105.0
77;09 Mining support activities;2020;1589;0;1589;1514.0;;1514.0;4.6;;4.6;105.0;;105.0
78;09 Mining support activities;2021;1100;0;1100;1007.0;;1007.0;-33.5;;-33.5;109.2;;109.2
79;09 Mining support activities;2022;1520;0;1520;1301.0;;1301.0;29.2;;29.2;116.9;;116.9
80;C Manufacturing;2015;180606;168057;12549;180606.0;168057.0;12549.0;;;;100.0;100.0;100.0
81;C Manufacturing;2016;179587;167619;11968;185126.0;173257.0;11869.0;2.5;3.1;-5.4;97.0;96.7;100.8
82;C Manufacturing;2017;196601;183337;13264;194985.0;181955.0;13008.0;5.3;5.0;9.6;100.8;100.8;102.0
83;C Manufacturing;2018;207977;194247;13730;201119.0;187884.0;13215.0;3.1;3.3;1.6;103.4;103.4;103.9
84;C Manufacturing;2019;199735;185892;13843;193469.0;180496.0;12953.0;-3.8;-3.9;-2.0;103.2;103.0;106.9
85;C Manufacturing;2020;185039;171610;13429;188159.0;175755.0;12392.0;-2.7;-2.6;-4.3;98.3;97.6;108.4
86;C Manufacturing;2021;215217;200893;14324;195998.0;183175.0;12820.0;4.2;4.2;3.5;109.8;109.7;111.7
87;C Manufacturing;2022;264883;247083;17800;198662.0;184288.0;14345.0;1.4;0.6;11.9;133.3;134.1;124.1
88;10-12 Manufacture of food and beverages;2015;37241;35599;1642;37241.0;35599.0;1642.0;;;;100.0;100.0;100.0
89;10-12 Manufacture of food and beverages;2016;40336;38757;1579;40120.0;38561.0;1559.0;7.7;8.3;-5.1;100.5;100.5;101.3
90;10-12 Manufacture of food and beverages;2017;42182;40438;1744;40564.0;38846.0;1717.0;1.1;0.7;10.1;104.0;104.1;101.6
91;10-12 Manufacture of food and beverages;2018;42457;40635;1822;41300.0;39536.0;1763.0;1.8;1.8;2.7;102.8;102.8;103.3
92;10-12 Manufacture of food and beverages;2019;43683;41878;1805;41791.0;40060.0;1731.0;1.2;1.3;-1.8;104.5;104.5;104.3
93;10-12 Manufacture of food and beverages;2020;43214;41590;1624;41163.0;39606.0;1556.0;-1.5;-1.1;-10.1;105.0;105.0;104.4
94;10-12 Manufacture of food and beverages;2021;46117;44370;1747;42144.0;40494.0;1650.0;2.4;2.2;6.0;109.4;109.6;105.9
95;10-12 Manufacture of food and beverages;2022;56243;54096;2147;43534.0;41689.0;1849.0;3.3;3.0;12.1;129.2;129.8;116.1
96;10 Manufacture of food products;2015;31223;29750;1473;31223.0;29750.0;1473.0;;;;100.0;100.0;100.0
97;10 Manufacture of food products;2016;34167;32748;1419;34139.0;32738.0;1401.0;9.3;10.0;-4.9;100.1;100.0;101.3
98;10 Manufacture of food products;2017;35825;34290;1535;34421.0;32908.0;1512.0;0.8;0.5;7.9;104.1;104.2;101.5
99;10 Manufacture of food products;2018;36085;34481;1604;35098.0;33547.0;1550.0;2.0;1.9;2.5;102.8;102.8;103.5
100;10 Manufacture of food products;2019;37321;35728;1593;35565.0;34046.0;1518.0;1.3;1.5;-2.1;104.9;104.9;104.9
101;10 Manufacture of food products;2020;36648;35235;1413;34979.0;33630.0;1348.0;-1.6;-1.2;-11.2;104.8;104.8;104.8
102;10 Manufacture of food products;2021;39156;37586;1570;35762.0;34284.0;1477.0;2.2;1.9;9.6;109.5;109.6;106.3
103;10 Manufacture of food products;2022;48822;46934;1888;36918.0;35308.0;1612.0;3.2;3.0;9.1;132.2;132.9;117.1
104;11 Manufacture of beverages;2015;2616;2501;115;2616.0;2501.0;115.0;;;;100.0;100.0;100.0
105;11 Manufacture of beverages;2016;2594;2484;110;2538.0;2428.0;110.0;-3.0;-2.9;-4.3;102.2;102.3;100.0
106;11 Manufacture of beverages;2017;2710;2584;126;2631.0;2506.0;125.0;3.7;3.2;13.6;103.0;103.1;100.8
107;11 Manufacture of beverages;2018;2728;2594;134;2690.0;2560.0;131.0;2.3;2.1;4.8;101.4;101.3;102.3
108;11 Manufacture of beverages;2019;2820;2697;123;2770.0;2649.0;121.0;3.0;3.5;-7.5;101.8;101.8;101.5
109;11 Manufacture of beverages;2020;2736;2599;137;2628.0;2494.0;134.0;-5.1;-5.9;10.6;104.1;104.2;102.2
110;11 Manufacture of beverages;2021;2942;2846;96;2710.0;2616.0;94.0;3.1;4.9;-29.9;108.6;108.8;102.2
111;11 Manufacture of beverages;2022;3367;3247;120;2881.0;2771.0;110.0;6.3;5.9;16.7;116.9;117.2;109.6
112;12 Manufacture of tobacco products;2015;3402;3348;54;3402.0;3348.0;54.0;;;;100.0;100.0;100.0
113;12 Manufacture of tobacco products;2016;3575;3525;50;3443.0;3395.0;48.0;1.2;1.4;-11.1;103.8;103.8;104.2
114;12 Manufacture of tobacco products;2017;3647;3564;83;3509.0;3430.0;80.0;1.9;1.0;66.0;103.9;103.9;104.2
115;12 Manufacture of tobacco products;2018;3644;3560;84;3509.0;3428.0;82.0;0.0;-0.1;2.4;103.8;103.9;102.9
116;12 Manufacture of tobacco products;2019;3542;3453;89;3456.0;3364.0;91.0;-1.5;-1.9;11.9;102.5;102.6;97.5
117;12 Manufacture of tobacco products;2020;3830;3756;74;3556.0;3482.0;73.0;2.9;3.5;-20.2;107.7;107.9;101.6
118;12 Manufacture of tobacco products;2021;4019;3938;81;3671.0;3593.0;77.0;3.2;3.2;5.4;109.5;109.6;105.5
119;12 Manufacture of tobacco products;2022;4054;3915;139;3735.0;3610.0;126.0;1.7;0.5;64.2;108.5;108.5;110.2
120;13-15 Man. of textile-, leatherproducts;2015;1806;1778;28;1806.0;1778.0;28.0;;;;100.0;100.0;100.0
121;13-15 Man. of textile-, leatherproducts;2016;1984;1963;21;1996.0;1975.0;21.0;10.5;11.1;-25.0;99.4;99.4;100.0
122;13-15 Man. of textile-, leatherproducts;2017;2021;1988;33;2032.0;1998.0;34.0;1.8;1.2;61.9;99.4;99.5;97.1
123;13-15 Man. of textile-, leatherproducts;2018;2151;2112;39;2124.0;2084.0;40.0;4.5;4.3;18.2;101.3;101.4;97.1
124;13-15 Man. of textile-, leatherproducts;2019;2240;2200;40;2170.0;2129.0;41.0;2.2;2.2;2.6;103.2;103.3;97.1
125;13-15 Man. of textile-, leatherproducts;2020;1949;1909;40;1879.0;1837.0;42.0;-13.4;-13.7;2.5;103.8;103.9;94.7
126;13-15 Man. of textile-, leatherproducts;2021;2302;2265;37;2167.0;2129.0;37.0;15.3;15.9;-12.5;106.2;106.4;100.1
127;13-15 Man. of textile-, leatherproducts;2022;2420;2381;39;2103.0;2065.0;37.0;-3.0;-3.0;0.0;115.1;115.3;105.5
128;16-18 Man. wood en paperprod., printing;2015;4436;4320;116;4436.0;4320.0;116.0;;;;100.0;100.0;100.0
129;16-18 Man. wood en paperprod., printing;2016;4620;4493;127;4674.0;4547.0;127.0;5.4;5.3;9.5;98.8;98.8;100.0
130;16-18 Man. wood en paperprod., printing;2017;5028;4898;130;5036.0;4906.0;130.0;7.7;7.9;2.4;99.8;99.8;100.0
131;16-18 Man. wood en paperprod., printing;2018;5187;5053;134;4992.0;4859.0;133.0;-0.9;-1.0;2.3;103.9;104.0;100.8
132;16-18 Man. wood en paperprod., printing;2019;5031;4894;137;4802.0;4667.0;135.0;-3.8;-4.0;1.5;104.8;104.9;101.5
133;16-18 Man. wood en paperprod., printing;2020;4802;4685;117;4644.0;4530.0;113.0;-3.3;-2.9;-16.1;103.4;103.4;103.3
134;16-18 Man. wood en paperprod., printing;2021;6146;5998;148;5368.0;5228.0;140.0;15.6;15.4;23.9;114.5;114.7;105.4
135;16-18 Man. wood en paperprod., printing;2022;7348;7120;228;5195.0;5007.0;192.0;-3.2;-4.2;36.5;141.5;142.2;119.0
136;16 Manufacture of wood products;2015;470;456;14;470.0;456.0;14.0;;;;100.0;100.0;100.0
137;16 Manufacture of wood products;2016;545;528;17;543.0;526.0;17.0;15.5;15.4;21.4;100.4;100.4;100.0
138;16 Manufacture of wood products;2017;620;605;15;612.0;596.0;16.0;12.7;13.3;-5.9;101.3;101.6;93.8
139;16 Manufacture of wood products;2018;591;574;17;565.0;547.0;18.0;-7.6;-8.1;13.3;104.5;104.8;93.8
140;16 Manufacture of wood products;2019;617;600;17;580.0;562.0;18.0;2.5;2.6;0.0;106.4;106.8;93.8
141;16 Manufacture of wood products;2020;655;640;15;621.0;605.0;16.0;7.1;7.7;-11.8;105.5;105.8;93.8
142;16 Manufacture of wood products;2021;929;909;20;776.0;755.0;20.0;24.9;24.8;26.7;119.8;120.4;98.7
143;16 Manufacture of wood products;2022;1241;1213;28;791.0;765.0;26.0;1.9;1.3;30.0;157.0;158.5;106.3
144;17 Manufacture of paper;2015;3638;3562;76;3638.0;3562.0;76.0;;;;100.0;100.0;100.0
145;17 Manufacture of paper;2016;3769;3702;67;3830.0;3763.0;67.0;5.3;5.6;-11.8;98.4;98.4;100.0
146;17 Manufacture of paper;2017;4100;4019;81;4119.0;4037.0;81.0;7.5;7.3;20.9;99.5;99.5;100.0
147;17 Manufacture of paper;2018;4323;4234;89;4160.0;4073.0;87.0;1.0;0.9;7.4;103.9;104.0;102.3
148;17 Manufacture of paper;2019;4144;4051;93;3956.0;3867.0;89.0;-4.9;-5.1;2.2;104.8;104.8;104.5
149;17 Manufacture of paper;2020;3908;3828;80;3790.0;3716.0;74.0;-4.2;-3.9;-17.2;103.1;103.0;108.6
150;17 Manufacture of paper;2021;4926;4822;104;4305.0;4210.0;94.0;13.6;13.3;27.5;114.4;114.5;110.8
151;17 Manufacture of paper;2022;5781;5608;173;4104.0;3968.0;136.0;-4.7;-5.7;45.2;140.9;141.3;126.9
152;18 Printing and reproduction;2015;328;302;26;328.0;302.0;26.0;;;;100.0;100.0;100.0
153;18 Printing and reproduction;2016;306;263;43;301.0;258.0;43.0;-8.2;-14.6;65.4;101.7;101.9;100.0
154;18 Printing and reproduction;2017;308;274;34;306.0;273.0;33.0;1.6;5.7;-23.3;100.7;100.5;103.0
155;18 Printing and reproduction;2018;273;245;28;268.0;240.0;28.0;-12.3;-12.0;-14.7;101.8;102.1;99.5
156;18 Printing and reproduction;2019;270;243;27;267.0;239.0;28.0;-0.4;-0.4;0.0;101.1;101.7;95.9
157;18 Printing and reproduction;2020;239;217;22;233.0;208.0;24.0;-13.0;-12.8;-14.8;102.8;104.1;91.8
158;18 Printing and reproduction;2021;291;267;24;286.0;259.0;26.0;23.0;24.4;9.1;101.7;103.0;91.8
159;18 Printing and reproduction;2022;326;299;27;299.0;271.0;27.0;4.5;4.5;4.2;109.1;110.3;99.1
160;19 Manufacture of coke and petroleum;2015;17584;17202;382;17584.0;17202.0;382.0;;;;100.0;100.0;100.0
161;19 Manufacture of coke and petroleum;2016;14448;14057;391;17171.0;16779.0;392.0;-2.3;-2.5;2.6;84.1;83.8;99.7
162;19 Manufacture of coke and petroleum;2017;16833;16360;473;16413.0;15933.0;463.0;-4.4;-5.0;18.2;102.6;102.7;102.1
163;19 Manufacture of coke and petroleum;2018;21174;20858;316;17626.0;17306.0;301.0;7.4;8.6;-35.1;120.1;120.5;105.1
164;19 Manufacture of coke and petroleum;2019;20770;20441;329;18009.0;17685.0;304.0;2.2;2.2;1.3;115.3;115.6;108.1
165;19 Manufacture of coke and petroleum;2020;13898;13606;292;18272.0;17982.0;267.0;1.5;1.7;-12.2;76.1;75.7;109.2
166;19 Manufacture of coke and petroleum;2021;22530;22164;366;18815.0;18450.0;321.0;3.0;2.6;20.2;119.7;120.1;113.9
167;19 Manufacture of coke and petroleum;2022;38715;38211;504;18206.0;17879.0;283.0;-3.2;-3.1;-12.0;212.6;213.7;178.2
168;20-21 Chemistry and pharmaceuticals;2015;31898;28751;3147;31898.0;28751.0;3147.0;;;;100.0;100.0;100.0
169;20-21 Chemistry and pharmaceuticals;2016;31626;28369;3257;33277.0;30062.0;3215.0;4.3;4.6;2.2;95.0;94.4;101.3
170;20-21 Chemistry and pharmaceuticals;2017;37021;33305;3716;36707.0;33080.0;3622.0;10.3;10.0;12.6;100.9;100.7;102.6
171;20-21 Chemistry and pharmaceuticals;2018;39698;35715;3983;38080.0;34297.0;3778.0;3.7;3.7;4.3;104.2;104.1;105.4
172;20-21 Chemistry and pharmaceuticals;2019;38254;33999;4255;37325.0;33414.0;3902.0;-2.0;-2.6;3.3;102.5;101.8;109.1
173;20-21 Chemistry and pharmaceuticals;2020;36276;31750;4526;37763.0;33700.0;4047.0;1.2;0.9;3.7;96.1;94.2;111.8
174;20-21 Chemistry and pharmaceuticals;2021;48667;42978;5689;42603.0;37581.0;4936.0;12.8;11.5;22.0;114.2;114.4;115.3
175;20-21 Chemistry and pharmaceuticals;2022;58851;51376;7475;41658.0;35849.0;5717.0;-2.2;-4.6;15.8;141.3;143.3;130.7
176;20 Manufacture of chemicals;2015;27716;24825;2891;27716.0;24825.0;2891.0;;;;100.0;100.0;100.0
177;20 Manufacture of chemicals;2016;27077;24325;2752;28722.0;26008.0;2714.0;3.6;4.8;-6.1;94.3;93.5;101.4
178;20 Manufacture of chemicals;2017;32794;29535;3259;32446.0;29259.0;3178.0;13.0;12.5;17.1;101.1;100.9;102.6
179;20 Manufacture of chemicals;2018;35591;32042;3549;33893.0;30522.0;3361.0;4.5;4.3;5.8;105.0;105.0;105.6
180;20 Manufacture of chemicals;2019;33485;29657;3828;32649.0;29138.0;3499.0;-3.7;-4.5;4.1;102.6;101.8;109.4
181;20 Manufacture of chemicals;2020;31000;26906;4094;32773.0;29101.0;3650.0;0.4;-0.1;4.3;94.6;92.5;112.2
182;20 Manufacture of chemicals;2021;42891;37715;5176;37225.0;32650.0;4479.0;13.6;12.2;22.7;115.2;115.5;115.6
183;20 Manufacture of chemicals;2022;52005;45127;6878;35594.0;30299.0;5202.0;-4.4;-7.2;16.2;146.1;148.9;132.2
184;21 Manufacture of pharmaceuticals;2015;4182;3926;256;4182.0;3926.0;256.0;;;;100.0;100.0;100.0
185;21 Manufacture of pharmaceuticals;2016;4549;4044;505;4555.0;4054.0;501.0;8.9;3.3;95.7;99.9;99.8;100.8
186;21 Manufacture of pharmaceuticals;2017;4227;3770;457;4304.0;3861.0;443.0;-5.5;-4.8;-11.5;98.2;97.7;103.1
187;21 Manufacture of pharmaceuticals;2018;4107;3673;434;4225.0;3810.0;416.0;-1.8;-1.3;-6.1;97.2;96.4;104.3
188;21 Manufacture of pharmaceuticals;2019;4769;4342;427;4758.0;4363.0;402.0;12.6;14.5;-3.5;100.2;99.5;106.2
189;21 Manufacture of pharmaceuticals;2020;5276;4844;432;5079.0;4694.0;395.0;6.8;7.6;-1.6;103.9;103.2;109.3
190;21 Manufacture of pharmaceuticals;2021;5776;5263;513;5502.0;5057.0;454.0;8.3;7.7;14.8;105.0;104.1;113.0
191;21 Manufacture of pharmaceuticals;2022;6846;6249;597;6263.0;5763.0;511.0;13.8;13.9;12.7;109.3;108.4;116.7
192;22-23 Man. plastics and constructionprod;2015;5287;5099;188;5287.0;5099.0;188.0;;;;100.0;100.0;100.0
193;22-23 Man. plastics and constructionprod;2016;5894;5741;153;5968.0;5816.0;152.0;12.9;14.1;-19.1;98.8;98.7;100.7
194;22-23 Man. plastics and constructionprod;2017;6343;6130;213;6368.0;6160.0;207.0;6.7;5.9;35.9;99.6;99.5;103.1
195;22-23 Man. plastics and constructionprod;2018;6561;6341;220;6493.0;6279.0;213.0;2.0;1.9;3.3;101.0;101.0;103.1
196;22-23 Man. plastics and constructionprod;2019;6625;6395;230;6537.0;6319.0;217.0;0.7;0.6;1.8;101.3;101.2;105.8
197;22-23 Man. plastics and constructionprod;2020;6465;6246;219;6416.0;6206.0;209.0;-1.9;-1.8;-3.9;100.8;100.6;104.9
198;22-23 Man. plastics and constructionprod;2021;7805;7631;174;7321.0;7161.0;162.0;14.1;15.4;-22.4;106.6;106.6;107.3
199;22-23 Man. plastics and constructionprod;2022;8701;8510;191;7081.0;6922.0;161.0;-3.3;-3.3;-0.6;122.9;122.9;118.5
200;22 Manufacture rubber, plastic products;2015;4117;3973;144;4117.0;3973.0;144.0;;;;100.0;100.0;100.0
201;22 Manufacture rubber, plastic products;2016;4624;4495;129;4687.0;4559.0;128.0;13.8;14.7;-11.1;98.7;98.6;100.8
202;22 Manufacture rubber, plastic products;2017;5008;4817;191;5033.0;4846.0;186.0;7.4;6.3;45.0;99.5;99.4;102.9
203;22 Manufacture rubber, plastic products;2018;5200;5005;195;5163.0;4974.0;188.0;2.6;2.6;1.6;100.7;100.6;103.5
204;22 Manufacture rubber, plastic products;2019;5366;5156;210;5331.0;5133.0;197.0;3.3;3.2;4.6;100.7;100.5;106.5
205;22 Manufacture rubber, plastic products;2020;5271;5075;196;5282.0;5096.0;186.0;-0.9;-0.7;-5.7;99.8;99.6;105.4
206;22 Manufacture rubber, plastic products;2021;6306;6154;152;5928.0;5791.0;140.0;12.2;13.6;-24.5;106.4;106.3;108.3
207;22 Manufacture rubber, plastic products;2022;6861;6693;168;5556.0;5421.0;139.0;-6.3;-6.4;-1.3;123.5;123.5;121.3
208;23 Manufacture of building materials;2015;1170;1126;44;1170.0;1126.0;44.0;;;;100.0;100.0;100.0
209;23 Manufacture of building materials;2016;1270;1246;24;1281.0;1257.0;24.0;9.5;11.6;-45.5;99.1;99.1;100.0
210;23 Manufacture of building materials;2017;1335;1313;22;1335.0;1315.0;21.0;4.3;4.6;-12.5;100.0;99.9;104.8
211;23 Manufacture of building materials;2018;1361;1336;25;1330.0;1305.0;25.0;-0.4;-0.7;18.2;102.3;102.3;100.7
212;23 Manufacture of building materials;2019;1259;1239;20;1208.0;1188.0;20.0;-9.2;-9.0;-20.0;104.2;104.3;100.7
213;23 Manufacture of building materials;2020;1194;1171;23;1137.0;1114.0;23.0;-5.9;-6.2;15.0;105.0;105.1;100.7
