ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;GemiddeldeAncienniteit_2;TotaalWerknemers_3;VasteArbeidsrelatie_4;FlexibeleArbeidsrelatie_5;VasteArbeidsrelatie_6;FlexibeleArbeidsrelatie_7;TotaalZelfstandigen_8;MetPersoneel_9;ZonderPersoneel_10;MetPersoneel_11;ZonderPersoneel_12;PersonenMetVoortdurendEenBaan_13;PersonenMetMeerDanEenBaan_14;Deeltijders_15;Voltijders_16;GemiddeldeArbeidsduur_17;PersonenMetUitkering_18
22;Totaal mannen en vrouwen;16 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
23;Totaal mannen en vrouwen;16 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
24;Totaal mannen en vrouwen;16 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
25;Totaal mannen en vrouwen;16 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
26;Totaal mannen en vrouwen;16 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
27;Totaal mannen en vrouwen;16 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
28;Totaal mannen en vrouwen;16 jaar;1950  tot 1955;;;;;;;;;;;;;;;;;;
29;Totaal mannen en vrouwen;16 jaar;1955  tot 1960;21.0;;96.0;;;;;4.0;;;;;;;29.0;71.0;38.4;
30;Totaal mannen en vrouwen;16 jaar;1960  tot 1965;7.0;;97.0;;;;;3.0;;;;;;;47.0;53.0;33.2;
31;Totaal mannen en vrouwen;16 jaar;1965  tot 1970;2.0;;95.0;;;;;5.0;;;;;;;49.0;51.0;33.9;
32;Totaal mannen en vrouwen;16 jaar;1970  tot 1975;7.0;;94.0;;;;;6.0;;;;;;;58.0;42.0;29.6;
33;Totaal mannen en vrouwen;16 jaar;1975  tot 1980;7.0;0.5;98.0;41.0;57.0;42.0;58.0;;;;;;;;66.0;34.0;28.3;
34;Totaal mannen en vrouwen;16 jaar;1980  tot 1985;11.0;0.5;99.0;37.0;61.0;38.0;62.0;;;;;;0.0;0.0;75.0;25.0;24.1;0.0
35;Totaal mannen en vrouwen;16 jaar;1985  tot 1990;11.0;0.5;97.0;36.0;62.0;37.0;63.0;3.0;;2.0;;;0.0;34.0;81.0;19.0;23.0;0.0
36;Totaal mannen en vrouwen;16 jaar;1990  tot 1995;12.0;0.5;98.0;27.0;71.0;28.0;72.0;2.0;;2.0;;;0.0;35.0;88.0;12.0;20.0;0.0
37;Totaal mannen en vrouwen;16 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
38;Totaal mannen en vrouwen;17 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
39;Totaal mannen en vrouwen;17 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
40;Totaal mannen en vrouwen;17 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
41;Totaal mannen en vrouwen;17 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
42;Totaal mannen en vrouwen;17 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
43;Totaal mannen en vrouwen;17 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
44;Totaal mannen en vrouwen;17 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
45;Totaal mannen en vrouwen;17 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
46;Totaal mannen en vrouwen;17 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
47;Totaal mannen en vrouwen;17 jaar;1950  tot 1955;;;;;;;;;;;;;;;;;;
48;Totaal mannen en vrouwen;17 jaar;1955  tot 1960;36.0;;97.0;;;;;3.0;;;;;;;14.0;86.0;39.9;
49;Totaal mannen en vrouwen;17 jaar;1960  tot 1965;19.0;;97.0;;;;;3.0;;;;;;;25.0;75.0;37.0;
50;Totaal mannen en vrouwen;17 jaar;1965  tot 1970;13.0;;96.0;;;;;4.0;;;;;;;43.0;57.0;34.6;
51;Totaal mannen en vrouwen;17 jaar;1970  tot 1975;16.0;0.7;98.0;47.0;51.0;48.0;52.0;2.0;;;;;;;52.0;48.0;32.1;
52;Totaal mannen en vrouwen;17 jaar;1975  tot 1980;15.0;0.7;98.0;45.0;53.0;46.0;54.0;2.0;;1.0;;;;;60.0;40.0;30.1;
53;Totaal mannen en vrouwen;17 jaar;1980  tot 1985;22.0;0.8;98.0;46.0;52.0;47.0;53.0;2.0;;1.0;;;0.0;0.0;67.0;33.0;27.7;0.0
54;Totaal mannen en vrouwen;17 jaar;1985  tot 1990;21.0;0.8;98.0;42.0;56.0;43.0;57.0;2.0;;1.0;;;1.0;51.0;75.0;25.0;25.2;0.0
55;Totaal mannen en vrouwen;17 jaar;1990  tot 1995;20.0;0.9;98.0;34.0;64.0;34.0;66.0;2.0;;2.0;;;0.0;56.0;83.0;17.0;22.6;0.0
56;Totaal mannen en vrouwen;17 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
57;Totaal mannen en vrouwen;18 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
58;Totaal mannen en vrouwen;18 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
59;Totaal mannen en vrouwen;18 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
60;Totaal mannen en vrouwen;18 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
61;Totaal mannen en vrouwen;18 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
62;Totaal mannen en vrouwen;18 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
63;Totaal mannen en vrouwen;18 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
64;Totaal mannen en vrouwen;18 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
65;Totaal mannen en vrouwen;18 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
66;Totaal mannen en vrouwen;18 jaar;1950  tot 1955;59.0;;96.0;;;;;4.0;;;;;;;7.0;93.0;41.8;
67;Totaal mannen en vrouwen;18 jaar;1955  tot 1960;48.0;;97.0;;;;;3.0;;;;;;;7.0;93.0;40.2;
68;Totaal mannen en vrouwen;18 jaar;1960  tot 1965;35.0;;98.0;;;;;2.0;;;;;;;12.0;88.0;39.1;
69;Totaal mannen en vrouwen;18 jaar;1965  tot 1970;26.0;;97.0;;;;;3.0;;;;;;;34.0;66.0;35.4;
70;Totaal mannen en vrouwen;18 jaar;1970  tot 1975;26.0;1.0;98.0;59.0;40.0;59.0;41.0;2.0;;;;;;;40.0;60.0;34.1;
71;Totaal mannen en vrouwen;18 jaar;1975  tot 1980;25.0;1.0;98.0;47.0;51.0;48.0;52.0;2.0;;1.0;;;;;54.0;46.0;31.3;
72;Totaal mannen en vrouwen;18 jaar;1980  tot 1985;35.0;1.1;98.0;51.0;48.0;52.0;48.0;2.0;;1.0;;;1.0;69.0;57.0;43.0;29.5;3.0
73;Totaal mannen en vrouwen;18 jaar;1985  tot 1990;31.0;1.1;98.0;44.0;54.0;45.0;55.0;2.0;;1.0;;;2.0;66.0;66.0;34.0;27.1;3.0
74;Totaal mannen en vrouwen;18 jaar;1990  tot 1995;28.0;1.1;97.0;34.0;64.0;35.0;65.0;3.0;;2.0;;;;;77.0;23.0;24.9;
75;Totaal mannen en vrouwen;18 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
76;Totaal mannen en vrouwen;19 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
77;Totaal mannen en vrouwen;19 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
78;Totaal mannen en vrouwen;19 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
79;Totaal mannen en vrouwen;19 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
80;Totaal mannen en vrouwen;19 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
81;Totaal mannen en vrouwen;19 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
82;Totaal mannen en vrouwen;19 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
83;Totaal mannen en vrouwen;19 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
84;Totaal mannen en vrouwen;19 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
85;Totaal mannen en vrouwen;19 jaar;1950  tot 1955;66.0;;95.0;;;;;5.0;;;;;;;5.0;95.0;41.9;
86;Totaal mannen en vrouwen;19 jaar;1955  tot 1960;58.0;;98.0;;;;;2.0;;;;;;;6.0;94.0;40.1;
87;Totaal mannen en vrouwen;19 jaar;1960  tot 1965;46.0;;98.0;;;;;2.0;;;;;;;9.0;91.0;39.2;
88;Totaal mannen en vrouwen;19 jaar;1965  tot 1970;39.0;;98.0;;;;;2.0;;;;;;;27.0;73.0;36.2;
89;Totaal mannen en vrouwen;19 jaar;1970  tot 1975;36.0;1.2;98.0;64.0;35.0;65.0;35.0;2.0;;1.0;;;;;32.0;68.0;34.9;
90;Totaal mannen en vrouwen;19 jaar;1975  tot 1980;36.0;1.1;99.0;52.0;47.0;52.0;48.0;1.0;;1.0;;;;;46.0;54.0;32.1;
91;Totaal mannen en vrouwen;19 jaar;1980  tot 1985;43.0;1.3;98.0;58.0;41.0;59.0;41.0;2.0;0.0;1.0;;;5.0;78.0;52.0;48.0;30.5;4.0
92;Totaal mannen en vrouwen;19 jaar;1985  tot 1990;39.0;1.3;98.0;46.0;52.0;47.0;53.0;2.0;0.0;2.0;;;5.0;77.0;59.0;41.0;29.0;4.0
93;Totaal mannen en vrouwen;19 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
94;Totaal mannen en vrouwen;19 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
95;Totaal mannen en vrouwen;20 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
96;Totaal mannen en vrouwen;20 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
97;Totaal mannen en vrouwen;20 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
98;Totaal mannen en vrouwen;20 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
99;Totaal mannen en vrouwen;20 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
100;Totaal mannen en vrouwen;20 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
101;Totaal mannen en vrouwen;20 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
102;Totaal mannen en vrouwen;20 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
103;Totaal mannen en vrouwen;20 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
104;Totaal mannen en vrouwen;20 jaar;1950  tot 1955;67.0;;96.0;;;;;4.0;;;;;;;6.0;94.0;41.0;
105;Totaal mannen en vrouwen;20 jaar;1955  tot 1960;63.0;;97.0;;;;;3.0;;;;;;;7.0;93.0;39.7;
106;Totaal mannen en vrouwen;20 jaar;1960  tot 1965;53.0;;97.0;;;;;3.0;;;;;;;10.0;90.0;39.4;
107;Totaal mannen en vrouwen;20 jaar;1965  tot 1970;50.0;;98.0;;;;;2.0;;;;;;;22.0;78.0;36.6;
108;Totaal mannen en vrouwen;20 jaar;1970  tot 1975;44.0;1.4;98.0;64.0;34.0;65.0;35.0;2.0;0.0;2.0;;;;;30.0;70.0;35.4;
109;Totaal mannen en vrouwen;20 jaar;1975  tot 1980;49.0;1.4;98.0;55.0;43.0;56.0;44.0;2.0;1.0;1.0;;;0.0;0.0;39.0;61.0;33.4;0.0
110;Totaal mannen en vrouwen;20 jaar;1980  tot 1985;49.0;1.5;98.0;59.0;39.0;61.0;39.0;2.0;0.0;2.0;;;11.0;82.0;43.0;57.0;32.2;5.0
111;Totaal mannen en vrouwen;20 jaar;1985  tot 1990;46.0;1.5;97.0;47.0;50.0;48.0;52.0;3.0;1.0;2.0;;;10.0;83.0;54.0;46.0;30.2;5.0
112;Totaal mannen en vrouwen;20 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
113;Totaal mannen en vrouwen;20 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
114;Totaal mannen en vrouwen;21 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
115;Totaal mannen en vrouwen;21 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
116;Totaal mannen en vrouwen;21 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
117;Totaal mannen en vrouwen;21 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
118;Totaal mannen en vrouwen;21 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
119;Totaal mannen en vrouwen;21 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
120;Totaal mannen en vrouwen;21 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
121;Totaal mannen en vrouwen;21 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
122;Totaal mannen en vrouwen;21 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
123;Totaal mannen en vrouwen;21 jaar;1950  tot 1955;68.0;;95.0;;;;;5.0;;;;;;;9.0;91.0;41.0;
124;Totaal mannen en vrouwen;21 jaar;1955  tot 1960;66.0;;97.0;;;;;3.0;;;;;;;9.0;91.0;39.4;
125;Totaal mannen en vrouwen;21 jaar;1960  tot 1965;58.0;;97.0;;;;;3.0;;;;;;;12.0;88.0;39.5;
126;Totaal mannen en vrouwen;21 jaar;1965  tot 1970;57.0;;97.0;;;;;3.0;;;;;;;19.0;81.0;37.2;
127;Totaal mannen en vrouwen;21 jaar;1970  tot 1975;52.0;1.7;98.0;69.0;29.0;70.0;30.0;2.0;1.0;2.0;;;;;27.0;73.0;36.0;
128;Totaal mannen en vrouwen;21 jaar;1975  tot 1980;56.0;1.6;97.0;59.0;38.0;61.0;39.0;3.0;1.0;2.0;;;0.0;0.0;35.0;65.0;33.9;0.0
129;Totaal mannen en vrouwen;21 jaar;1980  tot 1985;54.0;1.8;97.0;61.0;36.0;63.0;37.0;3.0;1.0;2.0;;;17.0;83.0;41.0;59.0;32.6;6.0
130;Totaal mannen en vrouwen;21 jaar;1985  tot 1990;53.0;1.7;96.0;51.0;45.0;53.0;47.0;4.0;1.0;3.0;;;13.0;86.0;49.0;51.0;31.3;6.0
131;Totaal mannen en vrouwen;21 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
132;Totaal mannen en vrouwen;21 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
133;Totaal mannen en vrouwen;22 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
134;Totaal mannen en vrouwen;22 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
135;Totaal mannen en vrouwen;22 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
136;Totaal mannen en vrouwen;22 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
137;Totaal mannen en vrouwen;22 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
138;Totaal mannen en vrouwen;22 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
139;Totaal mannen en vrouwen;22 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
140;Totaal mannen en vrouwen;22 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
141;Totaal mannen en vrouwen;22 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
142;Totaal mannen en vrouwen;22 jaar;1950  tot 1955;67.0;;96.0;;;;;4.0;;;;;;;10.0;90.0;40.2;
143;Totaal mannen en vrouwen;22 jaar;1955  tot 1960;68.0;;97.0;;;;;3.0;;;;;;;10.0;90.0;39.1;
144;Totaal mannen en vrouwen;22 jaar;1960  tot 1965;63.0;;97.0;;;;;3.0;;;;;;;14.0;86.0;38.6;
145;Totaal mannen en vrouwen;22 jaar;1965  tot 1970;63.0;2.0;97.0;80.0;17.0;82.0;18.0;3.0;;3.0;;;;;18.0;82.0;37.2;
146;Totaal mannen en vrouwen;22 jaar;1970  tot 1975;60.0;2.1;97.0;67.0;29.0;70.0;30.0;3.0;1.0;2.0;;;;;25.0;75.0;36.4;
147;Totaal mannen en vrouwen;22 jaar;1975  tot 1980;63.0;1.8;97.0;64.0;34.0;65.0;35.0;3.0;1.0;2.0;;;0.0;0.0;31.0;69.0;34.7;5.0
148;Totaal mannen en vrouwen;22 jaar;1980  tot 1985;60.0;2.1;97.0;62.0;35.0;64.0;36.0;3.0;1.0;3.0;;;21.0;83.0;38.0;62.0;33.3;6.0
149;Totaal mannen en vrouwen;22 jaar;1985  tot 1990;58.0;2.0;95.0;53.0;43.0;55.0;45.0;5.0;1.0;4.0;;;16.0;87.0;47.0;53.0;32.2;7.0
150;Totaal mannen en vrouwen;22 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
151;Totaal mannen en vrouwen;22 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
152;Totaal mannen en vrouwen;23 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
153;Totaal mannen en vrouwen;23 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
154;Totaal mannen en vrouwen;23 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
155;Totaal mannen en vrouwen;23 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
156;Totaal mannen en vrouwen;23 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
157;Totaal mannen en vrouwen;23 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
158;Totaal mannen en vrouwen;23 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
159;Totaal mannen en vrouwen;23 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
160;Totaal mannen en vrouwen;23 jaar;1945  tot 1950;68.0;;93.0;;;;;7.0;;;;;;;12.0;88.0;41.2;
161;Totaal mannen en vrouwen;23 jaar;1950  tot 1955;67.0;;96.0;;;;;4.0;;;;;;;13.0;87.0;39.3;
162;Totaal mannen en vrouwen;23 jaar;1955  tot 1960;67.0;;96.0;;;;;4.0;;;;;;;12.0;88.0;39.0;
163;Totaal mannen en vrouwen;23 jaar;1960  tot 1965;66.0;;96.0;;;;;4.0;;;;;;;16.0;84.0;38.2;
164;Totaal mannen en vrouwen;23 jaar;1965  tot 1970;67.0;2.4;96.0;78.0;19.0;81.0;19.0;4.0;1.0;3.0;;;;;18.0;82.0;37.4;
165;Totaal mannen en vrouwen;23 jaar;1970  tot 1975;66.0;2.3;96.0;67.0;30.0;69.0;31.0;4.0;1.0;2.0;;;;;25.0;75.0;36.4;
166;Totaal mannen en vrouwen;23 jaar;1975  tot 1980;70.0;2.1;97.0;69.0;28.0;71.0;29.0;3.0;1.0;2.0;;;23.0;83.0;29.0;71.0;35.2;6.0
167;Totaal mannen en vrouwen;23 jaar;1980  tot 1985;67.0;2.4;96.0;63.0;33.0;66.0;34.0;4.0;1.0;3.0;;;25.0;81.0;35.0;65.0;34.3;7.0
168;Totaal mannen en vrouwen;23 jaar;1985  tot 1990;64.0;2.2;95.0;53.0;42.0;56.0;44.0;5.0;1.0;5.0;13.0;87.0;;;44.0;56.0;32.8;
169;Totaal mannen en vrouwen;23 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
170;Totaal mannen en vrouwen;23 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
171;Totaal mannen en vrouwen;24 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
172;Totaal mannen en vrouwen;24 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
173;Totaal mannen en vrouwen;24 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
174;Totaal mannen en vrouwen;24 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
175;Totaal mannen en vrouwen;24 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
176;Totaal mannen en vrouwen;24 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
177;Totaal mannen en vrouwen;24 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
178;Totaal mannen en vrouwen;24 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
179;Totaal mannen en vrouwen;24 jaar;1945  tot 1950;65.0;;92.0;;;;;8.0;;;;;;;14.0;86.0;41.0;
180;Totaal mannen en vrouwen;24 jaar;1950  tot 1955;66.0;;95.0;;;;;5.0;;;;;;;13.0;87.0;39.5;
181;Totaal mannen en vrouwen;24 jaar;1955  tot 1960;66.0;;96.0;;;;;4.0;;;;;;;13.0;87.0;39.0;
182;Totaal mannen en vrouwen;24 jaar;1960  tot 1965;68.0;;96.0;;;;;4.0;;;;;;;18.0;82.0;37.7;
183;Totaal mannen en vrouwen;24 jaar;1965  tot 1970;70.0;2.7;96.0;78.0;18.0;81.0;19.0;4.0;1.0;3.0;;;;;19.0;81.0;37.3;
184;Totaal mannen en vrouwen;24 jaar;1970  tot 1975;72.0;2.5;96.0;69.0;27.0;72.0;28.0;4.0;1.0;3.0;;;;;23.0;77.0;36.7;
185;Totaal mannen en vrouwen;24 jaar;1975  tot 1980;75.0;2.3;96.0;72.0;24.0;75.0;25.0;4.0;1.0;3.0;;;28.0;79.0;27.0;73.0;35.8;7.0
186;Totaal mannen en vrouwen;24 jaar;1980  tot 1985;73.0;2.6;95.0;64.0;31.0;68.0;32.0;5.0;1.0;4.0;22.0;78.0;29.0;78.0;33.0;67.0;35.0;7.0
187;Totaal mannen en vrouwen;24 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
188;Totaal mannen en vrouwen;24 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
189;Totaal mannen en vrouwen;24 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
190;Totaal mannen en vrouwen;25 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
191;Totaal mannen en vrouwen;25 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
192;Totaal mannen en vrouwen;25 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
193;Totaal mannen en vrouwen;25 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
194;Totaal mannen en vrouwen;25 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
195;Totaal mannen en vrouwen;25 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
196;Totaal mannen en vrouwen;25 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
197;Totaal mannen en vrouwen;25 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
198;Totaal mannen en vrouwen;25 jaar;1945  tot 1950;62.0;;93.0;;;;;7.0;;;;;;;12.0;88.0;41.0;
199;Totaal mannen en vrouwen;25 jaar;1950  tot 1955;65.0;;95.0;;;;;5.0;;;;;;;13.0;87.0;39.5;
200;Totaal mannen en vrouwen;25 jaar;1955  tot 1960;66.0;;95.0;;;;;5.0;;;;;;;15.0;85.0;38.9;
201;Totaal mannen en vrouwen;25 jaar;1960  tot 1965;72.0;;95.0;;;;;5.0;;;;;;;18.0;82.0;37.4;
202;Totaal mannen en vrouwen;25 jaar;1965  tot 1970;74.0;3.1;95.0;78.0;17.0;82.0;18.0;5.0;2.0;3.0;38.0;62.0;;;19.0;81.0;37.6;
203;Totaal mannen en vrouwen;25 jaar;1970  tot 1975;77.0;2.7;96.0;72.0;24.0;75.0;25.0;4.0;1.0;3.0;;;0.0;0.0;21.0;79.0;37.1;0.0
204;Totaal mannen en vrouwen;25 jaar;1975  tot 1980;77.0;2.7;95.0;72.0;22.0;76.0;24.0;5.0;2.0;3.0;36.0;64.0;33.0;73.0;26.0;74.0;36.2;8.0
205;Totaal mannen en vrouwen;25 jaar;1980  tot 1985;79.0;2.8;94.0;66.0;28.0;70.0;30.0;6.0;1.0;4.0;23.0;77.0;32.0;75.0;31.0;69.0;35.4;7.0
206;Totaal mannen en vrouwen;25 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
207;Totaal mannen en vrouwen;25 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
208;Totaal mannen en vrouwen;25 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
209;Totaal mannen en vrouwen;26 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
210;Totaal mannen en vrouwen;26 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
211;Totaal mannen en vrouwen;26 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
212;Totaal mannen en vrouwen;26 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
213;Totaal mannen en vrouwen;26 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
214;Totaal mannen en vrouwen;26 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
215;Totaal mannen en vrouwen;26 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
216;Totaal mannen en vrouwen;26 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
217;Totaal mannen en vrouwen;26 jaar;1945  tot 1950;61.0;;92.0;;;;;8.0;;;;;;;12.0;88.0;41.3;
