ID;Bestemmingen;Perioden;Wegingscoefficienten_1;Prijsindexcijfers_2
122;Europa                   per auto;zomer   1994;153.0;116.0
123;Europa                   per auto;  april     1994;153.0;94.0
124;Europa                   per auto;  mei       1994;153.0;99.0
125;Europa                   per auto;  juni      1994;153.0;114.0
126;Europa                   per auto;  juli      1994;153.0;156.0
127;Europa                   per auto;  augustus  1994;153.0;153.0
128;Europa                   per auto;  september 1994;153.0;103.0
129;Europa                   per auto;  oktober   1994;153.0;95.0
130;Europa                   per auto;winter  1995;230.0;122.0
131;Europa                   per auto;  december  1994;230.0;132.0
132;Europa                   per auto;  januari   1995;230.0;109.0
133;Europa                   per auto;  februari  1995;230.0;130.0
134;Europa                   per auto;  maart     1995;230.0;115.0
135;Europa                   per auto;zomer   1995;153.0;118.0
136;Europa                   per auto;  april     1995;153.0;99.0
137;Europa                   per auto;  mei       1995;153.0;102.0
138;Europa                   per auto;  juni      1995;153.0;115.0
139;Europa                   per auto;  juli      1995;153.0;156.0
140;Europa                   per auto;  augustus  1995;153.0;151.0
141;Europa                   per auto;  september 1995;153.0;105.0
142;Europa                   per auto;  oktober   1995;153.0;99.0
143;Europa                   per auto;winter  1996;;
144;Europa                   per auto;  december  1995;230.0;131.0
145;Europa                   per auto;  januari   1996;230.0;110.0
146;Europa                   per auto;  februari  1996;230.0;130.0
147;Europa                   per auto;  maart     1996;230.0;115.0
148;Europa                   per auto;zomer   1996;153.0;118.0
149;Europa                   per auto;  april     1996;153.0;100.0
150;Europa                   per auto;  mei       1996;153.0;104.0
151;Europa                   per auto;  juni      1996;153.0;116.0
152;Europa                   per auto;  juli      1996;153.0;155.0
153;Europa                   per auto;  augustus  1996;153.0;147.0
154;Europa                   per auto;  september 1996;153.0;105.0
155;Europa                   per auto;  oktober   1996;153.0;100.0
156;Europa                   per schip;winter  1985;;
157;Europa                   per schip;  december  1984;;
158;Europa                   per schip;  januari   1985;;
159;Europa                   per schip;  februari  1985;;
160;Europa                   per schip;  maart     1985;;
161;Europa                   per schip;zomer   1985;;
162;Europa                   per schip;  april     1985;;
163;Europa                   per schip;  mei       1985;;
164;Europa                   per schip;  juni      1985;;
165;Europa                   per schip;  juli      1985;;
166;Europa                   per schip;  augustus  1985;;
167;Europa                   per schip;  september 1985;;
168;Europa                   per schip;  oktober   1985;;
169;Europa                   per schip;winter  1986;;
170;Europa                   per schip;  december  1985;;
171;Europa                   per schip;  januari   1986;;
172;Europa                   per schip;  februari  1986;;
173;Europa                   per schip;  maart     1986;;
174;Europa                   per schip;zomer   1986;;
175;Europa                   per schip;  april     1986;;
176;Europa                   per schip;  mei       1986;;
177;Europa                   per schip;  juni      1986;;
178;Europa                   per schip;  juli      1986;;
179;Europa                   per schip;  augustus  1986;;
180;Europa                   per schip;  september 1986;;
181;Europa                   per schip;  oktober   1986;;
182;Europa                   per schip;winter  1987;;
183;Europa                   per schip;  december  1986;;
184;Europa                   per schip;  januari   1987;;
185;Europa                   per schip;  februari  1987;;
186;Europa                   per schip;  maart     1987;;
187;Europa                   per schip;zomer   1987;;
188;Europa                   per schip;  april     1987;;
189;Europa                   per schip;  mei       1987;;
190;Europa                   per schip;  juni      1987;;
191;Europa                   per schip;  juli      1987;;
192;Europa                   per schip;  augustus  1987;;
193;Europa                   per schip;  september 1987;;
194;Europa                   per schip;  oktober   1987;;
195;Europa                   per schip;winter  1988;;
196;Europa                   per schip;  december  1987;;
197;Europa                   per schip;  januari   1988;;
198;Europa                   per schip;  februari  1988;;
199;Europa                   per schip;  maart     1988;;
200;Europa                   per schip;zomer   1988;;
201;Europa                   per schip;  april     1988;;
202;Europa                   per schip;  mei       1988;;
203;Europa                   per schip;  juni      1988;;
204;Europa                   per schip;  juli      1988;;
205;Europa                   per schip;  augustus  1988;;
206;Europa                   per schip;  september 1988;;
207;Europa                   per schip;  oktober   1988;;
208;Europa                   per schip;winter  1989;;
209;Europa                   per schip;  december  1988;;
210;Europa                   per schip;  januari   1989;;
211;Europa                   per schip;  februari  1989;;
212;Europa                   per schip;  maart     1989;;
213;Europa                   per schip;zomer   1989;;
214;Europa                   per schip;  april     1989;;
215;Europa                   per schip;  mei       1989;;
216;Europa                   per schip;  juni      1989;;
217;Europa                   per schip;  juli      1989;;
218;Europa                   per schip;  augustus  1989;;
219;Europa                   per schip;  september 1989;;
220;Europa                   per schip;  oktober   1989;;
221;Europa                   per schip;winter  1990;;
222;Europa                   per schip;  december  1989;;
223;Europa                   per schip;  januari   1990;;
224;Europa                   per schip;  februari  1990;;
225;Europa                   per schip;  maart     1990;;
226;Europa                   per schip;zomer   1990;;
227;Europa                   per schip;  april     1990;;
228;Europa                   per schip;  mei       1990;;
229;Europa                   per schip;  juni      1990;;
230;Europa                   per schip;  juli      1990;;
231;Europa                   per schip;  augustus  1990;;
232;Europa                   per schip;  september 1990;;
233;Europa                   per schip;  oktober   1990;;
234;Europa                   per schip;winter  1991;;
235;Europa                   per schip;  december  1990;;
236;Europa                   per schip;  januari   1991;;
237;Europa                   per schip;  februari  1991;;
238;Europa                   per schip;  maart     1991;;
239;Europa                   per schip;zomer   1991;;
240;Europa                   per schip;  april     1991;;
241;Europa                   per schip;  mei       1991;;
242;Europa                   per schip;  juni      1991;;
243;Europa                   per schip;  juli      1991;;
244;Europa                   per schip;  augustus  1991;;
245;Europa                   per schip;  september 1991;;
246;Europa                   per schip;  oktober   1991;;
247;Europa                   per schip;winter  1992;;
248;Europa                   per schip;  december  1991;;
249;Europa                   per schip;  januari   1992;;
250;Europa                   per schip;  februari  1992;;
251;Europa                   per schip;  maart     1992;;
252;Europa                   per schip;zomer   1992;;
253;Europa                   per schip;  april     1992;;
254;Europa                   per schip;  mei       1992;;
255;Europa                   per schip;  juni      1992;;
256;Europa                   per schip;  juli      1992;;
257;Europa                   per schip;  augustus  1992;;
258;Europa                   per schip;  september 1992;;
259;Europa                   per schip;  oktober   1992;;
260;Europa                   per schip;winter  1993;;
261;Europa                   per schip;  december  1992;;
262;Europa                   per schip;  januari   1993;;
263;Europa                   per schip;  februari  1993;;
264;Europa                   per schip;  maart     1993;;
265;Europa                   per schip;zomer   1993;;
266;Europa                   per schip;  april     1993;;
267;Europa                   per schip;  mei       1993;;
268;Europa                   per schip;  juni      1993;;
269;Europa                   per schip;  juli      1993;;
270;Europa                   per schip;  augustus  1993;;
271;Europa                   per schip;  september 1993;;
272;Europa                   per schip;  oktober   1993;;
273;Europa                   per schip;winter  1994;;
274;Europa                   per schip;  december  1993;;
275;Europa                   per schip;  januari   1994;;
276;Europa                   per schip;  februari  1994;;
277;Europa                   per schip;  maart     1994;;
278;Europa                   per schip;zomer   1994;;
279;Europa                   per schip;  april     1994;;
280;Europa                   per schip;  mei       1994;;
281;Europa                   per schip;  juni      1994;;
282;Europa                   per schip;  juli      1994;;
283;Europa                   per schip;  augustus  1994;;
284;Europa                   per schip;  september 1994;;
285;Europa                   per schip;  oktober   1994;;
286;Europa                   per schip;winter  1995;;
287;Europa                   per schip;  december  1994;;
288;Europa                   per schip;  januari   1995;;
289;Europa                   per schip;  februari  1995;;
290;Europa                   per schip;  maart     1995;;
291;Europa                   per schip;zomer   1995;;
292;Europa                   per schip;  april     1995;;
293;Europa                   per schip;  mei       1995;;
294;Europa                   per schip;  juni      1995;;
295;Europa                   per schip;  juli      1995;;
296;Europa                   per schip;  augustus  1995;;
297;Europa                   per schip;  september 1995;;
298;Europa                   per schip;  oktober   1995;;
299;Europa                   per schip;winter  1996;;
300;Europa                   per schip;  december  1995;;
301;Europa                   per schip;  januari   1996;;
302;Europa                   per schip;  februari  1996;;
303;Europa                   per schip;  maart     1996;;
304;Europa                   per schip;zomer   1996;;
305;Europa                   per schip;  april     1996;;
306;Europa                   per schip;  mei       1996;;
307;Europa                   per schip;  juni      1996;;
308;Europa                   per schip;  juli      1996;;
309;Europa                   per schip;  augustus  1996;;
310;Europa                   per schip;  september 1996;;
311;Europa                   per schip;  oktober   1996;;
312;Europa                   per touringcar;winter  1985;206.0;96.0
313;Europa                   per touringcar;  december  1984;206.0;96.0
314;Europa                   per touringcar;  januari   1985;206.0;96.0
315;Europa                   per touringcar;  februari  1985;206.0;96.0
316;Europa                   per touringcar;  maart     1985;206.0;96.0
317;Europa                   per touringcar;zomer   1985;215.0;85.0
318;Europa                   per touringcar;  april     1985;215.0;85.0
319;Europa                   per touringcar;  mei       1985;215.0;85.0
320;Europa                   per touringcar;  juni      1985;215.0;85.0
321;Europa                   per touringcar;  juli      1985;215.0;85.0
322;Europa                   per touringcar;  augustus  1985;215.0;85.0
323;Europa                   per touringcar;  september 1985;215.0;85.0
324;Europa                   per touringcar;  oktober   1985;215.0;85.0
325;Europa                   per touringcar;winter  1986;206.0;99.0
326;Europa                   per touringcar;  december  1985;206.0;102.0
327;Europa                   per touringcar;  januari   1986;206.0;94.0
328;Europa                   per touringcar;  februari  1986;206.0;109.0
329;Europa                   per touringcar;  maart     1986;206.0;92.0
330;Europa                   per touringcar;zomer   1986;215.0;89.0
331;Europa                   per touringcar;  april     1986;215.0;80.0
332;Europa                   per touringcar;  mei       1986;215.0;84.0
333;Europa                   per touringcar;  juni      1986;215.0;92.0
334;Europa                   per touringcar;  juli      1986;215.0;102.0
335;Europa                   per touringcar;  augustus  1986;215.0;97.0
336;Europa                   per touringcar;  september 1986;215.0;87.0
337;Europa                   per touringcar;  oktober   1986;215.0;81.0
338;Europa                   per touringcar;winter  1987;206.0;105.0
339;Europa                   per touringcar;  december  1986;206.0;114.0
340;Europa                   per touringcar;  januari   1987;206.0;99.0
341;Europa                   per touringcar;  februari  1987;206.0;109.0
342;Europa                   per touringcar;  maart     1987;206.0;99.0
343;Europa                   per touringcar;zomer   1987;215.0;90.0
344;Europa                   per touringcar;  april     1987;215.0;81.0
345;Europa                   per touringcar;  mei       1987;215.0;85.0
346;Europa                   per touringcar;  juni      1987;215.0;93.0
347;Europa                   per touringcar;  juli      1987;215.0;104.0
348;Europa                   per touringcar;  augustus  1987;215.0;97.0
349;Europa                   per touringcar;  september 1987;215.0;88.0
350;Europa                   per touringcar;  oktober   1987;215.0;82.0
351;Europa                   per touringcar;winter  1988;206.0;100.0
352;Europa                   per touringcar;  december  1987;206.0;102.0
353;Europa                   per touringcar;  januari   1988;206.0;93.0
354;Europa                   per touringcar;  februari  1988;206.0;106.0
355;Europa                   per touringcar;  maart     1988;206.0;100.0
356;Europa                   per touringcar;zomer   1988;215.0;93.0
357;Europa                   per touringcar;  april     1988;215.0;83.0
358;Europa                   per touringcar;  mei       1988;215.0;87.0
359;Europa                   per touringcar;  juni      1988;215.0;95.0
360;Europa                   per touringcar;  juli      1988;215.0;107.0
361;Europa                   per touringcar;  augustus  1988;215.0;103.0
362;Europa                   per touringcar;  september 1988;215.0;91.0
363;Europa                   per touringcar;  oktober   1988;215.0;85.0
364;Europa                   per touringcar;winter  1989;206.0;98.0
365;Europa                   per touringcar;  december  1988;206.0;110.0
366;Europa                   per touringcar;  januari   1989;206.0;90.0
367;Europa                   per touringcar;  februari  1989;206.0;105.0
368;Europa                   per touringcar;  maart     1989;206.0;89.0
369;Europa                   per touringcar;zomer   1989;215.0;94.0
370;Europa                   per touringcar;  april     1989;215.0;84.0
371;Europa                   per touringcar;  mei       1989;215.0;88.0
372;Europa                   per touringcar;  juni      1989;215.0;96.0
373;Europa                   per touringcar;  juli      1989;215.0;109.0
374;Europa                   per touringcar;  augustus  1989;215.0;104.0
375;Europa                   per touringcar;  september 1989;215.0;93.0
376;Europa                   per touringcar;  oktober   1989;215.0;86.0
377;Europa                   per touringcar;winter  1990;206.0;100.0
378;Europa                   per touringcar;  december  1989;;
379;Europa                   per touringcar;  januari   1990;206.0;100.0
380;Europa                   per touringcar;  februari  1990;206.0;100.0
381;Europa                   per touringcar;  maart     1990;206.0;100.0
382;Europa                   per touringcar;zomer   1990;215.0;100.0
383;Europa                   per touringcar;  april     1990;215.0;100.0
384;Europa                   per touringcar;  mei       1990;215.0;100.0
385;Europa                   per touringcar;  juni      1990;215.0;100.0
386;Europa                   per touringcar;  juli      1990;215.0;100.0
387;Europa                   per touringcar;  augustus  1990;215.0;100.0
388;Europa                   per touringcar;  september 1990;215.0;100.0
389;Europa                   per touringcar;  oktober   1990;215.0;100.0
390;Europa                   per touringcar;winter  1991;206.0;107.0
391;Europa                   per touringcar;  december  1990;206.0;114.0
392;Europa                   per touringcar;  januari   1991;206.0;98.0
393;Europa                   per touringcar;  februari  1991;206.0;116.0
394;Europa                   per touringcar;  maart     1991;206.0;102.0
395;Europa                   per touringcar;zomer   1991;215.0;104.0
396;Europa                   per touringcar;  april     1991;215.0;93.0
397;Europa                   per touringcar;  mei       1991;215.0;98.0
398;Europa                   per touringcar;  juni      1991;215.0;106.0
399;Europa                   per touringcar;  juli      1991;215.0;119.0
400;Europa                   per touringcar;  augustus  1991;215.0;113.0
401;Europa                   per touringcar;  september 1991;215.0;101.0
402;Europa                   per touringcar;  oktober   1991;215.0;95.0
403;Europa                   per touringcar;winter  1992;206.0;112.0
404;Europa                   per touringcar;  december  1991;206.0;119.0
405;Europa                   per touringcar;  januari   1992;206.0;103.0
406;Europa                   per touringcar;  februari  1992;206.0;123.0
407;Europa                   per touringcar;  maart     1992;206.0;105.0
408;Europa                   per touringcar;zomer   1992;215.0;107.0
409;Europa                   per touringcar;  april     1992;215.0;99.0
410;Europa                   per touringcar;  mei       1992;215.0;102.0
411;Europa                   per touringcar;  juni      1992;215.0;108.0
412;Europa                   per touringcar;  juli      1992;215.0;121.0
413;Europa                   per touringcar;  augustus  1992;215.0;116.0
414;Europa                   per touringcar;  september 1992;215.0;105.0
415;Europa                   per touringcar;  oktober   1992;215.0;100.0
416;Europa                   per touringcar;winter  1993;206.0;118.0
417;Europa                   per touringcar;  december  1992;206.0;126.0
418;Europa                   per touringcar;  januari   1993;206.0;107.0
419;Europa                   per touringcar;  februari  1993;206.0;130.0
420;Europa                   per touringcar;  maart     1993;206.0;111.0
421;Europa                   per touringcar;zomer   1993;215.0;108.0
422;Europa                   per touringcar;  april     1993;215.0;101.0
423;Europa                   per touringcar;  mei       1993;215.0;104.0
424;Europa                   per touringcar;  juni      1993;215.0;108.0
425;Europa                   per touringcar;  juli      1993;215.0;120.0
426;Europa                   per touringcar;  augustus  1993;215.0;117.0
427;Europa                   per touringcar;  september 1993;215.0;106.0
428;Europa                   per touringcar;  oktober   1993;215.0;102.0
429;Europa                   per touringcar;winter  1994;206.0;123.0
430;Europa                   per touringcar;  december  1993;206.0;130.0
431;Europa                   per touringcar;  januari   1994;206.0;112.0
432;Europa                   per touringcar;  februari  1994;206.0;134.0
433;Europa                   per touringcar;  maart     1994;206.0;115.0
434;Europa                   per touringcar;zomer   1994;215.0;108.0
435;Europa                   per touringcar;  april     1994;215.0;95.0
436;Europa                   per touringcar;  mei       1994;215.0;102.0
437;Europa                   per touringcar;  juni      1994;215.0;110.0
438;Europa                   per touringcar;  juli      1994;215.0;126.0
439;Europa                   per touringcar;  augustus  1994;215.0;120.0
440;Europa                   per touringcar;  september 1994;215.0;105.0
441;Europa                   per touringcar;  oktober   1994;215.0;99.0
442;Europa                   per touringcar;winter  1995;206.0;128.0
443;Europa                   per touringcar;  december  1994;206.0;139.0
444;Europa                   per touringcar;  januari   1995;206.0;116.0
445;Europa                   per touringcar;  februari  1995;206.0;139.0
446;Europa                   per touringcar;  maart     1995;206.0;117.0
447;Europa                   per touringcar;zomer   1995;215.0;113.0
448;Europa                   per touringcar;  april     1995;215.0;102.0
449;Europa                   per touringcar;  mei       1995;215.0;105.0
450;Europa                   per touringcar;  juni      1995;215.0;113.0
451;Europa                   per touringcar;  juli      1995;215.0;131.0
452;Europa                   per touringcar;  augustus  1995;215.0;125.0
453;Europa                   per touringcar;  september 1995;215.0;108.0
454;Europa                   per touringcar;  oktober   1995;215.0;103.0
455;Europa                   per touringcar;winter  1996;;
456;Europa                   per touringcar;  december  1995;206.0;135.0
457;Europa                   per touringcar;  januari   1996;206.0;116.0
458;Europa                   per touringcar;  februari  1996;206.0;137.0
459;Europa                   per touringcar;  maart     1996;206.0;121.0
460;Europa                   per touringcar;zomer   1996;215.0;111.0
461;Europa                   per touringcar;  april     1996;215.0;101.0
462;Europa                   per touringcar;  mei       1996;215.0;105.0
463;Europa                   per touringcar;  juni      1996;215.0;112.0
464;Europa                   per touringcar;  juli      1996;215.0;128.0
465;Europa                   per touringcar;  augustus  1996;215.0;122.0
466;Europa                   per touringcar;  september 1996;215.0;106.0
467;Europa                   per touringcar;  oktober   1996;215.0;101.0
468;Europa                   per trein;winter  1985;55.0;100.0
469;Europa                   per trein;  december  1984;55.0;100.0
470;Europa                   per trein;  januari   1985;55.0;100.0
471;Europa                   per trein;  februari  1985;55.0;100.0
472;Europa                   per trein;  maart     1985;55.0;100.0
473;Europa                   per trein;zomer   1985;20.0;85.0
474;Europa                   per trein;  april     1985;20.0;85.0
475;Europa                   per trein;  mei       1985;20.0;85.0
476;Europa                   per trein;  juni      1985;20.0;85.0
477;Europa                   per trein;  juli      1985;20.0;85.0
478;Europa                   per trein;  augustus  1985;20.0;85.0
479;Europa                   per trein;  september 1985;20.0;85.0
480;Europa                   per trein;  oktober   1985;20.0;85.0
481;Europa                   per trein;winter  1986;55.0;103.0
482;Europa                   per trein;  december  1985;55.0;106.0
483;Europa                   per trein;  januari   1986;55.0;101.0
484;Europa                   per trein;  februari  1986;55.0;104.0
485;Europa                   per trein;  maart     1986;55.0;102.0
486;Europa                   per trein;zomer   1986;20.0;86.0
487;Europa                   per trein;  april     1986;20.0;84.0
488;Europa                   per trein;  mei       1986;20.0;85.0
489;Europa                   per trein;  juni      1986;20.0;86.0
490;Europa                   per trein;  juli      1986;20.0;88.0
491;Europa                   per trein;  augustus  1986;20.0;87.0
492;Europa                   per trein;  september 1986;20.0;85.0
493;Europa                   per trein;  oktober   1986;20.0;85.0
494;Europa                   per trein;winter  1987;55.0;108.0
495;Europa                   per trein;  december  1986;55.0;119.0
496;Europa                   per trein;  januari   1987;55.0;101.0
497;Europa                   per trein;  februari  1987;55.0;113.0
498;Europa                   per trein;  maart     1987;55.0;98.0
499;Europa                   per trein;zomer   1987;20.0;86.0
500;Europa                   per trein;  april     1987;20.0;83.0
501;Europa                   per trein;  mei       1987;20.0;84.0
502;Europa                   per trein;  juni      1987;20.0;87.0
503;Europa                   per trein;  juli      1987;20.0;88.0
504;Europa                   per trein;  augustus  1987;20.0;87.0
505;Europa                   per trein;  september 1987;20.0;85.0
506;Europa                   per trein;  oktober   1987;20.0;85.0
507;Europa                   per trein;winter  1988;55.0;94.0
508;Europa                   per trein;  december  1987;55.0;99.0
509;Europa                   per trein;  januari   1988;55.0;89.0
510;Europa                   per trein;  februari  1988;55.0;99.0
511;Europa                   per trein;  maart     1988;55.0;89.0
512;Europa                   per trein;zomer   1988;20.0;85.0
513;Europa                   per trein;  april     1988;20.0;85.0
514;Europa                   per trein;  mei       1988;20.0;84.0
515;Europa                   per trein;  juni      1988;20.0;85.0
516;Europa                   per trein;  juli      1988;20.0;87.0
517;Europa                   per trein;  augustus  1988;20.0;86.0
518;Europa                   per trein;  september 1988;20.0;85.0
519;Europa                   per trein;  oktober   1988;20.0;85.0
520;Europa                   per trein;winter  1989;55.0;95.0
521;Europa                   per trein;  december  1988;55.0;100.0
522;Europa                   per trein;  januari   1989;55.0;88.0
523;Europa                   per trein;  februari  1989;55.0;101.0
524;Europa                   per trein;  maart     1989;55.0;91.0
525;Europa                   per trein;zomer   1989;20.0;103.0
526;Europa                   per trein;  april     1989;20.0;92.0
527;Europa                   per trein;  mei       1989;20.0;104.0
528;Europa                   per trein;  juni      1989;20.0;104.0
529;Europa                   per trein;  juli      1989;20.0;105.0
530;Europa                   per trein;  augustus  1989;20.0;105.0
531;Europa                   per trein;  september 1989;20.0;104.0
532;Europa                   per trein;  oktober   1989;20.0;104.0
533;Europa                   per trein;winter  1990;55.0;100.0
534;Europa                   per trein;  december  1989;;
535;Europa                   per trein;  januari   1990;55.0;100.0
536;Europa                   per trein;  februari  1990;55.0;100.0
537;Europa                   per trein;  maart     1990;55.0;100.0
538;Europa                   per trein;zomer   1990;20.0;100.0
539;Europa                   per trein;  april     1990;20.0;100.0
540;Europa                   per trein;  mei       1990;20.0;100.0
541;Europa                   per trein;  juni      1990;20.0;100.0
542;Europa                   per trein;  juli      1990;20.0;100.0
543;Europa                   per trein;  augustus  1990;20.0;100.0
544;Europa                   per trein;  september 1990;20.0;100.0
545;Europa                   per trein;  oktober   1990;20.0;100.0
546;Europa                   per trein;winter  1991;55.0;106.0
547;Europa                   per trein;  december  1990;55.0;116.0
548;Europa                   per trein;  januari   1991;55.0;96.0
549;Europa                   per trein;  februari  1991;55.0;113.0
550;Europa                   per trein;  maart     1991;55.0;99.0
551;Europa                   per trein;zomer   1991;20.0;104.0
552;Europa                   per trein;  april     1991;20.0;103.0
553;Europa                   per trein;  mei       1991;20.0;103.0
554;Europa                   per trein;  juni      1991;20.0;104.0
555;Europa                   per trein;  juli      1991;20.0;104.0
556;Europa                   per trein;  augustus  1991;20.0;104.0
557;Europa                   per trein;  september 1991;20.0;103.0
558;Europa                   per trein;  oktober   1991;20.0;103.0
559;Europa                   per trein;winter  1992;55.0;112.0
560;Europa                   per trein;  december  1991;55.0;123.0
561;Europa                   per trein;  januari   1992;55.0;101.0
562;Europa                   per trein;  februari  1992;55.0;119.0
