ID;Perioden;TotaalPersonenInHuishoudens_1;ThuiswonendKind_2;Alleenstaand_3;Samenwonend_4;OuderInEenouderhuishouden_5;OverigLidHuishouden_6;PersoonInInstitutioneelHuishouden_7;TotaalParticuliereHuishoudens_8;Eenpersoonshuishoudens_9;Paren_10;Eenouderhuishoudens_11;OverigeHuishoudens_12;TotaalParticuliereHuishoudens_13;Eenpersoonshuishoudens_14;TotaalMeerpersoonshuishoudens_15;k_2Personen_16;k_3Personen_17;k_4Personen_18;k_5OfMeerPersonen_19;GemiddeldeHuishoudensgrootte_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;TotaalHuishoudensMetKinderen_30;k_0Tot3Jaar_31;k_3Tot6Jaar_32;k_6Tot12Jaar_33;k_12Tot18Jaar_34;k_18JaarOfOuder_35
24;2035;17806979;4485022;3532100;8602369;549581;331995;305912;8442895;3532100;4301182;549581;60032;8442894;3532100;4910794;2637780;920576;967323;385115;2.07;4301182;2317663;729496;924647;329376;549581;329283;172800;47498;2533099;505898;334441;549385;521499;621876
25;2036;17820206;4490734;3553342;8578075;550440;334411;313204;8453095;3553342;4289035;550440;60278;8453098;3553342;4899756;2624297;918750;970456;386253;2.07;4289035;2304172;727124;927842;329897;550440;329457;173427;47556;2535303;503861;334110;550563;525013;621756
26;2037;17829959;4495444;3573232;8553011;551112;336834;320326;8461355;3573232;4276503;551112;60508;8461352;3573232;4888120;2610722;917351;972881;387166;2.07;4276503;2290602;725348;930328;330225;551112;329670;173880;47562;2537012;501643;333442;551314;528183;622430
27;2038;17836446;4498979;3591577;8527624;551911;339159;327196;8468055;3591577;4263810;551911;60757;8468056;3591577;4876479;2597213;916763;974726;387777;2.07;4263810;2276911;724386;932199;330314;551910;330039;174331;47540;2538810;499512;332530;551815;531016;623937
28;2039;17839957;4501217;3608452;8502411;552734;341406;333737;8473421;3608452;4251205;552734;61030;8473421;3608452;4864969;2583835;916667;976152;388315;2.07;4251205;2263334;723904;933598;330369;552733;330384;174793;47556;2540603;497591;331402;552036;533507;626067
29;2040;17840816;4502122;3623888;8477625;553599;343555;340027;8477589;3623888;4238815;553599;61287;8477589;3623888;4853701;2570854;916974;977125;388748;2.06;4238815;2250118;723840;934517;330340;553602;330762;175251;47589;2542296;495967;330124;551917;535563;628725
30;2041;17839451;4501705;3638080;8453561;554409;345667;346029;8480833;3638080;4226780;554409;61564;8480832;3638080;4842752;2558627;917647;977556;388922;2.06;4226780;2237550;724245;934890;330095;554411;331237;175596;47578;2543641;494680;328752;551353;537161;631695
31;2042;17836165;4500073;3651089;8430401;555139;347685;351778;8483268;3651089;4215201;555139;61839;8483268;3651089;4832179;2547210;918665;977469;388835;2.06;4215201;2225673;725154;934735;329639;555137;331826;175764;47547;2544665;493792;327369;550331;538375;634798
32;2043;17831378;4497348;3662964;8408338;555738;349648;357342;8484960;3662964;4204163;555738;62095;8484964;3662964;4822000;2536508;919854;977048;388590;2.06;4204163;2214603;726276;934238;329046;555736;332366;175869;47501;2545294;493329;326056;548826;539235;637848
33;2044;17825577;4493719;3673851;8387447;556231;351562;362767;8486175;3673851;4193727;556231;62366;8486178;3673851;4812327;2526543;921056;976456;388272;2.06;4193727;2204368;727387;933566;328406;556228;332788;175987;47453;2545590;493314;324900;546903;539779;640694
34;2045;17818876;4489390;3683642;8367763;556548;353408;368125;8486685;3683642;4183885;556548;62610;8486683;3683642;4803041;2517218;922172;975738;387913;2.06;4183885;2194953;728431;932773;327728;556547;333042;176094;47411;2545480;493709;323945;544627;539948;643251
35;2046;17811602;4484558;3692417;8349376;556639;355166;373446;8486574;3692417;4174684;556639;62834;8486573;3692417;4794156;2508665;923331;974764;387396;2.05;4174684;2186416;729612;931740;326916;556639;333204;176102;47333;2544909;494466;323232;542113;539665;645433
36;2047;17804091;4479426;3700170;8332335;556565;356867;378728;8485947;3700170;4166169;556565;63043;8485948;3700170;4785778;2500815;924496;973649;386818;2.05;4166169;2178666;730883;930565;326055;556567;333299;176011;47257;2544068;495562;322796;539530;538893;647287
37;2048;17796548;4474248;3706859;8316633;556321;358495;383992;8484726;3706859;4158315;556321;63231;8484723;3706859;4777864;2493507;925549;972546;386262;2.05;4158315;2171615;732069;929402;325229;556321;333249;175884;47188;2543022;496934;322648;537034;537607;648799
38;2049;17789088;4469171;3712401;8302401;555919;360047;389149;8482930;3712401;4151203;555919;63407;8482932;3712401;4770531;2486772;926519;971497;385743;2.05;4151203;2165230;733205;928318;324450;555920;333112;175710;47098;2541893;498516;322789;534769;535825;649994
39;2050;17781769;4464373;3716754;8289619;555387;361502;394134;8480509;3716754;4144812;555387;63556;8480510;3716754;4763756;2480517;927425;970554;385260;2.05;4144812;2159451;734304;927344;323713;555385;332848;175523;47014;2540746;500237;323200;532864;533612;650833
40;2051;17774642;4460021;3719894;8278299;554738;362827;398863;8477456;3719894;4139146;554738;63678;8477458;3719894;4757564;2474860;928259;969661;384784;2.05;4139146;2154301;735402;926441;323002;554737;332553;175268;46916;2539581;502019;323841;531388;531054;651279
41;2052;17767844;4456248;3721801;8268472;554021;364025;403277;8473835;3721801;4134234;554021;63779;8473832;3721801;4752031;2469770;928944;968909;384408;2.05;4134234;2149802;736340;925679;322413;554020;332162;175024;46834;2538453;503798;324664;530400;528296;651295
42;2053;17761469;4453150;3722478;8260252;553199;365106;407284;8469702;3722478;4130126;553199;63899;8469701;3722478;4747223;2465239;929298;968445;384241;2.05;4130126;2145962;736906;925201;322057;553199;331604;174806;46789;2537363;505515;325623;529913;525479;650833
43;2054;17755676;4450826;3722001;8253680;552313;366032;410824;8465112;3722001;4126843;552313;63955;8465110;3722001;4743109;2461353;929459;968108;384189;2.05;4126843;2142821;737318;924883;321821;552310;331041;174540;46729;2536331;507108;326666;529908;522752;649897
44;2055;17750672;4449343;3720460;8248760;551424;366811;413874;8460242;3720460;4124381;551424;63977;8460240;3720460;4739780;2458089;929415;967984;384292;2.05;4124381;2140348;737502;924783;321748;551422;330440;174306;46676;2535457;508554;327767;530368;520261;648507
45;2056;17746582;4448736;3718047;8245490;550467;367445;416397;8455227;3718047;4122745;550467;63968;8455226;3718047;4737179;2455510;929170;968007;384492;2.05;4122745;2138591;737518;924846;321790;550467;329791;174046;46630;2534623;509784;328864;531208;518106;646661
46;2057;17743610;4449018;3714885;8243844;549518;367967;418378;8450288;3714885;4121924;549518;63961;8450289;3714885;4735404;2453587;928706;968285;384826;2.05;4121924;2137522;737255;925160;321987;549519;329081;173832;46606;2533921;510782;329925;532374;516384;644456
47;2058;17741870;4450156;3711131;8243799;548567;368369;419848;8445547;3711131;4121899;548567;63950;8445549;3711131;4734418;2452247;927931;968882;385358;2.05;4121899;2137113;736603;925787;322396;548564;328254;173692;46618;2533350;511518;330911;533790;515148;641983
48;2059;17741412;4452095;3706994;8245181;547646;368676;420820;8441153;3706994;4122588;547646;63925;8441155;3706994;4734161;2451539;927088;969598;385936;2.05;4122588;2137291;735881;926551;322865;547646;327466;173552;46628;2532945;511993;331796;535384;514425;639347
49;2060;17742385;4454757;3702679;8247987;546768;368900;421294;8437338;3702679;4123990;546768;63901;8437337;3702679;4734658;2451456;926183;970465;386554;2.05;4123990;2138044;735080;927472;323394;546768;326701;173434;46633;2532715;512190;332569;537088;514203;636665
