ID;CaribbeanNetherlands;Periods;TotalHouseholdsAndCompanies_1;Total_2;Prepaid_3;Postpaid_4;Companies_5;Total_6;Fossil_7;Renewable_8;OilTransit_9;TotalHouseholdsAndCompanies_10;Households_11;Companies_12;Production_13
45;Bonaire;2007;7151.0;5725.0;36.0;5689.0;1426.0;74.2;73.5;0.7;138.0;6899.0;5890.0;1009.0;1100.0
46;Bonaire;2008;7564.0;6071.0;255.0;5816.0;1493.0;72.2;70.8;1.4;151.0;7199.0;6126.0;1073.0;1131.0
47;Bonaire;2009;7968.0;6437.0;609.0;5828.0;1531.0;75.4;73.9;1.5;156.9;7605.0;6453.0;1152.0;1179.0
48;Bonaire;2010;8307.0;6789.0;900.0;5889.0;1518.0;82.2;77.3;4.9;125.6;7855.0;6756.0;1099.0;1206.0
49;Bonaire;2011;8593.0;7053.0;1105.0;5948.0;1540.0;85.1;58.8;26.3;176.8;8068.0;6953.0;1115.0;1248.0
50;Bonaire;2012;8827.0;7262.0;1210.0;6052.0;1565.0;91.1;58.6;32.5;154.5;8281.0;7125.0;1156.0;1309.0
51;Bonaire;2013;9190.0;7571.0;1354.0;6217.0;1619.0;93.6;56.9;36.7;;8502.0;7353.0;1149.0;1359.0
52;Bonaire;2014;9384.0;7715.0;1461.0;6254.0;1669.0;97.3;56.1;41.2;;8870.0;7609.0;1261.0;1514.0
53;Bonaire;2015;9748.0;7918.0;1660.0;6258.0;1830.0;103.4;63.4;40.1;;9063.0;7693.0;1370.0;1587.0
54;Bonaire;2016;10050.0;8143.0;1868.0;6275.0;1907.0;108.5;73.3;35.1;;9361.0;7839.0;1522.0;1595.0
55;Bonaire;2017;10404.0;8432.0;2068.0;6364.0;1972.0;113.4;81.9;31.5;;9648.0;8079.0;1569.0;1634.0
56;Bonaire;2018;10677.0;8647.0;2267.0;6380.0;2030.0;113.1;76.0;37.1;;9884.0;8277.0;1607.0;1751.0
57;Bonaire;2019;11155.0;9078.0;2433.0;6645.0;2077.0;120.6;88.1;32.5;;10348.0;8665.0;1683.0;1940.0
58;Bonaire;2020;11546.0;9510.0;2324.0;7186.0;2036.0;123.8;95.7;28.1;;10604.0;8971.0;1633.0;1953.0
59;Bonaire;2021;12048.0;9960.0;2411.0;7549.0;2088.0;133.6;101.5;32.2;;11323.0;9434.0;1889.0;2120.0
60;Bonaire;2022;12697.0;10485.0;2564.0;7921.0;2212.0;140.7;107.3;33.5;;11792.0;9773.0;2019.0;2301.0
61;Bonaire;2023;13318.0;11162.0;3314.0;7848.0;2156.0;156.3;121.3;35.0;;11985.0;10051.0;1934.0;2570.0
62;Sint-Eustatius;1993;;;;;;3.8;;0.0;;;;;
63;Sint-Eustatius;1994;;;;;;5.5;;0.0;;;;;
64;Sint-Eustatius;1995;;;;;;6.1;;0.0;;;;;
65;Sint-Eustatius;1996;;;;;;6.4;;0.0;;;;;
66;Sint-Eustatius;1997;;;;;;6.6;;0.0;;;;;
67;Sint-Eustatius;1998;;;;;;7.0;;0.0;;;;;
68;Sint-Eustatius;1999;;;;;;7.8;;0.0;;;;;
69;Sint-Eustatius;2000;;;;;;8.2;;0.0;;;;;
70;Sint-Eustatius;2001;;;;;;8.7;;0.0;;;;;
71;Sint-Eustatius;2002;;;;;;;;0.0;;;;;
72;Sint-Eustatius;2003;;;;;;9.5;;0.0;;;;;
73;Sint-Eustatius;2004;;;;;;9.9;;0.0;;;;;
74;Sint-Eustatius;2005;;;;;;10.3;;0.0;;;;;
75;Sint-Eustatius;2006;;;;;;10.5;;0.0;;;;;
76;Sint-Eustatius;2007;;;;;;11.3;;0.0;;;;;
77;Sint-Eustatius;2008;;;;;;11.1;;0.0;;;;;
78;Sint-Eustatius;2009;;;;;;11.4;;0.0;;;;;
79;Sint-Eustatius;2010;;;;;;12.8;;0.0;;;;;
80;Sint-Eustatius;2011;;;;;;12.6;;0.0;;;;;
81;Sint-Eustatius;2012;;;;;;13.7;13.7;0.0;;;;;
82;Sint-Eustatius;2013;1711.0;1462.0;;;249.0;13.5;13.5;0.0;;;;;
83;Sint-Eustatius;2014;;;;;;13.4;13.4;0.0;;;;;47.0
84;Sint-Eustatius;2015;;;;;;13.9;13.9;0.0;;;;;57.0
85;Sint-Eustatius;2016;;;;;261.0;13.9;11.6;2.3;;555.0;;;65.0
86;Sint-Eustatius;2017;;;;;264.0;14.0;10.2;3.8;;635.0;;;68.0
87;Sint-Eustatius;2018;1828.0;1556.0;;;272.0;14.3;7.8;6.5;;756.0;;;75.0
88;Sint-Eustatius;2019;1845.0;1572.0;;;273.0;15.0;8.7;6.3;;878.0;;;94.0
89;Sint-Eustatius;2020;1981.0;1709.0;;;272.0;15.2;10.4;4.8;;991.0;881.0;110.0;130.0
90;Sint-Eustatius;2021;2005.0;1735.0;;;270.0;16.3;11.1;5.2;;1071.0;953.0;118.0;175.0
91;Sint-Eustatius;2022;2081.0;1795.0;;;286.0;16.4;11.7;4.7;;1185.0;1061.0;124.0;188.0
92;Sint-Eustatius;2023;;;;;;17.1;12.0;5.1;;1261.0;1131.0;130.0;190.0
93;Saba;1993;;;;;;2.4;;0.0;;;;;
94;Saba;1994;;;;;;3.6;;0.0;;;;;
95;Saba;1995;;;;;;4.0;;0.0;;;;;
96;Saba;1996;;;;;;4.4;;0.0;;;;;
97;Saba;1997;;;;;;5.0;;0.0;;;;;
98;Saba;1998;;;;;;5.7;;0.0;;;;;
99;Saba;1999;;;;;;5.8;;0.0;;;;;
100;Saba;2000;;;;;;5.7;;0.0;;;;;
101;Saba;2001;;;;;;6.2;;0.0;;;;;
102;Saba;2002;;;;;;;;0.0;;;;;
103;Saba;2003;;;;;;6.7;;0.0;;;;;
104;Saba;2004;;;;;;6.9;;0.0;;;;;
105;Saba;2005;;;;;;7.5;;0.0;;;;;
106;Saba;2006;;;;;;7.7;;0.0;;;;;
107;Saba;2007;;;;;;8.1;;0.0;;;;;
108;Saba;2008;;;;;;7.7;;0.0;;;;;
109;Saba;2009;;;;;;8.3;;0.0;;;;;
110;Saba;2010;;;;;;8.9;;0.0;;;;;
111;Saba;2011;1177.0;943.0;;;234.0;8.8;;0.0;;;;;
112;Saba;2012;1190.0;951.0;;;239.0;8.9;8.9;0.0;;;;;
113;Saba;2013;1212.0;971.0;;;241.0;9.2;9.2;0.0;;;;;
114;Saba;2014;1250.0;1004.0;;;246.0;9.3;9.3;0.0;;;;;
115;Saba;2015;;;;;;9.4;9.4;0.0;;;;;
116;Saba;2016;;;;;;9.7;9.6;0.1;;;;;
117;Saba;2017;1228.0;1009.0;;;219.0;9.2;9.1;0.1;;;;;
118;Saba;2018;1224.0;1000.0;;;224.0;9.0;7.6;1.5;;;;;
119;Saba;2019;1187.0;960.0;;;227.0;9.3;6.9;2.4;;;;;
120;Saba;2020;1315.0;1075.0;;;240.0;8.7;6.0;2.8;;;;;
121;Saba;2021;1335.0;1084.0;;;251.0;9.2;5.9;3.3;;;;;
122;Saba;2022;1368.0;1098.0;;;270.0;9.4;6.6;2.9;;;;;
123;Saba;2023;1383.0;1108.0;;;275.0;9.8;6.7;3.1;;;;;
