ID;KenmerkenVanPersonen;Perioden;Koopkrachtverandering_1;AandeelInDeBevolking_2;k_1977100_3;k_1980100_4;k_1985100_5;k_1990100_6;k_1995100_7;Sinds1977_8;Sinds1980_9;Sinds1985_10;Sinds1990_11;Sinds1995_12;Sinds1977_13;Sinds1980_14;Sinds1985_15;Sinds1990_16;Sinds1995_17
1016;701;1994;-0.7;50;97.2;94.8;108.0;100.2;99.2;-2.8;-5.2;8.0;0.2;;-0.2;-0.4;0.9;0.0;
1017;701;1995;0.8;50;98.0;95.5;108.9;101.0;100.0;-2.0;-4.5;8.9;1.0;;-0.1;-0.3;0.9;0.2;
1018;701;1996;0.5;47;98.5;96.0;109.5;101.5;100.5;-1.5;-4.0;9.5;1.5;0.5;-0.1;-0.3;0.8;0.2;0.5
1019;701;1997;0.8;46;99.3;96.8;110.4;102.3;101.3;-0.7;-3.2;10.4;2.3;1.3;0.0;-0.2;0.8;0.3;0.7
1020;701;1998;1.4;46;100.7;98.2;111.9;103.8;102.8;0.7;-1.8;11.9;3.8;2.8;0.0;-0.1;0.9;0.5;0.9
1021;701;1999;0.4;45;101.1;98.6;112.4;104.2;103.2;1.1;-1.4;12.4;4.2;3.2;0.1;-0.1;0.8;0.5;0.8
1022;701;2000;0.8;44;101.9;99.3;113.2;104.9;103.9;1.9;-0.7;13.2;4.9;3.9;0.1;0.0;0.8;0.5;0.8
1023;701;2001;4.2;44;106.2;103.5;118.0;109.4;108.3;6.2;3.5;18.0;9.4;8.3;0.2;0.2;1.0;0.8;1.3
1024;701;2002;0.7;44;106.9;104.1;118.7;110.1;109.0;6.9;4.1;18.7;10.1;9.0;0.3;0.2;1.0;0.8;1.2
1025;702;1978;2.4;37;102.4;100.5;109.1;96.1;95.7;2.4;;;;;2.4;;;;
1026;702;1979;0.7;37;103.1;101.2;109.8;96.7;96.3;3.1;;;;;1.5;;;;
1027;702;1980;-1.2;36;101.9;100.0;108.6;95.6;95.2;1.9;;;;;0.6;;;;
1028;702;1981;-3.8;36;98.1;96.3;104.5;92.0;91.7;-1.9;-3.8;;;;-0.5;-3.8;;;
1029;702;1982;-0.9;36;97.2;95.4;103.6;91.2;90.8;-2.8;-4.6;;;;-0.6;-2.3;;;
1030;702;1983;-2.7;36;94.6;92.8;100.8;88.7;88.4;-5.4;-7.2;;;;-0.9;-2.5;;;
1031;702;1984;-1.7;35;92.9;91.2;99.0;87.2;86.8;-7.1;-8.8;;;;-1.0;-2.3;;;
1032;702;1985;1.0;43;93.9;92.1;100.0;88.0;87.7;-6.1;-7.9;;;;-0.8;-1.6;;;
1033;702;1986;4.2;44;97.8;95.9;104.2;91.7;91.4;-2.2;-4.1;4.2;;;-0.3;-0.7;4.2;;
1034;702;1987;2.5;45;100.2;98.3;106.7;94.0;93.6;0.2;-1.7;6.7;;;0.0;-0.2;3.3;;
1035;702;1988;1.5;45;101.7;99.8;108.4;95.4;95.0;1.7;-0.2;8.4;;;0.2;0.0;2.7;;
1036;702;1989;1.5;47;103.3;101.3;110.0;96.9;96.5;3.3;1.3;10.0;;;0.3;0.1;2.4;;
1037;702;1990;3.2;48;106.6;104.6;113.6;100.0;99.6;6.6;4.6;13.6;;;0.5;0.5;2.6;;
1038;702;1991;-0.2;48;106.4;104.4;113.4;99.8;99.4;6.4;4.4;13.4;-0.2;;0.4;0.4;2.1;-0.2;
1039;702;1992;-1.0;48;105.4;103.4;112.3;98.9;98.5;5.4;3.4;12.3;-1.1;;0.3;0.3;1.7;-0.6;
1040;702;1993;0.5;49;105.9;103.9;112.8;99.4;99.0;5.9;3.9;12.8;-0.6;;0.4;0.3;1.5;-0.2;
1041;702;1994;-0.1;50;105.8;103.9;112.8;99.3;98.9;5.8;3.9;12.8;-0.7;;0.3;0.3;1.3;-0.2;
1042;702;1995;1.1;50;107.0;105.0;114.0;100.4;100.0;7.0;5.0;14.0;0.4;;0.4;0.3;1.3;0.1;
1043;702;1996;1.2;53;108.3;106.3;115.4;101.6;101.2;8.3;6.3;15.4;1.6;1.2;0.4;0.4;1.3;0.3;1.2
1044;702;1997;1.1;54;109.5;107.5;116.7;102.8;102.4;9.5;7.5;16.7;2.8;2.4;0.5;0.4;1.3;0.4;1.2
1045;702;1998;1.5;54;111.1;109.1;118.4;104.3;103.9;11.1;9.1;18.4;4.3;3.9;0.5;0.5;1.3;0.5;1.3
1046;702;1999;0.8;55;112.0;109.9;119.4;105.1;104.7;12.0;9.9;19.4;5.1;4.7;0.5;0.5;1.3;0.6;1.1
1047;702;2000;1.0;81;113.1;111.0;120.5;106.1;105.7;13.1;11.0;20.5;6.1;5.7;0.5;0.5;1.3;0.6;1.1
1048;702;2001;4.5;81;118.3;116.1;126.0;110.9;110.5;18.3;16.1;26.0;10.9;10.5;0.7;0.7;1.5;0.9;1.7
1049;702;2002;0.5;56;118.8;116.6;126.6;111.5;111.0;18.8;16.6;26.6;11.5;11.0;0.7;0.7;1.4;0.9;1.5
1050;801;1978;2.4;9;102.4;108.0;112.2;105.4;115.9;2.4;;;;;2.4;;;;
1051;801;1979;-1.8;9;100.6;106.0;110.2;103.5;113.8;0.6;;;;;0.3;;;;
1052;801;1980;-5.7;9;94.8;100.0;103.9;97.6;107.3;-5.2;;;;;-1.7;;;;
1053;801;1981;-2.8;9;92.2;97.2;101.0;94.9;104.3;-7.8;-2.8;;;;-2.0;-2.8;;;
1054;801;1982;-0.3;9;91.9;96.9;100.7;94.6;104.0;-8.1;-3.1;;;;-1.7;-1.6;;;
1055;801;1983;-0.1;9;91.8;96.8;100.5;94.5;103.9;-8.2;-3.2;;;;-1.4;-1.1;;;
1056;801;1984;-0.8;9;91.1;96.0;99.8;93.7;103.1;-8.9;-4.0;;;;-1.3;-1.0;;;
1057;801;1985;0.2;8;91.3;96.2;100.0;94.0;103.3;-8.7;-3.8;;;;-1.1;-0.8;;;
1058;801;1986;0.4;7;91.7;96.6;100.4;94.3;103.7;-8.3;-3.4;0.4;;;-1.0;-0.6;0.4;;
1059;801;1987;-0.7;7;91.0;96.0;99.7;93.7;103.0;-9.0;-4.0;-0.3;;;-0.9;-0.6;-0.1;;
1060;801;1988;0.7;7;91.7;96.7;100.5;94.4;103.8;-8.3;-3.3;0.5;;;-0.8;-0.4;0.2;;
1061;801;1989;6.4;7;97.6;102.9;106.9;100.5;110.5;-2.4;2.9;6.9;;;-0.2;0.3;1.7;;
1062;801;1990;-0.5;7;97.2;102.4;106.4;100.0;109.9;-2.8;2.4;6.4;;;-0.2;0.2;1.3;;
1063;801;1991;-4.9;7;92.4;97.4;101.2;95.1;104.6;-7.6;-2.6;1.2;-4.9;;-0.6;-0.2;0.2;-4.9;
1064;801;1992;-6.3;7;86.6;91.3;94.8;89.1;97.9;-13.4;-8.7;-5.2;-10.9;;-1.0;-0.8;-0.8;-5.6;
1065;801;1993;0.8;6;87.3;92.0;95.6;89.8;98.7;-12.7;-8.0;-4.4;-10.2;;-0.8;-0.6;-0.6;-3.5;
1066;801;1994;;6;;;;;;;;;;;;;;;
1067;801;1995;;6;;;;;;;;;;;;;;;
1068;801;1996;;7;;;;;;;;;;;;;;;
1069;801;1997;;6;;;;;;;;;;;;;;;
1070;801;1998;;6;;;;;;;;;;;;;;;
1071;801;1999;;6;;;;;;;;;;;;;;;
1072;801;2000;;6;;;;;;;;;;;;;;;
1073;801;2001;;6;;;;;;;;;;;;;;;
1074;801;2002;;6;;;;;;;;;;;;;;;
1075;802;1978;2.5;71;102.5;100.6;113.4;100.2;98.8;2.5;;;;;2.5;;;;
