ID;SBI1993;Perioden;TotaalCaoSectoren_1;ParticuliereBedrijven_2;Overheid_3;GesubsidieerdeSector_4
142;5;2000 jaargemiddelde;98.0;98.8;96.2;94.8
143;5;2001 januari;97.9;98.8;96.2;94.8
144;5;2001 februari;97.9;98.8;96.2;94.8
145;5;2001 maart;97.9;98.8;96.2;94.8
146;5;2001 april;97.9;98.8;96.2;94.8
147;5;2001 mei;97.9;98.8;96.2;94.8
148;5;2001 juni;97.9;98.8;96.2;94.8
149;5;2001 juli;97.9;98.8;96.2;94.8
150;5;2001 augustus;97.9;98.8;96.2;94.8
151;5;2001 september;97.9;98.8;96.2;94.8
152;5;2001 oktober;97.9;98.8;96.2;94.8
153;5;2001 november;97.9;98.8;96.2;94.8
154;5;2001 december;97.9;98.8;96.2;94.8
155;5;2001 jaargemiddelde;97.9;98.8;96.2;94.8
156;5;2002 januari;97.9;98.8;96.2;94.9
157;5;2002 februari;97.9;98.8;96.2;94.9
158;5;2002 maart;97.9;98.8;96.2;94.9
159;5;2002 april;97.9;98.8;96.2;94.9
160;5;2002 mei;97.9;98.8;96.2;94.9
161;5;2002 juni;97.9;98.8;96.2;94.9
162;5;2002 juli;97.9;98.8;96.2;94.9
163;5;2002 augustus;97.9;98.8;96.2;94.9
164;5;2002 september;97.9;98.8;96.2;94.9
165;5;2002 oktober;97.9;98.8;96.2;94.9
166;5;2002 november;97.9;98.8;96.2;94.9
167;5;2002 december;97.9;98.8;96.2;94.9
168;5;2002 jaargemiddelde;97.9;98.8;96.2;94.9
169;5;2003*januari;97.9;98.8;96.2;94.8
170;5;2003*februari;97.9;98.8;96.2;94.8
171;5;2003*maart;97.9;98.8;96.2;94.8
172;5;2003*april;97.9;98.8;96.2;94.8
173;5;2003*mei;97.9;98.8;96.2;94.8
174;6;1990 januari;100.0;100.0;;
175;6;1990 februari;100.0;100.0;;
176;6;1990 maart;100.0;100.0;;
177;6;1990 april;100.0;100.0;;
178;6;1990 mei;100.0;100.0;;
179;6;1990 juni;100.0;100.0;;
180;6;1990 juli;100.0;100.0;;
181;6;1990 augustus;100.0;100.0;;
182;6;1990 september;100.0;100.0;;
183;6;1990 oktober;100.0;100.0;;
184;6;1990 november;100.0;100.0;;
185;6;1990 December;100.0;100.0;;
186;6;1990 jaargemiddelde;100.0;100.0;;
187;6;1991 januari;100.0;100.0;;
188;6;1991 februari;100.0;100.0;;
189;6;1991 maart;100.0;100.0;;
190;6;1991 april;100.0;100.0;;
191;6;1991 mei;100.0;100.0;;
192;6;1991 juni;100.0;100.0;;
193;6;1991 juli;100.0;100.0;;
194;6;1991 augustus;100.0;100.0;;
195;6;1991 september;100.0;100.0;;
196;6;1991 oktober;100.0;100.0;;
197;6;1991 november;100.0;100.0;;
198;6;1991 december;100.0;100.0;;
199;6;1991 jaargemiddelde;100.0;100.0;;
200;6;1992 januari;100.0;100.0;;
201;6;1992 februari;100.0;100.0;;
202;6;1992 maart;100.0;100.0;;
203;6;1992 april;100.0;100.0;;
204;6;1992 mei;100.0;100.0;;
205;6;1992 juni;100.0;100.0;;
206;6;1992 juli;100.0;100.0;;
207;6;1992 augustus;100.0;100.0;;
208;6;1992 september;100.0;100.0;;
209;6;1992 oktober;100.0;100.0;;
210;6;1992 november;100.0;100.0;;
211;6;1992 december;100.0;100.0;;
212;6;1992 jaargemiddelde;100.0;100.0;;
213;6;1993 januari;100.0;100.0;;
214;6;1993 februari;100.0;100.0;;
215;6;1993 maart;100.0;100.0;;
216;6;1993 april;100.0;100.0;;
217;6;1993 mei;100.0;100.0;;
218;6;1993 juni;100.0;100.0;;
219;6;1993 juli;100.0;100.0;;
220;6;1993 augustus;100.0;100.0;;
221;6;1993 september;100.0;100.0;;
222;6;1993 oktober;100.0;100.0;;
223;6;1993 november;100.0;100.0;;
224;6;1993 december;100.0;100.0;;
225;6;1993 jaargemiddelde;100.0;100.0;;
226;6;1994 januari;100.0;100.0;;
227;6;1994 februari;100.0;100.0;;
228;6;1994 maart;100.0;100.0;;
229;6;1994 april;100.0;100.0;;
230;6;1994 mei;100.0;100.0;;
231;6;1994 juni;100.0;100.0;;
232;6;1994 juli;100.0;100.0;;
233;6;1994 augustus;100.0;100.0;;
234;6;1994 september;100.0;100.0;;
235;6;1994 oktober;100.0;100.0;;
236;6;1994 november;100.0;100.0;;
237;6;1994 december;100.0;100.0;;
238;6;1994 jaargemiddelde;100.0;100.0;;
239;6;1995 januari;99.8;99.8;;
240;6;1995 februari;99.8;99.8;;
241;6;1995 maart;99.8;99.8;;
242;6;1995 april;99.8;99.8;;
243;6;1995 mei;99.8;99.8;;
244;6;1995 juni;99.8;99.8;;
245;6;1995 juli;99.8;99.8;;
246;6;1995 augustus;99.8;99.8;;
247;6;1995 september;99.8;99.8;;
248;6;1995 oktober;99.8;99.8;;
249;6;1995 november;99.8;99.8;;
250;6;1995 december;99.8;99.8;;
251;6;1995 jaargemiddelde;99.8;99.8;;
252;6;1996 januari;99.3;99.3;;
253;6;1996 februari;99.3;99.3;;
254;6;1996 maart;99.3;99.3;;
255;6;1996 april;99.3;99.3;;
256;6;1996 mei;99.2;99.2;;
257;6;1996 juni;99.2;99.2;;
258;6;1996 juli;99.2;99.2;;
259;6;1996 augustus;99.2;99.2;;
260;6;1996 september;99.2;99.2;;
261;6;1996 oktober;99.2;99.2;;
262;6;1996 november;99.2;99.2;;
263;6;1996 december;99.2;99.2;;
264;6;1996 jaargemiddelde;99.2;99.2;;
265;6;1997 januari;98.5;98.5;;
266;6;1997 februari;98.5;98.5;;
267;6;1997 maart;98.2;98.3;;
268;6;1997 april;98.2;98.3;;
269;6;1997 mei;98.2;98.3;;
270;6;1997 juni;98.2;98.3;;
271;6;1997 juli;98.2;98.3;;
272;6;1997 augustus;98.2;98.3;;
273;6;1997 september;98.2;98.3;;
274;6;1997 oktober;98.2;98.3;;
275;6;1997 november;98.2;98.3;;
276;6;1997 december;98.2;98.3;;
277;6;1997 jaargemiddelde;98.3;98.3;;
278;6;1998 januari;98.0;98.0;;
279;6;1998 februari;98.0;98.0;;
280;6;1998 maart;98.0;98.0;;
281;6;1998 april;98.0;98.0;;
282;6;1998 mei;98.0;98.0;;
283;6;1998 juni;98.0;98.0;;
284;6;1998 juli;98.0;98.0;;
285;6;1998 augustus;98.0;98.0;;
286;6;1998 september;98.0;98.0;;
287;6;1998 oktober;98.0;98.0;;
288;6;1998 november;98.0;98.0;;
289;6;1998 december;98.0;98.0;;
290;6;1998 jaargemiddelde;98.0;98.0;;
291;6;1999 januari;98.0;98.0;;
292;6;1999 februari;98.0;98.0;;
293;6;1999 maart;98.0;98.0;;
294;6;1999 april;98.0;98.0;;
295;6;1999 mei;98.0;98.0;;
296;6;1999 juni;98.0;98.0;;
297;6;1999 juli;98.0;98.0;;
298;6;1999 augustus;98.0;98.0;;
299;6;1999 september;98.0;98.0;;
300;6;1999 oktober;98.0;98.0;;
301;6;1999 november;98.0;98.0;;
302;6;1999 december;98.0;98.0;;
303;6;1999 jaargemiddelde;98.0;98.0;;
304;6;2000 januari;98.0;98.0;;
305;6;2000 februari;98.0;98.0;;
306;6;2000 april;98.0;98.0;;
307;6;2000 maart;98.0;98.0;;
308;6;2000 mei;98.0;98.0;;
309;6;2000 juni;98.0;98.0;;
310;6;2000 juli;98.0;98.0;;
311;6;2000 augustus;98.0;98.0;;
312;6;2000 september;98.0;98.0;;
313;6;2000 oktober;98.0;98.0;;
314;6;2000 november;98.0;98.0;;
315;6;2000 december;98.0;98.0;;
316;6;2000 jaargemiddelde;98.0;98.0;;
317;6;2001 januari;98.0;98.0;;
318;6;2001 februari;98.0;98.0;;
319;6;2001 maart;98.0;98.0;;
320;6;2001 april;98.0;98.0;;
321;6;2001 mei;98.0;98.0;;
322;6;2001 juni;98.0;98.0;;
323;6;2001 juli;98.0;98.0;;
324;6;2001 augustus;98.0;98.0;;
325;6;2001 september;98.0;98.0;;
326;6;2001 oktober;98.0;98.0;;
327;6;2001 november;98.0;98.0;;
328;6;2001 december;98.0;98.0;;
329;6;2001 jaargemiddelde;98.0;98.0;;
330;6;2002 januari;98.0;98.0;;
331;6;2002 februari;98.0;98.0;;
332;6;2002 maart;98.0;98.0;;
