ID;Perioden;TotaleCVOPopulatie_1;AantalDeelnemersAanVakanties_2;DeelnemersAanVakanties_3;TotaalAantalVakanties_4;NederlandTotaal_5;NederlandTotaal_6;Waddeneilanden_7;Waddeneilanden_8;Noordzeebadplaatsen_9;Noordzeebadplaatsen_10;IJsselmeerkust_11;IJsselmeerkust_12;Deltagebied_13;Deltagebied_14;MerenInFrieslandEO_15;MerenInFrieslandEO_16;HollandsUtrechtseMeren_17;HollandsUtrechtseMeren_18;UtrechtseHeuvelrugEnTGooi_19;UtrechtseHeuvelrugEnTGooi_20;VeluweEnVeluwerand_21;VeluweEnVeluwerand_22;GeldersRivierengebied_23;GeldersRivierengebied_24;Achterhoek_25;Achterhoek_26;TwenteSallandEnVechtstreek_27;TwenteSallandEnVechtstreek_28;GroningseFrieseEnDrentseZandgronden_29;GroningseFrieseEnDrentseZandgr_30;WestEnMiddenBrabant_31;WestEnMiddenBrabant_32;OBrabantNMLimburgEnRijkVNijmeg_33;OBrabantNMLimburgEnRijkVNijm_34;ZuidLimburg_35;ZuidLimburg_36;VierGroteSteden_37;VierGroteSteden_38;OverigNederland_39;OverigNederland_40;WoningVanEenParticulier_41;WoningVanEenParticulier_42;HotelMotel_43;HotelMotel_44;PensionBedBreakfast_45;PensionBedBreakfast_46;Appartement_47;Appartement_48;ZomerhuisjeVakantiebungalow_49;ZomerhuisjeVakantiebungalow_50;TentBungalowtent_51;TentBungalowtent_52;CaravanVouwwagen_53;CaravanVouwwagen_54;Camper_55;Camper_56;Boot_57;Boot_58;Groepsaccommodatie_59;Groepsaccommodatie_60;OverigeLogiesvormen_61;OverigeLogiesvormen_62;AantalFiets_63;Fiets_64;Auto_65;Auto_66;Trein_67;Trein_68;Touringcar_69;Touringcar_70;OverigeVervoermiddelen_71;OverigeVervoermiddelen_72;TotaleUitgavenVoorVakanties_73;GemiddeldeUitgavenPerVakantieganger_74;TotaalVakantiesInBuitenland_75;TotaalVakantiesInBuitenland_76;Belgie_77;Belgie_78;Luxemburg_79;Luxemburg_80;Frankrijk_81;Frankrijk_82;Spanje_83;Spanje_84;Portugal_85;Portugal_86;Oostenrijk_87;Oostenrijk_88;Zwitserland_89;Zwitserland_90;GrootBrittannie_91;GrootBrittannie_92;NoorwegenZwedenFinland_93;NoorwegenZwedenFinland_94;Denemarken_95;Denemarken_96;Duitsland_97;Duitsland_98;Italie_99;Italie_100;Griekenland_101;Griekenland_102;Hongarije_103;Hongarije_104;Tsjechie_105;Tsjechie_106;Turkije_107;Turkije_108;Egypte_109;Egypte_110;VerreOosten_111;VerreOosten_112;VerenigdeStaten_113;VerenigdeStaten_114;CaribischGebied_115;CaribischGebied_116;OverigeLanden_117;OverigeLanden_118;BijFamilieVriendenOfKennissenThuis_119;BijFamVriendenOfKennissenThuis_120;WoningVanEenParticulier_121;WoningVanEenParticulier_122;HotelMotel_123;HotelMotel_124;PensionBedBreakfast_125;PensionBedBreakfast_126;Appartement_127;Appartement_128;ZomerhuisjeVakantiebungalow_129;ZomerhuisjeVakantiebungalow_130;TentBungalowtent_131;TentBungalowtent_132;CaravanVouwwagen_133;CaravanVouwwagen_134;Camper_135;Camper_136;Boot_137;Boot_138;Groepsaccommodatie_139;Groepsaccommodatie_140;OverigeLogiesvormen_141;OverigeLogiesvormen_142;Auto_143;Auto_144;Trein_145;Trein_146;Touringcar_147;Touringcar_148;Vliegtuig_149;Vliegtuig_150;OverigeVervoermiddelen_151;OverigeVervoermiddelen_152;TotaleUitgavenVoorVakanties_153;GemiddeldeUitgavenPerVakantieganger_154
11;2001;15095;11955;79.2;31937;17723;55.5;1057;6.0;2621;14.8;879;5.0;1007;5.7;846;4.8;241;1.4;407;2.3;1674;9.4;241;1.4;615;3.5;1301;7.3;1844;10.4;1721;9.7;1595;9.0;771;4.4;234;1.3;665;3.8;330;1.9;2078;11.7;;;368;2.1;5589;31.5;1174;6.6;6077;34.3;90;0.5;1269;7.2;561;3.2;187;1.1;251;1.4;16066;90.7;825;4.7;154;0.9;427;2.4;2.3;128;14214;44.5;1551;10.9;232;1.6;2787;19.6;1613;11.3;278;2.0;1019;7.2;349;2.5;452;3.2;228;1.6;174;1.2;1782;12.5;676;4.8;576;4.1;110;0.8;308.0;2.2;522;3.7;121.0;0.9;245;1.7;205;1.4;94.0;0.7;892.0;6.3;;;597;;5488;;;;2280;16.0;2329;16.4;1139;8.0;1755;12.3;188;1.3;206;1.4;119;0.8;113;0.8;7766;54.6;491;3.5;1410;9.9;4194;29.5;353;2.5;8.6;602
12;2002;15204;12288;80.8;35467;18710;52.8;994;5.3;2388;12.8;685;3.7;1006;5.4;573;3.1;266;1.4;602;3.2;2012;10.8;146;0.8;562;3.0;1409;7.5;1729;9.2;1905;10.2;1685;9.0;1044;5.6;337;1.8;1368;7.3;1189;6.4;2694;14.4;177.0;0.9;341;1.8;6270;33.5;1093;5.8;4975;26.6;71;0.4;921;4.9;628;3.4;351;1.9;331;1.8;16650;89.0;864;4.6;153;0.8;710;3.8;2.9;155;16758;47.2;2173;13.0;323;1.9;3321;19.8;1718;10.3;240;1.4;1049;6.3;429;2.6;801;4.8;235;1.4;178;1.1;2490;14.9;808;4.8;563;3.4;92;0.5;317.0;1.9;620;3.7;76.0;0.5;138;0.8;235;1.4;72.0;0.4;878.0;5.2;1719.0;10.3;616;3.7;5431;32.4;539.0;3.2;1996;11.9;2591;15.5;1434;8.6;1732;10.3;189;1.1;195;1.2;174;1.0;140;0.8;10099;60.3;633;3.8;1029;6.1;4286;25.6;709;4.2;9.7;581
13;2003;15283;12495;81.8;34554;18091;52.4;1105;6.1;2444;13.5;819;4.5;1011;5.6;470;2.6;240;1.3;399;2.2;2131;11.8;134;0.7;610;3.4;1530;8.5;1679;9.3;1642;9.1;1476;8.2;913;5.0;319;1.8;1170;6.5;1193;6.6;2590;14.3;211.0;1.2;295;1.6;6018;33.3;1292;7.1;4484;24.8;154;0.9;811;4.5;628;3.5;416;2.3;433;2.4;16208;89.6;853;4.7;114;0.6;482;2.7;2.6;145;16463;47.6;2279;13.8;234;1.4;2880;17.5;1648;10.0;285;1.7;1112;6.8;388;2.4;763;4.6;246;1.5;188;1.1;2419;14.7;768;4.7;526;3.2;97;0.6;318.0;1.9;711;4.3;137.0;0.8;181;1.1;243;1.5;111.0;0.7;929.0;5.6;1509.0;9.2;682;4.1;5631;34.2;497.0;3.0;2156;13.1;2376;14.4;1173;7.1;1587;9.6;263;1.6;211;1.3;221;1.3;157;1.0;9651;58.6;568;3.5;1088;6.6;4639;28.2;518;3.1;9.8;593
14;2004;15347;12456;81.2;35152;17979;51.1;954;5.3;2258;12.6;813;4.5;946;5.3;523;2.9;219;1.2;415;2.3;2138;11.9;96;0.5;641;3.6;1438;8.0;1761;9.8;1768;9.8;1776;9.9;906;5.0;272;1.5;1057;5.9;1093;6.1;2589;14.4;202.0;1.1;274;1.5;6329;35.2;1094;6.1;4606;25.6;138;0.8;676;3.8;619;3.4;358;2.0;395;2.2;16256;90.4;812;4.5;152;0.8;365;2.0;2.6;143;17173;48.9;2239;13.0;284;1.7;2888;16.8;1577;9.2;274;1.6;1081;6.3;406;2.4;701;4.1;279;1.6;228;1.3;2693;15.7;739;4.3;526;3.1;135;0.8;401.0;2.3;825;4.8;190.0;1.1;196;1.1;279;1.6;151.0;0.9;1079.0;6.3;1728.0;10.1;607;3.5;6330;36.9;528.0;3.1;2068;12.0;2323;13.5;1176;6.8;1613;9.4;262;1.5;176;1.0;202;1.2;161;0.9;9888;57.6;656;3.8;935;5.4;5220;30.4;474;2.8;10.1;589
15;2005;15393;12436;80.8;34400;17314;50.3;1058;6.1;2070;12.0;684;4.0;751;4.3;561;3.2;117;0.7;477;2.8;1991;11.5;133;0.8;647;3.7;1412;8.2;1824;10.5;1611;9.3;1619;9.4;867;5.0;354;2.0;1140;6.6;1170;6.8;2690;15.5;182.0;1.1;297;1.7;5943;34.3;940;5.4;4246;24.5;169;1.0;793;4.6;562;3.2;323;1.9;363;2.1;15571;89.9;835;4.8;141;0.8;404;2.3;2.5;143;17086;49.7;2041;11.9;289;1.7;2759;16.1;1647;9.6;274;1.6;1024;6.0;359;2.1;627;3.7;305;1.8;208;1.2;2600;15.2;744;4.4;548;3.2;122;0.7;403.0;2.4;985;5.8;211.0;1.2;246;1.4;288;1.7;185.0;1.1;1222.0;7.2;1592.0;9.3;711;4.2;6645;38.9;469.0;2.7;1959;11.5;2290;13.4;969;5.7;1716;10.0;241;1.4;148;0.9;176;1.0;169;1.0;9546;55.9;606;3.5;982;5.7;5485;32.1;466;2.7;10.3;600
16;2006;15434;12421;80.5;34546;17794;51.5;953;5.4;2178;12.2;696;3.9;769;4.3;572;3.2;174;1.0;502;2.8;2148;12.1;198;1.1;711;4.0;1371;7.7;1797;10.1;1651;9.3;1670;9.4;950;5.3;312;1.8;1143;6.4;1204;6.8;2835;15.9;205.0;1.2;314;1.8;6309;35.5;915;5.1;4162;23.4;215;1.2;719;4.0;613;3.4;304;1.7;306;1.7;16116;90.6;885;5.0;120;0.7;367;2.1;2.6;144;16752;48.5;1926;11.5;231;1.4;2724;16.3;1551;9.3;237;1.4;1160;6.9;354;2.1;636;3.8;304;1.8;189;1.1;2571;15.3;865;5.2;645;3.9;126;0.8;330.0;2.0;644;3.8;203.0;1.2;240;1.4;336;2.0;225.0;1.3;1254.0;7.5;1470.0;8.8;678;4.0;6452;38.5;447.0;2.7;1961;11.7;2399;14.3;959;5.7;1650;9.8;217;1.3;152;0.9;191;1.1;176;1.1;9449;56.4;573;3.4;907;5.4;5392;32.2;431;2.6;10.4;622
17;2007;15469;12484;80.7;35150;17594;50.1;1091;6.2;2107;12.0;706;4.0;775;4.4;600;3.4;80;0.5;393;2.2;2033;11.6;183;1.0;676;3.8;1352;7.7;1734;9.9;1687;9.6;1745;9.9;1002;5.7;358;2.0;1073;6.1;1061;6.0;3073;17.5;209.0;1.2;300;1.7;6653;37.8;877;5.0;3890;22.1;189;1.1;607;3.5;515;2.9;220;1.3;325;1.8;15793;89.8;890;5.1;134;0.8;452;2.6;2.7;154;17556;49.9;2096;11.9;185;1.1;2645;15.1;1622;9.2;258;1.5;1150;6.6;390;2.2;679;3.9;344;2.0;215;1.2;2951;16.8;932;5.3;736;4.2;114;0.6;342.0;1.9;649;3.7;200.0;1.1;288;1.6;314;1.8;202.0;1.2;1246.0;7.1;1536.0;8.7;716;4.1;6905;39.3;481.0;2.7;1897;10.8;2561;14.6;1012;5.8;1608;9.2;256;1.5;151;0.9;257;1.5;190;1.1;9705;55.3;657;3.7;982;5.6;5754;32.8;458;2.6;11.1;633
18;2008;15510;12661;81.6;35907;17449;48.6;1103;6.3;1949;11.2;915;5.2;816;4.7;512;2.9;63;0.4;370;2.1;1909;10.9;137;0.8;708;4.1;1320;7.6;1848;10.6;1646;9.4;1714;9.8;990;5.7;357;2.0;1092;6.3;1146;6.6;2974;17.0;273.0;1.6;311;1.8;6562;37.6;849;4.9;3610;20.7;211;1.2;787;4.5;450;2.6;276;1.6;317;1.8;15724;90.1;876;5.0;128;0.7;404;2.3;2.7;155;18458;51.4;1970;10.7;150;0.8;2904;15.7;1847;10.0;310;1.7;1098;5.9;361;2.0;591;3.2;343;1.9;229;1.2;2996;16.2;1015;5.5;731;4.0;122;0.7;421.0;2.3;780;4.2;259.0;1.4;278;1.5;383;2.1;157.0;0.9;1511.0;8.2;1626.0;8.8;837;4.5;7273;39.4;472.0;2.6;2002;10.8;2714;14.7;938;5.1;1745;9.5;302;1.6;203;1.1;193;1.0;153;0.8;10006;54.2;743;4.0;955;5.2;6355;34.4;398;2.2;12.6;680
19;2009;15559;12643;81.3;36367;17959;49.4;1112;6.2;2178;12.1;912;5.1;736;4.1;454;2.5;165;0.9;319;1.8;1985;11.1;151;0.8;620;3.5;1354;7.5;1924;10.7;1684;9.4;1950;10.9;939;5.2;329;1.8;1149;6.4;1104;6.1;3100;17.3;251.0;1.4;277;1.5;6840;38.1;877;4.9;3935;21.9;237;1.3;658;3.7;434;2.4;246;1.4;282;1.6;16431;91.5;770;4.3;102;0.6;373;2.1;2.8;154;18408;50.6;1990;10.8;189;1.0;2824;15.3;1555;8.4;334;1.8;1202;6.5;345;1.9;705;3.8;377;2.0;196;1.1;3517;19.1;992;5.4;625;3.4;112;0.6;315.0;1.7;680;3.7;215.0;1.2;307;1.7;407;2.2;232.0;1.3;1288.0;7.0;1448.0;7.9;817;4.4;7136;38.8;545.0;3.0;2112;11.5;2800;15.2;939;5.1;1843;10.0;290;1.6;192;1.0;212;1.2;73;0.4;10389;56.4;690;3.7;899;4.9;5981;32.5;448;2.4;12.3;669
20;2010;15637;12740;81.5;36138;17708;49.0;1018;5.7;2087;11.8;875;4.9;760;4.3;499;2.8;134;0.8;369;2.1;1933;10.9;190;1.1;598;3.4;1304;7.4;1877;10.6;1688;9.5;1725;9.7;973;5.5;470;2.7;1207;6.8;1138;6.4;3274;18.5;334.0;1.9;363;2.0;6478;36.6;798;4.5;3776;21.3;260;1.5;586;3.3;442;2.5;260;1.5;280;1.6;16091;90.9;809;4.6;105;0.6;422;2.4;2.8;157;18430;51.0;1996;10.8;216;1.2;2856;15.5;1572;8.5;317;1.7;1168;6.3;314;1.7;784;4.3;335;1.8;187;1.0;3233;17.5;1009;5.5;616;3.3;147;0.8;237.0;1.3;803;4.4;271.0;1.5;379;2.1;433;2.3;174.0;0.9;1385.0;7.5;1591.0;8.6;857;4.7;7210;39.1;543.0;2.9;2003;10.9;2662;14.4;992;5.4;1805;9.8;254;1.4;213;1.2;211;1.1;88;0.5;10262;55.7;665;3.6;770;4.2;6272;34.0;462;2.5;12.3;663
