ID;Geslacht;Leeftijd;SBI93;SocialeVerzekeringsdagen;Perioden;WerknemersTotaal_1;ZonderAndereInkomstenbron_2;MetAndereInkomstenbronTotaal_3;MetUitkeringTotaal_4;MetAOUitkering_5;MetWWUitkering_6;MetBijstandsuitkering_7;MetAndereUitkering_8;MetPensioen_9;MetArbeidAlsZelfstandige_10;WerknemersTotaal_11;ZonderAndereInkomstenbron_12;MetAndereInkomstenbronTotaal_13;MetUitkeringTotaal_14;MetAOUitkering_15;MetWWUitkering_16;MetBijstandsuitkering_17;MetAndereUitkering_18;MetPensioen_19;MetArbeidAlsZelfstandige_20
10;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;1999, vrijdag 24 september;176.8;147.9;28.9;18.0;4.1;2.0;6.5;6.7;5.8;6.3;1.2;1.1;1.7;1.6;1.7;2.3;1.2;1.6;1.6;2.4
11;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2000, vrijdag 29 september;177.3;149.2;28.1;16.7;4.5;1.6;5.5;6.5;6.9;5.8;1.2;1.1;1.7;1.6;1.8;2.3;1.3;1.7;1.6;2.4
12;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2001, vrijdag 28 september;172.9;145.1;27.8;16.0;4.7;1.5;4.6;6.8;7.1;6.0;1.5;1.4;2.1;1.9;2.1;2.7;1.4;1.9;2.1;2.9
13;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2002, vrijdag 27 september;168.7;140.5;28.2;16.1;5.1;2.1;4.4;6.1;7.8;5.7;1.5;1.3;2.2;2.1;2.4;3.2;1.5;2.0;2.1;3.1
14;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2003, vrijdag 26 september;156.7;128.7;28.0;15.5;4.5;2.8;3.9;6.0;8.3;5.7;1.5;1.4;2.3;2.1;2.3;2.8;1.5;2.0;2.2;3.1
15;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2004, vrijdag 24 september;158.4;129.1;29.4;16.3;4.3;3.8;4.1;5.9;8.9;5.6;1.7;1.5;2.4;2.2;2.4;2.9;1.5;2.2;2.4;3.4
16;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2005, vrijdag 30 september;165.7;132.8;32.9;18.3;4.4;4.2;4.8;6.9;10.5;6.0;1.6;1.4;2.2;2.0;2.2;2.6;1.5;1.9;2.2;3.0
17;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2006, vrijdag 29 september;182.7;146.7;36.0;19.0;4.0;3.5;5.6;7.7;12.9;6.1;2.1;1.9;2.7;2.2;2.5;2.7;1.5;2.4;3.1;4.3
18;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2007, vrijdag 28 september;183.5;149.4;34.0;16.7;3.9;2.3;4.2;7.7;;5.7;1.7;1.5;2.5;1.9;2.2;2.7;1.5;1.8;;3.5
19;Totaal mannen en vrouwen;0;0;0 tot 50 SV-dagen;2008, vrijdag 26 september;179.2;147.3;31.9;14.1;3.7;1.7;3.6;5.9;13.9;5.7;1.7;1.5;2.8;2.1;2.3;3.0;1.6;2.1;3.2;3.6
20;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;1999, vrijdag 24 september;394.0;330.1;63.9;41.6;10.1;6.0;11.6;17.2;8.0;17.0;3.3;3.2;4.1;3.8;3.8;5.0;3.0;3.8;4.0;5.1
21;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2000, vrijdag 29 september;397.3;335.8;61.5;38.5;10.7;4.5;10.0;16.4;9.1;16.6;3.7;3.5;4.5;4.0;4.1;5.5;3.1;4.2;4.3;5.8
22;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2001, vrijdag 28 september;400.8;339.1;61.7;37.2;11.7;4.0;8.2;16.8;11.1;16.5;4.2;4.0;4.9;4.3;4.5;5.7;3.2;4.5;4.9;6.3
23;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2002, vrijdag 27 september;415.8;350.0;65.7;39.9;13.5;6.0;8.4;16.1;12.5;16.5;4.4;4.2;5.2;4.7;5.0;6.7;3.4;4.6;5.2;6.6
24;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2003, vrijdag 26 september;408.8;345.4;63.4;37.2;11.8;7.0;7.0;15.4;13.6;15.7;4.3;4.2;5.3;4.7;4.8;6.3;3.3;4.7;5.4;6.7
25;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2004, vrijdag 24 september;405.7;340.7;65.0;38.5;11.4;9.2;6.8;15.2;14.5;15.2;4.1;3.9;5.4;4.8;4.9;6.2;3.4;4.8;5.4;6.7
26;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2005, vrijdag 30 september;411.7;344.3;67.4;40.0;10.7;9.5;8.0;16.2;15.6;15.4;4.5;4.3;5.4;4.9;5.0;6.2;3.5;4.9;5.6;6.8
27;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2006, vrijdag 29 september;443.3;362.8;80.6;43.7;10.1;8.4;8.5;21.1;24.0;17.3;4.9;4.6;6.3;5.4;5.7;6.5;3.8;5.5;6.9;8.1
28;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2007, vrijdag 28 september;451.6;370.4;81.2;40.1;10.4;6.2;7.4;20.1;;17.7;4.8;4.5;6.2;4.8;5.0;6.4;3.7;4.7;;8.0
29;Totaal mannen en vrouwen;0;0;50 tot 100 SV-dagen;2008, vrijdag 26 september;456.8;376.9;79.9;35.5;10.1;4.6;6.6;16.9;30.9;18.0;4.8;4.5;6.6;5.1;5.3;6.8;3.7;5.2;7.4;8.1
30;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;1999, vrijdag 24 september;1050.6;895.5;155.1;103.8;31.5;17.8;16.3;46.9;16.3;40.3;9.6;9.6;9.7;8.9;9.6;10.2;5.6;9.0;9.1;12.2
31;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2000, vrijdag 29 september;1088.0;935.6;152.3;97.6;34.2;13.2;14.2;44.7;18.5;41.7;10.2;10.1;10.4;9.3;10.0;10.7;5.8;9.6;9.6;13.3
32;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2001, vrijdag 28 september;1146.8;990.8;156.0;96.7;38.1;10.8;12.7;44.6;23.2;42.6;11.2;11.1;11.4;10.4;11.1;11.4;6.1;10.7;11.0;14.3
33;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2002, vrijdag 27 september;1227.4;1063.2;164.2;101.7;43.0;14.1;12.5;43.3;26.6;42.6;11.8;11.8;12.0;11.1;11.7;12.9;6.3;11.3;11.6;14.8
34;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2003, vrijdag 26 september;1271.2;1104.0;167.3;101.8;42.0;17.4;11.5;43.0;30.0;42.7;12.3;12.3;12.3;11.4;12.1;12.5;6.4;11.7;11.8;15.0
35;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2004, vrijdag 24 september;1320.3;1148.1;172.2;104.5;42.5;20.8;10.8;43.2;33.7;41.5;12.9;13.0;12.8;11.8;12.5;12.3;6.3;12.3;12.6;15.6
36;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2005, vrijdag 30 september;1351.9;1175.5;176.3;104.6;38.4;21.5;11.2;46.5;36.1;43.7;12.9;12.9;13.0;11.9;12.4;12.6;6.2;12.6;12.8;15.9
37;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2006, vrijdag 29 september;1458.1;1242.0;216.1;120.1;37.6;20.3;11.9;63.4;51.6;54.9;13.8;13.6;14.5;12.6;13.2;13.2;6.6;13.1;15.2;18.4
38;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2007, vrijdag 28 september;1500.6;1285.4;215.2;111.0;38.6;15.8;11.0;57.5;;56.8;14.0;13.9;14.5;12.2;12.8;13.5;6.7;12.4;;18.5
39;Totaal mannen en vrouwen;0;0;100 tot 200 SV-dagen;2008, vrijdag 26 september;1528.2;1312.0;216.2;105.5;38.9;13.7;10.2;52.7;64.6;57.5;14.4;14.2;15.3;13.0;13.5;14.5;6.8;13.4;15.8;19.1
40;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;1999, vrijdag 24 september;1265.0;1142.6;122.4;88.6;39.0;10.6;6.9;39.4;9.8;27.1;19.0;19.3;16.1;14.9;15.7;13.7;7.5;15.4;14.0;20.9
41;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2000, vrijdag 29 september;1329.3;1208.5;120.9;85.0;42.5;7.8;6.6;36.3;11.0;28.2;19.8;20.0;17.0;15.4;16.2;14.7;7.8;16.1;14.9;22.3
42;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2001, vrijdag 28 september;1314.0;1191.6;122.4;84.6;45.4;6.1;6.0;35.6;13.9;27.7;21.2;21.5;18.3;16.8;17.5;15.5;8.4;17.5;16.4;23.9
43;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2002, vrijdag 27 september;1356.4;1234.1;122.3;82.5;47.9;6.0;5.8;32.4;16.4;27.5;22.4;22.7;19.5;18.0;18.3;16.3;8.3;19.6;17.4;25.2
44;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2003, vrijdag 26 september;1365.5;1241.8;123.7;82.0;46.7;7.6;5.7;32.2;19.4;26.9;23.2;23.5;19.9;18.4;18.7;16.9;8.2;20.1;18.5;25.4
45;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2004, vrijdag 24 september;1341.3;1219.8;121.5;80.6;44.5;8.7;5.0;32.3;20.7;24.9;24.3;24.7;20.5;18.9;18.9;16.4;8.1;21.0;20.0;26.0
46;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2005, vrijdag 30 september;1326.9;1205.0;121.9;78.5;38.4;9.6;5.2;35.2;23.0;25.6;23.8;24.2;20.5;18.6;18.2;16.6;7.7;21.0;20.5;26.2
47;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2006, vrijdag 29 september;1804.7;1629.1;175.6;110.4;48.1;9.6;5.4;58.9;31.8;40.4;28.0;28.4;24.3;20.9;19.3;18.4;8.1;23.4;26.6;31.6
48;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2007, vrijdag 28 september;1536.7;1391.1;145.6;86.7;38.8;7.7;5.0;44.7;;35.3;26.2;26.6;22.8;19.4;18.5;19.0;8.3;21.4;;29.4
49;Totaal mannen en vrouwen;0;0;200 tot 260 SV-dagen;2008, vrijdag 26 september;1544.4;1400.5;144.0;82.2;37.3;6.8;4.7;41.1;32.5;35.6;26.9;27.2;23.9;20.5;19.1;20.9;8.5;23.0;25.7;30.3
50;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;1999, vrijdag 24 september;3875.6;3555.8;319.8;211.7;138.2;12.5;8.7;65.3;38.4;79.9;28.5;28.9;23.6;20.1;19.5;15.6;8.5;23.2;21.4;33.7
51;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2000, vrijdag 29 september;3923.1;3592.5;330.6;211.9;143.1;10.4;8.4;64.5;42.1;88.1;29.7;30.1;25.4;20.9;20.2;16.8;9.4;24.1;21.5;38.0
52;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2001, vrijdag 28 september;4022.4;3680.0;342.5;218.4;149.4;8.9;8.2;67.7;49.3;88.2;31.8;32.3;27.2;22.6;21.7;17.8;9.9;25.9;22.9;40.6
53;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2002, vrijdag 27 september;3938.7;3603.2;335.6;210.1;147.8;8.9;7.2;63.4;56.3;83.2;33.0;33.5;27.8;23.4;22.3;19.5;9.4;27.1;23.8;41.4
54;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2003, vrijdag 26 september;3863.2;3523.6;339.5;204.5;139.5;11.0;7.0;64.4;69.4;81.6;34.0;34.5;28.5;24.2;22.6;20.8;9.3;28.7;26.1;41.2
55;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2004, vrijdag 24 september;3755.0;3446.5;308.5;188.1;125.7;10.9;6.5;62.0;66.5;68.4;34.6;35.3;27.5;23.7;22.1;18.0;8.6;28.5;24.4;40.4
56;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2005, vrijdag 30 september;3744.3;3422.1;322.2;182.1;115.3;12.1;5.6;70.5;82.1;74.8;35.6;36.3;28.7;24.3;21.6;19.7;8.5;29.1;27.3;40.6
57;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2006, vrijdag 29 september;3205.0;2947.7;257.3;149.6;85.4;8.6;4.5;65.6;49.9;69.8;38.5;39.1;32.4;26.3;22.4;21.7;9.1;32.0;33.2;44.7
58;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2007, vrijdag 28 september;3658.6;3360.1;298.5;175.2;102.5;8.7;4.7;79.1;;77.0;39.6;40.3;32.4;26.2;22.2;23.6;9.0;31.9;;44.0
59;Totaal mannen en vrouwen;0;0;260 of meer SV-dagen;2008, vrijdag 26 september;3704.0;3426.4;277.6;145.6;87.3;5.6;4.0;59.9;67.0;78.7;41.1;41.7;33.9;26.9;22.6;22.8;9.2;33.9;35.4;44.7
60;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;1999, vrijdag 24 september;133.4;115.5;18.0;6.9;3.1;0.9;0.9;2.4;4.1;7.7;12.7;13.2;10.0;9.4;11.4;9.0;3.9;8.9;3.7;13.7
61;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2000, vrijdag 29 september;135.5;117.1;18.4;7.1;3.3;0.8;1.0;2.4;4.7;7.4;13.3;13.8;10.3;9.8;11.8;10.1;3.5;9.3;4.0;14.6
62;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2001, vrijdag 28 september;127.9;110.8;17.1;6.2;3.2;0.5;0.6;2.3;4.7;6.9;14.2;14.7;11.1;10.8;12.5;9.1;5.2;10.1;4.6;15.7
63;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2002, vrijdag 27 september;126.9;109.5;17.4;6.3;3.4;0.6;0.6;2.2;5.3;6.6;14.9;15.5;11.5;11.7;13.0;10.4;5.0;11.6;4.9;16.6
64;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2003, vrijdag 26 september;124.8;107.4;17.4;6.0;3.1;0.6;0.6;2.2;5.8;6.4;15.7;16.3;11.6;12.0;13.6;11.3;4.2;11.6;5.1;17.0
65;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2004, vrijdag 24 september;124.2;106.4;17.8;6.1;3.1;0.7;0.5;2.2;6.5;6.1;15.7;16.5;11.2;11.8;13.1;9.6;4.0;12.2;5.5;16.5
66;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2005, vrijdag 30 september;119.5;102.3;17.2;5.8;2.8;0.6;0.5;2.6;6.7;5.7;15.6;16.3;11.0;10.9;11.7;8.9;3.2;12.4;5.7;17.1
67;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2006, vrijdag 29 september;118.2;99.9;18.3;5.8;2.3;0.5;0.5;2.9;7.4;6.2;16.4;17.3;11.9;12.1;12.2;9.3;3.4;14.0;5.8;18.8
68;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2007, vrijdag 28 september;114.7;97.4;17.3;5.5;2.5;0.4;0.3;2.8;;6.0;17.6;18.4;13.3;13.8;13.9;10.1;4.0;15.6;;20.4
69;Totaal mannen en vrouwen;0;1;Totaal SV-dagen;2008, vrijdag 26 september;111.3;94.2;17.1;5.1;2.4;0.3;0.3;2.6;7.3;5.8;18.7;19.5;14.0;14.8;13.8;13.0;4.5;17.3;7.2;21.3
70;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;1999, vrijdag 24 september;19.6;16.2;3.4;1.0;0.2;0.1;0.3;0.4;2.1;0.5;0.8;0.8;0.9;0.9;0.9;1.3;0.9;0.9;0.8;1.3
71;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2000, vrijdag 29 september;19.1;15.4;3.7;1.0;0.3;0.1;0.3;0.4;2.4;0.4;0.8;0.8;1.0;0.9;1.0;1.4;0.8;0.9;0.9;1.4
72;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2001, vrijdag 28 september;16.5;13.3;3.2;0.7;0.2;0.0;0.2;0.3;2.3;0.3;0.8;0.8;1.0;1.0;1.0;;0.9;1.0;0.9;1.5
73;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2002, vrijdag 27 september;15.7;12.3;3.4;0.7;0.2;0.0;0.2;0.3;2.5;0.3;0.9;0.9;1.0;1.1;1.2;;1.0;1.1;0.9;1.5
74;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2003, vrijdag 26 september;15.1;11.4;3.7;0.8;0.2;0.1;0.2;0.3;2.7;0.3;0.9;0.9;1.0;1.2;1.3;2.0;1.0;1.2;1.0;1.4
75;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2004, vrijdag 24 september;14.3;10.5;3.9;0.7;0.2;0.1;0.2;0.3;2.9;0.4;1.0;0.9;1.2;1.3;1.5;1.9;1.0;1.1;1.1;1.9
76;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2005, vrijdag 30 september;10.4;6.9;3.5;0.6;0.2;0.1;0.2;0.2;2.8;0.3;0.8;0.7;1.0;0.9;0.9;1.1;0.8;0.9;1.0;1.4
77;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2006, vrijdag 29 september;15.8;10.7;5.0;0.9;0.2;0.1;0.3;0.4;4.0;0.4;1.0;0.9;1.2;1.2;1.4;1.4;0.9;1.3;1.2;1.9
78;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2007, vrijdag 28 september;13.5;9.5;4.0;0.6;0.2;0.1;0.1;0.3;;0.3;1.0;0.8;1.2;1.2;1.4;1.5;1.1;1.0;;1.7
79;Totaal mannen en vrouwen;0;1;0 tot 50 SV-dagen;2008, vrijdag 26 september;12.5;8.4;4.1;0.5;0.2;0.0;0.1;0.2;3.5;0.3;1.0;0.8;1.3;1.2;1.3;;0.9;1.2;1.2;1.9
80;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;1999, vrijdag 24 september;17.5;15.2;2.3;1.0;0.3;0.1;0.3;0.4;0.5;0.9;2.1;2.0;2.7;2.8;2.4;3.8;3.0;2.7;1.9;3.1
81;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2000, vrijdag 29 september;17.9;15.6;2.3;1.0;0.3;0.1;0.3;0.4;0.6;0.8;2.1;2.0;2.9;2.9;2.8;4.0;2.5;2.9;2.1;3.4
82;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2001, vrijdag 28 september;16.4;14.3;2.1;0.8;0.3;0.1;0.1;0.4;0.6;0.8;2.2;2.1;3.0;2.9;2.8;4.4;3.0;2.8;2.5;3.4
83;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2002, vrijdag 27 september;16.8;14.7;2.1;0.8;0.3;0.1;0.1;0.3;0.7;0.8;2.3;2.1;3.2;3.3;3.0;5.7;3.2;2.9;2.7;3.5
84;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2003, vrijdag 26 september;16.3;14.3;2.0;0.7;0.2;0.1;0.1;0.3;0.7;0.7;2.3;2.1;3.2;3.3;2.7;5.4;3.2;3.2;2.6;3.3
85;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2004, vrijdag 24 september;16.5;14.4;2.2;0.8;0.3;0.1;0.1;0.4;0.8;0.7;2.3;2.1;3.4;3.5;3.3;5.3;3.2;3.4;3.0;3.6
86;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2005, vrijdag 30 september;10.6;9.1;1.5;0.5;0.2;0.1;0.1;0.2;0.7;0.5;1.7;1.6;2.4;2.4;2.2;4.6;2.2;2.1;2.0;2.5
87;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2006, vrijdag 29 september;16.1;13.9;2.2;0.7;0.2;0.1;0.1;0.4;0.9;0.6;2.6;2.3;4.3;3.7;3.6;5.4;3.6;3.6;4.4;4.8
88;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2007, vrijdag 28 september;15.4;13.3;2.1;0.7;0.2;0.1;0.1;0.3;;0.6;2.6;2.4;4.4;3.8;3.9;5.9;3.5;3.4;;4.7
89;Totaal mannen en vrouwen;0;1;50 tot 100 SV-dagen;2008, vrijdag 26 september;14.7;12.7;2.0;0.6;0.2;0.0;0.0;0.3;1.0;0.6;2.8;2.5;4.5;3.6;3.2;;;3.6;4.7;4.9
90;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;1999, vrijdag 24 september;23.2;19.2;4.0;1.7;0.6;0.4;0.2;0.6;0.5;2.0;7.0;6.9;7.7;7.2;6.3;8.6;5.6;7.8;4.4;8.9
91;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2000, vrijdag 29 september;23.3;19.3;4.0;1.8;0.6;0.3;0.2;0.7;0.6;1.8;6.9;6.7;7.9;7.4;6.8;9.8;5.1;7.5;5.2;9.3
92;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2001, vrijdag 28 september;22.8;19.1;3.7;1.5;0.6;0.2;0.2;0.6;0.7;1.7;7.3;7.1;8.2;7.5;7.2;9.2;6.0;7.8;5.4;9.7
93;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2002, vrijdag 27 september;22.2;18.6;3.6;1.5;0.7;0.3;0.2;0.6;0.7;1.5;7.5;7.3;8.6;8.3;7.8;10.6;6.3;8.3;6.1;10.1
94;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2003, vrijdag 26 september;21.7;18.3;3.4;1.4;0.5;0.3;0.1;0.6;0.8;1.5;7.5;7.3;8.5;8.1;7.8;10.3;6.2;8.0;6.1;10.0
95;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2004, vrijdag 24 september;22.2;18.5;3.7;1.4;0.6;0.3;0.1;0.5;1.0;1.5;7.7;7.4;9.1;8.5;7.9;10.7;5.9;8.8;7.8;10.4
96;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2005, vrijdag 30 september;18.1;15.5;2.6;1.1;0.4;0.2;0.1;0.5;0.8;0.9;5.6;5.4;7.0;6.4;6.5;8.3;4.0;6.6;5.3;9.1
97;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2006, vrijdag 29 september;21.0;17.3;3.7;1.3;0.4;0.2;0.1;0.7;1.1;1.5;8.4;7.9;10.7;8.9;8.3;10.5;6.4;9.3;9.0;13.6
98;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2007, vrijdag 28 september;19.6;16.1;3.5;1.1;0.4;0.2;0.1;0.6;;1.4;8.7;8.1;11.3;9.1;8.6;10.6;6.4;9.3;;14.4
99;Totaal mannen en vrouwen;0;1;100 tot 200 SV-dagen;2008, vrijdag 26 september;18.9;15.5;3.4;1.1;0.4;0.2;0.1;0.5;1.3;1.3;9.3;8.7;11.9;9.9;9.1;12.5;6.7;10.2;10.8;14.5
100;Totaal mannen en vrouwen;0;1;200 tot 260 SV-dagen;1999, vrijdag 24 september;20.1;17.8;2.4;1.0;0.5;0.2;0.1;0.3;0.2;1.2;15.7;16.0;13.2;12.0;11.1;13.1;8.1;13.1;6.8;15.1
101;Totaal mannen en vrouwen;0;1;200 tot 260 SV-dagen;2000, vrijdag 29 september;20.9;18.5;2.4;1.0;0.5;0.2;0.1;0.3;0.3;1.2;16.5;16.9;13.5;12.7;11.8;14.7;8.4;13.9;7.3;15.3
102;Totaal mannen en vrouwen;0;1;200 tot 260 SV-dagen;2001, vrijdag 28 september;20.4;18.0;2.4;1.0;0.6;0.1;0.1;0.4;0.3;1.2;17.1;17.5;14.0;13.1;12.6;13.1;9.0;14.4;8.0;16.2
103;Totaal mannen en vrouwen;0;1;200 tot 260 SV-dagen;2002, vrijdag 27 september;18.9;16.6;2.2;0.9;0.5;0.1;0.1;0.3;0.3;1.1;17.7;18.2;14.6;13.8;13.3;13.1;9.2;15.5;8.2;17.0
104;Totaal mannen en vrouwen;0;1;200 tot 260 SV-dagen;2003, vrijdag 26 september;15.9;13.9;2.0;0.8;0.4;0.1;0.0;0.3;0.4;0.9;17.9;18.3;15.1;14.6;13.4;21.0;;14.9;8.6;17.7
