ID;Geslacht;Leeftijd;Perioden;TotaalPrivebezittingen_1;EigenWoning_2;TotaalFinancieel_3;BankEnSpaartegoeden_4;Effecten_5;Hypotheekschuld_6;Privevermogen_7;Ondernemingsvermogen_8;NagelatenVermogen_9;TotaalPrivebezittingen_10;EigenWoning_11;TotaalFinancieel_12;BankEnSpaartegoeden_13;Effecten_14;Hypotheekschuld_15;Privevermogen_16;Ondernemingsvermogen_17;NagelatenVermogen_18;TotaalPrivebezittingen_19;EigenWoning_20;TotaalFinancieel_21;BankEnSpaartegoeden_22;Effecten_23;Hypotheekschuld_24;Privevermogen_25;Ondernemingsvermogen_26;NagelatenVermogen_27;TotaalPrivebezittingen_28;EigenWoning_29;TotaalFinancieel_30;BankEnSpaartegoeden_31;Effecten_32;Hypotheekschuld_33;Privevermogen_34;Ondernemingsvermogen_35;NagelatenVermogen_36
44;Mannen;Totaal leeftijd;2007;53980;20020;53190;52980;8960;11860;54020;1960;54120;6573;3617;2956;1863;1093.0;775;5798;665.0;6463;122;181;56;35;122.0;65;107;339.0;119;36;145;15;13;23.0;41;30;69.0;31
45;Mannen;Totaal leeftijd;2008;55540;20470;54730;54530;8590;12260;55570;1980;55650;6768;3790;2978;2034;944.0;861;5907;860.0;6767;122;185;54;37;110.0;70;106;434.0;122;38;150;15;14;21.0;45;31;60.0;32
46;Mannen;Totaal leeftijd;2009;55840;21420;55000;54830;8550;12890;55870;1870;55950;6852;3908;2944;2058;886.0;901;5951;552.0;6503;123;182;54;38;104.0;70;107;296.0;116;43;150;15;14;19.0;47;33;54.0;34
47;Mannen;Totaal leeftijd;2010;59150;22950;58190;57910;9420;13270;59180;2020;59270;7691;4463;3228;2218;1010.0;970;6720;851.0;7572;130;194;55;38;107.0;73;114;422.0;128;43;154;16;14;21.0;47;33;50.0;34
48;Mannen;Totaal leeftijd;2011;59230;23420;58280;58090;9340;13320;59240;1810;59320;7593;4321;3273;2166;1107.0;980;6614;990.0;7603;128;184;56;37;118.0;74;112;547.0;128;41;150;15;13;20.0;48;29;32.0;29
49;Mannen;jonger dan 35 jaar;2005;690;150;670;660;70;150;690;30;700;28;20;8;7;1.0;19;9;;10;41;132;12;10;20.0;124;14;;14;5;114;3;3;4.0;97;3;;3
50;Mannen;jonger dan 35 jaar;2006;660;140;650;640;70;140;670;30;670;27;21;6;5;1.0;19;8;;10;40;145;9;8;13.0;131;13;;15;4;135;3;3;5.0;110;3;;3
51;Mannen;jonger dan 35 jaar;2007;680;150;660;650;80;150;680;30;680;30;23;6;5;1.0;20;10;;14;44;153;10;8;16.0;132;15;;20;5;124;3;3;4.0;107;3;;3
52;Mannen;jonger dan 35 jaar;2008;640;140;620;620;60;130;650;30;650;28;23;6;5;1.0;17;11;;13;44;169;9;8;9.0;134;18;;20;5;150;3;3;3.0;129;4;;4
53;Mannen;jonger dan 35 jaar;2009;630;130;610;610;50;130;630;20;630;24;19;6;5;;17;7;;8;38;138;9;9;;132;12;;12;5;132;3;3;;115;3;;4
54;Mannen;jonger dan 35 jaar;2010;780;140;770;760;50;130;780;20;780;25;19;6;6;;16;9;;9;32;138;8;7;;127;11;;12;3;122;2;2;;112;2;;2
55;Mannen;jonger dan 35 jaar;2011;760;130;740;740;30;130;760;30;770;24;18;5;5;;17;6;;7;31;137;7;7;;134;8;;9;4;122;2;2;;118;2;;2
56;Mannen;35 tot 50 jaar;2005;2020;1100;1940;1900;410;1050;2030;210;2040;217;173;44;30;13.0;99;118;31.0;148;107;157;23;16;33.0;94;58;147.0;73;89;130;5;4;8.0;68;23;15.0;25
57;Mannen;35 tot 50 jaar;2006;2030;1080;1930;1890;360;1010;2030;220;2040;208;169;39;30;9.0;92;116;42.0;158;102;156;20;16;26.0;91;57;195.0;78;83;132;5;4;8.0;74;24;26.0;26
58;Mannen;35 tot 50 jaar;2007;1930;1080;1830;1790;370;1010;1930;220;1950;247;184;63;34;29.0;113;134;65.0;199;128;171;35;19;79.0;112;69;300.0;102;96;140;6;5;8.0;85;24;17.0;26
59;Mannen;35 tot 50 jaar;2008;2050;1130;1930;1910;340;1080;2050;210;2070;233;189;44;34;9.0;129;104;29.0;134;114;168;23;18;28.0;120;51;138.0;65;96;145;5;4;7.0;90;21;21.0;23
60;Mannen;35 tot 50 jaar;2009;1950;1130;1800;1790;300;1060;1950;180;1960;241;195;47;35;11.0;132;109;30.0;139;124;172;26;20;39.0;125;56;169.0;71;102;144;5;5;5.0;94;22;17.0;22
61;Mannen;35 tot 50 jaar;2010;2130;1120;2010;1980;350;1020;2130;230;2160;247;193;54;39;16.0;125;122;40.0;163;116;173;27;19;45.0;122;57;175.0;75;85;144;5;4;6.0;94;16;8.0;16
62;Mannen;35 tot 50 jaar;2011;2180;1090;2080;2060;350;1010;2180;190;2190;233;180;53;32;21.0;124;109;16.0;125;107;166;25;16;59.0;123;50;83.0;57;70;142;4;3;7.0;97;10;9.0;11
63;Mannen;50 tot 65 jaar;2005;8160;4360;7890;7810;1770;3700;8170;730;8200;973;700;273;175;98.0;242;731;261.0;992;119;161;35;22;55.0;65;90;355.0;121;85;129;8;7;11.0;44;46;53.0;48
64;Mannen;50 tot 65 jaar;2006;8440;4590;8180;8110;1690;3900;8440;780;8490;1034;754;280;186;94.0;267;768;178.0;946;123;164;34;23;56.0;68;91;230.0;112;91;134;9;7;11.0;47;47;40.0;49
65;Mannen;50 tot 65 jaar;2007;8400;4750;8100;8040;1690;3980;8410;810;8460;1161;812;348;220;129.0;317;844;261.0;1104;138;171;43;27;76.0;80;100;321.0;131;101;140;10;8;14.0;52;53;50.0;56
66;Mannen;50 tot 65 jaar;2008;8780;4760;8490;8420;1550;4030;8790;810;8820;1189;837;352;229;123.0;349;840;253.0;1093;135;176;41;27;79.0;86;96;312.0;124;97;144;9;8;11.0;55;46;39.0;49
67;Mannen;50 tot 65 jaar;2009;8940;4870;8660;8600;1510;4210;8950;730;8990;1185;842;342;224;118.0;353;831;135.0;967;133;173;39;26;78.0;84;93;187.0;108;98;143;9;8;10.0;62;43;38.0;45
68;Mannen;50 tot 65 jaar;2010;9590;5120;9260;9200;1670;4170;9590;830;9630;1313;964;349;238;111.0;365;948;309.0;1258;137;188;38;26;66.0;87;99;375.0;131;92;148;8;7;10.0;60;42;35.0;43
69;Mannen;50 tot 65 jaar;2011;9470;4920;9170;9120;1600;4030;9480;750;9510;1222;850;372;228;144.0;362;860;158.0;1018;129;173;41;25;90.0;90;91;210.0;107;83;142;7;6;10.0;62;31;19.0;33
70;Mannen;65 tot 85 jaar;2005;32290;10640;31970;31850;5240;5410;32300;790;32330;3311;1807;1504;954;550.0;226;3085;248.0;3333;103;170;47;30;105.0;42;96;313.0;103;21;138;11;11;21.0;27;21;84.0;21
71;Mannen;65 tot 85 jaar;2006;32490;11310;32200;32100;5520;5860;32500;730;32510;3554;1994;1559;1000;559.0;275;3279;347.0;3626;109;176;48;31;101.0;47;101;476.0;112;25;143;11;11;23.0;28;23;96.0;24
72;Mannen;65 tot 85 jaar;2007;31820;11700;31500;31420;5120;6110;31840;810;31870;3759;2088;1670;1086;585.0;294;3465;292.0;3757;118;178;53;35;114.0;48;109;361.0;118;32;145;15;13;24.0;32;30;104.0;31
73;Mannen;65 tot 85 jaar;2008;32190;11950;31870;31790;4920;6360;32210;820;32230;3864;2177;1687;1149;539.0;334;3530;505.0;4035;120;182;53;36;110.0;52;110;617.0;125;35;148;15;14;22.0;34;33;112.0;33
74;Mannen;65 tot 85 jaar;2009;32180;12600;31840;31780;4900;6720;32190;830;32220;3952;2276;1677;1175;502.0;359;3594;270.0;3864;123;181;53;37;102.0;53;112;325.0;120;41;149;15;14;20.0;36;36;76.0;37
75;Mannen;65 tot 85 jaar;2010;33480;13310;33070;32930;5230;7090;33500;830;33520;4281;2538;1743;1215;528.0;409;3872;406.0;4278;128;191;53;37;101.0;58;116;488.0;128;41;152;15;14;21.0;37;35;79.0;36
76;Mannen;65 tot 85 jaar;2011;33400;13830;32950;32850;5200;7260;33410;730;33440;4276;2525;1752;1180;572.0;431;3845;738.0;4583;128;183;53;36;110.0;59;115;1014.0;137;41;149;14;13;21.0;38;33;67.0;34
77;Mannen;85 jaar of ouder;2005;9950;1730;9910;9890;1500;440;9950;90;9950;1046;359;687;418;269.0;17;1030;76.0;1106;105;208;69;42;180.0;38;103;873.0;111;20;160;17;15;44.0;22;20;173.0;20
78;Mannen;85 jaar of ouder;2006;10870;2070;10820;10800;1730;510;10870;90;10870;1315;438;877;497;381.0;21;1295;61.0;1356;121;212;81;46;220.0;41;119;664.0;125;23;165;19;17;48.0;24;23;115.0;23
79;Mannen;85 jaar of ouder;2007;11160;2340;11110;11080;1710;600;11160;90;11160;1377;509;868;519;349.0;31;1346;43.0;1390;123;217;78;47;204.0;52;121;467.0;125;25;170;21;20;49.0;25;25;147.0;25
80;Mannen;85 jaar of ouder;2008;11880;2500;11820;11800;1730;660;11880;110;11890;1453;563;890;617;273.0;32;1421;71.0;1493;122;226;75;52;158.0;49;120;626.0;126;27;175;22;21;43.0;26;27;102.0;27
81;Mannen;85 jaar of ouder;2009;12140;2690;12080;12060;1800;780;12140;110;12150;1450;577;873;618;254.0;41;1409;116.0;1525;119;215;72;51;141.0;52;116;1094.0;126;30;171;23;22;39.0;30;30;170.0;30
82;Mannen;85 jaar of ouder;2010;13170;3260;13090;13040;2120;860;13180;110;13180;1825;749;1076;721;355.0;56;1769;95.0;1864;139;230;82;55;168.0;65;134;875.0;141;33;184;24;22;46.0;29;32;172.0;33
83;Mannen;85 jaar of ouder;2011;13410;3460;13340;13310;2160;900;13420;110;13420;1838;747;1090;721;370.0;45;1792;77.0;1870;137;216;82;54;171.0;50;134;698.0;139;31;172;22;22;41.0;31;30;116.0;30
84;Vrouwen;Totaal leeftijd;2005;51020;10850;50500;50290;6730;5630;51030;780;51070;4769;2094;2674;1713;961.0;311;4457;205.0;4663;93;193;53;34;143.0;55;87;265.0;91;18;157;13;12;31.0;37;18;68.0;18
85;Vrouwen;Totaal leeftijd;2006;53810;11730;53390;53200;7100;6240;53820;870;53850;5310;2352;2958;1919;1039.0;376;4934;315.0;5249;99;200;55;36;146.0;60;92;360.0;97;20;164;15;13;35.0;41;20;83.0;20
86;Vrouwen;Totaal leeftijd;2007;52120;11870;51670;51510;6870;6370;52140;850;52170;5557;2523;3034;2002;1032.0;421;5136;289.0;5425;107;213;59;39;150.0;66;99;342.0;104;23;173;16;15;38.0;44;22;56.0;22
87;Vrouwen;Totaal leeftijd;2008;55320;12780;54820;54680;6850;6750;55340;880;55370;5916;2702;3214;2270;944.0;457;5459;309.0;5768;107;211;59;42;138.0;68;99;353.0;104;23;174;17;16;34.0;45;23;82.0;23
88;Vrouwen;Totaal leeftijd;2009;54310;12840;53810;53690;6530;6830;54320;920;54350;5770;2651;3119;2310;810.0;481;5289;247.0;5536;106;206;58;43;124.0;70;97;267.0;102;24;172;18;16;31.0;48;24;67.0;24
89;Vrouwen;Totaal leeftijd;2010;57100;13690;56500;56300;7180;6800;57110;1020;57150;6622;3172;3450;2475;975.0;512;6110;338.0;6449;116;232;61;44;136.0;75;107;331.0;113;24;191;18;17;31.0;49;24;50.0;24
90;Vrouwen;Totaal leeftijd;2011;58380;13620;57810;57630;7180;6470;58390;890;58440;6585;3113;3472;2519;953.0;496;6088;205.0;6293;113;229;60;44;133.0;77;104;230.0;108;24;190;18;17;31.0;50;24;38.0;24
91;Vrouwen;jonger dan 35 jaar;2005;440;80;430;430;40;80;440;10;440;14;11;3;3;;9;5;;5;32;143;7;6;;118;12;;11;4;125;3;2;;104;3;;3
92;Vrouwen;jonger dan 35 jaar;2006;420;80;410;400;40;80;420;10;420;16;12;4;3;;9;7;;8;37;143;10;8;;108;17;;18;4;120;3;3;;102;3;;3
93;Vrouwen;jonger dan 35 jaar;2007;390;70;390;380;30;70;390;10;390;17;11;6;4;;10;7;;7;43;157;15;10;;148;18;;19;5;134;4;3;;131;4;;4
94;Vrouwen;jonger dan 35 jaar;2008;400;60;390;390;30;60;400;10;400;13;10;3;2;;8;5;;5;32;158;7;6;;128;12;;12;4;125;3;3;;122;3;;3
95;Vrouwen;jonger dan 35 jaar;2009;400;60;380;380;20;60;400;10;400;12;9;3;3;;7;5;;5;30;142;8;8;;117;12;;13;4;129;3;3;;112;3;;3
96;Vrouwen;jonger dan 35 jaar;2010;430;60;420;420;20;50;430;10;430;13;9;4;3;;8;5;;5;31;158;9;8;;154;12;;12;3;136;3;3;;133;2;;2
97;Vrouwen;jonger dan 35 jaar;2011;440;50;440;430;20;50;440;10;440;12;8;4;3;;7;5;;6;27;149;8;8;;135;11;;13;3;137;2;2;;129;2;;2
98;Vrouwen;35 tot 50 jaar;2005;1550;780;1500;1490;250;740;1550;120;1560;145;118;27;20;7.0;59;86;13.0;99;93;152;18;13;28.0;79;55;109.0;63;62;125;5;4;9.0;62;20;28.0;22
99;Vrouwen;35 tot 50 jaar;2006;1480;790;1420;1410;250;720;1480;120;1490;155;125;31;22;9.0;62;94;26.0;120;105;158;22;15;35.0;85;63;216.0;81;87;135;5;5;10.0;65;25;24.0;26
100;Vrouwen;35 tot 50 jaar;2007;1410;700;1350;1340;210;660;1410;120;1420;151;118;33;23;10.0;62;88;19.0;108;107;168;24;17;47.0;94;63;159.0;76;71;140;5;5;9.0;73;20;19.0;21
101;Vrouwen;35 tot 50 jaar;2008;1480;710;1410;1410;200;670;1490;100;1490;150;118;31;26;5.0;63;86;14.0;100;101;166;22;18;27.0;94;58;137.0;67;65;145;6;5;9.0;75;22;21.0;22
102;Vrouwen;35 tot 50 jaar;2009;1470;710;1410;1400;210;650;1470;120;1480;152;119;33;26;7.0;69;83;16.0;99;103;169;23;19;33.0;107;56;131.0;67;60;150;6;5;6.0;90;19;18.0;20
103;Vrouwen;35 tot 50 jaar;2010;1500;590;1450;1440;230;530;1500;140;1510;146;107;38;25;14.0;60;86;15.0;101;97;183;26;17;59.0;113;57;108.0;67;17;156;5;4;7.0;83;10;17.0;11
104;Vrouwen;35 tot 50 jaar;2011;1610;570;1560;1550;210;510;1610;130;1620;143;105;38;25;13.0;64;78;14.0;93;89;183;24;16;60.0;125;49;111.0;57;12;161;4;3;8.0;98;6;15.0;6
105;Vrouwen;50 tot 65 jaar;2005;4610;2430;4480;4420;950;1970;4610;310;4630;594;406;188;107;81.0;120;475;71.0;546;129;167;42;24;85.0;61;103;232.0;118;87;139;9;8;13.0;42;50;57.0;52
106;Vrouwen;50 tot 65 jaar;2006;5010;2710;4880;4850;940;2210;5010;370;5020;631;461;170;115;55.0;147;484;112.0;596;126;170;35;24;58.0;67;97;305.0;119;95;142;10;8;14.0;46;53;64.0;56
107;Vrouwen;50 tot 65 jaar;2007;4980;2660;4850;4820;970;2220;4990;350;5010;684;481;202;131;72.0;161;523;92.0;615;137;181;42;27;74.0;73;105;267.0;123;96;150;10;9;15.0;51;52;41.0;53
108;Vrouwen;50 tot 65 jaar;2008;5370;2870;5210;5180;940;2380;5380;370;5390;710;512;198;139;59.0;178;531;71.0;602;132;178;38;27;63.0;75;99;192.0;112;99;150;10;9;13.0;51;53;37.0;55
109;Vrouwen;50 tot 65 jaar;2009;5390;2790;5240;5210;880;2310;5390;360;5410;699;494;205;152;53.0;180;519;69.0;588;130;177;39;29;60.0;78;96;191.0;109;92;150;10;9;10.0;57;48;40.0;50
110;Vrouwen;50 tot 65 jaar;2010;5750;2720;5570;5540;950;2120;5750;410;5770;773;534;239;170;70.0;180;593;133.0;727;135;197;43;31;73.0;85;103;324.0;126;70;167;9;8;14.0;59;37;39.0;40
111;Vrouwen;50 tot 65 jaar;2011;5820;2320;5680;5650;920;1810;5820;350;5850;687;462;225;148;76.0;165;522;55.0;577;118;199;40;26;83.0;91;90;155.0;99;22;171;7;6;12.0;65;17;29.0;18
112;Vrouwen;65 tot 85 jaar;2005;23210;5610;22970;22870;3180;2430;23220;270;23230;2331;1108;1223;803;420.0;104;2227;100.0;2327;100;198;53;35;132.0;43;96;370.0;100;20;163;14;13;31.0;27;20;101.0;20
113;Vrouwen;65 tot 85 jaar;2006;24070;6040;23910;23820;3360;2770;24080;300;24080;2566;1237;1328;876;453.0;135;2430;112.0;2542;107;205;56;37;135.0;49;101;377.0;106;22;170;15;14;34.0;31;22;108.0;22
