ID;LeeftijdExactVanDeVrouw;Perioden;TotaalVrouwen_1;PilOfPrikpil_2;SterilisatieVrouw_3;SterilisatiePartner_4;Spiraaltje_5;Condoom_6;OverigeAnticonceptiemethoden_7;ZwangerOfWilZwangerWorden_8;VruchtbaarGeenAnticonceptie_9;Onvruchtbaar_10;TotaalVrouwenMetEenHeterorelatie_11;PilOfPrikpil_12;SterilisatieVrouw_13;SterilisatiePartner_14;Spiraaltje_15;Condoom_16;OverigeAnticonceptiemethoden_17;ZwangerOfWilZwangerWorden_18;VruchtbaarGeenAnticonceptie_19;Onvruchtbaar_20;TotaalVrouwenZonderHeterorelatie_21;PilOfPrikpil_22;SterilisatieVrouw_23;Spiraaltje_24;Condoom_25;OverigeAnticonceptiemethoden_26;ZwangerOfWilZwangerWorden_27;VruchtbaarGeenAnticonceptie_28;Onvruchtbaar_29
17;25 tot 30 jaar;2003;397.0;56.0;1.0;0.0;5.0;7.0;2.0;15.0;12.0;2.0;311.0;57.0;1.0;0.0;6.0;8.0;2.0;19.0;5.0;2.0;86.0;52.0;0.0;3.0;4.0;1.0;0.0;36.0;4.0
18;25 tot 30 jaar;2008;374.0;51.0;0.0;1.0;8.0;8.0;3.0;14.0;14.0;1.0;273.0;54.0;0.0;1.0;7.0;8.0;5.0;18.0;6.0;2.0;101.0;44.0;0.0;10.0;7.0;0.0;1.0;39.0;0.0
19;25 tot 30 jaar;2013;435.0;48.0;0.0;0.0;14.0;10.0;4.0;11.0;12.0;1.0;330.0;48.0;0.0;1.0;13.0;11.0;5.0;14.0;7.0;2.0;104.0;44.0;0.0;15.0;8.0;1.0;0.0;31.0;0.0
20;30 tot 35 jaar;1993;946.0;41.0;3.0;9.0;5.0;11.0;2.0;15.0;10.0;5.0;832.0;41.0;3.0;10.0;5.0;11.0;2.0;17.0;5.0;5.0;115.0;36.0;3.0;2.0;11.0;3.0;0.0;43.0;3.0
21;30 tot 35 jaar;1998;875.0;47.0;2.0;4.0;3.0;10.0;1.0;14.0;16.0;3.0;732.0;49.0;2.0;5.0;3.0;11.0;1.0;17.0;9.0;3.0;143.0;32.0;2.0;1.0;7.0;0.0;2.0;53.0;3.0
22;30 tot 35 jaar;2003;502.0;39.0;1.0;3.0;5.0;10.0;2.0;19.0;18.0;4.0;415.0;41.0;1.0;4.0;6.0;12.0;2.0;22.0;10.0;3.0;87.0;28.0;1.0;3.0;2.0;2.0;0.0;54.0;9.0
23;30 tot 35 jaar;2008;405.0;39.0;1.0;3.0;10.0;14.0;1.0;15.0;13.0;4.0;335.0;39.0;1.0;4.0;10.0;16.0;2.0;18.0;6.0;4.0;70.0;36.0;0.0;7.0;6.0;1.0;0.0;46.0;4.0
24;30 tot 35 jaar;2013;409.0;27.0;1.0;3.0;11.0;14.0;5.0;17.0;18.0;4.0;339.0;26.0;1.0;3.0;12.0;14.0;5.0;21.0;13.0;4.0;71.0;32.0;0.0;6.0;14.0;3.0;1.0;39.0;3.0
25;35 tot 40 jaar;1993;867.0;28.0;9.0;20.0;5.0;8.0;4.0;6.0;11.0;9.0;758.0;28.0;9.0;23.0;6.0;8.0;4.0;7.0;7.0;10.0;109.0;29.0;7.0;2.0;10.0;6.0;0.0;41.0;6.0
26;35 tot 40 jaar;1998;841.0;36.0;7.0;13.0;4.0;6.0;2.0;7.0;18.0;7.0;706.0;40.0;7.0;16.0;4.0;8.0;1.0;8.0;10.0;7.0;136.0;14.0;8.0;1.0;0.0;2.0;2.0;65.0;8.0
27;35 tot 40 jaar;2003;489.0;30.0;5.0;13.0;6.0;9.0;2.0;8.0;16.0;11.0;410.0;31.0;6.0;16.0;7.0;11.0;2.0;9.0;8.0;11.0;79.0;25.0;5.0;0.0;3.0;0.0;0.0;54.0;13.0
28;35 tot 40 jaar;2008;419.0;29.0;4.0;10.0;12.0;11.0;4.0;7.0;13.0;10.0;355.0;31.0;3.0;11.0;13.0;12.0;3.0;9.0;9.0;9.0;62.0;21.0;5.0;8.0;7.0;5.0;0.0;39.0;13.0
29;35 tot 40 jaar;2013;409.0;25.0;5.0;8.0;17.0;10.0;1.0;10.0;14.0;10.0;345.0;24.0;5.0;10.0;19.0;10.0;1.0;11.0;12.0;8.0;63.0;27.0;5.0;3.0;6.0;0.0;3.0;30.0;24.0
30;40 tot 45 jaar;1993;553.0;17.0;16.0;22.0;4.0;6.0;5.0;2.0;11.0;16.0;484.0;18.0;17.0;25.0;5.0;6.0;6.0;2.0;5.0;16.0;69.0;9.0;14.0;0.0;9.0;1.0;0.0;54.0;13.0
31;40 tot 45 jaar;1998;757.0;21.0;13.0;19.0;4.0;7.0;2.0;1.0;17.0;16.0;638.0;23.0;14.0;22.0;4.0;8.0;2.0;1.0;10.0;16.0;119.0;13.0;7.0;4.0;1.0;2.0;0.0;58.0;14.0
32;40 tot 45 jaar;2003;514.0;23.0;9.0;19.0;6.0;7.0;2.0;1.0;15.0;18.0;426.0;26.0;10.0;23.0;5.0;8.0;2.0;1.0;7.0;17.0;88.0;9.0;7.0;8.0;0.0;3.0;0.0;50.0;22.0
33;40 tot 45 jaar;2008;502.0;20.0;7.0;18.0;10.0;6.0;2.0;1.0;14.0;22.0;412.0;21.0;8.0;22.0;11.0;7.0;2.0;2.0;8.0;21.0;90.0;19.0;2.0;3.0;6.0;0.0;0.0;41.0;29.0
34;40 tot 45 jaar;2013;595.0;21.0;7.0;11.0;14.0;8.0;1.0;2.0;11.0;24.0;498.0;23.0;6.0;13.0;17.0;8.0;1.0;3.0;9.0;20.0;94.0;14.0;12.0;0.0;9.0;0.0;0.0;26.0;40.0
35;45 tot 50 jaar;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;45 tot 50 jaar;1998;764.0;14.0;20.0;13.0;2.0;5.0;1.0;0.0;14.0;31.0;623.0;15.0;21.0;16.0;2.0;6.0;1.0;0.0;8.0;30.0;141.0;10.0;13.0;0.0;0.0;2.0;0.0;43.0;33.0
37;45 tot 50 jaar;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;45 tot 50 jaar;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;45 tot 50 jaar;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
