ID;Geslacht;Leeftijd;Opleidingsniveau;Herkomstgroepering;Generatie;Perioden;TotaalEducatietypen_1;SocialeRedzaamheid_2;ProfessioneleRedzaamheidGekwalificeerd_3;ProfessioneleRedzaamheidOngekwalific_4;EducatieveRedzaamheidAlleenNiveau4_5;AlfabetiseringInclusiefOverig_6;TotaalEducatietypen_7;SocialeRedzaamheid_8;ProfessioneleRedzaamheidGekwalificeerd_9;ProfessioneleRedzaamheidOngekwalific_10;EducatieveRedzaamheidAlleenNiveau4_11;AlfabetiseringInclusiefOverig_12
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2010/'11;18791.0;8167.0;689.0;7485.0;245.0;2205.0;24027.0;10400.0;772.0;9191.0;399.0;3265.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2011/'12;16096.0;6513.0;627.0;6567.0;256.0;2133.0;21048.0;8527.0;737.0;8647.0;277.0;2860.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2012/'13;14955.0;5409.0;698.0;6922.0;170.0;1756.0;20022.0;7482.0;1057.0;9079.0;208.0;2196.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2013/'14;15647.0;5331.0;925.0;6884.0;261.0;2246.0;20928.0;6654.0;1268.0;8090.0;435.0;4481.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2014/'15;14987.0;4868.0;933.0;5836.0;293.0;3057.0;15429.0;5016.0;948.0;5943.0;298.0;3224.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2006/'07;798.0;564.0;46.0;160.0;28.0;;1367.0;966.0;60.0;300.0;41.0;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2007/'08;807.0;616.0;25.0;140.0;26.0;0.0;1468.0;1121.0;40.0;268.0;39.0;0.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2008/'09;896.0;704.0;27.0;157.0;8.0;0.0;1848.0;1452.0;48.0;335.0;12.0;1.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2009/'10;953.0;789.0;31.0;128.0;4.0;1.0;1886.0;1498.0;49.0;329.0;9.0;1.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2010/'11;651.0;534.0;23.0;89.0;5.0;0.0;1019.0;841.0;26.0;147.0;5.0;0.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2011/'12;493.0;391.0;13.0;82.0;6.0;1.0;755.0;556.0;19.0;171.0;7.0;2.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2012/'13;447.0;323.0;15.0;104.0;4.0;1.0;678.0;474.0;28.0;166.0;5.0;5.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2013/'14;439.0;294.0;16.0;100.0;4.0;25.0;638.0;357.0;20.0;153.0;7.0;101.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 2e generatie;2014/'15;386.0;241.0;16.0;92.0;6.0;31.0;402.0;247.0;16.0;95.0;6.0;38.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2006/'07;9732.0;8276.0;48.0;1342.0;66.0;;19218.0;16099.0;96.0;2830.0;193.0;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2007/'08;10573.0;9092.0;84.0;1340.0;57.0;0.0;21456.0;18194.0;186.0;2962.0;110.0;4.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2008/'09;12496.0;10767.0;88.0;1614.0;18.0;9.0;26846.0;23096.0;196.0;3463.0;55.0;36.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2009/'10;13562.0;11968.0;132.0;1400.0;31.0;31.0;25671.0;21991.0;256.0;3311.0;75.0;38.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2010/'11;9024.0;7879.0;96.0;1017.0;11.0;21.0;14609.0;12723.0;127.0;1700.0;21.0;38.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2011/'12;6048.0;5131.0;32.0;854.0;19.0;12.0;8764.0;7377.0;46.0;1286.0;40.0;15.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2012/'13;4984.0;4130.0;14.0;808.0;16.0;16.0;6480.0;5276.0;44.0;1096.0;28.0;36.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2013/'14;4281.0;3386.0;30.0;701.0;10.0;154.0;5338.0;3719.0;48.0;999.0;14.0;558.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Autochtoon of generatie onbekend;2014/'15;3929.0;3079.0;16.0;576.0;12.0;246.0;4019.0;3115.0;17.0;584.0;12.0;291.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2006/'07;9334.0;8115.0;40.0;1132.0;47.0;;18559.0;15836.0;86.0;2480.0;157.0;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2007/'08;10257.0;8968.0;65.0;1178.0;46.0;0.0;20971.0;17993.0;163.0;2720.0;95.0;0.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2008/'09;12274.0;10667.0;79.0;1513.0;14.0;1.0;26446.0;22898.0;184.0;3311.0;50.0;3.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2009/'10;13278.0;11828.0;127.0;1296.0;24.0;3.0;25270.0;21785.0;251.0;3162.0;67.0;5.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2010/'11;8841.0;7778.0;92.0;962.0;5.0;4.0;14368.0;12590.0;122.0;1636.0;14.0;6.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2011/'12;5943.0;5073.0;28.0;823.0;15.0;4.0;8624.0;7299.0;40.0;1245.0;36.0;4.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2012/'13;4861.0;4072.0;10.0;764.0;12.0;3.0;6309.0;5192.0;30.0;1044.0;24.0;19.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2013/'14;4124.0;3306.0;20.0;653.0;6.0;139.0;5049.0;3609.0;23.0;920.0;8.0;489.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Totaal generatie;2014/'15;3765.0;3008.0;9.0;527.0;7.0;214.0;3847.0;3038.0;9.0;535.0;7.0;258.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2006/'07;;;;;;;;;;;;
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2007/'08;;;;;;;;;;;;
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2008/'09;;;;;;;;;;;;
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2009/'10;;;;;;;;;;;;
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2010/'11;;;;;;;;;;;;
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2011/'12;;;;;;;;;;;;
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2012/'13;;;;;;;;;;;;
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2013/'14;;;;;;;;;;;;
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 1e generatie;2014/'15;;;;;;;;;;;;
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2006/'07;;;;;;;;;;;;
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2007/'08;;;;;;;;;;;;
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2008/'09;;;;;;;;;;;;
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2009/'10;;;;;;;;;;;;
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2010/'11;;;;;;;;;;;;
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2011/'12;;;;;;;;;;;;
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2012/'13;;;;;;;;;;;;
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2013/'14;;;;;;;;;;;;
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Allochtoon, 2e generatie;2014/'15;;;;;;;;;;;;
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2006/'07;9334.0;8115.0;40.0;1132.0;47.0;;18559.0;15836.0;86.0;2480.0;157.0;
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2007/'08;10257.0;8968.0;65.0;1178.0;46.0;0.0;20971.0;17993.0;163.0;2720.0;95.0;0.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2008/'09;12274.0;10667.0;79.0;1513.0;14.0;1.0;26446.0;22898.0;184.0;3311.0;50.0;3.0
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2009/'10;13278.0;11828.0;127.0;1296.0;24.0;3.0;25270.0;21785.0;251.0;3162.0;67.0;5.0
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2010/'11;8841.0;7778.0;92.0;962.0;5.0;4.0;14368.0;12590.0;122.0;1636.0;14.0;6.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2011/'12;5943.0;5073.0;28.0;823.0;15.0;4.0;8624.0;7299.0;40.0;1245.0;36.0;4.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2012/'13;4861.0;4072.0;10.0;764.0;12.0;3.0;6309.0;5192.0;30.0;1044.0;24.0;19.0
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2013/'14;4124.0;3306.0;20.0;653.0;6.0;139.0;5049.0;3609.0;23.0;920.0;8.0;489.0
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Autochtoon;Autochtoon of generatie onbekend;2014/'15;3765.0;3008.0;9.0;527.0;7.0;214.0;3847.0;3038.0;9.0;535.0;7.0;258.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2006/'07;38542.0;14744.0;1797.0;20764.0;1237.0;;52324.0;20179.0;2177.0;28296.0;1672.0;
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2007/'08;27022.0;10698.0;1344.0;14176.0;752.0;52.0;36957.0;15627.0;1664.0;18353.0;906.0;407.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2008/'09;24076.0;10250.0;911.0;11495.0;330.0;1090.0;35568.0;16143.0;1137.0;15774.0;464.0;2050.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2009/'10;22926.0;11022.0;781.0;8638.0;288.0;2197.0;33427.0;16040.0;921.0;12562.0;434.0;3470.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2010/'11;19442.0;8701.0;712.0;7574.0;250.0;2205.0;25046.0;11241.0;798.0;9338.0;404.0;3265.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2011/'12;16589.0;6904.0;640.0;6649.0;262.0;2134.0;21803.0;9083.0;756.0;8818.0;284.0;2862.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2012/'13;15402.0;5732.0;713.0;7026.0;174.0;1757.0;20700.0;7956.0;1085.0;9245.0;213.0;2201.0
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2013/'14;16086.0;5625.0;941.0;6984.0;265.0;2271.0;21566.0;7011.0;1288.0;8243.0;442.0;4582.0
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Totaal generatie;2014/'15;15373.0;5109.0;949.0;5928.0;299.0;3088.0;15831.0;5263.0;964.0;6038.0;304.0;3262.0
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2006/'07;37744.0;14180.0;1751.0;20604.0;1209.0;;50957.0;19213.0;2117.0;27996.0;1631.0;
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2007/'08;26215.0;10082.0;1319.0;14036.0;726.0;52.0;35489.0;14506.0;1624.0;18085.0;867.0;407.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2008/'09;23180.0;9546.0;884.0;11338.0;322.0;1090.0;33720.0;14691.0;1089.0;15439.0;452.0;2049.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2009/'10;21973.0;10233.0;750.0;8510.0;284.0;2196.0;31541.0;14542.0;872.0;12233.0;425.0;3469.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2010/'11;18791.0;8167.0;689.0;7485.0;245.0;2205.0;24027.0;10400.0;772.0;9191.0;399.0;3265.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2011/'12;16096.0;6513.0;627.0;6567.0;256.0;2133.0;21048.0;8527.0;737.0;8647.0;277.0;2860.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2012/'13;14955.0;5409.0;698.0;6922.0;170.0;1756.0;20022.0;7482.0;1057.0;9079.0;208.0;2196.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2013/'14;15647.0;5331.0;925.0;6884.0;261.0;2246.0;20928.0;6654.0;1268.0;8090.0;435.0;4481.0
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 1e generatie;2014/'15;14987.0;4868.0;933.0;5836.0;293.0;3057.0;15429.0;5016.0;948.0;5943.0;298.0;3224.0
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2006/'07;798.0;564.0;46.0;160.0;28.0;;1367.0;966.0;60.0;300.0;41.0;
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2007/'08;807.0;616.0;25.0;140.0;26.0;0.0;1468.0;1121.0;40.0;268.0;39.0;0.0
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2008/'09;896.0;704.0;27.0;157.0;8.0;0.0;1848.0;1452.0;48.0;335.0;12.0;1.0
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2009/'10;953.0;789.0;31.0;128.0;4.0;1.0;1886.0;1498.0;49.0;329.0;9.0;1.0
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2010/'11;651.0;534.0;23.0;89.0;5.0;0.0;1019.0;841.0;26.0;147.0;5.0;0.0
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2011/'12;493.0;391.0;13.0;82.0;6.0;1.0;755.0;556.0;19.0;171.0;7.0;2.0
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2012/'13;447.0;323.0;15.0;104.0;4.0;1.0;678.0;474.0;28.0;166.0;5.0;5.0
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2013/'14;439.0;294.0;16.0;100.0;4.0;25.0;638.0;357.0;20.0;153.0;7.0;101.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Allochtoon, 2e generatie;2014/'15;386.0;241.0;16.0;92.0;6.0;31.0;402.0;247.0;16.0;95.0;6.0;38.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2006/'07;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2007/'08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2008/'09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2009/'10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2010/'11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2011/'12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2012/'13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2013/'14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Allochtoon;Autochtoon of generatie onbekend;2014/'15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2006/'07;7376.0;2501.0;298.0;4155.0;422.0;;10376.0;3586.0;375.0;5844.0;571.0;
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2007/'08;5269.0;2060.0;234.0;2718.0;256.0;1.0;7882.0;3294.0;293.0;3959.0;316.0;20.0
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2008/'09;4730.0;2084.0;120.0;2362.0;110.0;54.0;7625.0;3599.0;159.0;3561.0;173.0;133.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2009/'10;4883.0;2372.0;119.0;2180.0;77.0;135.0;7571.0;3770.0;153.0;3260.0;146.0;242.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2010/'11;4013.0;1923.0;128.0;1766.0;70.0;126.0;5325.0;2657.0;167.0;2185.0;135.0;181.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2011/'12;3296.0;1540.0;131.0;1490.0;67.0;68.0;4316.0;1993.0;183.0;1977.0;75.0;88.0
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2012/'13;2896.0;1057.0;146.0;1587.0;43.0;63.0;4461.0;1653.0;308.0;2323.0;62.0;115.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2013/'14;3922.0;1196.0;265.0;1898.0;83.0;480.0;5870.0;1608.0;424.0;2407.0;121.0;1310.0
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Totaal generatie;2014/'15;4007.0;1118.0;255.0;1577.0;82.0;975.0;4157.0;1171.0;261.0;1616.0;83.0;1026.0
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Allochtoon, 1e generatie;2006/'07;6827.0;2032.0;293.0;4083.0;419.0;;9419.0;2787.0;368.0;5701.0;563.0;
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Allochtoon, 1e generatie;2007/'08;4676.0;1544.0;231.0;2649.0;251.0;1.0;6805.0;2384.0;283.0;3812.0;306.0;20.0
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Allochtoon, 1e generatie;2008/'09;4071.0;1518.0;118.0;2273.0;108.0;54.0;6303.0;2472.0;149.0;3381.0;168.0;133.0
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Allochtoon, 1e generatie;2009/'10;4194.0;1752.0;109.0;2121.0;77.0;135.0;6312.0;2688.0;136.0;3102.0;144.0;242.0
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Westerse allochtoon;Allochtoon, 1e generatie;2010/'11;3557.0;1519.0;121.0;1721.0;70.0;126.0;4598.0;2015.0;159.0;2108.0;135.0;181.0
