ID;BalanceSheetItemsWaterBoards;WaterBoards;Periods;BalanceSheetItemsAtYearEnd_1
82;A - Assets;Waterschap Vallei & Eem (WS);2011;194.0
83;A - Assets;Waterschap Vallei & Eem (WS);2012;192.0
84;A - Assets;Waterschap Vallei & Eem (WS);2013;
85;A - Assets;Waterschap Vallei & Eem (WS);2014;
86;A - Assets;Waterschap Vallei & Eem (WS);2015;
87;A - Assets;Waterschap Vallei & Eem (WS);2016;
88;A - Assets;Waterschap Vallei & Eem (WS);2017;
89;A - Assets;Waterschap Vallei & Eem (WS);2018;
90;A - Assets;Waterschap Vallei & Eem (WS);2019;
91;A - Assets;Waterschap Vallei & Eem (WS);2020;
92;A - Assets;Waterschap Vallei & Eem (WS);2021;
93;A - Assets;Waterschap Vallei & Eem (WS);2022;
94;A - Assets;Waterschap Vallei & Eem (WS);2023;
95;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2005;603.0
96;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2006;589.0
97;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2007;609.0
98;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2008;618.0
99;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2009;655.0
100;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2010;624.0
101;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2011;637.0
102;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2012;664.0
103;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2013;681.0
104;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2014;717.0
105;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2015;724.0
106;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2016;731.0
107;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2017;
108;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2018;
109;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2019;
110;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2020;
111;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2021;
112;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2022;
113;A - Assets;Hhs Amstel, Gooi en Vecht (WS);2023;
114;A - Assets;Waterschap Regge & Dinkel (WS);2005;218.0
115;A - Assets;Waterschap Regge & Dinkel (WS);2006;230.0
116;A - Assets;Waterschap Regge & Dinkel (WS);2007;258.0
117;A - Assets;Waterschap Regge & Dinkel (WS);2008;262.0
118;A - Assets;Waterschap Regge & Dinkel (WS);2009;275.0
119;A - Assets;Waterschap Regge & Dinkel (WS);2010;278.0
120;A - Assets;Waterschap Regge & Dinkel (WS);2011;285.0
121;A - Assets;Waterschap Regge & Dinkel (WS);2012;303.0
122;A - Assets;Waterschap Regge & Dinkel (WS);2013;327.0
123;A - Assets;Waterschap Regge & Dinkel (WS);2014;
124;A - Assets;Waterschap Regge & Dinkel (WS);2015;
125;A - Assets;Waterschap Regge & Dinkel (WS);2016;
126;A - Assets;Waterschap Regge & Dinkel (WS);2017;
127;A - Assets;Waterschap Regge & Dinkel (WS);2018;
128;A - Assets;Waterschap Regge & Dinkel (WS);2019;
129;A - Assets;Waterschap Regge & Dinkel (WS);2020;
130;A - Assets;Waterschap Regge & Dinkel (WS);2021;
131;A - Assets;Waterschap Regge & Dinkel (WS);2022;
132;A - Assets;Waterschap Regge & Dinkel (WS);2023;
133;A - Assets;Hoogheemraadschap van Delfland (WS);2005;751.0
134;A - Assets;Hoogheemraadschap van Delfland (WS);2006;839.0
135;A - Assets;Hoogheemraadschap van Delfland (WS);2007;932.0
136;A - Assets;Hoogheemraadschap van Delfland (WS);2008;976.0
137;A - Assets;Hoogheemraadschap van Delfland (WS);2009;996.0
138;A - Assets;Hoogheemraadschap van Delfland (WS);2010;971.0
139;A - Assets;Hoogheemraadschap van Delfland (WS);2011;962.0
140;A - Assets;Hoogheemraadschap van Delfland (WS);2012;931.0
141;A - Assets;Hoogheemraadschap van Delfland (WS);2013;942.0
142;A - Assets;Hoogheemraadschap van Delfland (WS);2014;945.0
143;A - Assets;Hoogheemraadschap van Delfland (WS);2015;949.0
144;A - Assets;Hoogheemraadschap van Delfland (WS);2016;979.0
145;A - Assets;Hoogheemraadschap van Delfland (WS);2017;858.0
146;A - Assets;Hoogheemraadschap van Delfland (WS);2018;846.0
147;A - Assets;Hoogheemraadschap van Delfland (WS);2019;859.0
148;A - Assets;Hoogheemraadschap van Delfland (WS);2020;870.0
149;A - Assets;Hoogheemraadschap van Delfland (WS);2021;894.0
150;A - Assets;Hoogheemraadschap van Delfland (WS);2022;854.0
151;A - Assets;Hoogheemraadschap van Delfland (WS);2023;863.0
152;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2005;60.0
153;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2006;61.0
154;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2007;87.0
155;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2008;80.0
156;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2009;91.0
157;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2010;84.0
158;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2011;
159;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2012;
160;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2013;
161;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2014;
162;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2015;
163;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2016;
164;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2017;
165;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2018;
166;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2019;
167;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2020;
168;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2021;
169;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2022;
170;A - Assets;Waterschap Zeeuws-Vlaanderen (WS);2023;
171;A - Assets;Waterschap Zeeuwse Eilanden (WS);2005;183.0
172;A - Assets;Waterschap Zeeuwse Eilanden (WS);2006;177.0
173;A - Assets;Waterschap Zeeuwse Eilanden (WS);2007;173.0
174;A - Assets;Waterschap Zeeuwse Eilanden (WS);2008;181.0
175;A - Assets;Waterschap Zeeuwse Eilanden (WS);2009;184.0
176;A - Assets;Waterschap Zeeuwse Eilanden (WS);2010;192.0
177;A - Assets;Waterschap Zeeuwse Eilanden (WS);2011;
178;A - Assets;Waterschap Zeeuwse Eilanden (WS);2012;
179;A - Assets;Waterschap Zeeuwse Eilanden (WS);2013;
180;A - Assets;Waterschap Zeeuwse Eilanden (WS);2014;
181;A - Assets;Waterschap Zeeuwse Eilanden (WS);2015;
182;A - Assets;Waterschap Zeeuwse Eilanden (WS);2016;
183;A - Assets;Waterschap Zeeuwse Eilanden (WS);2017;
184;A - Assets;Waterschap Zeeuwse Eilanden (WS);2018;
185;A - Assets;Waterschap Zeeuwse Eilanden (WS);2019;
186;A - Assets;Waterschap Zeeuwse Eilanden (WS);2020;
187;A - Assets;Waterschap Zeeuwse Eilanden (WS);2021;
188;A - Assets;Waterschap Zeeuwse Eilanden (WS);2022;
189;A - Assets;Waterschap Zeeuwse Eilanden (WS);2023;
190;A - Assets;Waterschap De Dommel (WS);2005;212.0
191;A - Assets;Waterschap De Dommel (WS);2006;209.0
192;A - Assets;Waterschap De Dommel (WS);2007;217.0
193;A - Assets;Waterschap De Dommel (WS);2008;237.0
194;A - Assets;Waterschap De Dommel (WS);2009;262.0
195;A - Assets;Waterschap De Dommel (WS);2010;346.0
196;A - Assets;Waterschap De Dommel (WS);2011;367.0
197;A - Assets;Waterschap De Dommel (WS);2012;366.0
198;A - Assets;Waterschap De Dommel (WS);2013;369.0
199;A - Assets;Waterschap De Dommel (WS);2014;367.0
200;A - Assets;Waterschap De Dommel (WS);2015;372.0
201;A - Assets;Waterschap De Dommel (WS);2016;353.0
202;A - Assets;Waterschap De Dommel (WS);2017;352.0
203;A - Assets;Waterschap De Dommel (WS);2018;348.0
204;A - Assets;Waterschap De Dommel (WS);2019;360.0
205;A - Assets;Waterschap De Dommel (WS);2020;347.0
206;A - Assets;Waterschap De Dommel (WS);2021;365.0
207;A - Assets;Waterschap De Dommel (WS);2022;390.0
208;A - Assets;Waterschap De Dommel (WS);2023;428.0
209;A - Assets;Waterschap Roer en Overmaas (WS);2005;99.0
210;A - Assets;Waterschap Roer en Overmaas (WS);2006;97.0
211;A - Assets;Waterschap Roer en Overmaas (WS);2007;99.0
212;A - Assets;Waterschap Roer en Overmaas (WS);2008;98.0
213;A - Assets;Waterschap Roer en Overmaas (WS);2009;95.0
214;A - Assets;Waterschap Roer en Overmaas (WS);2010;101.0
215;A - Assets;Waterschap Roer en Overmaas (WS);2011;106.0
216;A - Assets;Waterschap Roer en Overmaas (WS);2012;109.0
217;A - Assets;Waterschap Roer en Overmaas (WS);2013;114.0
218;A - Assets;Waterschap Roer en Overmaas (WS);2014;119.0
219;A - Assets;Waterschap Roer en Overmaas (WS);2015;134.0
220;A - Assets;Waterschap Roer en Overmaas (WS);2016;136.0
221;A - Assets;Waterschap Roer en Overmaas (WS);2017;
222;A - Assets;Waterschap Roer en Overmaas (WS);2018;
223;A - Assets;Waterschap Roer en Overmaas (WS);2019;
224;A - Assets;Waterschap Roer en Overmaas (WS);2020;
225;A - Assets;Waterschap Roer en Overmaas (WS);2021;
226;A - Assets;Waterschap Roer en Overmaas (WS);2022;
227;A - Assets;Waterschap Roer en Overmaas (WS);2023;
228;A - Assets;Hoogheemraadschap van Rijnland (WS);2005;274.0
229;A - Assets;Hoogheemraadschap van Rijnland (WS);2006;276.0
230;A - Assets;Hoogheemraadschap van Rijnland (WS);2007;290.0
231;A - Assets;Hoogheemraadschap van Rijnland (WS);2008;328.0
232;A - Assets;Hoogheemraadschap van Rijnland (WS);2009;349.0
233;A - Assets;Hoogheemraadschap van Rijnland (WS);2010;399.0
234;A - Assets;Hoogheemraadschap van Rijnland (WS);2011;440.0
235;A - Assets;Hoogheemraadschap van Rijnland (WS);2012;474.0
236;A - Assets;Hoogheemraadschap van Rijnland (WS);2013;509.0
237;A - Assets;Hoogheemraadschap van Rijnland (WS);2014;527.0
238;A - Assets;Hoogheemraadschap van Rijnland (WS);2015;543.0
239;A - Assets;Hoogheemraadschap van Rijnland (WS);2016;585.0
240;A - Assets;Hoogheemraadschap van Rijnland (WS);2017;638.0
241;A - Assets;Hoogheemraadschap van Rijnland (WS);2018;661.0
242;A - Assets;Hoogheemraadschap van Rijnland (WS);2019;675.0
243;A - Assets;Hoogheemraadschap van Rijnland (WS);2020;698.0
244;A - Assets;Hoogheemraadschap van Rijnland (WS);2021;726.0
245;A - Assets;Hoogheemraadschap van Rijnland (WS);2022;824.0
246;A - Assets;Hoogheemraadschap van Rijnland (WS);2023;896.0
247;A - Assets;Waterschap Rivierenland (WS);2005;404.0
248;A - Assets;Waterschap Rivierenland (WS);2006;406.0
249;A - Assets;Waterschap Rivierenland (WS);2007;415.0
250;A - Assets;Waterschap Rivierenland (WS);2008;442.0
251;A - Assets;Waterschap Rivierenland (WS);2009;416.0
252;A - Assets;Waterschap Rivierenland (WS);2010;457.0
253;A - Assets;Waterschap Rivierenland (WS);2011;475.0
254;A - Assets;Waterschap Rivierenland (WS);2012;485.0
255;A - Assets;Waterschap Rivierenland (WS);2013;504.0
256;A - Assets;Waterschap Rivierenland (WS);2014;492.0
257;A - Assets;Waterschap Rivierenland (WS);2015;522.0
258;A - Assets;Waterschap Rivierenland (WS);2016;534.0
259;A - Assets;Waterschap Rivierenland (WS);2017;556.0
260;A - Assets;Waterschap Rivierenland (WS);2018;571.0
261;A - Assets;Waterschap Rivierenland (WS);2019;579.0
262;A - Assets;Waterschap Rivierenland (WS);2020;1032.0
263;A - Assets;Waterschap Rivierenland (WS);2021;1038.0
264;A - Assets;Waterschap Rivierenland (WS);2022;1024.0
265;A - Assets;Waterschap Rivierenland (WS);2023;930.0
266;A - Assets;Hhs De Stichtse Rijnlanden (WS);2005;281.0
267;A - Assets;Hhs De Stichtse Rijnlanden (WS);2006;289.0
268;A - Assets;Hhs De Stichtse Rijnlanden (WS);2007;296.0
269;A - Assets;Hhs De Stichtse Rijnlanden (WS);2008;305.0
270;A - Assets;Hhs De Stichtse Rijnlanden (WS);2009;288.0
271;A - Assets;Hhs De Stichtse Rijnlanden (WS);2010;290.0
272;A - Assets;Hhs De Stichtse Rijnlanden (WS);2011;298.0
273;A - Assets;Hhs De Stichtse Rijnlanden (WS);2012;306.0
274;A - Assets;Hhs De Stichtse Rijnlanden (WS);2013;307.0
275;A - Assets;Hhs De Stichtse Rijnlanden (WS);2014;314.0
276;A - Assets;Hhs De Stichtse Rijnlanden (WS);2015;305.0
277;A - Assets;Hhs De Stichtse Rijnlanden (WS);2016;329.0
278;A - Assets;Hhs De Stichtse Rijnlanden (WS);2017;397.0
279;A - Assets;Hhs De Stichtse Rijnlanden (WS);2018;447.0
280;A - Assets;Hhs De Stichtse Rijnlanden (WS);2019;467.0
281;A - Assets;Hhs De Stichtse Rijnlanden (WS);2020;482.0
282;A - Assets;Hhs De Stichtse Rijnlanden (WS);2021;483.0
283;A - Assets;Hhs De Stichtse Rijnlanden (WS);2022;464.0
284;A - Assets;Hhs De Stichtse Rijnlanden (WS);2023;474.0
285;A - Assets;Waterschap Peel en Maasvallei (WS);2005;45.0
286;A - Assets;Waterschap Peel en Maasvallei (WS);2006;46.0
287;A - Assets;Waterschap Peel en Maasvallei (WS);2007;61.0
288;A - Assets;Waterschap Peel en Maasvallei (WS);2008;53.0
289;A - Assets;Waterschap Peel en Maasvallei (WS);2009;50.0
290;A - Assets;Waterschap Peel en Maasvallei (WS);2010;58.0
291;A - Assets;Waterschap Peel en Maasvallei (WS);2011;58.0
292;A - Assets;Waterschap Peel en Maasvallei (WS);2012;58.0
293;A - Assets;Waterschap Peel en Maasvallei (WS);2013;61.0
294;A - Assets;Waterschap Peel en Maasvallei (WS);2014;68.0
295;A - Assets;Waterschap Peel en Maasvallei (WS);2015;85.0
296;A - Assets;Waterschap Peel en Maasvallei (WS);2016;88.0
297;A - Assets;Waterschap Peel en Maasvallei (WS);2017;
298;A - Assets;Waterschap Peel en Maasvallei (WS);2018;
299;A - Assets;Waterschap Peel en Maasvallei (WS);2019;
300;A - Assets;Waterschap Peel en Maasvallei (WS);2020;
301;A - Assets;Waterschap Peel en Maasvallei (WS);2021;
302;A - Assets;Waterschap Peel en Maasvallei (WS);2022;
303;A - Assets;Waterschap Peel en Maasvallei (WS);2023;
304;A - Assets;Waterschap Hunze en Aa's (WS);2005;202.0
305;A - Assets;Waterschap Hunze en Aa's (WS);2006;223.0
306;A - Assets;Waterschap Hunze en Aa's (WS);2007;240.0
307;A - Assets;Waterschap Hunze en Aa's (WS);2008;240.0
308;A - Assets;Waterschap Hunze en Aa's (WS);2009;239.0
309;A - Assets;Waterschap Hunze en Aa's (WS);2010;241.0
310;A - Assets;Waterschap Hunze en Aa's (WS);2011;242.0
311;A - Assets;Waterschap Hunze en Aa's (WS);2012;241.0
312;A - Assets;Waterschap Hunze en Aa's (WS);2013;252.0
313;A - Assets;Waterschap Hunze en Aa's (WS);2014;252.0
314;A - Assets;Waterschap Hunze en Aa's (WS);2015;257.0
315;A - Assets;Waterschap Hunze en Aa's (WS);2016;254.0
316;A - Assets;Waterschap Hunze en Aa's (WS);2017;255.0
317;A - Assets;Waterschap Hunze en Aa's (WS);2018;269.0
318;A - Assets;Waterschap Hunze en Aa's (WS);2019;258.0
319;A - Assets;Waterschap Hunze en Aa's (WS);2020;253.0
320;A - Assets;Waterschap Hunze en Aa's (WS);2021;253.0
321;A - Assets;Waterschap Hunze en Aa's (WS);2022;247.0
322;A - Assets;Waterschap Hunze en Aa's (WS);2023;249.0
323;A - Assets;Waterschap Noorderzijlvest (WS);2005;121.0
324;A - Assets;Waterschap Noorderzijlvest (WS);2006;119.0
325;A - Assets;Waterschap Noorderzijlvest (WS);2007;123.0
326;A - Assets;Waterschap Noorderzijlvest (WS);2008;126.0
327;A - Assets;Waterschap Noorderzijlvest (WS);2009;143.0
328;A - Assets;Waterschap Noorderzijlvest (WS);2010;165.0
329;A - Assets;Waterschap Noorderzijlvest (WS);2011;172.0
330;A - Assets;Waterschap Noorderzijlvest (WS);2012;191.0
331;A - Assets;Waterschap Noorderzijlvest (WS);2013;221.0
332;A - Assets;Waterschap Noorderzijlvest (WS);2014;224.0
333;A - Assets;Waterschap Noorderzijlvest (WS);2015;237.0
334;A - Assets;Waterschap Noorderzijlvest (WS);2016;216.0
335;A - Assets;Waterschap Noorderzijlvest (WS);2017;236.0
336;A - Assets;Waterschap Noorderzijlvest (WS);2018;291.0
337;A - Assets;Waterschap Noorderzijlvest (WS);2019;275.0
338;A - Assets;Waterschap Noorderzijlvest (WS);2020;311.0
339;A - Assets;Waterschap Noorderzijlvest (WS);2021;294.0
340;A - Assets;Waterschap Noorderzijlvest (WS);2022;364.0
341;A - Assets;Waterschap Noorderzijlvest (WS);2023;361.0
342;A - Assets;Waterschap Reest en Wieden (WS);2005;76.0
343;A - Assets;Waterschap Reest en Wieden (WS);2006;82.0
344;A - Assets;Waterschap Reest en Wieden (WS);2007;83.0
345;A - Assets;Waterschap Reest en Wieden (WS);2008;82.0
346;A - Assets;Waterschap Reest en Wieden (WS);2009;90.0
347;A - Assets;Waterschap Reest en Wieden (WS);2010;96.0
348;A - Assets;Waterschap Reest en Wieden (WS);2011;109.0
349;A - Assets;Waterschap Reest en Wieden (WS);2012;119.0
350;A - Assets;Waterschap Reest en Wieden (WS);2013;126.0
351;A - Assets;Waterschap Reest en Wieden (WS);2014;129.0
352;A - Assets;Waterschap Reest en Wieden (WS);2015;134.0
353;A - Assets;Waterschap Reest en Wieden (WS);2016;
354;A - Assets;Waterschap Reest en Wieden (WS);2017;
355;A - Assets;Waterschap Reest en Wieden (WS);2018;
356;A - Assets;Waterschap Reest en Wieden (WS);2019;
357;A - Assets;Waterschap Reest en Wieden (WS);2020;
358;A - Assets;Waterschap Reest en Wieden (WS);2021;
359;A - Assets;Waterschap Reest en Wieden (WS);2022;
360;A - Assets;Waterschap Reest en Wieden (WS);2023;
361;A - Assets;Waterschap Velt en Vecht (WS);2005;114.0
362;A - Assets;Waterschap Velt en Vecht (WS);2006;122.0
363;A - Assets;Waterschap Velt en Vecht (WS);2007;144.0
364;A - Assets;Waterschap Velt en Vecht (WS);2008;136.0
365;A - Assets;Waterschap Velt en Vecht (WS);2009;116.0
366;A - Assets;Waterschap Velt en Vecht (WS);2010;122.0
367;A - Assets;Waterschap Velt en Vecht (WS);2011;127.0
368;A - Assets;Waterschap Velt en Vecht (WS);2012;124.0
369;A - Assets;Waterschap Velt en Vecht (WS);2013;128.0
370;A - Assets;Waterschap Velt en Vecht (WS);2014;
371;A - Assets;Waterschap Velt en Vecht (WS);2015;
372;A - Assets;Waterschap Velt en Vecht (WS);2016;
373;A - Assets;Waterschap Velt en Vecht (WS);2017;
374;A - Assets;Waterschap Velt en Vecht (WS);2018;
375;A - Assets;Waterschap Velt en Vecht (WS);2019;
376;A - Assets;Waterschap Velt en Vecht (WS);2020;
377;A - Assets;Waterschap Velt en Vecht (WS);2021;
378;A - Assets;Waterschap Velt en Vecht (WS);2022;
379;A - Assets;Waterschap Velt en Vecht (WS);2023;
380;A - Assets;Waterschap Zuiderzeeland (WS);2005;86.0
381;A - Assets;Waterschap Zuiderzeeland (WS);2006;90.0
382;A - Assets;Waterschap Zuiderzeeland (WS);2007;93.0
383;A - Assets;Waterschap Zuiderzeeland (WS);2008;99.0
384;A - Assets;Waterschap Zuiderzeeland (WS);2009;119.0
385;A - Assets;Waterschap Zuiderzeeland (WS);2010;137.0
386;A - Assets;Waterschap Zuiderzeeland (WS);2011;135.0
387;A - Assets;Waterschap Zuiderzeeland (WS);2012;134.0
388;A - Assets;Waterschap Zuiderzeeland (WS);2013;135.0
389;A - Assets;Waterschap Zuiderzeeland (WS);2014;135.0
390;A - Assets;Waterschap Zuiderzeeland (WS);2015;132.0
391;A - Assets;Waterschap Zuiderzeeland (WS);2016;128.0
392;A - Assets;Waterschap Zuiderzeeland (WS);2017;131.0
393;A - Assets;Waterschap Zuiderzeeland (WS);2018;130.0
394;A - Assets;Waterschap Zuiderzeeland (WS);2019;137.0
395;A - Assets;Waterschap Zuiderzeeland (WS);2020;138.0
396;A - Assets;Waterschap Zuiderzeeland (WS);2021;143.0
397;A - Assets;Waterschap Zuiderzeeland (WS);2022;140.0
398;A - Assets;Waterschap Zuiderzeeland (WS);2023;147.0
399;A - Assets;Hhs Hollands Noorderkwartier (WS);2005;390.0
400;A - Assets;Hhs Hollands Noorderkwartier (WS);2006;394.0
401;A - Assets;Hhs Hollands Noorderkwartier (WS);2007;389.0
402;A - Assets;Hhs Hollands Noorderkwartier (WS);2008;450.0
403;A - Assets;Hhs Hollands Noorderkwartier (WS);2009;491.0
404;A - Assets;Hhs Hollands Noorderkwartier (WS);2010;572.0
405;A - Assets;Hhs Hollands Noorderkwartier (WS);2011;614.0
406;A - Assets;Hhs Hollands Noorderkwartier (WS);2012;608.0
407;A - Assets;Hhs Hollands Noorderkwartier (WS);2013;623.0
408;A - Assets;Hhs Hollands Noorderkwartier (WS);2014;633.0
409;A - Assets;Hhs Hollands Noorderkwartier (WS);2015;679.0
410;A - Assets;Hhs Hollands Noorderkwartier (WS);2016;627.0
411;A - Assets;Hhs Hollands Noorderkwartier (WS);2017;621.0
412;A - Assets;Hhs Hollands Noorderkwartier (WS);2018;635.0
413;A - Assets;Hhs Hollands Noorderkwartier (WS);2019;581.0
414;A - Assets;Hhs Hollands Noorderkwartier (WS);2020;553.0
415;A - Assets;Hhs Hollands Noorderkwartier (WS);2021;1153.0
416;A - Assets;Hhs Hollands Noorderkwartier (WS);2022;1077.0
417;A - Assets;Hhs Hollands Noorderkwartier (WS);2023;973.0
418;A - Assets;Waterschap Brabantse Delta (WS);2005;281.0
419;A - Assets;Waterschap Brabantse Delta (WS);2006;298.0
420;A - Assets;Waterschap Brabantse Delta (WS);2007;313.0
421;A - Assets;Waterschap Brabantse Delta (WS);2008;321.0
422;A - Assets;Waterschap Brabantse Delta (WS);2009;362.0
423;A - Assets;Waterschap Brabantse Delta (WS);2010;365.0
424;A - Assets;Waterschap Brabantse Delta (WS);2011;368.0
425;A - Assets;Waterschap Brabantse Delta (WS);2012;378.0
426;A - Assets;Waterschap Brabantse Delta (WS);2013;397.0
427;A - Assets;Waterschap Brabantse Delta (WS);2014;394.0
428;A - Assets;Waterschap Brabantse Delta (WS);2015;416.0
429;A - Assets;Waterschap Brabantse Delta (WS);2016;418.0
430;A - Assets;Waterschap Brabantse Delta (WS);2017;432.0
431;A - Assets;Waterschap Brabantse Delta (WS);2018;427.0
432;A - Assets;Waterschap Brabantse Delta (WS);2019;467.0
433;A - Assets;Waterschap Brabantse Delta (WS);2020;503.0
