ID;BestemmingVanInvoer;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2005_2;VolumemutatieTOVVoorafgaandJaar_3;Prijsindexcijfers_4;WaardeInWerkelijkePrijzen_5;WaardePrijsniveau2005_6;VolumemutatieTOVVoorafgaandJaar_7;Prijsindexcijfers_8;WaardeInWerkelijkePrijzen_9;WaardePrijsniveau2005_10;VolumemutatieTOVVoorafgaandJaar_11;Prijsindexcijfers_12
23;A-U Alle economische activiteiten;2011;201747.0;155557.0;1.7;129.7;142304.0;103756.0;2.3;137.2;59443.0;52264.0;0.3;113.7
24;A-U Alle economische activiteiten;2012;208669.0;155584.0;0.0;134.1;148457.0;103652.0;-0.1;143.2;60212.0;52419.0;0.3;114.9
25;A Landbouw, bosbouw en visserij;1988;1062.0;1111.0;;95.6;886.0;858.0;;103.3;176.0;262.0;;67.2
26;A Landbouw, bosbouw en visserij;1989;1133.0;1137.0;2.4;99.7;944.0;872.0;1.7;108.2;189.0;277.0;5.7;68.3
27;A Landbouw, bosbouw en visserij;1990;1102.0;1119.0;-1.6;98.5;914.0;872.0;-0.1;104.9;188.0;252.0;-9.0;74.7
28;A Landbouw, bosbouw en visserij;1991;1149.0;1192.0;6.5;96.4;950.0;931.0;6.8;102.1;199.0;265.0;5.3;75.1
29;A Landbouw, bosbouw en visserij;1992;1194.0;1221.0;2.4;97.8;998.0;967.0;3.9;103.2;196.0;253.0;-4.5;77.4
30;A Landbouw, bosbouw en visserij;1993;1116.0;1147.0;-6.0;97.3;909.0;896.0;-7.3;101.4;207.0;254.0;0.5;81.4
31;A Landbouw, bosbouw en visserij;1994;1173.0;1226.0;6.9;95.6;956.0;973.0;8.6;98.2;217.0;253.0;-0.5;85.7
32;A Landbouw, bosbouw en visserij;1995;1252.0;1336.0;9.0;93.7;1031.0;1064.0;9.3;96.9;221.0;272.0;7.4;81.3
33;A Landbouw, bosbouw en visserij;1996;1340.0;1395.0;4.4;96.1;1116.0;1113.0;4.7;100.2;224.0;280.0;3.2;79.9
34;A Landbouw, bosbouw en visserij;1997;1322.0;1361.0;-2.5;97.2;1089.0;1072.0;-3.7;101.6;233.0;291.0;3.6;80.2
35;A Landbouw, bosbouw en visserij;1998;1377.0;1436.0;5.5;95.9;1137.0;1143.0;6.6;99.5;240.0;292.0;0.4;82.3
36;A Landbouw, bosbouw en visserij;1999;1456.0;1519.0;5.8;95.8;1193.0;1213.0;6.1;98.4;263.0;305.0;4.6;86.2
37;A Landbouw, bosbouw en visserij;2000;1554.0;1586.0;4.4;98.0;1274.0;1259.0;3.9;101.2;280.0;326.0;6.8;85.9
38;A Landbouw, bosbouw en visserij;2001;1612.0;1609.0;1.5;100.2;1308.0;1271.0;0.9;102.9;304.0;339.0;3.9;89.7
39;A Landbouw, bosbouw en visserij;2002;1829.0;1824.0;13.3;100.3;1488.0;1461.0;14.9;101.9;341.0;361.0;6.6;94.4
40;A Landbouw, bosbouw en visserij;2003;1705.0;1679.0;-7.9;101.5;1335.0;1317.0;-9.8;101.3;370.0;362.0;0.3;102.2
41;A Landbouw, bosbouw en visserij;2004;1637.0;1631.0;-2.9;100.4;1270.0;1277.0;-3.1;99.5;367.0;354.0;-2.2;103.6
42;A Landbouw, bosbouw en visserij;2005;1649.0;1649.0;1.1;100.0;1285.0;1285.0;0.6;100.0;364.0;364.0;2.7;100.0
43;A Landbouw, bosbouw en visserij;2006;1766.0;1735.0;5.2;101.8;1393.0;1364.0;6.1;102.1;373.0;371.0;1.9;100.5
44;A Landbouw, bosbouw en visserij;2007;1867.0;1683.0;-3.0;110.9;1501.0;1322.0;-3.1;113.5;366.0;361.0;-2.7;101.4
45;A Landbouw, bosbouw en visserij;2008;2114.0;1737.0;3.2;121.7;1724.0;1372.0;3.8;125.6;390.0;364.0;0.8;107.1
46;A Landbouw, bosbouw en visserij;2009;2103.0;1827.0;5.2;115.1;1673.0;1460.0;6.4;114.6;430.0;363.0;-0.3;118.4
47;A Landbouw, bosbouw en visserij;2010;2170.0;1915.0;4.9;113.3;1724.0;1539.0;5.4;112.0;446.0;372.0;2.6;119.8
48;A Landbouw, bosbouw en visserij;2011;2320.0;1908.0;-0.4;121.6;1867.0;1532.0;-0.5;121.9;453.0;372.0;0.0;121.7
49;A Landbouw, bosbouw en visserij;2012;2478.0;2006.0;5.1;123.5;2011.0;1630.0;6.4;123.3;467.0;372.0;-0.2;125.7
50;01 Landbouw;1988;1007.0;1047.0;;96.2;843.0;817.0;;103.2;164.0;235.0;;69.8
51;01 Landbouw;1989;1075.0;1073.0;2.5;100.2;897.0;830.0;1.5;108.1;178.0;252.0;7.3;70.6
52;01 Landbouw;1990;1057.0;1070.0;-0.3;98.8;880.0;839.0;1.1;104.9;177.0;234.0;-7.3;75.7
53;01 Landbouw;1991;1104.0;1145.0;7.0;96.4;916.0;899.0;7.2;101.9;188.0;248.0;6.2;75.7
54;01 Landbouw;1992;1149.0;1174.0;2.5;97.9;966.0;934.0;3.9;103.4;183.0;238.0;-4.3;77.0
55;01 Landbouw;1993;1073.0;1098.0;-6.4;97.7;878.0;861.0;-7.9;102.0;195.0;240.0;1.1;81.1
56;01 Landbouw;1994;1122.0;1165.0;6.1;96.3;919.0;927.0;7.6;99.2;203.0;238.0;-1.0;85.3
57;01 Landbouw;1995;1185.0;1253.0;7.6;94.6;979.0;998.0;7.7;98.1;206.0;254.0;6.9;81.0
58;01 Landbouw;1996;1257.0;1309.0;4.5;96.0;1047.0;1045.0;4.7;100.2;210.0;263.0;3.4;79.9
59;01 Landbouw;1997;1268.0;1299.0;-0.8;97.6;1048.0;1025.0;-1.9;102.2;220.0;275.0;4.8;79.9
60;01 Landbouw;1998;1308.0;1370.0;5.5;95.5;1082.0;1093.0;6.6;99.0;226.0;277.0;0.5;81.7
61;01 Landbouw;1999;1387.0;1451.0;5.9;95.6;1138.0;1159.0;6.1;98.2;249.0;290.0;4.9;85.8
62;01 Landbouw;2000;1465.0;1511.0;4.1;97.0;1199.0;1199.0;3.4;100.0;266.0;311.0;7.2;85.5
63;01 Landbouw;2001;1520.0;1511.0;0.0;100.6;1230.0;1189.0;-0.8;103.4;290.0;323.0;3.8;89.8
64;01 Landbouw;2002;1756.0;1743.0;15.4;100.7;1432.0;1398.0;17.6;102.4;324.0;343.0;6.2;94.5
65;01 Landbouw;2003;1639.0;1607.0;-7.8;102.0;1282.0;1259.0;-9.9;101.8;357.0;348.0;1.5;102.5
66;01 Landbouw;2004;1573.0;1558.0;-3.1;101.0;1219.0;1217.0;-3.4;100.2;354.0;341.0;-2.0;103.7
67;01 Landbouw;2005;1577.0;1577.0;1.2;100.0;1226.0;1226.0;0.7;100.0;351.0;351.0;2.8;100.0
68;01 Landbouw;2006;1684.0;1650.0;4.6;102.1;1324.0;1292.0;5.4;102.5;360.0;358.0;2.0;100.6
69;01 Landbouw;2007;1777.0;1592.0;-3.5;111.6;1424.0;1244.0;-3.7;114.5;353.0;348.0;-2.8;101.4
70;01 Landbouw;2008;2019.0;1645.0;3.3;122.7;1643.0;1293.0;3.9;127.1;376.0;351.0;0.8;107.1
71;01 Landbouw;2009;2021.0;1736.0;5.5;116.4;1604.0;1381.0;6.8;116.1;417.0;351.0;0.0;118.8
72;01 Landbouw;2010;2072.0;1821.0;4.9;113.8;1641.0;1457.0;5.5;112.6;431.0;360.0;2.6;119.6
73;01 Landbouw;2011;2217.0;1819.0;-0.1;121.9;1778.0;1453.0;-0.2;122.3;439.0;361.0;0.2;121.6
74;01 Landbouw;2012;2366.0;1909.0;5.0;123.9;1914.0;1545.0;6.3;123.9;452.0;359.0;-0.5;125.7
75;02 Bosbouw;1988;3.0;2.0;;;0.0;0.0;;;3.0;5.0;;
76;02 Bosbouw;1989;3.0;2.0;;;0.0;0.0;;;3.0;5.0;;
77;02 Bosbouw;1990;3.0;2.0;;;0.0;0.0;;;3.0;5.0;;
78;02 Bosbouw;1991;3.0;2.0;;;0.0;0.0;;;3.0;5.0;;
79;02 Bosbouw;1992;3.0;2.0;;;0.0;0.0;;;3.0;5.0;;
80;02 Bosbouw;1993;4.0;2.0;;;1.0;1.0;;;3.0;5.0;;
81;02 Bosbouw;1994;4.0;3.0;;;1.0;1.0;;;3.0;5.0;;
82;02 Bosbouw;1995;3.0;3.0;;;0.0;0.0;;;3.0;5.0;;
83;02 Bosbouw;1996;4.0;4.0;;;1.0;1.0;;;3.0;5.0;;
84;02 Bosbouw;1997;4.0;4.0;;;1.0;1.0;;;3.0;5.0;;
85;02 Bosbouw;1998;4.0;3.0;;;1.0;1.0;;;3.0;3.0;;
86;02 Bosbouw;1999;5.0;4.0;;;2.0;2.0;;;3.0;3.0;;
87;02 Bosbouw;2000;4.0;4.0;;;1.0;1.0;;;3.0;3.0;;
88;02 Bosbouw;2001;5.0;5.0;;;2.0;2.0;;;3.0;3.0;;
89;02 Bosbouw;2002;6.0;5.0;;;3.0;3.0;;;3.0;3.0;;
90;02 Bosbouw;2003;6.0;5.0;;;2.0;2.0;;;4.0;4.0;;
91;02 Bosbouw;2004;6.0;6.0;;;2.0;2.0;;;4.0;4.0;;
92;02 Bosbouw;2005;6.0;6.0;;;2.0;2.0;;;4.0;4.0;;
93;02 Bosbouw;2006;9.0;9.0;;;4.0;4.0;;;5.0;5.0;;
94;02 Bosbouw;2007;9.0;9.0;;;4.0;4.0;;;5.0;5.0;;
95;02 Bosbouw;2008;9.0;10.0;;;3.0;3.0;;;6.0;6.0;;
96;02 Bosbouw;2009;10.0;11.0;;;4.0;4.0;;;6.0;6.0;;
97;02 Bosbouw;2010;9.0;9.0;;;3.0;3.0;;;6.0;5.0;;
98;02 Bosbouw;2011;7.0;7.0;;;3.0;3.0;;;4.0;3.0;;
99;02 Bosbouw;2012;8.0;9.0;;;3.0;3.0;;;5.0;4.0;;
100;03 Visserij;1988;52.0;67.0;;77.9;43.0;43.0;;101.0;9.0;39.0;;23.3
101;03 Visserij;1989;55.0;67.0;0.0;82.4;47.0;45.0;4.7;105.5;8.0;30.0;-22.2;26.7
102;03 Visserij;1990;42.0;49.0;-27.3;86.5;34.0;34.0;-23.4;99.7;8.0;15.0;-50.0;53.3
103;03 Visserij;1991;42.0;46.0;-4.8;90.9;34.0;33.0;-2.9;102.7;8.0;13.0;-12.5;60.9
104;03 Visserij;1992;42.0;46.0;0.0;90.9;32.0;34.0;2.9;93.9;10.0;11.0;-12.5;87.1
105;03 Visserij;1993;39.0;48.0;4.8;80.5;30.0;37.0;9.4;80.5;9.0;10.0;-10.0;87.1
106;03 Visserij;1994;47.0;62.0;28.2;75.7;36.0;50.0;33.3;72.4;11.0;11.0;11.1;95.8
107;03 Visserij;1995;64.0;88.0;42.6;72.3;52.0;75.0;50.0;69.7;12.0;14.0;18.2;88.4
108;03 Visserij;1996;79.0;90.0;1.6;87.9;68.0;76.0;1.9;89.5;11.0;14.0;0.0;81.0
109;03 Visserij;1997;50.0;64.0;-29.1;78.5;40.0;53.0;-30.9;76.1;10.0;11.0;-18.2;90.0
110;03 Visserij;1998;65.0;69.0;8.0;94.5;54.0;56.0;7.5;95.6;11.0;12.0;10.0;90.0
111;03 Visserij;1999;64.0;70.0;1.5;91.6;53.0;58.0;1.9;92.1;11.0;12.0;0.0;90.0
112;03 Visserij;2000;85.0;78.0;10.9;109.7;74.0;65.0;13.2;113.7;11.0;12.0;0.0;90.0
113;03 Visserij;2001;87.0;98.0;25.9;89.2;76.0;84.0;28.4;90.9;11.0;13.0;9.1;82.5
114;03 Visserij;2002;67.0;76.0;-21.8;87.9;53.0;60.0;-27.6;87.6;14.0;16.0;18.2;88.9
115;03 Visserij;2003;60.0;67.0;-11.9;89.3;51.0;57.0;-5.7;89.4;9.0;10.0;-35.7;88.9
116;03 Visserij;2004;58.0;67.0;0.0;86.4;49.0;58.0;2.0;84.2;9.0;9.0;-11.1;100.0
117;03 Visserij;2005;66.0;66.0;-1.7;100.0;57.0;57.0;-2.0;100.0;9.0;9.0;0.0;100.0
118;03 Visserij;2006;73.0;76.0;15.2;96.1;65.0;68.0;19.3;95.6;8.0;8.0;-11.1;100.0
119;03 Visserij;2007;81.0;82.0;8.2;98.5;73.0;74.0;9.2;98.3;8.0;8.0;0.0;100.0
120;03 Visserij;2008;86.0;82.0;0.0;104.6;78.0;75.0;1.4;103.6;8.0;7.0;-12.5;114.3
121;03 Visserij;2009;72.0;78.0;-4.7;91.8;65.0;72.0;-3.8;89.8;7.0;6.0;-12.5;114.3
122;03 Visserij;2010;89.0;84.0;6.9;106.1;80.0;77.0;6.2;104.1;9.0;7.0;14.3;128.6
123;03 Visserij;2011;96.0;81.0;-3.4;118.5;86.0;73.0;-5.0;117.8;10.0;8.0;11.1;128.6
124;03 Visserij;2012;104.0;87.0;7.3;119.6;94.0;79.0;8.1;119.1;10.0;8.0;0.0;128.6
125;B-E Nijverheid (geen bouw) en energie;1988;39937.0;52702.0;;75.8;37078.0;48646.0;;76.2;2859.0;4020.0;;71.1
126;B-E Nijverheid (geen bouw) en energie;1989;45139.0;56031.0;6.3;80.6;41722.0;51301.0;5.5;81.3;3417.0;4721.0;17.5;72.4
127;B-E Nijverheid (geen bouw) en energie;1990;46303.0;58325.0;4.1;79.4;42820.0;53608.0;4.5;79.9;3483.0;4683.0;-0.8;74.4
128;B-E Nijverheid (geen bouw) en energie;1991;47035.0;59854.0;2.6;78.6;42997.0;54510.0;1.7;78.9;4038.0;5346.0;14.2;75.5
129;B-E Nijverheid (geen bouw) en energie;1992;46222.0;60756.0;1.5;76.1;41883.0;55165.0;1.2;75.9;4339.0;5601.0;4.8;77.5
130;B-E Nijverheid (geen bouw) en energie;1993;44222.0;60119.0;-1.0;73.6;39658.0;54315.0;-1.5;73.0;4564.0;5808.0;3.7;78.6
131;B-E Nijverheid (geen bouw) en energie;1994;47125.0;63819.0;6.2;73.8;42471.0;57985.0;6.8;73.2;4654.0;5861.0;0.9;79.4
132;B-E Nijverheid (geen bouw) en energie;1995;51167.0;68074.0;6.7;75.2;46138.0;61762.0;6.5;74.7;5029.0;6335.0;8.1;79.4
133;B-E Nijverheid (geen bouw) en energie;1996;53864.0;69950.0;2.8;77.0;48359.0;63122.0;2.2;76.6;5505.0;6831.0;7.8;80.6
134;B-E Nijverheid (geen bouw) en energie;1997;59840.0;75736.0;8.3;79.0;53682.0;68207.0;8.1;78.7;6158.0;7524.0;10.2;81.8
135;B-E Nijverheid (geen bouw) en energie;1998;59361.0;78491.0;3.6;75.6;52818.0;70661.0;3.6;74.7;6543.0;7825.0;4.0;83.6
136;B-E Nijverheid (geen bouw) en energie;1999;61059.0;79516.0;1.3;76.8;54104.0;71352.0;1.0;75.8;6955.0;8134.0;3.9;85.5
137;B-E Nijverheid (geen bouw) en energie;2000;74169.0;82820.0;4.2;89.6;66301.0;73733.0;3.3;89.9;7868.0;8990.0;10.5;87.5
138;B-E Nijverheid (geen bouw) en energie;2001;73560.0;82341.0;-0.6;89.3;64992.0;72794.0;-1.3;89.3;8568.0;9464.0;5.3;90.5
139;B-E Nijverheid (geen bouw) en energie;2002;70586.0;81355.0;-1.2;86.8;61849.0;71915.0;-1.2;86.0;8737.0;9358.0;-1.1;93.4
140;B-E Nijverheid (geen bouw) en energie;2003;69331.0;80732.0;-0.8;85.9;60346.0;71353.0;-0.8;84.6;8985.0;9297.0;-0.7;96.6
141;B-E Nijverheid (geen bouw) en energie;2004;75974.0;83821.0;3.8;90.6;66934.0;74671.0;4.6;89.6;9040.0;9138.0;-1.7;98.9
142;B-E Nijverheid (geen bouw) en energie;2005;84564.0;84564.0;0.9;100.0;75460.0;75460.0;1.1;100.0;9104.0;9104.0;-0.4;100.0
143;B-E Nijverheid (geen bouw) en energie;2006;96236.0;88044.0;4.1;109.3;86902.0;78888.0;4.5;110.2;9334.0;9156.0;0.6;101.9
144;B-E Nijverheid (geen bouw) en energie;2007;103540.0;90948.0;3.3;113.8;94076.0;81821.0;3.7;115.0;9464.0;9100.0;-0.6;104.0
145;B-E Nijverheid (geen bouw) en energie;2008;112749.0;88942.0;-2.2;126.8;103181.0;79997.0;-2.2;129.0;9568.0;8921.0;-2.0;107.2
146;B-E Nijverheid (geen bouw) en energie;2009;87801.0;82041.0;-7.8;107.0;78417.0;73475.0;-8.2;106.7;9384.0;8607.0;-3.5;109.0
147;B-E Nijverheid (geen bouw) en energie;2010;108234.0;87880.0;7.1;123.2;97895.0;78575.0;6.9;124.6;10339.0;9346.0;8.6;110.6
148;B-E Nijverheid (geen bouw) en energie;2011;126802.0;89889.0;2.3;141.1;115884.0;80217.0;2.1;144.5;10918.0;9735.0;4.2;112.2
149;B-E Nijverheid (geen bouw) en energie;2012;133475.0;90569.0;0.8;147.4;121983.0;80544.0;0.4;151.4;11492.0;10168.0;4.5;113.0
150;B Delfstoffenwinning;1988;407.0;542.0;;75.2;245.0;259.0;;94.7;162.0;242.0;;67.0
151;B Delfstoffenwinning;1989;449.0;595.0;9.8;75.5;261.0;274.0;6.1;95.1;188.0;279.0;15.4;67.3
152;B Delfstoffenwinning;1990;471.0;607.0;2.0;77.6;273.0;279.0;1.5;98.0;198.0;287.0;2.7;69.1
153;B Delfstoffenwinning;1991;555.0;683.0;12.5;81.3;305.0;290.0;4.0;105.2;250.0;356.0;24.2;70.2
154;B Delfstoffenwinning;1992;575.0;718.0;5.2;80.0;327.0;322.0;11.1;101.5;248.0;349.0;-2.0;71.0
155;B Delfstoffenwinning;1993;519.0;760.0;5.7;68.3;260.0;352.0;9.2;73.9;259.0;353.0;1.2;73.3
156;B Delfstoffenwinning;1994;524.0;910.0;19.8;57.6;269.0;503.0;43.1;53.4;255.0;341.0;-3.5;74.8
157;B Delfstoffenwinning;1995;559.0;964.0;5.9;58.0;272.0;507.0;0.7;53.6;287.0;380.0;11.4;75.6
158;B Delfstoffenwinning;1996;715.0;1176.0;22.0;60.8;418.0;738.0;45.6;56.6;297.0;379.0;-0.3;78.5
159;B Delfstoffenwinning;1997;837.0;1288.0;9.5;65.0;527.0;851.0;15.3;61.9;310.0;384.0;1.3;80.8
160;B Delfstoffenwinning;1998;857.0;1301.0;1.0;65.9;546.0;882.0;3.6;61.9;311.0;370.0;-3.5;84.0
161;B Delfstoffenwinning;1999;886.0;1446.0;11.2;61.3;590.0;1077.0;22.2;54.8;296.0;340.0;-8.0;87.0
162;B Delfstoffenwinning;2000;1359.0;1797.0;24.3;75.6;1032.0;1430.0;32.7;72.2;327.0;366.0;7.4;89.5
163;B Delfstoffenwinning;2001;1601.0;1892.0;5.3;84.6;1248.0;1508.0;5.4;82.8;353.0;383.0;4.9;92.1
164;B Delfstoffenwinning;2002;1469.0;1914.0;1.1;76.8;1181.0;1614.0;7.1;73.2;288.0;307.0;-19.8;93.7
165;B Delfstoffenwinning;2003;1494.0;1829.0;-4.4;81.7;1187.0;1510.0;-6.4;78.6;307.0;319.0;3.8;96.2
166;B Delfstoffenwinning;2004;1569.0;1889.0;3.3;83.1;1225.0;1539.0;1.9;79.6;344.0;346.0;8.5;99.4
167;B Delfstoffenwinning;2005;1806.0;1806.0;-4.4;100.0;1489.0;1489.0;-3.3;100.0;317.0;317.0;-8.4;100.0
168;B Delfstoffenwinning;2006;2254.0;1824.0;1.0;123.6;1955.0;1535.0;3.1;127.4;299.0;289.0;-8.8;103.5
169;B Delfstoffenwinning;2007;2143.0;1811.0;-0.7;118.3;1846.0;1528.0;-0.5;120.8;297.0;282.0;-2.3;105.2
170;B Delfstoffenwinning;2008;2427.0;1692.0;-6.6;143.4;2107.0;1399.0;-8.5;150.6;320.0;296.0;5.1;107.9
171;B Delfstoffenwinning;2009;2328.0;2025.0;19.7;115.0;2009.0;1721.0;23.0;116.7;319.0;290.0;-2.2;110.0
172;B Delfstoffenwinning;2010;1988.0;1853.0;-8.5;107.3;1628.0;1518.0;-11.8;107.3;360.0;325.0;12.2;110.6
173;B Delfstoffenwinning;2011;2004.0;1653.0;-10.8;121.2;1649.0;1329.0;-12.5;124.1;355.0;316.0;-3.1;112.5
174;B Delfstoffenwinning;2012;2161.0;1647.0;-0.4;131.2;1788.0;1308.0;-1.5;136.7;373.0;331.0;4.8;112.8
175;06 Winning van aardolie en aardgas;1988;348.0;479.0;;72.7;189.0;195.0;;97.0;159.0;244.0;;65.1
176;06 Winning van aardolie en aardgas;1989;381.0;531.0;10.9;71.7;200.0;212.0;9.0;94.2;181.0;277.0;13.2;65.4
177;06 Winning van aardolie en aardgas;1990;412.0;552.0;3.9;74.6;219.0;221.0;4.0;99.2;193.0;287.0;3.9;67.2
178;06 Winning van aardolie en aardgas;1991;500.0;629.0;13.8;79.6;255.0;230.0;4.1;110.9;245.0;359.0;24.9;68.3
179;06 Winning van aardolie en aardgas;1992;511.0;652.0;3.8;78.3;268.0;253.0;10.2;105.8;243.0;349.0;-2.9;69.7
180;06 Winning van aardolie en aardgas;1993;465.0;697.0;6.8;66.7;209.0;282.0;11.2;74.2;256.0;356.0;2.1;72.0
181;06 Winning van aardolie en aardgas;1994;468.0;844.0;21.1;55.4;216.0;426.0;51.2;50.7;252.0;343.0;-3.5;73.4
182;06 Winning van aardolie en aardgas;1995;496.0;887.0;5.1;55.9;215.0;422.0;-0.9;51.0;281.0;379.0;10.3;74.2
183;06 Winning van aardolie en aardgas;1996;657.0;1113.0;25.4;59.0;368.0;675.0;60.0;54.5;289.0;375.0;-1.1;77.2
184;06 Winning van aardolie en aardgas;1997;781.0;1231.0;10.7;63.4;477.0;794.0;17.7;60.1;304.0;381.0;1.7;79.8
185;06 Winning van aardolie en aardgas;1998;802.0;1242.0;0.9;64.6;499.0;826.0;4.0;60.4;303.0;366.0;-3.9;82.8
186;06 Winning van aardolie en aardgas;1999;822.0;1366.0;10.0;60.2;535.0;1001.0;21.2;53.4;287.0;335.0;-8.6;85.8
187;06 Winning van aardolie en aardgas;2000;1293.0;1720.0;25.9;75.2;975.0;1359.0;35.7;71.8;318.0;360.0;7.7;88.3
188;06 Winning van aardolie en aardgas;2001;1532.0;1825.0;6.1;83.9;1187.0;1447.0;6.5;82.1;345.0;378.0;5.0;91.2
189;06 Winning van aardolie en aardgas;2002;1395.0;1838.0;0.7;75.9;1119.0;1550.0;7.2;72.2;276.0;297.0;-21.4;92.9
190;06 Winning van aardolie en aardgas;2003;1420.0;1751.0;-4.7;81.1;1125.0;1445.0;-6.8;77.9;295.0;308.0;3.6;95.8
191;06 Winning van aardolie en aardgas;2004;1495.0;1816.0;3.7;82.3;1160.0;1474.0;2.0;78.7;335.0;338.0;9.8;99.0
192;06 Winning van aardolie en aardgas;2005;1733.0;1733.0;-4.5;100.0;1421.0;1421.0;-3.6;100.0;312.0;312.0;-7.8;100.0
193;06 Winning van aardolie en aardgas;2006;2165.0;1738.0;0.3;124.6;1872.0;1455.0;2.4;128.7;293.0;283.0;-9.3;103.5
194;06 Winning van aardolie en aardgas;2007;2035.0;1716.0;-1.2;118.6;1744.0;1439.0;-1.1;121.2;291.0;276.0;-2.4;105.3
195;06 Winning van aardolie en aardgas;2008;2314.0;1600.0;-6.8;144.6;2000.0;1313.0;-8.8;152.3;314.0;290.0;5.2;108.1
196;06 Winning van aardolie en aardgas;2009;2248.0;1943.0;21.4;115.7;1935.0;1643.0;25.2;117.7;313.0;284.0;-2.2;110.2
197;06 Winning van aardolie en aardgas;2010;1907.0;1769.0;-8.9;107.8;1553.0;1440.0;-12.4;107.9;354.0;319.0;12.5;110.8
198;06 Winning van aardolie en aardgas;2011;1909.0;1559.0;-11.9;122.5;1563.0;1242.0;-13.7;125.8;346.0;307.0;-4.0;112.8
199;06 Winning van aardolie en aardgas;2012;2076.0;1559.0;0.1;133.1;1713.0;1230.0;-1.0;139.2;363.0;321.0;4.6;113.1
200;08 Delfstoffenwinning (geen olie en gas);1988;59.0;45.0;;130.5;56.0;46.0;;122.2;3.0;1.0;;209.0
201;08 Delfstoffenwinning (geen olie en gas);1989;68.0;47.0;3.4;145.4;61.0;44.0;-3.6;138.1;7.0;3.0;133.3;209.0
