ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Waarde_3;CumulatieveWaarde_4
135;58 Uitgeverijen;2010 1e kwartaal;97.0;106.0;-0.1;-0.1
136;58 Uitgeverijen;2010 2e kwartaal;106.0;105.0;-4.9;-2.6
137;58 Uitgeverijen;2010 3e kwartaal;101.0;104.0;-2.5;-2.6
138;58 Uitgeverijen;2010 4e kwartaal;114.0;104.0;-0.2;-1.9
139;58 Uitgeverijen;2010;104.0;104.0;-1.9;-1.9
140;58 Uitgeverijen;2011 1e kwartaal;92.0;103.0;-4.7;-4.7
141;58 Uitgeverijen;2011 2e kwartaal;103.0;103.0;-2.7;-3.6
142;58 Uitgeverijen;2011 3e kwartaal;97.0;102.0;-3.8;-3.7
143;58 Uitgeverijen;2011 4e kwartaal;105.0;99.0;-7.9;-4.8
144;58 Uitgeverijen;2011;99.0;99.0;-4.8;-4.8
145;58 Uitgeverijen;2012 1e kwartaal;91.0;99.0;-2.1;-2.1
146;58 Uitgeverijen;2012 2e kwartaal;100.0;98.0;-3.7;-3.0
147;58 Uitgeverijen;2012 3e kwartaal;94.0;97.0;-3.3;-3.1
148;58 Uitgeverijen;2012 4e kwartaal;95.0;95.0;-8.9;-4.6
149;58 Uitgeverijen;2012;95.0;95.0;-4.6;-4.6
150;"59 Film- en tv-productie; geluidsopname";2003 1e kwartaal;;;;
151;"59 Film- en tv-productie; geluidsopname";2003 2e kwartaal;;;;
152;"59 Film- en tv-productie; geluidsopname";2003 3e kwartaal;;;;
153;"59 Film- en tv-productie; geluidsopname";2003 4e kwartaal;;;;
154;"59 Film- en tv-productie; geluidsopname";2003;;;;
155;"59 Film- en tv-productie; geluidsopname";2004 1e kwartaal;;;;
156;"59 Film- en tv-productie; geluidsopname";2004 2e kwartaal;;;;
157;"59 Film- en tv-productie; geluidsopname";2004 3e kwartaal;;;;
158;"59 Film- en tv-productie; geluidsopname";2004 4e kwartaal;;;;
159;"59 Film- en tv-productie; geluidsopname";2004;;;;
160;"59 Film- en tv-productie; geluidsopname";2005 1e kwartaal;93.0;;;
161;"59 Film- en tv-productie; geluidsopname";2005 2e kwartaal;96.0;;;
162;"59 Film- en tv-productie; geluidsopname";2005 3e kwartaal;96.0;;;
163;"59 Film- en tv-productie; geluidsopname";2005 4e kwartaal;115.0;100.0;;
164;"59 Film- en tv-productie; geluidsopname";2005;100.0;100.0;;
165;"59 Film- en tv-productie; geluidsopname";2006 1e kwartaal;98.0;101.0;5.6;5.6
166;"59 Film- en tv-productie; geluidsopname";2006 2e kwartaal;101.0;103.0;5.6;5.6
167;"59 Film- en tv-productie; geluidsopname";2006 3e kwartaal;101.0;104.0;5.6;5.6
168;"59 Film- en tv-productie; geluidsopname";2006 4e kwartaal;122.0;106.0;5.6;5.6
169;"59 Film- en tv-productie; geluidsopname";2006;106.0;106.0;5.6;5.6
170;"59 Film- en tv-productie; geluidsopname";2007 1e kwartaal;104.0;107.0;5.5;5.5
171;"59 Film- en tv-productie; geluidsopname";2007 2e kwartaal;107.0;108.0;5.5;5.5
172;"59 Film- en tv-productie; geluidsopname";2007 3e kwartaal;107.0;110.0;5.5;5.5
173;"59 Film- en tv-productie; geluidsopname";2007 4e kwartaal;128.0;111.0;5.5;5.5
174;"59 Film- en tv-productie; geluidsopname";2007;111.0;111.0;5.5;5.5
175;"59 Film- en tv-productie; geluidsopname";2008 1e kwartaal;105.0;112.0;1.5;1.5
176;"59 Film- en tv-productie; geluidsopname";2008 2e kwartaal;108.0;112.0;1.5;1.5
177;"59 Film- en tv-productie; geluidsopname";2008 3e kwartaal;108.0;113.0;1.5;1.5
178;"59 Film- en tv-productie; geluidsopname";2008 4e kwartaal;130.0;113.0;1.5;1.5
179;"59 Film- en tv-productie; geluidsopname";2008;113.0;113.0;1.5;1.5
180;"59 Film- en tv-productie; geluidsopname";2009 1e kwartaal;107.0;114.0;1.6;1.6
181;"59 Film- en tv-productie; geluidsopname";2009 2e kwartaal;110.0;114.0;1.5;1.5
182;"59 Film- en tv-productie; geluidsopname";2009 3e kwartaal;108.0;114.0;-0.2;1.0
183;"59 Film- en tv-productie; geluidsopname";2009 4e kwartaal;126.0;113.0;-3.0;-0.2
184;"59 Film- en tv-productie; geluidsopname";2009;113.0;113.0;-0.2;-0.2
185;"59 Film- en tv-productie; geluidsopname";2010 1e kwartaal;97.0;110.0;-9.4;-9.4
186;"59 Film- en tv-productie; geluidsopname";2010 2e kwartaal;93.0;106.0;-15.2;-12.4
187;"59 Film- en tv-productie; geluidsopname";2010 3e kwartaal;103.0;105.0;-4.7;-9.8
188;"59 Film- en tv-productie; geluidsopname";2010 4e kwartaal;123.0;104.0;-2.7;-7.8
189;"59 Film- en tv-productie; geluidsopname";2010;104.0;104.0;-7.8;-7.8
190;"59 Film- en tv-productie; geluidsopname";2011 1e kwartaal;102.0;105.0;5.2;5.2
191;"59 Film- en tv-productie; geluidsopname";2011 2e kwartaal;109.0;109.0;17.2;11.1
192;"59 Film- en tv-productie; geluidsopname";2011 3e kwartaal;102.0;109.0;-1.1;6.8
193;"59 Film- en tv-productie; geluidsopname";2011 4e kwartaal;124.0;109.0;0.9;5.0
194;"59 Film- en tv-productie; geluidsopname";2011;109.0;109.0;5.0;5.0
195;"59 Film- en tv-productie; geluidsopname";2012 1e kwartaal;98.0;108.0;-3.7;-3.7
196;"59 Film- en tv-productie; geluidsopname";2012 2e kwartaal;103.0;107.0;-6.1;-5.0
197;"59 Film- en tv-productie; geluidsopname";2012 3e kwartaal;106.0;108.0;4.2;-2.0
198;"59 Film- en tv-productie; geluidsopname";2012 4e kwartaal;133.0;110.0;7.5;0.7
199;"59 Film- en tv-productie; geluidsopname";2012;110.0;110.0;0.7;0.7
200;60 Radio- en televisieomroepen;2003 1e kwartaal;;;;
201;60 Radio- en televisieomroepen;2003 2e kwartaal;;;;
202;60 Radio- en televisieomroepen;2003 3e kwartaal;;;;
203;60 Radio- en televisieomroepen;2003 4e kwartaal;;;;
204;60 Radio- en televisieomroepen;2003;;;;
205;60 Radio- en televisieomroepen;2004 1e kwartaal;;;;
206;60 Radio- en televisieomroepen;2004 2e kwartaal;;;;
207;60 Radio- en televisieomroepen;2004 3e kwartaal;;;;
208;60 Radio- en televisieomroepen;2004 4e kwartaal;;;;
209;60 Radio- en televisieomroepen;2004;;;;
210;60 Radio- en televisieomroepen;2005 1e kwartaal;91.0;;;
211;60 Radio- en televisieomroepen;2005 2e kwartaal;101.0;;;
212;60 Radio- en televisieomroepen;2005 3e kwartaal;88.0;;;
213;60 Radio- en televisieomroepen;2005 4e kwartaal;120.0;100.0;;
214;60 Radio- en televisieomroepen;2005;100.0;100.0;;
215;60 Radio- en televisieomroepen;2006 1e kwartaal;96.0;101.0;5.6;5.6
216;60 Radio- en televisieomroepen;2006 2e kwartaal;107.0;103.0;5.6;5.6
217;60 Radio- en televisieomroepen;2006 3e kwartaal;93.0;104.0;5.6;5.6
218;60 Radio- en televisieomroepen;2006 4e kwartaal;127.0;106.0;5.6;5.6
219;60 Radio- en televisieomroepen;2006;106.0;106.0;5.6;5.6
220;60 Radio- en televisieomroepen;2007 1e kwartaal;101.0;107.0;5.5;5.5
221;60 Radio- en televisieomroepen;2007 2e kwartaal;112.0;108.0;5.5;5.5
222;60 Radio- en televisieomroepen;2007 3e kwartaal;98.0;110.0;5.5;5.5
223;60 Radio- en televisieomroepen;2007 4e kwartaal;134.0;111.0;5.5;5.5
224;60 Radio- en televisieomroepen;2007;111.0;111.0;5.5;5.5
225;60 Radio- en televisieomroepen;2008 1e kwartaal;103.0;112.0;1.5;1.5
226;60 Radio- en televisieomroepen;2008 2e kwartaal;114.0;112.0;1.5;1.5
227;60 Radio- en televisieomroepen;2008 3e kwartaal;99.0;113.0;1.5;1.5
228;60 Radio- en televisieomroepen;2008 4e kwartaal;136.0;113.0;1.5;1.5
229;60 Radio- en televisieomroepen;2008;113.0;113.0;1.5;1.5
230;60 Radio- en televisieomroepen;2009 1e kwartaal;123.0;118.0;18.9;18.9
231;60 Radio- en televisieomroepen;2009 2e kwartaal;127.0;121.0;10.9;14.7
232;60 Radio- en televisieomroepen;2009 3e kwartaal;104.0;122.0;4.8;11.6
233;60 Radio- en televisieomroepen;2009 4e kwartaal;152.0;126.0;11.7;11.6
234;60 Radio- en televisieomroepen;2009;126.0;126.0;11.6;11.6
235;60 Radio- en televisieomroepen;2010 1e kwartaal;127.0;127.0;3.3;3.3
236;60 Radio- en televisieomroepen;2010 2e kwartaal;141.0;131.0;11.1;7.3
237;60 Radio- en televisieomroepen;2010 3e kwartaal;126.0;136.0;21.0;11.3
238;60 Radio- en televisieomroepen;2010 4e kwartaal;167.0;140.0;9.5;10.8
239;60 Radio- en televisieomroepen;2010;140.0;140.0;10.8;10.8
240;60 Radio- en televisieomroepen;2011 1e kwartaal;131.0;141.0;3.4;3.4
241;60 Radio- en televisieomroepen;2011 2e kwartaal;145.0;142.0;2.8;3.1
242;60 Radio- en televisieomroepen;2011 3e kwartaal;122.0;141.0;-3.0;1.2
243;60 Radio- en televisieomroepen;2011 4e kwartaal;164.0;140.0;-1.6;0.3
244;60 Radio- en televisieomroepen;2011;140.0;140.0;0.3;0.3
245;60 Radio- en televisieomroepen;2012 1e kwartaal;122.0;138.0;-6.6;-6.6
246;60 Radio- en televisieomroepen;2012 2e kwartaal;136.0;136.0;-6.3;-6.5
247;60 Radio- en televisieomroepen;2012 3e kwartaal;120.0;136.0;-1.4;-4.9
248;60 Radio- en televisieomroepen;2012 4e kwartaal;142.0;130.0;-13.5;-7.4
249;60 Radio- en televisieomroepen;2012;130.0;130.0;-7.4;-7.4
250;61 Telecommunicatie;2003 1e kwartaal;97.0;;;
251;61 Telecommunicatie;2003 2e kwartaal;100.0;;;
252;61 Telecommunicatie;2003 3e kwartaal;102.0;;;
253;61 Telecommunicatie;2003 4e kwartaal;103.0;100.0;;
254;61 Telecommunicatie;2003;100.0;100.0;;
255;61 Telecommunicatie;2004 1e kwartaal;97.0;101.0;0.6;0.6
256;61 Telecommunicatie;2004 2e kwartaal;99.0;100.0;-1.4;-0.4
257;61 Telecommunicatie;2004 3e kwartaal;101.0;100.0;-0.6;-0.5
258;61 Telecommunicatie;2004 4e kwartaal;101.0;100.0;-1.9;-0.8
259;61 Telecommunicatie;2004;100.0;100.0;-0.8;-0.8
260;61 Telecommunicatie;2005 1e kwartaal;98.0;100.0;0.6;0.6
261;61 Telecommunicatie;2005 2e kwartaal;101.0;100.0;1.9;1.9
262;61 Telecommunicatie;2005 3e kwartaal;101.0;100.0;-0.5;-0.5
263;61 Telecommunicatie;2005 4e kwartaal;101.0;100.0;-0.2;-0.2
264;61 Telecommunicatie;2005;100.0;100.0;0.5;0.5
265;61 Telecommunicatie;2006 1e kwartaal;100.0;101.0;2.5;2.5
266;61 Telecommunicatie;2006 2e kwartaal;101.0;101.0;0.5;1.5
267;61 Telecommunicatie;2006 3e kwartaal;103.0;101.0;2.8;1.9
268;61 Telecommunicatie;2006 4e kwartaal;107.0;103.0;6.1;3.0
269;61 Telecommunicatie;2006;103.0;103.0;3.0;3.0
270;61 Telecommunicatie;2007 1e kwartaal;103.0;104.0;2.9;2.9
271;61 Telecommunicatie;2007 2e kwartaal;106.0;105.0;4.7;3.8
272;61 Telecommunicatie;2007 3e kwartaal;104.0;105.0;0.4;2.7
273;61 Telecommunicatie;2007 4e kwartaal;104.0;104.0;-3.1;1.2
274;61 Telecommunicatie;2007;104.0;104.0;1.2;1.2
275;61 Telecommunicatie;2008 1e kwartaal;98.0;103.0;-4.7;-4.7
276;61 Telecommunicatie;2008 2e kwartaal;101.0;102.0;-4.6;-4.7
277;61 Telecommunicatie;2008 3e kwartaal;100.0;101.0;-4.2;-4.5
278;61 Telecommunicatie;2008 4e kwartaal;105.0;101.0;0.8;-3.2
279;61 Telecommunicatie;2008;101.0;101.0;-3.2;-3.2
280;61 Telecommunicatie;2009 1e kwartaal;97.0;101.0;-1.2;-1.2
281;61 Telecommunicatie;2009 2e kwartaal;97.0;99.0;-4.4;-2.8
282;61 Telecommunicatie;2009 3e kwartaal;94.0;98.0;-5.3;-3.7
283;61 Telecommunicatie;2009 4e kwartaal;96.0;96.0;-8.5;-4.9
284;61 Telecommunicatie;2009;96.0;96.0;-4.9;-4.9
285;61 Telecommunicatie;2010 1e kwartaal;96.0;96.0;-1.4;-1.4
286;61 Telecommunicatie;2010 2e kwartaal;96.0;95.0;-0.8;-1.1
287;61 Telecommunicatie;2010 3e kwartaal;98.0;96.0;4.1;0.6
288;61 Telecommunicatie;2010 4e kwartaal;96.0;96.0;0.5;0.6
289;61 Telecommunicatie;2010;96.0;96.0;0.6;0.6
290;61 Telecommunicatie;2011 1e kwartaal;93.0;96.0;-2.8;-2.8
291;61 Telecommunicatie;2011 2e kwartaal;96.0;96.0;0.1;-1.3
292;61 Telecommunicatie;2011 3e kwartaal;96.0;95.0;-1.7;-1.4
293;61 Telecommunicatie;2011 4e kwartaal;97.0;96.0;1.0;-0.8
294;61 Telecommunicatie;2011;96.0;96.0;-0.8;-0.8
295;61 Telecommunicatie;2012 1e kwartaal;94.0;96.0;0.8;0.8
296;61 Telecommunicatie;2012 2e kwartaal;94.0;95.0;-1.9;-0.6
297;61 Telecommunicatie;2012 3e kwartaal;92.0;94.0;-4.2;-1.8
298;61 Telecommunicatie;2012 4e kwartaal;95.0;94.0;-2.3;-1.9
299;61 Telecommunicatie;2012;94.0;94.0;-1.9;-1.9
300;62-63 IT- en informatiedienstverlening;2003 1e kwartaal;;;;
301;62-63 IT- en informatiedienstverlening;2003 2e kwartaal;;;;
302;62-63 IT- en informatiedienstverlening;2003 3e kwartaal;;;;
303;62-63 IT- en informatiedienstverlening;2003 4e kwartaal;;;;
304;62-63 IT- en informatiedienstverlening;2003;;;;
305;62-63 IT- en informatiedienstverlening;2004 1e kwartaal;;;;
306;62-63 IT- en informatiedienstverlening;2004 2e kwartaal;;;;
307;62-63 IT- en informatiedienstverlening;2004 3e kwartaal;;;;
308;62-63 IT- en informatiedienstverlening;2004 4e kwartaal;;;;
309;62-63 IT- en informatiedienstverlening;2004;;;;
310;62-63 IT- en informatiedienstverlening;2005 1e kwartaal;95.0;;;
311;62-63 IT- en informatiedienstverlening;2005 2e kwartaal;97.0;;;
312;62-63 IT- en informatiedienstverlening;2005 3e kwartaal;94.0;;;
313;62-63 IT- en informatiedienstverlening;2005 4e kwartaal;113.0;100.0;;
314;62-63 IT- en informatiedienstverlening;2005;100.0;100.0;;
315;62-63 IT- en informatiedienstverlening;2006 1e kwartaal;107.0;103.0;12.0;12.0
316;62-63 IT- en informatiedienstverlening;2006 2e kwartaal;107.0;105.0;9.9;11.0
317;62-63 IT- en informatiedienstverlening;2006 3e kwartaal;105.0;108.0;11.0;11.0
318;62-63 IT- en informatiedienstverlening;2006 4e kwartaal;127.0;111.0;12.4;11.4
319;62-63 IT- en informatiedienstverlening;2006;111.0;111.0;11.4;11.4
320;62-63 IT- en informatiedienstverlening;2007 1e kwartaal;120.0;115.0;12.5;12.5
321;62-63 IT- en informatiedienstverlening;2007 2e kwartaal;121.0;118.0;13.0;12.8
322;62-63 IT- en informatiedienstverlening;2007 3e kwartaal;119.0;122.0;13.6;13.0
323;62-63 IT- en informatiedienstverlening;2007 4e kwartaal;138.0;124.0;8.4;11.7
324;62-63 IT- en informatiedienstverlening;2007;124.0;124.0;11.7;11.7
325;62-63 IT- en informatiedienstverlening;2008 1e kwartaal;128.0;126.0;6.4;6.4
326;62-63 IT- en informatiedienstverlening;2008 2e kwartaal;132.0;129.0;8.9;7.7
327;62-63 IT- en informatiedienstverlening;2008 3e kwartaal;128.0;131.0;7.8;7.7
328;62-63 IT- en informatiedienstverlening;2008 4e kwartaal;144.0;133.0;4.7;6.9
329;62-63 IT- en informatiedienstverlening;2008;133.0;133.0;6.9;6.9
330;62-63 IT- en informatiedienstverlening;2009 1e kwartaal;134.0;135.0;5.2;5.2
331;62-63 IT- en informatiedienstverlening;2009 2e kwartaal;131.0;134.0;-0.4;2.3
332;62-63 IT- en informatiedienstverlening;2009 3e kwartaal;120.0;133.0;-6.0;-0.4
333;62-63 IT- en informatiedienstverlening;2009 4e kwartaal;138.0;131.0;-4.2;-1.4
334;62-63 IT- en informatiedienstverlening;2009;131.0;131.0;-1.4;-1.4
335;62-63 IT- en informatiedienstverlening;2010 1e kwartaal;129.0;130.0;-3.7;-3.7
336;62-63 IT- en informatiedienstverlening;2010 2e kwartaal;127.0;129.0;-3.4;-3.5
337;62-63 IT- en informatiedienstverlening;2010 3e kwartaal;122.0;129.0;1.4;-2.0
338;62-63 IT- en informatiedienstverlening;2010 4e kwartaal;142.0;130.0;2.6;-0.8
339;62-63 IT- en informatiedienstverlening;2010;130.0;130.0;-0.8;-0.8
340;62-63 IT- en informatiedienstverlening;2011 1e kwartaal;132.0;131.0;1.6;1.6
