ID;Perioden;TotaalEnergieaanbodTPES_1;WinningTotaal_2;WinningVanSteenkool_3;WinningVanBruinkool_4;Invoer_5;Uitvoer_6;Bunkering_7;Voorraadmutatie_8;SteenkoolbrikettenProductie_9;ProductieTotaal_10;ProductieUitCokesfabrieken_11;ProductieOverig_12;ProductieOpenbareGasbedrijven_13;AfzetOpenbareDistributiebedrijven_14
90;1892;4125.0;;96.0;;4151.0;122.0;;;;;;;;
91;1893;4170.0;;101.0;;4256.0;187.0;;;;;;;;
92;1894;4216.0;;109.0;;4220.0;113.0;;;;;;;;
93;1895;4208.0;;127.0;;4210.0;129.0;;;;;;;;
94;1896;4532.0;;138.0;;4556.0;162.0;;;;;;;;
95;1897;4754.0;;150.0;;4778.0;174.0;;;;;;;;
96;1898;4680.0;;150.0;;4838.0;308.0;;;;;;;;
97;1899;4819.0;;213.0;;4913.0;307.0;;;;;;;;
98;1900;5321.0;;320.0;;5482.0;481.0;;;;;;;;
99;1901;5184.0;;311.0;;5118.0;245.0;;;;;;;;
100;1902;5161.0;;390.0;;5196.0;425.0;;;;;;;;
101;1903;5511.0;;458.0;;5693.0;640.0;;;;;;;;
102;1904;5860.0;;443.0;;6222.0;805.0;;;;;;;;
103;1905;6028.0;;487.0;;6832.0;1291.0;;;;;;;;
104;1906;6560.0;;549.0;;7065.0;1054.0;;;;;;;;
105;1907;6772.0;;723.0;;7598.0;1549.0;;;;;;;;
106;1908;6904.0;;908.0;;7066.0;1070.0;;;;;;;;
107;1909;7279.0;;1121.0;;7782.0;1624.0;;;;;;;;
108;1910;7623.0;;1292.0;;8339.0;2008.0;;;;;;;;
109;1911;8091.0;;1477.0;;8985.0;2372.0;;;;;;;;
110;1912;9159.0;;1725.0;;9914.0;2481.0;;;;;;;;
111;1913;10167.0;;1902.0;;11000.0;2736.0;;;;;;;;
112;1914;;;1983.0;;;;;;;;;;;
113;1915;;;2333.0;;;;;;;;;;;
114;1916;;;2656.0;;;;;;293.0;;;;;
115;1917;;3168.0;3126.0;42.0;;;;;388.0;;;;;
116;1918;;5032.0;3548.0;1484.0;;;;;504.0;;;;;
117;1919;;5422.0;3540.0;1882.0;;;;;584.0;;;;;
118;1920;;5512.0;4116.0;1396.0;;;;;634.0;708.0;139.0;569.0;;
119;1921;;4365.0;4243.0;122.0;;;;;585.0;839.0;229.0;610.0;;
120;1922;;4895.0;4866.0;29.0;;;;;626.0;1117.0;452.0;665.0;;
121;1923;;5649.0;5595.0;54.0;;;;;474.0;1372.0;672.0;700.0;;
122;1924;;6371.0;6180.0;191.0;;;;;562.0;1726.0;976.0;750.0;;
123;1925;;7325.0;7117.0;208.0;;;;;571.0;1981.0;1144.0;837.0;245.0;
124;1926;;9054.0;8843.0;211.0;;;;;675.0;2080.0;1199.0;881.0;;
125;1927;;9689.0;9488.0;201.0;;;;;662.0;2349.0;1479.0;870.0;;
126;1928;;11117.0;10920.0;197.0;;;;;786.0;2402.0;1573.0;829.0;;
127;1929;;11738.0;11581.0;157.0;;;;;958.0;3289.0;2403.0;886.0;;
128;1930;;12355.0;12211.0;144.0;;;;;946.0;3470.0;2599.0;871.0;305.0;
129;1931;;13023.0;12901.0;122.0;;;;;1213.0;3607.0;2739.0;868.0;;
130;1932;;12880.0;12756.0;124.0;;;;;1171.0;3368.0;2520.0;848.0;;
131;1933;;12671.0;12574.0;97.0;;;;;1103.0;3455.0;2609.0;846.0;;
132;1934;;12433.0;12341.0;92.0;;;;;1087.0;3562.0;2779.0;783.0;;
133;1935;;11964.0;11878.0;86.0;;;;;1087.0;3618.0;2878.0;740.0;269.0;
134;1936;;12892.0;12803.0;89.0;;;;;1120.0;3775.0;3053.0;722.0;261.0;
135;1937;;14464.0;14321.0;143.0;;;;;1277.0;4098.0;3365.0;733.0;265.0;
136;1938;15259.0;13659.0;13488.0;171.0;7700.0;6100.0;;;1263.0;4051.0;3158.0;893.0;274.0;
137;1939;;12878.0;12681.0;197.0;;;;;1269.0;3964.0;3043.0;921.0;283.0;
138;1940;;12344.0;12145.0;199.0;;;;;1217.0;3386.0;2376.0;1010.0;307.0;
139;1941;;13555.0;13356.0;199.0;;;;;1135.0;3320.0;2256.0;1064.0;343.0;
140;1942;;12611.0;12330.0;281.0;;;;;968.0;3220.0;2049.0;1171.0;395.0;
141;1943;;12880.0;12497.0;383.0;;;;;896.0;3359.0;2148.0;1211.0;391.0;
142;1944;;8546.0;8313.0;233.0;;;;;608.0;2474.0;1530.0;944.0;327.0;
143;1945;;5227.0;5097.0;130.0;;;;;413.0;1191.0;858.0;333.0;119.0;
144;1946;;8797.0;8314.0;483.0;;;187.0;;726.0;2229.0;1287.0;942.0;312.0;
145;1947;;10578.0;10104.0;474.0;;;251.0;;910.0;2894.0;1794.0;1100.0;363.0;
146;1948;;11311.0;11032.0;279.0;;;260.0;;936.0;3392.0;2261.0;1131.0;402.0;
147;1949;;11910.0;11705.0;205.0;;;332.0;;992.0;3661.0;2492.0;1169.0;403.0;476.0
148;1950;;12441.0;12247.0;194.0;;;377.0;;1049.0;3981.0;2826.0;1155.0;419.0;525.0
149;1951;17037.0;12673.0;12424.0;249.0;5072.0;360.0;348.0;;1062.0;4119.0;3010.0;1109.0;423.0;548.0
150;1952;17458.0;12767.0;12532.0;235.0;5239.0;282.0;266.0;;944.0;4341.0;3268.0;1073.0;428.0;584.0
151;1953;16989.0;12549.0;12297.0;252.0;5132.0;494.0;198.0;;904.0;4238.0;3286.0;952.0;398.0;571.0
152;1954;17859.0;12243.0;12071.0;172.0;7015.0;1225.0;174.0;;940.0;4309.0;3380.0;929.0;419.0;632.0
153;1955;18351.0;12150.0;11895.0;255.0;7604.0;1160.0;243.0;;1012.0;4789.0;3901.0;888.0;417.0;678.0
154;1956;19272.0;12106.0;11836.0;270.0;8516.0;1152.0;198.0;;1072.0;5001.0;4237.0;764.0;392.0;733.0
155;1957;19037.0;11664.0;11376.0;288.0;8687.0;1151.0;163.0;;1142.0;4902.0;4244.0;658.0;361.0;718.0
156;1958;17796.0;12135.0;11880.0;255.0;7096.0;1376.0;59.0;;1086.0;4644.0;4081.0;563.0;354.0;751.0
157;1959;16795.0;12177.0;11978.0;199.0;6507.0;1847.0;42.0;;1068.0;4518.0;4083.0;435.0;319.0;776.0
158;1960;17381.0;12502.0;12498.0;4.0;7099.0;2192.0;28.0;;1181.0;4809.0;4517.0;292.0;287.0;815.0
159;1961;17403.0;12621.0;12621.0;;7159.0;2377.0;;;1281.0;4787.0;4554.0;233.0;265.0;856.0
160;1962;18157.0;11573.0;11573.0;;8923.0;2339.0;;;1369.0;4474.0;4274.0;200.0;270.0;961.0
161;1963;18884.0;11509.0;11509.0;;9949.0;2574.0;;;1561.0;4447.0;4270.0;177.0;283.0;998.0
162;1964;18613.0;11480.0;11480.0;;9292.0;2159.0;;;1355.0;4623.0;4514.0;109.0;238.0;962.0
163;1965;16460.0;11446.0;11446.0;;7107.0;2093.0;;;1349.0;4383.0;4286.0;97.0;186.0;885.0
164;1966;14881.0;10052.0;10052.0;;6679.0;1850.0;;;1222.0;3887.0;3827.0;60.0;105.0;597.0
165;1967;13169.0;8065.0;8065.0;;7039.0;1935.0;;;1090.0;3332.0;3314.0;18.0;29.0;254.0
166;1968;12100.0;6663.0;6663.0;;7412.0;1975.0;;;1053.0;2931.0;2928.0;3.0;3.0;52.0
167;1969;9702.0;5564.0;5564.0;;5930.0;1792.0;;;1051.0;2032.0;2029.0;3.0;1.0;11.0
168;1970;7460.0;4334.0;4334.0;;4773.0;1647.0;;;886.0;1997.0;1997.0;0.0;;
169;1971;4783.0;3609.0;3609.0;;3471.0;2305.0;;8.0;585.0;1900.0;1900.0;0.0;;
170;1972;3900.0;2811.0;2811.0;;3367.0;2429.0;;151.0;465.0;1994.0;1994.0;0.0;;
171;1973;4588.0;1722.0;1722.0;;4188.0;1926.0;;604.0;250.0;2655.0;2655.0;0.0;;
172;1974;4303.0;758.0;758.0;;4637.0;1168.0;;76.0;;2687.0;2687.0;0.0;;
173;1975;4067.0;;;;4319.0;135.0;;-117.0;;2638.0;2638.0;0.0;;
174;1976;5117.0;;;;5190.0;161.0;;88.0;;2770.0;2770.0;0.0;;
175;1977;5182.0;;;;5310.0;47.0;;-81.0;;2462.0;2462.0;0.0;;
176;1978;5505.0;;;;5496.0;268.0;;276.0;;2401.0;2401.0;0.0;;
177;1979;5127.0;;;;6578.0;1298.0;;-153.0;;2529.0;2529.0;0.0;;
178;1980;6112.0;;;;7071.0;1260.0;;301.0;;2455.0;2455.0;0.0;;
179;1981;6328.0;;;;7887.0;890.0;;-1061.0;;2242.0;2242.0;0.0;;
180;1982;8282.0;;;;8910.0;665.0;;-1096.0;;2428.0;2428.0;0.0;;
181;1983;7986.0;112.0;112.0;;7678.0;643.0;;951.0;;2126.0;2126.0;0.0;;
182;1984;9780.0;109.0;109.0;;10890.0;1519.0;;409.0;;2721.0;2720.0;1.0;;
183;1985;9979.0;98.0;98.0;;11624.0;1738.0;;93.0;;2972.0;2958.0;14.0;;
184;1986;10334.0;76.0;76.0;;12271.0;2374.0;;437.0;;2888.0;2877.0;11.0;;
185;1987;11055.0;;;;13145.0;1720.0;;-370.0;;2747.0;2736.0;11.0;;
186;1988;13069.0;;;;14867.0;1764.0;;-35.0;;2920.0;2908.0;12.0;;
187;1989;12995.0;;;;14132.0;1081.0;;-57.0;;2908.0;2898.0;10.0;;
188;1990;12881.0;;;;12880.0;;;0.0;;2743.0;2736.0;7.0;;
189;1991;12209.0;;;;12209.0;;;0.0;;2937.0;2932.0;5.0;;
190;1992;12267.0;;;;12267.0;;;0.0;;2922.0;2918.0;4.0;;
191;1993;12067.0;;;;12070.0;;;-3.0;;2880.0;2876.0;4.0;;
192;1994;13052.0;;;;13052.0;;;0.0;;2894.0;2886.0;8.0;;
193;1995;14278.0;;;;14311.0;;;-34.0;;2895.0;2888.0;7.0;;
194;1996;14124.0;;;;13936.0;;;188.0;;2921.0;2914.0;7.0;;
195;1997;14158.0;;;;14468.0;;;-311.0;;2905.0;2896.0;9.0;;
196;1998;14505.0;;;;14698.0;;;-193.0;;2837.0;2829.0;9.0;;
197;1999;12074.0;;;;11900.0;;;173.0;;2327.0;2318.0;9.0;;
198;2000;12742.0;;;;12619.0;;;123.0;;2127.0;2116.0;11.0;;
199;2001;13562.0;;;;13623.0;;;-61.0;;2214.0;2204.0;10.0;;
200;2002;13421.0;;;;13481.0;;;-60.0;;2127.0;2116.0;12.0;;
201;2003;13660.0;;;;13520.0;;;140.0;;2154.0;2144.0;10.0;;
202;2004;13541.0;;;;13641.0;;;-99.0;;2216.0;2205.0;11.0;;
203;2005;13006.0;;;;13007.0;;;-1.0;;2249.0;2238.0;12.0;;
204;2006;12652.0;;;;12526.0;;;126.0;;2174.0;2162.0;12.0;;
205;2007;13466.0;;;;13586.0;;;-121.0;;2172.0;2163.0;9.0;;
206;2008;12691.0;;;;12672.0;;;19.0;;2100.0;2086.0;13.0;;
207;2009;11886.0;;;;11806.0;;;80.0;;1690.0;1683.0;7.0;;
208;2010;11890.0;;;;12053.0;;;-163.0;;2030.0;2022.0;8.0;;
209;2011;11709.0;;;;11827.0;;;-118.0;;2015.0;2007.0;8.0;;
210;2012;12818.0;;;;12772.0;;;46.0;;1883.0;1879.0;5.0;;
211;2013;13005.0;;;;12934.0;;;72.0;;1985.0;1985.0;;;
212;2014;14577.0;;;;15012.0;;;-435.0;;2011.0;2011.0;;;
213;2015;18020.0;;;;17426.0;;;594.0;;2035.0;2035.0;;;
214;2016;16522.0;;;;16394.0;;;128.0;;2034.0;2034.0;;;
215;2017;14735.0;;;;14920.0;;;-185.0;;1964.0;1964.0;;;
216;2018;13102.0;;;;13043.0;;;58.0;;1986.0;1986.0;;;
217;2019;10182.0;;;;10368.0;;;-187.0;;1988.0;1988.0;;;
218;2020;6507.0;;;;6048.0;;;459.0;;1879.0;1879.0;;;
219;2021;8854.0;;;;8728.0;;;125.0;;1885.0;1885.0;;;
220;2022;8848.0;;;;9066.0;;;-218.0;;1825.0;1825.0;;;
221;2023;6388.0;;;;6503.0;;;-115.0;;1761.0;1761.0;;;
