ID;HerkomstRDGelden;Perioden;TotaalNederland_1;DoorBedrijven_2;DoorParticuliereNonProfitinstellingen_3;DoorResearchinstellingen_4;DoorUniversiteiten_5;TotaalBuitenland_6;TotaalUitbestedeRD_7;VerrichteRDUitgavenEigenPersoneel_8
67;5;2001;9;1;0;7;1;0.0;9.0;2184.0
68;5;2002;11;0;0;11;0;0.0;11.0;2312.0
69;5;2003;12;0;0;12;0;0.0;12.0;2356.0
70;6;1990;105;73;11;16;5;;101.0;
71;6;1991;94;60;10;19;5;;94.0;
72;6;1992;118;76;16;21;5;;118.0;
73;6;1993;228;179;11;33;5;;227.0;
74;6;1994;378;329;3;45;1;;378.0;
75;6;1995;422;370;3;49;0;;423.0;
76;6;1996;362;303;4;55;0;;362.0;
77;6;1997;735;667;4;63;1;;735.0;
78;6;1998;589;518;4;67;0;;590.0;
79;6;1999;694;615;4;75;0;;695.0;
80;6;2000;735;669;3;63;0;;735.0;
81;6;2001;763;663;5;95;0;;763.0;
82;6;2002;753;662;0;91;0;;753.0;
83;6;2003;755;679;0;76;0;;755.0;
84;7;1990;684;230;57;295;102;153.0;826.0;
85;7;1991;718;229;64;329;96;153.0;874.0;
86;7;1992;765;254;81;333;97;141.0;904.0;
87;7;1993;933;420;75;325;113;143.0;1077.0;
88;7;1994;1326;571;45;408;302;199.0;1526.0;
89;7;1995;1336;581;44;404;307;190.0;1526.0;
90;7;1996;1341;581;53;398;309;231.0;1571.0;
91;7;1997;1912;1078;59;438;337;345.0;2258.0;
92;7;1998;1872;957;58;472;385;351.0;2225.0;
93;7;1999;2045;1021;61;548;415;441.0;2487.0;
94;7;2000;2054;1068;33;473;480;427.0;2481.0;
95;7;2001;2208;1106;36;531;535;659.0;2867.0;
96;7;2002;2125;1047;27;509;542;541.0;2666.0;
97;7;2003;2273;1097;3;545;628;519.0;2792.0;
98;8;1990;2383;284;56;732;1311;;;
99;8;1991;2380;134;62;781;1403;;;
100;8;1992;2415;113;63;801;1438;;;
101;8;1993;2525;128;69;855;1473;;;
102;8;1994;2544;195;30;977;1342;;;
103;8;1995;2605;181;39;952;1433;;;
104;8;1996;2697;161;34;992;1510;;;
105;8;1997;2747;174;34;1003;1536;;;
106;8;1998;2671;127;35;1020;1489;;;
107;8;1999;2804;231;36;958;1579;;;
108;8;2000;3078;236;38;1117;1687;;;
109;8;2001;2945;220;34;1070;1621;;;
110;8;2002;3148;198;20;1114;1816;;;
111;8;2003;3376;186;2;1336;1852;;;
112;9;1990;2383;284;56;732;1311;;;
113;9;1991;2380;134;62;781;1403;;;
114;9;1992;2415;113;63;801;1438;;;
115;9;1993;2471;101;69;828;1473;;;
116;9;1994;2420;163;29;941;1287;;;
117;9;1995;2467;136;39;919;1373;;;
118;9;1996;2577;137;34;956;1450;;;
119;9;1997;2614;141;33;965;1475;;;
120;9;1998;2540;106;34;977;1423;;;
121;9;1999;2652;200;34;909;1509;;;
122;9;2000;2925;217;35;1065;1608;;;
123;9;2001;2816;204;32;1034;1546;;;
124;9;2002;2967;161;14;1067;1725;;;
125;9;2003;3187;147;2;1277;1761;;;
126;10;1990;0;0;0;0;0;;;
127;10;1991;0;0;0;0;0;;;
128;10;1992;0;0;0;0;0;;;
129;10;1993;54;26;1;27;0;;;
130;10;1994;123;32;1;35;55;;;
131;10;1995;137;44;1;32;60;;;
132;10;1996;121;25;1;35;60;;;
133;10;1997;134;33;1;39;61;;;
134;10;1998;131;20;1;44;66;;;
135;10;1999;151;31;1;49;70;;;
136;10;2000;153;19;3;52;79;;;
137;10;2001;129;16;2;36;75;;;
138;10;2002;181;37;6;47;91;;;
139;10;2003;189;39;0;59;91;;;
140;11;1990;3072;513;115;1031;1413;;;
141;11;1991;3098;363;126;1110;1499;;;
142;11;1992;3179;367;143;1134;1535;;;
143;11;1993;3458;548;144;1180;1586;;;
144;11;1994;3869;766;75;1384;1644;;;
145;11;1995;3939;761;83;1356;1739;;;
146;11;1996;4038;742;88;1389;1819;;;
147;11;1997;4660;1252;93;1442;1873;;;
148;11;1998;4545;1084;93;1493;1875;;;
149;11;1999;4849;1252;97;1506;1994;;;
150;11;2000;5132;1304;71;1590;2167;;;
151;11;2001;5153;1326;70;1601;2156;;;
152;11;2002;5273;1245;47;1623;2358;;;
153;11;2003;5649;1283;5;1881;2480;;;
