ID;Perioden;Top10;NaamVanHetBeursfonds_1;PercentageStijging_2;NaamVanHetBeursfonds_3;PercentageDaling_4
28;2001, juni;9;New Skies Satellites                    ;5.0;NedGraphics Holding                     ;-32.9
29;2001, juni;10;Wolters-Kluwer                          ;4.6;C/TAC                                   ;-30.3
30;2001, juli;1;Fox Kids Europe                         ;29.9;ICT Automatisering                      ;-58.6
31;2001, juli;2;Devote                                  ;28.6;United Pan-Europe Communications        ;-55.3
32;2001, juli;3;Dico International                      ;17.2;Pharming Group                          ;-50.4
33;2001, juli;4;OPG Groep                               ;17.1;VersaTel Telecom International          ;-48.8
34;2001, juli;5;ASM International                       ;14.3;Seagull Holding                         ;-40.7
35;2001, juli;6;AFC Ajax                                ;14.0;SNT Group                               ;-39.1
36;2001, juli;7;TIE Holding                             ;9.6;Newconomy                               ;-38.9
37;2001, juli;8;Koninklijke Ten Cate                    ;9.2;Sopheon                                 ;-33.0
38;2001, juli;9;Sligro Beheer                           ;9.0;Magnus                                  ;-32.6
39;2001, juli;10;Koninklijke Brill                       ;7.9;Rood Testhouse                          ;-31.3
40;2001, augustus;1;Unit 4 Agresso                          ;26.3;United Pan-Europe Communications        ;-69.4
41;2001, augustus;2;Vedior                                  ;22.1;Newconomy                               ;-59.1
42;2001, augustus;3;BE Semiconductor Ind.                   ;18.4;Versatel Telecom International          ;-55.0
43;2001, augustus;4;Copaco                                  ;14.0;Seagull Holding                         ;-44.7
44;2001, augustus;5;Randstad Holding                        ;11.0;Kon. KPN                                ;-43.2
45;2001, augustus;6;Neways Electronics                      ;10.9;Simac Techniek                          ;-40.0
46;2001, augustus;7;Sligro Beheer                           ;8.9;Laurus                                  ;-35.4
47;2001, augustus;8;Fox Kids Europe                         ;8.4;KPNQwest                                ;-31.1
48;2001, augustus;9;Cardio Control                          ;7.0;EMIS                                    ;-29.4
49;2001, augustus;10;C/Tac                                   ;6.1;Kon. Nedlloyd                           ;-27.7
50;2001, september;1;Laurus                                  ;20.5;LCI Technology Group                    ;-50.4
51;2001, september;2;EMIS                                    ;12.9;KLM                                     ;-47.3
52;2001, september;3;Libertel                                ;8.1;Seagull Holding                         ;-47.1
53;2001, september;4;Amsterdam Commodities                   ;7.3;ASM International                       ;-45.2
54;2001, september;5;Polynorm                                ;6.1;IsoTis                                  ;-43.6
55;2001, september;6;Dico International                      ;4.4;PinkRoccade                             ;-41.4
56;2001, september;7;Wolters-Kluwer                          ;3.6;SNT Group                               ;-41.4
57;2001, september;8;Simac Techniek                          ;3.3;Prolion                                 ;-39.0
58;2001, september;9;Cardio Control                          ;2.2;ASLM                                    ;-37.5
59;2001, september;10;Kon. Econosto                           ;2.1;CSS                                     ;-37.3
60;2001, oktober;1;Newconomy                               ;150.0;LCI Technology Group                    ;-61.7
61;2001, oktober;2;Seagull Holding                         ;98.8;EMBA                                    ;-22.0
62;2001, oktober;3;VersaTel Telecom International          ;86.7;DNC De Nederlanden Compagnie            ;-18.8
63;2001, oktober;4;UPC                                     ;69.4;Landis Group                            ;-18.2
64;2001, oktober;5;KPNQwest                                ;54.3;HBG                                     ;-15.3
65;2001, oktober;6;Magnus                                  ;51.7;Macintosh Retail Group                  ;-15.0
66;2001, oktober;7;Tie Holding                             ;45.5;Kon. Numico                             ;-14.8
67;2001, oktober;8;SNT Group                               ;44.0;Ordina                                  ;-14.6
68;2001, oktober;9;Kon. KPN                                ;43.3;Aino                                    ;-14.3
69;2001, oktober;10;Polynorm                                ;38.9;Maverix Capital                         ;-14.0
70;2001, november;1;Landis Group                            ;65.3;LCI Technology Group                    ;-47.8
71;2001, november;2;Buhrmann                                ;62.3;Twentsche Kabel Holding                 ;-21.6
72;2001, november;3;Dico International                      ;57.1;Aino                                    ;-18.3
73;2001, november;4;Getronics                               ;39.5;Nutreco Holding                         ;-17.4
74;2001, november;5;Tie Holding                             ;37.5;Magnus                                  ;-15.6
75;2001, november;6;Tulip Computers                         ;35.0;Samas Group                             ;-14.9
76;2001, november;7;C/Tac                                   ;34.2;Koninklijke Ten cate                    ;-13.8
77;2001, november;8;Cardio Control                          ;32.0;Prolion                                 ;-13.7
78;2001, november;9;KLM                                     ;30.2;Textiel Groep Twenthe                   ;-13.4
79;2001, november;10;HITT                                    ;28.4;Helvoet Holding                         ;-12.5
80;2001, december;1;Seagull Holding                         ;96.2;LCI Technology Group                    ;-45.8
81;2001, december;2;Textielgroep Twenthe                    ;59.4;VersaTel Telecom International          ;-21.8
82;2001, december;3;Free Record Shop Holding                ;56.6;Ballast Nedam                           ;-16.7
83;2001, december;4;Scala Business Solutions                ;50.0;Unit 4 Agresso                          ;-16.5
84;2001, december;5;Blydenstein-Willink                     ;43.8;KPNQwest                                ;-13.0
85;2001, december;6;Macintosh Retail Group                  ;37.7;Priority Telecom                        ;-13.0
86;2001, december;7;Cardio Control                          ;31.8;Nyloplast                               ;-12.7
87;2001, december;8;ASM International                       ;27.9;Dico International                      ;-12.1
88;2001, december;9;Magnus                                  ;27.2;Getronics                               ;-11.9
89;2001, december;10;Aalberts Industries                     ;24.6;PinkRoccade                             ;-11.2
90;2002, januari;1;Newconomy                               ;42.1;Prolion                                 ;-42.1
91;2002, januari;2;Centric KSI Holding                     ;31.4;Seagull Holding                         ;-24.7
92;2002, januari;3;Copaco                                  ;29.8;Landis Group                            ;-24.0
93;2002, januari;4;Porceleijne Fles                        ;27.6;LCI Technology Group                    ;-16.5
94;2002, januari;5;Kuhne + Heitz                           ;25.5;KPNQwest                                ;-17.4
95;2002, januari;6;ICT Automatisering                      ;24.8;Laurus                                  ;-15.1
96;2002, januari;7;McGregor Fashion Group                  ;20.7;VersaTel Telecom International          ;-14.4
97;2002, januari;8;Imtech                                  ;20.6;Sopheon                                 ;-12.2
98;2002, januari;9;KLM                                     ;19.8;BE Semiconductor Industries             ;-11.8
99;2002, januari;10;EMBA                                    ;19.7;EMIS                                    ;-11.7
100;2002, februari;1;HBG                                     ;56.6;KPNQwest                                ;-38.0
101;2002, februari;2;Helvoet                                 ;46.5;Prolion                                 ;-32.2
102;2002, februari;3;Dico International                      ;27.3;Getronics                               ;-22.2
103;2002, februari;4;Ballast Nedam                           ;26.5;New Skies Satellites                    ;-22.1
104;2002, februari;5;Beter Bed Holding                       ;26.3;Vodafone Libertel                       ;-21.8
105;2002, februari;6;Nyloplast                               ;25.7;Sopheon                                 ;-20.9
106;2002, februari;7;Crown van Gelder                        ;21.7;Landis Group                            ;-20.1
107;2002, februari;8;Delft Instruments                       ;18.3;Naeff                                   ;-16.0
108;2002, februari;9;ASM International                       ;16.8;Porceleijne Fles                        ;-15.8
109;2002, februari;10;SNT Group                               ;16.1;CCS Holding                             ;-14.9
110;2002, maart;1;Prolion                                 ;93.2;Landis Group                            ;-67.4
111;2002, maart;2;Brunel International                    ;48.8;Laurus                                  ;-60.0
112;2002, maart;3;Blue Fox Enterprises                    ;34.0;Sopheon                                 ;-38.2
113;2002, maart;4;Randstad Holding                        ;32.9;Kon. Begeman Groep                      ;-28.6
114;2002, maart;5;Fornix BioSciences                      ;32.4;Beter Bed Holding                       ;-20.9
115;2002, maart;6;Nedcon Groep                            ;29.5;Priority Telecom                        ;-18.4
116;2002, maart;7;Getronics                               ;26.6;Tulip Computers                         ;-17.4
117;2002, maart;8;Hagemeijer                              ;25.7;Newconomy                               ;-13.8
118;2002, maart;9;Seagull Holding                         ;24.0;LCI Technology Group                    ;-11.1
119;2002, maart;10;Koninklijke Numico                      ;22.7;Boskalis Westminster                    ;-9.3
120;2002, april;1;Sopheon                                 ;23.8;KPNQwest                                ;-76.9
121;2002, april;2;Naeff                                   ;19.7;Priority Telecom                        ;-62.5
122;2002, april;3;Ballast Nedam                           ;17.2;Prolion                                 ;-36.0
123;2002, april;4;Kon. Begemann Groep                     ;14.3;CMG                                     ;-32.3
124;2002, april;5;AFC Ajax                                ;14.0;AOT                                     ;-24.3
125;2002, april;6;Kon. Nedlloyd                           ;13.5;CCS                                     ;-24.0
126;2002, april;7;Aalberts Industries                     ;13.0;Rood Testhouse                          ;-22.5
127;2002, april;8;Telegraaf                               ;12.0;Van der Moolen Holding                  ;-22.3
128;2002, april;9;Newconomy                               ;12.0;Crucell                                 ;-19.5
129;2002, april;10;Kon. Ten Cate                           ;11.9;Getronics                               ;-18.4
130;2002, mei;1;Priority Telecom                        ;34.6;PinkRoccade                             ;-48.0
131;2002, mei;2;Kon. Econosto                           ;14.5;CCS                                     ;-42.0
132;2002, mei;3;Exendis                                 ;14.3;Magnus                                  ;-29.0
133;2002, mei;4;Sligro Beheer                           ;13.7;CMG                                     ;-28.5
134;2002, mei;5;Alanheri                                ;13.5;Draka Holding                           ;-26.5
135;2002, mei;6;Porceleije Fles                         ;12.8;Seagull Holding                         ;-25.5
136;2002, mei;7;Vodafone Libertel                       ;11.3;Ordina                                  ;-25.5
137;2002, mei;8;Crucell                                 ;11.3;LCI                                     ;-25.0
138;2002, mei;9;Van Lanschot                            ;10.1;Rood Testhouse                          ;-23.7
139;2002, mei;10;Frans Maas Beheer                       ;9.5;Getronics                               ;-22.2
140;2002, juni;1;DICO International                      ;19.1;LCI Technology                          ;-50.0
141;2002, juni;2;Baan Company                            ;11.8;AINO                                    ;-33.8
142;2002, juni;3;HES Beheer                              ;10.0;Hagemeyer                               ;-33.6
143;2002, juni;4;Magnus                                  ;10.0;C/TAC                                   ;-31.9
144;2002, juni;5;Naeff                                   ;9.7;Buhrmann                                ;-25.9
145;2002, juni;6;DocData                                 ;6.6;Simac Techniek                          ;-24.8
146;2002, juni;7;SNT Group                               ;6.1;CMG                                     ;-24.0
147;2002, juni;8;Kon. Nedschroef Holding                 ;5.0;Scala Business Solutions                ;-22.8
148;2002, juni;9;TPG                                     ;4.7;Tie Holding                             ;-22.5
149;2002, juni;10;Batenburg Beheer                        ;3.8;Van der Hoop Effectenbank               ;-22.0
150;2002, juli;1;Rood Testhouse                          ;23.1;Magnus                                  ;-45.5
151;2002, juli;2;DNC De Nederlanden Compagnie            ;11.9;Ballast Nedam                           ;-42.7
152;2002, juli;3;Blydenstein-Willink                     ;11.1;Unit 4 Agresso                          ;-41.1
153;2002, juli;4;Exendis                                 ;5.6;Crucell                                 ;-36.9
154;2002, juli;5;HITT                                    ;5.1;Aino                                    ;-36.0
155;2002, juli;6;Koninklijke Ten Cate                    ;4.4;Van Heek-Tweka                          ;-35.0
156;2002, juli;7;Crown Van Gelder, Gem. Bezit            ;4.1;AEGON                                   ;-32.8
157;2002, juli;8;Amsterdam Commodities                   ;3.8;Fox Kids Europe                         ;-32.1
158;2002, juli;9;Vodafone  Libertel                      ;2.9;C/TAC                                   ;-29.5
159;2002, juli;10;Holland Colours                         ;2.8;Randstad Holding                        ;-28.5
160;2002, augustus;1;Crucell                                 ;41.4;Ballast Nedam                           ;-50.3
161;2002, augustus;2;Vredestein                              ;31.4;Draka Holding                           ;-46.2
162;2002, augustus;3;Kon. Brill                              ;26.9;CCS                                     ;-45.7
163;2002, augustus;4;Copaco                                  ;24.5;Fox Kids Europe                         ;-43.0
164;2002, augustus;5;Fornix BioSciences                      ;21.1;Simac Techniek                          ;-36.2
165;2002, augustus;6;ABN AMRO Holding                        ;17.9;Getronics                               ;-31.3
166;2002, augustus;7;Wolters Kluwer                          ;17.0;Magnus                                  ;-25.0
167;2002, augustus;8;Kon. KPN                                ;16.9;Univar                                  ;-25.0
168;2002, augustus;9;Randstad Holding                        ;16.4;United Services Holding                 ;-23.8
169;2002, augustus;10;Vodafone Libertel                       ;16.4;Aino                                    ;-23.4
170;2002, september;1;Tulip Computer                          ;13.3;CCS                                     ;-48.4
171;2002, september;2;Cardio Control                          ;10.2;CMG                                     ;-47.9
172;2002, september;3;Porceleyne Fles                         ;9.7;Kon. Numico                             ;-46.3
173;2002, september;4;Kon. Volker Wessels Stevin              ;1.8;Seagull Holding                         ;-45.1
174;2002, september;5;Smit Internationale                     ;1.4;Neways Electronic Int.                  ;-44.7
175;2002, september;6;Gamma Holding                           ;1.3;Twentsche Kabel Holding                 ;-42.3
176;2002, september;7;Nyloplast                               ;0.7;ASML Holding                            ;-40.4
177;2002, september;8;Petroplus International                 ;0.6;Nutreco Holding                         ;-38.9
178;2002, september;9;Wolters Kluwer                          ;0.3;United Services Group                   ;-38.8
179;2002, september;10;NAEFF                                   ;0.3;Vedior                                  ;-38.7
180;2002, oktober;1;CMG                                     ;81.2;LCI                                     ;-50.0
181;2002, oktober;2;Twentsche Kabel                         ;72.5;DocData                                 ;-25.0
182;2002, oktober;3;Getronics                               ;69.9;Buhrmann                                ;-24.9
183;2002, oktober;4;AOT                                     ;57.0;Priority Telecom                        ;-24.0
184;2002, oktober;5;Draka Holding                           ;52.6;Van Heek-Tweka                          ;-23.1
185;2002, oktober;6;C/Tac                                   ;50.7;Emba                                    ;-22.7
186;2002, oktober;7;Scala Business Solutions                ;50.3;Kon. Econosto                           ;-20.4
187;2002, oktober;8;Kon. Numico                             ;49.3;Univar                                  ;-17.7
188;2002, oktober;9;Ordina                                  ;48.6;Centric KSI Holding                     ;-15.7
189;2002, oktober;10;Randstad Holding                        ;48.3;Exendis                                 ;-10.0
190;2002, november;1;Sopheon                                 ;83.3;Kon. Econosto                           ;-34.3
191;2002, november;2;Seagull Holding                         ;76.9;Getronics                               ;-25.0
192;2002, november;3;United Services Group                   ;48.8;Kon. Numico                             ;-23.6
193;2002, november;4;Geveke                                  ;31.0;SNT Group                               ;-20.4
194;2002, november;5;Cardio Control                          ;30.5;C/TAC                                   ;-20.3
195;2002, november;6;ASML Holding                            ;29.7;Emba                                    ;-20.0
196;2002, november;7;Vodafone Libertel                       ;29.4;Blue Fox                                ;-19.1
197;2002, november;8;Vedior                                  ;29.3;New Skies Satellites                    ;-18.5
198;2002, november;9;Nutreco Holding                         ;24.2;IsoTis                                  ;-17.1
199;2002, november;10;Van Heek-Tweka                          ;24.0;Exendis                                 ;-15.3
200;2002, december;1;Kon. Begemann Groep                     ;37.7;Getronics                               ;-37.6
201;2002, december;2;AXA Stenman Industries                  ;25.9;Exendis                                 ;-33.8
202;2002, december;3;DOCdata                                 ;24.2;Vedior                                  ;-31.6
203;2002, december;4;New Skies Satellites                    ;18.5;ASML Holding                            ;-30.7
204;2002, december;5;Univar                                  ;15.7;Kon. Econosto                           ;-30.4
205;2002, december;6;Fox Kids Europe                         ;14.5;HITT                                    ;-27.0
206;2002, december;7;Hunter Douglas                          ;14.2;Seagull Holding                         ;-27.0
207;2002, december;8;Magnus                                  ;12.5;AEGON                                   ;-24.6
208;2002, december;9;Tulip Computers                         ;12.1;Kon. Philips                            ;-24.3
209;2002, december;10;SNT Group                               ;10.5;PinkRoccade                             ;-22.1
210;2003, januari;1;VersaTel Telecom                        ;58.6;Getronics                               ;-60.3
211;2003, januari;2;Dico International                      ;29.4;Priority Telecom                        ;-38.9
212;2003, januari;3;Laurus                                  ;20.7;Crucell                                 ;-32.8
213;2003, januari;4;Porceleijne Fles                        ;14.0;DocData                                 ;-31.9
214;2003, januari;5;Exact Holding                           ;13.8;Newconomy                               ;-31.8
215;2003, januari;6;Exendis                                 ;13.2;Kon. Begemann Groep                     ;-28.8
216;2003, januari;7;Centric KSI                             ;12.8;Ordina                                  ;-25.7
217;2003, januari;8;United Services Group                   ;11.3;Ballast Nedam                           ;-25.5
218;2003, januari;9;Samas Groep                             ;10.2;v. Heek-Tweka                           ;-25.4
219;2003, januari;10;Vodafone Libertel                       ;9.8;Twentsche Kabel                         ;-25.5
220;2003, februari;1;Fox Kids Europe                         ;29.0;Ahold                                   ;-69.9
221;2003, februari;2;DocData                                 ;25.0;Kon. Numico                             ;-54.2
222;2003, februari;3;Kon. Begemann Groep                     ;21.2;Magnus                                  ;-53.6
223;2003, februari;4;Stork                                   ;15.6;Exendis                                 ;-52.1
224;2003, februari;5;Petroplus International                 ;15.2;Getronics                               ;-47.8
225;2003, februari;6;VersaTel  Telecom                       ;13.0;Priority Telecom                        ;-40.0
226;2003, februari;7;Vredestein                              ;11.8;Neways Electronic International         ;-40.0
227;2003, februari;8;Kuhne + Heitz                           ;9.5;Scala business Solutions                ;-35.7
228;2003, februari;9;Kon. Ten Cate                           ;9.2;Baan Company                            ;-35.1
229;2003, februari;10;New Skies Satellites                    ;6.7;Centric KSI                             ;-34.0
230;2003, maart;1;Getronics                               ;225.0;DNC De Nederderlanden Compagnie         ;-82.0
231;2003, maart;2;Exendis                                 ;117.4;AEGON                                   ;-30.9
232;2003, maart;3;Magnus                                  ;53.8;Van der Moolen Holding                  ;-24.9
233;2003, maart;4;Centric KSI Holding                     ;42.9;Hagemeyrer                              ;-23.4
234;2003, maart;5;Kon. Volker Wessels Stevin              ;34.9;Samas Groep                             ;-22.4
235;2003, maart;6;Neways Electronics                      ;30.0;Blue Fox Enterprises                    ;-20.0
236;2003, maart;7;PinkRoccade                             ;26.5;Buhrmann                                ;-19.8
237;2003, maart;8;VersaTel Telecom International          ;25.0;Wolters-Kluwer                          ;-19.7
238;2003, maart;9;Simac Techniek                          ;23.5;Arcadis                                 ;-17.7
239;2003, maart;10;Imtech                                  ;19.6;Priority Telecom                        ;-16.7
240;2003, april;1;LCI Technology Group                    ;200.0;DPA Holding                             ;-33.0
241;2003, april;2;Getronics                               ;76.9;Exendis                                 ;-20.0
242;2003, april;3;Pharming Group                          ;68.9;Fox Kids Europe                         ;-11.8
243;2003, april;4;Magnus                                  ;60.0;HITT                                    ;-11.4
244;2003, april;5;TIE Holding                             ;58.8;HES Beheer                              ;-10.3
245;2003, april;6;Crucell                                 ;47.1;Dico  International                     ;-9.1
246;2003, april;7;Vedior                                  ;46.3;van der Hoop Effectenbank               ;-9.0
247;2003, april;8;Buhrmann                                ;45.1;Kendrion                                ;-8.7
248;2003, april;9;Kon. Numico                             ;44.9;Samas-Groep                             ;-8.3
249;2003, april;10;Simac Techniek                          ;42.9;Porceleijne Fles                        ;-8.1
250;2003, mei;1;Priority Telecom                        ;132.4;Grontmij                                ;-22.4
251;2003, mei;2;Pharming Group                          ;102.6;Prolion                                 ;-15.4
252;2003, mei;3;Simac Techniek                          ;96.7;TIE Holding                             ;-13.0
253;2003, mei;4;Sopheon                                 ;94.4;AEGON                                   ;-11.9
254;2003, mei;5;Blydenstein-Willink                     ;92.1;Crown van Gelder                        ;-11.3
255;2003, mei;6;C/Tac                                   ;84.6;Fox Kids Europa                         ;-10.7
256;2003, mei;7;LCI Technology                          ;66.7;Unilever                                ;-10.0
257;2003, mei;8;Van Heer-Tweka                          ;57.5;Petroplus                               ;-8.3
258;2003, mei;9;Ahold                                   ;55.6;Heineken                                ;-8.2
259;2003, mei;10;Twentsche Kabel Holding                 ;43.3;Innoconcepts                            ;-8.1
260;2003, juni;1;DNC De Nederlanden Compagnie            ;138.5;Blydenstein-Willink                     ;-40.4
261;2003, juni;2;Buhrmann                                ;77.8;Sopheon                                 ;-40.0
262;2003, juni;3;Magnus                                  ;63.2;Hagemeyer                               ;-33.0
263;2003, juni;4;PinkRoccade                             ;43.8;Prolion                                 ;-31.8
264;2003, juni;5;LCI Technology                          ;40.0;Tulip Computers                         ;-25.5
265;2003, juni;6;Samas Groep                             ;36.6;Gouda Vuurvast Holding                  ;-24.1
266;2003, juni;7;Fox Kids Europe                         ;34.3;Nedcon Groep                            ;-24.0
267;2003, juni;8;SNT Group                               ;32.2;Exendis                                 ;-21.4
268;2003, juni;9;Getronics                               ;30.2;Newconomy                               ;-18.2
269;2003, juni;10;Seagull Holding                         ;29.3;Pharming Group                          ;-16.9
270;2003, juli;1;Rood Testhouse                          ;52.0;LCI Technology                          ;-71.4
271;2003, juli;2;ASML Holding                            ;40.7;Magnus                                  ;-24.2
272;2003, juli;3;Vredestein                              ;39.6;Tulip Computers                         ;-21.1
273;2003, juli;4;Nyloplast                               ;33.3;Exendis                                 ;-20.5
274;2003, juli;5;AEGON                                   ;32.2;DNC De Nederlanden Compagnie            ;-19.4
275;2003, juli;6;Ballast Nedam                           ;31.1;Getronics                               ;-18.8
276;2003, juli;7;Innoconcepts                            ;29.3;Dico International                      ;-18.5
277;2003, juli;8;Ordina                                  ;27.6;Priority  Telecom                       ;-17.5
278;2003, juli;9;Centric KSI Holding                     ;27.1;Vilenzo International                   ;-13.7
279;2003, juli;10;Vedior                                  ;26.9;Laurus                                  ;-12.5
280;2003, augustus;1;Priority Telecom                        ;55.3;TIE Holding                             ;-43.2
281;2003, augustus;2;Beter Bed Holding                       ;54.0;Petroplus International                 ;-22.5
282;2003, augustus;3;Nedcon Groep                            ;33.9;Kon. Econosto                           ;-17.7
283;2003, augustus;4;Kon. Numico                             ;28.4;Magnus                                  ;-12.8
284;2003, augustus;5;Kon. Wessanen                           ;28.1;Sopheon                                 ;-12.0
285;2003, augustus;6;Crucell                                 ;28.0;Airpsray                                ;-10.5
286;2003, augustus;7;Scala Business Solutions                ;26.9;Kendrion                                ;-10.4
287;2003, augustus;8;Exendis                                 ;26.9;Arcadis                                 ;-10.1
288;2003, augustus;9;Ordina                                  ;26.2;DNC De Nederlanden Compagnie            ;-10.0
289;2003, augustus;10;Nutreco Holding                         ;25.1;Tulip Computers                         ;-6.7
290;2003, september;1;Simac Techniek                          ;54.8;van der Moolen Holding                  ;-26.3
291;2003, september;2;Magnus                                  ;36.6;ASM International                       ;-22.9
292;2003, september;3;Prolion                                 ;33.3;ASML Holding                            ;-21.6
293;2003, september;4;KLM                                     ;33.0;Unit 4 Agresso                          ;-15.7
294;2003, september;5;Kon. Nedlloyd                           ;23.2;Buhrmann                                ;-15.2
295;2003, september;6;Petroplus International                 ;22.3;Seagull Holding                         ;-14.4
296;2003, september;7;DNC De Nederlanden Compagnie            ;22.2;BE Semiconductor Industries             ;-13.7
297;2003, september;8;Hagemeyer                               ;18.4;Fox Kids Europe                         ;-13.5
298;2003, september;9;Rood Testhouse                          ;15.9;Wolters Kluwer                          ;-13.1
299;2003, september;10;VersaTel Telecom International          ;15.6;Priority Telecom                        ;-12.7
300;2003, oktober;1;Getronics                               ;75.2;Hagemeyer                               ;-75.2
301;2003, oktober;2;HITT                                    ;47.1;Prolion                                 ;-17.3
302;2003, oktober;3;Randstad Holding                        ;33.4;IHC Caland                              ;-17.0
303;2003, oktober;4;ASML Holding                            ;32.7;Van der Moolen Holding                  ;-16.9
304;2003, oktober;5;Kuhne + Heitz                           ;30.4;Sligro Food Holding                     ;-12.5
305;2003, oktober;6;Fox Kids Europe                         ;27.9;Magnus                                  ;-12.5
306;2003, oktober;7;C/TAC                                   ;25.4;Ahold                                   ;-11.1
307;2003, oktober;8;Brunel International                    ;25.3;Laurus                                  ;-10.0
308;2003, oktober;9;United Services Group                   ;25.2;DNC De Nederlanden Compagnie            ;-9.1
309;2003, oktober;10;ICT Automatisering                      ;24.3;Gouda Vuurvast Holding                  ;-8.3
310;2003, november;1;Emba                                    ;82.9;DNC De  Nederlanden Compagnie           ;-37.0
311;2003, november;2;Scala Business Solutions                ;52.5;Prolion                                 ;-20.0
312;2003, november;3;Centric KSI Holding                     ;41.7;van der Moolen Holding                  ;-19.8
313;2003, november;4;Fornix BioScience                       ;28.6;Vilenzo International                   ;-18.4
314;2003, november;5;Univar                                  ;28.0;Buhrmann                                ;-17.7
315;2003, november;6;Twentshce Kabel Holding                 ;25.2;Ballast Nedam                           ;-14.8
316;2003, november;7;Draka Holding                           ;24.5;Priority Telecom                        ;-14.6
317;2003, november;8;Kon. Frans Maas Holding                 ;24.1;Magnus                                  ;-14.3
318;2003, november;9;Porceleijne Fles                        ;23.9;VersaTel Telecom International          ;-14.1
319;2003, november;10;DPA Holding                             ;23.3;Kendrion                                ;-14.0
