ID;RegioS;Perioden;JongerenMetJeugdhulpInNatura_1;JongerenMetJeugdhMetVerblInNat_2;JongerenMetJeugdbescherming_3;JeugdbeschEnJeugdhMetVerblInNat_4;JongerenMetJeugdreclassering_5
207;Gelderland (PV);2e halfjaar 2020;10.2;11.8;1.2;46.4;0.3
208;Gelderland (PV);2020;11.9;11.2;1.3;47.4;0.3
209;Utrecht (PV);1e kwartaal 2015;;;;;
210;Utrecht (PV);1e halfjaar 2015;;;;;
211;Utrecht (PV);2e halfjaar 2015;;;;;
212;Utrecht (PV);2015;;;;;
213;Utrecht (PV);1e halfjaar 2016;8.7;10.0;0.8;50.8;0.3
214;Utrecht (PV);2e halfjaar 2016;9.6;9.5;0.8;51.9;0.3
215;Utrecht (PV);2016;10.7;9.3;0.9;50.2;0.4
216;Utrecht (PV);1e halfjaar 2017;9.4;8.5;0.8;49.5;0.3
217;Utrecht (PV);2e halfjaar 2017;9.8;8.5;0.8;50.0;0.3
218;Utrecht (PV);2017;11.4;7.9;1.0;49.2;0.3
219;Utrecht (PV);1e halfjaar 2018;9.9;7.8;0.9;47.8;0.3
220;Utrecht (PV);2e halfjaar 2018;10.4;7.6;0.9;46.6;0.3
221;Utrecht (PV);2018;11.9;7.3;1.0;46.3;0.3
222;Utrecht (PV);1e halfjaar 2019;10.2;7.3;0.9;45.2;0.3
223;Utrecht (PV);2e halfjaar 2019;10.4;7.2;0.9;43.3;0.3
224;Utrecht (PV);2019;12.2;6.8;1.0;43.1;0.3
225;Utrecht (PV);1e halfjaar 2020;10.0;7.3;0.9;45.8;0.3
226;Utrecht (PV);2e halfjaar 2020;10.0;7.3;0.9;43.0;0.3
227;Utrecht (PV);2020;12.1;6.8;1.0;44.6;0.3
228;Noord-Holland (PV);1e kwartaal 2015;;;;;
229;Noord-Holland (PV);1e halfjaar 2015;;;;;
230;Noord-Holland (PV);2e halfjaar 2015;;;;;
231;Noord-Holland (PV);2015;;;;;
232;Noord-Holland (PV);1e halfjaar 2016;8.5;11.4;0.9;50.5;0.5
233;Noord-Holland (PV);2e halfjaar 2016;8.9;11.3;0.9;51.3;0.4
234;Noord-Holland (PV);2016;10.2;10.8;1.0;50.6;0.5
235;Noord-Holland (PV);1e halfjaar 2017;8.5;11.2;0.8;49.5;0.4
236;Noord-Holland (PV);2e halfjaar 2017;8.7;11.3;0.8;49.7;0.4
237;Noord-Holland (PV);2017;10.1;10.8;1.0;49.2;0.5
238;Noord-Holland (PV);1e halfjaar 2018;8.8;10.3;0.9;48.7;0.4
239;Noord-Holland (PV);2e halfjaar 2018;9.6;9.9;0.9;48.2;0.3
240;Noord-Holland (PV);2018;10.7;9.7;1.0;48.3;0.4
241;Noord-Holland (PV);1e halfjaar 2019;9.8;9.6;0.9;46.9;0.3
242;Noord-Holland (PV);2e halfjaar 2019;10.2;9.4;0.9;45.7;0.3
243;Noord-Holland (PV);2019;11.7;9.1;1.0;46.6;0.4
244;Noord-Holland (PV);1e halfjaar 2020;9.7;8.8;0.9;44.3;0.3
245;Noord-Holland (PV);2e halfjaar 2020;10.0;8.9;0.9;44.6;0.3
246;Noord-Holland (PV);2020;11.7;8.5;1.0;44.9;0.4
247;Zuid-Holland (PV);1e kwartaal 2015;;;;;
248;Zuid-Holland (PV);1e halfjaar 2015;;;;;
249;Zuid-Holland (PV);2e halfjaar 2015;;;;;
250;Zuid-Holland (PV);2015;;;;;
251;Zuid-Holland (PV);1e halfjaar 2016;9.5;10.8;1.1;49.8;0.5
252;Zuid-Holland (PV);2e halfjaar 2016;10.2;10.4;1.1;49.6;0.5
253;Zuid-Holland (PV);2016;11.6;10.1;1.2;49.3;0.6
254;Zuid-Holland (PV);1e halfjaar 2017;10.3;10.6;1.1;50.1;0.5
255;Zuid-Holland (PV);2e halfjaar 2017;10.7;10.6;1.1;50.5;0.5
256;Zuid-Holland (PV);2017;12.3;10.1;1.2;50.3;0.6
257;Zuid-Holland (PV);1e halfjaar 2018;10.2;9.7;1.1;48.3;0.4
258;Zuid-Holland (PV);2e halfjaar 2018;11.0;9.2;1.1;47.7;0.4
259;Zuid-Holland (PV);2018;12.5;9.0;1.3;48.1;0.5
260;Zuid-Holland (PV);1e halfjaar 2019;10.8;9.1;1.1;47.3;0.4
261;Zuid-Holland (PV);2e halfjaar 2019;10.9;9.0;1.1;46.9;0.4
262;Zuid-Holland (PV);2019;12.8;8.6;1.3;47.0;0.5
263;Zuid-Holland (PV);1e halfjaar 2020;9.9;9.2;1.1;45.5;0.4
264;Zuid-Holland (PV);2e halfjaar 2020;10.2;9.4;1.1;45.1;0.4
265;Zuid-Holland (PV);2020;12.0;8.8;1.2;45.8;0.5
266;Zeeland (PV);1e kwartaal 2015;;;;;
267;Zeeland (PV);1e halfjaar 2015;;;;;
268;Zeeland (PV);2e halfjaar 2015;;;;;
269;Zeeland (PV);2015;;;;;
270;Zeeland (PV);1e halfjaar 2016;8.9;15.2;1.1;56.3;0.3
271;Zeeland (PV);2e halfjaar 2016;9.4;15.6;1.1;57.1;0.3
272;Zeeland (PV);2016;10.8;14.5;1.2;55.1;0.4
273;Zeeland (PV);1e halfjaar 2017;9.4;18.4;1.1;55.9;0.3
274;Zeeland (PV);2e halfjaar 2017;9.8;17.6;1.2;55.7;0.3
275;Zeeland (PV);2017;11.3;16.8;1.3;53.7;0.4
276;Zeeland (PV);1e halfjaar 2018;10.0;15.1;1.2;54.7;0.3
277;Zeeland (PV);2e halfjaar 2018;10.9;13.4;1.2;51.4;0.3
278;Zeeland (PV);2018;12.0;13.6;1.4;52.0;0.4
279;Zeeland (PV);1e halfjaar 2019;10.8;14.2;1.3;51.6;0.3
280;Zeeland (PV);2e halfjaar 2019;11.1;13.4;1.3;48.1;0.3
281;Zeeland (PV);2019;12.7;13.0;1.5;48.6;0.4
282;Zeeland (PV);1e halfjaar 2020;10.7;12.7;1.3;46.4;0.3
283;Zeeland (PV);2e halfjaar 2020;11.1;13.0;1.3;45.6;0.3
284;Zeeland (PV);2020;13.1;12.3;1.5;46.4;0.4
285;Noord-Brabant (PV);1e kwartaal 2015;;;;;
286;Noord-Brabant (PV);1e halfjaar 2015;;;;;
287;Noord-Brabant (PV);2e halfjaar 2015;;;;;
288;Noord-Brabant (PV);2015;;;;;
289;Noord-Brabant (PV);1e halfjaar 2016;8.4;12.2;0.9;51.8;0.3
290;Noord-Brabant (PV);2e halfjaar 2016;8.9;11.9;0.9;50.2;0.3
291;Noord-Brabant (PV);2016;10.3;11.3;1.0;50.1;0.4
292;Noord-Brabant (PV);1e halfjaar 2017;8.6;12.1;0.9;49.8;0.3
293;Noord-Brabant (PV);2e halfjaar 2017;9.3;11.6;0.9;48.7;0.3
294;Noord-Brabant (PV);2017;10.6;11.1;1.0;49.2;0.4
295;Noord-Brabant (PV);1e halfjaar 2018;9.4;9.7;0.9;46.2;0.3
296;Noord-Brabant (PV);2e halfjaar 2018;10.2;9.1;0.9;45.9;0.3
297;Noord-Brabant (PV);2018;11.5;8.9;1.0;45.4;0.3
298;Noord-Brabant (PV);1e halfjaar 2019;10.0;9.2;0.9;46.4;0.3
299;Noord-Brabant (PV);2e halfjaar 2019;9.9;8.3;0.9;37.1;0.3
300;Noord-Brabant (PV);2019;11.8;8.7;1.0;44.6;0.3
301;Noord-Brabant (PV);1e halfjaar 2020;9.5;8.2;1.0;35.5;0.3
302;Noord-Brabant (PV);2e halfjaar 2020;9.9;8.6;1.0;36.1;0.3
303;Noord-Brabant (PV);2020;11.6;8.2;1.1;36.9;0.3
304;Limburg (PV);1e kwartaal 2015;;;;;
305;Limburg (PV);1e halfjaar 2015;;;;;
306;Limburg (PV);2e halfjaar 2015;;;;;
307;Limburg (PV);2015;;;;;
308;Limburg (PV);1e halfjaar 2016;10.7;11.1;1.4;46.2;0.5
309;Limburg (PV);2e halfjaar 2016;11.2;11.1;1.4;47.7;0.4
310;Limburg (PV);2016;12.7;10.7;1.6;46.5;0.5
311;Limburg (PV);1e halfjaar 2017;11.5;11.1;1.4;44.4;0.4
312;Limburg (PV);2e halfjaar 2017;11.9;10.9;1.4;44.1;0.4
313;Limburg (PV);2017;13.4;10.7;1.6;44.9;0.5
314;Limburg (PV);1e halfjaar 2018;11.6;11.1;1.4;43.9;0.4
315;Limburg (PV);2e halfjaar 2018;12.3;10.8;1.4;42.8;0.3
316;Limburg (PV);2018;13.7;10.8;1.6;44.5;0.4
317;Limburg (PV);1e halfjaar 2019;12.5;10.8;1.4;42.8;0.3
318;Limburg (PV);2e halfjaar 2019;12.9;10.9;1.4;43.9;0.3
319;Limburg (PV);2019;14.6;10.5;1.6;43.4;0.4
320;Limburg (PV);1e halfjaar 2020;12.4;11.5;1.5;45.2;0.3
321;Limburg (PV);2e halfjaar 2020;12.5;11.8;1.5;46.3;0.3
322;Limburg (PV);2020;14.6;11.2;1.7;46.8;0.4
323;Oost-Groningen (CR);1e kwartaal 2015;;;;;
324;Oost-Groningen (CR);1e halfjaar 2015;;;;;
325;Oost-Groningen (CR);2e halfjaar 2015;;;;;
326;Oost-Groningen (CR);2015;;;;;
327;Oost-Groningen (CR);1e halfjaar 2016;;;;;
328;Oost-Groningen (CR);2e halfjaar 2016;;;;;
329;Oost-Groningen (CR);2016;;;;;
330;Oost-Groningen (CR);1e halfjaar 2017;;;;;
331;Oost-Groningen (CR);2e halfjaar 2017;;;;;
332;Oost-Groningen (CR);2017;;;;;
333;Oost-Groningen (CR);1e halfjaar 2018;;;;;
334;Oost-Groningen (CR);2e halfjaar 2018;;;;;
335;Oost-Groningen (CR);2018;;;;;
336;Oost-Groningen (CR);1e halfjaar 2019;;;;;
337;Oost-Groningen (CR);2e halfjaar 2019;;;;;
338;Oost-Groningen (CR);2019;;;;;
339;Oost-Groningen (CR);1e halfjaar 2020;;;;;
340;Oost-Groningen (CR);2e halfjaar 2020;;;;;
341;Oost-Groningen (CR);2020;;;;;
342;Delfzijl en omgeving (CR);1e kwartaal 2015;;;;;
343;Delfzijl en omgeving (CR);1e halfjaar 2015;;;;;
344;Delfzijl en omgeving (CR);2e halfjaar 2015;;;;;
345;Delfzijl en omgeving (CR);2015;;;;;
346;Delfzijl en omgeving (CR);1e halfjaar 2016;;;;;
347;Delfzijl en omgeving (CR);2e halfjaar 2016;;;;;
348;Delfzijl en omgeving (CR);2016;;;;;
349;Delfzijl en omgeving (CR);1e halfjaar 2017;;;;;
350;Delfzijl en omgeving (CR);2e halfjaar 2017;;;;;
351;Delfzijl en omgeving (CR);2017;;;;;
352;Delfzijl en omgeving (CR);1e halfjaar 2018;;;;;
353;Delfzijl en omgeving (CR);2e halfjaar 2018;;;;;
354;Delfzijl en omgeving (CR);2018;;;;;
355;Delfzijl en omgeving (CR);1e halfjaar 2019;;;;;
356;Delfzijl en omgeving (CR);2e halfjaar 2019;;;;;
357;Delfzijl en omgeving (CR);2019;;;;;
358;Delfzijl en omgeving (CR);1e halfjaar 2020;;;;;
359;Delfzijl en omgeving (CR);2e halfjaar 2020;;;;;
360;Delfzijl en omgeving (CR);2020;;;;;
361;Overig Groningen (CR);1e kwartaal 2015;;;;;
362;Overig Groningen (CR);1e halfjaar 2015;;;;;
363;Overig Groningen (CR);2e halfjaar 2015;;;;;
364;Overig Groningen (CR);2015;;;;;
365;Overig Groningen (CR);1e halfjaar 2016;;;;;
366;Overig Groningen (CR);2e halfjaar 2016;;;;;
367;Overig Groningen (CR);2016;;;;;
368;Overig Groningen (CR);1e halfjaar 2017;;;;;
369;Overig Groningen (CR);2e halfjaar 2017;;;;;
370;Overig Groningen (CR);2017;;;;;
371;Overig Groningen (CR);1e halfjaar 2018;;;;;
372;Overig Groningen (CR);2e halfjaar 2018;;;;;
373;Overig Groningen (CR);2018;;;;;
374;Overig Groningen (CR);1e halfjaar 2019;;;;;
375;Overig Groningen (CR);2e halfjaar 2019;;;;;
376;Overig Groningen (CR);2019;;;;;
377;Overig Groningen (CR);1e halfjaar 2020;;;;;
378;Overig Groningen (CR);2e halfjaar 2020;;;;;
379;Overig Groningen (CR);2020;;;;;
380;Noord-Friesland (CR);1e kwartaal 2015;;;;;
381;Noord-Friesland (CR);1e halfjaar 2015;;;;;
382;Noord-Friesland (CR);2e halfjaar 2015;;;;;
383;Noord-Friesland (CR);2015;;;;;
