ID;Perioden;TotaalUitkeringenInGeldEnNatura_1;WettSocUitkeringenInGeldEnNatura_2;AlgArbeidsongeschiktheidswetAAW_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WetArbeidEnZorgWAZO_7;WerkloosheidswetWW_8;ZiektewetZWVangnet_9;ZiektewetZW_10;AlgemeneOuderdomswetAOW_11;AlgemeneNabestaandenwetANWAWW_12;AlgemeneKinderbijslagwetAKW_13;ZiekenfondswetVerplichtZFWVp_14;ZorgverzekeringswetZVW_15;AlgemeneWetBijzondereZiekteknAWBZ_16;VoorzieningenInGeldEnNatura_17;UitkeringenOorlogsslachtoffers_18;WetArbeidsongJonggehandicWajong_19;InkomensvoorzOuderenIOAWIOAZ_20;AlgemeneKinderbijslagwetAKW_21;Studiebeurzen_22;PremiesKoopwoningen_23;WetWerkEnBijstandABWWWB_24;AanvInkomensvoorzieningOuderenAIO_25;WetInvesterenInJongerenWIJ_26;ToeslagenwetTW_27;Zorgtoeslag_28;TegemoetkomingAOWANWErs_29;KindgebondenBudget_30;TegemoetkomingBuitengewUitgavenTBU_31;WetWerkloosheidsvoorzieningWWV_32;FlexibeleUittredingsregelingen_33;WetVoorzieningenGehandicaptenWVG_34;WetMaatschOndersteuningWMO_35;IndividueleHuursubsidiesIHS_36;OVJaarkaartStuderenden_37;Rechtsbijstand_38;BijdrageOnderwijsInAcZiekenhuizen_39;Kinderopvang_40;Leerlingenvervoer_41;RegelingSpecUitkJeugdgezondheidszorg_42;Bejaardenoorden_43;ReintegratiefondsREA_44;GezinsverzorgingGezinshulpGG_45;BijdragenAsielzoekersEnMinderheden_46;Schoolboeken_47;Overig_48;TotaalSocialeUitkeringenInGeld_49;TotaalWettelijkeSocialeUitkInGeld_50;AlgArbeidsongeschiktheidswetAAW_51;TotaalArbeidsongeschiktheidsfonds_52;WetOpDeArbeidsongeschiktheidWAO_53;WerkEnInkomenArbeidsvermogenWIA_54;WetArbeidsongeschiktheidZelfstWAZ_55;WetArbeidEnZorgWAZO_56;WerkEnInkomenArbeidsvermogenWIA_57;WetOpDeArbeidsongeschiktheidWAO_58;WetArbeidsongeschiktheidZelfstWAZ_59;TotaalAlgemeenWerkloosheidsfonds_60;WerkloosheidswetWW_61;ZiektewetZWVangnet_62;WetArbeidEnZorgWAZO_63;TotaalSectorfondsen_64;WerkloosheidswetWW_65;WerkEnInkomenArbeidsvermogenWIA_66;ZiektewetZWVangnet_67;TotaalUitvoeringsfondsVoorDeOverheid_68;WerkloosheidswetWW_69;WerkEnInkomenArbeidsvermogenWIA_70;ZiektewetZWVangnet_71;WetArbeidEnZorgWAZO_72;ZiektewetZW_73;AlgemeneOuderdomswetAOW_74;AlgemeneNabestaandenwetANWAWW_75;AlgemeneKinderbijslagwetAKW_76;TotaalSocialeVoorzieningenInGeld_77;UitkeringenOorlogsslachtoffers_78;WetArbeidsongJonggehandicWajong_79;InkomensvoorzOuderenIOAWIOAZ_80;AlgemeneKinderbijslagwetAKW_81;Studiebeurzen_82;PremiesKoopwoningen_83;WetWerkEnBijstandWWBABW_84;AanvInkomensvoorzieningOuderenAIO_85;WetInvesterenInJongerenWIJ_86;ToeslagenwetTW_87;Zorgtoeslag_88;TegemoetkomingAOWANWErs_89;KindgebondenBudget_90;TegemoetkomingBuitengewUitgavenTBU_91;WetWerkloosheidsvoorzieningWWV_92;FlexibeleUittredingsregelingen_93;Overig_94;TotaalSocialeUitkeringenInNatura_95;TotaalWettelijkSocialeUitkInNatura_96;AlgArbeidsongeschiktheidswetAAW_97;ZiekenfondswetVerplichtZFWVp_98;ZorgverzekeringswetZVW_99;AlgemeneWetBijzondereZiekteknAWBZ_100;TotaalSocialeVoorzieningenInNatura_101;WetWerkEnBijstandABWWWB_102;WetVoorzieningenGehandicaptenWVG_103;WetMaatschOndersteuningWMO_104;IndividueleHuursubsidiesIHS_105;OVJaarkaartStuderenden_106;Rechtsbijstand_107;BijdrageOnderwijsInAcZiekenhuizen_108;Kinderopvang_109;Leerlingenvervoer_110;RegelingSpecUitkJeugdgezondheidszorg_111;Bejaardenoorden_112;ReintegratiefondsREA_113;GezinsverzorgingGezinshulpGG_114;BijdragenAsielzoekersEnMinderheden_115;Schoolboeken_116;Overig_117
10;1997;66332.0;53473;6151.0;3147;;;;4813;;;16609;2005;;10312.0;;10436;12859.0;340.0;;247.0;2832.0;1055.0;181.0;4718.0;;;284.0;;;;;;-1.0;598.0;;1185.0;404.0;162.0;328.0;82.0;91.0;;;;;132.0;;221.0;42336.0;32650;6076.0;3147;3147;;;;;;;3851;3851;;;962;962;;;;;;;;;16609;2005;;9686.0;340.0;;247.0;2832.0;1055.0;181.0;4550.0;;;284.0;;;;;;-1.0;198.0;23996;20823;75.0;10312.0;;10436;3173;168.0;598.0;;1185.0;404.0;162.0;328.0;82.0;91.0;;;;;132.0;;23.0
11;1998;67424.0;53578;47.0;8119;;436.0;;3992;;;17578;1552;;10723.0;;11131;13846.0;346.0;1007.0;244.0;2868.0;873.0;143.0;4546.0;;;282.0;;;;;;;606.0;;1364.0;378.0;167.0;354.0;134.0;93.0;;;54.0;;106.0;;281.0;42045.0;31685;8.0;7802;7802;;;;;317.0;436.0;3037;3037;;;955;955;;;;;;;;;17578;1552;;10360.0;346.0;1007.0;244.0;2868.0;873.0;143.0;4376.0;;;282.0;;;;;;;221.0;25379;21893;39.0;10723.0;;11131;3486;170.0;606.0;;1364.0;378.0;167.0;354.0;134.0;93.0;;;54.0;;106.0;;60.0
12;1999;69048.0;55435;15.0;8383;;486.0;;3557;;;18400;1539;;11313.0;;11742;13613.0;358.0;982.0;263.0;2828.0;815.0;110.0;4202.0;;;302.0;;;;;;;628.0;;1459.0;352.0;173.0;378.0;189.0;95.0;;;85.0;;127.0;;267.0;42268.0;32365;;7346;7346;;;;;1037.0;486.0;2637;2637;;;920;920;;;;;;;;;18400;1539;;9903.0;358.0;982.0;263.0;2828.0;815.0;110.0;4009.0;;;302.0;;;;;;;236.0;26780;23070;15.0;11313.0;;11742;3710;193.0;628.0;;1459.0;352.0;173.0;378.0;189.0;95.0;;;85.0;;127.0;;31.0
13;2000;72132.0;58180;;8684;;469.0;;3268;;;19098;1498;;12220.0;;12943;13952.0;356.0;1024.0;270.0;2911.0;770.0;83.0;4097.0;;;289.0;;;;;;;652.0;;1462.0;313.0;206.0;397.0;300.0;98.0;;;221.0;;127.0;;376.0;42947.0;33017;;7039;7039;;;;;1645.0;469.0;2339;2339;;;929;929;;;;;;;;;19098;1498;;9930.0;356.0;1024.0;270.0;2911.0;770.0;83.0;3890.0;;;289.0;;;;;;;337.0;29185;25163;;12220.0;;12943;4022;207.0;652.0;;1462.0;313.0;206.0;397.0;300.0;98.0;;;221.0;;127.0;;39.0
14;2001;77071.0;62765;;9121;;504.0;;3555;;;20284;1515;;13440.0;;14346;14306.0;368.0;1132.0;243.0;3001.0;728.0;61.0;4141.0;;;274.0;;;;;;;664.0;;1505.0;239.0;256.0;412.0;354.0;129.0;;;244.0;;94.0;;461.0;45103.0;34979;;6828;6828;;;;;2293.0;504.0;2412;2412;;;1005;1005;;;138.0;138.0;;;;;20284;1515;;10124.0;368.0;1132.0;243.0;3001.0;728.0;61.0;3931.0;;;274.0;;;;;;;386.0;31968;27786;;13440.0;;14346;4182;210.0;664.0;;1505.0;239.0;256.0;412.0;354.0;129.0;;;244.0;;94.0;;75.0
15;2002 1e kwartaal;;16106;;2290;;124.0;138.0;600;245.0;;5015;385;;3682.0;;3627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8797;;1654;1654;;;;;636.0;124.0;607;365;128.0;114.0;331;220;;111.0;45.0;15.0;;6.0;24.0;;5015;385;;;;;;;;;;;;;;;;;;;;8711;7309;;3682.0;;3627;1402;;;;;;;;;;;;;;;;
16;2002 2e kwartaal;;18722;;2499;;136.0;167.0;692;282.0;;6169;378;;3765.0;;4634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10323;;1752;1752;;;;;747.0;136.0;710;426;150.0;134.0;369;246;;123.0;62.0;20.0;;9.0;33.0;;6169;378;;;;;;;;;;;;;;;;;;;;9494;8399;;3765.0;;4634;1095;;;;;;;;;;;;;;;;
17;2002 3e kwartaal;;16668;;2277;;118.0;145.0;591;238.0;;5089;378;;3649.0;;4183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8836;;1564;1564;;;;;713.0;118.0;631;379;133.0;119.0;294;196;;98.0;49.0;16.0;;7.0;26.0;;5089;378;;;;;;;;;;;;;;;;;;;;8981;7832;;3649.0;;4183;1149;;;;;;;;;;;;;;;;
18;2002 4e kwartaal;;16907;;2333;;124.0;149.0;605;244.0;;5110;387;;3863.0;;4092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8952;;1594;1594;;;;;739.0;124.0;642;386;135.0;121.0;304;202;;102.0;52.0;17.0;;7.0;28.0;;5110;387;;;;;;;;;;;;;;;;;;;;8970;7955;;3863.0;;4092;1015;;;;;;;;;;;;;;;;
19;2002;83408.0;68403;;9399;;502.0;599.0;2488;1009.0;;21383;1528;;14959.0;;16536;15005.0;386.0;1135.0;259.0;3118.0;672.0;51.0;4254.0;;;287.0;;;;;;;713.0;;1717.0;250.0;295.0;474.0;398.0;147.0;;;300.0;;46.0;;503.0;47252.0;36908;;6564;6564;;;;;2835.0;502.0;2590;1556;546.0;488.0;1298;864;;434.0;208.0;68.0;;29.0;111.0;;21383;1528;;10344.0;386.0;1135.0;259.0;3118.0;672.0;51.0;4040.0;;;287.0;;;;;;;396.0;36156;31495;;14959.0;;16536;4661;214.0;713.0;;1717.0;250.0;295.0;474.0;398.0;147.0;;;300.0;;46.0;;107.0
20;2003 1e kwartaal;;17310;;2219;;121.0;176.0;864;262.0;;5260;361;;4020.0;;4027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9263;;1503;1503;;;;;716.0;121.0;775;491;137.0;147.0;451;337;;114.0;76.0;36.0;;11.0;29.0;;5260;361;;;;;;;;;;;;;;;;;;;;9421;8047;;4020.0;;4027;1374;;;;;;;;;;;;;;;;
21;2003 2e kwartaal;;20605;;2925;;159.0;211.0;999;305.0;;6472;398;;4113.0;;5023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11469;;1991;1991;;;;;934.0;159.0;907;574;161.0;172.0;503;375;;128.0;105.0;50.0;;16.0;39.0;;6472;398;;;;;;;;;;;;;;;;;;;;10191;9136;;4113.0;;5023;1055;;;;;;;;;;;;;;;;
22;2003 3e kwartaal;;17876;;2237;;121.0;184.0;848;256.0;;5337;382;;3863.0;;4648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9365;;1531;1531;;;;;706.0;121.0;806;510;143.0;153.0;400;299;;101.0;82.0;39.0;;12.0;31.0;;5337;382;;;;;;;;;;;;;;;;;;;;9529;8511;;3863.0;;4648;1018;;;;;;;;;;;;;;;;
23;2003 4e kwartaal;;17848;;2242;;124.0;189.0;869;263.0;;5359;365;;4083.0;;4354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9411;;1558;1558;;;;;684.0;124.0;821;520;145.0;156.0;413;308;;105.0;87.0;41.0;;13.0;33.0;;5359;365;;;;;;;;;;;;;;;;;;;;9820;8437;;4083.0;;4354;1383;;;;;;;;;;;;;;;;
24;2003;89230.0;73639;;9623;;525.0;760.0;3580;1086.0;;22428;1506;;16079.0;;18052;15591.0;383.0;1283.0;245.0;3199.0;755.0;41.0;4505.0;;;303.0;;;;;;;728.0;;1603.0;301.0;316.0;487.0;363.0;154.0;183.0;;308.0;;50.0;;384.0;50269.0;39508;;6583;6583;;;;;3040.0;525.0;3309;2095;586.0;628.0;1767;1319;;448.0;350.0;166.0;;52.0;132.0;;22428;1506;;10761.0;383.0;1283.0;245.0;3199.0;755.0;41.0;4281.0;;;303.0;;;;;;;271.0;38961;34131;;16079.0;;18052;4830;224.0;728.0;;1603.0;301.0;316.0;487.0;363.0;154.0;183.0;;308.0;;50.0;;113.0
25;2004 1e kwartaal;;17677;;2158;;117.0;161.0;1001;221.0;;5409;350;;4059.0;;4201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9417;;1639;1522;;117.0;;;636.0;;865;608;123.0;134.0;441;352;;89.0;77.0;41.0;;9.0;27.0;;5409;350;;;;;;;;;;;;;;;;;;;;9863;8260;;4059.0;;4201;1603;;;;;;;;;;;;;;;;
26;2004 2e kwartaal;;20699;;2839;;156.0;210.0;1247;275.0;;6512;417;;4135.0;;4908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11656;;2138;1982;;156.0;;;857.0;;1104;776;157.0;171.0;519;414;;105.0;109.0;57.0;;13.0;39.0;;6512;417;;;;;;;;;;;;;;;;;;;;10107;9043;;4135.0;;4908;1064;;;;;;;;;;;;;;;;
27;2004 3e kwartaal;;18393;;2217;;117.0;178.0;997;219.0;;5445;338;;3982.0;;4900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9511;;1657;1540;;117.0;;;677.0;;945;664;135.0;146.0;359;286;;73.0;90.0;47.0;;11.0;32.0;;5445;338;;;;;;;;;;;;;;;;;;;;9872;8882;;3982.0;;4900;990;;;;;;;;;;;;;;;;
28;2004 4e kwartaal;;18768;;2117;;117.0;195.0;1072;233.0;;5524;337;;4192.0;;4981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9595;;1658;1541;;117.0;;;576.0;;1046;735;149.0;162.0;362;289;;73.0;92.0;48.0;;11.0;33.0;;5524;337;;;;;;;;;;;;;;;;;;;;10286;9173;;4192.0;;4981;1113;;;;;;;;;;;;;;;;
29;2004;91227.0;75537;;9331;;507.0;744.0;4317;948.0;;22890;1442;;16368.0;;18990;15690.0;384.0;1326.0;207.0;3232.0;851.0;36.0;4534.0;;;336.0;;;;;;;778.0;;1649.0;192.0;334.0;492.0;375.0;160.0;159.0;;256.0;;37.0;;352.0;51099.0;40179;;7092;6585;;507.0;;;2746.0;;3960;2783;564.0;613.0;1681;1341;;340.0;368.0;193.0;;44.0;131.0;;22890;1442;;10920.0;384.0;1326.0;207.0;3232.0;851.0;36.0;4310.0;;;336.0;;;;;;;238.0;40128;35358;;16368.0;;18990;4770;224.0;778.0;;1649.0;192.0;334.0;492.0;375.0;160.0;159.0;;256.0;;37.0;;114.0
30;2005 1e kwartaal;22385.0;18425;;2094;;110.0;153.0;1069;234.0;;5509;327;;4081.0;;4848;3960.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12213.0;9496;;1652;1542;;110.0;;;552.0;;960;694;140.0;126.0;409;327;;82.0;87.0;48.0;;12.0;27.0;;5509;327;;2717.0;;;;;;;;;;;;;;;;;;10172;8929;;4081.0;;4848;1243;;;;;;;;;;;;;;;;
31;2005 2e kwartaal;25112.0;20744;;2639;;144.0;193.0;1279;321.0;;6708;396;;4175.0;;4889;4368.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14801.0;11680;;2152;2008;;144.0;;;631.0;;1189;846;187.0;156.0;487;369;;118.0;117.0;64.0;;16.0;37.0;;6708;396;;3121.0;;;;;;;;;;;;;;;;;;10311;9064;;4175.0;;4889;1247;;;;;;;;;;;;;;;;
32;2005 3e kwartaal;22594.0;18699;;1985;;110.0;157.0;1022;249.0;;5549;344;;4250.0;;5033;3895.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12069.0;9416;;1647;1537;;110.0;;;448.0;;980;700;152.0;128.0;355;271;;84.0;93.0;51.0;;13.0;29.0;;5549;344;;2653.0;;;;;;;;;;;;;;;;;;10525;9283;;4250.0;;5033;1242;;;;;;;;;;;;;;;;
33;2005 4e kwartaal;22547.0;18564;;1991;;110.0;155.0;1005;271.0;;5603;300;;4191.0;;4938;3983.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12125.0;9435;;1653;1543;;110.0;;;448.0;;963;682;157.0;124.0;368;268;;100.0;100.0;55.0;;14.0;31.0;;5603;300;;2690.0;;;;;;;;;;;;;;;;;;10422;9129;;4191.0;;4938;1293;;;;;;;;;;;;;;;;
34;2005;92638.0;76432;;8709;;474.0;658.0;4375;1075.0;;23369;1367;;16697.0;;19708;16206.0;353.0;1419.0;171.0;3191.0;792.0;26.0;4567.0;;;331.0;;252.0;;;;;821.0;;1686.0;188.0;340.0;504.0;569.0;164.0;187.0;;190.0;;32.0;;423.0;51208.0;40027;;7104;6630;;474.0;;;2079.0;;4092;2922;636.0;534.0;1619;1235;;384.0;397.0;218.0;;55.0;124.0;;23369;1367;;11181.0;353.0;1419.0;171.0;3191.0;792.0;26.0;4330.0;;;331.0;;252.0;;;;;316.0;41430;36405;;16697.0;;19708;5025;237.0;821.0;;1686.0;188.0;340.0;504.0;569.0;164.0;187.0;;190.0;;32.0;;107.0
