ID;Sterklassen;RegioS;Perioden;ZakelijkeOvernachtingen_1
45;Totaal;Nederland;2019 3e kwartaal;5490
46;Totaal;Nederland;2019 oktober;2070
47;Totaal;Nederland;2019 november;1740
48;Totaal;Nederland;2019 december;1360
49;Totaal;Nederland;2019 4e kwartaal;5180
50;Totaal;Nederland;2019;21060
51;Totaal;Nederland;2020 januari;1480
52;Totaal;Nederland;2020 februari;1510
53;Totaal;Nederland;2020 maart;730
54;Totaal;Nederland;2020 1e kwartaal;3720
55;Totaal;Nederland;2020 april;230
56;Totaal;Nederland;2020 mei;270
57;Totaal;Nederland;2020 juni;490
58;Totaal;Nederland;2020 2e kwartaal;990
59;Totaal;Nederland;2020 juli;600
60;Totaal;Nederland;2020 augustus;650
61;Totaal;Nederland;2020 september;720
62;Totaal;Nederland;2020 3e kwartaal;1970
63;Totaal;Nederland;2020 oktober;510
64;Totaal;Nederland;2020 november;410
65;Totaal;Nederland;2020 december;340
66;Totaal;Nederland;2020 4e kwartaal;1270
67;Totaal;Nederland;2020;7940
68;Totaal;Nederland;2021 januari;280
69;Totaal;Nederland;2021 februari;330
70;Totaal;Nederland;2021 maart;390
71;Totaal;Nederland;2021 1e kwartaal;1010
72;Totaal;Nederland;2021 april;450
73;Totaal;Nederland;2021 mei;630
74;Totaal;Nederland;2021 juni;740
75;Totaal;Nederland;2021 2e kwartaal;1820
76;Totaal;Nederland;2021 juli;810
77;Totaal;Nederland;2021 augustus;900
78;Totaal;Nederland;2021 september;1100
79;Totaal;Nederland;2021 3e kwartaal;2800
80;Totaal;Nederland;2021 oktober;1260
81;Totaal;Nederland;2021 november;980
82;Totaal;Nederland;2021 december;490
83;Totaal;Nederland;2021 4e kwartaal;2730
84;Totaal;Nederland;2021;8350
85;Totaal;Nederland;2022 januari;480
86;Totaal;Nederland;2022 februari;780
87;Totaal;Nederland;2022 maart;1160
88;Totaal;Nederland;2022 1e kwartaal;2420
89;Totaal;Nederland;2022 april;1500
90;Totaal;Nederland;2022 mei;1670
91;Totaal;Nederland;2022 juni;1750
92;Totaal;Nederland;2022 2e kwartaal;4930
93;Totaal;Nederland;2022 juli;1450
94;Totaal;Nederland;2022 augustus;1390
95;Totaal;Nederland;2022 september;1760
96;Totaal;Nederland;2022 3e kwartaal;4590
97;Totaal;Nederland;2022 oktober;1800
98;Totaal;Nederland;2022 november;1530
99;Totaal;Nederland;2022 december;1180
100;Totaal;Nederland;2022 4e kwartaal;4500
101;Totaal;Nederland;2022;16450
102;Totaal;Nederland;2023 januari;1120
103;Totaal;Nederland;2023 februari;1230
104;Totaal;Nederland;2023 maart;1530
105;Totaal;Nederland;2023 1e kwartaal;3880
106;Totaal;Nederland;2023 april;1610
107;Totaal;Nederland;2023 mei;1630
108;Totaal;Nederland;2023 juni;1620
109;Totaal;Nederland;2023 2e kwartaal;4860
110;Totaal;Nederland;2023 juli;1420
111;Totaal;Nederland;2023 augustus;1380
112;Totaal;Nederland;2023 september;1540
113;Totaal;Nederland;2023 3e kwartaal;4340
114;Totaal;Nederland;2023 oktober;1670
115;Totaal;Nederland;2023 november;1410
116;Totaal;Nederland;2023 december;1130
117;Totaal;Nederland;2023 4e kwartaal;4210
118;Totaal;Nederland;2023;17300
119;Totaal;Nederland;2024 januari;1210
120;Totaal;Nederland;2024 februari;1220
121;Totaal;Nederland;2024 maart;1490
122;Totaal;Nederland;2024 1e kwartaal;3920
123;Totaal;Nederland;2024 april;1530
124;Totaal;Nederland;2024 mei;1680
125;Totaal;Nederland;2024 juni;1660
126;Totaal;Nederland;2024 2e kwartaal;4870
127;Totaal;Nederland;2024 juli;1400
128;Totaal;Nederland;2024 augustus;1370
129;Totaal;Nederland;2024 september;1680
130;Totaal;Nederland;2024 3e kwartaal;4480
131;Totaal;Nederland;2024 oktober;1570
132;Totaal;Nederland;2024 november;1540
133;Totaal;Nederland;2024 december;1170
134;Totaal;Nederland;2024 4e kwartaal;4280
135;Totaal;Nederland;2024;17540
136;Totaal;Nederland;2025 januari;1210
137;Totaal;Nederland;2025 februari;1180
138;Totaal;Amsterdam;2017 januari;350
139;Totaal;Amsterdam;2017 februari;380
140;Totaal;Amsterdam;2017 maart;410
141;Totaal;Amsterdam;2017 1e kwartaal;1140
142;Totaal;Amsterdam;2017 april;480
143;Totaal;Amsterdam;2017 mei;470
144;Totaal;Amsterdam;2017 juni;480
145;Totaal;Amsterdam;2017 2e kwartaal;1430
146;Totaal;Amsterdam;2017 juli;430
147;Totaal;Amsterdam;2017 augustus;420
148;Totaal;Amsterdam;2017 september;490
149;Totaal;Amsterdam;2017 3e kwartaal;1340
150;Totaal;Amsterdam;2017 oktober;480
151;Totaal;Amsterdam;2017 november;430
152;Totaal;Amsterdam;2017 december;370
153;Totaal;Amsterdam;2017 4e kwartaal;1290
154;Totaal;Amsterdam;2017;5200
155;Totaal;Amsterdam;2018 januari;410
156;Totaal;Amsterdam;2018 februari;390
157;Totaal;Amsterdam;2018 maart;460
158;Totaal;Amsterdam;2018 1e kwartaal;1260
159;Totaal;Amsterdam;2018 april;470
160;Totaal;Amsterdam;2018 mei;510
161;Totaal;Amsterdam;2018 juni;510
162;Totaal;Amsterdam;2018 2e kwartaal;1490
163;Totaal;Amsterdam;2018 juli;490
164;Totaal;Amsterdam;2018 augustus;460
165;Totaal;Amsterdam;2018 september;530
166;Totaal;Amsterdam;2018 3e kwartaal;1480
167;Totaal;Amsterdam;2018 oktober;510
168;Totaal;Amsterdam;2018 november;430
169;Totaal;Amsterdam;2018 december;370
170;Totaal;Amsterdam;2018 4e kwartaal;1310
171;Totaal;Amsterdam;2018;5530
172;Totaal;Amsterdam;2019 januari;400
173;Totaal;Amsterdam;2019 februari;410
174;Totaal;Amsterdam;2019 maart;470
175;Totaal;Amsterdam;2019 1e kwartaal;1280
176;Totaal;Amsterdam;2019 april;550
177;Totaal;Amsterdam;2019 mei;550
178;Totaal;Amsterdam;2019 juni;510
179;Totaal;Amsterdam;2019 2e kwartaal;1610
180;Totaal;Amsterdam;2019 juli;480
181;Totaal;Amsterdam;2019 augustus;500
182;Totaal;Amsterdam;2019 september;550
183;Totaal;Amsterdam;2019 3e kwartaal;1530
184;Totaal;Amsterdam;2019 oktober;560
185;Totaal;Amsterdam;2019 november;460
186;Totaal;Amsterdam;2019 december;380
187;Totaal;Amsterdam;2019 4e kwartaal;1390
188;Totaal;Amsterdam;2019;5820
189;Totaal;Amsterdam;2020 januari;370
190;Totaal;Amsterdam;2020 februari;370
191;Totaal;Amsterdam;2020 maart;140
192;Totaal;Amsterdam;2020 1e kwartaal;890
193;Totaal;Amsterdam;2020 april;20
194;Totaal;Amsterdam;2020 mei;20
195;Totaal;Amsterdam;2020 juni;30
196;Totaal;Amsterdam;2020 2e kwartaal;60
197;Totaal;Amsterdam;2020 juli;80
198;Totaal;Amsterdam;2020 augustus;80
199;Totaal;Amsterdam;2020 september;60
200;Totaal;Amsterdam;2020 3e kwartaal;220
201;Totaal;Amsterdam;2020 oktober;40
202;Totaal;Amsterdam;2020 november;30
203;Totaal;Amsterdam;2020 december;30
204;Totaal;Amsterdam;2020 4e kwartaal;100
205;Totaal;Amsterdam;2020;1270
206;Totaal;Amsterdam;2021 januari;30
207;Totaal;Amsterdam;2021 februari;30
208;Totaal;Amsterdam;2021 maart;30
209;Totaal;Amsterdam;2021 1e kwartaal;80
210;Totaal;Amsterdam;2021 april;30
211;Totaal;Amsterdam;2021 mei;50
212;Totaal;Amsterdam;2021 juni;60
213;Totaal;Amsterdam;2021 2e kwartaal;130
214;Totaal;Amsterdam;2021 juli;100
215;Totaal;Amsterdam;2021 augustus;110
216;Totaal;Amsterdam;2021 september;150
217;Totaal;Amsterdam;2021 3e kwartaal;370
218;Totaal;Amsterdam;2021 oktober;230
219;Totaal;Amsterdam;2021 november;180
220;Totaal;Amsterdam;2021 december;60
221;Totaal;Amsterdam;2021 4e kwartaal;460
222;Totaal;Amsterdam;2021;1050
223;Totaal;Amsterdam;2022 januari;60
224;Totaal;Amsterdam;2022 februari;140
225;Totaal;Amsterdam;2022 maart;220
226;Totaal;Amsterdam;2022 1e kwartaal;420
227;Totaal;Amsterdam;2022 april;320
228;Totaal;Amsterdam;2022 mei;350
229;Totaal;Amsterdam;2022 juni;370
230;Totaal;Amsterdam;2022 2e kwartaal;1040
231;Totaal;Amsterdam;2022 juli;310
232;Totaal;Amsterdam;2022 augustus;330
233;Totaal;Amsterdam;2022 september;380
234;Totaal;Amsterdam;2022 3e kwartaal;1020
235;Totaal;Amsterdam;2022 oktober;380
236;Totaal;Amsterdam;2022 november;320
237;Totaal;Amsterdam;2022 december;250
238;Totaal;Amsterdam;2022 4e kwartaal;940
239;Totaal;Amsterdam;2022;3410
240;Totaal;Amsterdam;2023 januari;230
241;Totaal;Amsterdam;2023 februari;260
242;Totaal;Amsterdam;2023 maart;320
243;Totaal;Amsterdam;2023 1e kwartaal;810
244;Totaal;Amsterdam;2023 april;350
245;Totaal;Amsterdam;2023 mei;320
246;Totaal;Amsterdam;2023 juni;370
247;Totaal;Amsterdam;2023 2e kwartaal;1040
248;Totaal;Amsterdam;2023 juli;360
249;Totaal;Amsterdam;2023 augustus;300
250;Totaal;Amsterdam;2023 september;320
251;Totaal;Amsterdam;2023 3e kwartaal;990
252;Totaal;Amsterdam;2023 oktober;370
253;Totaal;Amsterdam;2023 november;310
254;Totaal;Amsterdam;2023 december;240
255;Totaal;Amsterdam;2023 4e kwartaal;910
256;Totaal;Amsterdam;2023;3750
257;Totaal;Amsterdam;2024 januari;230
258;Totaal;Amsterdam;2024 februari;240
259;Totaal;Amsterdam;2024 maart;310
260;Totaal;Amsterdam;2024 1e kwartaal;780
261;Totaal;Amsterdam;2024 april;330
262;Totaal;Amsterdam;2024 mei;350
263;Totaal;Amsterdam;2024 juni;320
264;Totaal;Amsterdam;2024 2e kwartaal;1000
265;Totaal;Amsterdam;2024 juli;310
266;Totaal;Amsterdam;2024 augustus;280
267;Totaal;Amsterdam;2024 september;370
268;Totaal;Amsterdam;2024 3e kwartaal;970
269;Totaal;Amsterdam;2024 oktober;310
270;Totaal;Amsterdam;2024 november;320
271;Totaal;Amsterdam;2024 december;230
272;Totaal;Amsterdam;2024 4e kwartaal;860
273;Totaal;Amsterdam;2024;3640
274;Totaal;Amsterdam;2025 januari;240
275;Totaal;Amsterdam;2025 februari;250
276;Accommodaties zonder ster;Nederland;2017 januari;60
277;Accommodaties zonder ster;Nederland;2017 februari;60
278;Accommodaties zonder ster;Nederland;2017 maart;80
279;Accommodaties zonder ster;Nederland;2017 1e kwartaal;200
280;Accommodaties zonder ster;Nederland;2017 april;110
281;Accommodaties zonder ster;Nederland;2017 mei;100
282;Accommodaties zonder ster;Nederland;2017 juni;90
283;Accommodaties zonder ster;Nederland;2017 2e kwartaal;300
284;Accommodaties zonder ster;Nederland;2017 juli;100
285;Accommodaties zonder ster;Nederland;2017 augustus;90
286;Accommodaties zonder ster;Nederland;2017 september;100
287;Accommodaties zonder ster;Nederland;2017 3e kwartaal;290
288;Accommodaties zonder ster;Nederland;2017 oktober;90
289;Accommodaties zonder ster;Nederland;2017 november;80
290;Accommodaties zonder ster;Nederland;2017 december;70
291;Accommodaties zonder ster;Nederland;2017 4e kwartaal;240
292;Accommodaties zonder ster;Nederland;2017;1020
293;Accommodaties zonder ster;Nederland;2018 januari;70
294;Accommodaties zonder ster;Nederland;2018 februari;70
295;Accommodaties zonder ster;Nederland;2018 maart;80
296;Accommodaties zonder ster;Nederland;2018 1e kwartaal;230
297;Accommodaties zonder ster;Nederland;2018 april;90
298;Accommodaties zonder ster;Nederland;2018 mei;100
299;Accommodaties zonder ster;Nederland;2018 juni;100
300;Accommodaties zonder ster;Nederland;2018 2e kwartaal;300
301;Accommodaties zonder ster;Nederland;2018 juli;90
302;Accommodaties zonder ster;Nederland;2018 augustus;80
303;Accommodaties zonder ster;Nederland;2018 september;110
304;Accommodaties zonder ster;Nederland;2018 3e kwartaal;280
305;Accommodaties zonder ster;Nederland;2018 oktober;100
306;Accommodaties zonder ster;Nederland;2018 november;80
307;Accommodaties zonder ster;Nederland;2018 december;60
308;Accommodaties zonder ster;Nederland;2018 4e kwartaal;240
309;Accommodaties zonder ster;Nederland;2018;1050
310;Accommodaties zonder ster;Nederland;2019 januari;70
311;Accommodaties zonder ster;Nederland;2019 februari;70
312;Accommodaties zonder ster;Nederland;2019 maart;90
313;Accommodaties zonder ster;Nederland;2019 1e kwartaal;230
314;Accommodaties zonder ster;Nederland;2019 april;120
315;Accommodaties zonder ster;Nederland;2019 mei;100
316;Accommodaties zonder ster;Nederland;2019 juni;110
317;Accommodaties zonder ster;Nederland;2019 2e kwartaal;320
318;Accommodaties zonder ster;Nederland;2019 juli;100
319;Accommodaties zonder ster;Nederland;2019 augustus;100
320;Accommodaties zonder ster;Nederland;2019 september;110
321;Accommodaties zonder ster;Nederland;2019 3e kwartaal;310
322;Accommodaties zonder ster;Nederland;2019 oktober;110
323;Accommodaties zonder ster;Nederland;2019 november;80
324;Accommodaties zonder ster;Nederland;2019 december;70
325;Accommodaties zonder ster;Nederland;2019 4e kwartaal;260
326;Accommodaties zonder ster;Nederland;2019;1120
327;Accommodaties zonder ster;Nederland;2020 januari;60
328;Accommodaties zonder ster;Nederland;2020 februari;80
329;Accommodaties zonder ster;Nederland;2020 maart;40
330;Accommodaties zonder ster;Nederland;2020 1e kwartaal;180
331;Accommodaties zonder ster;Nederland;2020 april;20
332;Accommodaties zonder ster;Nederland;2020 mei;20
333;Accommodaties zonder ster;Nederland;2020 juni;30
334;Accommodaties zonder ster;Nederland;2020 2e kwartaal;70
335;Accommodaties zonder ster;Nederland;2020 juli;40
336;Accommodaties zonder ster;Nederland;2020 augustus;40
337;Accommodaties zonder ster;Nederland;2020 september;40
338;Accommodaties zonder ster;Nederland;2020 3e kwartaal;110
339;Accommodaties zonder ster;Nederland;2020 oktober;30
340;Accommodaties zonder ster;Nederland;2020 november;20
341;Accommodaties zonder ster;Nederland;2020 december;20
342;Accommodaties zonder ster;Nederland;2020 4e kwartaal;70
343;Accommodaties zonder ster;Nederland;2020;440
344;Accommodaties zonder ster;Nederland;2021 januari;20
345;Accommodaties zonder ster;Nederland;2021 februari;10
346;Accommodaties zonder ster;Nederland;2021 maart;20
347;Accommodaties zonder ster;Nederland;2021 1e kwartaal;50
348;Accommodaties zonder ster;Nederland;2021 april;20
349;Accommodaties zonder ster;Nederland;2021 mei;30
350;Accommodaties zonder ster;Nederland;2021 juni;40
351;Accommodaties zonder ster;Nederland;2021 2e kwartaal;100
352;Accommodaties zonder ster;Nederland;2021 juli;50
353;Accommodaties zonder ster;Nederland;2021 augustus;50
354;Accommodaties zonder ster;Nederland;2021 september;70
355;Accommodaties zonder ster;Nederland;2021 3e kwartaal;170
356;Accommodaties zonder ster;Nederland;2021 oktober;60
357;Accommodaties zonder ster;Nederland;2021 november;40
358;Accommodaties zonder ster;Nederland;2021 december;20
359;Accommodaties zonder ster;Nederland;2021 4e kwartaal;110
360;Accommodaties zonder ster;Nederland;2021;430
361;Accommodaties zonder ster;Nederland;2022 januari;30
362;Accommodaties zonder ster;Nederland;2022 februari;50
363;Accommodaties zonder ster;Nederland;2022 maart;80
364;Accommodaties zonder ster;Nederland;2022 1e kwartaal;160
365;Accommodaties zonder ster;Nederland;2022 april;100
366;Accommodaties zonder ster;Nederland;2022 mei;110
367;Accommodaties zonder ster;Nederland;2022 juni;120
368;Accommodaties zonder ster;Nederland;2022 2e kwartaal;340
369;Accommodaties zonder ster;Nederland;2022 juli;100
370;Accommodaties zonder ster;Nederland;2022 augustus;90
371;Accommodaties zonder ster;Nederland;2022 september;100
372;Accommodaties zonder ster;Nederland;2022 3e kwartaal;290
373;Accommodaties zonder ster;Nederland;2022 oktober;100
374;Accommodaties zonder ster;Nederland;2022 november;70
375;Accommodaties zonder ster;Nederland;2022 december;60
376;Accommodaties zonder ster;Nederland;2022 4e kwartaal;230
377;Accommodaties zonder ster;Nederland;2022;1020
378;Accommodaties zonder ster;Nederland;2023 januari;50
379;Accommodaties zonder ster;Nederland;2023 februari;40
380;Accommodaties zonder ster;Nederland;2023 maart;70
381;Accommodaties zonder ster;Nederland;2023 1e kwartaal;170
382;Accommodaties zonder ster;Nederland;2023 april;80
383;Accommodaties zonder ster;Nederland;2023 mei;70
384;Accommodaties zonder ster;Nederland;2023 juni;80
385;Accommodaties zonder ster;Nederland;2023 2e kwartaal;220
386;Accommodaties zonder ster;Nederland;2023 juli;70
387;Accommodaties zonder ster;Nederland;2023 augustus;60
388;Accommodaties zonder ster;Nederland;2023 september;80
389;Accommodaties zonder ster;Nederland;2023 3e kwartaal;210
390;Accommodaties zonder ster;Nederland;2023 oktober;80
391;Accommodaties zonder ster;Nederland;2023 november;60
392;Accommodaties zonder ster;Nederland;2023 december;40
393;Accommodaties zonder ster;Nederland;2023 4e kwartaal;180
394;Accommodaties zonder ster;Nederland;2023;770
395;Accommodaties zonder ster;Nederland;2024 januari;40
396;Accommodaties zonder ster;Nederland;2024 februari;60
397;Accommodaties zonder ster;Nederland;2024 maart;70
398;Accommodaties zonder ster;Nederland;2024 1e kwartaal;170
399;Accommodaties zonder ster;Nederland;2024 april;70
400;Accommodaties zonder ster;Nederland;2024 mei;80
401;Accommodaties zonder ster;Nederland;2024 juni;70
402;Accommodaties zonder ster;Nederland;2024 2e kwartaal;210
403;Accommodaties zonder ster;Nederland;2024 juli;80
404;Accommodaties zonder ster;Nederland;2024 augustus;50
405;Accommodaties zonder ster;Nederland;2024 september;80
406;Accommodaties zonder ster;Nederland;2024 3e kwartaal;210
407;Accommodaties zonder ster;Nederland;2024 oktober;70
408;Accommodaties zonder ster;Nederland;2024 november;90
409;Accommodaties zonder ster;Nederland;2024 december;50
410;Accommodaties zonder ster;Nederland;2024 4e kwartaal;220
411;Accommodaties zonder ster;Nederland;2024;800
412;Accommodaties zonder ster;Nederland;2025 januari;70
413;Accommodaties zonder ster;Nederland;2025 februari;60
414;Accommodaties zonder ster;Amsterdam;2017 januari;20
415;Accommodaties zonder ster;Amsterdam;2017 februari;20
416;Accommodaties zonder ster;Amsterdam;2017 maart;40
417;Accommodaties zonder ster;Amsterdam;2017 1e kwartaal;80
418;Accommodaties zonder ster;Amsterdam;2017 april;50
419;Accommodaties zonder ster;Amsterdam;2017 mei;40
420;Accommodaties zonder ster;Amsterdam;2017 juni;30
421;Accommodaties zonder ster;Amsterdam;2017 2e kwartaal;130
422;Accommodaties zonder ster;Amsterdam;2017 juli;40
423;Accommodaties zonder ster;Amsterdam;2017 augustus;30
424;Accommodaties zonder ster;Amsterdam;2017 september;30
425;Accommodaties zonder ster;Amsterdam;2017 3e kwartaal;100
426;Accommodaties zonder ster;Amsterdam;2017 oktober;40
427;Accommodaties zonder ster;Amsterdam;2017 november;40
428;Accommodaties zonder ster;Amsterdam;2017 december;30
429;Accommodaties zonder ster;Amsterdam;2017 4e kwartaal;110
430;Accommodaties zonder ster;Amsterdam;2017;420
431;Accommodaties zonder ster;Amsterdam;2018 januari;30
432;Accommodaties zonder ster;Amsterdam;2018 februari;20
433;Accommodaties zonder ster;Amsterdam;2018 maart;30
434;Accommodaties zonder ster;Amsterdam;2018 1e kwartaal;90
435;Accommodaties zonder ster;Amsterdam;2018 april;30
436;Accommodaties zonder ster;Amsterdam;2018 mei;30
437;Accommodaties zonder ster;Amsterdam;2018 juni;40
438;Accommodaties zonder ster;Amsterdam;2018 2e kwartaal;90
439;Accommodaties zonder ster;Amsterdam;2018 juli;30
440;Accommodaties zonder ster;Amsterdam;2018 augustus;20
441;Accommodaties zonder ster;Amsterdam;2018 september;40
442;Accommodaties zonder ster;Amsterdam;2018 3e kwartaal;90
443;Accommodaties zonder ster;Amsterdam;2018 oktober;30
444;Accommodaties zonder ster;Amsterdam;2018 november;30
445;Accommodaties zonder ster;Amsterdam;2018 december;30
446;Accommodaties zonder ster;Amsterdam;2018 4e kwartaal;90
447;Accommodaties zonder ster;Amsterdam;2018;370
448;Accommodaties zonder ster;Amsterdam;2019 januari;30
449;Accommodaties zonder ster;Amsterdam;2019 februari;20
450;Accommodaties zonder ster;Amsterdam;2019 maart;30
451;Accommodaties zonder ster;Amsterdam;2019 1e kwartaal;80
452;Accommodaties zonder ster;Amsterdam;2019 april;40
453;Accommodaties zonder ster;Amsterdam;2019 mei;20
454;Accommodaties zonder ster;Amsterdam;2019 juni;30
455;Accommodaties zonder ster;Amsterdam;2019 2e kwartaal;100
456;Accommodaties zonder ster;Amsterdam;2019 juli;20
457;Accommodaties zonder ster;Amsterdam;2019 augustus;20
458;Accommodaties zonder ster;Amsterdam;2019 september;30
459;Accommodaties zonder ster;Amsterdam;2019 3e kwartaal;70
460;Accommodaties zonder ster;Amsterdam;2019 oktober;30
461;Accommodaties zonder ster;Amsterdam;2019 november;20
462;Accommodaties zonder ster;Amsterdam;2019 december;20
463;Accommodaties zonder ster;Amsterdam;2019 4e kwartaal;60
464;Accommodaties zonder ster;Amsterdam;2019;300
465;Accommodaties zonder ster;Amsterdam;2020 januari;20
466;Accommodaties zonder ster;Amsterdam;2020 februari;20
467;Accommodaties zonder ster;Amsterdam;2020 maart;10
468;Accommodaties zonder ster;Amsterdam;2020 1e kwartaal;60
469;Accommodaties zonder ster;Amsterdam;2020 april;0
470;Accommodaties zonder ster;Amsterdam;2020 mei;0
471;Accommodaties zonder ster;Amsterdam;2020 juni;0
472;Accommodaties zonder ster;Amsterdam;2020 2e kwartaal;0
473;Accommodaties zonder ster;Amsterdam;2020 juli;10
474;Accommodaties zonder ster;Amsterdam;2020 augustus;0
475;Accommodaties zonder ster;Amsterdam;2020 september;0
476;Accommodaties zonder ster;Amsterdam;2020 3e kwartaal;20
477;Accommodaties zonder ster;Amsterdam;2020 oktober;10
478;Accommodaties zonder ster;Amsterdam;2020 november;0
479;Accommodaties zonder ster;Amsterdam;2020 december;0
480;Accommodaties zonder ster;Amsterdam;2020 4e kwartaal;10
481;Accommodaties zonder ster;Amsterdam;2020;90
482;Accommodaties zonder ster;Amsterdam;2021 januari;0
483;Accommodaties zonder ster;Amsterdam;2021 februari;0
484;Accommodaties zonder ster;Amsterdam;2021 maart;0
485;Accommodaties zonder ster;Amsterdam;2021 1e kwartaal;10
486;Accommodaties zonder ster;Amsterdam;2021 april;0
487;Accommodaties zonder ster;Amsterdam;2021 mei;0
488;Accommodaties zonder ster;Amsterdam;2021 juni;0
489;Accommodaties zonder ster;Amsterdam;2021 2e kwartaal;10
490;Accommodaties zonder ster;Amsterdam;2021 juli;0
491;Accommodaties zonder ster;Amsterdam;2021 augustus;0
492;Accommodaties zonder ster;Amsterdam;2021 september;0
493;Accommodaties zonder ster;Amsterdam;2021 3e kwartaal;10
494;Accommodaties zonder ster;Amsterdam;2021 oktober;0
495;Accommodaties zonder ster;Amsterdam;2021 november;0
496;Accommodaties zonder ster;Amsterdam;2021 december;0
497;Accommodaties zonder ster;Amsterdam;2021 4e kwartaal;10
498;Accommodaties zonder ster;Amsterdam;2021;30
499;Accommodaties zonder ster;Amsterdam;2022 januari;0
500;Accommodaties zonder ster;Amsterdam;2022 februari;10
501;Accommodaties zonder ster;Amsterdam;2022 maart;10
502;Accommodaties zonder ster;Amsterdam;2022 1e kwartaal;20
503;Accommodaties zonder ster;Amsterdam;2022 april;20
504;Accommodaties zonder ster;Amsterdam;2022 mei;20
505;Accommodaties zonder ster;Amsterdam;2022 juni;10
506;Accommodaties zonder ster;Amsterdam;2022 2e kwartaal;50
507;Accommodaties zonder ster;Amsterdam;2022 juli;10
508;Accommodaties zonder ster;Amsterdam;2022 augustus;10
509;Accommodaties zonder ster;Amsterdam;2022 september;10
510;Accommodaties zonder ster;Amsterdam;2022 3e kwartaal;40
511;Accommodaties zonder ster;Amsterdam;2022 oktober;10
512;Accommodaties zonder ster;Amsterdam;2022 november;10
513;Accommodaties zonder ster;Amsterdam;2022 december;10
514;Accommodaties zonder ster;Amsterdam;2022 4e kwartaal;30
515;Accommodaties zonder ster;Amsterdam;2022;140
516;Accommodaties zonder ster;Amsterdam;2023 januari;10
517;Accommodaties zonder ster;Amsterdam;2023 februari;10
518;Accommodaties zonder ster;Amsterdam;2023 maart;10
519;Accommodaties zonder ster;Amsterdam;2023 1e kwartaal;20
520;Accommodaties zonder ster;Amsterdam;2023 april;10
521;Accommodaties zonder ster;Amsterdam;2023 mei;10
522;Accommodaties zonder ster;Amsterdam;2023 juni;10
523;Accommodaties zonder ster;Amsterdam;2023 2e kwartaal;20
524;Accommodaties zonder ster;Amsterdam;2023 juli;10
525;Accommodaties zonder ster;Amsterdam;2023 augustus;10
526;Accommodaties zonder ster;Amsterdam;2023 september;10
527;Accommodaties zonder ster;Amsterdam;2023 3e kwartaal;20
528;Accommodaties zonder ster;Amsterdam;2023 oktober;10
529;Accommodaties zonder ster;Amsterdam;2023 november;10
530;Accommodaties zonder ster;Amsterdam;2023 december;10
531;Accommodaties zonder ster;Amsterdam;2023 4e kwartaal;20
532;Accommodaties zonder ster;Amsterdam;2023;90
533;Accommodaties zonder ster;Amsterdam;2024 januari;0
534;Accommodaties zonder ster;Amsterdam;2024 februari;0
535;Accommodaties zonder ster;Amsterdam;2024 maart;10
536;Accommodaties zonder ster;Amsterdam;2024 1e kwartaal;20
537;Accommodaties zonder ster;Amsterdam;2024 april;0
538;Accommodaties zonder ster;Amsterdam;2024 mei;10
539;Accommodaties zonder ster;Amsterdam;2024 juni;10
540;Accommodaties zonder ster;Amsterdam;2024 2e kwartaal;20
541;Accommodaties zonder ster;Amsterdam;2024 juli;10
542;Accommodaties zonder ster;Amsterdam;2024 augustus;10
543;Accommodaties zonder ster;Amsterdam;2024 september;10
