ID;Pensioenfondsen;Perioden;AantalPensioenfondsen_1;TotaalDeelnemers_2;ActieveDeelnemers_3;GewezenDeelnemers_4;TotaalPensioentrekkenden_5;Ouderdomspensioen_6;Invaliditeitspensioen_7;WeduwenOfWeduwnaarspensioen_8;Wezenpensioen_9;PremiesTotaalEigenRekening_10;Werkgeverspremie_11;Werknemerspremie_12;Werkgeverspremie_13;Werknemerspremie_14;PremiesHerverzekering_15
39;Ondernemingspensioenfondsen;1998;944;1836;751;673;412;257;16;131;8;1619;1537;362;535.0;51.0;866
40;Ondernemingspensioenfondsen;1999;910;1957;807;716;434;271;17;138;8;1764;1568;385;467.0;72.0;727
41;Ondernemingspensioenfondsen;2000;883;2092;863;773;456;283;19;145;9;2140;1584;499;442.0;100.0;484
42;Ondernemingspensioenfondsen;2001;850;2389;935;977;477;299;20;149;9;2836;1859;457;959.0;81.0;520
43;Ondernemingspensioenfondsen;2002;811;2481;998;1006;477;294;26;148;9;7022;5110;523;1768.0;59.0;438
44;Ondernemingspensioenfondsen;2003;759;2225;838;930;457;285;20;144;8;6248;4218;548;1797.0;108.0;423
45;Ondernemingspensioenfondsen;2004;722;2402;900;1014;488;302;26;151;9;6104;4374;552;1475.0;89.0;387
46;Ondernemingspensioenfondsen;2005;683;2446;888;1064;494;311;26;148;9;6952;4370;658;2092.0;165.0;333
47;Ondernemingspensioenfondsen;2006;650;2436;834;1116;486;310;24;144;8;6277;3864;581;1849.0;146.0;163
48;Ondernemingspensioenfondsen;2007;604;2398;784;1120;494;326;18;142;8;5488;5798;722;80.0;14.0;1126
49;Ondernemingspensioenfondsen;2008;547;2387;771;1139;477;312;16;141;8;6952;6625;774;254.0;6.0;707
50;Ondernemingspensioenfondsen;2009;479;2370;738;1150;482;319;14;141;8;8632;8173;827;302.0;4.0;674
51;Ondernemingspensioenfondsen;2010;417;2292;707;1099;486;324;14;141;7;6227;5539;812;301.0;4.0;429
52;Ondernemingspensioenfondsen;2011;364;2239;670;1082;487;329;12;139;7;6829;6421;881;390.0;2.0;865
53;Ondernemingspensioenfondsen;2012;327;2068;636;957;475;324;13;131;7;7062;6844;884;;;666
54;Ondernemingspensioenfondsen;2013;295;2029;611;943;475;329;11;128;7;7868;7708;875;;;711
55;Ondernemingspensioenfondsen;2014;268;1936;574;899;463;324;9;123;7;7189;6842;830;;;464
56;Ondernemingspensioenfondsen;2015;240;1905;551;897;457;322;8;121;6;5416;4891;787;;;263
57;Beroeps- en overige pensioenfondsen;1997;15;73;46;12;15;9;0;5;1;191;223;1;0.0;0.0;34
58;Beroeps- en overige pensioenfondsen;1998;16;75;47;12;16;10;0;5;1;209;246;1;0.0;0.0;39
59;Beroeps- en overige pensioenfondsen;1999;16;91;48;13;30;17;0;12;1;-28;65;-65;-21.0;0.0;8
60;Beroeps- en overige pensioenfondsen;2000;16;74;38;12;24;13;0;10;1;8;181;-127;-45.0;0.0;0
61;Beroeps- en overige pensioenfondsen;2001;15;89;45;14;30;17;0;12;1;89;68;19;6.0;0.0;5
62;Beroeps- en overige pensioenfondsen;2002;15;68;41;13;14;9;0;4;1;275;198;57;24.0;0.0;4
63;Beroeps- en overige pensioenfondsen;2003;15;75;45;14;16;10;0;5;1;321;232;67;28.0;0.0;6
64;Beroeps- en overige pensioenfondsen;2004;17;79;48;14;17;11;0;5;1;351;251;71;32.0;0.0;2
65;Beroeps- en overige pensioenfondsen;2005;16;81;49;15;17;11;0;5;1;412;322;63;29.0;0.0;2
66;Beroeps- en overige pensioenfondsen;2006;16;85;45;21;19;12;0;6;1;386;295;64;29.0;0.0;2
67;Beroeps- en overige pensioenfondsen;2007;14;91;50;21;20;13;0;6;1;430;146;291;0.0;0.0;7
68;Beroeps- en overige pensioenfondsen;2008;14;89;50;19;20;13;0;6;1;429;102;338;0.0;0.0;11
69;Beroeps- en overige pensioenfondsen;2009;13;91;52;18;21;14;0;6;1;445;112;341;0.0;0.0;8
70;Beroeps- en overige pensioenfondsen;2010;13;94;54;18;22;15;0;6;1;449;61;394;0.0;0.0;6
71;Beroeps- en overige pensioenfondsen;2011;13;97;56;18;23;16;0;6;1;481;63;424;0.0;0.0;6
72;Beroeps- en overige pensioenfondsen;2012;13;101;58;18;25;18;0;6;1;518;49;472;;;3
73;Beroeps- en overige pensioenfondsen;2013;13;94;50;18;26;19;0;6;1;518;36;482;;;1
74;Beroeps- en overige pensioenfondsen;2014;12;95;50;18;27;20;0;6;1;504;36;475;;;6
75;Beroeps- en overige pensioenfondsen;2015;12;97;51;18;28;20;0;7;1;497;34;466;;;4
