ID;Arbeidsgehandicapten;Persoonskenmerken;Beroepskenmerken;Perioden;WerkzameBeroepsbevolking_1
30;Totaal;Totaal personen;013 Leidsters kinderopvang en onderwi.;2015;145
31;Totaal;Totaal personen;013 Leidsters kinderopvang en onderwi.;2016;136
32;Totaal;Totaal personen;013 Leidsters kinderopvang en onderwi.;2017;127
33;Totaal;Totaal personen;0131 Leidsters kinderopvang en onderw...;2015;145
34;Totaal;Totaal personen;0131 Leidsters kinderopvang en onderw...;2016;136
35;Totaal;Totaal personen;0131 Leidsters kinderopvang en onderw...;2017;127
36;Totaal;Totaal personen;02 Creatieve en taalkundige beroepen;2015;199
37;Totaal;Totaal personen;02 Creatieve en taalkundige beroepen;2016;197
38;Totaal;Totaal personen;02 Creatieve en taalkundige beroepen;2017;210
39;Totaal;Totaal personen;021 Auteurs en kunstenaars;2015;133
40;Totaal;Totaal personen;021 Auteurs en kunstenaars;2016;122
41;Totaal;Totaal personen;021 Auteurs en kunstenaars;2017;133
42;Totaal;Totaal personen;0211 Bibliothecarissen en conservatoren;2015;8
43;Totaal;Totaal personen;0211 Bibliothecarissen en conservatoren;2016;8
44;Totaal;Totaal personen;0211 Bibliothecarissen en conservatoren;2017;6
45;Totaal;Totaal personen;0212 Auteurs en taalkundigen;2015;38
46;Totaal;Totaal personen;0212 Auteurs en taalkundigen;2016;29
47;Totaal;Totaal personen;0212 Auteurs en taalkundigen;2017;32
48;Totaal;Totaal personen;0213 Journalisten;2015;24
49;Totaal;Totaal personen;0213 Journalisten;2016;25
50;Totaal;Totaal personen;0213 Journalisten;2017;34
51;Totaal;Totaal personen;0214 Beeldend kunstenaars;2015;18
52;Totaal;Totaal personen;0214 Beeldend kunstenaars;2016;16
53;Totaal;Totaal personen;0214 Beeldend kunstenaars;2017;11
54;Totaal;Totaal personen;0215 Uitvoerend kunstenaars;2015;45
55;Totaal;Totaal personen;0215 Uitvoerend kunstenaars;2016;44
56;Totaal;Totaal personen;0215 Uitvoerend kunstenaars;2017;50
57;Totaal;Totaal personen;022 Vakspecialisten op artistiek en c.;2015;66
58;Totaal;Totaal personen;022 Vakspecialisten op artistiek en c.;2016;74
59;Totaal;Totaal personen;022 Vakspecialisten op artistiek en c.;2017;77
60;Totaal;Totaal personen;0221 Grafisch vormgevers en producton...;2015;44
61;Totaal;Totaal personen;0221 Grafisch vormgevers en producton...;2016;49
62;Totaal;Totaal personen;0221 Grafisch vormgevers en producton...;2017;57
63;Totaal;Totaal personen;0222 Fotografen en interieurontwerpers;2015;22
64;Totaal;Totaal personen;0222 Fotografen en interieurontwerpers;2016;25
65;Totaal;Totaal personen;0222 Fotografen en interieurontwerpers;2017;20
66;Totaal;Totaal personen;03 Commerciële beroepen;2015;965
67;Totaal;Totaal personen;03 Commerciële beroepen;2016;932
68;Totaal;Totaal personen;03 Commerciële beroepen;2017;962
69;Totaal;Totaal personen;031 Adviseurs marketing, public relat.;2015;147
70;Totaal;Totaal personen;031 Adviseurs marketing, public relat.;2016;142
71;Totaal;Totaal personen;031 Adviseurs marketing, public relat.;2017;155
72;Totaal;Totaal personen;0311 Adviseurs marketing, public rela...;2015;147
73;Totaal;Totaal personen;0311 Adviseurs marketing, public rela...;2016;142
74;Totaal;Totaal personen;0311 Adviseurs marketing, public rela...;2017;155
75;Totaal;Totaal personen;032 Vertegenwoordigers en inkopers;2015;139
76;Totaal;Totaal personen;032 Vertegenwoordigers en inkopers;2016;149
77;Totaal;Totaal personen;032 Vertegenwoordigers en inkopers;2017;145
78;Totaal;Totaal personen;0321 Vertegenwoordigers en inkopers;2015;139
79;Totaal;Totaal personen;0321 Vertegenwoordigers en inkopers;2016;149
80;Totaal;Totaal personen;0321 Vertegenwoordigers en inkopers;2017;145
81;Totaal;Totaal personen;033 Verkopers;2015;679
82;Totaal;Totaal personen;033 Verkopers;2016;641
83;Totaal;Totaal personen;033 Verkopers;2017;663
84;Totaal;Totaal personen;0331 Winkeliers en teamleiders detail...;2015;127
85;Totaal;Totaal personen;0331 Winkeliers en teamleiders detail...;2016;114
86;Totaal;Totaal personen;0331 Winkeliers en teamleiders detail...;2017;126
87;Totaal;Totaal personen;0332 Verkoopmedewerkers detailhandel;2015;346
88;Totaal;Totaal personen;0332 Verkoopmedewerkers detailhandel;2016;331
89;Totaal;Totaal personen;0332 Verkoopmedewerkers detailhandel;2017;324
90;Totaal;Totaal personen;0333 Kassamedewerkers;2015;89
91;Totaal;Totaal personen;0333 Kassamedewerkers;2016;82
92;Totaal;Totaal personen;0333 Kassamedewerkers;2017;87
93;Totaal;Totaal personen;0334 Callcentermedewerkers outbound e...;2015;117
94;Totaal;Totaal personen;0334 Callcentermedewerkers outbound e...;2016;114
95;Totaal;Totaal personen;0334 Callcentermedewerkers outbound e...;2017;125
96;Totaal;Totaal personen;04 Bedrijfseconomische en administrat...;2015;1515
97;Totaal;Totaal personen;04 Bedrijfseconomische en administrat...;2016;1543
98;Totaal;Totaal personen;04 Bedrijfseconomische en administrat...;2017;1566
99;Totaal;Totaal personen;041 Specialisten bedrijfsbeheer en ad.;2015;429
100;Totaal;Totaal personen;041 Specialisten bedrijfsbeheer en ad.;2016;452
101;Totaal;Totaal personen;041 Specialisten bedrijfsbeheer en ad.;2017;464
102;Totaal;Totaal personen;0411 Accountants;2015;101
103;Totaal;Totaal personen;0411 Accountants;2016;88
104;Totaal;Totaal personen;0411 Accountants;2017;98
105;Totaal;Totaal personen;0412 Financieel specialisten en economen;2015;63
106;Totaal;Totaal personen;0412 Financieel specialisten en economen;2016;71
107;Totaal;Totaal personen;0412 Financieel specialisten en economen;2017;79
108;Totaal;Totaal personen;0413 Bedrijfskundigen en organisatiea.;2015;125
109;Totaal;Totaal personen;0413 Bedrijfskundigen en organisatiea.;2016;136
110;Totaal;Totaal personen;0413 Bedrijfskundigen en organisatiea.;2017;126
111;Totaal;Totaal personen;0414 Beleidsadviseurs;2015;64
112;Totaal;Totaal personen;0414 Beleidsadviseurs;2016;61
113;Totaal;Totaal personen;0414 Beleidsadviseurs;2017;64
114;Totaal;Totaal personen;0415 Specialisten personeels- en loop.;2015;76
115;Totaal;Totaal personen;0415 Specialisten personeels- en loop.;2016;97
116;Totaal;Totaal personen;0415 Specialisten personeels- en loop.;2017;97
117;Totaal;Totaal personen;042 Vakspecialisten bedrijfsbeheer en...;2015;308
118;Totaal;Totaal personen;042 Vakspecialisten bedrijfsbeheer en...;2016;321
119;Totaal;Totaal personen;042 Vakspecialisten bedrijfsbeheer en...;2017;327
120;Totaal;Totaal personen;0421 Boekhouders;2015;95
121;Totaal;Totaal personen;0421 Boekhouders;2016;102
122;Totaal;Totaal personen;0421 Boekhouders;2017;103
123;Totaal;Totaal personen;0422 Zakelijke dienstverleners;2015;96
124;Totaal;Totaal personen;0422 Zakelijke dienstverleners;2016;108
125;Totaal;Totaal personen;0422 Zakelijke dienstverleners;2017;107
126;Totaal;Totaal personen;0423 Directiesecretaresses;2015;117
127;Totaal;Totaal personen;0423 Directiesecretaresses;2016;111
128;Totaal;Totaal personen;0423 Directiesecretaresses;2017;117
129;Totaal;Totaal personen;043 Administratief personeel;2015;777
130;Totaal;Totaal personen;043 Administratief personeel;2016;770
131;Totaal;Totaal personen;043 Administratief personeel;2017;775
132;Totaal;Totaal personen;0431 Administratief medewerkers;2015;285
133;Totaal;Totaal personen;0431 Administratief medewerkers;2016;285
134;Totaal;Totaal personen;0431 Administratief medewerkers;2017;284
135;Totaal;Totaal personen;0432 Secretaresses;2015;50
136;Totaal;Totaal personen;0432 Secretaresses;2016;55
137;Totaal;Totaal personen;0432 Secretaresses;2017;46
138;Totaal;Totaal personen;0433 Receptionisten en telefonisten;2015;145
139;Totaal;Totaal personen;0433 Receptionisten en telefonisten;2016;152
140;Totaal;Totaal personen;0433 Receptionisten en telefonisten;2017;150
141;Totaal;Totaal personen;0434 Boekhoudkundig medewerkers;2015;125
142;Totaal;Totaal personen;0434 Boekhoudkundig medewerkers;2016;121
143;Totaal;Totaal personen;0434 Boekhoudkundig medewerkers;2017;116
144;Totaal;Totaal personen;0435 Transportplanners en logistiek m.;2015;172
145;Totaal;Totaal personen;0435 Transportplanners en logistiek m.;2016;157
146;Totaal;Totaal personen;0435 Transportplanners en logistiek m.;2017;178
147;Totaal;Totaal personen;05 Managers;2015;474
148;Totaal;Totaal personen;05 Managers;2016;450
149;Totaal;Totaal personen;05 Managers;2017;415
150;Totaal;Totaal personen;051 Algemeen directeuren;2015;63
151;Totaal;Totaal personen;051 Algemeen directeuren;2016;74
152;Totaal;Totaal personen;051 Algemeen directeuren;2017;69
153;Totaal;Totaal personen;0511 Algemeen directeuren;2015;63
154;Totaal;Totaal personen;0511 Algemeen directeuren;2016;74
155;Totaal;Totaal personen;0511 Algemeen directeuren;2017;69
156;Totaal;Totaal personen;052 Managers op administratief en com...;2015;140
157;Totaal;Totaal personen;052 Managers op administratief en com...;2016;128
158;Totaal;Totaal personen;052 Managers op administratief en com...;2017;122
159;Totaal;Totaal personen;0521 Managers zakelijke en administra.;2015;87
160;Totaal;Totaal personen;0521 Managers zakelijke en administra.;2016;80
161;Totaal;Totaal personen;0521 Managers zakelijke en administra.;2017;75
162;Totaal;Totaal personen;0522 Managers verkoop en marketing;2015;53
163;Totaal;Totaal personen;0522 Managers verkoop en marketing;2016;48
164;Totaal;Totaal personen;0522 Managers verkoop en marketing;2017;47
165;Totaal;Totaal personen;053 Managers productie en gespecialis...;2015;169
166;Totaal;Totaal personen;053 Managers productie en gespecialis...;2016;156
167;Totaal;Totaal personen;053 Managers productie en gespecialis...;2017;151
168;Totaal;Totaal personen;0531 Managers productie;2015;46
169;Totaal;Totaal personen;0531 Managers productie;2016;44
170;Totaal;Totaal personen;0531 Managers productie;2017;42
171;Totaal;Totaal personen;0532 Managers logistiek;2015;21
172;Totaal;Totaal personen;0532 Managers logistiek;2016;20
173;Totaal;Totaal personen;0532 Managers logistiek;2017;14
174;Totaal;Totaal personen;0533 Managers ICT;2015;24
175;Totaal;Totaal personen;0533 Managers ICT;2016;15
176;Totaal;Totaal personen;0533 Managers ICT;2017;18
177;Totaal;Totaal personen;0534 Managers zorginstellingen;2015;25
178;Totaal;Totaal personen;0534 Managers zorginstellingen;2016;27
179;Totaal;Totaal personen;0534 Managers zorginstellingen;2017;26
180;Totaal;Totaal personen;0535 Managers onderwijs;2015;20
181;Totaal;Totaal personen;0535 Managers onderwijs;2016;17
182;Totaal;Totaal personen;0535 Managers onderwijs;2017;20
183;Totaal;Totaal personen;0536 Managers gespecialiseerde dienst.;2015;33
184;Totaal;Totaal personen;0536 Managers gespecialiseerde dienst.;2016;33
185;Totaal;Totaal personen;0536 Managers gespecialiseerde dienst.;2017;30
186;Totaal;Totaal personen;054 Managers horeca, detailhandel en.;2015;73
187;Totaal;Totaal personen;054 Managers horeca, detailhandel en.;2016;65
188;Totaal;Totaal personen;054 Managers horeca, detailhandel en.;2017;57
189;Totaal;Totaal personen;0541 Managers horeca;2015;19
190;Totaal;Totaal personen;0541 Managers horeca;2016;17
191;Totaal;Totaal personen;0541 Managers horeca;2017;14
192;Totaal;Totaal personen;0542 Managers detail- en groothandel;2015;39
193;Totaal;Totaal personen;0542 Managers detail- en groothandel;2016;38
194;Totaal;Totaal personen;0542 Managers detail- en groothandel;2017;31
195;Totaal;Totaal personen;0543 Managers commerciële en persoonl.;2015;15
196;Totaal;Totaal personen;0543 Managers commerciële en persoonl.;2016;10
197;Totaal;Totaal personen;0543 Managers commerciële en persoonl.;2017;11
198;Totaal;Totaal personen;055 Managers z.n.d.;2015;29
199;Totaal;Totaal personen;055 Managers z.n.d.;2016;29
200;Totaal;Totaal personen;055 Managers z.n.d.;2017;16
201;Totaal;Totaal personen;0551 Managers z.n.d.;2015;29
202;Totaal;Totaal personen;0551 Managers z.n.d.;2016;29
203;Totaal;Totaal personen;0551 Managers z.n.d.;2017;16
204;Totaal;Totaal personen;06 Openbaar bestuur, veiligheid en ju.;2015;274
205;Totaal;Totaal personen;06 Openbaar bestuur, veiligheid en ju.;2016;291
206;Totaal;Totaal personen;06 Openbaar bestuur, veiligheid en ju.;2017;307
207;Totaal;Totaal personen;061 Overheidsambtenaren en -bestuurders;2015;88
208;Totaal;Totaal personen;061 Overheidsambtenaren en -bestuurders;2016;93
209;Totaal;Totaal personen;061 Overheidsambtenaren en -bestuurders;2017;98
210;Totaal;Totaal personen;0611 Overheidsbestuurders;2015;32
211;Totaal;Totaal personen;0611 Overheidsbestuurders;2016;27
212;Totaal;Totaal personen;0611 Overheidsbestuurders;2017;34
213;Totaal;Totaal personen;0612 Overheidsambtenaren;2015;55
214;Totaal;Totaal personen;0612 Overheidsambtenaren;2016;65
215;Totaal;Totaal personen;0612 Overheidsambtenaren;2017;64
216;Totaal;Totaal personen;062 Juristen;2015;57
217;Totaal;Totaal personen;062 Juristen;2016;66
218;Totaal;Totaal personen;062 Juristen;2017;73
219;Totaal;Totaal personen;0621 Juristen;2015;57
220;Totaal;Totaal personen;0621 Juristen;2016;66
221;Totaal;Totaal personen;0621 Juristen;2017;73
222;Totaal;Totaal personen;063 Beveiligingswerkers;2015;130
223;Totaal;Totaal personen;063 Beveiligingswerkers;2016;132
224;Totaal;Totaal personen;063 Beveiligingswerkers;2017;136
225;Totaal;Totaal personen;0631 Politie-inspecteurs;2015;12
226;Totaal;Totaal personen;0631 Politie-inspecteurs;2016;9
227;Totaal;Totaal personen;0631 Politie-inspecteurs;2017;13
228;Totaal;Totaal personen;0632 Politie en brandweer;2015;38
229;Totaal;Totaal personen;0632 Politie en brandweer;2016;46
230;Totaal;Totaal personen;0632 Politie en brandweer;2017;39
231;Totaal;Totaal personen;0633 Beveiligingspersoneel;2015;53
232;Totaal;Totaal personen;0633 Beveiligingspersoneel;2016;56
233;Totaal;Totaal personen;0633 Beveiligingspersoneel;2017;58
234;Totaal;Totaal personen;0634 Militaire beroepen;2015;26
235;Totaal;Totaal personen;0634 Militaire beroepen;2016;21
236;Totaal;Totaal personen;0634 Militaire beroepen;2017;27
237;Totaal;Totaal personen;07 Technische beroepen;2015;1217
238;Totaal;Totaal personen;07 Technische beroepen;2016;1211
239;Totaal;Totaal personen;07 Technische beroepen;2017;1222
240;Totaal;Totaal personen;071 Ingenieurs en onderzoekers wis.;2015;210
241;Totaal;Totaal personen;071 Ingenieurs en onderzoekers wis.;2016;225
242;Totaal;Totaal personen;071 Ingenieurs en onderzoekers wis.;2017;202
243;Totaal;Totaal personen;0711 Biologen en natuurwetenschappers;2015;33
244;Totaal;Totaal personen;0711 Biologen en natuurwetenschappers;2016;28
245;Totaal;Totaal personen;0711 Biologen en natuurwetenschappers;2017;39
246;Totaal;Totaal personen;0712 Ingenieurs (geen elektrotechniek);2015;124
247;Totaal;Totaal personen;0712 Ingenieurs (geen elektrotechniek);2016;147
248;Totaal;Totaal personen;0712 Ingenieurs (geen elektrotechniek);2017;115
249;Totaal;Totaal personen;0713 Elektrotechnisch ingenieurs;2015;17
250;Totaal;Totaal personen;0713 Elektrotechnisch ingenieurs;2016;13
251;Totaal;Totaal personen;0713 Elektrotechnisch ingenieurs;2017;12
252;Totaal;Totaal personen;0714 Architecten;2015;36
253;Totaal;Totaal personen;0714 Architecten;2016;36
254;Totaal;Totaal personen;0714 Architecten;2017;36
255;Totaal;Totaal personen;072 Vakspecialisten natuur en techniek;2015;169
256;Totaal;Totaal personen;072 Vakspecialisten natuur en techniek;2016;180
257;Totaal;Totaal personen;072 Vakspecialisten natuur en techniek;2017;180
258;Totaal;Totaal personen;0721 Technici bouwkunde en natuur;2015;82
259;Totaal;Totaal personen;0721 Technici bouwkunde en natuur;2016;97
260;Totaal;Totaal personen;0721 Technici bouwkunde en natuur;2017;105
261;Totaal;Totaal personen;0722 Productieleiders industrie en bouw;2015;60
262;Totaal;Totaal personen;0722 Productieleiders industrie en bouw;2016;64
263;Totaal;Totaal personen;0722 Productieleiders industrie en bouw;2017;52
264;Totaal;Totaal personen;0723 Procesoperators;2015;27
265;Totaal;Totaal personen;0723 Procesoperators;2016;20
266;Totaal;Totaal personen;0723 Procesoperators;2017;23
267;Totaal;Totaal personen;073 Bouwarbeiders;2015;265
268;Totaal;Totaal personen;073 Bouwarbeiders;2016;247
269;Totaal;Totaal personen;073 Bouwarbeiders;2017;262
270;Totaal;Totaal personen;0731 Bouwarbeiders ruwbouw;2015;60
271;Totaal;Totaal personen;0731 Bouwarbeiders ruwbouw;2016;56
272;Totaal;Totaal personen;0731 Bouwarbeiders ruwbouw;2017;64
273;Totaal;Totaal personen;0732 Timmerlieden;2015;77
274;Totaal;Totaal personen;0732 Timmerlieden;2016;85
275;Totaal;Totaal personen;0732 Timmerlieden;2017;81
276;Totaal;Totaal personen;0733 Bouwarbeiders afbouw;2015;43
277;Totaal;Totaal personen;0733 Bouwarbeiders afbouw;2016;37
278;Totaal;Totaal personen;0733 Bouwarbeiders afbouw;2017;37
279;Totaal;Totaal personen;0734 Loodgieters en pijpfitters;2015;41
280;Totaal;Totaal personen;0734 Loodgieters en pijpfitters;2016;33
281;Totaal;Totaal personen;0734 Loodgieters en pijpfitters;2017;37
282;Totaal;Totaal personen;0735 Schilders en metaalspuiters;2015;44
283;Totaal;Totaal personen;0735 Schilders en metaalspuiters;2016;36
284;Totaal;Totaal personen;0735 Schilders en metaalspuiters;2017;43
285;Totaal;Totaal personen;074 Metaalarbeiders, machinemonteurs;2015;180
286;Totaal;Totaal personen;074 Metaalarbeiders, machinemonteurs;2016;194
287;Totaal;Totaal personen;074 Metaalarbeiders, machinemonteurs;2017;182
288;Totaal;Totaal personen;0741 Metaalbewerkers en constructiewe.;2015;42
289;Totaal;Totaal personen;0741 Metaalbewerkers en constructiewe.;2016;42
290;Totaal;Totaal personen;0741 Metaalbewerkers en constructiewe.;2017;44
291;Totaal;Totaal personen;0742 Lassers en plaatwerkers;2015;33
292;Totaal;Totaal personen;0742 Lassers en plaatwerkers;2016;33
293;Totaal;Totaal personen;0742 Lassers en plaatwerkers;2017;34
294;Totaal;Totaal personen;0743 Automonteurs;2015;55
295;Totaal;Totaal personen;0743 Automonteurs;2016;66
296;Totaal;Totaal personen;0743 Automonteurs;2017;61
297;Totaal;Totaal personen;0744 Machinemonteurs;2015;50
298;Totaal;Totaal personen;0744 Machinemonteurs;2016;54
299;Totaal;Totaal personen;0744 Machinemonteurs;2017;43
300;Totaal;Totaal personen;075 Voedselverwerkende beroepen en ov...;2015;138
301;Totaal;Totaal personen;075 Voedselverwerkende beroepen en ov...;2016;114
302;Totaal;Totaal personen;075 Voedselverwerkende beroepen en ov...;2017;126
303;Totaal;Totaal personen;0751 Slagers;2015;19
304;Totaal;Totaal personen;0751 Slagers;2016;13
305;Totaal;Totaal personen;0751 Slagers;2017;16
306;Totaal;Totaal personen;0752 Bakkers;2015;18
307;Totaal;Totaal personen;0752 Bakkers;2016;17
308;Totaal;Totaal personen;0752 Bakkers;2017;24
309;Totaal;Totaal personen;0753 Productcontroleurs;2015;26
310;Totaal;Totaal personen;0753 Productcontroleurs;2016;24
311;Totaal;Totaal personen;0753 Productcontroleurs;2017;22
312;Totaal;Totaal personen;0754 Meubelmakers, kleermakers en sto.;2015;39
313;Totaal;Totaal personen;0754 Meubelmakers, kleermakers en sto.;2016;33
314;Totaal;Totaal personen;0754 Meubelmakers, kleermakers en sto.;2017;37
315;Totaal;Totaal personen;0755 Medewerkers drukkerij en kunstni.;2015;36
316;Totaal;Totaal personen;0755 Medewerkers drukkerij en kunstni.;2016;27
317;Totaal;Totaal personen;0755 Medewerkers drukkerij en kunstni.;2017;27
318;Totaal;Totaal personen;076 Elektriciens en elektronicamonteurs;2015;75
319;Totaal;Totaal personen;076 Elektriciens en elektronicamonteurs;2016;82
320;Totaal;Totaal personen;076 Elektriciens en elektronicamonteurs;2017;80
321;Totaal;Totaal personen;0761 Elektriciens en elektronicamonteurs;2015;75
322;Totaal;Totaal personen;0761 Elektriciens en elektronicamonteurs;2016;82
323;Totaal;Totaal personen;0761 Elektriciens en elektronicamonteurs;2017;80
324;Totaal;Totaal personen;077 Productiemachinebedieners en asse...;2015;97
325;Totaal;Totaal personen;077 Productiemachinebedieners en asse...;2016;105
326;Totaal;Totaal personen;077 Productiemachinebedieners en asse...;2017;114
327;Totaal;Totaal personen;0771 Productiemachinebedieners;2015;75
328;Totaal;Totaal personen;0771 Productiemachinebedieners;2016;77
329;Totaal;Totaal personen;0771 Productiemachinebedieners;2017;85
330;Totaal;Totaal personen;0772 Assemblagemedewerkers;2015;22
331;Totaal;Totaal personen;0772 Assemblagemedewerkers;2016;28
332;Totaal;Totaal personen;0772 Assemblagemedewerkers;2017;29
333;Totaal;Totaal personen;078 Hulpkrachten bouw en industrie;2015;82
334;Totaal;Totaal personen;078 Hulpkrachten bouw en industrie;2016;64
335;Totaal;Totaal personen;078 Hulpkrachten bouw en industrie;2017;76
336;Totaal;Totaal personen;0781 Hulpkrachten bouw en industrie;2015;82
337;Totaal;Totaal personen;0781 Hulpkrachten bouw en industrie;2016;64
338;Totaal;Totaal personen;0781 Hulpkrachten bouw en industrie;2017;76
339;Totaal;Totaal personen;08 ICT beroepen;2015;325
340;Totaal;Totaal personen;08 ICT beroepen;2016;358
341;Totaal;Totaal personen;08 ICT beroepen;2017;347
342;Totaal;Totaal personen;081 Specialisten ICT;2015;274
343;Totaal;Totaal personen;081 Specialisten ICT;2016;292
344;Totaal;Totaal personen;081 Specialisten ICT;2017;292
345;Totaal;Totaal personen;0811 Software- en applicatieontwikkel.;2015;208
346;Totaal;Totaal personen;0811 Software- en applicatieontwikkel.;2016;229
347;Totaal;Totaal personen;0811 Software- en applicatieontwikkel.;2017;225
348;Totaal;Totaal personen;0812 Databank- en netwerkspecialisten;2015;66
349;Totaal;Totaal personen;0812 Databank- en netwerkspecialisten;2016;62
350;Totaal;Totaal personen;0812 Databank- en netwerkspecialisten;2017;67
351;Totaal;Totaal personen;082 Vakspecialisten ICT;2015;51
352;Totaal;Totaal personen;082 Vakspecialisten ICT;2016;66
353;Totaal;Totaal personen;082 Vakspecialisten ICT;2017;54
354;Totaal;Totaal personen;0821 Gebruikersondersteuning ICT;2015;36
355;Totaal;Totaal personen;0821 Gebruikersondersteuning ICT;2016;50
356;Totaal;Totaal personen;0821 Gebruikersondersteuning ICT;2017;39
357;Totaal;Totaal personen;0822 Radio- en televisietechnici;2015;15
358;Totaal;Totaal personen;0822 Radio- en televisietechnici;2016;16
359;Totaal;Totaal personen;0822 Radio- en televisietechnici;2017;15
360;Totaal;Totaal personen;09 Agrarische beroepen;2015;200
361;Totaal;Totaal personen;09 Agrarische beroepen;2016;187
362;Totaal;Totaal personen;09 Agrarische beroepen;2017;188
363;Totaal;Totaal personen;091 Tuinders, akkerbouwers en veetelers;2015;162
364;Totaal;Totaal personen;091 Tuinders, akkerbouwers en veetelers;2016;161
365;Totaal;Totaal personen;091 Tuinders, akkerbouwers en veetelers;2017;161
366;Totaal;Totaal personen;0911 Land- en bosbouwers;2015;33
367;Totaal;Totaal personen;0911 Land- en bosbouwers;2016;32
368;Totaal;Totaal personen;0911 Land- en bosbouwers;2017;27
369;Totaal;Totaal personen;0912 Hoveniers, tuinders en kwekers;2015;72
370;Totaal;Totaal personen;0912 Hoveniers, tuinders en kwekers;2016;75
371;Totaal;Totaal personen;0912 Hoveniers, tuinders en kwekers;2017;73
372;Totaal;Totaal personen;0913 Veetelers;2015;57
373;Totaal;Totaal personen;0913 Veetelers;2016;54
374;Totaal;Totaal personen;0913 Veetelers;2017;61
375;Totaal;Totaal personen;092 Hulpkrachten landbouw;2015;38
376;Totaal;Totaal personen;092 Hulpkrachten landbouw;2016;26
377;Totaal;Totaal personen;092 Hulpkrachten landbouw;2017;27
378;Totaal;Totaal personen;0921 Hulpkrachten landbouw;2015;38
379;Totaal;Totaal personen;0921 Hulpkrachten landbouw;2016;26
380;Totaal;Totaal personen;0921 Hulpkrachten landbouw;2017;27
381;Totaal;Totaal personen;10 Zorg en welzijn beroepen;2015;1111
382;Totaal;Totaal personen;10 Zorg en welzijn beroepen;2016;1155
383;Totaal;Totaal personen;10 Zorg en welzijn beroepen;2017;1207
384;Totaal;Totaal personen;101 Artsen, therapeuten en gespeciali...;2015;297
385;Totaal;Totaal personen;101 Artsen, therapeuten en gespeciali...;2016;320
386;Totaal;Totaal personen;101 Artsen, therapeuten en gespeciali...;2017;313
387;Totaal;Totaal personen;1011 Artsen;2015;99
388;Totaal;Totaal personen;1011 Artsen;2016;115
389;Totaal;Totaal personen;1011 Artsen;2017;111
390;Totaal;Totaal personen;1012 Gespecialiseerd verpleegkundigen;2015;117
391;Totaal;Totaal personen;1012 Gespecialiseerd verpleegkundigen;2016;127
392;Totaal;Totaal personen;1012 Gespecialiseerd verpleegkundigen;2017;129
393;Totaal;Totaal personen;1013 Fysiotherapeuten;2015;80
394;Totaal;Totaal personen;1013 Fysiotherapeuten;2016;78
395;Totaal;Totaal personen;1013 Fysiotherapeuten;2017;73
396;Totaal;Totaal personen;102 Specialisten op maatschappelijk g...;2015;123
397;Totaal;Totaal personen;102 Specialisten op maatschappelijk g...;2016;149
398;Totaal;Totaal personen;102 Specialisten op maatschappelijk g...;2017;145
399;Totaal;Totaal personen;1021 Maatschappelijk werkers;2015;69
400;Totaal;Totaal personen;1021 Maatschappelijk werkers;2016;75
401;Totaal;Totaal personen;1021 Maatschappelijk werkers;2017;75
402;Totaal;Totaal personen;1022 Psychologen en sociologen;2015;54
403;Totaal;Totaal personen;1022 Psychologen en sociologen;2016;74
