ID;Perioden;Steenkool_1;Bruinkool_2;Aardolie_3;Aardgas_4;Zout_5;Industriezand_6;Ophoogzand_7;Grind_8;MargarineProductie_9;AardappelmeelProductie_10;CacaobonenVerbruik_11;VerwerkteBeetwortelen_12;ProductieBeetwortelsuiker_13;SpinnenrijenGarenproductie_14;WeverijenGarenverbruik_15;TricotindustrieGarenverbruik_16;TapijtindustrieVloerbedekkingProductie_17;VerbruikVanKledingEnVoeringsstoffen_18;BuitenlandseLoonconfectie_19;ZwaarLeder_20;LichtLeder_21;SchoenindustrieProductie_22;GrafischePapierEnKartonsoorten_23;Krantenpapier_24;PapierVoorVerpakkingsdoeleinden_25;Strokarton_26;SpecialePapiersoorten_27;SynthetischeRubberInclLatex_28;Verven_29;WasmiddelenInclSynthetische_30;StraatstenenWaalformaat_31;MetselbakstenenWaalformaat_32;KalkzandstenenWaalformaat_33;DakpannenKeramische_34;Cement_35;Betonmortel_36;RuwIjzer_37;RuwStaal_38;BlokzinkPrimair_39;TinPrimair_40;AluminiumPrimair_41;Totaal_42;PersonenautoS_43;BedrijfsautoS_44;ZeevarendeHandelsschepen_45;BinnenvaartEnSleepschepen_46;RijwielindustrieProductieFietsen_47
10;1924;;;;;;;;;131.0;100.0;43.0;2181.0;299.0;;;;;;;;;7.5;;56.0;;222.0;;;;65.0;;;;;;;69.0;;18.2;;;;;;82.0;175.0;130.0
11;1925;7117.0;208.0;;;35.0;;;;132.0;168.0;48.0;1924.0;280.0;;;;;;;;;7.3;;61.0;;242.0;;;;69.0;;;;;;;118.0;;21.1;;;;;;99.0;298.0;204.0
12;1926;;;;;;;;;134.0;141.0;47.0;1862.0;259.0;;;;;;;;;8.1;;65.0;;249.0;;;;70.0;;;;;;;143.0;;24.8;;;;;;60.0;234.0;257.0
13;1927;;;;;;;;;141.0;121.0;38.0;1629.0;235.0;;;;;;;;;8.6;;65.0;;265.0;;;;73.0;;;;;;;204.0;;26.3;;;;;;145.0;194.0;308.0
14;1928;;;;;;;;;140.0;221.0;46.0;1920.0;289.0;;;;;;;11.2;2.9;9.5;;67.0;;285.0;;;;77.0;;;;;15.0;;258.0;;26.9;;;;;;155.0;218.0;374.0
15;1929;;;;;;;;;133.0;220.0;50.0;1700.0;238.0;;;;;;;11.4;2.9;9.5;;70.0;;286.0;;;;80.0;;;;;210.0;;254.0;;25.7;0.7;;;;;120.0;261.0;403.0
16;1930;12211.0;144.0;;;50.0;;;;128.0;145.0;51.0;1916.0;266.0;;;;;;;12.2;3.0;9.7;;75.0;;301.0;;;;81.0;;;;;224.0;;273.0;;23.3;2.0;;;;;199.0;317.0;397.0
17;1931;;;;;;;;;111.0;71.0;53.0;1014.0;155.0;52.0;;;;;;11.8;2.7;9.3;;71.0;;297.0;;;;82.0;;;;;200.0;;257.0;;19.3;2.6;;;;;139.0;77.0;321.0
18;1932;;;;;;;;;68.0;155.0;;1629.0;216.0;41.1;;;;;;10.2;2.4;10.6;;77.0;;154.0;;;;88.0;;;;;254.0;;236.0;;15.6;3.9;;;;;50.0;10.0;296.0
19;1933;;;;;;;;;64.0;136.0;48.0;1887.0;261.0;47.0;;;;;;10.3;2.6;13.2;;77.0;;264.0;;;;87.0;;;;;360.0;;253.0;;18.5;5.0;;;;;31.0;8.0;415.0
20;1934;;;;;;;;;63.0;154.0;55.0;1545.0;219.0;47.1;;;;;;10.2;2.4;13.5;;84.0;;275.0;;;;83.0;;;555.0;;394.0;;258.0;;19.9;13.3;;;;;37.0;20.0;416.0
21;1935;11878.0;86.0;;;71.0;;;;60.0;160.0;60.0;1519.0;213.0;46.9;;;;;;10.3;2.7;14.9;;85.0;;267.0;;;;93.0;;;464.0;;360.0;;254.0;;13.7;16.3;;;;;56.0;19.0;399.0
22;1936;12803.0;89.0;;;76.0;;;;59.0;93.0;66.0;1639.0;220.0;53.8;57.5;;;;;10.2;2.9;14.6;;86.0;;279.0;;;;92.0;;;337.0;;401.0;;274.0;;15.4;;21.8;;;;81.0;10.0;399.0
23;1937;14321.0;143.0;;;133.0;;;;69.0;148.0;56.0;1575.0;222.0;64.9;71.5;;;;;10.5;3.0;15.1;;97.0;;317.0;;;;91.0;;;476.0;69.0;441.0;;312.0;;24.6;28.0;;;;;102.0;9.0;410.0
24;1938;13488.0;171.0;;;166.0;;;;71.0;159.0;;1517.0;191.0;61.4;69.6;;;;;10.2;3.1;15.0;;88.0;;304.0;;;;93.0;382.0;1043.0;573.0;84.0;456.0;;267.0;;25.3;25.7;;;;;249.0;13.0;322.0
25;1939;12681.0;197.0;;;201.0;;;;71.0;151.0;59.0;1704.0;218.0;71.8;80.7;;;;;12.3;3.5;18.1;;94.0;;276.0;;;;105.0;455.0;1095.0;505.0;90.0;541.0;;284.0;;20.5;14.7;;;;;238.0;46.0;389.0
26;1940;12145.0;199.0;;;210.0;;;;61.0;143.0;36.0;1885.0;272.0;62.1;72.9;;;;;10.7;2.0;16.0;;75.0;;273.0;;;;75.0;495.0;836.0;234.0;49.0;409.0;;169.0;;5.0;1.2;;;;;71.0;40.0;471.0
27;1941;13356.0;199.0;;;157.0;;;;20.0;95.0;4.0;1613.0;221.0;34.8;43.3;;;;;7.3;2.0;12.4;;44.0;;180.0;;;;23.0;533.0;792.0;432.0;57.0;461.0;;176.0;;3.7;;;;;;;;436.0
28;1942;12330.0;281.0;;;193.0;;;;16.0;154.0;2.0;1263.0;162.0;24.7;29.2;;;;;7.4;1.0;9.4;;20.0;;112.0;;;;-1.0;132.0;398.0;130.0;38.0;370.0;;152.0;;5.2;;;;;;;;137.0
29;1943;12497.0;383.0;0.0;;191.0;;;;27.0;103.0;0.0;1495.0;206.0;20.9;25.4;;;;;5.6;1.3;13.0;;11.0;;72.0;;;;-2.0;121.0;347.0;124.0;47.0;358.0;;94.0;;4.6;;;;;;;;65.0
30;1944;8313.0;233.0;2.0;;111.0;;;;;67.0;;332.0;37.0;;;;;;;;;11.0;;;;;;;;-4.0;66.0;174.0;61.0;32.0;214.0;;99.0;;2.1;;;;;;;;
31;1945;5097.0;130.0;6.0;;55.0;;;;;23.0;;428.0;55.0;;;;;;;;;;;;;;;;;-5.0;9.0;92.0;4.0;20.0;254.0;;25.0;;-5.0;-5.0;;;;;;;
32;1946;8314.0;483.0;63.0;;174.0;;;;68.0;147.0;33.0;1605.0;223.0;49.4;46.4;5.3;;34.0;;9.7;1.8;12.6;;31.0;;;;;;49.0;201.0;546.0;124.0;61.0;403.0;;187.0;141.0;2.0;1.0;;;;;17.0;4.0;52.0
33;1947;10104.0;474.0;213.0;1.0;246.0;;;;79.0;185.0;37.0;1514.0;201.0;65.9;68.3;8.0;;55.0;;12.8;2.9;17.8;;35.0;;233.0;;;;63.0;288.0;721.0;245.0;64.0;519.0;;288.0;200.0;9.5;9.1;;;;;78.0;22.0;201.0
34;1948;11032.0;279.0;496.0;5.0;249.0;;;;107.0;292.0;28.0;1818.0;256.0;76.8;84.4;10.1;7.2;69.0;;15.3;4.1;20.9;;71.0;;174.0;;;;96.0;375.0;973.0;451.0;80.0;589.0;;443.0;339.0;13.6;16.7;;;;;129.0;20.0;370.0
35;1949;11705.0;205.0;621.0;7.0;330.0;;;;144.0;247.0;43.0;3010.0;367.0;85.6;91.6;12.1;9.4;82.0;;14.1;4.3;20.4;;74.0;;220.0;;;68.0;90.0;478.0;1084.0;531.0;96.0;565.0;;434.0;434.0;15.6;19.6;;;;;147.0;32.0;499.0
36;1950;12247.0;194.0;705.0;5.0;410.0;;;;176.0;229.0;62.0;2920.0;368.0;91.3;99.7;14.6;11.7;99.0;;14.0;4.4;20.7;;80.0;;287.0;;;74.0;124.0;573.0;1196.0;678.0;106.0;593.0;;454.0;496.0;19.8;21.4;;;;;195.0;22.0;560.0
37;1951;12424.0;249.0;714.0;9.0;465.0;;;;180.0;202.0;54.0;2409.0;315.0;88.4;96.8;13.2;10.2;90.0;;12.5;3.9;20.6;;92.0;;325.0;;;76.0;119.0;591.0;1242.0;711.0;110.0;702.0;;524.0;561.0;22.6;21.3;;;;;256.0;29.0;491.0
38;1952;12532.0;235.0;715.0;15.0;424.0;;;;187.0;208.0;48.0;2939.0;387.0;82.5;89.1;10.3;9.2;86.0;;11.2;4.2;21.3;;98.0;;277.0;;;65.0;117.0;563.0;1315.0;686.0;102.0;813.0;;539.0;694.0;25.9;28.4;;8.7;;;235.0;11.0;520.0
39;1953;12297.0;252.0;820.0;24.0;456.0;;;;202.0;201.0;66.0;3091.0;404.0;95.8;101.0;12.7;11.2;96.0;;10.7;4.9;24.2;;98.0;;285.0;;;73.0;131.0;540.0;1337.0;753.0;106.0;861.0;;593.0;867.0;25.2;27.4;;13.5;;;287.0;5.0;495.0
40;1954;12071.0;172.0;937.0;91.0;513.0;;;;231.0;200.0;51.0;3091.0;380.0;101.4;103.9;13.9;12.2;107.0;;12.1;5.1;25.2;;103.0;;359.0;;;85.0;156.0;528.0;1429.0;793.0;109.0;972.0;;610.0;934.0;26.0;28.9;;20.7;;;342.0;18.0;565.0
41;1955;11895.0;255.0;1024.0;128.0;581.0;;;;252.0;192.0;57.0;3085.0;384.0;103.5;107.0;13.9;13.0;118.0;;11.5;5.9;26.1;;107.0;;380.0;;;89.0;157.0;527.0;1440.0;785.0;111.0;1101.0;;670.0;980.0;28.4;27.0;;25.9;;;396.0;24.0;499.0
42;1956;11836.0;270.0;1097.0;143.0;627.0;;;;256.0;180.0;66.0;2535.0;322.0;105.7;108.7;14.9;12.4;130.0;;12.1;6.6;28.0;;110.0;;362.0;;;98.0;167.0;536.0;1488.0;879.0;114.0;1256.0;;662.0;1050.0;29.0;28.6;;25.8;17.7;8.1;398.0;43.0;540.0
43;1957;11376.0;288.0;1523.0;137.0;715.0;;;;232.0;206.0;78.0;2760.0;357.0;107.0;112.4;15.0;13.7;125.0;;10.8;6.6;27.7;;132.0;;362.0;;;100.0;149.0;531.0;1592.0;971.0;118.0;1320.0;;701.0;1185.0;30.0;29.7;;21.4;15.8;5.6;536.0;38.0;508.0
44;1958;11880.0;255.0;1621.0;173.0;788.0;;;;229.0;185.0;64.0;4013.0;528.0;100.8;103.9;12.7;13.9;114.0;;9.7;6.7;27.6;;126.0;;344.0;;;104.0;144.0;411.0;1601.0;781.0;98.0;1366.0;;917.0;1438.0;26.6;17.4;;20.5;16.0;4.5;500.0;55.0;507.0
45;1959;11978.0;199.0;1773.0;215.0;959.0;;;;241.0;227.0;74.0;3199.0;459.0;106.5;112.4;13.4;16.1;126.0;;9.2;7.5;31.4;;130.0;;340.0;;;115.0;146.0;440.0;1634.0;787.0;103.0;1600.0;;1139.0;1670.0;32.2;9.7;;36.8;28.3;8.5;564.0;67.0;687.0
46;1960;12498.0;4.0;1918.0;312.0;1077.0;;;;237.0;240.0;85.0;4997.0;653.0;111.8;118.1;14.3;17.8;135.0;;7.3;7.5;31.6;;145.0;;373.0;;;109.0;176.0;488.0;1723.0;856.0;97.0;1798.0;1543.0;1346.0;1942.0;36.1;6.5;;59.1;46.6;12.5;599.0;56.0;671.0
47;1961;12621.0;;2047.0;426.0;1108.0;;;;237.0;238.0;98.0;4058.0;539.0;111.9;118.6;15.2;18.0;156.0;;7.1;8.1;32.2;;151.0;;392.0;;;111.0;173.0;449.0;1701.0;911.0;90.0;1903.0;2028.0;1456.0;1971.0;39.6;2.8;;54.4;40.4;14.0;466.0;122.0;595.0
48;1962;11573.0;;2157.0;527.0;1262.0;;;;241.0;255.0;103.0;2989.0;420.0;108.9;115.5;16.4;19.2;153.0;;6.4;8.3;31.9;;150.0;;391.0;;;119.0;181.0;431.0;1698.0;963.0;89.0;2015.0;2331.0;1571.0;2087.0;37.0;4.4;;56.3;43.1;13.2;544.0;147.0;539.0
49;1963;11509.0;;2215.0;618.0;1456.0;;;;246.0;247.0;103.0;2721.0;385.0;110.4;116.6;19.7;20.6;196.0;;5.5;8.9;34.4;;153.0;;348.0;;;126.0;173.0;382.0;1681.0;953.0;88.0;2081.0;2602.0;1708.0;2342.0;35.8;5.9;;55.9;42.2;13.7;423.0;137.0;542.0
50;1964;11480.0;;2269.0;869.0;1571.0;;;;254.0;304.0;104.0;4126.0;598.0;113.4;111.9;22.4;23.5;211.0;;4.8;9.5;34.8;;166.0;;382.0;;;145.0;188.0;375.0;1892.0;1242.0;95.0;2873.0;3460.0;1947.0;2646.0;37.7;16.1;;73.7;60.9;12.8;226.0;155.0;569.0
51;1965;11446.0;;2395.0;1736.0;1687.0;;;;250.0;227.0;119.0;3733.0;549.0;104.9;102.9;22.3;22.9;201.0;;4.3;8.6;34.6;;163.0;;374.0;;;156.0;177.0;355.0;2061.0;1248.0;92.0;2973.0;3801.0;2364.0;3138.0;40.8;18.4;;71.9;59.8;12.1;111.0;70.0;556.0
52;1966;10052.0;;2366.0;3400.0;1806.0;18416.0;42252.0;11124.0;250.0;270.0;117.0;3746.0;502.0;103.9;99.0;26.2;26.3;216.0;;3.9;8.5;35.8;;176.0;;374.0;;;165.0;193.0;304.0;2084.0;1266.0;89.0;3163.0;4545.0;2209.0;3256.0;41.3;12.8;20.3;67.0;54.5;12.5;292.0;76.0;541.0
53;1967;8065.0;;2265.0;7057.0;1927.0;19777.0;48651.0;10183.0;255.0;347.0;111.0;5174.0;590.0;89.7;89.1;25.0;27.2;194.0;;3.0;8.0;35.0;;159.0;;328.0;;;169.0;198.0;283.0;2108.0;1261.0;79.0;3349.0;5008.0;2588.0;3402.0;38.7;14.0;32.6;86.9;75.0;11.9;263.0;36.0;532.0
54;1968;6663.0;;2147.0;14114.0;2414.0;18461.0;48607.0;11517.0;253.0;412.0;113.0;5245.0;662.0;90.7;89.2;27.9;30.3;201.0;;3.0;8.8;34.0;;177.0;;251.0;;163.0;178.0;201.0;290.0;2070.0;1291.0;72.0;3436.0;5867.0;2821.0;3707.0;42.1;8.1;49.1;101.7;88.1;13.6;228.0;68.0;572.0
55;1969;5564.0;;2020.0;21894.0;2668.0;19206.0;44524.0;12434.0;240.0;397.0;108.0;5183.0;705.0;89.4;92.2;29.9;33.4;208.0;;2.6;8.0;32.1;;166.0;;242.0;;214.0;185.0;213.0;268.0;2055.0;1369.0;66.0;3296.0;6005.0;3459.0;4721.0;46.6;5.4;72.1;104.8;87.2;17.6;452.0;56.0;631.0
56;1970;4334.0;;1919.0;31668.0;2871.0;21559.0;47495.0;14380.0;234.0;498.0;113.0;4857.0;656.0;85.0;87.1;28.4;36.7;194.0;;2.4;8.1;26.9;;168.0;;218.0;;206.0;192.0;228.0;235.0;2048.0;1483.0;55.0;3830.0;6641.0;3594.0;5042.0;46.2;5.9;75.1;103.7;85.6;18.1;603.0;88.0;666.0
57;1971;3609.0;;1714.0;43797.0;3167.0;23431.0;42594.0;15283.0;236.0;533.0;119.0;5267.0;770.0;82.1;84.1;28.8;41.9;199.0;24.0;2.0;8.1;24.4;;144.0;;174.0;;212.0;191.0;244.0;206.0;2249.0;1669.0;48.0;4045.0;6693.0;3759.0;5083.0;;0.8;116.4;111.4;92.2;19.2;565.0;124.0;686.0
58;1972;2812.0;;1597.0;58420.0;2803.0;23538.0;39987.0;15135.0;229.0;560.0;126.0;4960.0;696.0;78.0;85.8;26.7;43.6;190.0;31.0;1.7;7.8;18.6;;131.0;;147.0;;186.0;201.0;252.0;173.0;2350.0;1757.0;44.0;4023.0;6759.0;4289.0;5585.0;;-5.0;166.4;124.0;108.2;15.8;750.0;143.0;846.0
59;1973;1722.0;;1492.0;70834.0;3044.0;24622.0;37669.0;13390.0;216.0;532.0;120.0;5789.0;765.0;73.0;84.2;25.3;48.7;189.0;33.0;1.3;6.6;16.7;681.0;138.0;896.0;130.0;109.0;265.0;211.0;273.0;167.0;2347.0;1819.0;43.0;4077.0;6669.0;4707.0;5624.0;30.5;0.0;190.0;131.3;113.7;17.6;792.0;127.0;859.0
60;1974;758.0;;1461.0;83725.0;3387.0;23514.0;37396.0;11409.0;197.0;630.0;116.0;5306.0;715.0;69.8;83.8;22.2;51.0;179.0;39.0;1.2;5.7;16.3;717.0;144.0;953.0;63.0;120.0;257.0;195.0;282.0;157.0;2369.0;1622.0;45.0;4088.0;6689.0;4804.0;5840.0;78.2;-8.0;251.7;103.0;86.1;16.9;895.0;75.0;1062.0
61;1975;;;1419.0;90853.0;2690.0;21562.0;39680.0;9964.0;205.0;501.0;117.0;6145.0;841.0;55.0;66.7;18.8;44.0;164.0;41.0;0.8;5.2;14.3;505.0;128.0;730.0;33.0;107.0;198.0;186.0;282.0;166.0;2062.0;1445.0;43.0;3705.0;7020.0;3970.0;4823.0;123.9;;260.8;86.7;71.1;15.6;991.0;59.0;849.0
62;1976;;;1371.0;97302.0;3026.0;24381.0;47941.0;9181.0;202.0;361.0;126.0;6631.0;872.0;62.7;71.7;18.9;43.5;157.0;48.0;0.8;5.4;13.7;632.0;123.0;873.0;33.0;95.0;247.0;206.0;292.0;183.0;2145.0;1713.0;46.0;3481.0;6783.0;4265.0;5189.0;140.8;2.0;255.5;104.9;86.5;18.4;594.0;21.0;960.0
63;1977;;;1382.0;96899.0;3111.0;25632.0;43703.0;8377.0;207.0;489.0;126.0;5975.0;832.0;55.8;66.5;17.3;46.7;134.0;49.0;0.6;5.4;13.4;624.0;122.0;885.0;5.0;114.0;240.0;223.0;279.0;169.0;2332.0;1907.0;47.0;3895.0;7183.0;3922.0;4927.0;109.4;2.1;241.3;87.8;68.2;19.6;204.0;11.0;1071.0
64;1978;;;1402.0;88730.0;2939.0;23489.0;37081.0;10941.0;207.0;535.0;126.0;6597.0;951.0;45.1;56.8;16.7;52.5;143.0;48.0;0.6;4.7;12.7;656.0;125.0;869.0;;108.0;223.0;235.0;268.0;144.0;2417.0;1932.0;46.0;3918.0;7305.0;4613.0;5590.0;135.4;1.6;261.2;91.5;68.7;22.8;320.0;12.0;1036.0
65;1979;;;1316.0;93636.0;3951.0;23033.0;34030.0;13651.0;209.0;537.0;127.0;5716.0;842.0;41.2;56.1;17.0;57.6;127.0;51.0;0.4;4.8;11.9;686.0;117.0;870.0;;112.0;238.0;214.0;269.0;139.0;2419.0;1817.0;46.0;3701.0;7579.0;4814.0;5806.0;154.0;1.7;257.7;123.1;90.2;32.9;172.0;71.0;1081.0
66;1980;;;1280.0;91153.0;3464.0;24641.0;32975.0;15231.0;228.0;470.0;133.0;6177.0;875.0;35.7;47.8;16.8;60.4;114.0;53.0;0.4;4.9;12.1;742.0;175.0;839.0;;119.0;212.0;212.0;268.0;145.0;2369.0;1509.0;47.0;3745.0;7482.0;4328.0;5272.0;169.5;1.1;258.6;112.9;80.8;32.1;92.0;137.0;1359.0
67;1981;;;1348.0;84617.0;3578.0;20031.0;27014.0;12033.0;230.0;523.0;141.0;7377.0;1044.0;29.7;38.4;14.4;59.5;101.0;53.0;0.3;5.1;11.0;684.0;183.0;846.0;;126.0;211.0;213.0;282.0;131.0;1905.0;1169.0;42.0;3316.0;6626.0;4600.0;5472.0;177.4;3.5;262.0;101.4;77.9;23.5;102.0;106.0;1311.0
68;1982;;;1637.0;72035.0;3191.0;17359.0;21472.0;9787.0;236.0;448.0;148.0;8238.0;1270.0;29.1;35.7;13.5;59.4;97.0;55.0;0.0;5.6;10.9;643.0;;861.0;;121.0;201.0;209.0;275.0;82.0;1507.0;977.0;33.0;3103.0;6810.0;3617.0;4354.0;186.0;2.8;250.9;108.9;90.6;18.3;162.0;81.0;941.0
69;1983;;;2589.0;76536.0;3124.0;18748.0;28438.0;9303.0;235.0;349.0;157.0;5454.0;743.0;23.8;32.3;13.8;63.3;93.0;45.0;0.0;6.2;10.6;700.0;;890.0;;140.0;196.0;209.0;281.0;73.0;1413.0;1081.0;36.0;3107.0;6825.0;3747.0;4484.0;187.5;3.7;235.4;122.1;105.6;16.5;139.0;8.0;920.0
70;1984;;;3102.0;77251.0;3674.0;19398.0;28167.0;9226.0;247.0;433.0;161.0;6854.0;935.0;24.0;33.1;11.7;67.8;78.0;42.0;0.0;7.0;9.6;763.0;;865.0;;149.0;202.0;225.0;265.0;67.0;1556.0;1171.0;38.0;3176.0;6579.0;4926.0;5739.0;209.7;6.5;249.2;129.3;108.6;20.7;109.0;52.0;938.0
71;1985;;;3728.0;80721.0;4154.0;19988.0;29657.0;9469.0;263.0;519.0;167.0;6393.0;896.0;23.1;34.7;13.2;67.7;83.0;42.0;0.0;7.3;6.7;755.0;;994.0;;152.0;235.0;232.0;274.0;74.0;1467.0;1263.0;39.0;2911.0;6391.0;4819.0;5517.0;201.7;6.0;250.6;129.0;108.1;20.9;109.0;36.0;919.0
72;1986;;;4628.0;74037.0;3764.0;22841.0;33851.0;9911.0;244.0;493.0;183.0;7861.0;1217.0;22.5;35.8;13.4;69.7;87.0;46.0;0.0;6.6;6.7;787.0;;1092.0;;159.0;209.0;277.0;261.0;76.0;1462.0;1447.0;40.0;3100.0;7346.0;4628.0;5283.0;196.2;5.1;265.7;142.4;119.0;23.4;93.0;48.0;837.0
73;1987;;;4291.0;74247.0;3979.0;22274.0;33930.0;9837.0;215.0;547.0;196.0;6806.0;980.0;22.1;34.5;12.8;76.9;50.0;;0.0;6.2;6.4;826.0;;1200.0;;160.0;205.0;305.0;278.0;76.0;1616.0;1491.0;43.0;2929.0;7152.0;4575.0;5082.0;207.1;3.8;275.9;151.9;125.2;26.7;39.0;85.0;813.0
74;1988;;;3909.0;65610.0;3693.0;25999.0;40013.0;12195.0;209.0;;216.0;6674.0;988.0;20.0;34.3;13.0;80.4;47.0;;0.0;6.2;5.9;1011.0;;1283.0;;167.0;189.0;320.0;280.0;79.0;1637.0;1622.0;43.0;3418.0;8574.0;4994.0;5518.0;211.0;3.5;278.2;148.8;119.8;29.0;28.0;64.0;750.0
75;1989;;;3391.0;71715.0;3756.0;25647.0;38353.0;10903.0;204.0;;234.0;7783.0;1142.0;19.9;34.2;13.4;82.2;48.0;;0.0;7.2;5.7;1022.0;;1375.0;;172.0;217.0;346.0;;87.0;1679.0;1597.0;44.0;3541.0;8450.0;5163.0;5681.0;203.0;;279.2;167.2;134.3;32.9;81.0;52.0;719.0
76;1990;;;3533.0;72238.0;3653.0;25137.0;37514.0;8805.0;208.0;;248.0;8708.0;1231.0;17.0;38.7;15.0;82.6;49.0;;0.0;6.8;5.4;1101.0;;1465.0;;166.0;245.0;375.0;;109.0;1630.0;1495.0;48.0;3729.0;8482.0;4960.0;5412.0;208.5;;257.9;153.8;123.0;30.8;132.0;32.0;889.0
77;1991;;;3258.0;81666.0;3417.0;24480.0;32015.0;7212.0;211.0;;275.0;7190.0;1046.0;14.9;35.2;15.2;85.2;;;0.0;7.2;5.3;1063.0;;1534.0;;157.0;238.0;344.0;;107.0;1556.0;1458.0;52.0;3546.0;8195.0;4697.0;5171.0;211.1;;263.1;113.5;85.1;28.4;162.0;18.0;894.0
78;1992;;;2845.0;82020.0;3628.0;23237.0;28085.0;6543.0;209.0;;293.0;7980.0;1149.0;13.4;33.2;14.1;77.8;;;0.0;5.9;4.4;1095.0;;1548.0;;168.0;;400.0;;102.0;1489.0;1551.0;;3301.0;8028.0;4849.0;5439.0;218.4;;236.5;129.0;103.3;25.7;;29.0;739.0
79;1993;;;2672.0;83652.0;;22246.0;24632.0;5032.0;180.0;;320.0;7117.0;1133.0;;;;;;;;;6.3;957.0;;1677.0;;;;;;116.0;1552.0;1525.0;;;6822.0;5405.0;6000.0;;;228.3;89.6;80.0;9.6;;21.0;721.0
80;1994;;;3437.0;79376.0;;25086.0;35476.0;5380.0;169.0;;334.0;;1150.0;;;;;;;;;5.4;;;;;;;;;135.0;1628.0;1769.0;;;7938.0;5443.0;6171.0;;;230.1;105.9;92.0;13.9;;33.0;703.0
81;1995;;;2721.0;80710.0;;22958.0;28028.0;5020.0;335.0;;355.0;;;;;;;;;;;;;;;;;;;;;;;;;;5530.0;6409.0;;;216.0;;;15.8;;;766.0
82;1996;;;2221.0;90630.0;;;;6025.0;297.0;;388.0;;;;;;;;;;;;;;;;;;;;;;;;;;5544.0;6326.0;;;;;;;;;
83;1997;;;2069.0;80282.0;;;;6855.0;349.0;;407.0;;;;;;;;;;;;;;;;;;;;;;;;;;5805.0;6641.0;;;;;;;;;
84;1998;;;1714.0;77105.0;;;;6345.0;310.0;;427.0;;;;;;;;;;;;;;;;;;;;;;;;;;5562.0;6377.0;;;;;;;;;
85;1999;;;1594.0;71702.0;;;;6240.0;282.0;;415.0;;;;;;;;;;;;;;;;;;;;;;;;;;5307.0;5947.0;;;;;;;;;
86;2000;;;1443.0;69158.0;;;;5328.0;269.0;;443.0;;;;;;;;;;;;;;;;;;;;;;;;;;4970.0;5492.0;;;;;;;;;
87;2001;;;1370.0;74323.0;;;;3813.0;252.0;;440.0;;;;;;;;;;;;;;;;;;;;;;;;;;5305.0;5902.0;;;;;;;;;
88;2002;;;2232.0;71787.0;;;;3682.0;275.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2003;;;2304.0;69114.0;;;;3342.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2004;;;2106.0;81499.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
