ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;Totaal_9;InkoopwaardeGrondEnHulpstoffen_10;InkoopwaardeHandelsgoederen_11;KostenUitbesteedWerk_12;InkoopwaardeOverigeGoederenDiensten_13;Totaal_14;Brutolonen_15;Totaal_16;SocialeVerzekeringspremiesWerkgever_17;PremiesPensioenVutInkoopsommen_18;OverigeSocialeLasten_19;OverigePersoneleKosten_20;Totaal_21;KostenEnergieverbruik_22;Huisvestingskosten_23;KostenApparatuurEnInventaris_24;KostenVervoermiddelen_25;Verkoopkosten_26;Communicatiekosten_27;KostenVanOverigeDiensten_28;NietEerderGenoemdeBedrijfskosten_29;AfschrijvingenOpVasteActiva_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;SaldoVoorzieningen_33;SaldoBuitengewoneBatenEnLasten_34;ResultaatVoorBelastingen_35
10;412 Algemene B&U-bouw;2009;109.2;168.1;100.5;146.9;34678.0;34349.0;329.0;32633.0;23990.0;10791.0;44.0;13116.0;38.0;6027.0;4208.0;1109.0;627.0;482.0;135.0;575.0;2194.0;66.0;324.0;157.0;447.0;158.0;93.0;259.0;692.0;422.0;2045.0;-1618.0;-26.0;1670.0;2071.0
11;412 Algemene B&U-bouw;2010;105.4;163.9;96.3;144.0;30132.0;29789.0;344.0;28249.0;20151.0;9237.0;80.0;10758.0;77.0;5632.0;3958.0;1029.0;587.0;442.0;125.0;520.0;2081.0;64.0;305.0;146.0;439.0;152.0;87.0;257.0;631.0;385.0;1884.0;-1731.0;-21.0;1755.0;1887.0
12;412 Algemene B&U-bouw;2011;107.3;162.0;98.0;145.0;31900.0;31661.0;238.0;29965.0;21447.0;9227.0;94.0;12116.0;11.0;5915.0;4145.0;1095.0;623.0;472.0;110.0;564.0;2192.0;66.0;319.0;147.0;491.0;147.0;94.0;273.0;656.0;411.0;1935.0;-121.0;-24.0;37.0;1827.0
13;412 Algemene B&U-bouw;2012;100.1;155.9;90.7;138.7;28304.0;28058.0;246.0;27006.0;19166.0;8480.0;155.0;10515.0;17.0;5487.0;3849.0;1046.0;612.0;433.0;100.0;493.0;1986.0;57.0;293.0;137.0;455.0;136.0;82.0;257.0;570.0;366.0;1299.0;-107.0;-26.0;-14.0;1152.0
14;412 Algemene B&U-bouw;2013;85.3;147.2;78.3;131.3;25638.0;24967.0;671.0;24390.0;17372.0;7681.0;141.0;9525.0;25.0;4825.0;3360.0;928.0;534.0;394.0;82.0;455.0;1865.0;55.0;272.0;126.0;424.0;118.0;77.0;249.0;545.0;328.0;1248.0;-109.0;-14.0;34.0;1158.0
15;412-439 Bouw (geen projectontwikkeling);2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;412-439 Bouw (geen projectontwikkeling);2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;412-439 Bouw (geen projectontwikkeling);2011;381.7;555.5;350.8;501.3;85394.0;83110.0;2283.0;79141.0;47653.0;24224.0;834.0;22551.0;43.0;21001.0;14266.0;3534.0;2076.0;1459.0;308.0;2893.0;8574.0;352.0;1054.0;1017.0;2086.0;543.0;335.0;919.0;2267.0;1914.0;6253.0;-281.0;-70.0;70.0;5972.0
18;412-439 Bouw (geen projectontwikkeling);2012;367.0;540.0;336.2;486.1;79001.0;76587.0;2414.0;74246.0;43976.0;22812.0;609.0;20485.0;71.0;20368.0;13851.0;3550.0;2107.0;1443.0;292.0;2675.0;8116.0;361.0;991.0;935.0;2017.0;502.0;308.0;868.0;2133.0;1786.0;4754.0;-213.0;-99.0;103.0;4545.0
19;412-439 Bouw (geen projectontwikkeling);2013;333.1;514.3;308.0;465.3;74813.0;72390.0;2423.0;70032.0;41278.0;21559.0;603.0;19048.0;68.0;19293.0;13067.0;3386.0;1976.0;1410.0;247.0;2593.0;7774.0;364.0;953.0;897.0;1911.0;472.0;295.0;859.0;2025.0;1688.0;4781.0;-159.0;-39.0;120.0;4703.0
20;42 Grond-, water-  en wegenbouw;2009;58.5;75.0;55.0;66.9;14792.0;14128.0;663.0;13920.0;8188.0;4171.0;66.0;3927.0;24.0;3580.0;2456.0;573.0;323.0;251.0;54.0;497.0;1719.0;86.0;126.0;346.0;271.0;50.0;33.0;134.0;673.0;433.0;872.0;165.0;-11.0;70.0;1097.0
21;42 Grond-, water-  en wegenbouw;2010;58.9;75.0;55.8;69.8;14835.0;13838.0;998.0;14038.0;8035.0;3866.0;54.0;4104.0;10.0;3761.0;2561.0;606.0;341.0;265.0;54.0;539.0;1762.0;108.0;140.0;343.0;285.0;56.0;34.0;125.0;673.0;481.0;797.0;61.0;-80.0;105.0;884.0
22;42 Grond-, water-  en wegenbouw;2011;58.7;72.9;56.2;67.7;15521.0;14706.0;814.0;14766.0;8583.0;4182.0;44.0;4349.0;7.0;3893.0;2628.0;631.0;348.0;283.0;53.0;582.0;1808.0;118.0;166.0;396.0;346.0;62.0;39.0;164.0;517.0;482.0;755.0;38.0;-14.0;-38.0;741.0
23;42 Grond-, water-  en wegenbouw;2012;59.9;74.1;55.7;67.1;15413.0;13990.0;1423.0;14888.0;8708.0;4373.0;62.0;4256.0;18.0;3994.0;2712.0;679.0;384.0;295.0;50.0;553.0;1705.0;130.0;150.0;356.0;352.0;52.0;37.0;159.0;470.0;481.0;525.0;69.0;-22.0;43.0;615.0
24;42 Grond-, water-  en wegenbouw;2013;56.7;70.9;53.9;65.8;15154.0;14453.0;701.0;14630.0;8453.0;4256.0;53.0;4137.0;7.0;4044.0;2736.0;698.0;385.0;312.0;54.0;557.0;1647.0;126.0;160.0;323.0;315.0;56.0;33.0;161.0;473.0;485.0;524.0;116.0;-7.0;42.0;675.0
25;421 Bouw van wegen, spoorwegen, tunnels;2009;34.5;45.9;32.4;40.2;9352.0;9263.0;88.0;8952.0;5650.0;3044.0;31.0;2573.0;2.0;2026.0;1423.0;339.0;193.0;146.0;32.0;233.0;1068.0;36.0;74.0;167.0;171.0;33.0;21.0;73.0;494.0;208.0;400.0;-24.0;10.0;6.0;391.0
26;421 Bouw van wegen, spoorwegen, tunnels;2010;35.6;45.8;33.5;42.1;9599.0;9172.0;427.0;9200.0;5739.0;2925.0;36.0;2770.0;8.0;2165.0;1511.0;365.0;206.0;158.0;32.0;257.0;1082.0;48.0;80.0;169.0;176.0;36.0;20.0;71.0;483.0;213.0;400.0;-15.0;-15.0;2.0;372.0
27;421 Bouw van wegen, spoorwegen, tunnels;2011;35.0;43.7;33.3;40.3;10026.0;10043.0;-17.0;9651.0;6151.0;3180.0;26.0;2939.0;6.0;2222.0;1535.0;382.0;211.0;171.0;30.0;275.0;1064.0;54.0;93.0;182.0;211.0;39.0;24.0;90.0;371.0;214.0;375.0;-11.0;6.0;-6.0;365.0
28;421 Bouw van wegen, spoorwegen, tunnels;2012;35.0;43.5;32.1;39.1;9441.0;8924.0;517.0;9144.0;5736.0;3190.0;39.0;2492.0;15.0;2199.0;1533.0;401.0;231.0;170.0;30.0;236.0;988.0;58.0;84.0;196.0;205.0;30.0;22.0;77.0;315.0;221.0;297.0;-15.0;-12.0;-6.0;264.0
29;421 Bouw van wegen, spoorwegen, tunnels;2013;31.2;40.4;29.4;36.9;9056.0;9014.0;42.0;8839.0;5555.0;3053.0;34.0;2463.0;6.0;2140.0;1457.0;395.0;224.0;172.0;28.0;260.0;930.0;55.0;91.0;169.0;184.0;31.0;19.0;82.0;299.0;214.0;217.0;-3.0;3.0;-5.0;213.0
30;422 Buizen- en kabelleggers;2009;17.8;22.1;16.5;20.0;3624.0;3607.0;16.0;3429.0;1863.0;716.0;0.0;1144.0;2.0;1050.0;674.0;148.0;84.0;64.0;16.0;211.0;462.0;12.0;39.0;122.0;81.0;12.0;9.0;35.0;152.0;55.0;195.0;-12.0;-3.0;-3.0;178.0
31;422 Buizen- en kabelleggers;2010;16.9;21.5;16.0;20.5;3542.0;3373.0;169.0;3361.0;1752.0;635.0;4.0;1111.0;2.0;1066.0;687.0;154.0;87.0;67.0;15.0;210.0;472.0;9.0;46.0;133.0;92.0;14.0;9.0;29.0;141.0;71.0;181.0;0.0;-18.0;3.0;167.0
32;422 Buizen- en kabelleggers;2011;17.2;21.6;16.6;20.2;3706.0;3432.0;274.0;3586.0;1891.0;699.0;3.0;1188.0;1.0;1125.0;720.0;160.0;91.0;69.0;15.0;230.0;494.0;8.0;52.0;168.0;115.0;15.0;10.0;39.0;88.0;76.0;120.0;-18.0;-12.0;-1.0;88.0
33;422 Buizen- en kabelleggers;2012;17.4;22.3;16.4;20.1;4017.0;3755.0;262.0;3878.0;2174.0;766.0;5.0;1402.0;2.0;1169.0;752.0;173.0;99.0;74.0;11.0;233.0;461.0;11.0;50.0;111.0;123.0;14.0;10.0;46.0;97.0;74.0;139.0;-18.0;-31.0;2.0;92.0
34;422 Buizen- en kabelleggers;2013;17.8;21.9;17.2;20.7;3989.0;3941.0;48.0;3828.0;2052.0;709.0;1.0;1341.0;2.0;1224.0;810.0;176.0;101.0;75.0;20.0;218.0;484.0;10.0;53.0;114.0;108.0;15.0;10.0;48.0;126.0;68.0;161.0;-9.0;-20.0;-2.0;130.0
35;43 Gespecialiseerde bouw;2009;215.8;334.4;198.0;286.9;36701.0;36456.0;245.0;32949.0;16819.0;10721.0;339.0;5734.0;25.0;10854.0;7271.0;1696.0;1049.0;647.0;174.0;1713.0;4299.0;142.0;539.0;424.0;1072.0;314.0;195.0;470.0;1143.0;978.0;3751.0;-173.0;-12.0;66.0;3633.0
36;43 Gespecialiseerde bouw;2010;213.6;326.3;195.0;290.3;36014.0;35328.0;686.0;32495.0;16294.0;10267.0;785.0;5219.0;24.0;10796.0;7330.0;1729.0;1061.0;668.0;153.0;1584.0;4356.0;143.0;560.0;433.0;1133.0;315.0;204.0;493.0;1075.0;1049.0;3519.0;-187.0;-12.0;58.0;3377.0
37;43 Gespecialiseerde bouw;2011;215.6;320.7;196.6;288.6;37974.0;36743.0;1231.0;34411.0;17623.0;10815.0;696.0;6086.0;25.0;11193.0;7493.0;1808.0;1105.0;704.0;145.0;1746.0;4574.0;169.0;569.0;474.0;1248.0;334.0;203.0;482.0;1094.0;1021.0;3563.0;-198.0;-32.0;72.0;3404.0
38;43 Gespecialiseerde bouw;2012;207.1;310.0;189.8;280.3;35283.0;34538.0;745.0;32353.0;16101.0;9960.0;392.0;5714.0;36.0;10887.0;7289.0;1826.0;1111.0;715.0;142.0;1629.0;4425.0;174.0;549.0;443.0;1210.0;315.0;190.0;452.0;1094.0;939.0;2931.0;-175.0;-52.0;74.0;2778.0
39;43 Gespecialiseerde bouw;2013;191.1;296.2;175.9;268.1;34022.0;32970.0;1051.0;31012.0;15453.0;9622.0;409.0;5386.0;35.0;10423.0;6972.0;1760.0;1057.0;703.0;110.0;1581.0;4262.0;182.0;521.0;448.0;1172.0;298.0;185.0;449.0;1007.0;875.0;3009.0;-165.0;-17.0;44.0;2870.0
40;431 Sloopbedrijven en grondwerk;2009;12.5;18.4;11.4;16.4;2324.0;2273.0;51.0;2149.0;971.0;453.0;17.0;500.0;1.0;598.0;401.0;100.0;62.0;38.0;11.0;86.0;429.0;27.0;37.0;109.0;104.0;18.0;11.0;41.0;83.0;151.0;176.0;-23.0;-1.0;9.0;161.0
41;431 Sloopbedrijven en grondwerk;2010;13.7;19.5;12.7;17.7;2571.0;2504.0;67.0;2389.0;1046.0;486.0;33.0;523.0;4.0;675.0;451.0;115.0;72.0;43.0;12.0;98.0;493.0;31.0;44.0;122.0;124.0;19.0;11.0;48.0;93.0;176.0;182.0;-24.0;2.0;7.0;167.0
42;431 Sloopbedrijven en grondwerk;2011;14.2;20.3;12.4;17.6;2749.0;2669.0;80.0;2547.0;1170.0;556.0;30.0;581.0;3.0;704.0;466.0;117.0;71.0;47.0;15.0;106.0;507.0;39.0;43.0;128.0;130.0;18.0;11.0;43.0;96.0;166.0;202.0;-25.0;-2.0;7.0;182.0
43;431 Sloopbedrijven en grondwerk;2012;12.9;19.5;11.6;17.3;2586.0;2518.0;68.0;2386.0;1050.0;487.0;26.0;534.0;2.0;667.0;433.0;110.0;66.0;44.0;15.0;109.0;505.0;48.0;42.0;130.0;125.0;18.0;11.0;45.0;87.0;164.0;200.0;-23.0;-2.0;6.0;181.0
44;431 Sloopbedrijven en grondwerk;2013;12.4;19.7;11.2;17.7;2620.0;2551.0;69.0;2399.0;1053.0;492.0;29.0;531.0;1.0;680.0;432.0;107.0;66.0;41.0;13.0;128.0;518.0;52.0;43.0;133.0;139.0;17.0;11.0;43.0;81.0;148.0;221.0;-21.0;1.0;5.0;206.0
45;432 Bouwinstallatiebedrijven;2009;121.4;157.4;112.3;138.3;18620.0;18638.0;-18.0;17334.0;9012.0;6335.0;215.0;2444.0;17.0;6094.0;4169.0;893.0;565.0;328.0;76.0;956.0;1888.0;56.0;278.0;81.0;471.0;144.0;96.0;227.0;536.0;340.0;1286.0;-41.0;-6.0;16.0;1255.0
46;432 Bouwinstallatiebedrijven;2010;122.0;153.3;112.1;138.5;18729.0;18367.0;363.0;17507.0;9093.0;6134.0;622.0;2326.0;11.0;6138.0;4303.0;948.0;587.0;361.0;62.0;825.0;1915.0;51.0;299.0;71.0;494.0;150.0;98.0;240.0;511.0;361.0;1223.0;-45.0;-12.0;8.0;1174.0
47;432 Bouwinstallatiebedrijven;2011;122.2;151.4;113.0;138.1;19400.0;18580.0;820.0;18208.0;9482.0;6362.0;501.0;2609.0;9.0;6349.0;4387.0;982.0;613.0;370.0;58.0;922.0;2013.0;54.0;298.0;82.0;557.0;162.0;98.0;246.0;517.0;364.0;1192.0;-49.0;-22.0;29.0;1150.0
48;432 Bouwinstallatiebedrijven;2012;121.7;149.3;112.9;137.0;18701.0;18346.0;355.0;17784.0;8976.0;6052.0;261.0;2642.0;22.0;6445.0;4436.0;1054.0;650.0;404.0;59.0;896.0;2027.0;51.0;295.0;81.0;570.0;158.0;96.0;236.0;540.0;336.0;917.0;-43.0;-39.0;41.0;876.0
49;432 Bouwinstallatiebedrijven;2013;114.4;141.1;106.8;129.8;17921.0;17361.0;560.0;16952.0;8494.0;5770.0;274.0;2428.0;22.0;6207.0;4323.0;1025.0;623.0;402.0;42.0;817.0;1928.0;50.0;279.0;74.0;542.0;151.0;94.0;237.0;502.0;323.0;970.0;-42.0;-14.0;2.0;915.0
50;4322 Loodgieters en installatiebedrijven;2009;53.1;70.6;49.0;61.0;8048.0;7979.0;69.0;7424.0;3934.0;2857.0;14.0;1056.0;7.0;2493.0;1745.0;375.0;231.0;144.0;45.0;329.0;836.0;24.0;122.0;36.0;209.0;71.0;43.0;99.0;232.0;161.0;624.0;-19.0;-7.0;5.0;603.0
51;4322 Loodgieters en installatiebedrijven;2010;54.1;69.3;49.1;61.3;7946.0;7676.0;270.0;7364.0;3860.0;2765.0;118.0;972.0;5.0;2481.0;1763.0;392.0;243.0;148.0;33.0;293.0;851.0;24.0;133.0;32.0;222.0;68.0;44.0;99.0;229.0;173.0;582.0;-21.0;-1.0;5.0;565.0
52;4322 Loodgieters en installatiebedrijven;2011;52.8;65.9;48.6;59.3;8088.0;7991.0;97.0;7532.0;3964.0;2843.0;28.0;1089.0;5.0;2519.0;1788.0;404.0;252.0;152.0;27.0;299.0;887.0;23.0;128.0;38.0;239.0;65.0;45.0;99.0;248.0;163.0;556.0;-41.0;-3.0;5.0;517.0
53;4322 Loodgieters en installatiebedrijven;2012;51.2;63.8;46.9;57.7;7658.0;7534.0;124.0;7209.0;3766.0;2632.0;33.0;1091.0;10.0;2446.0;1739.0;411.0;251.0;160.0;30.0;267.0;840.0;22.0;123.0;38.0;233.0;65.0;41.0;91.0;226.0;156.0;449.0;-31.0;-5.0;1.0;413.0
54;4322 Loodgieters en installatiebedrijven;2013;46.8;58.8;42.9;53.4;7000.0;6897.0;103.0;6580.0;3382.0;2389.0;37.0;951.0;6.0;2270.0;1635.0;384.0;235.0;148.0;20.0;232.0;769.0;21.0;111.0;34.0;221.0;57.0;40.0;97.0;187.0;159.0;420.0;-31.0;-8.0;4.0;386.0
55;433 Afwerkingsbedrijven (bouw);2009;47.4;102.7;42.5;85.2;9091.0;9002.0;89.0;7467.0;3795.0;2245.0;73.0;1472.0;6.0;2362.0;1509.0;401.0;243.0;159.0;53.0;399.0;1111.0;30.0;134.0;71.0;281.0;97.0;58.0;118.0;323.0;199.0;1624.0;-68.0;-6.0;26.0;1576.0
56;433 Afwerkingsbedrijven (bouw);2010;45.2;100.1;40.5;85.7;8613.0;8532.0;81.0;7033.0;3449.0;2103.0;96.0;1245.0;5.0;2304.0;1478.0;380.0;230.0;150.0;47.0;399.0;1077.0;29.0;128.0;68.0;286.0;94.0;62.0;123.0;288.0;204.0;1580.0;-68.0;0.0;29.0;1541.0
57;433 Afwerkingsbedrijven (bouw);2011;45.4;96.9;40.4;85.6;8980.0;8895.0;85.0;7421.0;3819.0;2240.0;85.0;1489.0;6.0;2318.0;1455.0;404.0;237.0;168.0;41.0;418.0;1083.0;32.0;134.0;76.0;302.0;101.0;62.0;110.0;266.0;201.0;1559.0;-68.0;-8.0;22.0;1504.0
58;433 Afwerkingsbedrijven (bouw);2012;42.0;92.7;37.3;82.0;8148.0;8061.0;88.0;6812.0;3460.0;2056.0;72.0;1327.0;5.0;2155.0;1355.0;387.0;228.0;159.0;40.0;374.0;1012.0;31.0;132.0;71.0;274.0;97.0;55.0;98.0;255.0;185.0;1336.0;-65.0;-6.0;17.0;1282.0
59;433 Afwerkingsbedrijven (bouw);2013;36.8;88.8;32.5;78.3;7665.0;7557.0;108.0;6371.0;3307.0;1927.0;76.0;1299.0;4.0;1956.0;1214.0;355.0;209.0;146.0;33.0;353.0;947.0;28.0;119.0;70.0;261.0;88.0;53.0;94.0;233.0;162.0;1294.0;-59.0;-5.0;19.0;1249.0
60;4331 Stukadoorsbedrijven;2009;4.9;11.3;4.6;9.3;918.0;906.0;12.0;719.0;351.0;168.0;5.0;179.0;0.0;245.0;153.0;49.0;27.0;22.0;8.0;35.0;104.0;2.0;9.0;6.0;31.0;9.0;7.0;12.0;28.0;19.0;199.0;-6.0;0.0;-2.0;191.0
61;4331 Stukadoorsbedrijven;2010;4.6;10.5;4.2;9.6;912.0;895.0;17.0;727.0;376.0;192.0;0.0;184.0;0.0;221.0;145.0;45.0;23.0;21.0;6.0;26.0;109.0;2.0;11.0;5.0;31.0;9.0;6.0;14.0;32.0;21.0;186.0;-5.0;-1.0;2.0;181.0
62;4331 Stukadoorsbedrijven;2011;4.9;10.8;4.4;9.5;865.0;862.0;3.0;672.0;326.0;168.0;6.0;152.0;0.0;231.0;152.0;50.0;25.0;25.0;7.0;22.0;97.0;2.0;9.0;6.0;35.0;8.0;7.0;13.0;19.0;18.0;193.0;-8.0;-1.0;5.0;189.0
63;4331 Stukadoorsbedrijven;2012;4.2;9.8;3.8;8.7;754.0;750.0;4.0;587.0;278.0;141.0;5.0;131.0;0.0;205.0;136.0;46.0;23.0;23.0;6.0;18.0;89.0;2.0;9.0;5.0;30.0;8.0;6.0;11.0;20.0;16.0;167.0;-7.0;0.0;4.0;164.0
64;4331 Stukadoorsbedrijven;2013;3.2;9.0;2.9;7.9;674.0;672.0;2.0;519.0;256.0;123.0;10.0;124.0;0.0;171.0;111.0;40.0;20.0;20.0;4.0;16.0;78.0;1.0;8.0;5.0;27.0;6.0;5.0;10.0;16.0;14.0;154.0;-7.0;0.0;4.0;151.0
65;4334 Schilders- en glaszetbedrijven;2009;25.5;45.4;22.7;36.8;3450.0;3418.0;32.0;2946.0;1148.0;683.0;16.0;448.0;2.0;1295.0;833.0;218.0;138.0;79.0;28.0;217.0;432.0;12.0;50.0;30.0;96.0;37.0;21.0;45.0;141.0;72.0;504.0;-24.0;-4.0;4.0;480.0
66;4334 Schilders- en glaszetbedrijven;2010;24.4;44.4;21.8;37.4;3406.0;3390.0;16.0;2934.0;1102.0;649.0;18.0;434.0;0.0;1321.0;865.0;214.0;137.0;77.0;27.0;216.0;433.0;12.0;51.0;28.0;106.0;36.0;25.0;49.0;126.0;78.0;472.0;-25.0;-2.0;4.0;450.0
67;4334 Schilders- en glaszetbedrijven;2011;22.6;40.5;20.5;36.1;3509.0;3489.0;20.0;2998.0;1228.0;695.0;26.0;503.0;4.0;1253.0;770.0;212.0;129.0;84.0;20.0;250.0;439.0;12.0;54.0;29.0;109.0;40.0;21.0;43.0;131.0;78.0;511.0;-28.0;-5.0;6.0;483.0
68;4334 Schilders- en glaszetbedrijven;2012;20.7;38.4;18.7;34.1;3210.0;3180.0;30.0;2771.0;1105.0;639.0;22.0;441.0;3.0;1170.0;707.0;202.0;122.0;80.0;22.0;238.0;422.0;12.0;55.0;27.0;102.0;42.0;19.0;39.0;127.0;75.0;438.0;-29.0;-2.0;4.0;413.0
69;4334 Schilders- en glaszetbedrijven;2013;18.2;36.1;16.4;32.0;2946.0;2909.0;37.0;2534.0;1032.0;558.0;24.0;447.0;3.0;1058.0;634.0;186.0;113.0;73.0;17.0;221.0;382.0;11.0;47.0;29.0;93.0;35.0;18.0;37.0;113.0;62.0;413.0;-23.0;-2.0;5.0;393.0
70;439 Overige gespecialiseerde bouw;2009;34.6;55.9;31.7;47.1;6666.0;6543.0;123.0;5999.0;3041.0;1688.0;34.0;1318.0;1.0;1801.0;1192.0;302.0;180.0;122.0;34.0;272.0;871.0;30.0;91.0;164.0;217.0;54.0;30.0;84.0;201.0;287.0;666.0;-41.0;1.0;15.0;642.0
71;439 Overige gespecialiseerde bouw;2010;32.7;53.3;29.7;48.4;6100.0;5925.0;175.0;5566.0;2707.0;1544.0;33.0;1125.0;4.0;1679.0;1098.0;287.0;172.0;115.0;32.0;262.0;872.0;32.0;89.0;172.0;228.0;52.0;33.0;83.0;183.0;309.0;534.0;-50.0;-3.0;14.0;495.0
72;439 Overige gespecialiseerde bouw;2011;33.8;52.1;30.8;47.2;6845.0;6600.0;246.0;6235.0;3152.0;1657.0;80.0;1407.0;7.0;1823.0;1186.0;305.0;185.0;120.0;32.0;300.0;971.0;44.0;95.0;188.0;260.0;53.0;32.0;84.0;215.0;290.0;610.0;-56.0;0.0;14.0;568.0
73;439 Overige gespecialiseerde bouw;2012;30.5;48.5;27.9;43.9;5848.0;5614.0;234.0;5370.0;2615.0;1365.0;33.0;1210.0;7.0;1621.0;1066.0;276.0;168.0;108.0;28.0;251.0;881.0;44.0;80.0;161.0;242.0;42.0;28.0;73.0;211.0;254.0;478.0;-43.0;-5.0;10.0;440.0
74;439 Overige gespecialiseerde bouw;2013;27.5;46.6;25.3;42.3;5815.0;5501.0;314.0;5291.0;2599.0;1433.0;29.0;1128.0;8.0;1581.0;1002.0;273.0;159.0;114.0;22.0;283.0;869.0;52.0;80.0;171.0;230.0;42.0;27.0;76.0;191.0;242.0;524.0;-44.0;1.0;18.0;500.0
