ID;FinancialCorporations;Periods;TotalAssets_1;MonetaryGold_2;SpecialDrawingRightsSDRS_3;CurrencyAndTransferableDeposits_4;OtherDeposits_5;ShortTermSecurities_6;LongTermSecurities_7;ShortTermLoans_8;LongTermLoans_9;MortgageLoans_10;EquityAndShares_11;InsPensionAndStGuaranteeSch_12;FinancialDerivatives_13;OtherAccountsReceivablePayable_14;Property_15;OtherAssets_16;TotalLiabilities_17;SpecialDrawingRightsSDRS_18;Currency_19;TransferableDeposits_20;SavingsDeposits_21;OtherDeposits_22;ShortTermSecurities_23;LongTermSecurities_24;ShortTermLoans_25;LongTermLoans_26;EquityAndShares_27;InsPensionAndStGuaranteeSch_28;FinancialDerivatives_29;OtherAccountsReceivablePayable_30;NetWorth_31
10;Total financial corporations;2008 before revision;6511304;12239.0;730.0;187200;525848;33928;826813;601717;1370286;618101.0;2051910;23281.0;57615;135425;59868.0;6343.0;6511304;586.0;23886.0;280240.0;259302.0;823152.0;79259;1104548;532578;684043;1630267;891427.0;18287.0;196575;-12846
11;Total financial corporations;2008 after revision;6902278;12239.0;730.0;152264;636270;47026;849736;579266;2063319;;2200973;39928.0;74226;187074;57105.0;2122.0;6902278;586.0;39817.0;296829.0;272261.0;858046.0;69760;1110015;476852;775940;1795070;931756.0;34654.0;210861;29831
12;Total financial corporations;2009;7525754;15090.0;5318.0;149768;574387;43074;934413;616445;2054081;;2797945;37142.0;58644;182543;54590.0;2314.0;7525754;5265.0;42923.0;336136.0;291946.0;753943.0;86087;1241277;474436;708766;2303823;953884.0;43441.0;193331;90496
13;Total financial corporations;2010;7926191;20782.0;5648.0;158786;580418;31620;952667;648633;2128535;;3060130;37157.0;58646;187706;53692.0;1771.0;7926191;5597.0;44598.0;392039.0;302818.0;710815.0;101061;1297182;457824;765177;2534768;1043660.0;33392.0;182734;54526
14;Total financial corporations;2011;8559262;23961.0;5624.0;173459;756878;25003;980052;767727;2137011;;3347848;41479.0;84699;161107;52798.0;1616.0;8559262;5740.0;47084.0;440839.0;317680.0;834480.0;124474;1284018;482757;791348;2844363;1174340.0;24822.0;209655;-22338
15;Total financial corporations;2012;9027480;24834.0;5433.0;258119;642608;33502;1049965;827319;2204521;;3616487;46268.0;80290;185720;50834.0;1580.0;9027480;5638.0;48379.0;512254.0;336924.0;709942.0;120198;1302072;519684;761170;3130406;1275073.0;24911.0;266128;14701
16;Total financial corporations;2013;8952646;17155.0;5099.0;203569;508979;26217;1025470;850978;2132549;;3845763;51462.0;55754;181088;48171.0;392.0;8952646;5409.0;50669.0;452399.0;339219.0;583483.0;105132;1247594;526518;823788;3265099;1252722.0;24951.0;236710;38953
17;Total financial corporations;2014;9648665;19450.0;5448.0;253482;560147;42636;1136150;1001701;2138929;;4148365;32427.0;124606;139264;45615.0;445.0;9648665;5769.0;54053.0;581247.0;344578.0;568237.0;97002;1277780;675641;783386;3489513;1449560.0;41081.0;232704;48114
18;Total financial corporations;2015;9962370;19164.0;6002.0;326726;596228;34567;1172588;975669;2159364;;4373990;31654.0;87138;131839;47018.0;423.0;9962370;6158.0;57295.0;670894.0;350569.0;600478.0;96438;1247254;629322;855033;3682182;1509809.0;24387.0;217028;15523
19;Total financial corporations;2016;10446142;21622.0;5718.0;355882;652028;44234;1228403;951857;2226653;;4637888;26563.0;103727;142207;48999.0;361.0;10446142;6167.0;59534.0;758109.0;355464.0;634450.0;100928;1250154;651395;855102;3921261;1648471.0;31247.0;198879;-25019
20;Institutional investors;1998;729719;;;4468;14494;856;215537;3485;109440;38502.0;245957;21049.0;3952;24147;47501.0;329.0;729719;;;;;;0;638;9084;14254;97083;580997.0;;11585;16077
21;Institutional investors;1999;843880;;;5407;17333;859;222609;3887;95225;41366.0;351215;22975.0;5011;24869;52755.0;368.0;843880;;;;;;0;1035;12381;15238;118253;661080.0;;17010;18882
22;Institutional investors;2000;885658;;;8006;18213;494;246417;6461;78935;45238.0;355513;23725.0;5151;31462;65633.0;410.0;885658;;;;;;0;1140;11089;22071;135624;691476.0;;16620;7639
23;Institutional investors;2001;878770;;;7144;16903;878;259830;6355;72449;47308.0;343067;22796.0;5339;24309;71976.0;416.0;878770;;;;;;0;1054;10420;25546;119934;689098.0;;22154;10564
24;Institutional investors;2002;823080;;;9048;24258;857;280993;6819;63399;47760.0;277678;16934.0;6940;26267;61697.0;430.0;823080;;;;;;0;886;9219;21238;98247;662325.0;;20066;11099
25;Institutional investors;2003;897907;;;10329;22882;1082;307945;6775;59348;44180.0;331978;16144.0;10378;26453;59990.0;423.0;897907;;;;;;0;1227;12401;22267;108811;726650.0;;16167;10384
26;Institutional investors;2004;971152;;;9008;23919;696;361549;5730;47325;40339.0;372238;13612.0;12915;24141;59245.0;435.0;971152;;;;;;0;1732;9756;15548;118415;793117.0;;22436;10148
27;Institutional investors;2005;1108522;;;10834;25813;125;406405;8955;44616;38398.0;468050;13978.0;6097;23930;60643.0;678.0;1108522;;;;;;0;2394;17292;14786;126816;905235.0;;33029;8970
28;Institutional investors;2006;1208227;;;11846;36721;3233;424678;12053;43997;36307.0;517668;12647.0;8612;38456;61262.0;747.0;1208227;;;;;;0;2813;40634;15452;142319;955999.0;;39755;11255
29;Institutional investors;2007;1236049;;;13766;37840;3246;436633;13643;42233;36090.0;534636;21157.0;1347;42509;50898.0;2051.0;1236049;;;;;;0;693;25611;19390;121194;1009033.0;;45950;14178
30;Institutional investors;2008 before revision;1111638;;;20247;36924;7220;414500;36182;38792;34832.0;361247;23281.0;45520;40666;48484.0;3743.0;1111638;;;;;;0;782;62332;17352;96464;891427.0;;42512;769
31;Institutional investors;2008 after revision;1311077;;;27815;20046;16763;450152;39100;90526;;476505;34442.0;47382;54666;51595.0;2085.0;1311077;;;;;;0;158;44908;24056;224086;931586.0;1274.0;97616;-12607
32;Institutional investors;2009;1597293;;;28479;18636;11597;482502;48103;89554;;778105;29359.0;11812;47326;49548.0;2272.0;1597293;;;;;;0;588;79399;19544;455326;953874.0;416.0;41798;46348
33;Institutional investors;2010;1714250;;;23339;15674;5545;497901;45454;94343;;883079;29720.0;17263;52194;48006.0;1732.0;1714250;;;;;;0;1685;41957;20308;513326;1043655.0;812.0;45318;47189
34;Institutional investors;2011;1819802;;;23390;12268;6402;541163;48338;91038;;913131;34077.0;58495;42495;47436.0;1569.0;1819802;;;;;;0;1824;46197;17842;538910;1174326.0;729.0;55803;-15829
35;Institutional investors;2012;2053719;;;26937;12628;10109;622900;49735;98072;;1044033;34058.0;69720;38126;45876.0;1525.0;2053719;;;;;;0;2167;41195;17361;617176;1275072.0;952.0;80762;19034
36;Institutional investors;2013;2109937;;;16808;9614;4956;628682;49012;106773;;1137655;35123.0;32072;45334;43576.0;332.0;2109937;;;;;;128;2792;29432;15152;669134;1252722.0;1035.0;76679;62863
37;Institutional investors;2014;2482132;;;26031;9897;7942;732904;52739;116936;;1342493;30539.0;79252;41792;41228.0;379.0;2482132;;;;;;413;3488;47023;14056;778755;1449560.0;1145.0;95287;92405
38;Institutional investors;2015;2493255;;;25151;8423;8866;751646;45665;127855;;1364508;30103.0;51749;36255;42684.0;350.0;2493255;;;;;;41;1336;39727;12937;796017;1509809.0;399.0;83692;49297
39;Institutional investors;2016;2687787;;;26464;10632;13052;778583;49377;140968;;1503195;25427.0;52711;42198;44900.0;280.0;2687787;;;;;;41;1393;44198;13405;866870;1648471.0;324.0;71334;41751
40;Monetary financial institutions;1998;891581;8333.0;776.0;28573;147723;14433;126064;144295;205634;159087.0;28136;;-3506;25659;5299.0;1076.0;891581;639.0;17287.0;147776.0;124839.0;296036.0;8400;113368;8630;52302;64911;;;47664;9729
41;Monetary financial institutions;1999;964696;9140.0;1013.0;23427;147864;18766;115945;175367;236774;186967.0;29658;;-17423;31485;5489.0;223.0;964696;724.0;17715.0;158736.0;133042.0;316606.0;19047;131277;13042;53909;80059;;;31680;8860
42;Monetary financial institutions;2000;1070847;8590.0;1070.0;41019;152038;9877;128125;169788;267856;226901.0;41228;;-15222;33457;5816.0;302.0;1070847;743.0;17436.0;181796.0;137107.0;351749.0;19058;147386;9157;70268;85482;;;39191;11474
43;Monetary financial institutions;2001;1201342;8958.0;826.0;32833;221839;8969;136059;171897;280232;254606.0;45374;;-11974;45237;6159.0;327.0;1201342;755.0;10431.0;219084.0;151226.0;418384.0;29073;170365;5517;70313;77362;;;60463;-11631
44;Monetary financial institutions;2002;1307725;8949.0;520.0;34905;222291;6525;165011;190794;306745;271634.0;43250;;-8451;59040;6151.0;361.0;1307725;687.0;17423.0;211586.0;166164.0;458004.0;35663;187035;13700;75119;74178;;;71916;-3750
45;Monetary financial institutions;2003;1412440;8258.0;460.0;45438;253586;11397;174405;182642;342813;293833.0;43300;;-14089;64021;5982.0;394.0;1412440;625.0;20333.0;232742.0;183367.0;466621.0;32263;211488;16916;87962;81447;;;88276;-9600
46;Monetary financial institutions;2004;1534400;8038.0;390.0;56043;261454;18271;177488;222041;373529;322518.0;53366;;-18183;53357;5637.0;451.0;1534400;604.0;22465.0;226579.0;197838.0;542508.0;36736;257717;23753;86075;88644;;;76383;-24902
47;Monetary financial institutions;2005;1747345;9716.0;384.0;79997;290820;19536;192092;250479;405632;357737.0;70646;;-14945;79616;5181.0;454.0;1747345;642.0;23263.0;253228.0;210922.0;610661.0;31371;313283;26039;92185;104843;;;98417;-17509
48;Monetary financial institutions;2006;1912510;9947.0;438.0;150962;313584;16841;209524;275480;429933;377399.0;81322;;-10080;51502;5167.0;491.0;1912510;605.0;23799.0;299208.0;221974.0;710850.0;32438;333797;11539;91127;112282;;;94334;-19443
49;Monetary financial institutions;2007;2239557;11353.0;618.0;176176;395092;17390;308269;317643;457198;376838.0;120943;;-2355;54786;5572.0;34.0;2239557;569.0;23596.0;315878.0;239671.0;839832.0;39771;350555;68353;126102;162654;;;105286;-32710
50;Monetary financial institutions;2008 before revision;2148989;12239.0;730.0;145757;368262;12553;371668;308340;487036;352422.0;73527;;-39408;50316;5510.0;37.0;2148989;586.0;23886.0;280240.0;259302.0;823152.0;52975;339331;88089;117793;96776;;;106927;-40068
51;Monetary financial institutions;2008 after revision;2138317;12239.0;730.0;88665;419552;16108;348481;266183;850518;;69323;4402.0;-21903;78472;5510.0;37.0;2138317;586.0;39817.0;296829.0;272261.0;858046.0;43424;344163;34000;66780;89322;;6902.0;57239;28948
52;Monetary financial institutions;2009;2170409;15090.0;5318.0;76187;389369;17379;399869;269373;862893;;70425;6664.0;-19338;72096;5042.0;42.0;2170409;5265.0;42923.0;336136.0;291946.0;753943.0;73675;389531;0;62193;103208;;4965.0;68046;38578
53;Monetary financial institutions;2010;2246899;20782.0;5648.0;68488;377110;9549;405590;280130;919995;;76816;6346.0;-9858;80578;5686.0;39.0;2246899;5597.0;44598.0;392039.0;302818.0;710815.0;77718;442512;0;69620;108124;;8620.0;60847;23591
54;Monetary financial institutions;2011;2475951;23961.0;5624.0;77180;566403;4024;390566;316282;950589;;80506;6217.0;-6551;55741;5362.0;47.0;2475951;5740.0;47084.0;440839.0;317680.0;834480.0;108207;459530;0;57836;112594;;11275.0;57628;23058
55;Monetary financial institutions;2012;2448442;24834.0;5433.0;152654;452071;8184;377246;312372;987873;;74600;10975.0;-25177;62364;4958.0;55.0;2448442;5638.0;48379.0;512254.0;336924.0;709942.0;102625;474774;0;61533;119933;;9067.0;76697;-9324
56;Monetary financial institutions;2013;2197342;17155.0;5099.0;87859;332513;9896;355639;303511;960955;;73557;15055.0;-23118;54566;4595.0;60.0;2197342;5409.0;50669.0;452399.0;339219.0;583483.0;82368;441730;0;57771;110900;;5650.0;59564;8180
57;Monetary financial institutions;2014;2294354;19450.0;5448.0;93783;344682;15701;363223;420840;960956;;82863;553.0;-23263;5665;4387.0;66.0;2294354;5769.0;54053.0;581247.0;344578.0;568237.0;74177;462281;0;56021;121742;;9703.0;30468;-13922
58;Monetary financial institutions;2015;2434522;19164.0;6002.0;162616;391481;11791;374304;395723;988338;;87499;257.0;-14143;7083;4334.0;73.0;2434522;6158.0;57295.0;670894.0;350569.0;600478.0;66407;470728;0;53581;129114;;7418.0;27489;-5609
59;Monetary financial institutions;2016;2548570;21622.0;5718.0;194804;435813;13769;399146;389739;1004465;;85948;0.0;-13518;6884;4099.0;81.0;2548570;6167.0;59534.0;758109.0;355464.0;634450.0;62232;464667;0;51510;131827;;6792.0;19214;-1396
60;Captive institutions and money lenders;1998;980222;;;8338;10128;10253;33562;93524;269212;;528561;0.0;14824;11820;;;980222;;;;;;14539;225368;80178;157227;433039;;14680.0;1022;54169
61;Captive institutions and money lenders;1999;1108387;;;8338;10954;10253;33649;145001;316788;;557133;0.0;14824;11447;;;1108387;;;;;;14539;274669;95211;170510;485571;;14680.0;3220;49987
62;Captive institutions and money lenders;2000;1257561;;;8338;11272;10253;37932;166383;375104;;618152;0.0;14824;15303;;;1257561;;;;;;14539;308874;105704;194924;555730;;14680.0;4471;58639
63;Captive institutions and money lenders;2001;1374186;;;8338;15820;10253;36637;159997;396710;;716363;0.0;14824;15244;;;1374186;;;;;;14539;321441;126696;205927;623938;;14680.0;4450;62515
64;Captive institutions and money lenders;2002;1353739;;;8338;16258;10253;34418;154614;389490;;710295;0.0;14824;15249;;;1353739;;;;;;14539;332521;125483;201364;597055;;14680.0;4443;63654
65;Captive institutions and money lenders;2003;1408537;;;8338;8835;10253;33420;146081;411338;;761114;0.0;14824;14334;;;1408537;;;;;;14539;332273;133503;222500;622358;;14680.0;17061;51623
66;Captive institutions and money lenders;2004;1455052;;;7603;12965;11549;33940;147739;420690;;792868;0.0;14824;12874;;;1455052;;;;;;11466;328799;156250;232988;657702;;14680.0;15779;37388
67;Captive institutions and money lenders;2005;1645462;;;8916;20901;10241;38683;171553;441761;;918646;0.0;14824;19937;;;1645462;;;;;;10464;326288;191548;313151;747543;;14680.0;24454;17334
68;Captive institutions and money lenders;2006;1950287;;;7195;27251;5049;30741;216854;473973;;1137331;0.0;29606;22287;;;1950287;;;;;;10689;360941;216206;326663;957928;;25225.0;34325;18310
69;Captive institutions and money lenders;2007;2408859;;;9806;64683;10166;32716;239879;657880;;1292648;0.0;76198;24883;;;2408859;;;;;;11770;383094;288243;456766;1182314;;49520.0;32030;5122
70;Captive institutions and money lenders;2008 before revision;2574832;;;15132;43155;14155;30111;228646;697075;;1463288;0.0;51211;32059;;;2574832;;;;;;23901;393095;282038;490975;1326630;;18287.0;37100;2806
71;Captive institutions and money lenders;2008 after revision;2574832;;;15132;43155;14155;30111;228646;697075;;1463288;0.0;51211;32059;;;2574832;;;;;;23901;393095;282038;490975;1326630;;18287.0;37100;2806
72;Captive institutions and money lenders;2009;2780436;;;12539;43731;14094;8260;248140;604808;;1744294;0.0;64895;39675;;;2780436;;;;;;11706;376683;305440;420521;1594314;;34988.0;64874;-28090
73;Captive institutions and money lenders;2010;2987824;;;11865;47164;13077;9958;275384;664984;;1880992;0.0;52071;32329;;;2987824;;;;;;22422;403477;297836;489888;1771753;;20707.0;54456;-72715
74;Captive institutions and money lenders;2011;3283027;;;14315;22381;14038;12434;334086;676930;;2126898;0.0;43352;38593;;;3283027;;;;;;14812;401338;298167;533483;2055291;;8954.0;65574;-94592
75;Captive institutions and money lenders;2012;3545088;;;16955;26925;11382;12778;392308;738506;;2261710;0.0;44528;39996;;;3545088;;;;;;16100;435544;341016;484711;2254638;;9852.0;71874;-68647
76;Captive institutions and money lenders;2013;3775346;;;32343;20035;8288;8968;432266;733777;;2440816;0.0;52626;46227;;;3775346;;;;;;21291;452861;383621;559516;2352311;;12387.0;74257;-80898
77;Captive institutions and money lenders;2014;3921815;;;49509;36780;12368;8131;448762;738868;;2511056;0.0;78601;37740;;;3921815;;;;;;21018;476138;482408;493045;2450122;;21465.0;71643;-94024
78;Captive institutions and money lenders;2015;4139539;;;48814;26624;10771;10875;469193;761320;;2720116;0.0;53083;38743;;;4139539;;;;;;28613;482145;459139;571748;2606358;;7489.0;78706;-94659
79;Captive institutions and money lenders;2016;4317318;;;55142;28333;11438;11429;444558;824677;;2839747;0.0;60856;41138;;;4317318;;;;;;37039;511352;484049;570886;2763961;;11491.0;76906;-138366
80;Other financial intermediaries;1998;205445;;;316;3542;0;3056;13952;44658;23000.0;108621;;0;5517;2048.0;734.0;205445;;;;;;1403;11031;28671;45473;166872;;;5652;-53657
81;Other financial intermediaries;1999;241502;;;388;5083;0;2372;16748;47771;31771.0;129079;;0;4291;2425.0;1575.0;241502;;;;;;959;19991;27796;52562;186171;;;5858;-51835
82;Other financial intermediaries;2000;254711;;;323;13699;0;11404;16356;52720;24382.0;127738;;0;5198;1249.0;1643.0;254711;;;;;;2247;40459;34535;45193;204586;;;6382;-78691
83;Other financial intermediaries;2001;288145;;;2981;28043;0;22993;14210;70150;35556.0;106216;;0;5083;1284.0;1629.0;288145;;;;;;1152;75008;41166;65431;161525;;;4926;-61063
84;Other financial intermediaries;2002;297704;;;2301;33332;0;27098;15065;71548;49847.0;88985;;0;7467;1118.0;943.0;297704;;;;;;898;92920;52253;65612;98281;;;6137;-18397
85;Other financial intermediaries;2003;327986;;;3362;32095;0;31129;15417;69350;73870.0;95522;;0;5143;1004.0;1095.0;327986;;;;;;1170;119035;44375;68982;111042;;;7152;-23769
86;Other financial intermediaries;2004;359965;;;3299;28862;0;27917;17894;77449;83198.0;114764;;0;4610;1102.0;869.0;359965;;;;;;264;122896;53587;72100;127982;;;7295;-24160
87;Other financial intermediaries;2005;469822;;;5301;58626;0;35741;18548;91741;102147.0;144004;;0;9253;1454.0;3008.0;469822;;;;;;594;166145;80266;82525;166460;;;10150;-36318
88;Other financial intermediaries;2006;547212;;;4493;65546;0;37316;23377;106650;131486.0;160546;;0;9577;6089.0;2132.0;547212;;;;;;4826;206654;74776;97694;191015;;;13444;-41197
89;Other financial intermediaries;2007;702574;;;5091;75532;0;22662;23486;144406;172175.0;239136;;0;9925;7231.0;2930.0;702574;;;;;;6016;308231;82035;71716;235972;;;13054;-14450
90;Other financial intermediaries;2008 before revision;675845;;;6064;77507;0;10534;28549;147383;230847.0;153848;;292;12384;5874.0;2563.0;675845;;;;;;2383;371340;100119;57923;110397;;;10036;23647
91;Other financial intermediaries;2008 after revision;878052;;;20652;153517;0;20992;45337;425200;;191857;1084.0;-2464;21877;;;878052;;;;;;2435;372599;115906;194129;155032;170.0;8191.0;18906;10684
92;Other financial intermediaries;2009;977616;;;32563;122651;4;43782;50829;496826;;205121;1119.0;1275;23446;;;977616;;;;;;706;474475;89597;206508;150975;10.0;3072.0;18613;33660
93;Other financial intermediaries;2010;977218;;;55094;140470;3449;39218;47665;449213;;219243;1091.0;-830;22605;;;977218;;;;;;921;449508;118031;185361;141565;5.0;3253.0;22113;56461
94;Other financial intermediaries;2011;980482;;;58574;155826;539;35889;69021;418454;;227313;1185.0;-10597;24278;;;980482;;;;;;1455;421326;138393;182187;137568;14.0;3864.0;30650;65025
95;Other financial intermediaries;2012;980231;;;61573;150984;3827;37041;72904;380070;;236144;1235.0;-8781;45234;;;980231;;;;;;1473;389587;137473;197565;138659;1.0;5040.0;36795;73638
96;Other financial intermediaries;2013;870021;;;66559;146817;3077;32181;66189;331044;;193735;1284.0;-5826;34961;;;870021;;;;;;1345;350211;113465;191349;132754;0.0;5879.0;26210;48808
97;Other financial intermediaries;2014;950364;;;84159;168788;6625;31892;79360;322169;;211953;1335.0;-9984;54067;;;950364;;;;;;1394;335873;146210;220264;138894;0.0;8768.0;35306;63655
98;Other financial intermediaries;2015;895054;;;90145;169700;3139;35763;65088;281851;;201867;1294.0;-3551;49758;;;895054;;;;;;1377;293045;130456;216767;150693;0.0;9081.0;27141;66494
99;Other financial intermediaries;2016;892467;;;79472;177250;5975;39245;68183;256543;;208998;1136.0;3678;51987;;;892467;;;;;;1616;272742;123148;219301;158603;0.0;12640.0;31425;72992
