ID;Geslacht;Leeftijd;Onderwijssoort;Perioden;VavoStudenten_1
32;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2019/'20;2340
33;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2020/'21;1340
34;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2021/'22;1440
35;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2022/'23;1720
36;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2023/'24;2460
37;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2024/'25;2480
38;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2006/'07;6630
39;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2007/'08;7340
40;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2008/'09;9510
41;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2009/'10;9390
42;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2010/'11;9110
43;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2011/'12;8220
44;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2012/'13;7560
45;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2013/'14;7910
46;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2014/'15;7960
47;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2015/'16;9110
48;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2016/'17;9600
49;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2017/'18;9650
50;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2018/'19;9390
51;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2019/'20;8770
52;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2020/'21;6040
53;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2021/'22;7200
54;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2022/'23;7360
55;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2023/'24;9030
56;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2024/'25;8450
57;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2006/'07;2640
58;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2007/'08;3020
59;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2008/'09;3400
60;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2009/'10;4740
61;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2010/'11;3810
62;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2011/'12;3360
63;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2012/'13;3600
64;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2013/'14;3220
65;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2014/'15;3550
66;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2015/'16;3940
67;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2016/'17;4130
68;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2017/'18;4300
69;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2018/'19;4370
70;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2019/'20;4450
71;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2020/'21;2510
72;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2021/'22;3580
73;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2022/'23;3780
74;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2023/'24;4650
75;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vwo;2024/'25;4480
76;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2006/'07;10650
77;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2007/'08;11780
78;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2008/'09;14090
79;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2009/'10;15310
80;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2010/'11;14280
81;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2011/'12;13130
82;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2012/'13;12820
83;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2013/'14;12660
84;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2014/'15;12670
85;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2015/'16;14010
86;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2016/'17;14870
87;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2017/'18;15430
88;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2018/'19;15130
89;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2019/'20;14650
90;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2020/'21;9040
91;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2021/'22;11350
92;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2022/'23;12040
93;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2023/'24;15490
94;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal vavo;2024/'25;14720
95;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2006/'07;2160
96;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2007/'08;2240
97;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2008/'09;2010
98;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2009/'10;2150
99;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2010/'11;1960
100;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2011/'12;1970
101;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2012/'13;2020
102;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2013/'14;2140
103;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2014/'15;2050
104;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2015/'16;2160
105;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2016/'17;2240
106;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2017/'18;2500
107;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2018/'19;2290
108;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2019/'20;2190
109;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2020/'21;1210
110;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2021/'22;1320
111;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2022/'23;1580
112;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2023/'24;2340
113;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2024/'25;2370
114;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2006/'07;6050
115;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2007/'08;6730
116;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2008/'09;8910
117;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2009/'10;8690
118;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2010/'11;8670
119;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2011/'12;7920
120;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2012/'13;7300
121;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2013/'14;7520
122;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2014/'15;7400
123;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2015/'16;8430
124;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2016/'17;8870
125;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2017/'18;8960
126;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2018/'19;8800
127;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2019/'20;8330
128;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2020/'21;5620
129;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2021/'22;6800
130;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2022/'23;7000
131;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2023/'24;8730
132;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo havo;2024/'25;8140
133;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2006/'07;2440
134;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2007/'08;2810
135;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2008/'09;3170
136;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2009/'10;4470
137;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2010/'11;3650
138;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2011/'12;3240
139;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2012/'13;3510
140;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2013/'14;3000
141;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2014/'15;3220
142;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2015/'16;3420
143;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2016/'17;3760
144;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2017/'18;3970
145;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2018/'19;4040
146;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2019/'20;4130
147;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2020/'21;2210
148;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2021/'22;3230
149;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2022/'23;3460
150;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2023/'24;4410
151;Totaal mannen en vrouwen;Jonger dan 23 jaar;Vavo vwo;2024/'25;4200
152;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2006/'07;1340
153;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2007/'08;1300
154;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2008/'09;1270
155;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2009/'10;1350
156;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2010/'11;900
157;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2011/'12;590
158;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2012/'13;510
159;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2013/'14;790
160;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2014/'15;1130
161;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2015/'16;1510
162;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2016/'17;1380
163;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2017/'18;1240
164;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2018/'19;1070
165;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2019/'20;910
166;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2020/'21;830
167;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2021/'22;860
168;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2022/'23;820
169;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2023/'24;640
170;Totaal mannen en vrouwen;23 jaar of ouder;Totaal vavo;2024/'25;690
171;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2006/'07;560
172;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2007/'08;480
173;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2008/'09;440
174;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2009/'10;390
175;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2010/'11;300
176;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2011/'12;170
177;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2012/'13;160
178;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2013/'14;190
179;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2014/'15;240
180;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2015/'16;320
181;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2016/'17;270
182;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2017/'18;220
183;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2018/'19;160
184;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2019/'20;150
185;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2020/'21;120
186;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2021/'22;110
187;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2022/'23;130
188;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2023/'24;120
189;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vmbo-t;2024/'25;110
190;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2006/'07;580
191;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2007/'08;600
192;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2008/'09;600
193;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2009/'10;700
194;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2010/'11;440
195;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2011/'12;300
196;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2012/'13;260
197;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2013/'14;390
198;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2014/'15;550
199;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2015/'16;670
200;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2016/'17;730
201;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2017/'18;690
202;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2018/'19;580
203;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2019/'20;440
204;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2020/'21;410
205;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2021/'22;400
206;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2022/'23;370
207;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2023/'24;290
208;Totaal mannen en vrouwen;23 jaar of ouder;Vavo havo;2024/'25;310
209;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2006/'07;200
210;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2007/'08;210
211;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2008/'09;240
212;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2009/'10;270
213;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2010/'11;160
214;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2011/'12;120
215;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2012/'13;90
216;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2013/'14;220
217;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2014/'15;340
218;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2015/'16;520
219;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2016/'17;380
220;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2017/'18;330
221;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2018/'19;330
222;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2019/'20;320
223;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2020/'21;300
224;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2021/'22;350
225;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2022/'23;320
226;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2023/'24;230
227;Totaal mannen en vrouwen;23 jaar of ouder;Vavo vwo;2024/'25;270
228;Mannen;Totaal leeftijd;Totaal vavo;2006/'07;6190
229;Mannen;Totaal leeftijd;Totaal vavo;2007/'08;6830
230;Mannen;Totaal leeftijd;Totaal vavo;2008/'09;7880
231;Mannen;Totaal leeftijd;Totaal vavo;2009/'10;8660
232;Mannen;Totaal leeftijd;Totaal vavo;2010/'11;7800
233;Mannen;Totaal leeftijd;Totaal vavo;2011/'12;7030
234;Mannen;Totaal leeftijd;Totaal vavo;2012/'13;6460
235;Mannen;Totaal leeftijd;Totaal vavo;2013/'14;6640
236;Mannen;Totaal leeftijd;Totaal vavo;2014/'15;6890
237;Mannen;Totaal leeftijd;Totaal vavo;2015/'16;7790
238;Mannen;Totaal leeftijd;Totaal vavo;2016/'17;8020
239;Mannen;Totaal leeftijd;Totaal vavo;2017/'18;8230
240;Mannen;Totaal leeftijd;Totaal vavo;2018/'19;7810
241;Mannen;Totaal leeftijd;Totaal vavo;2019/'20;7460
242;Mannen;Totaal leeftijd;Totaal vavo;2020/'21;5130
243;Mannen;Totaal leeftijd;Totaal vavo;2021/'22;5970
244;Mannen;Totaal leeftijd;Totaal vavo;2022/'23;6170
245;Mannen;Totaal leeftijd;Totaal vavo;2023/'24;7320
246;Mannen;Totaal leeftijd;Totaal vavo;2024/'25;6950
247;Mannen;Totaal leeftijd;Vavo vmbo-t;2006/'07;1370
248;Mannen;Totaal leeftijd;Vavo vmbo-t;2007/'08;1400
249;Mannen;Totaal leeftijd;Vavo vmbo-t;2008/'09;1270
250;Mannen;Totaal leeftijd;Vavo vmbo-t;2009/'10;1350
251;Mannen;Totaal leeftijd;Vavo vmbo-t;2010/'11;1190
252;Mannen;Totaal leeftijd;Vavo vmbo-t;2011/'12;1150
253;Mannen;Totaal leeftijd;Vavo vmbo-t;2012/'13;1070
254;Mannen;Totaal leeftijd;Vavo vmbo-t;2013/'14;1180
255;Mannen;Totaal leeftijd;Vavo vmbo-t;2014/'15;1160
256;Mannen;Totaal leeftijd;Vavo vmbo-t;2015/'16;1290
257;Mannen;Totaal leeftijd;Vavo vmbo-t;2016/'17;1310
258;Mannen;Totaal leeftijd;Vavo vmbo-t;2017/'18;1410
259;Mannen;Totaal leeftijd;Vavo vmbo-t;2018/'19;1220
260;Mannen;Totaal leeftijd;Vavo vmbo-t;2019/'20;1240
261;Mannen;Totaal leeftijd;Vavo vmbo-t;2020/'21;750
262;Mannen;Totaal leeftijd;Vavo vmbo-t;2021/'22;750
263;Mannen;Totaal leeftijd;Vavo vmbo-t;2022/'23;930
264;Mannen;Totaal leeftijd;Vavo vmbo-t;2023/'24;1240
265;Mannen;Totaal leeftijd;Vavo vmbo-t;2024/'25;1220
266;Mannen;Totaal leeftijd;Vavo havo;2006/'07;3580
267;Mannen;Totaal leeftijd;Vavo havo;2007/'08;3980
268;Mannen;Totaal leeftijd;Vavo havo;2008/'09;5040
269;Mannen;Totaal leeftijd;Vavo havo;2009/'10;5030
270;Mannen;Totaal leeftijd;Vavo havo;2010/'11;4840
271;Mannen;Totaal leeftijd;Vavo havo;2011/'12;4340
272;Mannen;Totaal leeftijd;Vavo havo;2012/'13;3840
273;Mannen;Totaal leeftijd;Vavo havo;2013/'14;4010
274;Mannen;Totaal leeftijd;Vavo havo;2014/'15;4110
275;Mannen;Totaal leeftijd;Vavo havo;2015/'16;4680
276;Mannen;Totaal leeftijd;Vavo havo;2016/'17;4870
277;Mannen;Totaal leeftijd;Vavo havo;2017/'18;4910
278;Mannen;Totaal leeftijd;Vavo havo;2018/'19;4670
279;Mannen;Totaal leeftijd;Vavo havo;2019/'20;4310
280;Mannen;Totaal leeftijd;Vavo havo;2020/'21;3220
281;Mannen;Totaal leeftijd;Vavo havo;2021/'22;3630
282;Mannen;Totaal leeftijd;Vavo havo;2022/'23;3640
283;Mannen;Totaal leeftijd;Vavo havo;2023/'24;4130
284;Mannen;Totaal leeftijd;Vavo havo;2024/'25;3850
285;Mannen;Totaal leeftijd;Vavo vwo;2006/'07;1240
286;Mannen;Totaal leeftijd;Vavo vwo;2007/'08;1450
287;Mannen;Totaal leeftijd;Vavo vwo;2008/'09;1560
288;Mannen;Totaal leeftijd;Vavo vwo;2009/'10;2270
289;Mannen;Totaal leeftijd;Vavo vwo;2010/'11;1770
290;Mannen;Totaal leeftijd;Vavo vwo;2011/'12;1540
291;Mannen;Totaal leeftijd;Vavo vwo;2012/'13;1550
292;Mannen;Totaal leeftijd;Vavo vwo;2013/'14;1450
293;Mannen;Totaal leeftijd;Vavo vwo;2014/'15;1620
294;Mannen;Totaal leeftijd;Vavo vwo;2015/'16;1820
295;Mannen;Totaal leeftijd;Vavo vwo;2016/'17;1840
296;Mannen;Totaal leeftijd;Vavo vwo;2017/'18;1920
297;Mannen;Totaal leeftijd;Vavo vwo;2018/'19;1910
298;Mannen;Totaal leeftijd;Vavo vwo;2019/'20;1920
299;Mannen;Totaal leeftijd;Vavo vwo;2020/'21;1160
300;Mannen;Totaal leeftijd;Vavo vwo;2021/'22;1590
301;Mannen;Totaal leeftijd;Vavo vwo;2022/'23;1600
302;Mannen;Totaal leeftijd;Vavo vwo;2023/'24;1950
303;Mannen;Totaal leeftijd;Vavo vwo;2024/'25;1890
304;Mannen;Jonger dan 23 jaar;Totaal vavo;2006/'07;5660
305;Mannen;Jonger dan 23 jaar;Totaal vavo;2007/'08;6300
306;Mannen;Jonger dan 23 jaar;Totaal vavo;2008/'09;7300
307;Mannen;Jonger dan 23 jaar;Totaal vavo;2009/'10;8000
308;Mannen;Jonger dan 23 jaar;Totaal vavo;2010/'11;7360
309;Mannen;Jonger dan 23 jaar;Totaal vavo;2011/'12;6720
310;Mannen;Jonger dan 23 jaar;Totaal vavo;2012/'13;6190
311;Mannen;Jonger dan 23 jaar;Totaal vavo;2013/'14;6250
312;Mannen;Jonger dan 23 jaar;Totaal vavo;2014/'15;6370
313;Mannen;Jonger dan 23 jaar;Totaal vavo;2015/'16;7120
314;Mannen;Jonger dan 23 jaar;Totaal vavo;2016/'17;7360
315;Mannen;Jonger dan 23 jaar;Totaal vavo;2017/'18;7620
316;Mannen;Jonger dan 23 jaar;Totaal vavo;2018/'19;7300
317;Mannen;Jonger dan 23 jaar;Totaal vavo;2019/'20;7050
318;Mannen;Jonger dan 23 jaar;Totaal vavo;2020/'21;4730
319;Mannen;Jonger dan 23 jaar;Totaal vavo;2021/'22;5580
320;Mannen;Jonger dan 23 jaar;Totaal vavo;2022/'23;5780
321;Mannen;Jonger dan 23 jaar;Totaal vavo;2023/'24;7040
322;Mannen;Jonger dan 23 jaar;Totaal vavo;2024/'25;6640
323;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2006/'07;1180
324;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2007/'08;1220
325;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2008/'09;1100
326;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2009/'10;1200
327;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2010/'11;1060
328;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2011/'12;1070
329;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2012/'13;990
330;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2013/'14;1110
331;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2014/'15;1050
332;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2015/'16;1150
333;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2016/'17;1190
334;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2017/'18;1310
335;Mannen;Jonger dan 23 jaar;Vavo vmbo-t;2018/'19;1150
