ID;Perioden;MisdrijvenTotaal_1;Geweldsmisdrijven_2;Vermogensmisdrijven_3;VernielingenMisdrOpenbOrdeGezag_4;Verkeersmisdrijven_5;OverigeMisdrijven_6;MisdrijvenTotaal_7;Geweldsmisdrijven_8;Vermogensmisdrijven_9;VernielingenMisdrOpenbOrdeGezag_10;Verkeersmisdrijven_11;OverigeMisdrijven_12;TotaalOpgehelderdeMisdrijven_13;OpgehelderdeMisdrijvenRelatief_14;TotaalRegistratiesVanVerdachten_15;TotaalMannelijkeVerdachten_16;TotaalVrouwelijkeVerdachten_17;TotaalMeerderjarigeVerdachten_18;MannelijkeMeerderjarigeVerdachten_19;VrouwelijkeMeerderjarigeVerdachten_20;TotaalMinderjarigeVerdachten_21;MannelijkeMinderjarigeVerdachten_22;VrouwelijkeMinderjarigeVerdachten_23
10;1958;133215;14475.0;86380.0;9835.0;12640.0;9890.0;12;1.0;8.0;1.0;1.0;1.0;86340;65;100265.0;87950.0;12315.0;75645.0;64565.0;11080.0;24620.0;23385.0;1235.0
11;1959;134290;14475.0;84245.0;12020.0;12640.0;10910.0;12;1.0;7.0;1.0;1.0;1.0;88115;66;103805.0;91790.0;12015.0;80420.0;69735.0;10680.0;23390.0;22055.0;1335.0
12;1960;140735;15585.0;89580.0;12020.0;14750.0;8805.0;12;1.0;8.0;1.0;1.0;1.0;91490;65;108380.0;96220.0;12160.0;81810.0;71190.0;10620.0;26575.0;25030.0;1540.0
13;1961;145035;14475.0;93845.0;12020.0;15800.0;8895.0;13;1.0;8.0;1.0;1.0;1.0;93165;64;110030.0;97990.0;12040.0;81085.0;70755.0;10330.0;28945.0;27235.0;1710.0
14;1962;155780;13360.0;103445.0;13110.0;17910.0;7955.0;13;1.0;9.0;1.0;2.0;1.0;94490;61;115910.0;103425.0;12485.0;84005.0;73565.0;10435.0;31910.0;29855.0;2050.0
15;1963;159000;14475.0;106640.0;13110.0;17910.0;6865.0;13;1.0;9.0;1.0;2.0;1.0;96155;60;116460.0;104105.0;12355.0;85350.0;74960.0;10390.0;31110.0;29145.0;1965.0
16;1964;172965;15585.0;116240.0;13110.0;20015.0;8015.0;14;1.0;10.0;1.0;2.0;1.0;101260;59;123965.0;110895.0;13065.0;90785.0;79715.0;11070.0;33175.0;31180.0;1995.0
17;1965;181560;15585.0;121570.0;15295.0;22125.0;6985.0;15;1.0;10.0;1.0;2.0;1.0;105930;58;125940.0;113185.0;12755.0;92525.0;82000.0;10520.0;33420.0;31185.0;2235.0
18;1966;197675;15585.0;131170.0;16390.0;26335.0;8195.0;16;1.0;11.0;1.0;2.0;1.0;107020;54;129445.0;116175.0;13270.0;96990.0;85965.0;11025.0;32450.0;30210.0;2240.0
19;1967;210570;16700.0;139700.0;16390.0;30550.0;7230.0;17;1.0;11.0;1.0;2.0;1.0;112200;53;136070.0;122305.0;13765.0;102125.0;90730.0;11395.0;33945.0;31575.0;2370.0
20;1968;232055;16700.0;155695.0;17480.0;33710.0;8465.0;18;1.0;12.0;1.0;3.0;1.0;121435;52;145975.0;130970.0;15010.0;108670.0;96300.0;12370.0;37310.0;34670.0;2640.0
21;1969;256765;16700.0;177025.0;19665.0;35820.0;7555.0;20;1.0;14.0;2.0;3.0;1.0;126340;49;152615.0;136490.0;16125.0;114055.0;100865.0;13190.0;38565.0;35630.0;2935.0
22;1970;284700;16700.0;200485.0;19665.0;37925.0;9920.0;22;1.0;15.0;2.0;3.0;1.0;131040;46;158335.0;142390.0;15945.0;119180.0;106125.0;13050.0;39155.0;36260.0;2895.0
23;1971;329820;17815.0;239945.0;21850.0;40035.0;10175.0;25;1.0;18.0;2.0;3.0;1.0;138840;42;171110.0;154740.0;16370.0;128135.0;114655.0;13480.0;42980.0;40085.0;2895.0
24;1972;373865;18925.0;277270.0;24035.0;41085.0;12550.0;28;1.0;21.0;2.0;3.0;1.0;150960;40;182840.0;165760.0;17080.0;135880.0;121695.0;14185.0;46955.0;44065.0;2895.0
25;1973;416840;20040.0;313525.0;28405.0;42140.0;12725.0;31;1.0;23.0;2.0;3.0;1.0;160440;38;188930.0;171150.0;17780.0;139555.0;124945.0;14615.0;49375.0;46205.0;3170.0
26;1974;456590;20040.0;345520.0;31685.0;44245.0;15100.0;34;1.0;26.0;2.0;3.0;1.0;165480;36;190525.0;173180.0;17350.0;140875.0;126975.0;13905.0;49650.0;46205.0;3445.0
27;1975;486670;20040.0;365780.0;37145.0;48460.0;15240.0;36;1.0;27.0;3.0;4.0;1.0;179520;37;206215.0;186895.0;19320.0;158140.0;142675.0;15465.0;48075.0;44215.0;3855.0
28;1976;564025;23380.0;423370.0;43700.0;55835.0;17735.0;41;2.0;31.0;3.0;4.0;1.0;207840;37;234045.0;212750.0;21295.0;177300.0;160275.0;17025.0;56750.0;52480.0;4270.0
29;1977;590880;23380.0;429765.0;56815.0;63210.0;17710.0;43;2.0;31.0;4.0;5.0;1.0;213360;36;250715.0;228150.0;22570.0;190615.0;172455.0;18160.0;60100.0;55690.0;4410.0
30;1978;612370;24495.0;429765.0;68830.0;68475.0;20800.0;44;2.0;31.0;5.0;5.0;1.0;224040;37;257280.0;235000.0;22280.0;197500.0;179765.0;17735.0;59780.0;55235.0;4545.0
31;1979;668235;26720.0;461760.0;77570.0;73745.0;28435.0;48;2.0;33.0;6.0;5.0;2.0;239520;36;273150.0;248765.0;24385.0;210555.0;191545.0;19010.0;62595.0;57220.0;5370.0
32;1980;757405;28945.0;533210.0;91775.0;77960.0;25510.0;54;2.0;38.0;7.0;6.0;2.0;252120;33;292120.0;264335.0;27780.0;228025.0;205890.0;22130.0;64095.0;58445.0;5650.0
33;1981;872355;32290.0;629190.0;99425.0;82175.0;29285.0;61;2.0;44.0;7.0;6.0;2.0;281520;32;320245.0;289360.0;30885.0;252235.0;227550.0;24685.0;68010.0;61810.0;6200.0
34;1982;990535;34515.0;729430.0;115810.0;82175.0;28605.0;69;2.0;51.0;8.0;6.0;2.0;297480;30;344145.0;310435.0;33705.0;270075.0;243115.0;26955.0;74070.0;67320.0;6750.0
35;1983;1059290;35630.0;799815.0;111440.0;85335.0;27075.0;74;2.0;56.0;8.0;6.0;2.0;309255;29;352740.0;317375.0;35365.0;283895.0;255000.0;28895.0;68850.0;62375.0;6470.0
36;1984;1163500;37855.0;887260.0;124550.0;85335.0;28500.0;81;3.0;62.0;9.0;6.0;2.0;326985;28;374130.0;333590.0;40545.0;303200.0;270115.0;33085.0;70935.0;63475.0;7460.0
37;1985;1174245;41195.0;895795.0;127830.0;84280.0;25145.0;81;3.0;62.0;9.0;6.0;2.0;315340;27;368415.0;325490.0;42930.0;298105.0;263405.0;34705.0;70310.0;62085.0;8225.0
38;1986;1178540;43420.0;895795.0;132200.0;80065.0;27060.0;81;3.0;62.0;9.0;6.0;2.0;313325;27;365145.0;322845.0;42300.0;294825.0;260800.0;34025.0;70320.0;62040.0;8280.0
39;1987;1212920;44535.0;906455.0;140940.0;77960.0;43030.0;83;3.0;62.0;10.0;5.0;3.0;319910;26;358625.0;315515.0;43110.0;293140.0;258175.0;34965.0;65485.0;57340.0;8145.0
40;1988;1231185;50100.0;912855.0;146405.0;80065.0;41755.0;84;3.0;62.0;10.0;5.0;3.0;319335;26;357385.0;313665.0;43715.0;295345.0;258870.0;36470.0;62040.0;54795.0;7245.0
41;1989;1245150;55670.0;902190.0;157330.0;85335.0;44630.0;84;4.0;61.0;11.0;6.0;3.0;319790;26;360045.0;317315.0;42730.0;299630.0;263255.0;36375.0;60410.0;54060.0;6350.0
42;1990;1235480;54555.0;895795.0;159515.0;86385.0;39230.0;83;4.0;60.0;11.0;6.0;3.0;306700;25;350360.0;306890.0;43465.0;291570.0;255045.0;36525.0;58790.0;51845.0;6945.0
43;1991;1268785;56780.0;933115.0;164975.0;86385.0;27520.0;85;4.0;62.0;11.0;6.0;2.0;285715;23;344235.0;301565.0;42665.0;283305.0;247960.0;35350.0;60925.0;53610.0;7320.0
44;1992;1362250;64575.0;1013100.0;168255.0;88495.0;27830.0;90;4.0;67.0;11.0;6.0;2.0;290965;21;350465.0;306020.0;44445.0;286990.0;250570.0;36420.0;63475.0;55445.0;8025.0
45;1993;1366550;67915.0;1018430.0;163885.0;89545.0;26770.0;90;4.0;67.0;11.0;6.0;2.0;285245;21;341665.0;296120.0;45545.0;284735.0;246190.0;38545.0;56935.0;49935.0;7000.0
46;1994;1410595;74595.0;1042960.0;169345.0;96920.0;26775.0;92;5.0;68.0;11.0;6.0;2.0;283585;20;341875.0;296965.0;44910.0;282565.0;245005.0;37565.0;59310.0;51960.0;7345.0
47;1995;1317130;72370.0;964045.0;166070.0;93760.0;20885.0;85;5.0;63.0;11.0;6.0;1.0;251925;19;348190.0;301490.0;46700.0;284680.0;246710.0;37970.0;63505.0;54780.0;8730.0
48;1996;1274155;74595.0;889395.0;185735.0;105350.0;19080.0;82;5.0;57.0;12.0;7.0;1.0;245670;19;357890.0;310460.0;47430.0;279860.0;243065.0;36795.0;78030.0;67390.0;10635.0
49;1997;1309610;82390.0;902190.0;196660.0;104295.0;24070.0;84;5.0;58.0;13.0;7.0;2.0;236440;18;371785.0;322020.0;49765.0;297150.0;257765.0;39390.0;74635.0;64255.0;10375.0
50;1998;1325725;84615.0;898990.0;195570.0;121150.0;25395.0;85;5.0;57.0;12.0;8.0;2.0;252440;19;388975.0;340920.0;48055.0;317745.0;278950.0;38795.0;71230.0;61970.0;9260.0
51;1999;1399855;96865.0;935250.0;206495.0;134850.0;26400.0;89;6.0;59.0;13.0;9.0;2.0;252280;18;393685.0;344535.0;49150.0;319480.0;280785.0;38695.0;74205.0;63745.0;10460.0
52;2000;1426710;101315.0;954445.0;207585.0;138010.0;25355.0;90;6.0;60.0;13.0;9.0;2.0;248125;17;397565.0;348490.0;49075.0;324440.0;285285.0;39155.0;73125.0;63200.0;9920.0
53;2001;1481500;112450.0;982175.0;210865.0;145385.0;30635.0;93;7.0;61.0;13.0;9.0;2.0;279720;19;414445.0;361540.0;52905.0;341770.0;300495.0;41275.0;72675.0;61045.0;11630.0
54;2002;1505135;115790.0;988570.0;215235.0;149595.0;35945.0;93;7.0;61.0;13.0;9.0;2.0;307180;20;449640.0;390065.0;59580.0;371115.0;323770.0;47345.0;78530.0;66295.0;12235.0
55;2003;1470760;118015.0;938450.0;209770.0;161185.0;43335.0;91;7.0;58.0;13.0;10.0;3.0;335980;23;487305.0;421290.0;66020.0;402250.0;349650.0;52605.0;85055.0;71640.0;13415.0
56;2004;1417040;121355.0;869130.0;221790.0;161185.0;43580.0;87;7.0;53.0;14.0;10.0;3.0;346555;24;508880.0;439625.0;69255.0;414290.0;359295.0;55000.0;94585.0;80330.0;14255.0
57;2005;1348285;122470.0;792350.0;230530.0;161185.0;41750.0;83;8.0;49.0;14.0;10.0;3.0;339160;25;494360.0;422900.0;71460.0;394460.0;340050.0;54410.0;99900.0;82850.0;17050.0
58;2006;1311770;123730.0;747925.0;234420.0;164430.0;41265.0;80;8.0;46.0;14.0;10.0;3.0;334315;25;491445.0;418225.0;73220.0;391900.0;335865.0;56035.0;99545.0;82360.0;17185.0
59;2007;1303835;125190.0;725515.0;242835.0;168965.0;41330.0;80;8.0;44.0;15.0;10.0;3.0;326235;25;482095.0;407385.0;74710.0;385675.0;328720.0;56955.0;96420.0;78665.0;17755.0
60;2008;1277775;120335.0;721385.0;233030.0;163680.0;39345.0;78;7.0;44.0;14.0;10.0;2.0;312460;24;457730.0;386525.0;71205.0;372335.0;316835.0;55500.0;85395.0;69690.0;15705.0
61;2009;1254480;120335.0;724065.0;213055.0;156175.0;40850.0;76;7.0;44.0;13.0;9.0;2.0;313180;25;412615.0;347680.0;64935.0;340590.0;289185.0;51405.0;72025.0;58495.0;13530.0
62;2010;1200825;115815.0;715555.0;185955.0;143915.0;39585.0;72;7.0;43.0;11.0;9.0;2.0;331305;28;406510.0;340670.0;64495.0;341460.0;289085.0;51985.0;61185.0;49225.0;11940.0
63;2011;1206565;114055.0;723155.0;182190.0;146710.0;40455.0;72;7.0;43.0;11.0;9.0;2.0;326680;27;397790.0;333625.0;62890.0;340580.0;287730.0;52230.0;54165.0;43915.0;10210.0
64;2012;1154950;110470.0;704250.0;162415.0;136925.0;40890.0;69;7.0;42.0;10.0;8.0;2.0;308410;27;373480.0;312100.0;60365.0;323155.0;271515.0;51010.0;47960.0;38955.0;8995.0
65;2013;1105565;103510.0;690610.0;141135.0;131335.0;38975.0;66;6.0;41.0;8.0;8.0;2.0;289665;26;350395.0;291265.0;58360.0;307225.0;256515.0;50235.0;41295.0;33465.0;7820.0
66;2014;1025630;98545.0;631450.0;135400.0;122150.0;38085.0;61;6.0;38.0;8.0;7.0;2.0;271355;26;327320.0;272195.0;54370.0;287755.0;240355.0;46930.0;37775.0;30630.0;7135.0
67;2015;978945;92475.0;614050.0;122835.0;114735.0;34845.0;58;5.0;36.0;7.0;7.0;2.0;248875;25;301555.0;251810.0;49170.0;262885.0;220300.0;42395.0;37425.0;30785.0;6630.0
68;2016;930325;90200.0;576445.0;115525.0;114830.0;33330.0;55;5.0;34.0;7.0;7.0;2.0;234100;25;278930.0;233700.0;44730.0;244430.0;205800.0;38380.0;33515.0;27310.0;6190.0
69;2017;832950;85335.0;502510.0;102085.0;111865.0;31155.0;49;5.0;29.0;6.0;7.0;2.0;217265;26;257895.0;216445.0;40690.0;226565.0;191320.0;34905.0;30285.0;24610.0;5660.0
70;2018;786420;83325.0;457825.0;93450.0;118285.0;33540.0;46;5.0;27.0;5.0;7.0;2.0;217870;28;258820.0;218470.0;39690.0;229580.0;194825.0;34475.0;28340.0;23235.0;5085.0
71;2019;821905;83960.0;473705.0;102400.0;125500.0;36340.0;48;5.0;27.0;6.0;7.0;2.0;231520;28;275985.0;234410.0;41050.0;242430.0;206890.0;35320.0;32710.0;27085.0;5625.0
72;2020;813150;80235.0;471585.0;109040.0;115575.0;36720.0;47;5.0;27.0;6.0;7.0;2.0;220070;27;263520.0;225975.0;36975.0;234225.0;201465.0;32595.0;28440.0;24145.0;4280.0
73;2021;758065;76360.0;419690.0;106370.0;120000.0;35645.0;43;4.0;24.0;6.0;7.0;2.0;208875;28;244070.0;210585.0;32985.0;217135.0;188305.0;28695.0;26075.0;21880.0;4180.0
74;2022;810550;80590.0;448250.0;105900.0;140395.0;35415.0;46;5.0;25.0;6.0;8.0;2.0;229685;28;264175.0;226890.0;36790.0;234340.0;203385.0;30785.0;28985.0;23085.0;5885.0
75;2023;816375;76195.0;464915.0;103625.0;135405.0;36235.0;46;4.0;26.0;6.0;8.0;2.0;226465;28;262140.0;225260.0;36290.0;233355.0;202445.0;30605.0;28070.0;22510.0;5545.0
76;2024;811885;78010.0;464095.0;102485.0;131345.0;35950.0;45;4.0;26.0;6.0;7.0;2.0;190845;24;247135.0;213160.0;32605.0;219100.0;190420.0;27765.0;27220.0;22440.0;4750.0
