ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
44;43 Gespecialiseerde bouw;8.8;57.1;31.7;27.19;1800.0;100.0;75.3;11.4;7.9;3.3;2.1
45;G Handel;44.8;50.6;28.61;24.67;1767.0;100.0;77.7;10.7;6.1;2.6;2.9
46;45 Autohandel en -reparatie;4.7;50.1;28.17;24.31;1778.0;100.0;76.7;11.0;7.2;2.3;2.8
47;46 Groothandel en handelsbemiddeling;25.7;63.4;35.07;30.5;1809.0;100.0;78.1;10.1;6.5;2.6;2.7
48;47 Detailhandel (niet in auto's);14.4;37.2;21.61;18.44;1720.0;100.0;77.2;11.9;5.0;2.8;3.1
49;H Vervoer en opslag;17.8;60.5;32.27;27.59;1876.0;100.0;75.6;11.0;8.3;3.7;1.4
50;49 Vervoer over land;8.2;55.9;27.86;24.31;2006.0;100.0;75.6;11.9;7.4;3.5;1.7
51;50 Vervoer over water;;;;;;;;;;;
52;51 Vervoer door de lucht;;;;;;;;;;;
53;52 Opslag, dienstverlening voor vervoer;5.3;66.4;37.29;31.52;1782.0;100.0;76.6;10.9;7.1;3.6;1.8
54;53 Post en koeriers;1.4;45.8;27.3;22.7;1676.0;100.0;74.3;11.7;9.2;3.5;1.3
55;I Horeca;6.5;32.0;18.68;15.93;1713.0;100.0;79.1;13.1;2.9;1.8;3.2
56;55 Logiesverstrekking;1.7;35.6;21.07;17.81;1691.0;100.0;78.6;12.6;3.1;2.4;3.3
57;56 Eet- en drinkgelegenheden;4.7;30.8;17.93;15.33;1720.0;100.0;79.2;13.3;2.8;1.6;3.1
58;J Informatie en communicatie;16.2;72.9;41.24;35.41;1768.0;100.0;80.5;9.7;5.9;2.4;1.5
59;58 Uitgeverijen;1.5;71.7;43.42;36.86;1650.0;100.0;77.8;10.6;6.2;3.0;2.4
60;"59 Film- en tv-productie; geluidsopname";0.5;53.8;30.15;25.96;1784.0;100.0;79.5;10.2;5.4;2.4;2.4
61;60 Radio- en televisieomroepen;0.5;77.1;46.68;39.6;1651.0;100.0;77.4;10.5;6.2;3.2;2.6
62;61 Telecommunicatie;2.3;82.1;45.95;40.09;1786.0;100.0;78.9;9.2;7.0;2.7;2.2
63;62 IT-dienstverlening;10.5;72.9;40.85;35.02;1785.0;100.0;81.4;9.7;5.6;2.3;1.1
64;63 Diensten op het gebied van informatie;0.8;66.6;37.19;32.05;1790.0;100.0;82.3;9.5;5.1;1.8;1.3
65;K Financiële dienstverlening;22.4;92.0;54.13;46.1;1700.0;100.0;77.1;6.8;10.8;2.2;3.1
66;64 Bankwezen;13.6;94.4;55.13;47.23;1712.0;100.0;78.8;5.8;10.4;1.9;3.2
67;65 Verzekeraars en pensioenfondsen;5.4;93.0;56.78;47.52;1639.0;100.0;74.7;8.8;10.1;3.2;3.1
68;66 Overige financiële dienstverlening;3.5;82.6;47.4;40.49;1743.0;100.0;73.9;7.6;13.4;2.1;3.0
69;L Verhuur en handel van onroerend goed;3.5;67.9;40.41;34.52;1681.0;100.0;74.8;9.6;9.2;2.8;3.7
70;68 Verhuur en handel van onroerend goed;3.5;67.9;40.41;34.52;1681.0;100.0;74.8;9.6;9.2;2.8;3.7
71;M Specialistische zakelijke diensten;31.1;76.5;43.16;37.22;1772.0;100.0;79.3;8.1;8.0;2.2;2.4
72;69 Juridische diensten en administratie;7.0;72.1;41.4;35.28;1742.0;100.0;77.1;8.3;9.2;2.2;3.2
73;70 Holdings en managementadviesbureaus;12.0;96.0;53.86;46.52;1783.0;100.0;80.1;6.2;8.7;2.0;2.9
74;71 Architecten-, ingenieursbureaus e.d.;6.3;67.8;37.49;32.7;1809.0;100.0;79.9;10.0;5.8;2.2;2.0
75;72 Research;2.6;77.1;44.94;38.02;1715.0;100.0;80.2;9.2;9.5;2.8;-1.7
76;73 Reclamewezen en marktonderzoek;1.9;56.2;31.51;27.41;1782.0;100.0;79.1;9.9;5.8;2.6;2.7
77;74 Design, fotografie, vertaalbureaus;1.0;56.1;31.55;27.33;1777.0;100.0;80.6;9.8;5.0;2.3;2.3
78;75 Veterinaire dienstverlening;0.3;47.1;27.52;23.88;1711.0;100.0;77.7;10.9;5.5;3.0;2.9
79;N Verhuur en overige zakelijke diensten;27.1;41.2;23.09;20.08;1785.0;100.0;78.5;13.9;3.7;2.1;1.8
80;77 Verhuur van roerende goederen;1.5;60.3;33.06;28.59;1823.0;100.0;77.3;10.5;7.7;2.2;2.3
81;78 Uitzendbureaus en arbeidsbemiddeling;18.3;39.3;21.77;19.14;1807.0;100.0;79.0;14.7;3.2;1.5;1.7
82;79 Reisbureaus, reisorganisatie en -info;0.9;53.6;30.23;25.6;1774.0;100.0;81.4;10.3;3.1;2.7;2.5
83;80 Beveiligings- en opsporingsdiensten;1.2;47.4;26.83;22.96;1766.0;100.0;76.7;13.3;4.7;3.2;2.1
84;81 Schoonmaakbedrijven, hoveniers e.d.;3.7;39.5;23.64;19.7;1673.0;100.0;75.4;13.0;5.3;4.3;1.9
85;82 Overige zakelijke dienstverlening;1.5;47.1;26.44;22.68;1781.0;100.0;80.8;12.1;1.9;2.8;2.4
86;O Openbaar bestuur en overheidsdiensten;31.5;70.8;44.56;36.81;1589.0;100.0;72.1;8.5;8.6;7.0;3.9
87;84 Openbaar bestuur en overheidsdiensten;31.5;70.8;44.56;36.81;1589.0;100.0;72.1;8.5;8.6;7.0;3.9
88;P Onderwijs;25.0;65.6;43.29;34.33;1515.0;100.0;74.6;9.5;8.2;4.5;3.2
89;85 Onderwijs;25.0;65.6;43.29;34.33;1515.0;100.0;74.6;9.5;8.2;4.5;3.2
90;Q Gezondheids- en welzijnszorg;48.2;55.0;36.13;29.4;1523.0;100.0;75.0;10.8;5.9;4.7;3.6
91;86 Gezondheidszorg;24.8;63.3;40.23;33.29;1574.0;100.0;76.0;9.9;6.3;4.2;3.6
92;87 Verpleging en zorg met overnachting;14.7;48.0;32.81;26.24;1463.0;100.0;73.7;11.7;5.5;5.4;3.7
93;88 Welzijnszorg zonder overnachting;8.7;48.8;32.24;25.99;1515.0;100.0;74.3;11.8;5.5;5.0;3.5
94;R Cultuur, sport en recreatie;3.9;51.0;30.26;25.75;1687.0;100.0;76.9;11.0;5.9;2.8;3.5
95;90 Kunst;0.8;53.8;31.54;26.91;1707.0;100.0;77.1;10.6;6.6;2.5;3.3
96;91 Bibliotheken, musea en natuurbehoud;0.9;55.0;33.95;28.81;1619.0;100.0;74.7;11.5;7.3;3.1;3.4
97;92 Loterijen en kansspelen;0.4;64.8;37.56;31.87;1724.0;100.0;73.8;11.4;7.3;3.5;4.0
98;93 Sport en recreatie;1.8;46.1;27.12;23.09;1701.0;100.0;78.5;10.9;4.6;2.5;3.5
99;S Overige dienstverlening;4.8;52.7;31.91;26.93;1652.0;100.0;76.1;11.1;6.0;3.4;3.3
100;94 Ideële, belangen-, hobbyverenigingen;3.2;65.8;40.24;33.69;1636.0;100.0;75.4;10.8;6.9;3.5;3.3
101;95 Reparatie van consumentenartikelen;0.2;43.5;24.54;21.26;1773.0;100.0;77.1;11.2;6.3;2.4;3.0
102;96 Overige persoonlijke dienstverlening;1.4;36.6;22.05;18.74;1660.0;100.0;77.6;11.9;3.9;3.2;3.3
103;A-F Landbouw en nijverheid;65.9;61.5;34.81;29.61;1767.0;100.0;77.3;10.7;7.3;3.5;1.2
104;B-E Nijverheid (geen bouw) en energie;46.1;63.3;36.19;30.71;1748.0;100.0;77.8;10.5;7.0;3.7;1.0
105;B-F Nijverheid en energie;62.9;62.9;35.69;30.32;1763.0;100.0;77.2;10.6;7.3;3.6;1.3
106;G-I Handel, vervoer en horeca;69.1;50.0;28.03;24.08;1782.0;100.0;77.3;11.0;6.4;2.8;2.5
107;G-N Commerciële dienstverlening;169.3;57.2;32.26;27.77;1772.0;100.0;78.1;10.2;6.8;2.5;2.4
108;M-N Zakelijke dienstverlening;58.1;54.7;30.73;26.64;1780.0;100.0;78.9;10.8;6.0;2.2;2.1
109;O-Q Overheid en zorg;104.6;61.5;39.98;32.48;1538.0;100.0;74.0;9.8;7.3;5.3;3.6
110;O-U Niet-commerciële dienstverlening;113.3;60.7;39.14;31.92;1550.0;100.0;74.2;9.9;7.2;5.2;3.6
111;R-U Cultuur, recreatie, overige diensten;8.6;52.0;31.15;26.39;1668.0;100.0;76.4;11.1;6.0;3.1;3.4
