ID;BeroepsEnEigenVervoer;Afstandsklassen;Perioden;VervoerdGewicht_1
170;Eigen vervoer;500 tot 1000 km;2007;3375
171;Eigen vervoer;500 tot 1000 km;2008;2443
172;Eigen vervoer;500 tot 1000 km;2009;2069
173;Eigen vervoer;500 tot 1000 km;2010;2540
174;Eigen vervoer;500 tot 1000 km;2011;2370
175;Eigen vervoer;500 tot 1000 km;2012;2228
176;Eigen vervoer;1000 tot 2000 km;2005;648
177;Eigen vervoer;1000 tot 2000 km;2006;583
178;Eigen vervoer;1000 tot 2000 km;2007;925
179;Eigen vervoer;1000 tot 2000 km;2008;875
180;Eigen vervoer;1000 tot 2000 km;2009;601
181;Eigen vervoer;1000 tot 2000 km;2010;263
182;Eigen vervoer;1000 tot 2000 km;2011;285
183;Eigen vervoer;1000 tot 2000 km;2012;359
184;Eigen vervoer;2000 km of meer;2005;47
185;Eigen vervoer;2000 km of meer;2006;57
186;Eigen vervoer;2000 km of meer;2007;148
187;Eigen vervoer;2000 km of meer;2008;88
188;Eigen vervoer;2000 km of meer;2009;59
189;Eigen vervoer;2000 km of meer;2010;30
190;Eigen vervoer;2000 km of meer;2011;17
191;Eigen vervoer;2000 km of meer;2012;24
