ID;Perioden;WWUitgekeerdeBedragen_1;WachtgeldfondsUitgekeerdeBedragen_2;WerkloosheidsfondsUitgekeerdeBedragen_3
257;2013 maart     ;479.7;214.6;265.2
258;2013 1e kwartaal;1498.4;658.8;839.5
259;2013 april;471.5;205.1;266.4
260;2013 mei;803.4;262.2;541.2
261;2013 juni;445.2;189.8;255.7
262;2013 2e kwartaal;1720.2;657.0;1063.4
263;2013 juli;445.0;182.0;263.1
264;2013 augustus;590.9;216.7;374.1
265;2013 september;474.1;183.1;291.1
266;2013 3e kwartaal;1510.0;581.7;928.2
267;2013 oktober;593.4;212.0;381.3
268;2013 november;479.9;176.7;303.3
269;2013 december;488.4;186.4;302.1
270;2013 4e kwartaal;1561.7;575.1;986.7
271;2013;6290.3;2472.7;3817.8
272;2014 januari;662.9;250.4;412.4
273;2014 februari;553.4;222.8;330.5
274;2014 maart;546.2;216.3;329.8
275;2014 1e kwartaal;1762.5;689.5;1072.7
276;2014 april;526.2;201.1;325.0
277;2014 mei;925.0;257.4;667.5
278;2014 juni;485.9;180.6;305.4
279;2014 2e kwartaal;1937.1;639.2;1297.9
280;2014 juli;604.3;196.5;407.7
281;2014 augustus;499.7;173.8;325.8
282;2014 september;488.8;165.4;323.4
283;2014 3e kwartaal;1592.8;535.7;1056.9
284;2014 oktober;593.5;184.1;409.3
285;2014 november;475.6;155.4;320.3
286;2014 december;491.6;165.6;326.1
287;2014 4e kwartaal;1560.7;505.1;1055.6
288;2014;6853.0;2369.5;4483.2
289;2015 januari;636.3;216.9;419.3
290;2015 februari;535.2;201.9;333.3
291;2015 maart;526.7;195.1;331.6
292;2015 1e kwartaal;1698.3;614.0;1084.1
293;2015 april;615.3;206.7;408.6
294;2015 mei;773.8;205.0;568.7
295;2015 juni;450.3;159.7;290.7
296;2015 2e kwartaal;1839.4;571.4;1267.9
297;2015 juli;547.6;163.9;383.7
298;2015 augustus;454.4;151.3;303.0
299;2015 september;450.4;148.5;301.9
300;2015 3e kwartaal;1452.5;463.7;988.7
301;2015 oktober;529.5;151.4;378.1
302;2015 november;425.4;136.6;288.7
303;2015 december;497.0;139.3;357.7
304;2015 4e kwartaal;1451.9;427.4;1024.5
305;2015;6442.1;2076.4;4365.2
