ID;Onderwijssoort;LevensbeschouwelijkeGrondslag;Schoolgrootte;Perioden;Onderwijsinstellingen_1;LeerlingenStudenten_2
60;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2015/'16;1337;92771
61;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2016/'17;1307;90801
62;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2017/'18;1262;87967
63;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2018/'19;1217;84950
64;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2019/'20;1223;85688
65;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2020/'21;1212;84566
66;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2021/'22;1171;82046
67;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2022/'23;1172;81303
68;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2023/'24;1155;80420
69;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2024/'25;1146;80494
70;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1990/'91;4022;593352
71;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1991/'92;4047;595157
72;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1992/'93;3969;585976
73;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1993/'94;3713;549500
74;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1994/'95;3421;509463
75;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1995/'96;2925;439162
76;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1996/'97;2744;411296
77;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1997/'98;2642;396813
78;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1998/'99;2603;392332
79;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;1999/'00;2546;384858
80;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2000/'01;2515;382881
81;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2001/'02;2519;382464
82;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2002/'03;2532;384064
83;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2003/'04;2552;386899
84;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2004/'05;2549;385774
85;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2005/'06;2515;380541
86;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2006/'07;2508;379883
87;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2007/'08;2500;377658
88;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2008/'09;2454;370638
89;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2009/'10;2438;368543
90;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2010/'11;2421;366466
91;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2011/'12;2443;369255
92;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2012/'13;2445;368906
93;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2013/'14;2423;365557
94;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2014/'15;2386;358641
95;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2015/'16;2309;346533
96;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2016/'17;2294;345134
97;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2017/'18;2307;347718
98;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2018/'19;2295;345671
99;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2019/'20;2261;340999
100;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2020/'21;2231;336562
101;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2021/'22;2242;337144
102;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2022/'23;2194;330835
103;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2023/'24;2198;332103
104;Totaal primair onderwijs;Totaal;101 - 200 leerlingen/studenten;2024/'25;2183;330645
105;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1990/'91;2719;739986
106;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1991/'92;2591;702172
107;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1992/'93;2637;717854
108;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1993/'94;2835;774853
109;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1994/'95;3063;846289
110;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1995/'96;3358;945271
111;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1996/'97;3480;991913
112;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1997/'98;3519;1013402
113;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1998/'99;3554;1028115
114;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;1999/'00;3576;1039411
115;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2000/'01;3589;1048264
116;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2001/'02;3590;1049542
117;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2002/'03;3570;1048186
118;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2003/'04;3534;1041566
119;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2004/'05;3518;1040197
120;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2005/'06;3512;1038290
121;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2006/'07;3466;1024950
122;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2007/'08;3452;1021945
123;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2008/'09;3432;1017651
124;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2009/'10;3377;1005306
125;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2010/'11;3309;985638
126;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2011/'12;3224;956701
127;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2012/'13;3171;941257
128;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2013/'14;3111;926818
129;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2014/'15;3054;907784
130;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2015/'16;3030;902283
131;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2016/'17;2979;885795
132;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2017/'18;2925;874572
133;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2018/'19;2920;873597
134;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2019/'20;2921;875226
135;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2020/'21;2923;875137
136;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2021/'22;2911;870331
137;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2022/'23;2929;874250
138;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2023/'24;2943;878085
139;Totaal primair onderwijs;Totaal;201 - 500 leerlingen/studenten;2024/'25;2943;877906
140;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1990/'91;49;27691
141;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1991/'92;39;22211
142;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1992/'93;46;26212
143;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1993/'94;53;29969
144;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1994/'95;70;39892
145;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1995/'96;102;58777
146;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1996/'97;120;69727
147;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1997/'98;157;91887
148;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1998/'99;173;101083
149;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;1999/'00;184;109518
150;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2000/'01;181;108064
151;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2001/'02;202;119738
152;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2002/'03;204;121713
153;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2003/'04;213;127585
154;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2004/'05;222;134037
155;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2005/'06;234;141816
156;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2006/'07;256;154890
157;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2007/'08;274;167292
158;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2008/'09;287;176347
159;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2009/'10;293;180624
160;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2010/'11;302;187907
161;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2011/'12;318;196579
162;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2012/'13;309;192376
163;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2013/'14;299;185655
164;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2014/'15;307;190161
165;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2015/'16;297;185248
166;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2016/'17;301;187358
167;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2017/'18;298;185973
168;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2018/'19;296;185013
169;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2019/'20;289;180393
170;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2020/'21;283;177155
171;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2021/'22;271;168857
172;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2022/'23;274;171251
173;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2023/'24;254;157715
174;Totaal primair onderwijs;Totaal;501 - 1 000 leerlingen/studenten;2024/'25;250;154575
175;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1990/'91;0;0
176;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1991/'92;0;0
177;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1992/'93;0;0
178;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1993/'94;0;0
179;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1994/'95;0;0
180;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1995/'96;0;0
181;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1996/'97;0;0
182;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1997/'98;0;0
183;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1998/'99;1;1035
184;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;1999/'00;1;1122
185;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2000/'01;3;3217
186;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2001/'02;3;3325
187;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2002/'03;3;3395
188;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2003/'04;2;2391
189;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2004/'05;2;2376
190;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2005/'06;2;2342
191;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2006/'07;3;3396
192;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2007/'08;4;4501
193;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2008/'09;5;5740
194;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2009/'10;7;8076
195;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2010/'11;6;7408
196;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2011/'12;7;8613
197;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2012/'13;7;8818
198;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2013/'14;9;11210
199;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2014/'15;11;13075
200;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2015/'16;11;12908
201;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2016/'17;11;13205
202;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2017/'18;11;13220
203;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2018/'19;11;13490
204;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2019/'20;11;13710
205;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2020/'21;10;12621
206;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2021/'22;11;13752
207;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2022/'23;10;12912
208;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2023/'24;10;12913
209;Totaal primair onderwijs;Totaal;1 001 - 2 000 leerlingen/studenten;2024/'25;10;12559
210;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1990/'91;0;0
211;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1991/'92;0;0
212;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1992/'93;0;0
213;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1993/'94;0;0
214;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1994/'95;0;0
215;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1995/'96;0;0
216;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1996/'97;0;0
217;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1997/'98;0;0
218;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1998/'99;0;0
219;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;1999/'00;0;0
220;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2000/'01;0;0
221;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2001/'02;0;0
222;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2002/'03;0;0
223;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2003/'04;0;0
224;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2004/'05;0;0
225;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2005/'06;0;0
226;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2006/'07;0;0
227;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2007/'08;0;0
228;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2008/'09;0;0
229;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2009/'10;0;0
230;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2010/'11;0;0
231;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2011/'12;0;0
232;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2012/'13;0;0
233;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2013/'14;0;0
234;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2014/'15;0;0
235;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2015/'16;2;6306
236;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2016/'17;2;5913
237;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2017/'18;2;6039
238;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2018/'19;2;6133
239;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2019/'20;2;5981
240;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2020/'21;2;5947
241;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2021/'22;2;5749
242;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2022/'23;2;5664
243;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2023/'24;2;5493
244;Totaal primair onderwijs;Totaal;2 001 - 5 000 leerlingen/studenten;2024/'25;2;5260
245;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1990/'91;0;0
246;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1991/'92;0;0
247;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1992/'93;0;0
248;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1993/'94;0;0
249;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1994/'95;0;0
250;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1995/'96;0;0
251;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1996/'97;0;0
252;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1997/'98;0;0
253;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1998/'99;0;0
254;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;1999/'00;0;0
255;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2000/'01;0;0
256;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2001/'02;0;0
257;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2002/'03;0;0
258;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2003/'04;0;0
259;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2004/'05;0;0
260;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2005/'06;0;0
261;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2006/'07;0;0
262;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2007/'08;0;0
263;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2008/'09;0;0
264;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2009/'10;0;0
265;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2010/'11;0;0
266;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2011/'12;0;0
267;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2012/'13;0;0
268;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2013/'14;0;0
269;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2014/'15;0;0
270;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2015/'16;0;0
271;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2016/'17;0;0
272;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2017/'18;0;0
273;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2018/'19;0;0
274;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2019/'20;0;0
275;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2020/'21;0;0
276;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2021/'22;0;0
277;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2022/'23;0;0
278;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2023/'24;0;0
279;Totaal primair onderwijs;Totaal;5 001 - 10 000 leerlingen/studenten;2024/'25;0;0
280;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1990/'91;0;0
281;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1991/'92;0;0
282;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1992/'93;0;0
283;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1993/'94;0;0
284;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1994/'95;0;0
285;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1995/'96;0;0
286;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1996/'97;0;0
287;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1997/'98;0;0
288;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1998/'99;0;0
289;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;1999/'00;0;0
290;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;2000/'01;0;0
291;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;2001/'02;0;0
292;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;2002/'03;0;0
293;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;2003/'04;0;0
294;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;2004/'05;0;0
295;Totaal primair onderwijs;Totaal;Meer dan 10 000 leerlingen/studenten;2005/'06;0;0
