ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;NetEnergyConsumption_8;TotalEnergyTransformationInput_9;ElectricityAndCHPTransformationInput_10;OtherTransformationInput_11;TotalEnergyTransformationOutput_12;ElectricityCHPTransformationOutput_13;OtherTransformationOutput_14;TotalNetEnergyTransformation_15;NetElectricityCHPTransformation_16;NetOtherTransformation_17;EnergySectorOwnUse_18;DistributionLosses_19;TotalFinalConsumption_20;FinalEnergyConsumption_21;NonEnergyUse_22;StatisticalDifferences_23
31;Total energy commodities;1977;2696.0;3245.0;5047.0;5073.0;-26.0;522.0;-1.0;2695.0;;692.0;;;324.0;;384.0;368.0;16.0;;;2312.0;1878.0;434.0;
32;Total energy commodities;1978;2793.0;2989.0;5040.0;4745.0;295.0;534.0;44.0;2794.0;;713.0;;;338.0;;366.0;374.0;-8.0;;;2427.0;1965.0;462.0;
33;Total energy commodities;1979;2924.0;3126.0;5967.0;5621.0;346.0;464.0;-84.0;2924.0;;748.0;;;357.0;;391.0;391.0;0.0;;;2533.0;2065.0;468.0;
34;Total energy commodities;1980;2723.0;3032.0;5855.0;5689.0;166.0;445.0;-31.0;2723.0;;724.0;;;340.0;;391.0;384.0;7.0;;;2331.0;1922.0;409.0;
35;Total energy commodities;1981;2575.0;2821.0;5243.0;5211.0;32.0;421.0;143.0;2575.0;;721.0;;;347.0;;382.0;375.0;7.0;;;2193.0;1846.0;347.0;
36;Total energy commodities;1982;2381.0;2445.0;5211.0;4948.0;263.0;409.0;83.0;2381.0;;682.0;;;345.0;;367.0;338.0;29.0;;;2015.0;1749.0;266.0;
37;Total energy commodities;1983;2422.0;2634.0;4951.0;4850.0;101.0;387.0;74.0;2422.0;;669.0;;;340.0;;380.0;329.0;51.0;;;2042.0;1754.0;288.0;
38;Total energy commodities;1984;2511.0;2690.0;5078.0;4887.0;191.0;368.0;-1.0;2511.0;;690.0;;;353.0;;395.0;337.0;58.0;;;2116.0;1783.0;333.0;
39;Total energy commodities;1985;2558.0;2834.0;4930.0;4751.0;179.0;419.0;-36.0;2558.0;;690.0;;;351.0;;384.0;340.0;44.0;;;2175.0;1838.0;337.0;
40;Total energy commodities;1986;2640.0;2654.0;5335.0;4822.0;513.0;463.0;-65.0;2639.0;;731.0;;;365.0;;411.0;367.0;44.0;;;2228.0;1827.0;401.0;
41;Total energy commodities;1987;2703.0;2639.0;5138.0;4648.0;490.0;459.0;33.0;2703.0;;744.0;;;380.0;;405.0;364.0;41.0;;;2299.0;1891.0;408.0;
42;Total energy commodities;1988;2682.0;2350.0;5533.0;4719.0;814.0;509.0;26.0;2682.0;;748.0;;;390.0;;409.0;358.0;51.0;;;2273.0;1825.0;448.0;
43;Total energy commodities;1989;2691.0;2522.0;5824.0;5102.0;722.0;498.0;-55.0;2691.0;;769.0;;;405.0;;416.0;364.0;52.0;;;2276.0;1870.0;406.0;
44;Total energy commodities;1990;2843.0;2542.0;6034.0;5199.0;834.0;520.0;-13.0;2870.0;3343.0;756.0;2587.0;2894.0;400.0;2494.0;449.0;356.0;94.0;167.0;16.0;2238.0;1794.0;444.0;-27.0
45;Total energy commodities;1991;2953.0;2832.0;6290.0;5619.0;671.0;534.0;-16.0;2975.0;3496.0;779.0;2717.0;3053.0;419.0;2634.0;443.0;360.0;83.0;177.0;17.0;2338.0;1901.0;438.0;-22.0
46;Total energy commodities;1992;2932.0;2839.0;6160.0;5496.0;664.0;545.0;-26.0;2959.0;3572.0;813.0;2759.0;3109.0;438.0;2671.0;463.0;375.0;88.0;169.0;17.0;2310.0;1871.0;438.0;-26.0
47;Total energy commodities;1993;2988.0;2892.0;6276.0;5659.0;617.0;534.0;13.0;3019.0;3609.0;816.0;2793.0;3135.0;436.0;2699.0;474.0;380.0;94.0;176.0;18.0;2351.0;1932.0;419.0;-32.0
48;Total energy commodities;1994;3011.0;2802.0;6217.0;5417.0;800.0;551.0;-41.0;3034.0;3682.0;839.0;2843.0;3200.0;459.0;2741.0;483.0;381.0;102.0;177.0;19.0;2355.0;1894.0;462.0;-23.0
49;Total energy commodities;1995 1st quarter;882.0;950.0;1441.0;1458.0;-17.0;127.0;76.0;;933.0;220.0;713.0;818.0;126.0;692.0;115.0;95.0;21.0;45.0;6.0;;;121.0;
50;Total energy commodities;1995 2nd quarter;695.0;532.0;1548.0;1242.0;307.0;141.0;-3.0;;979.0;201.0;779.0;862.0;109.0;753.0;117.0;91.0;25.0;40.0;5.0;;;116.0;
51;Total energy commodities;1995 3rd quarter;633.0;397.0;1585.0;1159.0;426.0;149.0;-41.0;;959.0;201.0;758.0;836.0;106.0;730.0;123.0;96.0;28.0;42.0;4.0;;;114.0;
52;Total energy commodities;1995 4th quarter;888.0;932.0;1553.0;1512.0;41.0;141.0;55.0;;1018.0;233.0;785.0;894.0;132.0;762.0;124.0;101.0;23.0;44.0;6.0;;;124.0;
53;Total energy commodities;1995;3097.0;2811.0;6127.0;5371.0;756.0;557.0;87.0;3106.0;3890.0;855.0;3034.0;3410.0;473.0;2938.0;479.0;383.0;97.0;171.0;21.0;2435.0;1960.0;475.0;-8.0
54;Total energy commodities;1996 1st quarter;988.0;1176.0;1558.0;1683.0;-124.0;144.0;80.0;;1019.0;236.0;783.0;892.0;137.0;755.0;127.0;99.0;27.0;47.0;7.0;;;113.0;
55;Total energy commodities;1996 2nd quarter;708.0;591.0;1623.0;1297.0;326.0;146.0;-62.0;;993.0;208.0;785.0;875.0;115.0;761.0;118.0;93.0;24.0;45.0;5.0;;;115.0;
56;Total energy commodities;1996 3rd quarter;659.0;449.0;1585.0;1265.0;320.0;147.0;36.0;;989.0;210.0;779.0;868.0;115.0;753.0;121.0;95.0;26.0;41.0;5.0;;;124.0;
57;Total energy commodities;1996 4th quarter;914.0;926.0;1733.0;1549.0;184.0;146.0;-50.0;;1024.0;241.0;783.0;897.0;139.0;758.0;127.0;102.0;25.0;42.0;5.0;;;123.0;
58;Total energy commodities;1996;3269.0;3143.0;6500.0;5794.0;706.0;583.0;3.0;3291.0;4024.0;894.0;3130.0;3532.0;505.0;3027.0;492.0;389.0;103.0;174.0;22.0;2602.0;2126.0;475.0;-21.0
59;Total energy commodities;1997 1st quarter;901.0;962.0;1626.0;1550.0;76.0;147.0;10.0;;997.0;226.0;772.0;876.0;134.0;742.0;121.0;91.0;30.0;42.0;6.0;;;119.0;
60;Total energy commodities;1997 2nd quarter;720.0;540.0;1743.0;1375.0;368.0;159.0;-28.0;;1012.0;204.0;808.0;897.0;116.0;781.0;115.0;88.0;27.0;41.0;5.0;;;127.0;
61;Total energy commodities;1997 3rd quarter;660.0;427.0;1753.0;1285.0;468.0;163.0;-72.0;;991.0;214.0;777.0;863.0;115.0;748.0;128.0;99.0;29.0;44.0;5.0;;;126.0;
62;Total energy commodities;1997 4th quarter;882.0;867.0;1722.0;1566.0;156.0;158.0;17.0;;993.0;241.0;752.0;862.0;140.0;722.0;131.0;100.0;30.0;39.0;6.0;;;123.0;
63;Total energy commodities;1997;3163.0;2795.0;6844.0;5776.0;1068.0;627.0;-73.0;3177.0;3993.0;884.0;3109.0;3498.0;506.0;2992.0;495.0;379.0;117.0;167.0;21.0;2494.0;1998.0;496.0;-14.0
64;Total energy commodities;1998 1st quarter;880.0;855.0;1717.0;1529.0;187.0;147.0;-16.0;;1028.0;236.0;793.0;904.0;140.0;764.0;124.0;95.0;29.0;44.0;6.0;;;125.0;
65;Total energy commodities;1998 2nd quarter;705.0;477.0;1726.0;1294.0;432.0;157.0;-47.0;;972.0;219.0;754.0;845.0;124.0;721.0;127.0;94.0;33.0;39.0;5.0;;;119.0;
66;Total energy commodities;1998 3rd quarter;660.0;417.0;1737.0;1341.0;395.0;161.0;10.0;;1038.0;218.0;819.0;909.0;120.0;789.0;129.0;98.0;31.0;39.0;5.0;;;118.0;
67;Total energy commodities;1998 4th quarter;940.0;935.0;1732.0;1591.0;141.0;168.0;33.0;;1069.0;250.0;819.0;932.0;147.0;785.0;137.0;103.0;33.0;46.0;6.0;;;115.0;
68;Total energy commodities;1998;3184.0;2684.0;6913.0;5760.0;1153.0;634.0;-20.0;3188.0;4107.0;922.0;3185.0;3590.0;531.0;3059.0;517.0;391.0;126.0;168.0;23.0;2481.0;1995.0;486.0;-4.0
69;Total energy commodities;1999 1st quarter;891.0;889.0;1707.0;1560.0;147.0;158.0;12.0;;1002.0;233.0;768.0;880.0;140.0;740.0;122.0;94.0;28.0;42.0;7.0;;;119.0;
70;Total energy commodities;1999 2nd quarter;709.0;476.0;1754.0;1315.0;439.0;170.0;-36.0;;964.0;205.0;759.0;848.0;118.0;730.0;116.0;87.0;29.0;38.0;5.0;;;126.0;
71;Total energy commodities;1999 3rd quarter;645.0;368.0;1646.0;1242.0;404.0;165.0;39.0;;961.0;206.0;755.0;841.0;116.0;725.0;119.0;89.0;30.0;35.0;5.0;;;120.0;
72;Total energy commodities;1999 4th quarter;881.0;777.0;1691.0;1539.0;151.0;167.0;119.0;;990.0;239.0;750.0;862.0;141.0;722.0;128.0;99.0;29.0;41.0;6.0;;;125.0;
73;Total energy commodities;1999;3126.0;2510.0;6797.0;5657.0;1141.0;660.0;135.0;3140.0;3916.0;883.0;3033.0;3432.0;515.0;2917.0;484.0;369.0;116.0;156.0;23.0;2476.0;1987.0;490.0;-14.0
74;Total energy commodities;2000 1st quarter;905.0;896.0;1781.0;1629.0;152.0;157.0;14.0;;993.0;240.0;753.0;867.0;142.0;725.0;126.0;98.0;28.0;42.0;6.0;;;124.0;
75;Total energy commodities;2000 2nd quarter;698.0;470.0;1808.0;1336.0;473.0;179.0;-66.0;;921.0;213.0;708.0;802.0;121.0;681.0;119.0;92.0;27.0;36.0;5.0;;;119.0;
76;Total energy commodities;2000 3rd quarter;676.0;352.0;1935.0;1404.0;531.0;177.0;-30.0;;989.0;218.0;771.0;860.0;121.0;739.0;129.0;97.0;32.0;36.0;5.0;;;133.0;
77;Total energy commodities;2000 4th quarter;880.0;710.0;1941.0;1584.0;357.0;175.0;-12.0;;1052.0;236.0;816.0;927.0;141.0;786.0;125.0;95.0;30.0;40.0;7.0;;;122.0;
78;Total energy commodities;2000;3159.0;2428.0;7465.0;5952.0;1513.0;689.0;-94.0;3157.0;3955.0;906.0;3048.0;3456.0;525.0;2931.0;499.0;381.0;118.0;154.0;24.0;2481.0;1982.0;498.0;2.0
79;Total energy commodities;2001 1st quarter;951.0;903.0;1944.0;1689.0;255.0;176.0;-31.0;;1022.0;251.0;771.0;886.0;146.0;740.0;136.0;105.0;31.0;41.0;7.0;;;125.0;
80;Total energy commodities;2001 2nd quarter;739.0;522.0;1956.0;1581.0;375.0;183.0;26.0;;995.0;227.0;768.0;863.0;126.0;737.0;132.0;101.0;31.0;36.0;6.0;;;135.0;
81;Total energy commodities;2001 3rd quarter;683.0;386.0;2035.0;1513.0;521.0;181.0;-43.0;;978.0;225.0;753.0;844.0;122.0;721.0;134.0;102.0;32.0;36.0;5.0;;;124.0;
82;Total energy commodities;2001 4th quarter;882.0;778.0;1887.0;1628.0;259.0;197.0;42.0;;1009.0;249.0;760.0;870.0;142.0;727.0;139.0;107.0;33.0;41.0;7.0;;;122.0;
83;Total energy commodities;2001;3255.0;2588.0;7821.0;6411.0;1410.0;736.0;-7.0;3242.0;4004.0;953.0;3052.0;3462.0;537.0;2925.0;542.0;415.0;127.0;153.0;24.0;2522.0;2016.0;506.0;13.0
84;Total energy commodities;2002 1st quarter;931.0;855.0;1960.0;1691.0;269.0;176.0;-16.0;;1025.0;253.0;772.0;888.0;147.0;741.0;137.0;105.0;31.0;42.0;7.0;;;131.0;
85;Total energy commodities;2002 2nd quarter;722.0;498.0;1925.0;1519.0;406.0;196.0;14.0;;923.0;228.0;695.0;796.0;126.0;670.0;127.0;102.0;25.0;37.0;6.0;;;126.0;
86;Total energy commodities;2002 3rd quarter;707.0;414.0;1910.0;1493.0;417.0;186.0;62.0;;954.0;229.0;725.0;817.0;124.0;693.0;136.0;105.0;32.0;35.0;6.0;;;142.0;
87;Total energy commodities;2002 4th quarter;934.0;787.0;2058.0;1738.0;320.0;180.0;6.0;;1002.0;258.0;745.0;861.0;147.0;714.0;141.0;110.0;31.0;35.0;7.0;;;142.0;
88;Total energy commodities;2002;3294.0;2554.0;7854.0;6442.0;1412.0;737.0;66.0;3271.0;3903.0;967.0;2936.0;3362.0;545.0;2817.0;541.0;422.0;119.0;150.0;25.0;2555.0;2013.0;541.0;23.0
89;Total energy commodities;2003 1st quarter;978.0;927.0;1909.0;1741.0;169.0;164.0;47.0;;989.0;257.0;732.0;850.0;150.0;700.0;139.0;107.0;32.0;39.0;7.0;;;137.0;
90;Total energy commodities;2003 2nd quarter;752.0;397.0;2057.0;1469.0;588.0;172.0;-60.0;;1007.0;229.0;777.0;873.0;127.0;746.0;133.0;102.0;31.0;36.0;6.0;;;148.0;
91;Total energy commodities;2003 3rd quarter;720.0;326.0;2015.0;1407.0;608.0;179.0;-34.0;;1041.0;235.0;805.0;897.0;126.0;771.0;144.0;109.0;34.0;37.0;5.0;;;162.0;
92;Total energy commodities;2003 4th quarter;957.0;823.0;1964.0;1707.0;257.0;182.0;60.0;;990.0;251.0;739.0;848.0;144.0;704.0;142.0;107.0;35.0;40.0;7.0;;;154.0;
93;Total energy commodities;2003;3407.0;2472.0;7946.0;6324.0;1621.0;698.0;12.0;3382.0;4026.0;973.0;3053.0;3468.0;547.0;2921.0;558.0;426.0;132.0;151.0;25.0;2648.0;2048.0;600.0;25.0
94;Total energy commodities;2004 1st quarter;990.0;984.0;2093.0;1857.0;235.0;179.0;-50.0;;1083.0;260.0;824.0;941.0;151.0;789.0;143.0;108.0;34.0;41.0;7.0;;;157.0;
95;Total energy commodities;2004 2nd quarter;766.0;484.0;2078.0;1633.0;446.0;191.0;28.0;;1069.0;235.0;834.0;934.0;131.0;803.0;135.0;104.0;31.0;37.0;6.0;;;153.0;
96;Total energy commodities;2004 3rd quarter;737.0;461.0;2104.0;1580.0;525.0;191.0;-58.0;;1053.0;246.0;807.0;908.0;135.0;773.0;145.0;110.0;35.0;38.0;6.0;;;155.0;
97;Total energy commodities;2004 4th quarter;968.0;929.0;1953.0;1760.0;194.0;197.0;42.0;;1006.0;266.0;741.0;863.0;154.0;709.0;143.0;112.0;31.0;41.0;7.0;;;160.0;
98;Total energy commodities;2004;3461.0;2857.0;8229.0;6829.0;1400.0;758.0;-38.0;3443.0;4212.0;1006.0;3206.0;3646.0;571.0;3075.0;566.0;435.0;132.0;157.0;26.0;2693.0;2067.0;625.0;18.0
99;Total energy commodities;2005 1st quarter;983.0;949.0;2059.0;1836.0;224.0;184.0;-5.0;;1050.0;258.0;792.0;913.0;152.0;761.0;137.0;106.0;31.0;46.0;7.0;;;155.0;
100;Total energy commodities;2005 2nd quarter;779.0;512.0;2156.0;1634.0;523.0;210.0;-46.0;;1073.0;233.0;840.0;938.0;131.0;808.0;135.0;102.0;32.0;41.0;6.0;;;156.0;
101;Total energy commodities;2005 3rd quarter;729.0;372.0;2190.0;1612.0;578.0;211.0;-10.0;;1040.0;235.0;805.0;907.0;130.0;777.0;133.0;105.0;28.0;38.0;6.0;;;161.0;
102;Total energy commodities;2005 4th quarter;917.0;786.0;2186.0;1861.0;325.0;201.0;6.0;;1108.0;261.0;847.0;963.0;151.0;812.0;144.0;110.0;34.0;38.0;7.0;;;162.0;
103;Total energy commodities;2005;3407.0;2619.0;8593.0;6943.0;1650.0;806.0;-55.0;3408.0;4271.0;987.0;3284.0;3722.0;564.0;3158.0;549.0;423.0;126.0;163.0;26.0;2670.0;2036.0;634.0;-1.0
104;Total energy commodities;2006 1st quarter;1018.0;1057.0;2201.0;2041.0;160.0;198.0;-1.0;;1075.0;266.0;809.0;937.0;161.0;777.0;138.0;106.0;32.0;42.0;8.0;;;151.0;
105;Total energy commodities;2006 2nd quarter;760.0;504.0;2237.0;1765.0;472.0;211.0;-5.0;;1001.0;219.0;782.0;878.0;126.0;753.0;123.0;94.0;29.0;36.0;6.0;;;148.0;
106;Total energy commodities;2006 3rd quarter;708.0;324.0;2263.0;1641.0;622.0;231.0;-8.0;;1051.0;233.0;818.0;919.0;129.0;790.0;132.0;104.0;28.0;36.0;6.0;;;155.0;
107;Total energy commodities;2006 4th quarter;875.0;688.0;2186.0;1775.0;411.0;212.0;-13.0;;1049.0;246.0;803.0;924.0;147.0;776.0;125.0;99.0;26.0;40.0;7.0;;;168.0;
108;Total energy commodities;2006;3361.0;2574.0;8888.0;7223.0;1665.0;851.0;-26.0;3343.0;4176.0;965.0;3211.0;3658.0;562.0;3096.0;518.0;403.0;116.0;153.0;26.0;2645.0;2023.0;622.0;18.0
109;Total energy commodities;2007 1st quarter;920.0;804.0;2170.0;1864.0;306.0;202.0;12.0;;1022.0;271.0;752.0;874.0;163.0;711.0;148.0;108.0;40.0;39.0;7.0;;;143.0;
110;Total energy commodities;2007 2nd quarter;746.0;425.0;2131.0;1588.0;543.0;226.0;4.0;;1019.0;226.0;793.0;889.0;132.0;758.0;130.0;95.0;35.0;40.0;6.0;;;154.0;
111;Total energy commodities;2007 3rd quarter;749.0;411.0;2283.0;1721.0;561.0;228.0;5.0;;1070.0;231.0;838.0;936.0;131.0;805.0;133.0;100.0;34.0;42.0;6.0;;;166.0;
112;Total energy commodities;2007 4th quarter;967.0;944.0;2274.0;2002.0;272.0;214.0;-35.0;;1082.0;282.0;800.0;932.0;166.0;765.0;150.0;115.0;35.0;45.0;7.0;;;169.0;
113;Total energy commodities;2007;3383.0;2584.0;8857.0;7175.0;1683.0;870.0;-14.0;3368.0;4193.0;1010.0;3183.0;3631.0;592.0;3039.0;562.0;418.0;144.0;167.0;25.0;2615.0;1983.0;632.0;14.0
114;Total energy commodities;2008 1st quarter;977.0;980.0;2251.0;2040.0;211.0;215.0;1.0;;1077.0;284.0;793.0;932.0;171.0;761.0;145.0;113.0;33.0;45.0;7.0;;;159.0;
115;Total energy commodities;2008 2nd quarter;755.0;513.0;2245.0;1813.0;432.0;212.0;23.0;;1047.0;240.0;807.0;914.0;138.0;776.0;133.0;102.0;31.0;37.0;6.0;;;141.0;
116;Total energy commodities;2008 3rd quarter;731.0;442.0;2280.0;1785.0;496.0;217.0;10.0;;1047.0;234.0;813.0;913.0;134.0;779.0;133.0;100.0;33.0;40.0;6.0;;;155.0;
117;Total energy commodities;2008 4th quarter;887.0;872.0;2241.0;1917.0;324.0;200.0;-110.0;;1002.0;284.0;718.0;860.0;170.0;690.0;142.0;114.0;28.0;35.0;7.0;;;125.0;
118;Total energy commodities;2008;3350.0;2807.0;9018.0;7556.0;1462.0;844.0;-76.0;3338.0;4173.0;1041.0;3132.0;3620.0;613.0;3006.0;553.0;428.0;126.0;157.0;25.0;2602.0;2022.0;580.0;13.0
119;Total energy commodities;2009 1st quarter;947.0;939.0;2239.0;2009.0;230.0;191.0;-30.0;;1036.0;277.0;758.0;898.0;168.0;730.0;138.0;110.0;28.0;40.0;7.0;;;136.0;
120;Total energy commodities;2009 2nd quarter;704.0;422.0;2303.0;1781.0;522.0;188.0;-52.0;;983.0;240.0;743.0;857.0;140.0;717.0;126.0;100.0;26.0;35.0;6.0;;;141.0;
121;Total energy commodities;2009 3rd quarter;719.0;412.0;2236.0;1715.0;521.0;192.0;-22.0;;1057.0;250.0;807.0;908.0;139.0;769.0;149.0;111.0;38.0;38.0;5.0;;;153.0;
122;Total energy commodities;2009 4th quarter;913.0;876.0;2230.0;2004.0;225.0;188.0;-1.0;;1090.0;293.0;797.0;939.0;176.0;763.0;151.0;117.0;35.0;42.0;6.0;;;153.0;
123;Total energy commodities;2009;3287.0;2649.0;9006.0;7505.0;1501.0;758.0;-105.0;3272.0;4166.0;1060.0;3106.0;3602.0;623.0;2979.0;564.0;437.0;127.0;155.0;25.0;2528.0;1951.0;576.0;15.0
124;Total energy commodities;2010 1st quarter;1013.0;1059.0;2394.0;2262.0;132.0;176.0;-2.0;;1153.0;307.0;846.0;1007.0;188.0;819.0;146.0;120.0;27.0;44.0;8.0;;;157.0;
125;Total energy commodities;2010 2nd quarter;775.0;529.0;2384.0;1902.0;482.0;181.0;-55.0;;1089.0;245.0;844.0;960.0;147.0;813.0;129.0;98.0;31.0;39.0;6.0;;;164.0;
126;Total energy commodities;2010 3rd quarter;719.0;416.0;2264.0;1830.0;433.0;189.0;59.0;;1068.0;242.0;826.0;936.0;139.0;797.0;132.0;103.0;29.0;38.0;6.0;;;158.0;
127;Total energy commodities;2010 4th quarter;982.0;917.0;2463.0;2187.0;276.0;177.0;-34.0;;1116.0;313.0;803.0;963.0;189.0;774.0;153.0;123.0;30.0;40.0;7.0;;;164.0;
128;Total energy commodities;2010;3490.0;2921.0;9504.0;8182.0;1322.0;722.0;-31.0;3485.0;4426.0;1107.0;3319.0;3866.0;663.0;3203.0;561.0;444.0;116.0;160.0;26.0;2737.0;2094.0;643.0;5.0
129;Total energy commodities;2011 1st quarter;939.0;1004.0;2302.0;2227.0;75.0;179.0;39.0;;1102.0;280.0;822.0;968.0;175.0;793.0;134.0;105.0;28.0;44.0;7.0;;;145.0;
130;Total energy commodities;2011 2nd quarter;717.0;470.0;2258.0;1828.0;430.0;200.0;18.0;;994.0;243.0;752.0;870.0;148.0;722.0;125.0;95.0;30.0;40.0;6.0;;;138.0;
131;Total energy commodities;2011 3rd quarter;710.0;436.0;2422.0;1928.0;494.0;203.0;-17.0;;1073.0;234.0;838.0;949.0;140.0;809.0;123.0;94.0;29.0;43.0;5.0;;;154.0;
132;Total energy commodities;2011 4th quarter;875.0;782.0;2255.0;2067.0;188.0;190.0;94.0;;1097.0;287.0;810.0;951.0;173.0;778.0;146.0;115.0;31.0;45.0;6.0;;;138.0;
133;Total energy commodities;2011;3240.0;2692.0;9237.0;8051.0;1186.0;773.0;134.0;3235.0;4265.0;1044.0;3221.0;3738.0;636.0;3102.0;527.0;409.0;119.0;173.0;24.0;2511.0;1935.0;576.0;5.0
134;Total energy commodities;2012 1st quarter;951.0;963.0;2518.0;2266.0;251.0;179.0;-84.0;;1127.0;281.0;846.0;987.0;173.0;814.0;140.0;108.0;32.0;44.0;7.0;;;149.0;
135;Total energy commodities;2012 2nd quarter;739.0;510.0;2467.0;2122.0;345.0;178.0;61.0;;1072.0;218.0;853.0;960.0;133.0;827.0;112.0;85.0;27.0;41.0;6.0;;;149.0;
136;Total energy commodities;2012 3rd quarter;694.0;409.0;2464.0;1999.0;465.0;186.0;6.0;;1093.0;221.0;873.0;972.0;130.0;842.0;121.0;91.0;30.0;41.0;5.0;;;151.0;
137;Total energy commodities;2012 4th quarter;875.0;801.0;2537.0;2256.0;281.0;173.0;-34.0;;1039.0;265.0;774.0;903.0;159.0;744.0;136.0;106.0;31.0;40.0;6.0;;;146.0;
138;Total energy commodities;2012;3259.0;2683.0;9986.0;8644.0;1342.0;716.0;-50.0;3228.0;4331.0;985.0;3346.0;3822.0;596.0;3226.0;509.0;389.0;120.0;165.0;24.0;2530.0;1935.0;594.0;31.0
139;Total energy commodities;2013 1st quarter;959.0;1078.0;2487.0;2373.0;114.0;173.0;-61.0;824.0;1123.0;269.0;854.0;997.0;171.0;827.0;126.0;99.0;27.0;45.0;7.0;646.0;505.0;141.0;135.0
140;Total energy commodities;2013 2nd quarter;734.0;537.0;2413.0;2070.0;344.0;180.0;34.0;775.0;1062.0;221.0;842.0;946.0;134.0;812.0;116.0;86.0;30.0;40.0;6.0;613.0;465.0;148.0;-40.0
141;Total energy commodities;2013 3rd quarter;687.0;435.0;2523.0;2077.0;445.0;177.0;-17.0;786.0;1047.0;218.0;829.0;925.0;125.0;799.0;122.0;92.0;30.0;40.0;5.0;619.0;465.0;155.0;-100.0
142;Total energy commodities;2013 4th quarter;839.0;808.0;2502.0;2319.0;183.0;165.0;13.0;821.0;1033.0;258.0;775.0;904.0;156.0;748.0;129.0;102.0;27.0;41.0;6.0;646.0;504.0;142.0;18.0
