ID;Achtergrondkenmerken;Perioden;InwonersMetNederlandseNationaliteit_1;NeemtNietDeelAanKorteVakanties_2;NeemtDeelAanKorteVakanties_3;GemAantalKorteVakantiesPerDeelnemer_4;NeemtNietDeelAanLangeVakanties_5;NeemtDeelAanLangeVakanties_6;GemAantalLangeVakantiesPerDeelnemer_7
87;Onderwijsniveau: hoger onderwijs;2001;896.0;413.0;482.0;1.92;175.0;721.0;2.08
88;Onderkomen met vaste stand- of ligplaats;2000;1275.0;455.0;820.0;5.93;97.0;1178.0;2.73
89;Onderkomen met vaste stand- of ligplaats;2001;1311.0;465.0;846.0;6.0;114.0;1197.0;2.76
90;Alleen onderkomen zonder vaste plaats;2000;4354.0;2565.0;1789.0;1.67;448.0;3906.0;1.73
91;Alleen onderkomen zonder vaste plaats;2001;4218.0;2487.0;1730.0;1.79;514.0;3704.0;1.81
92;Niet in bezit van recreatief onderkomen;2000;9353.0;6820.0;2532.0;1.46;3343.0;6010.0;1.5
93;Niet in bezit van recreatief onderkomen;2001;9566.0;6747.0;2820.0;1.39;3272.0;6294.0;1.56
94;Groningen (PV);2000;543.0;379.0;165.0;;146.0;397.0;1.51
95;Groningen (PV);2001;548.0;414.0;134.0;;169.0;379.0;1.61
96;Friesland (PV);2000;633.0;433.0;200.0;;215.0;418.0;1.55
97;Friesland (PV);2001;645.0;409.0;236.0;2.61;212.0;433.0;1.68
98;Drenthe (PV);2000;446.0;349.0;97.0;;123.0;323.0;1.78
99;Drenthe (PV);2001;450.0;319.0;131.0;;152.0;298.0;1.85
100;Overijssel (PV);2000;1024.0;728.0;296.0;2.24;253.0;771.0;1.61
101;Overijssel (PV);2001;1043.0;746.0;296.0;2.68;231.0;812.0;1.64
102;Flevoland (PV);2000;285.0;156.0;130.0;;63.0;222.0;1.75
103;Flevoland (PV);2001;289.0;183.0;106.0;;40.0;249.0;1.61
104;Gelderland (PV);2000;1827.0;1230.0;597.0;2.07;452.0;1375.0;1.62
105;Gelderland (PV);2001;1832.0;1215.0;617.0;1.78;492.0;1340.0;1.66
106;Utrecht (PV);2000;1034.0;674.0;360.0;1.97;232.0;803.0;1.72
107;Utrecht (PV);2001;1049.0;668.0;382.0;2.17;195.0;854.0;1.71
108;Noord-Holland (PV);2000;2333.0;1433.0;900.0;2.45;531.0;1802.0;1.8
109;Noord-Holland (PV);2001;2320.0;1514.0;807.0;2.64;594.0;1726.0;1.93
110;Zuid-Holland (PV);2000;3174.0;2065.0;1108.0;2.41;794.0;2380.0;1.86
111;Zuid-Holland (PV);2001;3211.0;1931.0;1279.0;2.19;706.0;2505.0;1.89
112;Zeeland (PV);2000;346.0;217.0;129.0;;130.0;215.0;1.62
113;Zeeland (PV);2001;361.0;219.0;142.0;;119.0;242.0;1.78
114;Noord-Brabant (PV);2000;2235.0;1445.0;790.0;2.37;584.0;1651.0;1.64
115;Noord-Brabant (PV);2001;2260.0;1379.0;881.0;2.2;618.0;1642.0;1.69
116;Limburg (PV);2000;1102.0;732.0;370.0;2.01;366.0;736.0;1.63
117;Limburg (PV);2001;1086.0;701.0;386.0;1.96;373.0;713.0;1.75
118;Stedelijkheid: zeer sterk stedelijk;2000;2501.0;1498.0;1003.0;2.55;595.0;1906.0;1.84
119;Stedelijkheid: zeer sterk stedelijk;2001;2530.0;1546.0;985.0;2.49;674.0;1856.0;1.88
120;Stedelijkheid: sterk stedelijk;2000;3762.0;2486.0;1276.0;2.42;936.0;2826.0;1.78
121;Stedelijkheid: sterk stedelijk;2001;3861.0;2476.0;1385.0;2.44;911.0;2950.0;1.76
122;Stedelijkheid: matig stedelijk;2000;3040.0;1999.0;1041.0;2.21;770.0;2270.0;1.73
123;Stedelijkheid: matig stedelijk;2001;3318.0;2028.0;1290.0;2.37;763.0;2555.0;1.84
124;Stedelijkheid: weinig stedelijk;2000;3309.0;2227.0;1082.0;2.07;846.0;2463.0;1.63
125;Stedelijkheid: weinig stedelijk;2001;3328.0;2196.0;1132.0;1.86;895.0;2433.0;1.7
126;Stedelijkheid: niet stedelijk;2000;2370.0;1630.0;740.0;1.84;741.0;1628.0;1.53
127;Stedelijkheid: niet stedelijk;2001;2058.0;1453.0;605.0;1.84;658.0;1400.0;1.66
128;Regio Noord;2000;5299.0;3497.0;1802.0;2.25;1344.0;3955.0;1.71
129;Regio Noord;2001;5323.0;3600.0;1722.0;2.49;1404.0;3919.0;1.78
130;Regio Midden;2000;5365.0;3503.0;1862.0;2.27;1278.0;4088.0;1.78
131;Regio Midden;2001;5376.0;3340.0;2036.0;2.12;1170.0;4206.0;1.83
132;Regio Zuid;2000;4318.0;2840.0;1478.0;2.22;1266.0;3052.0;1.62
133;Regio Zuid;2001;4397.0;2758.0;1639.0;2.14;1327.0;3070.0;1.68
