ID;EconomischeActiviteit;Geslacht;DienstverbandArbeidsrelatie;Perioden;GemiddeldAantalBanen_1;Arbeidsjaren_2;OvereengekomenArbeidsduur_3;Overuren_4;BetaaldeArbeidsduur_5;OvereengekomenArbeidsuren_6;Overuren_7;BetaaldeArbeidsuren_8;TotaalLoonkosten_9;LonenEnSalarissen_10;SocialeLasten_11;LoonkostenPerArbeidsjaar_12
58;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2002, 3e kwartaal;4112.0;4120.3;446.0;6.0;452.0;1833.0;24.0;1857.0;;33.8;;
59;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2002, 4e kwartaal;4081.0;4087.6;432.0;5.0;437.0;1763.0;21.0;1785.0;;35.9;;
60;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2002;4104.0;4112.4;1722.0;22.0;1745.0;7068.0;92.0;7160.0;;145.6;;
61;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2003, 1e kwartaal;4045.0;4055.6;428.0;6.0;434.0;1730.0;24.0;1754.0;;34.7;;
62;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2003, 2e kwartaal;4044.0;4053.7;414.0;6.0;420.0;1675.0;23.0;1697.0;;42.2;;
63;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2003, 3e kwartaal;4018.0;4027.5;448.0;6.0;454.0;1800.0;23.0;1824.0;;34.0;;
64;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2003, 4e kwartaal;3981.0;3988.9;434.0;5.0;440.0;1729.0;21.0;1750.0;;36.3;;
65;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2003;4022.0;4031.4;1724.0;23.0;1747.0;6934.0;91.0;7025.0;;147.2;;
66;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2004, 1e kwartaal;3883.0;3890.1;430.0;6.0;436.0;1669.0;23.0;1692.0;;34.1;;
67;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2004, 2e kwartaal;3888.0;3895.3;410.0;6.0;415.0;1593.0;22.0;1615.0;;41.6;;
68;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2004, 3e kwartaal;3879.0;3886.5;443.0;6.0;449.0;1720.0;23.0;1743.0;;33.1;;
69;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2004, 4e kwartaal;3852.0;3859.2;443.0;5.0;448.0;1705.0;20.0;1726.0;;35.5;;
70;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2004;3875.0;3882.8;1725.0;23.0;1748.0;6686.0;89.0;6776.0;;144.4;;
71;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2005, 1e kwartaal;3741.0;3747.1;425.0;7.0;431.0;1588.0;24.0;1613.0;;33.3;;
72;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2005, 2e kwartaal;3774.0;3780.8;425.0;6.0;431.0;1603.0;24.0;1627.0;;41.4;;
73;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2005, 3e kwartaal;3782.0;3789.6;445.0;7.0;452.0;1683.0;25.0;1708.0;;32.9;;
74;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2005, 4e kwartaal;3770.0;3777.2;432.0;6.0;437.0;1627.0;22.0;1649.0;;35.4;;
75;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2005;3767.0;3773.7;1726.0;25.0;1751.0;6502.0;95.0;6597.0;;143.0;;
76;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2006, 1e kwartaal;3780.0;3786.9;;;446.0;;;1688.0;;;;
77;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2006, 2e kwartaal;3821.0;3828.6;;;426.0;;;1628.0;;;;
