ID;Regions;Periods;GDP_1;GDPPerCapita_2;RelationGDPBasicPrices_3;TotalValueAddedAtBasicPrices_4;CompensationOfEmployees_5;TaxesNotProductRelated_6;SubsidiesNotProductRelated_7;GrossOperatingSurplus_8;CorrectionOperatingSurplus_9;TotalGrossOperatingSurplus_10
49;Friesland (PV);1995;9871.0;16.0;678.0;9192.0;4652.0;113.0;31.0;4459.0;252.0;4207.0
50;Friesland (PV);1996;10212.0;17.0;763.0;9449.0;4788.0;116.0;56.0;4601.0;258.0;4344.0
51;Friesland (PV);1997;10773.7;17.47;849.69;9924.01;4992.59;119.59;58.31;4870.14;271.37;4598.77
52;Friesland (PV);1998;11533.84;18.61;925.85;10607.99;5390.38;126.56;101.42;5192.47;292.32;4900.14
53;Friesland (PV);1999;11942.0;19.0;959.0;10983.0;5764.0;137.0;121.0;5202.0;359.0;4843.0
54;Friesland (PV);2000;12949.0;21.0;1005.0;11944.0;6140.0;146.0;116.0;5774.0;420.0;5354.0
55;Friesland (PV);2001;13952.0;22.0;1142.0;12810.0;6613.0;160.0;140.0;6176.0;465.0;5711.0
56;Drenthe (PV);1995;7409.0;16.0;509.0;6900.0;3596.0;85.0;25.0;3243.0;189.0;3054.0
57;Drenthe (PV);1996;7627.0;17.0;570.0;7057.0;3734.0;88.0;51.0;3287.0;192.0;3094.0
58;Drenthe (PV);1997;8112.76;17.53;639.83;7472.93;3962.51;92.05;50.44;3468.8;204.35;3264.45
59;Drenthe (PV);1998;8354.07;17.93;670.6;7683.47;4176.83;93.76;74.45;3487.34;211.73;3275.6
60;Drenthe (PV);1999;8639.0;18.0;694.0;7945.0;4416.0;103.0;101.0;3526.0;259.0;3267.0
61;Drenthe (PV);2000;9296.0;20.0;722.0;8574.0;4677.0;111.0;93.0;3879.0;301.0;3578.0
62;Drenthe (PV);2001;9880.0;21.0;809.0;9071.0;4996.0;121.0;109.0;4062.0;329.0;3733.0
63;Overijssel (PV);1995;17507.0;17.0;1203.0;16304.0;9303.0;192.0;57.0;6867.0;447.0;6420.0
64;Overijssel (PV);1996;18234.0;17.0;1363.0;16872.0;9552.0;200.0;104.0;7223.0;460.0;6763.0
65;Overijssel (PV);1997;19163.04;18.07;1511.34;17651.7;9861.4;206.11;110.27;7694.46;482.69;7211.78
66;Overijssel (PV);1998;20141.29;18.88;1616.79;18524.5;10576.62;210.57;191.55;7928.86;510.48;7418.38
67;Overijssel (PV);1999;21305.0;20.0;1711.0;19594.0;11329.0;243.0;245.0;8266.0;640.0;7626.0
68;Overijssel (PV);2000;22845.0;21.0;1774.0;21071.0;12167.0;261.0;258.0;8900.0;741.0;8159.0
69;Overijssel (PV);2001;24295.0;22.0;1989.0;22306.0;13070.0;290.0;300.0;9246.0;809.0;8437.0
70;Flevoland (PV);1995;3951.0;15.0;272.0;3680.0;1799.0;63.0;19.0;1837.0;101.0;1736.0
71;Flevoland (PV);1996;4046.0;15.0;302.0;3743.0;1882.0;63.0;37.0;1836.0;102.0;1734.0
72;Flevoland (PV);1997;4442.21;15.46;350.35;4091.87;2056.35;61.57;34.76;2008.71;111.89;1896.82
73;Flevoland (PV);1998;4817.46;16.06;386.71;4430.75;2237.48;69.13;47.09;2171.23;122.1;2049.13
74;Flevoland (PV);1999;5384.0;17.0;433.0;4952.0;2518.0;77.0;77.0;2433.0;162.0;2272.0
75;Flevoland (PV);2000;5820.0;18.0;452.0;5368.0;2767.0;84.0;57.0;2575.0;189.0;2386.0
76;Flevoland (PV);2001;6511.0;19.0;533.0;5978.0;3096.0;98.0;74.0;2858.0;217.0;2641.0
77;Gelderland (PV);1995;31792.0;17.0;2185.0;29607.0;16689.0;375.0;121.0;12664.0;811.0;11853.0
78;Gelderland (PV);1996;32971.0;18.0;2464.0;30507.0;17211.0;390.0;208.0;13113.0;832.0;12281.0
79;Gelderland (PV);1997;34861.39;18.43;2749.43;32111.97;18180.44;399.25;253.35;13785.63;878.1;12907.53
80;Gelderland (PV);1998;37051.29;19.49;2974.2;34077.1;19464.59;410.43;348.67;14550.75;939.06;13611.69
81;Gelderland (PV);1999;38887.0;20.0;3124.0;35763.0;20736.0;447.0;337.0;14917.0;1168.0;13749.0
82;Gelderland (PV);2000;41331.0;21.0;3209.0;38122.0;22131.0;480.0;346.0;15857.0;1340.0;14517.0
83;Gelderland (PV);2001;44026.0;23.0;3605.0;40421.0;23689.0;523.0;389.0;16598.0;1466.0;15132.0
84;Utrecht (PV);1995;24673.0;23.0;1696.0;22978.0;13099.0;243.0;63.0;9699.0;629.0;9069.0
85;Utrecht (PV);1996;26116.0;24.0;1952.0;24164.0;13786.0;255.0;113.0;10237.0;659.0;9578.0
86;Utrecht (PV);1997;27695.03;25.55;2184.23;25510.8;14497.92;255.72;145.83;10902.98;697.59;10205.38
87;Utrecht (PV);1998;30238.56;27.65;2427.32;27811.23;15807.61;270.93;228.22;11960.92;766.39;11194.53
88;Utrecht (PV);1999;32932.0;30.0;2645.0;30287.0;17078.0;308.0;241.0;13141.0;989.0;12152.0
89;Utrecht (PV);2000;34955.0;31.0;2714.0;32241.0;18173.0;327.0;250.0;13990.0;1133.0;12857.0
90;Utrecht (PV);2001;37678.0;34.0;3085.0;34593.0;19635.0;361.0;275.0;14873.0;1255.0;13618.0
91;Noord-Holland (PV);1995;55016.0;22.0;3781.0;51235.0;28831.0;558.0;182.0;22029.0;1403.0;20625.0
92;Noord-Holland (PV);1996;57054.0;23.0;4263.0;52791.0;30039.0;570.0;298.0;22480.0;1439.0;21040.0
93;Noord-Holland (PV);1997;61388.91;24.75;4841.58;56547.33;31813.56;569.62;375.51;24539.65;1546.29;22993.36
94;Noord-Holland (PV);1998;65364.81;26.2;5246.99;60117.82;34249.33;595.63;518.38;25791.23;1656.66;24134.57
95;Noord-Holland (PV);1999;69625.0;28.0;5593.0;64032.0;36662.0;667.0;527.0;27230.0;2091.0;25139.0
96;Noord-Holland (PV);2000;74684.0;30.0;5799.0;68885.0;39292.0;730.0;542.0;29404.0;2421.0;26983.0
97;Noord-Holland (PV);2001;78611.0;31.0;6437.0;72174.0;41933.0;816.0;606.0;30031.0;2618.0;27413.0
98;Zuid-Holland (PV);1995;67218.0;20.0;4619.0;62599.0;34865.0;778.0;247.0;27203.0;1715.0;25488.0
99;Zuid-Holland (PV);1996;69598.0;21.0;5201.0;64397.0;36043.0;800.0;398.0;27952.0;1756.0;26196.0
100;Zuid-Holland (PV);1997;73859.05;22.04;5825.07;68033.98;38070.16;801.91;540.19;29702.1;1860.39;27841.7
101;Zuid-Holland (PV);1998;78445.94;23.29;6297.04;72148.9;40517.55;828.32;713.36;31516.38;1988.2;29528.18
102;Zuid-Holland (PV);1999;82425.0;24.0;6621.0;75804.0;43130.0;919.0;827.0;32581.0;2476.0;30106.0
103;Zuid-Holland (PV);2000;88327.0;26.0;6859.0;81468.0;46133.0;980.0;854.0;35209.0;2864.0;32345.0
104;Zuid-Holland (PV);2001;94213.0;27.0;7714.0;86499.0;49526.0;1075.0;934.0;36832.0;3138.0;33694.0
105;Zeeland (PV);1995;6874.0;19.0;472.0;6401.0;3025.0;93.0;22.0;3306.0;175.0;3131.0
106;Zeeland (PV);1996;6756.0;18.0;505.0;6252.0;3109.0;94.0;48.0;3097.0;170.0;2927.0
107;Zeeland (PV);1997;6946.75;18.82;547.87;6398.88;3256.52;96.74;49.37;3094.98;174.98;2920.0
108;Zeeland (PV);1998;7323.27;19.78;587.86;6735.42;3400.96;96.84;65.48;3303.1;185.61;3117.49
109;Zeeland (PV);1999;7465.0;20.0;600.0;6866.0;3598.0;101.0;93.0;3260.0;224.0;3035.0
110;Zeeland (PV);2000;8144.0;22.0;632.0;7512.0;3813.0;107.0;75.0;3667.0;264.0;3403.0
111;Zeeland (PV);2001;8782.0;23.0;719.0;8063.0;4055.0;123.0;86.0;3972.0;293.0;3679.0
112;Noord-Brabant (PV);1995;43108.0;19.0;2962.0;40145.0;22426.0;482.0;132.0;17370.0;1100.0;16270.0
113;Noord-Brabant (PV);1996;45374.0;20.0;3391.0;41983.0;23337.0;510.0;241.0;18377.0;1145.0;17232.0
114;Noord-Brabant (PV);1997;47353.69;20.48;3734.66;43619.03;24664.74;498.56;1229.2;19684.93;1192.76;18492.17
115;Noord-Brabant (PV);1998;51025.64;21.91;4095.95;46929.69;26480.44;527.12;446.93;20369.06;1293.24;19075.82
116;Noord-Brabant (PV);1999;54696.0;23.0;4394.0;50302.0;28373.0;604.0;510.0;21835.0;1643.0;20192.0
117;Noord-Brabant (PV);2000;58728.0;25.0;4560.0;54168.0;30534.0;652.0;521.0;23503.0;1904.0;21599.0
118;Noord-Brabant (PV);2001;62046.0;26.0;5080.0;56966.0;32611.0;726.0;596.0;24225.0;2067.0;22158.0
119;Limburg (PV);1995;19193.0;17.0;1319.0;17875.0;9986.0;215.0;70.0;7743.0;490.0;7253.0
120;Limburg (PV);1996;19606.0;17.0;1465.0;18141.0;10340.0;228.0;126.0;7699.0;495.0;7204.0
121;Limburg (PV);1997;21062.57;18.52;1661.15;19401.42;10880.77;226.77;322.88;8616.76;530.53;8086.23
122;Limburg (PV);1998;22478.87;19.74;1804.43;20674.44;11582.45;238.66;222.4;9075.73;569.72;8506.01
123;Limburg (PV);1999;23756.0;21.0;1908.0;21847.0;12275.0;262.0;215.0;9526.0;713.0;8812.0
124;Limburg (PV);2000;24961.0;22.0;1938.0;23023.0;12999.0;281.0;209.0;9951.0;809.0;9142.0
125;Limburg (PV);2001;26193.0;23.0;2145.0;24048.0;13813.0;310.0;237.0;10163.0;872.0;9291.0
126;Oost-Groningen;1995;1824.0;12.0;125.0;1699.0;970.0;24.0;7.0;712.0;47.0;665.0
127;Oost-Groningen;1996;1932.0;13.0;144.0;1787.0;999.0;26.0;15.0;778.0;49.0;729.0
128;Oost-Groningen;1997;2045.97;13.41;161.36;1884.61;1051.62;27.07;14.3;820.23;51.53;768.7
129;Oost-Groningen;1998;2099.88;13.76;168.56;1931.32;1096.5;27.09;19.38;827.1;53.22;773.88
130;Oost-Groningen;1999;2217.0;14.0;178.0;2039.0;1174.0;28.0;40.0;877.0;67.0;810.0
131;Oost-Groningen;2000;2308.0;15.0;179.0;2129.0;1226.0;30.0;37.0;909.0;75.0;835.0
132;Oost-Groningen;2001;2395.0;16.0;196.0;2199.0;1267.0;31.0;37.0;937.0;80.0;857.0
133;Delfzijl e.o.;1995;898.0;17.0;62.0;836.0;430.0;9.0;4.0;400.0;23.0;377.0
134;Delfzijl e.o.;1996;940.0;17.0;70.0;869.0;444.0;10.0;7.0;423.0;24.0;399.0
135;Delfzijl e.o.;1997;999.89;18.64;78.86;921.03;466.41;10.49;8.27;452.4;25.19;427.22
136;Delfzijl e.o.;1998;983.52;18.52;78.95;904.57;472.04;10.31;10.94;433.15;24.93;408.23
137;Delfzijl e.o.;1999;977.0;19.0;78.0;899.0;477.0;12.0;12.0;422.0;29.0;392.0
138;Delfzijl e.o.;2000;1120.0;21.0;87.0;1033.0;509.0;13.0;10.0;521.0;36.0;485.0
139;Delfzijl e.o.;2001;1147.0;22.0;94.0;1053.0;547.0;15.0;10.0;501.0;38.0;463.0
140;Overig Groningen;1995;10118.0;29.0;695.0;9422.0;3689.0;72.0;22.0;5684.0;258.0;5426.0
141;Overig Groningen;1996;11442.0;33.0;855.0;10587.0;3772.0;73.0;39.0;6780.0;289.0;6492.0
142;Overig Groningen;1997;11593.0;32.95;914.31;10678.69;3928.08;76.1;47.16;6721.67;292.01;6429.66
143;Overig Groningen;1998;11263.22;31.88;904.13;10359.1;4169.67;77.68;67.01;6178.76;285.46;5893.29
144;Overig Groningen;1999;10783.0;30.0;866.0;9917.0;4443.0;91.0;100.0;5483.0;324.0;5159.0
145;Overig Groningen;2000;12397.0;35.0;963.0;11434.0;4754.0;96.0;96.0;6680.0;402.0;6278.0
146;Overig Groningen;2001;14326.0;40.0;1173.0;13153.0;5176.0;107.0;103.0;7973.0;477.0;7496.0
147;Noord-Friesland;1995;5717.0;18.0;393.0;5324.0;2665.0;61.0;17.0;2615.0;146.0;2469.0
148;Noord-Friesland;1996;5881.0;18.0;439.0;5441.0;2727.0;64.0;32.0;2683.0;148.0;2534.0
149;Noord-Friesland;1997;6180.3;19.19;487.42;5692.88;2842.07;65.16;32.9;2818.55;155.67;2662.88
150;Noord-Friesland;1998;6636.02;20.58;532.69;6103.33;3050.37;69.41;52.71;3036.27;168.19;2868.08
151;Noord-Friesland;1999;6670.0;21.0;536.0;6134.0;3196.0;74.0;74.0;2939.0;200.0;2739.0
152;Noord-Friesland;2000;7243.0;22.0;562.0;6680.0;3349.0;78.0;68.0;3321.0;235.0;3086.0
153;Noord-Friesland;2001;7829.0;24.0;641.0;7188.0;3602.0;85.0;81.0;3581.0;261.0;3320.0
154;Zuidwest-Friesland;1995;1319.0;14.0;91.0;1228.0;626.0;18.0;5.0;589.0;34.0;556.0
155;Zuidwest-Friesland;1996;1379.0;14.0;103.0;1276.0;656.0;18.0;9.0;611.0;35.0;577.0
156;Zuidwest-Friesland;1997;1466.16;14.8;115.63;1350.53;681.41;18.68;9.1;659.54;36.93;622.61
157;Zuidwest-Friesland;1998;1532.95;15.28;123.05;1409.9;734.32;19.4;16.91;673.09;38.85;634.24
158;Zuidwest-Friesland;1999;1646.0;16.0;132.0;1514.0;801.0;21.0;16.0;708.0;49.0;658.0
159;Zuidwest-Friesland;2000;1763.0;17.0;137.0;1626.0;858.0;23.0;16.0;761.0;57.0;704.0
160;Zuidwest-Friesland;2001;1868.0;18.0;153.0;1715.0;920.0;25.0;20.0;790.0;62.0;728.0
161;Zuidoost-Friesland;1995;2835.0;15.0;195.0;2640.0;1361.0;34.0;9.0;1255.0;72.0;1182.0
162;Zuidoost-Friesland;1996;2952.0;15.0;221.0;2732.0;1406.0;34.0;16.0;1307.0;74.0;1233.0
163;Zuidoost-Friesland;1997;3127.24;16.0;246.64;2880.6;1469.11;35.76;16.31;1392.05;78.77;1313.28
164;Zuidoost-Friesland;1998;3364.87;17.09;270.11;3094.76;1605.69;37.76;31.79;1483.11;85.28;1397.83
165;Zuidoost-Friesland;1999;3626.0;18.0;291.0;3335.0;1767.0;43.0;30.0;1555.0;109.0;1447.0
166;Zuidoost-Friesland;2000;3943.0;20.0;306.0;3637.0;1932.0;45.0;32.0;1692.0;128.0;1564.0
167;Zuidoost-Friesland;2001;4255.0;21.0;348.0;3907.0;2091.0;50.0;39.0;1804.0;142.0;1662.0
168;Noord-Drenthe;1995;2558.0;16.0;176.0;2382.0;1336.0;26.0;9.0;1029.0;65.0;964.0
169;Noord-Drenthe;1996;2665.0;16.0;199.0;2466.0;1394.0;27.0;19.0;1064.0;67.0;997.0
170;Noord-Drenthe;1997;2828.62;17.08;223.09;2605.54;1469.59;28.8;21.09;1128.24;71.25;1056.99
171;Noord-Drenthe;1998;3095.24;17.59;248.46;2846.78;1611.94;33.63;31.37;1232.58;78.45;1154.13
172;Noord-Drenthe;1999;3230.0;18.0;259.0;2970.0;1681.0;36.0;42.0;1295.0;97.0;1198.0
173;Noord-Drenthe;2000;3446.0;19.0;268.0;3178.0;1763.0;38.0;38.0;1415.0;112.0;1303.0
174;Noord-Drenthe;2001;3759.0;21.0;308.0;3451.0;1936.0;42.0;44.0;1517.0;125.0;1392.0
175;Zuidoost-Drenthe;1995;2667.0;18.0;183.0;2484.0;1178.0;29.0;8.0;1285.0;68.0;1217.0
176;Zuidoost-Drenthe;1996;2661.0;17.0;199.0;2462.0;1212.0;30.0;17.0;1237.0;67.0;1170.0
177;Zuidoost-Drenthe;1997;2800.81;18.28;220.89;2579.92;1265.14;30.77;15.44;1299.44;70.55;1228.9
178;Zuidoost-Drenthe;1998;3005.39;18.12;241.25;2764.14;1418.1;34.02;23.11;1335.14;76.17;1258.97
179;Zuidoost-Drenthe;1999;3071.0;18.0;247.0;2825.0;1528.0;38.0;31.0;1290.0;92.0;1198.0
180;Zuidoost-Drenthe;2000;3362.0;20.0;261.0;3101.0;1613.0;41.0;25.0;1473.0;109.0;1364.0
181;Zuidoost-Drenthe;2001;3552.0;21.0;291.0;3261.0;1693.0;44.0;31.0;1554.0;118.0;1436.0
182;Zuidwest-Drenthe;1995;2184.0;15.0;150.0;2034.0;1082.0;31.0;8.0;929.0;56.0;873.0
183;Zuidwest-Drenthe;1996;2301.0;16.0;172.0;2129.0;1128.0;31.0;15.0;986.0;58.0;928.0
184;Zuidwest-Drenthe;1997;2483.32;17.25;195.85;2287.47;1227.78;32.48;13.91;1041.12;62.55;978.57
185;Zuidwest-Drenthe;1998;2253.44;18.16;180.89;2072.55;1146.79;26.11;19.96;919.62;57.11;862.51
186;Zuidwest-Drenthe;1999;2338.0;19.0;188.0;2150.0;1207.0;30.0;28.0;941.0;70.0;871.0
187;Zuidwest-Drenthe;2000;2489.0;20.0;193.0;2296.0;1302.0;32.0;29.0;991.0;81.0;911.0
188;Zuidwest-Drenthe;2001;2569.0;20.0;210.0;2359.0;1366.0;35.0;34.0;991.0;86.0;905.0
189;Noord-Overijssel;1995;5877.0;18.0;404.0;5473.0;3054.0;68.0;20.0;2371.0;150.0;2221.0
190;Noord-Overijssel;1996;6082.0;18.0;455.0;5628.0;3127.0;70.0;37.0;2468.0;153.0;2314.0
191;Noord-Overijssel;1997;6578.66;19.45;518.84;6059.82;3252.96;73.03;38.69;2772.53;165.71;2606.82
192;Noord-Overijssel;1998;7062.87;20.72;566.95;6495.92;3571.95;75.98;70.83;2918.82;179.01;2739.81
193;Noord-Overijssel;1999;7493.0;22.0;602.0;6891.0;3881.0;91.0;101.0;3020.0;225.0;2795.0
194;Noord-Overijssel;2000;7985.0;23.0;620.0;7365.0;4155.0;96.0;105.0;3218.0;259.0;2960.0
195;Noord-Overijssel;2001;8273.0;25.0;677.0;7596.0;4347.0;106.0;119.0;3262.0;276.0;2986.0
196;Zuidwest-Overijssel;1995;2297.0;17.0;158.0;2139.0;1227.0;26.0;10.0;895.0;59.0;837.0
197;Zuidwest-Overijssel;1996;2388.0;18.0;178.0;2209.0;1261.0;27.0;17.0;938.0;60.0;878.0
198;Zuidwest-Overijssel;1997;2471.07;18.72;194.89;2276.18;1301.08;27.55;17.4;964.95;62.24;902.71
199;Zuidwest-Overijssel;1998;2570.38;19.26;206.33;2364.05;1358.12;27.21;26.45;1005.17;65.15;940.02
200;Zuidwest-Overijssel;1999;2747.0;20.0;221.0;2526.0;1462.0;29.0;24.0;1059.0;82.0;976.0
201;Zuidwest-Overijssel;2000;2924.0;21.0;227.0;2697.0;1556.0;33.0;25.0;1132.0;95.0;1038.0
202;Zuidwest-Overijssel;2001;3097.0;21.0;254.0;2843.0;1669.0;36.0;30.0;1168.0;103.0;1065.0
203;Twente;1995;9334.0;16.0;641.0;8693.0;5022.0;99.0;28.0;3600.0;238.0;3362.0
204;Twente;1996;9764.0;17.0;730.0;9034.0;5164.0;104.0;51.0;3818.0;246.0;3571.0
205;Twente;1997;10113.31;17.13;797.61;9315.7;5307.37;105.53;54.17;3956.98;254.74;3702.24
206;Twente;1998;10508.04;17.73;843.51;9664.54;5646.55;107.38;94.27;4004.87;266.32;3738.55
207;Twente;1999;11066.0;18.0;889.0;10177.0;5986.0;123.0;120.0;4187.0;332.0;3855.0
208;Twente;2000;11936.0;20.0;927.0;11010.0;6456.0;132.0;128.0;4549.0;387.0;4162.0
209;Twente;2001;12926.0;21.0;1058.0;11868.0;7054.0;149.0;152.0;4817.0;431.0;4386.0
210;Veluwe;1995;10488.0;17.0;721.0;9767.0;5878.0;134.0;42.0;3798.0;268.0;3531.0
211;Veluwe;1996;10933.0;18.0;817.0;10116.0;6040.0;138.0;76.0;4015.0;276.0;3739.0
212;Veluwe;1997;11738.66;18.88;925.8;10812.86;6345.67;140.48;78.01;4404.72;295.68;4109.04
213;Veluwe;1998;12433.78;19.94;998.09;11435.69;6793.67;145.41;122.24;4618.84;315.13;4303.71
214;Veluwe;1999;13071.0;21.0;1050.0;12021.0;7219.0;158.0;106.0;4750.0;393.0;4358.0
215;Veluwe;2000;13903.0;22.0;1080.0;12823.0;7714.0;171.0;110.0;5049.0;451.0;4598.0
216;Veluwe;2001;14849.0;23.0;1216.0;13633.0;8227.0;183.0;125.0;5348.0;495.0;4853.0
217;Achterhoek;1995;5877.0;16.0;404.0;5473.0;2957.0;80.0;20.0;2455.0;150.0;2306.0
218;Achterhoek;1996;6063.0;16.0;453.0;5610.0;3057.0;83.0;37.0;2507.0;153.0;2354.0
219;Achterhoek;1997;6474.19;17.32;510.6;5963.58;3237.23;86.46;33.61;2673.5;163.07;2510.43
220;Achterhoek;1998;6743.13;17.96;541.29;6201.84;3467.05;85.96;64.49;2713.33;170.9;2542.42
221;Achterhoek;1999;6956.0;18.0;559.0;6397.0;3616.0;93.0;75.0;2764.0;209.0;2555.0
222;Achterhoek;2000;7359.0;19.0;571.0;6788.0;3841.0;100.0;77.0;2923.0;239.0;2684.0
223;Achterhoek;2001;7672.0;20.0;628.0;7044.0;4051.0;111.0;86.0;2969.0;256.0;2713.0
224;Aggl. Arnhem/Nijmegen;1995;12205.0;18.0;839.0;11367.0;6299.0;119.0;47.0;4996.0;311.0;4685.0
225;Aggl. Arnhem/Nijmegen;1996;12607.0;19.0;942.0;11665.0;6512.0;126.0;77.0;5104.0;318.0;4786.0
226;Aggl. Arnhem/Nijmegen;1997;13044.93;19.21;1028.82;12016.11;6887.78;128.21;118.78;5118.89;328.58;4790.31
227;Aggl. Arnhem/Nijmegen;1998;13966.22;20.45;1121.1;12845.12;7322.6;132.04;130.11;5520.59;353.97;5166.62
228;Aggl. Arnhem/Nijmegen;1999;14616.0;21.0;1174.0;13442.0;7845.0;145.0;127.0;5579.0;439.0;5140.0
