ID;Zorgvormen;RegioS;Perioden;JongerenMetKostenZvwGGZ_1;GedeclareerdeEnToegekendeKosten_2
68;Totaal alle vormen;Oost-Groningen (CR);2011;3190.0;10906.0
69;Totaal alle vormen;Oost-Groningen (CR);2012;3100.0;10311.0
70;Totaal alle vormen;Oost-Groningen (CR);2013;3100.0;9846.0
71;Totaal alle vormen;Oost-Groningen (CR);2014;2660.0;6719.0
72;Totaal alle vormen;Delfzijl en omgeving (CR);2011;930.0;3784.0
73;Totaal alle vormen;Delfzijl en omgeving (CR);2012;1000.0;3580.0
74;Totaal alle vormen;Delfzijl en omgeving (CR);2013;975.0;3350.0
75;Totaal alle vormen;Delfzijl en omgeving (CR);2014;835.0;2040.0
76;Totaal alle vormen;Overig Groningen (CR);2011;7115.0;24356.0
77;Totaal alle vormen;Overig Groningen (CR);2012;6960.0;23436.0
78;Totaal alle vormen;Overig Groningen (CR);2013;6965.0;23662.0
79;Totaal alle vormen;Overig Groningen (CR);2014;5815.0;13997.0
80;Totaal alle vormen;Noord-Friesland (CR);2011;5240.0;17666.0
81;Totaal alle vormen;Noord-Friesland (CR);2012;5380.0;17758.0
82;Totaal alle vormen;Noord-Friesland (CR);2013;5220.0;17539.0
83;Totaal alle vormen;Noord-Friesland (CR);2014;4280.0;10485.0
84;Totaal alle vormen;Zuidwest-Friesland (CR);2011;1575.0;5244.0
85;Totaal alle vormen;Zuidwest-Friesland (CR);2012;1560.0;4480.0
86;Totaal alle vormen;Zuidwest-Friesland (CR);2013;1465.0;4590.0
87;Totaal alle vormen;Zuidwest-Friesland (CR);2014;1725.0;5022.0
88;Totaal alle vormen;Zuidoost-Friesland (CR);2011;3900.0;13008.0
89;Totaal alle vormen;Zuidoost-Friesland (CR);2012;3860.0;12275.0
90;Totaal alle vormen;Zuidoost-Friesland (CR);2013;3745.0;12893.0
91;Totaal alle vormen;Zuidoost-Friesland (CR);2014;2920.0;7886.0
92;Totaal alle vormen;Noord-Drenthe (CR);2011;4300.0;16533.0
93;Totaal alle vormen;Noord-Drenthe (CR);2012;4245.0;15522.0
94;Totaal alle vormen;Noord-Drenthe (CR);2013;4165.0;15194.0
95;Totaal alle vormen;Noord-Drenthe (CR);2014;3405.0;9139.0
96;Totaal alle vormen;Zuidoost-Drenthe (CR);2011;3130.0;12010.0
97;Totaal alle vormen;Zuidoost-Drenthe (CR);2012;3260.0;11743.0
98;Totaal alle vormen;Zuidoost-Drenthe (CR);2013;3290.0;11181.0
99;Totaal alle vormen;Zuidoost-Drenthe (CR);2014;2695.0;6321.0
100;Totaal alle vormen;Zuidwest-Drenthe (CR);2011;2825.0;9967.0
101;Totaal alle vormen;Zuidwest-Drenthe (CR);2012;2815.0;8268.0
102;Totaal alle vormen;Zuidwest-Drenthe (CR);2013;2865.0;7550.0
103;Totaal alle vormen;Zuidwest-Drenthe (CR);2014;2270.0;4837.0
104;Totaal alle vormen;Noord-Overijssel (CR);2011;5745.0;20582.0
105;Totaal alle vormen;Noord-Overijssel (CR);2012;5990.0;18383.0
106;Totaal alle vormen;Noord-Overijssel (CR);2013;5980.0;19551.0
107;Totaal alle vormen;Noord-Overijssel (CR);2014;5120.0;11799.0
108;Totaal alle vormen;Zuidwest-Overijssel (CR);2011;2590.0;8044.0
109;Totaal alle vormen;Zuidwest-Overijssel (CR);2012;2570.0;7387.0
110;Totaal alle vormen;Zuidwest-Overijssel (CR);2013;2510.0;8261.0
111;Totaal alle vormen;Zuidwest-Overijssel (CR);2014;2205.0;5389.0
112;Totaal alle vormen;Twente (CR);2011;8535.0;30610.0
113;Totaal alle vormen;Twente (CR);2012;8585.0;27231.0
114;Totaal alle vormen;Twente (CR);2013;8750.0;28998.0
115;Totaal alle vormen;Twente (CR);2014;6910.0;17767.0
116;Totaal alle vormen;Veluwe (CR);2011;10630.0;33075.0
117;Totaal alle vormen;Veluwe (CR);2012;10840.0;29764.0
118;Totaal alle vormen;Veluwe (CR);2013;10610.0;31187.0
119;Totaal alle vormen;Veluwe (CR);2014;8435.0;20538.0
120;Totaal alle vormen;Achterhoek (CR);2011;6525.0;19836.0
121;Totaal alle vormen;Achterhoek (CR);2012;6505.0;18529.0
122;Totaal alle vormen;Achterhoek (CR);2013;6360.0;18262.0
123;Totaal alle vormen;Achterhoek (CR);2014;4940.0;10847.0
124;Totaal alle vormen;Arnhem/Nijmegen (CR);2011;11200.0;37528.0
125;Totaal alle vormen;Arnhem/Nijmegen (CR);2012;11090.0;33506.0
126;Totaal alle vormen;Arnhem/Nijmegen (CR);2013;11220.0;32915.0
127;Totaal alle vormen;Arnhem/Nijmegen (CR);2014;8975.0;21392.0
128;Totaal alle vormen;Zuidwest-Gelderland (CR);2011;4170.0;9602.0
129;Totaal alle vormen;Zuidwest-Gelderland (CR);2012;4160.0;10282.0
130;Totaal alle vormen;Zuidwest-Gelderland (CR);2013;4015.0;10339.0
131;Totaal alle vormen;Zuidwest-Gelderland (CR);2014;3015.0;6416.0
132;Totaal alle vormen;Utrecht (CR);2011;20820.0;56832.0
133;Totaal alle vormen;Utrecht (CR);2012;21145.0;60228.0
134;Totaal alle vormen;Utrecht (CR);2013;20615.0;56936.0
135;Totaal alle vormen;Utrecht (CR);2014;16105.0;37074.0
136;Totaal alle vormen;Kop van Noord-Holland (CR);2011;6150.0;18280.0
137;Totaal alle vormen;Kop van Noord-Holland (CR);2012;6345.0;20439.0
138;Totaal alle vormen;Kop van Noord-Holland (CR);2013;6335.0;18115.0
139;Totaal alle vormen;Kop van Noord-Holland (CR);2014;5150.0;11481.0
140;Totaal alle vormen;Alkmaar en omgeving (CR);2011;3855.0;13335.0
141;Totaal alle vormen;Alkmaar en omgeving (CR);2012;3765.0;11790.0
142;Totaal alle vormen;Alkmaar en omgeving (CR);2013;3780.0;12078.0
143;Totaal alle vormen;Alkmaar en omgeving (CR);2014;2940.0;7464.0
144;Totaal alle vormen;IJmond (CR);2011;3170.0;9209.0
145;Totaal alle vormen;IJmond (CR);2012;3150.0;9241.0
146;Totaal alle vormen;IJmond (CR);2013;3125.0;9340.0
147;Totaal alle vormen;IJmond (CR);2014;2515.0;5831.0
148;Totaal alle vormen;Agglomeratie Haarlem (CR);2011;3275.0;9821.0
149;Totaal alle vormen;Agglomeratie Haarlem (CR);2012;3265.0;9824.0
150;Totaal alle vormen;Agglomeratie Haarlem (CR);2013;3225.0;9078.0
151;Totaal alle vormen;Agglomeratie Haarlem (CR);2014;2640.0;6082.0
152;Totaal alle vormen;Zaanstreek (CR);2011;2765.0;9574.0
153;Totaal alle vormen;Zaanstreek (CR);2012;2915.0;8908.0
154;Totaal alle vormen;Zaanstreek (CR);2013;3080.0;11061.0
155;Totaal alle vormen;Zaanstreek (CR);2014;2550.0;6364.0
156;Totaal alle vormen;Groot-Amsterdam (CR);2011;17605.0;59356.0
157;Totaal alle vormen;Groot-Amsterdam (CR);2012;17205.0;57586.0
158;Totaal alle vormen;Groot-Amsterdam (CR);2013;18010.0;60801.0
159;Totaal alle vormen;Groot-Amsterdam (CR);2014;14260.0;37185.0
160;Totaal alle vormen;Het Gooi en Vechtstreek (CR);2011;4105.0;8658.0
161;Totaal alle vormen;Het Gooi en Vechtstreek (CR);2012;4090.0;8880.0
162;Totaal alle vormen;Het Gooi en Vechtstreek (CR);2013;4095.0;9734.0
163;Totaal alle vormen;Het Gooi en Vechtstreek (CR);2014;3300.0;6501.0
164;Totaal alle vormen;Agglomeratie Leiden en Bollenstreek (CR);2011;6770.0;21932.0
165;Totaal alle vormen;Agglomeratie Leiden en Bollenstreek (CR);2012;7065.0;20849.0
166;Totaal alle vormen;Agglomeratie Leiden en Bollenstreek (CR);2013;6975.0;24696.0
167;Totaal alle vormen;Agglomeratie Leiden en Bollenstreek (CR);2014;5870.0;13558.0
168;Totaal alle vormen;Agglomeratie 's-Gravenhage (CR);2011;11925.0;37355.0
169;Totaal alle vormen;Agglomeratie 's-Gravenhage (CR);2012;12140.0;39356.0
170;Totaal alle vormen;Agglomeratie 's-Gravenhage (CR);2013;11535.0;40411.0
171;Totaal alle vormen;Agglomeratie 's-Gravenhage (CR);2014;10020.0;28641.0
172;Totaal alle vormen;Delft en Westland (CR);2011;3530.0;10567.0
173;Totaal alle vormen;Delft en Westland (CR);2012;3335.0;9937.0
174;Totaal alle vormen;Delft en Westland (CR);2013;3070.0;10553.0
175;Totaal alle vormen;Delft en Westland (CR);2014;2415.0;6273.0
176;Totaal alle vormen;Oost-Zuid-Holland (CR);2011;4795.0;15820.0
177;Totaal alle vormen;Oost-Zuid-Holland (CR);2012;4625.0;14974.0
178;Totaal alle vormen;Oost-Zuid-Holland (CR);2013;4660.0;17376.0
179;Totaal alle vormen;Oost-Zuid-Holland (CR);2014;3820.0;11014.0
180;Totaal alle vormen;Groot-Rijnmond (CR);2011;20585.0;69219.0
181;Totaal alle vormen;Groot-Rijnmond (CR);2012;20025.0;62711.0
182;Totaal alle vormen;Groot-Rijnmond (CR);2013;19210.0;66349.0
183;Totaal alle vormen;Groot-Rijnmond (CR);2014;16655.0;43327.0
184;Totaal alle vormen;Zuidoost-Zuid-Holland (CR);2011;6505.0;21150.0
185;Totaal alle vormen;Zuidoost-Zuid-Holland (CR);2012;6705.0;19872.0
186;Totaal alle vormen;Zuidoost-Zuid-Holland (CR);2013;6845.0;21453.0
187;Totaal alle vormen;Zuidoost-Zuid-Holland (CR);2014;5420.0;13516.0
188;Totaal alle vormen;Zeeuwsch-Vlaanderen (CR);2011;1435.0;4318.0
189;Totaal alle vormen;Zeeuwsch-Vlaanderen (CR);2012;1435.0;3471.0
190;Totaal alle vormen;Zeeuwsch-Vlaanderen (CR);2013;1470.0;4014.0
191;Totaal alle vormen;Zeeuwsch-Vlaanderen (CR);2014;1045.0;2404.0
192;Totaal alle vormen;Overig Zeeland (CR);2011;3540.0;11639.0
193;Totaal alle vormen;Overig Zeeland (CR);2012;3870.0;11551.0
194;Totaal alle vormen;Overig Zeeland (CR);2013;3970.0;13369.0
195;Totaal alle vormen;Overig Zeeland (CR);2014;2895.0;7965.0
196;Totaal alle vormen;West-Noord-Brabant (CR);2011;8435.0;25472.0
197;Totaal alle vormen;West-Noord-Brabant (CR);2012;8450.0;23961.0
198;Totaal alle vormen;West-Noord-Brabant (CR);2013;8275.0;25665.0
199;Totaal alle vormen;West-Noord-Brabant (CR);2014;6245.0;15641.0
200;Totaal alle vormen;Midden-Noord-Brabant (CR);2011;6430.0;17280.0
201;Totaal alle vormen;Midden-Noord-Brabant (CR);2012;6315.0;18300.0
202;Totaal alle vormen;Midden-Noord-Brabant (CR);2013;6050.0;19275.0
203;Totaal alle vormen;Midden-Noord-Brabant (CR);2014;4720.0;12314.0
204;Totaal alle vormen;Noordoost-Noord-Brabant (CR);2011;12675.0;33232.0
205;Totaal alle vormen;Noordoost-Noord-Brabant (CR);2012;11855.0;29566.0
206;Totaal alle vormen;Noordoost-Noord-Brabant (CR);2013;11345.0;31716.0
207;Totaal alle vormen;Noordoost-Noord-Brabant (CR);2014;8740.0;20097.0
208;Totaal alle vormen;Zuidoost-Noord-Brabant (CR);2011;11780.0;33638.0
209;Totaal alle vormen;Zuidoost-Noord-Brabant (CR);2012;11740.0;33913.0
210;Totaal alle vormen;Zuidoost-Noord-Brabant (CR);2013;11460.0;34452.0
211;Totaal alle vormen;Zuidoost-Noord-Brabant (CR);2014;9345.0;20984.0
212;Totaal alle vormen;Noord-Limburg (CR);2011;3950.0;14189.0
213;Totaal alle vormen;Noord-Limburg (CR);2012;4000.0;14140.0
214;Totaal alle vormen;Noord-Limburg (CR);2013;3915.0;16418.0
215;Totaal alle vormen;Noord-Limburg (CR);2014;3125.0;10744.0
216;Totaal alle vormen;Midden-Limburg (CR);2011;3510.0;12464.0
217;Totaal alle vormen;Midden-Limburg (CR);2012;3395.0;11672.0
218;Totaal alle vormen;Midden-Limburg (CR);2013;3270.0;12611.0
219;Totaal alle vormen;Midden-Limburg (CR);2014;2415.0;8557.0
220;Totaal alle vormen;Zuid-Limburg (CR);2011;9895.0;33327.0
221;Totaal alle vormen;Zuid-Limburg (CR);2012;9390.0;30949.0
222;Totaal alle vormen;Zuid-Limburg (CR);2013;8900.0;30834.0
223;Totaal alle vormen;Zuid-Limburg (CR);2014;7080.0;19197.0
224;Totaal alle vormen;Flevoland (CR);2011;8365.0;25391.0
225;Totaal alle vormen;Flevoland (CR);2012;8050.0;23377.0
226;Totaal alle vormen;Flevoland (CR);2013;7795.0;24676.0
227;Totaal alle vormen;Flevoland (CR);2014;6395.0;14476.0
228;Totaal alle vormen;Geen stadsgewest (SG);2011;122670.0;379316.0
229;Totaal alle vormen;Geen stadsgewest (SG);2012;122820.0;362344.0
230;Totaal alle vormen;Geen stadsgewest (SG);2013;120880.0;373619.0
231;Totaal alle vormen;Geen stadsgewest (SG);2014;96520.0;236728.0
232;Totaal alle vormen;Groningen (SG);2011;6325.0;21629.0
233;Totaal alle vormen;Groningen (SG);2012;6195.0;20526.0
234;Totaal alle vormen;Groningen (SG);2013;6085.0;19930.0
235;Totaal alle vormen;Groningen (SG);2014;5070.0;12539.0
236;Totaal alle vormen;Leeuwarden (SG);2011;2650.0;9902.0
237;Totaal alle vormen;Leeuwarden (SG);2012;2715.0;9252.0
238;Totaal alle vormen;Leeuwarden (SG);2013;2575.0;9539.0
239;Totaal alle vormen;Leeuwarden (SG);2014;2325.0;5524.0
240;Totaal alle vormen;Zwolle (SG);2011;2885.0;11831.0
241;Totaal alle vormen;Zwolle (SG);2012;3035.0;10165.0
242;Totaal alle vormen;Zwolle (SG);2013;3080.0;10638.0
243;Totaal alle vormen;Zwolle (SG);2014;2670.0;5988.0
244;Totaal alle vormen;Enschede (SG);2011;4165.0;15938.0
245;Totaal alle vormen;Enschede (SG);2012;4190.0;14485.0
246;Totaal alle vormen;Enschede (SG);2013;4275.0;15886.0
247;Totaal alle vormen;Enschede (SG);2014;3285.0;8908.0
248;Totaal alle vormen;Apeldoorn (SG);2011;3510.0;9824.0
249;Totaal alle vormen;Apeldoorn (SG);2012;3595.0;10232.0
250;Totaal alle vormen;Apeldoorn (SG);2013;3605.0;9922.0
251;Totaal alle vormen;Apeldoorn (SG);2014;2660.0;5843.0
252;Totaal alle vormen;Arnhem (SG);2011;5530.0;19489.0
253;Totaal alle vormen;Arnhem (SG);2012;5475.0;16963.0
254;Totaal alle vormen;Arnhem (SG);2013;5635.0;17805.0
255;Totaal alle vormen;Arnhem (SG);2014;4630.0;11657.0
256;Totaal alle vormen;Nijmegen (SG);2011;4420.0;14558.0
257;Totaal alle vormen;Nijmegen (SG);2012;4350.0;13077.0
258;Totaal alle vormen;Nijmegen (SG);2013;4275.0;12012.0
259;Totaal alle vormen;Nijmegen (SG);2014;3335.0;7403.0
260;Totaal alle vormen;Amersfoort (SG);2011;5395.0;14110.0
261;Totaal alle vormen;Amersfoort (SG);2012;5410.0;15232.0
262;Totaal alle vormen;Amersfoort (SG);2013;5430.0;15011.0
263;Totaal alle vormen;Amersfoort (SG);2014;4285.0;10569.0
264;Totaal alle vormen;Utrecht (SG);2011;10140.0;26661.0
265;Totaal alle vormen;Utrecht (SG);2012;10500.0;28969.0
266;Totaal alle vormen;Utrecht (SG);2013;10105.0;27048.0
267;Totaal alle vormen;Utrecht (SG);2014;7900.0;17653.0
268;Totaal alle vormen;Amsterdam (SG);2011;23250.0;78873.0
269;Totaal alle vormen;Amsterdam (SG);2012;22905.0;74714.0
270;Totaal alle vormen;Amsterdam (SG);2013;23855.0;81210.0
271;Totaal alle vormen;Amsterdam (SG);2014;19070.0;48615.0
272;Totaal alle vormen;Haarlem (SG);2011;6445.0;19030.0
273;Totaal alle vormen;Haarlem (SG);2012;6415.0;19065.0
274;Totaal alle vormen;Haarlem (SG);2013;6345.0;18418.0
275;Totaal alle vormen;Haarlem (SG);2014;5160.0;11913.0
276;Totaal alle vormen;Leiden (SG);2011;5715.0;19076.0
277;Totaal alle vormen;Leiden (SG);2012;5920.0;17436.0
278;Totaal alle vormen;Leiden (SG);2013;5795.0;20353.0
279;Totaal alle vormen;Leiden (SG);2014;4885.0;11146.0
280;Totaal alle vormen;'s-Gravenhage (SG);2011;15455.0;47922.0
281;Totaal alle vormen;'s-Gravenhage (SG);2012;15475.0;49293.0
282;Totaal alle vormen;'s-Gravenhage (SG);2013;14605.0;50963.0
283;Totaal alle vormen;'s-Gravenhage (SG);2014;12435.0;34914.0
284;Totaal alle vormen;Rotterdam (SG);2011;16415.0;56576.0
285;Totaal alle vormen;Rotterdam (SG);2012;15840.0;50979.0
286;Totaal alle vormen;Rotterdam (SG);2013;15195.0;54170.0
287;Totaal alle vormen;Rotterdam (SG);2014;13260.0;35041.0
288;Totaal alle vormen;Dordrecht (SG);2011;4700.0;16356.0
289;Totaal alle vormen;Dordrecht (SG);2012;4790.0;14318.0
290;Totaal alle vormen;Dordrecht (SG);2013;4905.0;15721.0
291;Totaal alle vormen;Dordrecht (SG);2014;3885.0;9882.0
292;Totaal alle vormen;Breda (SG);2011;4145.0;12028.0
293;Totaal alle vormen;Breda (SG);2012;4105.0;11468.0
294;Totaal alle vormen;Breda (SG);2013;4005.0;12696.0
295;Totaal alle vormen;Breda (SG);2014;3150.0;7942.0
296;Totaal alle vormen;Tilburg (SG);2011;4120.0;10830.0
297;Totaal alle vormen;Tilburg (SG);2012;3925.0;11752.0
298;Totaal alle vormen;Tilburg (SG);2013;3770.0;12063.0
299;Totaal alle vormen;Tilburg (SG);2014;3030.0;7892.0
300;Totaal alle vormen;'s-Hertogenbosch (SG);2011;3730.0;9834.0
301;Totaal alle vormen;'s-Hertogenbosch (SG);2012;3320.0;8349.0
302;Totaal alle vormen;'s-Hertogenbosch (SG);2013;3250.0;9761.0
303;Totaal alle vormen;'s-Hertogenbosch (SG);2014;2520.0;6541.0
304;Totaal alle vormen;Eindhoven (SG);2011;6240.0;18373.0
305;Totaal alle vormen;Eindhoven (SG);2012;6110.0;18966.0
306;Totaal alle vormen;Eindhoven (SG);2013;5975.0;19489.0
307;Totaal alle vormen;Eindhoven (SG);2014;4965.0;12057.0
308;Totaal alle vormen;Geleen/Sittard (SG);2011;2755.0;10714.0
309;Totaal alle vormen;Geleen/Sittard (SG);2012;2645.0;9558.0
310;Totaal alle vormen;Geleen/Sittard (SG);2013;2490.0;9885.0
311;Totaal alle vormen;Geleen/Sittard (SG);2014;2000.0;5963.0
312;Totaal alle vormen;Heerlen (SG);2011;3710.0;14134.0
313;Totaal alle vormen;Heerlen (SG);2012;3545.0;13360.0
314;Totaal alle vormen;Heerlen (SG);2013;3475.0;12875.0
315;Totaal alle vormen;Heerlen (SG);2014;2895.0;7880.0
316;Totaal alle vormen;Maastricht (SG);2011;3100.0;7809.0
317;Totaal alle vormen;Maastricht (SG);2012;2890.0;7450.0
318;Totaal alle vormen;Maastricht (SG);2013;2640.0;7313.0
319;Totaal alle vormen;Maastricht (SG);2014;1950.0;4685.0
320;Totaal alle vormen;Geen grootstedelijke agglomeratie (GA);2011;172630.0;532348.0
321;Totaal alle vormen;Geen grootstedelijke agglomeratie (GA);2012;172510.0;508795.0
322;Totaal alle vormen;Geen grootstedelijke agglomeratie (GA);2013;169695.0;527935.0
323;Totaal alle vormen;Geen grootstedelijke agglomeratie (GA);2014;135945.0;333843.0
324;Totaal alle vormen;Groningen (GA);2011;3275.0;11805.0
325;Totaal alle vormen;Groningen (GA);2012;3200.0;10836.0
326;Totaal alle vormen;Groningen (GA);2013;3175.0;10259.0
327;Totaal alle vormen;Groningen (GA);2014;2710.0;6850.0
328;Totaal alle vormen;Leeuwarden (GA);2011;1525.0;6121.0
329;Totaal alle vormen;Leeuwarden (GA);2012;1570.0;5529.0
330;Totaal alle vormen;Leeuwarden (GA);2013;1435.0;5481.0
331;Totaal alle vormen;Leeuwarden (GA);2014;1425.0;3640.0
332;Totaal alle vormen;Zwolle (GA);2011;2045.0;8911.0
333;Totaal alle vormen;Zwolle (GA);2012;2160.0;7312.0
334;Totaal alle vormen;Zwolle (GA);2013;2175.0;7775.0
335;Totaal alle vormen;Zwolle (GA);2014;1895.0;4269.0
336;Totaal alle vormen;Enschede (GA);2011;1910.0;8168.0
337;Totaal alle vormen;Enschede (GA);2012;1935.0;7250.0
338;Totaal alle vormen;Enschede (GA);2013;1980.0;8298.0
339;Totaal alle vormen;Enschede (GA);2014;1495.0;4225.0
340;Totaal alle vormen;Apeldoorn (GA);2011;2750.0;7163.0
341;Totaal alle vormen;Apeldoorn (GA);2012;2835.0;7932.0
342;Totaal alle vormen;Apeldoorn (GA);2013;2860.0;7342.0
343;Totaal alle vormen;Apeldoorn (GA);2014;2030.0;4132.0
344;Totaal alle vormen;Arnhem (GA);2011;2025.0;7323.0
345;Totaal alle vormen;Arnhem (GA);2012;2000.0;6773.0
346;Totaal alle vormen;Arnhem (GA);2013;2080.0;6901.0
347;Totaal alle vormen;Arnhem (GA);2014;1725.0;4221.0
348;Totaal alle vormen;Nijmegen (GA);2011;2355.0;8149.0
349;Totaal alle vormen;Nijmegen (GA);2012;2225.0;6945.0
350;Totaal alle vormen;Nijmegen (GA);2013;2260.0;6374.0
351;Totaal alle vormen;Nijmegen (GA);2014;1745.0;3741.0
352;Totaal alle vormen;Amersfoort (GA);2011;3525.0;9109.0
353;Totaal alle vormen;Amersfoort (GA);2012;3450.0;9951.0
354;Totaal alle vormen;Amersfoort (GA);2013;3525.0;10163.0
355;Totaal alle vormen;Amersfoort (GA);2014;2795.0;6834.0
356;Totaal alle vormen;Utrecht (GA);2011;7045.0;18747.0
357;Totaal alle vormen;Utrecht (GA);2012;7310.0;20117.0
358;Totaal alle vormen;Utrecht (GA);2013;6970.0;18774.0
359;Totaal alle vormen;Utrecht (GA);2014;5580.0;11974.0
360;Totaal alle vormen;Amsterdam (GA);2011;14360.0;50952.0
361;Totaal alle vormen;Amsterdam (GA);2012;14165.0;48551.0
362;Totaal alle vormen;Amsterdam (GA);2013;15060.0;53264.0
363;Totaal alle vormen;Amsterdam (GA);2014;11710.0;31594.0
364;Totaal alle vormen;Haarlem (GA);2011;3025.0;9068.0
365;Totaal alle vormen;Haarlem (GA);2012;2985.0;9004.0
366;Totaal alle vormen;Haarlem (GA);2013;2950.0;8197.0
367;Totaal alle vormen;Haarlem (GA);2014;2425.0;5613.0
368;Totaal alle vormen;Leiden (GA);2011;4115.0;14165.0
369;Totaal alle vormen;Leiden (GA);2012;4215.0;13062.0
370;Totaal alle vormen;Leiden (GA);2013;4105.0;15108.0
371;Totaal alle vormen;Leiden (GA);2014;3485.0;8250.0
372;Totaal alle vormen;'s-Gravenhage (GA);2011;8500.0;27754.0
373;Totaal alle vormen;'s-Gravenhage (GA);2012;8520.0;28715.0
374;Totaal alle vormen;'s-Gravenhage (GA);2013;8065.0;29247.0
375;Totaal alle vormen;'s-Gravenhage (GA);2014;7175.0;20502.0
376;Totaal alle vormen;Rotterdam (GA);2011;13770.0;48041.0
