ID;Periods;Voters_1;Turnout_2;TotalVotesCast_3;InvalidVotes_4;Total_5;AR_6;CHU_7;RKSt_8;KVP_9;CDA_10;GPV_11;RPF_12;CU_13;SGP_14;D66_15;DS70_16;CPN_17;PSP_18;PPR_19;EVP_20;GL_21;CDU_22;SDAP_23;VD_24;PvdA_25;BP_26;SP_27;PvdV_28;VVD_29;AOV_30;CD_31;LN_32;LPF_33;GWPvdV_34;PvdD_35;Other_36;Total_37;AR_38;CHU_39;RKSt_40;KVP_41;CDA_42;GPV_43;RPF_44;CU_45;SGP_46;D66_47;DS70_48;CPN_49;PSP_50;PPR_51;EVP_52;GL_53;CDU_54;SDAP_55;VD_56;PvdA_57;BP_58;SP_59;PvdV_60;VVD_61;AOV_62;CD_63;LN_64;LPF_65;GWPvdV_66;PvdD_67;Other_68
10;1959;6427864;95.6;6143409.0;143878.0;5999531;9.4;8.1;;31.6;;0.7;;;2.2;;;2.4;1.8;;;;;;;30.4;0.7;;;12.2;;;;;;;0.6;150;14.0;12.0;;49.0;;0.0;;;3;;;3.0;2.0;;;;;;;48.0;0.0;;;19.0;;;;;;;0
11;1963;6748611;95.1;6419964.0;161443.0;6258521;8.7;8.6;;31.9;;0.7;;;2.3;;;2.8;3.0;;;;;;;28.0;2.1;;;10.3;;;;;;;1.6;150;13.0;13.0;;50.0;;1.0;;;3;;;4.0;4.0;;;;;;;43.0;3.0;;;16.0;;;;;;;0
12;1967;7452776;94.9;7076328.0;198298.0;6878030;9.9;8.1;;26.5;;0.9;;;2.0;4.5;;3.6;2.9;;;;;;;23.6;4.8;;;10.7;;;;;;;2.6;150;15.0;12.0;;42.0;;1.0;;;3;7.0;;5.0;4.0;;;;;;;37.0;7.0;;;17.0;;;;;;;0
13;1971;8048726;79.1;6364719.0;46567.0;6318152;8.6;6.3;;21.8;;1.6;;;2.3;6.8;5.3;3.9;1.4;1.8;;;;;;24.6;1.1;;;10.3;;;;;;;4.0;150;13.0;10.0;;35.0;;2.0;;;3;11.0;8.0;6.0;2.0;2.0;;;;;;39.0;1.0;;;16.0;;;;;;;2
14;1972;8916947;83.5;7445287.0;51242.0;7394045;8.8;4.8;;17.7;;1.8;;;2.2;4.2;4.1;4.5;1.5;4.8;;;;;;27.3;1.9;;;14.4;;;;;;;2.0;150;14.0;7.0;;27.0;;2.0;;;3;6.0;6.0;7.0;2.0;7.0;;;;;;43.0;3.0;;;22.0;;;;;;;1
15;1977;9506318;88.0;8365829.0;48217.0;8317612;;;;;31.9;1.0;0.6;;2.1;5.4;0.7;1.7;0.9;1.7;;;;;;33.8;0.8;0.3;;17.9;;0.4;;;;;0.6;150;;;;;49.0;1.0;0.0;;3;8.0;1.0;2.0;1.0;3.0;;;;;;53.0;1.0;0.0;;28.0;;0.0;;;;;0
16;1981;10040121;87.0;8738238.0;47401.0;8690837;;;;;30.8;0.8;1.2;;2.0;11.1;0.6;2.1;2.1;2.0;0.5;;;;;28.3;0.2;0.3;;17.3;;0.3;;;;;0.5;150;;;;;48.0;1.0;2.0;;3;17.0;0.0;3.0;3.0;3.0;0.0;;;;;44.0;0.0;0.0;;26.0;;0.0;;;;;0
17;1982;10216627;81.0;8273631.0;37115.0;8236516;;;;;29.4;0.8;1.5;;1.9;4.3;0.4;1.8;2.3;1.7;0.7;;;;;30.4;0.3;0.5;;23.1;;0.9;;;;;0.2;150;;;;;45.0;1.0;2.0;;3;6.0;0.0;3.0;3.0;2.0;1.0;;;;;47.0;0.0;0.0;;36.0;;1.0;;;;;0
18;1986;10727701;85.8;9199621.0;27462.0;9172159;;;;;34.6;1.0;0.9;;1.7;6.1;;0.6;1.2;1.3;0.2;;;;;33.3;;0.4;;17.4;;0.5;;;;;0.8;150;;;;;54.0;1.0;1.0;;3;9.0;;0.0;1.0;2.0;0.0;;;;;52.0;;0.0;;27.0;;0.0;;;;;0
19;1989;11112189;80.3;8919787.0;26485.0;8893302;;;;;35.3;1.2;1.0;;1.9;7.9;;;;;;4.1;;;;31.9;;0.4;;14.6;;0.9;;;;;0.9;150;;;;;54.0;2.0;1.0;;3;12.0;;;;;;6.0;;;;49.0;;0.0;;22.0;;1.0;;;;;0
20;1994;11455924;78.8;9027887.0;46331.0;8981556;;;;;22.2;1.3;1.8;;1.7;15.5;;;;;;3.5;;;;24.0;;1.3;;20.0;4.5;2.8;;;;;1.4;150;;;;;34.0;2.0;3.0;;2;24.0;;;;;;5.0;;;;37.0;;2.0;;31.0;7.0;3.0;;;;;0
21;1998;11755132;73.3;8622222.0;14435.0;8607787;;;;;18.4;1.3;2.0;;1.8;9.0;;;;;;7.3;;;;29.0;;3.5;;24.7;1.0;0.6;;;;;1.5;150;;;;;29.0;2.0;3.0;;3;14.0;;;;;;11.0;;;;45.0;;5.0;;38.0;0.0;0.0;;;;;0
22;2002;12035935;79.1;9515226.0;14074.0;9501152;;;;;27.9;;;2.5;1.7;5.1;;;;;;7.0;;;;15.1;;5.9;;15.4;;;1.6;17.0;;;0.7;150;;;;;43.0;;;4.0;2;7.0;;;;;;10.0;;;;23.0;;9.0;;24.0;;;2.0;26.0;;;0
23;2003;12076711;80.0;9666602.0;12127.0;9654475;;;;;28.6;;;2.1;1.6;4.1;;;;;;5.1;;;;27.3;;6.3;;17.9;;;0.4;5.7;;0.5;0.4;150;;;;;44.0;;;3.0;2;6.0;;;;;;8.0;;;;42.0;;9.0;;28.0;;;0.0;8.0;;0.0;0
24;2006;12264503;80.4;9854998.0;16315.0;9838683;;;;;26.5;;;4.0;1.6;2.0;;;;;;4.6;;;;21.2;;16.6;;14.7;;;;;5.9;1.8;1.2;150;;;;;41.0;;;6.0;2;3.0;;;;;;7.0;;;;33.0;;25.0;;22.0;;;;;9.0;2.0;0
