ID;Leeftijd;Geslacht;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1BuitenlandseOuder_5;k_2eGeneratieMet2BuitenlandseOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
68;Totaal over alle leeftijden;Mannen;2017;6535854;2058986;1023319;1035667;544764;490903;1225297;833689
69;Totaal over alle leeftijden;Mannen;2018;6530323;2093659;1036811;1056848;552986;503862;1251981;841678
70;Totaal over alle leeftijden;Mannen;2019;6524437;2127723;1049823;1077900;561137;516763;1278439;849284
71;Totaal over alle leeftijden;Mannen;2020;6518167;2161202;1062413;1098789;569194;529595;1304642;856560
72;Totaal over alle leeftijden;Mannen;2021;6511539;2194064;1074571;1119493;577138;542355;1330572;863492
73;Totaal over alle leeftijden;Mannen;2022;6504337;2226320;1086299;1140021;584961;555060;1356172;870148
74;Totaal over alle leeftijden;Mannen;2023;6496564;2257978;1097590;1160388;592694;567694;1381463;876515
75;Totaal over alle leeftijden;Mannen;2024;6488080;2289097;1108496;1180601;600355;580246;1406460;882637
76;Totaal over alle leeftijden;Mannen;2025;6478882;2319607;1118971;1200636;607901;592735;1431134;888473
77;Totaal over alle leeftijden;Mannen;2026;6468811;2349581;1129053;1220528;615354;605174;1455490;894091
78;Totaal over alle leeftijden;Mannen;2027;6457831;2379032;1138759;1240273;622760;617513;1479560;899472
79;Totaal over alle leeftijden;Mannen;2028;6445910;2407931;1148046;1259885;630056;629829;1503304;904627
80;Totaal over alle leeftijden;Mannen;2029;6432989;2436342;1157009;1279333;637288;642045;1526743;909599
81;Totaal over alle leeftijden;Mannen;2030;6419105;2464244;1165582;1298662;644466;654196;1549895;914349
82;Totaal over alle leeftijden;Mannen;2031;6404255;2491655;1173813;1317842;651553;666289;1572709;918946
83;Totaal over alle leeftijden;Mannen;2032;6388374;2518643;1181715;1336928;658637;678291;1595259;923384
84;Totaal over alle leeftijden;Mannen;2033;6371476;2545136;1189283;1355853;665642;690211;1617492;927644
85;Totaal over alle leeftijden;Mannen;2034;6353510;2571215;1196540;1374675;672582;702093;1639403;931812
86;Totaal over alle leeftijden;Mannen;2035;6334475;2596823;1203464;1393359;679502;713857;1661002;935821
87;Totaal over alle leeftijden;Mannen;2036;6314357;2621969;1210080;1411889;686350;725539;1682263;939706
88;Totaal over alle leeftijden;Mannen;2037;6293256;2646701;1216382;1430319;693176;737143;1703202;943499
89;Totaal over alle leeftijden;Mannen;2038;6271355;2671010;1222393;1448617;699981;748636;1723820;947190
90;Totaal over alle leeftijden;Mannen;2039;6248669;2694914;1228112;1466802;706765;760037;1744077;950837
91;Totaal over alle leeftijden;Mannen;2040;6225489;2718386;1233530;1484856;713492;771364;1763974;954412
92;Totaal over alle leeftijden;Mannen;2041;6201775;2741450;1238645;1502805;720237;782568;1783532;957918
93;Totaal over alle leeftijden;Mannen;2042;6177791;2764126;1243497;1520629;726931;793698;1802715;961411
94;Totaal over alle leeftijden;Mannen;2043;6153589;2786387;1248057;1538330;733628;804702;1821551;964836
95;Totaal over alle leeftijden;Mannen;2044;6129324;2808236;1252321;1555915;740305;815610;1839988;968248
96;Totaal over alle leeftijden;Mannen;2045;6105158;2829670;1256316;1573354;746943;826411;1858042;971628
97;Totaal over alle leeftijden;Mannen;2046;6081316;2850703;1260040;1590663;753559;837104;1875715;974988
98;Totaal over alle leeftijden;Mannen;2047;6057848;2871358;1263518;1607840;760157;847683;1893037;978321
99;Totaal over alle leeftijden;Mannen;2048;6034982;2891601;1266735;1624866;766707;858159;1909954;981647
100;Totaal over alle leeftijden;Mannen;2049;6012756;2911424;1269692;1641732;773224;868508;1926505;984919
101;Totaal over alle leeftijden;Mannen;2050;5991302;2930854;1272420;1658434;779698;878736;1942659;988195
102;Totaal over alle leeftijden;Vrouwen;2000;6626791;1390842;725827;665015;410825;254190;681760;709082
103;Totaal over alle leeftijden;Vrouwen;2001;6639480;1435794;752263;683531;416943;266588;716263;719531
104;Totaal over alle leeftijden;Vrouwen;2002;6652543;1480034;777580;702454;423344;279110;749590;730444
105;Totaal over alle leeftijden;Vrouwen;2003;6664042;1524275;802450;721825;430004;291821;782684;741591
106;Totaal over alle leeftijden;Vrouwen;2004;6673620;1568084;826592;741492;436872;304620;815359;752725
107;Totaal over alle leeftijden;Vrouwen;2005;6681114;1611559;850042;761517;444030;317487;847645;763914
108;Totaal over alle leeftijden;Vrouwen;2006;6686255;1654507;872695;781812;451365;330447;879472;775035
109;Totaal over alle leeftijden;Vrouwen;2007;6689117;1696932;894569;802363;458912;343451;910828;786104
110;Totaal over alle leeftijden;Vrouwen;2008;6689852;1738724;915650;823074;466615;356459;941689;797035
111;Totaal over alle leeftijden;Vrouwen;2009;6688717;1779919;936003;843916;474476;369440;972047;807872
112;Totaal over alle leeftijden;Vrouwen;2010;6685828;1820578;955738;864840;482441;382399;1002052;818526
113;Totaal over alle leeftijden;Vrouwen;2011;6681701;1860533;974729;885804;490503;395301;1031776;828757
114;Totaal over alle leeftijden;Vrouwen;2012;6676603;1899896;993119;906777;498621;408156;1061258;838638
115;Totaal over alle leeftijden;Vrouwen;2013;6670740;1938566;1010876;927690;506746;420944;1090453;848113
116;Totaal over alle leeftijden;Vrouwen;2014;6664331;1976562;1028019;948543;514911;433632;1119366;857196
117;Totaal over alle leeftijden;Vrouwen;2015;6657561;2013884;1044547;969337;523094;446243;1148013;865871
118;Totaal over alle leeftijden;Vrouwen;2016;6650647;2050437;1060434;990003;531246;458757;1176352;874085
119;Totaal over alle leeftijden;Vrouwen;2017;6643690;2086258;1075729;1010529;539300;471229;1204380;881878
120;Totaal over alle leeftijden;Vrouwen;2018;6636749;2121402;1090471;1030931;547317;483614;1232105;889297
121;Totaal over alle leeftijden;Vrouwen;2019;6629949;2155804;1104646;1051158;555191;495967;1259503;896301
122;Totaal over alle leeftijden;Vrouwen;2020;6623164;2189565;1118346;1071219;562955;508264;1286569;902996
123;Totaal over alle leeftijden;Vrouwen;2021;6616404;2222662;1131560;1091102;570604;520498;1313314;909348
124;Totaal over alle leeftijden;Vrouwen;2022;6609595;2255201;1144389;1110812;578109;532703;1339725;915476
125;Totaal over alle leeftijden;Vrouwen;2023;6602510;2287261;1156916;1130345;585533;544812;1365872;921389
126;Totaal over alle leeftijden;Vrouwen;2024;6595101;2318800;1169070;1149730;592832;556898;1391728;927072
127;Totaal over alle leeftijden;Vrouwen;2025;6587234;2349821;1180890;1168931;600002;568929;1417268;932553
128;Totaal over alle leeftijden;Vrouwen;2026;6578921;2380350;1192342;1188008;607090;580918;1442509;937841
129;Totaal over alle leeftijden;Vrouwen;2027;6569916;2410383;1203466;1206917;614086;592831;1467462;942921
130;Totaal over alle leeftijden;Vrouwen;2028;6560173;2439931;1214231;1225700;621017;604683;1492129;947802
131;Totaal over alle leeftijden;Vrouwen;2029;6549539;2469002;1224634;1244368;627881;616487;1516477;952525
132;Totaal over alle leeftijden;Vrouwen;2030;6537991;2497531;1234668;1262863;634617;628246;1540499;957032
133;Totaal over alle leeftijden;Vrouwen;2031;6525391;2525602;1244341;1281261;641326;639935;1564217;961385
134;Totaal over alle leeftijden;Vrouwen;2032;6511613;2553211;1253687;1299524;647945;651579;1587653;965558
135;Totaal over alle leeftijden;Vrouwen;2033;6496693;2580317;1262631;1317686;654553;663133;1610731;969586
136;Totaal over alle leeftijden;Vrouwen;2034;6480448;2606969;1271245;1335724;661095;674629;1633525;973444
137;Totaal over alle leeftijden;Vrouwen;2035;6462990;2633140;1279512;1353628;667573;686055;1655971;977169
138;Totaal over alle leeftijden;Vrouwen;2036;6444188;2658856;1287428;1371428;674018;697410;1678107;980749
139;Totaal over alle leeftijden;Vrouwen;2037;6424109;2684063;1294950;1389113;680420;708693;1699891;984172
140;Totaal over alle leeftijden;Vrouwen;2038;6402849;2708859;1302159;1406700;686800;719900;1721364;987495
141;Totaal over alle leeftijden;Vrouwen;2039;6380453;2733156;1309000;1424156;693122;731034;1742454;990702
142;Totaal over alle leeftijden;Vrouwen;2040;6357131;2757042;1315516;1441526;699470;742056;1763225;993817
143;Totaal over alle leeftijden;Vrouwen;2041;6333225;2780519;1321718;1458801;705787;753014;1783656;996863
144;Totaal over alle leeftijden;Vrouwen;2042;6308653;2803545;1327605;1475940;712084;763856;1803710;999835
145;Totaal over alle leeftijden;Vrouwen;2043;6283730;2826170;1333184;1492986;718367;774619;1823420;1002750
146;Totaal over alle leeftijden;Vrouwen;2044;6258411;2848392;1338444;1509948;724673;785275;1842785;1005607
147;Totaal over alle leeftijden;Vrouwen;2045;6233099;2870239;1343435;1526804;730943;795861;1861764;1008475
148;Totaal over alle leeftijden;Vrouwen;2046;6207838;2891692;1348143;1543549;737207;806342;1880377;1011315
149;Totaal over alle leeftijden;Vrouwen;2047;6182612;2912741;1352564;1560177;743429;816748;1898648;1014093
150;Totaal over alle leeftijden;Vrouwen;2048;6157683;2933414;1356736;1576678;749649;827029;1916554;1016860
151;Totaal over alle leeftijden;Vrouwen;2049;6133217;2953662;1360597;1593065;755806;837259;1934076;1019586
152;Totaal over alle leeftijden;Vrouwen;2050;6109221;2973550;1364217;1609333;761967;847366;1951231;1022319
153;0 jaar;Totaal mannen en vrouwen;2000;157900;43848;1063;42785;16785;26000;31620;12228
154;0 jaar;Totaal mannen en vrouwen;2001;163206;43392;862;42530;16636;25894;31226;12166
155;0 jaar;Totaal mannen en vrouwen;2002;161996;44503;852;43651;17348;26303;31797;12706
156;0 jaar;Totaal mannen en vrouwen;2003;159458;45548;857;44691;18055;26636;32284;13264
157;0 jaar;Totaal mannen en vrouwen;2004;155951;46457;849;45608;18736;26872;32647;13810
158;0 jaar;Totaal mannen en vrouwen;2005;152341;47298;845;46453;19396;27057;32951;14347
159;0 jaar;Totaal mannen en vrouwen;2006;148656;48110;837;47273;20024;27249;33254;14856
160;0 jaar;Totaal mannen en vrouwen;2007;145200;48823;828;47995;20622;27373;33480;15343
161;0 jaar;Totaal mannen en vrouwen;2008;142106;49432;820;48612;21174;27438;33632;15800
162;0 jaar;Totaal mannen en vrouwen;2009;139581;49949;814;49135;21684;27451;33728;16221
163;0 jaar;Totaal mannen en vrouwen;2010;137447;50383;808;49575;22154;27421;33774;16609
164;0 jaar;Totaal mannen en vrouwen;2011;136024;50736;804;49932;22577;27355;33784;16952
165;0 jaar;Totaal mannen en vrouwen;2012;135211;51014;800;50214;22956;27258;33765;17249
166;0 jaar;Totaal mannen en vrouwen;2013;134849;51232;798;50434;23291;27143;33738;17494
167;0 jaar;Totaal mannen en vrouwen;2014;134970;51394;794;50600;23589;27011;33699;17695
168;0 jaar;Totaal mannen en vrouwen;2015;135426;51508;794;50714;23848;26866;33653;17855
169;0 jaar;Totaal mannen en vrouwen;2016;136157;51568;791;50777;24069;26708;33591;17977
170;0 jaar;Totaal mannen en vrouwen;2017;137128;51594;790;50804;24138;26666;33541;18053
171;0 jaar;Totaal mannen en vrouwen;2018;138298;51579;786;50793;24177;26616;33478;18101
172;0 jaar;Totaal mannen en vrouwen;2019;139601;51538;782;50756;24195;26561;33416;18122
173;0 jaar;Totaal mannen en vrouwen;2020;140940;51474;781;50693;24196;26497;33348;18126
174;0 jaar;Totaal mannen en vrouwen;2021;142248;51388;777;50611;24179;26432;33275;18113
175;0 jaar;Totaal mannen en vrouwen;2022;143469;51304;777;50527;24159;26368;33209;18095
176;0 jaar;Totaal mannen en vrouwen;2023;144595;51218;777;50441;24134;26307;33148;18070
177;0 jaar;Totaal mannen en vrouwen;2024;145614;51140;778;50362;24111;26251;33098;18042
178;0 jaar;Totaal mannen en vrouwen;2025;146525;51070;778;50292;24088;26204;33051;18019
179;0 jaar;Totaal mannen en vrouwen;2026;147343;51003;778;50225;24065;26160;33010;17993
180;0 jaar;Totaal mannen en vrouwen;2027;148048;50939;778;50161;24041;26120;32970;17969
181;0 jaar;Totaal mannen en vrouwen;2028;148661;50886;778;50108;24023;26085;32941;17945
182;0 jaar;Totaal mannen en vrouwen;2029;149185;50834;778;50056;24006;26050;32914;17920
183;0 jaar;Totaal mannen en vrouwen;2030;149618;50788;778;50010;23986;26024;32887;17901
184;0 jaar;Totaal mannen en vrouwen;2031;149918;50744;778;49966;23969;25997;32865;17879
185;0 jaar;Totaal mannen en vrouwen;2032;150077;50700;778;49922;23945;25977;32845;17855
186;0 jaar;Totaal mannen en vrouwen;2033;150065;50664;778;49886;23932;25954;32828;17836
187;0 jaar;Totaal mannen en vrouwen;2034;149867;50631;778;49853;23916;25937;32813;17818
188;0 jaar;Totaal mannen en vrouwen;2035;149477;50601;778;49823;23902;25921;32802;17799
189;0 jaar;Totaal mannen en vrouwen;2036;148944;50574;778;49796;23887;25909;32793;17781
190;0 jaar;Totaal mannen en vrouwen;2037;148284;50557;778;49779;23878;25901;32790;17767
191;0 jaar;Totaal mannen en vrouwen;2038;147564;50543;778;49765;23868;25897;32791;17752
192;0 jaar;Totaal mannen en vrouwen;2039;146818;50535;778;49757;23862;25895;32799;17736
193;0 jaar;Totaal mannen en vrouwen;2040;146102;50538;778;49760;23860;25900;32810;17728
194;0 jaar;Totaal mannen en vrouwen;2041;145451;50540;778;49762;23856;25906;32826;17714
195;0 jaar;Totaal mannen en vrouwen;2042;144898;50558;778;49780;23860;25920;32851;17707
196;0 jaar;Totaal mannen en vrouwen;2043;144468;50578;778;49800;23866;25934;32880;17698
197;0 jaar;Totaal mannen en vrouwen;2044;144191;50609;778;49831;23874;25957;32917;17692
198;0 jaar;Totaal mannen en vrouwen;2045;144076;50645;778;49867;23884;25983;32958;17687
199;0 jaar;Totaal mannen en vrouwen;2046;144113;50683;778;49905;23896;26009;33000;17683
200;0 jaar;Totaal mannen en vrouwen;2047;144294;50730;778;49952;23913;26039;33050;17680
201;0 jaar;Totaal mannen en vrouwen;2048;144587;50785;778;50007;23932;26075;33104;17681
202;0 jaar;Totaal mannen en vrouwen;2049;144967;50841;778;50063;23950;26113;33162;17679
203;0 jaar;Totaal mannen en vrouwen;2050;145446;50910;778;50132;23975;26157;33228;17682
204;0 jaar;Mannen;2000;81029;22520;552;21968;8629;13339;16150;6370
205;0 jaar;Mannen;2001;83574;22205;425;21780;8520;13260;15981;6224
206;0 jaar;Mannen;2002;82949;22776;421;22355;8885;13470;16275;6501
207;0 jaar;Mannen;2003;81658;23306;421;22885;9244;13641;16522;6784
208;0 jaar;Mannen;2004;79857;23779;419;23360;9598;13762;16712;7067
209;0 jaar;Mannen;2005;78015;24206;416;23790;9935;13855;16866;7340
210;0 jaar;Mannen;2006;76126;24625;413;24212;10256;13956;17023;7602
211;0 jaar;Mannen;2007;74357;24990;408;24582;10564;14018;17139;7851
212;0 jaar;Mannen;2008;72773;25301;403;24898;10846;14052;17218;8083
213;0 jaar;Mannen;2009;71483;25563;399;25164;11104;14060;17264;8299
214;0 jaar;Mannen;2010;70388;25790;397;25393;11346;14047;17291;8499
215;0 jaar;Mannen;2011;69658;25972;396;25576;11565;14011;17296;8676
216;0 jaar;Mannen;2012;69244;26113;394;25719;11759;13960;17286;8827
217;0 jaar;Mannen;2013;69058;26225;392;25833;11932;13901;17271;8954
218;0 jaar;Mannen;2014;69122;26307;390;25917;12081;13836;17251;9056
219;0 jaar;Mannen;2015;69358;26364;389;25975;12212;13763;17227;9137
220;0 jaar;Mannen;2016;69734;26395;387;26008;12328;13680;17196;9199
221;0 jaar;Mannen;2017;70231;26408;385;26023;12364;13659;17170;9238
222;0 jaar;Mannen;2018;70829;26402;384;26018;12385;13633;17139;9263
223;0 jaar;Mannen;2019;71499;26378;380;25998;12393;13605;17106;9272
224;0 jaar;Mannen;2020;72182;26347;380;25967;12393;13574;17072;9275
225;0 jaar;Mannen;2021;72853;26304;378;25926;12386;13540;17034;9270
226;0 jaar;Mannen;2022;73479;26261;378;25883;12376;13507;17001;9260
227;0 jaar;Mannen;2023;74059;26215;378;25837;12361;13476;16969;9246
228;0 jaar;Mannen;2024;74578;26177;378;25799;12351;13448;16943;9234
229;0 jaar;Mannen;2025;75046;26141;378;25763;12341;13422;16920;9221
230;0 jaar;Mannen;2026;75466;26105;378;25727;12328;13399;16897;9208
231;0 jaar;Mannen;2027;75828;26073;378;25695;12315;13380;16877;9196
232;0 jaar;Mannen;2028;76142;26046;378;25668;12307;13361;16864;9182
233;0 jaar;Mannen;2029;76413;26017;378;25639;12293;13346;16846;9171
234;0 jaar;Mannen;2030;76632;25995;378;25617;12287;13330;16835;9160
235;0 jaar;Mannen;2031;76787;25972;378;25594;12275;13319;16823;9149
236;0 jaar;Mannen;2032;76868;25951;378;25573;12267;13306;16813;9138
237;0 jaar;Mannen;2033;76860;25934;378;25556;12261;13295;16805;9129
238;0 jaar;Mannen;2034;76759;25917;378;25539;12252;13287;16798;9119
239;0 jaar;Mannen;2035;76560;25901;378;25523;12244;13279;16791;9110
240;0 jaar;Mannen;2036;76286;25888;378;25510;12237;13273;16787;9101
241;0 jaar;Mannen;2037;75952;25876;378;25498;12230;13268;16783;9093
242;0 jaar;Mannen;2038;75581;25871;378;25493;12227;13266;16786;9085
243;0 jaar;Mannen;2039;75197;25867;378;25489;12225;13264;16790;9077
244;0 jaar;Mannen;2040;74833;25867;378;25489;12222;13267;16795;9072
245;0 jaar;Mannen;2041;74498;25869;378;25491;12221;13270;16804;9065
246;0 jaar;Mannen;2042;74216;25878;378;25500;12221;13279;16817;9061
247;0 jaar;Mannen;2043;73995;25888;378;25510;12224;13286;16831;9057
248;0 jaar;Mannen;2044;73853;25904;378;25526;12229;13297;16850;9054
249;0 jaar;Mannen;2045;73794;25923;378;25545;12235;13310;16871;9052
250;0 jaar;Mannen;2046;73812;25943;378;25565;12240;13325;16894;9049
251;0 jaar;Mannen;2047;73906;25967;378;25589;12250;13339;16919;9048
252;0 jaar;Mannen;2048;74057;25993;378;25615;12258;13357;16946;9047
253;0 jaar;Mannen;2049;74249;26024;378;25646;12270;13376;16976;9048
254;0 jaar;Mannen;2050;74497;26058;378;25680;12280;13400;17009;9049
255;0 jaar;Vrouwen;2000;76871;21328;511;20817;8156;12661;15470;5858
256;0 jaar;Vrouwen;2001;79630;21189;440;20749;8117;12632;15247;5942
257;0 jaar;Vrouwen;2002;79043;21730;433;21297;8464;12833;15524;6206
258;0 jaar;Vrouwen;2003;77807;22235;433;21802;8809;12993;15759;6476
259;0 jaar;Vrouwen;2004;76087;22684;431;22253;9142;13111;15939;6745
260;0 jaar;Vrouwen;2005;74327;23091;428;22663;9462;13201;16086;7005
261;0 jaar;Vrouwen;2006;72528;23487;425;23062;9770;13292;16234;7253
262;0 jaar;Vrouwen;2007;70843;23833;420;23413;10060;13353;16341;7492
263;0 jaar;Vrouwen;2008;69332;24132;417;23715;10329;13386;16417;7715
264;0 jaar;Vrouwen;2009;68101;24383;415;23968;10577;13391;16462;7921
265;0 jaar;Vrouwen;2010;67055;24597;412;24185;10807;13378;16486;8111
266;0 jaar;Vrouwen;2011;66361;24768;411;24357;11014;13343;16490;8278
267;0 jaar;Vrouwen;2012;65963;24905;409;24496;11200;13296;16482;8423
268;0 jaar;Vrouwen;2013;65785;25013;409;24604;11364;13240;16470;8543
269;0 jaar;Vrouwen;2014;65845;25090;407;24683;11507;13176;16450;8640
270;0 jaar;Vrouwen;2015;66068;25145;407;24738;11632;13106;16427;8718
271;0 jaar;Vrouwen;2016;66425;25171;404;24767;11738;13029;16395;8776
