ID;Periods;TotalPronouncedBankruptcies_1;TotalPronouncedBankruptcies_2;SingleOwnerCompanies_3;TradingPartnerships_4;TotalPronouncedBankruptcies_5;Partners_6;OtherNaturalPersons_7;Legacies_8;TotalSingleOwnerAndTradingCompanies_9;SingleOwnerCompanies_10;TradingPartnerships_11;TotalPronouncedBankruptcies_12;SingleOwnerCompanies_13;TradingPartnerships_14;TotalPronouncedBankruptcies_15;SingleOwnerCompanies_16;TradingPartnerships_17;TotalPronouncedBankruptcies_18;SingleOwnerCompanies_19;TradingPartnerships_20;TotalPronouncedBankruptcies_21;SingleOwnerCompanies_22;TradingPartnerships_23;TotalPronouncedBankruptcies_24;SingleOwnerCompanies_25;TradingPartnerships_26;TotalPronouncedBankruptcies_27;SingleOwnerCompanies_28;TradingPartnerships_29;TotalPronouncedBankruptcies_30;SingleOwnerCompanies_31;TradingPartnerships_32;TotalPronouncedBankruptcies_33;SingleOwnerCompanies_34;TradingPartnerships_35;TotalPronouncedBankruptcies_36;SingleOwnerCompanies_37;TradingPartnerships_38
53;1996 March;477;390;162;228;87;27;60;1.0;390;162;228;4.0;3.0;1.0;60.0;14.0;46.0;50.0;22.0;28.0;120.0;56.0;64.0;29.0;21.0;8.0;34.0;13.0;21.0;73.0;26.0;47.0;18.0;7.0;11.0;2.0;0.0;2.0
54;1996 1st Quarter;1411;1171;522;649;240;93;147;1.0;1171;522;649;19.0;12.0;7.0;152.0;42.0;110.0;160.0;78.0;82.0;407.0;200.0;207.0;88.0;63.0;25.0;76.0;31.0;45.0;212.0;71.0;141.0;51.0;22.0;29.0;6.0;3.0;3.0
55;1996 April;437;366;159;207;71;27;44;1.0;366;159;207;10.0;6.0;4.0;38.0;13.0;25.0;57.0;29.0;28.0;116.0;45.0;71.0;25.0;22.0;3.0;23.0;10.0;13.0;73.0;26.0;47.0;21.0;7.0;14.0;3.0;1.0;2.0
56;1996 May;482;398;170;228;84;38;46;;398;170;228;8.0;5.0;3.0;48.0;14.0;34.0;56.0;32.0;24.0;123.0;55.0;68.0;27.0;18.0;9.0;34.0;10.0;24.0;76.0;27.0;49.0;22.0;7.0;15.0;4.0;2.0;2.0
57;1996 June;454;368;146;222;86;35;51;;368;146;222;4.0;2.0;2.0;37.0;10.0;27.0;47.0;23.0;24.0;131.0;56.0;75.0;32.0;23.0;9.0;18.0;5.0;13.0;76.0;16.0;60.0;22.0;11.0;11.0;1.0;0.0;1.0
58;1996 2nd Quarter;1373;1132;475;657;241;100;141;1.0;1132;475;657;22.0;13.0;9.0;123.0;37.0;86.0;160.0;84.0;76.0;370.0;156.0;214.0;84.0;63.0;21.0;75.0;25.0;50.0;225.0;69.0;156.0;65.0;25.0;40.0;8.0;3.0;5.0
59;1996 July;450;373;157;216;77;35;42;;373;157;216;7.0;3.0;4.0;39.0;16.0;23.0;42.0;26.0;16.0;132.0;54.0;78.0;26.0;18.0;8.0;23.0;9.0;14.0;87.0;24.0;63.0;14.0;6.0;8.0;3.0;1.0;2.0
60;1996 August;438;347;141;206;91;42;49;;347;141;206;3.0;3.0;0.0;44.0;13.0;31.0;62.0;35.0;27.0;100.0;37.0;63.0;26.0;19.0;7.0;17.0;6.0;11.0;79.0;19.0;60.0;13.0;7.0;6.0;3.0;2.0;1.0
61;1996 September;454;370;143;227;84;44;40;;370;143;227;7.0;2.0;5.0;41.0;9.0;32.0;56.0;36.0;20.0;117.0;39.0;78.0;29.0;21.0;8.0;24.0;10.0;14.0;71.0;19.0;52.0;21.0;3.0;18.0;4.0;4.0;0.0
62;1996 3rd Quarter;1342;1090;441;649;252;121;131;;1090;441;649;17.0;8.0;9.0;124.0;38.0;86.0;160.0;97.0;63.0;349.0;130.0;219.0;81.0;58.0;23.0;64.0;25.0;39.0;237.0;62.0;175.0;48.0;16.0;32.0;10.0;7.0;3.0
63;1996 October;550;445;168;277;105;46;59;;445;168;277;11.0;7.0;4.0;53.0;20.0;33.0;44.0;22.0;22.0;141.0;62.0;79.0;29.0;17.0;12.0;28.0;8.0;20.0;113.0;24.0;89.0;22.0;7.0;15.0;4.0;1.0;3.0
64;1996 November;455;348;161;187;107;47;60;;348;161;187;6.0;3.0;3.0;39.0;11.0;28.0;52.0;26.0;26.0;97.0;53.0;44.0;24.0;16.0;8.0;22.0;6.0;16.0;81.0;34.0;47.0;22.0;11.0;11.0;5.0;1.0;4.0
65;1996 December;446;348;132;216;98;36;62;;348;132;216;9.0;5.0;4.0;45.0;12.0;33.0;42.0;21.0;21.0;96.0;45.0;51.0;32.0;18.0;14.0;24.0;6.0;18.0;76.0;15.0;61.0;20.0;8.0;12.0;4.0;2.0;2.0
66;1996 4th Quarter;1451;1141;461;680;310;129;181;;1141;461;680;26.0;15.0;11.0;137.0;43.0;94.0;138.0;69.0;69.0;334.0;160.0;174.0;85.0;51.0;34.0;74.0;20.0;54.0;270.0;73.0;197.0;64.0;26.0;38.0;13.0;4.0;9.0
67;1996;5577;4534;1899;2635;1043;443;600;2.0;4534;1899;2635;84.0;48.0;36.0;536.0;160.0;376.0;618.0;328.0;290.0;1460.0;646.0;814.0;338.0;235.0;103.0;289.0;101.0;188.0;944.0;275.0;669.0;228.0;89.0;139.0;37.0;17.0;20.0
68;1997 January;536;432;182;250;104;48;56;1.0;432;182;250;11.0;4.0;7.0;56.0;22.0;34.0;40.0;22.0;18.0;134.0;68.0;66.0;36.0;18.0;18.0;43.0;11.0;32.0;82.0;25.0;57.0;27.0;10.0;17.0;3.0;2.0;1.0
69;1997 February;477;382;157;225;95;40;55;;382;157;225;4.0;2.0;2.0;37.0;14.0;23.0;53.0;21.0;32.0;119.0;59.0;60.0;35.0;25.0;10.0;38.0;10.0;28.0;74.0;19.0;55.0;19.0;7.0;12.0;3.0;0.0;3.0
70;1997 March;437;339;132;207;98;43;55;;339;132;207;9.0;6.0;3.0;49.0;11.0;38.0;47.0;25.0;22.0;81.0;28.0;53.0;33.0;25.0;8.0;30.0;6.0;24.0;72.0;24.0;48.0;16.0;7.0;9.0;2.0;0.0;2.0
71;1997 1st Quarter;1450;1153;471;682;297;131;166;1.0;1153;471;682;24.0;12.0;12.0;142.0;47.0;95.0;140.0;68.0;72.0;334.0;155.0;179.0;104.0;68.0;36.0;111.0;27.0;84.0;228.0;68.0;160.0;62.0;24.0;38.0;8.0;2.0;6.0
72;1997 April;470;362;139;223;108;41;67;1.0;362;139;223;5.0;2.0;3.0;52.0;8.0;44.0;45.0;24.0;21.0;123.0;59.0;64.0;18.0;12.0;6.0;20.0;9.0;11.0;81.0;21.0;60.0;16.0;4.0;12.0;2.0;0.0;2.0
73;1997 May;481;378;146;232;103;55;48;;378;146;232;9.0;5.0;4.0;38.0;11.0;27.0;52.0;25.0;27.0;105.0;49.0;56.0;28.0;17.0;11.0;35.0;11.0;24.0;89.0;20.0;69.0;19.0;6.0;13.0;3.0;2.0;1.0
74;1997 June;418;333;117;216;85;42;43;;333;117;216;8.0;6.0;2.0;46.0;15.0;31.0;37.0;17.0;20.0;110.0;37.0;73.0;28.0;19.0;9.0;18.0;7.0;11.0;72.0;14.0;58.0;9.0;2.0;7.0;5.0;0.0;5.0
75;1997 2nd Quarter;1369;1073;402;671;296;138;158;1.0;1073;402;671;22.0;13.0;9.0;136.0;34.0;102.0;134.0;66.0;68.0;338.0;145.0;193.0;74.0;48.0;26.0;73.0;27.0;46.0;242.0;55.0;187.0;44.0;12.0;32.0;10.0;2.0;8.0
76;1997 July;492;397;146;251;95;38;57;;397;146;251;7.0;4.0;3.0;41.0;12.0;29.0;45.0;24.0;21.0;134.0;47.0;87.0;22.0;14.0;8.0;27.0;9.0;18.0;91.0;20.0;71.0;27.0;15.0;12.0;3.0;1.0;2.0
77;1997 August;364;285;108;177;79;41;38;;285;108;177;6.0;1.0;5.0;42.0;10.0;32.0;32.0;18.0;14.0;89.0;34.0;55.0;26.0;15.0;11.0;18.0;9.0;9.0;47.0;8.0;39.0;21.0;12.0;9.0;4.0;1.0;3.0
78;1997 September;475;386;174;212;89;26;63;3.0;386;174;212;9.0;8.0;1.0;46.0;18.0;28.0;64.0;32.0;32.0;113.0;54.0;59.0;30.0;22.0;8.0;21.0;9.0;12.0;78.0;18.0;60.0;21.0;13.0;8.0;4.0;0.0;4.0
79;1997 3rd Quarter;1331;1068;428;640;263;105;158;3.0;1068;428;640;22.0;13.0;9.0;129.0;40.0;89.0;141.0;74.0;67.0;336.0;135.0;201.0;78.0;51.0;27.0;66.0;27.0;39.0;216.0;46.0;170.0;69.0;40.0;29.0;11.0;2.0;9.0
80;1997 October;497;397;147;250;100;53;47;1.0;397;147;250;3.0;1.0;2.0;49.0;17.0;32.0;45.0;20.0;25.0;138.0;52.0;86.0;24.0;19.0;5.0;24.0;5.0;19.0;87.0;18.0;69.0;22.0;12.0;10.0;5.0;3.0;2.0
81;1997 November;471;381;141;240;90;43;47;1.0;381;141;240;10.0;5.0;5.0;34.0;14.0;20.0;56.0;29.0;27.0;105.0;40.0;65.0;28.0;19.0;9.0;25.0;5.0;20.0;97.0;18.0;79.0;23.0;11.0;12.0;3.0;0.0;3.0
82;1997 December;429;337;139;198;92;28;64;;337;139;198;11.0;7.0;4.0;35.0;8.0;27.0;44.0;24.0;20.0;119.0;48.0;71.0;24.0;20.0;4.0;18.0;8.0;10.0;67.0;14.0;53.0;16.0;10.0;6.0;3.0;0.0;3.0
83;1997 4th Quarter;1397;1115;427;688;282;124;158;2.0;1115;427;688;24.0;13.0;11.0;118.0;39.0;79.0;145.0;73.0;72.0;362.0;140.0;222.0;76.0;58.0;18.0;67.0;18.0;49.0;251.0;50.0;201.0;61.0;33.0;28.0;11.0;3.0;8.0
84;1997;5547;4409;1728;2681;1138;498;640;7.0;4409;1728;2681;92.0;51.0;41.0;525.0;160.0;365.0;560.0;281.0;279.0;1370.0;575.0;795.0;332.0;225.0;107.0;317.0;99.0;218.0;937.0;219.0;718.0;236.0;109.0;127.0;40.0;9.0;31.0
85;1998 January;415;322;133;189;93;38;55;1.0;322;133;189;7.0;4.0;3.0;34.0;13.0;21.0;51.0;23.0;28.0;103.0;50.0;53.0;22.0;15.0;7.0;17.0;4.0;13.0;68.0;17.0;51.0;19.0;7.0;12.0;1.0;0.0;1.0
86;1998 February;423;331;130;201;92;36;56;1.0;331;130;201;7.0;3.0;4.0;32.0;12.0;20.0;34.0;19.0;15.0;113.0;45.0;68.0;23.0;18.0;5.0;28.0;7.0;21.0;66.0;17.0;49.0;27.0;9.0;18.0;1.0;0.0;1.0
87;1998 March;538;428;175;253;110;53;57;1.0;428;175;253;4.0;2.0;2.0;55.0;14.0;41.0;51.0;26.0;25.0;137.0;72.0;65.0;30.0;17.0;13.0;26.0;11.0;15.0;97.0;21.0;76.0;27.0;11.0;16.0;1.0;1.0;0.0
88;1998 1st Quarter;1376;1081;438;643;295;127;168;3.0;1081;438;643;18.0;9.0;9.0;121.0;39.0;82.0;136.0;68.0;68.0;353.0;167.0;186.0;75.0;50.0;25.0;71.0;22.0;49.0;231.0;55.0;176.0;73.0;27.0;46.0;3.0;1.0;2.0
89;1998 April;502;393;145;248;109;53;56;;393;145;248;13.0;7.0;6.0;35.0;8.0;27.0;60.0;33.0;27.0;112.0;43.0;69.0;26.0;14.0;12.0;22.0;11.0;11.0;93.0;22.0;71.0;30.0;7.0;23.0;2.0;0.0;2.0
90;1998 May;356;278;114;164;78;28;50;;278;114;164;6.0;2.0;4.0;27.0;9.0;18.0;35.0;19.0;16.0;85.0;37.0;48.0;28.0;23.0;5.0;18.0;4.0;14.0;59.0;13.0;46.0;17.0;7.0;10.0;3.0;0.0;3.0
91;1998 June;439;353;148;205;86;37;49;;353;148;205;4.0;3.0;1.0;47.0;9.0;38.0;52.0;30.0;22.0;110.0;55.0;55.0;30.0;16.0;14.0;25.0;11.0;14.0;61.0;15.0;46.0;20.0;9.0;11.0;4.0;0.0;4.0
