ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;D66_7;GL_8;PvdA_9;SGP_10;SP_11;VVD_12;OverigeLandelijkeGroeperingEn_13;LokaleConfessioneleGroeperingEn_14;LokaleOnafhankelijkeGroeperingEn_15;LokaleProgressieveGroeperingEn_16;CDA_17;CU_18;D66_19;GL_20;PvdA_21;SGP_22;SP_23;VVD_24;OverigeLandelijkeGroeperingEn_25;LokaleConfessioneleGroeperingEn_26;LokaleOnafhankelijkeGroeperingEn_27;LokaleProgressieveGroeperingEn_28;TotaalPolitiekeGroeperingen_29;CDA_30;CU_31;D66_32;GL_33;PvdA_34;SGP_35;SP_36;VVD_37;OverigeLandelijkeGroeperingEn_38;LokaleConfessioneleGroeperingEn_39;LokaleOnafhankelijkeGroeperingEn_40;LokaleProgressieveGroeperingEn_41;TotaalPolitiekeGroeperingen_42;CDA_43;CU_44;D66_45;GL_46;PvdA_47;SGP_48;SP_49;VVD_50;OverigeLandelijkeGroeperingEn_51;LokaleConfessioneleGroeperingEn_52;LokaleOnafhankelijkeGroeperingEn_53;LokaleProgressieveGroeperingEn_54;TotaalPolitiekeGroeperingen_55;CDA_56;CU_57;D66_58;GL_59;PvdA_60;SGP_61;SP_62;VVD_63;OverigeLandelijkeGroeperingEn_64;LokaleConfessioneleGroeperingEn_65;LokaleOnafhankelijkeGroeperingEn_66;LokaleProgressieveGroeperingEn_67;TotaalPolitiekeGroeperingen_68;CDA_69;CU_70;D66_71;GL_72;PvdA_73;SGP_74;SP_75;VVD_76;OverigeLandelijkeGroeperingEn_77;LokaleConfessioneleGroeperingEn_78;LokaleOnafhankelijkeGroeperingEn_79;LokaleProgressieveGroeperingEn_80;TotaalPolitiekeGroeperingen_81;CDA_82;CU_83;D66_84;GL_85;PvdA_86;SGP_87;SP_88;VVD_89;OverigeLandelijkeGroeperingEn_90;LokaleConfessioneleGroeperingEn_91;LokaleOnafhankelijkeGroeperingEn_92;LokaleProgressieveGroeperingEn_93;TotaalPolitiekeGroeperingen_94;CDA_95;CU_96;D66_97;GL_98;PvdA_99;SGP_100;SP_101;VVD_102;OverigeLandelijkeGroeperingEn_103;LokaleConfessioneleGroeperingEn_104;LokaleOnafhankelijkeGroeperingEn_105;LokaleProgressieveGroeperingEn_106;TotaalPolitiekeGroeperingen_107;CDA_108;CU_109;D66_110;GL_111;PvdA_112;SGP_113;SP_114;VVD_115;OverigeLandelijkeGroeperingEn_116;LokaleConfessioneleGroeperingEn_117;LokaleOnafhankelijkeGroeperingEn_118;LokaleProgressieveGroeperingEn_119;TotaalPolitiekeGroeperingen_120;CDA_121;CU_122;D66_123;GL_124;PvdA_125;SGP_126;SP_127;VVD_128;OverigeLandelijkeGroeperingEn_129;LokaleConfessioneleGroeperingEn_130;LokaleOnafhankelijkeGroeperingEn_131;LokaleProgressieveGroeperingEn_132;TotaalPolitiekeGroeperingen_133;CDA_134;CU_135;D66_136;GL_137;PvdA_138;SGP_139;SP_140;VVD_141;OverigeLandelijkeGroeperingEn_142;LokaleConfessioneleGroeperingEn_143;LokaleOnafhankelijkeGroeperingEn_144;LokaleProgressieveGroeperingEn_145;Mannen_146;Vrouwen_147;LandsdeelCode_148;ProvincieCode_149;KamerkieskringCode_150;CoropCode_151;GemeenteCode_152
10;Alkmaar;71409;55.4;39576;39493;5734;705;1763;3567;7989;0;2939;4631;0;0;12165;0;14.5;1.8;4.5;9.0;20.2;0.0;7.4;11.7;0.0;0.0;30.8;0.0;37;6;0;1;3;8;0;3;4;0;0;12;0;25;5;0;1;1;5;0;2;3;0;0;8;0;12;1;0;0;2;3;0;1;1;0;0;4;0;5;1;0;0;0;2;0;0;0;0;0;2;0;5;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;PvdA ;3;27;11;19;361
11;Almelo;54120;52.4;28348;28300;7287;0;1684;2509;5915;0;0;4224;1367;1231;4083;0;25.7;0.0;6.0;8.9;20.9;0.0;0.0;14.9;4.8;4.3;14.4;0.0;35;10;0;2;3;8;0;0;6;1;1;4;0;25;8;0;1;2;5;0;0;4;1;1;3;0;10;2;0;1;1;3;0;0;2;0;0;1;0;5;2;0;1;0;2;0;0;0;0;0;0;0;4;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VVD  ;     ;2;23;4;12;141
12;Almere;111746;47.6;53205;53057;5206;1995;3070;5634;9081;0;0;10335;0;0;17736;0;9.8;3.8;5.8;10.6;17.1;0.0;0.0;19.5;0.0;0.0;33.4;0.0;39;4;1;2;4;7;0;0;8;0;0;13;0;27;2;1;1;2;4;0;0;7;0;0;10;0;12;2;0;1;2;3;0;0;1;0;0;3;0;6;1;0;0;1;2;0;0;0;0;0;2;0;4;1;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PvdA ;     ;2;24;5;40;34
13;Alphen aan den Rijn;52471;56.7;29772;29685;5632;1873;1986;2324;2967;606;2688;6187;0;0;5422;0;19.0;6.3;6.7;7.8;10.0;2.0;9.1;20.8;0.0;0.0;18.3;0.0;35;7;2;2;3;4;0;3;8;0;0;6;0;28;7;2;1;2;3;0;2;7;0;0;4;0;7;0;0;1;1;1;0;1;1;0;0;2;0;6;2;1;0;0;1;0;0;2;0;0;0;0;6;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D66  ;     ;3;28;15;28;484
14;Alphen-Chaam;7217;75.1;5419;5413;1408;0;0;0;0;0;0;537;0;0;3468;0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;9.9;0.0;0.0;64.1;0.0;13;3;0;0;0;0;0;0;1;0;0;9;0;8;1;0;0;0;0;0;0;0;0;0;7;0;5;2;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D66  ;     ;4;30;17;34;1723
15;Ambt Montfort;8767;76.2;6678;6630;0;0;0;0;0;0;0;0;0;0;6630;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;15;0;0;0;0;0;0;0;0;0;0;15;0;14;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GL   ;     ;4;31;19;38;1679
16;Ameland;2683;88.5;2374;2374;425;0;0;0;372;0;0;153;0;0;1424;0;17.9;0.0;0.0;0.0;15.7;0.0;0.0;6.4;0.0;0.0;60.0;0.0;11;2;0;0;0;2;0;0;0;0;0;7;0;10;2;0;0;0;2;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;VVD  ;     ;1;21;2;4;60
17;Amerongen;5491;64.0;3513;3508;962;382;0;0;713;515;0;936;0;0;0;0;27.4;10.9;0.0;0.0;20.3;14.7;0.0;26.7;0.0;0.0;0.0;0.0;13;4;1;0;0;3;2;0;3;0;0;0;0;9;3;1;0;0;1;2;0;2;0;0;0;0;4;1;0;0;0;2;0;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;CDA  ;3;26;8;17;306
18;Amersfoort;96511;57.5;55532;55446;8534;4330;3595;4744;7664;795;3928;9779;0;0;8722;3355;15.4;7.8;6.5;8.6;13.8;1.4;7.1;17.6;0.0;0.0;15.7;6.1;39;6;3;2;4;6;0;3;7;0;0;6;2;29;4;2;1;2;4;0;2;6;0;0;6;2;10;2;1;1;2;2;0;1;1;0;0;0;0;6;1;1;0;1;1;0;0;2;0;0;0;0;4;0;1;0;0;1;0;0;2;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;D66  ;3;26;8;17;307
19;Amstelveen;59499;57.8;34417;34349;5784;0;3223;4365;4848;0;0;8682;668;0;6779;0;16.8;0.0;9.4;12.7;14.1;0.0;0.0;25.3;1.9;0.0;19.7;0.0;35;6;0;3;5;5;0;0;10;0;0;6;0;19;5;0;1;2;2;0;0;5;0;0;4;0;16;1;0;2;3;3;0;0;5;0;0;2;0;4;1;0;1;1;1;0;0;0;0;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VVD  ;     ;3;27;10;23;362
20;Amsterdam;568538;48.4;275384;271585;21460;3719;19600;35197;77792;0;20777;48804;1741;593;22709;19193;7.9;1.4;7.2;13.0;28.6;0.0;7.7;18.0;0.6;0.2;8.4;7.1;45;4;0;3;6;15;0;4;9;0;0;2;2;24;2;0;1;1;10;0;2;6;0;0;2;0;21;2;0;2;5;5;0;2;3;0;0;0;2;6;1;0;0;0;3;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PvdA ;     ;3;27;9;23;363
21;Andijk;4800;68.6;3295;3291;1051;364;0;242;874;0;0;760;0;0;0;0;31.9;11.1;0.0;7.4;26.6;0.0;0.0;23.1;0.0;0.0;0.0;0.0;13;4;1;0;1;4;0;0;3;0;0;0;0;9;2;1;0;1;2;0;0;3;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CDA  ;     ;3;27;11;18;364
22;Angerlo;3774;67.0;2530;2505;976;0;0;0;0;0;0;0;0;0;1529;0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.0;0.0;11;4;0;0;0;0;0;0;0;0;0;7;0;9;4;0;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CDA  ;     ;2;25;7;15;199
23;Anna Paulowna;10444;62.6;6542;6534;2344;0;0;0;1107;0;0;1670;0;0;1413;0;35.9;0.0;0.0;0.0;16.9;0.0;0.0;25.6;0.0;0.0;21.6;0.0;15;5;0;0;0;3;0;0;4;0;0;3;0;12;3;0;0;0;3;0;0;3;0;0;3;0;3;2;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D66  ;     ;3;27;11;18;366
24;Apeldoorn;119355;56.0;66824;66737;13090;3686;3796;5333;10473;2651;0;10536;0;0;17172;0;19.6;5.5;5.7;8.0;15.7;4.0;0.0;15.8;0.0;0.0;25.7;0.0;39;8;2;2;3;6;2;0;6;0;0;10;0;29;6;2;2;2;4;2;0;4;0;0;7;0;10;2;0;0;1;2;0;0;2;0;0;3;0;7;2;0;0;0;1;0;0;2;0;0;2;0;5;1;0;0;0;1;0;0;2;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VVD  ;     ;2;25;7;13;200
25;Appingedam;9842;53.7;5290;5285;1305;0;284;0;1792;0;0;495;0;0;1409;0;24.7;0.0;5.4;0.0;33.9;0.0;0.0;9.4;0.0;0.0;26.7;0.0;15;4;0;1;0;5;0;0;1;0;0;4;0;13;4;0;1;0;5;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PvdA ;     ;1;20;1;2;3
26;Arcen en Velden;6838;69.2;4732;4719;2097;0;0;0;0;0;0;573;0;0;1191;858;44.4;0.0;0.0;0.0;0.0;0.0;0.0;12.1;0.0;0.0;25.2;18.2;13;6;0;0;0;0;0;0;2;0;0;3;2;11;4;0;0;0;0;0;0;2;0;0;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PvdA ;     ;4;31;19;37;885
27;Arnhem;109736;50.1;54968;54686;6841;1584;3419;5885;10452;0;3832;7541;0;0;14380;752;12.5;2.9;6.3;10.8;19.1;0.0;7.0;13.8;0.0;0.0;26.3;1.4;39;5;1;2;4;8;0;3;6;0;0;10;0;27;4;1;1;2;5;0;2;4;0;0;8;0;12;1;0;1;2;3;0;1;2;0;0;2;0;6;1;0;0;1;2;0;0;1;0;0;1;0;4;1;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;VVD  ;2;25;7;15;202
28;Assen;45349;59.9;27151;27120;4546;3073;1245;1971;6751;0;934;3691;0;0;4909;0;16.8;11.3;4.6;7.3;24.9;0.0;3.4;13.6;0.0;0.0;18.1;0.0;31;5;4;1;2;8;0;1;4;0;0;6;0;24;4;4;1;1;6;0;0;3;0;0;5;0;7;1;0;0;1;2;0;1;1;0;0;1;0;5;1;0;0;0;2;0;0;1;0;0;1;0;5;1;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;PvdA ;1;22;3;7;106
29;Asten;11940;70.8;8454;8416;2193;0;419;428;0;0;0;1240;0;0;2848;1288;26.1;0.0;5.0;5.1;0.0;0.0;0.0;14.7;0.0;0.0;33.8;15.3;17;4;0;1;1;0;0;0;2;0;0;6;3;14;3;0;1;1;0;0;0;2;0;0;5;2;3;1;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;PvdA ;4;30;18;36;743
