ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
84;Total sales;B-E Industry (except construction);2024 July;121.5;-0.1;0.2
85;Total sales;B-E Industry (except construction);2024 August;120.5;-0.8;-1.7
86;Total sales;B-E Industry (except construction);2024 September;119.9;-0.5;-3.6
87;Total sales;B-E Industry (except construction);2024 October;120.2;0.2;-2.3
88;Total sales;B-E Industry (except construction);2024 November;121.3;0.9;-1.0
89;Total sales;B-E Industry (except construction);2024 December;121.8;0.4;0.6
90;Total sales;B-E Industry (except construction);2024;121.1;;-2.8
91;Total sales;B-E Industry (except construction);2025 January;123.6;1.5;2.4
92;Total sales;B-E Industry (except construction);2025 February;124.2;0.5;2.9
93;Total sales;B Mining and quarrying;2018 January;78.2;;
94;Total sales;B Mining and quarrying;2018 February;74.9;-4.1;
95;Total sales;B Mining and quarrying;2018 March;75.9;1.3;
96;Total sales;B Mining and quarrying;2018 April;75.2;-1.0;
97;Total sales;B Mining and quarrying;2018 May;78.1;3.8;
98;Total sales;B Mining and quarrying;2018 June;81.8;4.8;
99;Total sales;B Mining and quarrying;2018 July;83.2;1.7;
100;Total sales;B Mining and quarrying;2018 August;83.6;0.5;
101;Total sales;B Mining and quarrying;2018 September;87.1;4.3;
102;Total sales;B Mining and quarrying;2018 October;93.3;7.1;
103;Total sales;B Mining and quarrying;2018 November;88.0;-5.7;
104;Total sales;B Mining and quarrying;2018 December;84.7;-3.7;
105;Total sales;B Mining and quarrying;2018;82.0;;
106;Total sales;B Mining and quarrying;2019 January;84.2;-0.6;7.7
107;Total sales;B Mining and quarrying;2019 February;84.6;0.6;12.9
108;Total sales;B Mining and quarrying;2019 March;76.1;-10.0;0.3
109;Total sales;B Mining and quarrying;2019 April;73.7;-3.2;-2.0
110;Total sales;B Mining and quarrying;2019 May;73.5;-0.2;-5.9
111;Total sales;B Mining and quarrying;2019 June;68.8;-6.4;-15.9
112;Total sales;B Mining and quarrying;2019 July;65.8;-4.3;-20.8
113;Total sales;B Mining and quarrying;2019 August;65.1;-1.2;-22.2
114;Total sales;B Mining and quarrying;2019 September;66.3;1.9;-24.0
115;Total sales;B Mining and quarrying;2019 October;71.4;7.7;-23.5
116;Total sales;B Mining and quarrying;2019 November;72.0;0.9;-18.1
117;Total sales;B Mining and quarrying;2019 December;74.1;2.9;-12.5
118;Total sales;B Mining and quarrying;2019;73.0;;-11.0
119;Total sales;B Mining and quarrying;2020 January;73.6;-0.7;-12.5
120;Total sales;B Mining and quarrying;2020 February;68.7;-6.7;-18.9
121;Total sales;B Mining and quarrying;2020 March;61.1;-11.0;-19.7
122;Total sales;B Mining and quarrying;2020 April;57.6;-5.7;-21.8
123;Total sales;B Mining and quarrying;2020 May;55.4;-3.8;-24.6
124;Total sales;B Mining and quarrying;2020 June;54.2;-2.2;-21.2
125;Total sales;B Mining and quarrying;2020 July;52.7;-2.7;-19.9
126;Total sales;B Mining and quarrying;2020 August;53.2;0.8;-18.3
127;Total sales;B Mining and quarrying;2020 September;58.3;9.6;-12.0
128;Total sales;B Mining and quarrying;2020 October;60.5;3.9;-15.2
129;Total sales;B Mining and quarrying;2020 November;64.3;6.2;-10.7
130;Total sales;B Mining and quarrying;2020 December;64.6;0.5;-12.8
131;Total sales;B Mining and quarrying;2020;60.3;;-17.3
132;Total sales;B Mining and quarrying;2021 January;68.5;6.0;-7.0
133;Total sales;B Mining and quarrying;2021 February;74.3;8.5;8.2
134;Total sales;B Mining and quarrying;2021 March;71.8;-3.4;17.4
135;Total sales;B Mining and quarrying;2021 April;71.7;-0.1;24.4
136;Total sales;B Mining and quarrying;2021 May;78.4;9.4;41.5
137;Total sales;B Mining and quarrying;2021 June;85.5;9.0;57.7
138;Total sales;B Mining and quarrying;2021 July;95.0;11.1;80.1
139;Total sales;B Mining and quarrying;2021 August;105.9;11.5;99.2
140;Total sales;B Mining and quarrying;2021 September;115.3;8.9;97.9
141;Total sales;B Mining and quarrying;2021 October;134.2;16.4;121.7
142;Total sales;B Mining and quarrying;2021 November;150.4;12.0;133.8
143;Total sales;B Mining and quarrying;2021 December;149.2;-0.8;130.9
144;Total sales;B Mining and quarrying;2021;100.0;;65.7
145;Total sales;B Mining and quarrying;2022 January;171.9;15.2;151.0
146;Total sales;B Mining and quarrying;2022 February;158.7;-7.7;113.6
147;Total sales;B Mining and quarrying;2022 March;163.2;2.8;127.4
148;Total sales;B Mining and quarrying;2022 April;202.2;23.9;182.2
149;Total sales;B Mining and quarrying;2022 May;181.4;-10.3;131.5
150;Total sales;B Mining and quarrying;2022 June;181.7;0.1;112.6
151;Total sales;B Mining and quarrying;2022 July;203.9;12.2;114.7
152;Total sales;B Mining and quarrying;2022 August;270.8;32.8;155.8
153;Total sales;B Mining and quarrying;2022 September;334.2;23.4;189.8
154;Total sales;B Mining and quarrying;2022 October;335.7;0.4;150.1
155;Total sales;B Mining and quarrying;2022 November;306.8;-8.6;104.0
156;Total sales;B Mining and quarrying;2022 December;263.6;-14.1;76.6
157;Total sales;B Mining and quarrying;2022;231.2;;131.2
158;Total sales;B Mining and quarrying;2023 January;245.2;-7.0;42.6
159;Total sales;B Mining and quarrying;2023 February;245.8;0.3;54.9
160;Total sales;B Mining and quarrying;2023 March;219.1;-10.9;34.3
161;Total sales;B Mining and quarrying;2023 April;182.8;-16.6;-9.6
162;Total sales;B Mining and quarrying;2023 May;166.8;-8.7;-8.0
163;Total sales;B Mining and quarrying;2023 June;167.9;0.7;-7.6
164;Total sales;B Mining and quarrying;2023 July;163.7;-2.5;-19.7
165;Total sales;B Mining and quarrying;2023 August;160.7;-1.8;-40.7
166;Total sales;B Mining and quarrying;2023 September;173.4;7.9;-48.1
167;Total sales;B Mining and quarrying;2023 October;162.5;-6.3;-51.6
168;Total sales;B Mining and quarrying;2023 November;178.5;9.9;-41.8
169;Total sales;B Mining and quarrying;2023 December;184.7;3.5;-29.9
170;Total sales;B Mining and quarrying;2023;187.6;;-18.9
171;Total sales;B Mining and quarrying;2024 January;161.7;-12.5;-34.1
172;Total sales;B Mining and quarrying;2024 February;141.1;-12.7;-42.6
173;Total sales;B Mining and quarrying;2024 March;150.9;7.0;-31.1
174;Total sales;B Mining and quarrying;2024 April;149.9;-0.7;-18.0
175;Total sales;B Mining and quarrying;2024 May;150.8;0.6;-9.6
176;Total sales;B Mining and quarrying;2024 June;161.1;6.9;-4.1
177;Total sales;B Mining and quarrying;2024 July;170.7;5.9;4.3
178;Total sales;B Mining and quarrying;2024 August;154.5;-9.5;-3.9
179;Total sales;B Mining and quarrying;2024 September;163.4;5.8;-5.8
180;Total sales;B Mining and quarrying;2024 October;151.2;-7.5;-6.9
181;Total sales;B Mining and quarrying;2024 November;158.9;5.1;-11.0
182;Total sales;B Mining and quarrying;2024 December;167.0;5.1;-9.6
183;Total sales;B Mining and quarrying;2024;156.8;;-16.4
184;Total sales;B Mining and quarrying;2025 January;168.6;1.0;4.3
185;Total sales;B Mining and quarrying;2025 February;173.6;2.9;23.0
186;Total sales;05 Coal and lignite;2018 January;;;
187;Total sales;05 Coal and lignite;2018 February;;;
188;Total sales;05 Coal and lignite;2018 March;;;
189;Total sales;05 Coal and lignite;2018 April;;;
190;Total sales;05 Coal and lignite;2018 May;;;
191;Total sales;05 Coal and lignite;2018 June;;;
192;Total sales;05 Coal and lignite;2018 July;;;
193;Total sales;05 Coal and lignite;2018 August;;;
194;Total sales;05 Coal and lignite;2018 September;;;
195;Total sales;05 Coal and lignite;2018 October;;;
196;Total sales;05 Coal and lignite;2018 November;;;
197;Total sales;05 Coal and lignite;2018 December;;;
198;Total sales;05 Coal and lignite;2018;;;
199;Total sales;05 Coal and lignite;2019 January;;;
200;Total sales;05 Coal and lignite;2019 February;;;
201;Total sales;05 Coal and lignite;2019 March;;;
202;Total sales;05 Coal and lignite;2019 April;;;
203;Total sales;05 Coal and lignite;2019 May;;;
204;Total sales;05 Coal and lignite;2019 June;;;
205;Total sales;05 Coal and lignite;2019 July;;;
206;Total sales;05 Coal and lignite;2019 August;;;
207;Total sales;05 Coal and lignite;2019 September;;;
208;Total sales;05 Coal and lignite;2019 October;;;
209;Total sales;05 Coal and lignite;2019 November;;;
210;Total sales;05 Coal and lignite;2019 December;;;
211;Total sales;05 Coal and lignite;2019;;;
212;Total sales;05 Coal and lignite;2020 January;;;
213;Total sales;05 Coal and lignite;2020 February;;;
214;Total sales;05 Coal and lignite;2020 March;;;
215;Total sales;05 Coal and lignite;2020 April;;;
216;Total sales;05 Coal and lignite;2020 May;;;
217;Total sales;05 Coal and lignite;2020 June;;;
218;Total sales;05 Coal and lignite;2020 July;;;
219;Total sales;05 Coal and lignite;2020 August;;;
220;Total sales;05 Coal and lignite;2020 September;;;
221;Total sales;05 Coal and lignite;2020 October;;;
222;Total sales;05 Coal and lignite;2020 November;;;
223;Total sales;05 Coal and lignite;2020 December;;;
224;Total sales;05 Coal and lignite;2020;;;
225;Total sales;05 Coal and lignite;2021 January;;;
226;Total sales;05 Coal and lignite;2021 February;;;
227;Total sales;05 Coal and lignite;2021 March;;;
228;Total sales;05 Coal and lignite;2021 April;;;
229;Total sales;05 Coal and lignite;2021 May;;;
230;Total sales;05 Coal and lignite;2021 June;;;
231;Total sales;05 Coal and lignite;2021 July;;;
232;Total sales;05 Coal and lignite;2021 August;;;
233;Total sales;05 Coal and lignite;2021 September;;;
234;Total sales;05 Coal and lignite;2021 October;;;
235;Total sales;05 Coal and lignite;2021 November;;;
236;Total sales;05 Coal and lignite;2021 December;;;
237;Total sales;05 Coal and lignite;2021;;;
238;Total sales;05 Coal and lignite;2022 January;;;
239;Total sales;05 Coal and lignite;2022 February;;;
240;Total sales;05 Coal and lignite;2022 March;;;
241;Total sales;05 Coal and lignite;2022 April;;;
242;Total sales;05 Coal and lignite;2022 May;;;
243;Total sales;05 Coal and lignite;2022 June;;;
244;Total sales;05 Coal and lignite;2022 July;;;
245;Total sales;05 Coal and lignite;2022 August;;;
246;Total sales;05 Coal and lignite;2022 September;;;
247;Total sales;05 Coal and lignite;2022 October;;;
248;Total sales;05 Coal and lignite;2022 November;;;
249;Total sales;05 Coal and lignite;2022 December;;;
250;Total sales;05 Coal and lignite;2022;;;
251;Total sales;05 Coal and lignite;2023 January;;;
252;Total sales;05 Coal and lignite;2023 February;;;
253;Total sales;05 Coal and lignite;2023 March;;;
254;Total sales;05 Coal and lignite;2023 April;;;
255;Total sales;05 Coal and lignite;2023 May;;;
256;Total sales;05 Coal and lignite;2023 June;;;
257;Total sales;05 Coal and lignite;2023 July;;;
258;Total sales;05 Coal and lignite;2023 August;;;
259;Total sales;05 Coal and lignite;2023 September;;;
260;Total sales;05 Coal and lignite;2023 October;;;
261;Total sales;05 Coal and lignite;2023 November;;;
262;Total sales;05 Coal and lignite;2023 December;;;
263;Total sales;05 Coal and lignite;2023;;;
264;Total sales;05 Coal and lignite;2024 January;;;
265;Total sales;05 Coal and lignite;2024 February;;;
266;Total sales;05 Coal and lignite;2024 March;;;
267;Total sales;05 Coal and lignite;2024 April;;;
268;Total sales;05 Coal and lignite;2024 May;;;
269;Total sales;05 Coal and lignite;2024 June;;;
270;Total sales;05 Coal and lignite;2024 July;;;
271;Total sales;05 Coal and lignite;2024 August;;;
272;Total sales;05 Coal and lignite;2024 September;;;
273;Total sales;05 Coal and lignite;2024 October;;;
274;Total sales;05 Coal and lignite;2024 November;;;
275;Total sales;05 Coal and lignite;2024 December;;;
276;Total sales;05 Coal and lignite;2024;;;
277;Total sales;05 Coal and lignite;2025 January;;;
278;Total sales;05 Coal and lignite;2025 February;;;
279;Total sales;051 Hard coal;2018 January;;;
280;Total sales;051 Hard coal;2018 February;;;
281;Total sales;051 Hard coal;2018 March;;;
282;Total sales;051 Hard coal;2018 April;;;
283;Total sales;051 Hard coal;2018 May;;;
284;Total sales;051 Hard coal;2018 June;;;
285;Total sales;051 Hard coal;2018 July;;;
286;Total sales;051 Hard coal;2018 August;;;
287;Total sales;051 Hard coal;2018 September;;;
288;Total sales;051 Hard coal;2018 October;;;
289;Total sales;051 Hard coal;2018 November;;;
290;Total sales;051 Hard coal;2018 December;;;
291;Total sales;051 Hard coal;2018;;;
292;Total sales;051 Hard coal;2019 January;;;
293;Total sales;051 Hard coal;2019 February;;;
294;Total sales;051 Hard coal;2019 March;;;
295;Total sales;051 Hard coal;2019 April;;;
296;Total sales;051 Hard coal;2019 May;;;
297;Total sales;051 Hard coal;2019 June;;;
298;Total sales;051 Hard coal;2019 July;;;
299;Total sales;051 Hard coal;2019 August;;;
300;Total sales;051 Hard coal;2019 September;;;
301;Total sales;051 Hard coal;2019 October;;;
302;Total sales;051 Hard coal;2019 November;;;
303;Total sales;051 Hard coal;2019 December;;;
304;Total sales;051 Hard coal;2019;;;
305;Total sales;051 Hard coal;2020 January;;;
306;Total sales;051 Hard coal;2020 February;;;
307;Total sales;051 Hard coal;2020 March;;;
308;Total sales;051 Hard coal;2020 April;;;
309;Total sales;051 Hard coal;2020 May;;;
310;Total sales;051 Hard coal;2020 June;;;
311;Total sales;051 Hard coal;2020 July;;;
312;Total sales;051 Hard coal;2020 August;;;
313;Total sales;051 Hard coal;2020 September;;;
314;Total sales;051 Hard coal;2020 October;;;
315;Total sales;051 Hard coal;2020 November;;;
316;Total sales;051 Hard coal;2020 December;;;
317;Total sales;051 Hard coal;2020;;;
318;Total sales;051 Hard coal;2021 January;;;
319;Total sales;051 Hard coal;2021 February;;;
320;Total sales;051 Hard coal;2021 March;;;
321;Total sales;051 Hard coal;2021 April;;;
322;Total sales;051 Hard coal;2021 May;;;
323;Total sales;051 Hard coal;2021 June;;;
324;Total sales;051 Hard coal;2021 July;;;
325;Total sales;051 Hard coal;2021 August;;;
326;Total sales;051 Hard coal;2021 September;;;
327;Total sales;051 Hard coal;2021 October;;;
328;Total sales;051 Hard coal;2021 November;;;
329;Total sales;051 Hard coal;2021 December;;;
330;Total sales;051 Hard coal;2021;;;
331;Total sales;051 Hard coal;2022 January;;;
332;Total sales;051 Hard coal;2022 February;;;
333;Total sales;051 Hard coal;2022 March;;;
334;Total sales;051 Hard coal;2022 April;;;
335;Total sales;051 Hard coal;2022 May;;;
336;Total sales;051 Hard coal;2022 June;;;
337;Total sales;051 Hard coal;2022 July;;;
338;Total sales;051 Hard coal;2022 August;;;
339;Total sales;051 Hard coal;2022 September;;;
340;Total sales;051 Hard coal;2022 October;;;
341;Total sales;051 Hard coal;2022 November;;;
342;Total sales;051 Hard coal;2022 December;;;
343;Total sales;051 Hard coal;2022;;;
344;Total sales;051 Hard coal;2023 January;;;
345;Total sales;051 Hard coal;2023 February;;;
346;Total sales;051 Hard coal;2023 March;;;
347;Total sales;051 Hard coal;2023 April;;;
348;Total sales;051 Hard coal;2023 May;;;
349;Total sales;051 Hard coal;2023 June;;;
350;Total sales;051 Hard coal;2023 July;;;
351;Total sales;051 Hard coal;2023 August;;;
352;Total sales;051 Hard coal;2023 September;;;
353;Total sales;051 Hard coal;2023 October;;;
354;Total sales;051 Hard coal;2023 November;;;
355;Total sales;051 Hard coal;2023 December;;;
356;Total sales;051 Hard coal;2023;;;
357;Total sales;051 Hard coal;2024 January;;;
358;Total sales;051 Hard coal;2024 February;;;
359;Total sales;051 Hard coal;2024 March;;;
360;Total sales;051 Hard coal;2024 April;;;
361;Total sales;051 Hard coal;2024 May;;;
362;Total sales;051 Hard coal;2024 June;;;
363;Total sales;051 Hard coal;2024 July;;;
364;Total sales;051 Hard coal;2024 August;;;
365;Total sales;051 Hard coal;2024 September;;;
366;Total sales;051 Hard coal;2024 October;;;
367;Total sales;051 Hard coal;2024 November;;;
368;Total sales;051 Hard coal;2024 December;;;
369;Total sales;051 Hard coal;2024;;;
370;Total sales;051 Hard coal;2025 January;;;
371;Total sales;051 Hard coal;2025 February;;;
372;Total sales;052 Lignite;2018 January;;;
373;Total sales;052 Lignite;2018 February;;;
374;Total sales;052 Lignite;2018 March;;;
375;Total sales;052 Lignite;2018 April;;;
376;Total sales;052 Lignite;2018 May;;;
377;Total sales;052 Lignite;2018 June;;;
378;Total sales;052 Lignite;2018 July;;;
379;Total sales;052 Lignite;2018 August;;;
380;Total sales;052 Lignite;2018 September;;;
381;Total sales;052 Lignite;2018 October;;;
382;Total sales;052 Lignite;2018 November;;;
383;Total sales;052 Lignite;2018 December;;;
384;Total sales;052 Lignite;2018;;;
385;Total sales;052 Lignite;2019 January;;;
386;Total sales;052 Lignite;2019 February;;;
387;Total sales;052 Lignite;2019 March;;;
388;Total sales;052 Lignite;2019 April;;;
389;Total sales;052 Lignite;2019 May;;;
390;Total sales;052 Lignite;2019 June;;;
391;Total sales;052 Lignite;2019 July;;;
392;Total sales;052 Lignite;2019 August;;;
393;Total sales;052 Lignite;2019 September;;;
394;Total sales;052 Lignite;2019 October;;;
395;Total sales;052 Lignite;2019 November;;;
396;Total sales;052 Lignite;2019 December;;;
397;Total sales;052 Lignite;2019;;;
398;Total sales;052 Lignite;2020 January;;;
399;Total sales;052 Lignite;2020 February;;;
400;Total sales;052 Lignite;2020 March;;;
401;Total sales;052 Lignite;2020 April;;;
402;Total sales;052 Lignite;2020 May;;;
403;Total sales;052 Lignite;2020 June;;;
404;Total sales;052 Lignite;2020 July;;;
405;Total sales;052 Lignite;2020 August;;;
406;Total sales;052 Lignite;2020 September;;;
407;Total sales;052 Lignite;2020 October;;;
408;Total sales;052 Lignite;2020 November;;;
409;Total sales;052 Lignite;2020 December;;;
410;Total sales;052 Lignite;2020;;;
411;Total sales;052 Lignite;2021 January;;;
412;Total sales;052 Lignite;2021 February;;;
413;Total sales;052 Lignite;2021 March;;;
414;Total sales;052 Lignite;2021 April;;;
415;Total sales;052 Lignite;2021 May;;;
416;Total sales;052 Lignite;2021 June;;;
417;Total sales;052 Lignite;2021 July;;;
418;Total sales;052 Lignite;2021 August;;;
419;Total sales;052 Lignite;2021 September;;;
420;Total sales;052 Lignite;2021 October;;;
421;Total sales;052 Lignite;2021 November;;;
422;Total sales;052 Lignite;2021 December;;;
423;Total sales;052 Lignite;2021;;;
424;Total sales;052 Lignite;2022 January;;;
425;Total sales;052 Lignite;2022 February;;;
426;Total sales;052 Lignite;2022 March;;;
427;Total sales;052 Lignite;2022 April;;;
428;Total sales;052 Lignite;2022 May;;;
429;Total sales;052 Lignite;2022 June;;;
430;Total sales;052 Lignite;2022 July;;;
431;Total sales;052 Lignite;2022 August;;;
432;Total sales;052 Lignite;2022 September;;;
433;Total sales;052 Lignite;2022 October;;;
434;Total sales;052 Lignite;2022 November;;;
435;Total sales;052 Lignite;2022 December;;;
436;Total sales;052 Lignite;2022;;;
437;Total sales;052 Lignite;2023 January;;;
438;Total sales;052 Lignite;2023 February;;;
439;Total sales;052 Lignite;2023 March;;;
440;Total sales;052 Lignite;2023 April;;;
441;Total sales;052 Lignite;2023 May;;;
442;Total sales;052 Lignite;2023 June;;;
443;Total sales;052 Lignite;2023 July;;;
444;Total sales;052 Lignite;2023 August;;;
445;Total sales;052 Lignite;2023 September;;;
446;Total sales;052 Lignite;2023 October;;;
447;Total sales;052 Lignite;2023 November;;;
448;Total sales;052 Lignite;2023 December;;;
449;Total sales;052 Lignite;2023;;;
450;Total sales;052 Lignite;2024 January;;;
451;Total sales;052 Lignite;2024 February;;;
452;Total sales;052 Lignite;2024 March;;;
453;Total sales;052 Lignite;2024 April;;;
454;Total sales;052 Lignite;2024 May;;;
455;Total sales;052 Lignite;2024 June;;;
456;Total sales;052 Lignite;2024 July;;;
457;Total sales;052 Lignite;2024 August;;;
458;Total sales;052 Lignite;2024 September;;;
459;Total sales;052 Lignite;2024 October;;;
460;Total sales;052 Lignite;2024 November;;;
461;Total sales;052 Lignite;2024 December;;;
462;Total sales;052 Lignite;2024;;;
463;Total sales;052 Lignite;2025 January;;;
464;Total sales;052 Lignite;2025 February;;;
465;Total sales;06 Crude petroleum, natural gas liqui...;2018 January;69.9;;
466;Total sales;06 Crude petroleum, natural gas liqui...;2018 February;65.3;-6.5;
467;Total sales;06 Crude petroleum, natural gas liqui...;2018 March;;;
468;Total sales;06 Crude petroleum, natural gas liqui...;2018 April;;;
469;Total sales;06 Crude petroleum, natural gas liqui...;2018 May;;;
470;Total sales;06 Crude petroleum, natural gas liqui...;2018 June;;;
471;Total sales;06 Crude petroleum, natural gas liqui...;2018 July;76.6;;
472;Total sales;06 Crude petroleum, natural gas liqui...;2018 August;;;
473;Total sales;06 Crude petroleum, natural gas liqui...;2018 September;;;
474;Total sales;06 Crude petroleum, natural gas liqui...;2018 October;91.9;;
475;Total sales;06 Crude petroleum, natural gas liqui...;2018 November;;;
476;Total sales;06 Crude petroleum, natural gas liqui...;2018 December;;;
477;Total sales;06 Crude petroleum, natural gas liqui...;2018;75.4;;
478;Total sales;06 Crude petroleum, natural gas liqui...;2019 January;78.5;;12.3
479;Total sales;06 Crude petroleum, natural gas liqui...;2019 February;;;
480;Total sales;06 Crude petroleum, natural gas liqui...;2019 March;64.9;;
481;Total sales;06 Crude petroleum, natural gas liqui...;2019 April;59.6;-8.1;
482;Total sales;06 Crude petroleum, natural gas liqui...;2019 May;;;
483;Total sales;06 Crude petroleum, natural gas liqui...;2019 June;52.6;;
484;Total sales;06 Crude petroleum, natural gas liqui...;2019 July;48.3;-8.2;-36.9
485;Total sales;06 Crude petroleum, natural gas liqui...;2019 August;47.6;-1.5;
486;Total sales;06 Crude petroleum, natural gas liqui...;2019 September;;;
487;Total sales;06 Crude petroleum, natural gas liqui...;2019 October;56.3;;-38.7
488;Total sales;06 Crude petroleum, natural gas liqui...;2019 November;57.1;1.5;
489;Total sales;06 Crude petroleum, natural gas liqui...;2019 December;60.0;5.0;
490;Total sales;06 Crude petroleum, natural gas liqui...;2019;59.2;;-21.4
