ID;InstitutionalSectors;NotConsolidatedOrConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossProfitsBeforeTaxes_144;NetProfitsBeforeTaxes_145;GrossNationalIncome_146;NetNationalIncome_147;GrossDisposableIncome_148;NetDisposableIncome_149;GrossSaving_150;NetSaving_151;NetTransactionsOfGoodAndServices_152;SurplusNationOnCurrentTransactions_153;NetSavingAndCapitalTransfers_154;NetLendingOrNetBorrowing_155;TotalFinancialTransactionsInAssets_156;TotalFinancialTransactionsLiabilities_157;NetFinancialTransactions_158;StatisticalDiscrepancy_159
1257;Central bank;Consolidated;2008 3rd quarter;858.0;;;;;;66.0;66.0;0.0;66.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;791.0;765.0;0.0;765.0;26.0;0.0;26.0;0.0;0.0;0.0;;0.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;432.0;;;;;;33.0;26.0;22.0;4.0;0.0;;0.0;;;;294.0;294.0;0.0;294.0;0.0;0.0;;;;;;;;13.0;13.0;;1.0;;;;;;;1.0;;1.0;;55.0;0.0;;;;55.0;;;;;;;;;;0.0;0.0;;0.0;10.0;10.0;7.0;3.0;0.0;0.0;0.0;0.0;;33.0;;26.0;7.0;0.0;504.0;497.0;504.0;497.0;436.0;429.0;436.0;429.0;;;429.0;426.0;;;;
1258;Central bank;Consolidated;2008 4th quarter;1175.0;;;;;;83.0;83.0;0.0;83.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;1092.0;1065.0;0.0;1065.0;27.0;0.0;27.0;0.0;0.0;0.0;;0.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1423.0;;;;;;47.0;30.0;27.0;3.0;0.0;;0.0;;;;1261.0;494.0;0.0;494.0;767.0;767.0;;;;;;;;21.0;21.0;;0.0;;;;;;;0.0;;0.0;;55.0;0.0;;;;55.0;;;;;;;;;;0.0;0.0;;0.0;9.0;9.0;6.0;3.0;0.0;0.0;0.0;0.0;;36.0;;30.0;6.0;0.0;604.0;598.0;-163.0;-169.0;-239.0;-245.0;-239.0;-245.0;;;-245.0;-248.0;;;;
1259;Central bank;Consolidated;2008;3677.0;;;;;;297.0;297.0;0.0;297.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;3377.0;3287.0;0.0;3287.0;90.0;0.0;90.0;0.0;0.0;0.0;;0.0;0.0;;;;3.0;3.0;;3.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;3158.0;;;;;;146.0;124.0;112.0;12.0;0.0;;0.0;;;;2572.0;1391.0;0.0;1391.0;1181.0;1181.0;;;;;;;;55.0;55.0;;3.0;;;;;;;3.0;;3.0;;220.0;0.0;;;;220.0;;;;;;;;;;0.0;0.0;;0.0;38.0;38.0;27.0;11.0;0.0;0.0;0.0;0.0;;151.0;;124.0;27.0;0.0;2013.0;1986.0;832.0;805.0;557.0;530.0;557.0;530.0;;;530.0;519.0;10816.0;10297.0;519.0;0.0
1260;Central bank;Consolidated;2009 1st quarter;769.0;;;;;;75.0;75.0;0.0;75.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;692.0;677.0;0.0;677.0;15.0;0.0;15.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;729.0;;;;;;34.0;33.0;27.0;6.0;0.0;;0.0;;;;571.0;216.0;0.0;216.0;355.0;355.0;;;;;;;;10.0;10.0;;2.0;;;;;;;2.0;;2.0;;61.0;0.0;;;;61.0;;;;;;;;;;0.0;0.0;;0.0;18.0;18.0;8.0;10.0;0.0;0.0;0.0;0.0;;41.0;;33.0;8.0;0.0;484.0;476.0;129.0;121.0;58.0;50.0;58.0;50.0;;;50.0;40.0;;;;
1261;Central bank;Consolidated;2009 2nd quarter;535.0;;;;;;85.0;85.0;0.0;85.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;450.0;427.0;0.0;427.0;23.0;0.0;23.0;0.0;0.0;0.0;;0.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;264.0;;;;;;38.0;39.0;35.0;4.0;0.0;;0.0;;;;101.0;101.0;0.0;101.0;0.0;0.0;;;;;;;;8.0;8.0;;0.0;;;;;;;0.0;;0.0;;60.0;0.0;;;;60.0;;;;;;;;;;0.0;0.0;;0.0;18.0;18.0;8.0;10.0;0.0;0.0;0.0;0.0;;47.0;;39.0;8.0;0.0;357.0;349.0;357.0;349.0;289.0;281.0;289.0;281.0;;;281.0;271.0;;;;
1262;Central bank;Consolidated;2009 3rd quarter;484.0;;;;;;73.0;73.0;0.0;73.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;410.0;394.0;0.0;394.0;16.0;0.0;16.0;0.0;0.0;0.0;;0.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;237.0;;;;;;34.0;30.0;24.0;6.0;0.0;;0.0;;;;86.0;86.0;0.0;86.0;0.0;0.0;;;;;;;;7.0;7.0;;1.0;;;;;;;1.0;;1.0;;60.0;0.0;;;;60.0;;;;;;;;;;0.0;0.0;;0.0;19.0;19.0;9.0;10.0;0.0;0.0;0.0;0.0;;39.0;;30.0;9.0;0.0;333.0;324.0;333.0;324.0;266.0;257.0;266.0;257.0;;;257.0;247.0;;;;
1263;Central bank;Consolidated;2009 4th quarter;473.0;;;;;;84.0;84.0;0.0;84.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;389.0;366.0;0.0;366.0;23.0;0.0;23.0;0.0;0.0;0.0;;0.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1165.0;;;;;;44.0;32.0;28.0;4.0;0.0;;0.0;;;;1004.0;76.0;0.0;76.0;928.0;928.0;;;;;;;;7.0;7.0;;0.0;;;;;;;0.0;;0.0;;60.0;0.0;;;;60.0;;;;;;;;;;0.0;0.0;;0.0;18.0;18.0;8.0;10.0;0.0;0.0;0.0;0.0;;40.0;;32.0;8.0;0.0;321.0;313.0;-607.0;-615.0;-674.0;-682.0;-674.0;-682.0;;;-682.0;-692.0;;;;
1264;Central bank;Consolidated;2009;2261.0;;;;;;317.0;317.0;0.0;317.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;1941.0;1864.0;0.0;1864.0;77.0;0.0;77.0;0.0;0.0;0.0;;0.0;0.0;;;;3.0;3.0;;3.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;2395.0;;;;;;150.0;134.0;114.0;20.0;0.0;;0.0;;;;1762.0;479.0;0.0;479.0;1283.0;1283.0;;;;;;;;32.0;32.0;;3.0;;;;;;;3.0;;3.0;;241.0;0.0;;;;241.0;;;;;;;;;;0.0;0.0;;0.0;73.0;73.0;33.0;40.0;0.0;0.0;0.0;0.0;;167.0;;134.0;33.0;0.0;1495.0;1462.0;212.0;179.0;-61.0;-94.0;-61.0;-94.0;;;-94.0;-134.0;13825.0;13959.0;-134.0;0.0
1265;Central bank;Consolidated;2010 1st quarter;575.0;;;;;;83.0;83.0;0.0;83.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;490.0;402.0;0.0;402.0;88.0;0.0;88.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;641.0;;;;;;35.0;39.0;30.0;9.0;0.0;;0.0;;;;475.0;85.0;0.0;85.0;390.0;390.0;;;;;;;;8.0;8.0;;2.0;;;;;;;2.0;;2.0;;67.0;0.0;;;;67.0;;;;;;;;;;0.0;0.0;;0.0;15.0;15.0;9.0;6.0;0.0;0.0;0.0;0.0;;48.0;;39.0;9.0;0.0;414.0;405.0;24.0;15.0;-51.0;-60.0;-51.0;-60.0;;;-60.0;-66.0;2343.0;2409.0;-66.0;0.0
1266;Central bank;Consolidated;2010 2nd quarter;568.0;;;;;;84.0;84.0;0.0;84.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;482.0;461.0;0.0;461.0;21.0;0.0;21.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;268.0;;;;;;35.0;40.0;32.0;8.0;0.0;;0.0;;;;102.0;102.0;0.0;102.0;0.0;0.0;;;;;;;;8.0;8.0;;2.0;;;;;;;2.0;;2.0;;70.0;0.0;;;;70.0;;;;;;;;;;0.0;0.0;;0.0;11.0;11.0;9.0;2.0;0.0;0.0;0.0;0.0;;49.0;;40.0;9.0;0.0;389.0;380.0;389.0;380.0;311.0;302.0;311.0;302.0;;;302.0;300.0;24402.0;24102.0;300.0;0.0
1267;Central bank;Consolidated;2010 3rd quarter;474.0;;;;;;82.0;82.0;0.0;82.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;390.0;386.0;0.0;386.0;4.0;0.0;4.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;252.0;;;;;;35.0;36.0;29.0;7.0;0.0;;0.0;;;;97.0;97.0;0.0;97.0;0.0;0.0;;;;;;;;9.0;9.0;;2.0;;;;;;;2.0;;2.0;;61.0;0.0;;;;61.0;;;;;;;;;;0.0;0.0;;0.0;12.0;12.0;11.0;1.0;0.0;0.0;0.0;0.0;;47.0;;36.0;11.0;0.0;304.0;293.0;304.0;293.0;234.0;223.0;234.0;223.0;;;223.0;222.0;-28705.0;-28927.0;222.0;0.0
1268;Central bank;Consolidated;2010 4th quarter;489.0;;;;;;88.0;88.0;0.0;88.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;399.0;396.0;0.0;396.0;3.0;0.0;3.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1260.0;;;;;;37.0;41.0;30.0;11.0;0.0;;0.0;;;;1089.0;96.0;0.0;96.0;993.0;993.0;;;;;;;;9.0;9.0;;2.0;;;;;;;2.0;;2.0;;73.0;0.0;;;;73.0;;;;;;;;;;0.0;0.0;;0.0;9.0;9.0;10.0;-1.0;0.0;0.0;0.0;0.0;;51.0;;41.0;10.0;0.0;313.0;303.0;-680.0;-690.0;-762.0;-772.0;-762.0;-772.0;;;-772.0;-771.0;-2240.0;-1469.0;-771.0;0.0
1269;Central bank;Consolidated;2010;2106.0;;;;;;337.0;337.0;0.0;337.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;1761.0;1645.0;0.0;1645.0;116.0;0.0;116.0;0.0;0.0;0.0;;0.0;0.0;;;;8.0;8.0;;8.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;2421.0;;;;;;142.0;156.0;121.0;35.0;0.0;;0.0;;;;1763.0;380.0;0.0;380.0;1383.0;1383.0;;;;;;;;34.0;34.0;;8.0;;;;;;;8.0;;8.0;;271.0;0.0;;;;271.0;;;;;;;;;;0.0;0.0;;0.0;47.0;47.0;39.0;8.0;0.0;0.0;0.0;0.0;;195.0;;156.0;39.0;0.0;1420.0;1381.0;37.0;-2.0;-268.0;-307.0;-268.0;-307.0;;;-307.0;-315.0;-4200.0;-3885.0;-315.0;0.0
1270;Central bank;Consolidated;2011 1st quarter;483.0;;;;;;85.0;85.0;0.0;85.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;397.0;382.0;0.0;382.0;14.0;0.0;14.0;0.0;1.0;0.0;;1.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;263.0;;;;;;36.0;41.0;31.0;10.0;0.0;;0.0;;;;98.0;98.0;0.0;98.0;0.0;0.0;;;;;;;;9.0;9.0;;1.0;;;;;;;1.0;;1.0;;69.0;0.0;;;;69.0;;;;;;;;;;0.0;0.0;;0.0;9.0;9.0;8.0;1.0;0.0;0.0;0.0;0.0;;49.0;;41.0;8.0;0.0;307.0;299.0;307.0;299.0;229.0;221.0;229.0;221.0;;;221.0;220.0;-14413.0;-14633.0;220.0;0.0
1271;Central bank;Consolidated;2011 2nd quarter;530.0;;;;;;83.0;83.0;0.0;83.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;445.0;437.0;0.0;437.0;7.0;0.0;7.0;0.0;1.0;0.0;;1.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;315.0;;;;;;30.0;44.0;33.0;11.0;0.0;;0.0;;;;150.0;150.0;0.0;150.0;0.0;0.0;;;;;;;;9.0;9.0;;2.0;;;;;;;2.0;;2.0;;69.0;0.0;;;;69.0;;;;;;;;;;0.0;0.0;;0.0;11.0;11.0;9.0;2.0;0.0;0.0;0.0;0.0;;53.0;;44.0;9.0;0.0;304.0;295.0;304.0;295.0;226.0;217.0;226.0;217.0;;;217.0;215.0;5648.0;5433.0;215.0;0.0
1272;Central bank;Consolidated;2011 3rd quarter;748.0;;;;;;77.0;77.0;0.0;77.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;668.0;658.0;0.0;658.0;10.0;0.0;10.0;0.0;0.0;0.0;;0.0;0.0;;;;3.0;3.0;;3.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;399.0;;;;;;30.0;38.0;27.0;11.0;0.0;;0.0;;;;242.0;242.0;0.0;242.0;0.0;0.0;;;;;;;;16.0;16.0;;3.0;;;;;;;3.0;;3.0;;60.0;0.0;;;;60.0;;;;;;;;;;0.0;0.0;;0.0;10.0;10.0;9.0;1.0;0.0;0.0;0.0;0.0;;47.0;;38.0;9.0;0.0;435.0;426.0;435.0;426.0;359.0;350.0;359.0;350.0;;;350.0;349.0;75082.0;74733.0;349.0;0.0
1273;Central bank;Consolidated;2011 4th quarter;1008.0;;;;;;89.0;89.0;0.0;89.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;917.0;877.0;0.0;877.0;40.0;0.0;40.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;474.0;;;;;;30.0;44.0;32.0;12.0;0.0;;0.0;;;;300.0;300.0;0.0;300.0;0.0;0.0;;;;;;;;21.0;21.0;;2.0;;;;;;;2.0;;2.0;;67.0;0.0;;;;67.0;;;;;;;;;;0.0;0.0;;0.0;10.0;10.0;15.0;-5.0;0.0;0.0;0.0;0.0;;59.0;;44.0;15.0;0.0;632.0;617.0;632.0;617.0;544.0;529.0;544.0;529.0;;;529.0;534.0;64131.0;63597.0;534.0;0.0
1274;Central bank;Consolidated;2011;2769.0;;;;;;334.0;334.0;0.0;334.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;2427.0;2354.0;0.0;2354.0;71.0;0.0;71.0;0.0;2.0;0.0;;2.0;0.0;;;;8.0;8.0;;8.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1451.0;;;;;;126.0;167.0;123.0;44.0;0.0;;0.0;;;;790.0;790.0;0.0;790.0;0.0;0.0;;;;;;;;55.0;55.0;;8.0;;;;;;;8.0;;8.0;;265.0;0.0;;;;265.0;;;;;;;;;;0.0;0.0;;0.0;40.0;40.0;41.0;-1.0;0.0;0.0;0.0;0.0;;208.0;;167.0;41.0;0.0;1678.0;1637.0;1678.0;1637.0;1358.0;1317.0;1358.0;1317.0;;;1317.0;1318.0;130448.0;129130.0;1318.0;0.0
1275;Central bank;Consolidated;2012 1st quarter;946.0;;;;;;80.0;80.0;0.0;80.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;864.0;857.0;0.0;857.0;5.0;0.0;5.0;0.0;2.0;0.0;;2.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1085.0;;;;;;28.0;42.0;31.0;11.0;0.0;;0.0;;;;916.0;166.0;0.0;166.0;750.0;750.0;;;;;;;;22.0;22.0;;2.0;;;;;;;2.0;;2.0;;66.0;0.0;;;;66.0;;;;;;;;;;0.0;0.0;;0.0;9.0;9.0;10.0;-1.0;0.0;0.0;0.0;0.0;;52.0;;42.0;10.0;0.0;708.0;698.0;-42.0;-52.0;-130.0;-140.0;-130.0;-140.0;;;-140.0;-139.0;23165.0;23304.0;-139.0;0.0
1276;Central bank;Consolidated;2012 2nd quarter;921.0;;;;;;85.0;85.0;0.0;85.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;835.0;813.0;0.0;813.0;21.0;1.0;20.0;0.0;1.0;0.0;;1.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;322.0;;;;;;32.0;41.0;32.0;9.0;0.0;;0.0;;;;153.0;153.0;0.0;153.0;0.0;0.0;;;;;;;;20.0;20.0;;1.0;;;;;;;1.0;;1.0;;66.0;0.0;;;;66.0;;;;;;;;;;0.0;0.0;;0.0;9.0;9.0;12.0;-3.0;0.0;0.0;0.0;0.0;;53.0;;41.0;12.0;0.0;694.0;682.0;694.0;682.0;608.0;596.0;608.0;596.0;;;596.0;599.0;-30625.0;-31224.0;599.0;0.0
1277;Central bank;Consolidated;2012 3rd quarter;765.0;;;;;;85.0;85.0;0.0;85.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;678.0;676.0;0.0;676.0;1.0;0.0;1.0;0.0;1.0;0.0;;1.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;211.0;;;;;;32.0;43.0;31.0;12.0;0.0;;0.0;;;;45.0;45.0;0.0;45.0;0.0;0.0;;;;;;;;16.0;16.0;;2.0;;;;;;;2.0;;2.0;;66.0;0.0;;;;66.0;;;;;;;;;;0.0;0.0;;0.0;7.0;7.0;10.0;-3.0;0.0;0.0;0.0;0.0;;53.0;;43.0;10.0;0.0;643.0;633.0;643.0;633.0;561.0;551.0;561.0;551.0;;;551.0;554.0;-6319.0;-6873.0;554.0;0.0
1278;Central bank;Consolidated;2012 4th quarter;700.0;;;;;;77.0;77.0;0.0;77.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;621.0;587.0;0.0;587.0;34.0;0.0;34.0;0.0;0.0;0.0;;0.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;194.0;;;;;;24.0;43.0;32.0;11.0;0.0;;0.0;;;;35.0;35.0;0.0;35.0;0.0;0.0;;;;;;;;15.0;15.0;;2.0;;;;;;;2.0;;2.0;;66.0;0.0;;;;66.0;;;;;;;;;;0.0;0.0;;0.0;9.0;9.0;10.0;-1.0;0.0;0.0;0.0;0.0;;53.0;;43.0;10.0;0.0;596.0;586.0;596.0;586.0;515.0;505.0;515.0;505.0;;;505.0;506.0;1477.0;971.0;506.0;0.0
1279;Central bank;Consolidated;2012;3332.0;;;;;;327.0;327.0;0.0;327.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;2998.0;2933.0;0.0;2933.0;61.0;1.0;60.0;0.0;4.0;0.0;;4.0;0.0;;;;7.0;7.0;;7.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1812.0;;;;;;116.0;169.0;126.0;43.0;0.0;;0.0;;;;1149.0;399.0;0.0;399.0;750.0;750.0;;;;;;;;73.0;73.0;;7.0;;;;;;;7.0;;7.0;;264.0;0.0;;;;264.0;;;;;;;;;;0.0;0.0;;0.0;34.0;34.0;42.0;-8.0;0.0;0.0;0.0;0.0;;211.0;;169.0;42.0;0.0;2641.0;2599.0;1891.0;1849.0;1554.0;1512.0;1554.0;1512.0;;;1512.0;1520.0;-12302.0;-13822.0;1520.0;0.0
1280;Central bank;Consolidated;2013 1st quarter;686.0;;;;;;85.0;85.0;0.0;85.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;600.0;573.0;0.0;573.0;25.0;0.0;25.0;0.0;2.0;0.0;;2.0;0.0;;;;1.0;1.0;;1.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;1990.0;;;;;;32.0;43.0;32.0;11.0;0.0;;0.0;;;;1822.0;38.0;0.0;38.0;1784.0;1784.0;;;;;;;;9.0;9.0;;1.0;;;;;;;1.0;;1.0;;76.0;0.0;;;;76.0;;;;;;;;;;0.0;0.0;;0.0;7.0;7.0;10.0;-3.0;0.0;0.0;0.0;0.0;;53.0;;43.0;10.0;0.0;572.0;562.0;-1212.0;-1222.0;-1297.0;-1307.0;-1297.0;-1307.0;;;-1307.0;-1304.0;-48995.0;-47691.0;-1304.0;0.0
1281;Central bank;Consolidated;2013 2nd quarter;556.0;;;;;;86.0;86.0;0.0;86.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;470.0;449.0;0.0;449.0;20.0;0.0;20.0;0.0;1.0;0.0;;1.0;0.0;;;;0.0;0.0;;0.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;199.0;;;;;;36.0;41.0;33.0;8.0;0.0;;0.0;;;;33.0;33.0;0.0;33.0;0.0;0.0;;;;;;;;8.0;8.0;;0.0;;;;;;;0.0;;0.0;;76.0;0.0;;;;76.0;;;;;;;;;;0.0;0.0;;0.0;5.0;5.0;9.0;-4.0;0.0;0.0;0.0;0.0;;50.0;;41.0;9.0;0.0;446.0;437.0;446.0;437.0;362.0;353.0;362.0;353.0;;;353.0;357.0;-8207.0;-8564.0;357.0;0.0
1282;Central bank;Consolidated;2013 3rd quarter;481.0;;;;;;92.0;92.0;0.0;92.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;386.0;383.0;0.0;383.0;1.0;0.0;1.0;0.0;2.0;0.0;;2.0;0.0;;;;3.0;3.0;;3.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;206.0;;;;;;36.0;46.0;33.0;13.0;0.0;;0.0;;;;32.0;32.0;0.0;32.0;0.0;0.0;;;;;;;;8.0;8.0;;3.0;;;;;;;3.0;;3.0;;75.0;0.0;;;;75.0;;;;;;;;;;0.0;0.0;;0.0;6.0;6.0;10.0;-4.0;0.0;0.0;0.0;0.0;;56.0;;46.0;10.0;0.0;364.0;354.0;364.0;354.0;281.0;271.0;281.0;271.0;;;271.0;275.0;-14521.0;-14796.0;275.0;0.0
1283;Central bank;Consolidated;2013 4th quarter;522.0;;;;;;111.0;111.0;0.0;111.0;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;409.0;333.0;0.0;333.0;75.0;0.0;75.0;0.0;1.0;0.0;;1.0;0.0;;;;2.0;2.0;;2.0;;;;;;;;0.0;;0.0;;;0.0;;;0.0;;0.0;0.0;223.0;;;;;;53.0;46.0;35.0;11.0;0.0;;0.0;;;;31.0;31.0;0.0;31.0;0.0;0.0;;;;;;;;8.0;8.0;;2.0;;;;;;;2.0;;2.0;;75.0;0.0;;;;75.0;;;;;;;;;;0.0;0.0;;0.0;8.0;8.0;12.0;-4.0;0.0;0.0;0.0;0.0;;58.0;;46.0;12.0;0.0;390.0;378.0;390.0;378.0;307.0;295.0;307.0;295.0;;;295.0;299.0;-16034.0;-16333.0;299.0;0.0
