ID;Perioden;Consumentenvertrouwen_1;EconomischKlimaat_2;Koopbereidheid_3;EconomischeSituatieLaatste12Maanden_4;EconomischeSituatieKomende12Maanden_5;FinancieleSituatieLaatste12Maanden_6;FinancieleSituatieKomende12Maanden_7;GunstigeTijdVoorGroteAankopen_8
454;2024 februari;-26;-41;-17;-56;-26;-16;2;-37
455;2024 maart;-22;-35;-14;-42;-27;-12;4;-33
456;2024 april;-21;-34;-13;-40;-29;-10;5;-33
457;2024 mei;-22;-38;-12;-43;-33;-8;4;-30
458;2024 juni;-23;-38;-14;-46;-30;-10;2;-32
459;2024 juli;-24;-39;-14;-47;-31;-10;0;-33
460;2024 augustus;-24;-42;-13;-51;-33;-9;1;-31
461;2024 september;-21;-37;-11;-45;-29;-7;4;-29
462;2024 oktober;-22;-37;-12;-46;-28;-9;2;-28
463;2024 november;-25;-43;-12;-51;-34;-11;1;-28
464;2024 december;-26;-45;-13;-54;-37;-11;0;-27
465;2025 januari;-28;-50;-14;-57;-43;-13;-1;-28
466;2025 februari;-32;-54;-17;-58;-50;-15;-5;-32
467;2025 maart;-34;-57;-18;-59;-55;-16;-6;-34
468;2025 april;-37;-61;-20;-64;-59;-18;-8;-34
