ID;GeslachtEnBedrijf;TypeEnOpleidendeInstantie;Perioden;GevolgdeCursussenOfOpleidingen_1;GevolgdeInterneOpleidingen_2;GevolgdeExterneOpleidingen_3;VerdelingCursussenOfOpleidingen_4;VerdelingInterneCursussenOpleidingen_5;VerdelingExterneCursussenOpleidingen_6;InterneEnExterneOpleidingsuren_7;GevolgdeInterneOpleidingsuren_8;GevolgdeExterneOpleidingsuren_9;VerdelingInterneEnExterneUren_10;VerdelingInterneOpleidingsuren_11;VerdelingExterneOpleidingsuren_12
28;Totaal werknemers;(Hoge-)scholen;1999;39.0;;39.0;1.0;;2.0;3628.0;;3628.0;5.0;;8.0
29;Totaal werknemers;(Hoge-)scholen;2005;;;;;;;;;;;;
30;Totaal werknemers;Universiteiten;1999;31.0;;31.0;1.0;;2.0;1972.0;;1972.0;3.0;;4.0
31;Totaal werknemers;Universiteiten;2005;;;;;;;;;;;;
32;Totaal werknemers;Opleidingsinstelling publieke sector;1999;290.0;;290.0;10.0;;18.0;8815.0;;8815.0;12.0;;19.0
33;Totaal werknemers;Opleidingsinstelling publieke sector;2005;;;;;;;;;5154.0;;;19.0
34;Totaal werknemers;Particuliere opleidingsinstituten;1999;900.0;;900.0;31.0;;57.0;22588.0;;22588.0;30.0;;50.0
35;Totaal werknemers;Particuliere opleidingsinstituten;2005;;;;;;;;;12212.0;;;45.0
36;Totaal werknemers;Lev. app., software /moeder-zusterbedr.;1999;;;;;;;;;;;;
37;Totaal werknemers;Lev. app., software /moeder-zusterbedr.;2005;;;;;;;;;2514.0;;;9.0
38;Totaal werknemers;Leveranciers van apparatuur en software;1999;130.0;;130.0;4.0;;8.0;2723.0;;2723.0;4.0;;6.0
39;Totaal werknemers;Leveranciers van apparatuur en software;2005;;;;;;;;;;;;
40;Totaal werknemers;Moeder- en zusterbedrijven;1999;82.0;;82.0;3.0;;5.0;2163.0;;2163.0;3.0;;5.0
41;Totaal werknemers;Moeder- en zusterbedrijven;2005;;;;;;;;;;;;
42;Totaal werknemers;Vakbonden;1999;1.0;;1.0;0.0;;0.0;28.0;;28.0;0.0;;0.0
43;Totaal werknemers;Vakbonden;2005;;;;;;;;;555.0;;;2.0
44;Totaal werknemers;KvK, branche- en werkgeversorg.;1999;98.0;;98.0;3.0;;6.0;2760.0;;2760.0;4.0;;6.0
45;Totaal werknemers;KvK, branche- en werkgeversorg.;2005;;;;;;;;;79.0;;;0.0
46;Totaal werknemers;Eigen bedrijf;1999;1306.0;1306.0;;45.0;;;29752.0;29752.0;;40.0;;
47;Totaal werknemers;Eigen bedrijf;2005;;;;;;;;;;;;
48;Totaal werknemers;Overige instanties;1999;18.0;;18.0;1.0;;1.0;583.0;;583.0;1.0;;1.0
49;Totaal werknemers;Overige instanties;2005;;;;;;;;;3180.0;;;12.0
50;Mannelijke werknemers;Totaal van de opleidingen;1999;2059.0;871.0;1188.0;100.0;100.0;100.0;53579.0;19231.0;34349.0;100.0;100.0;100.0
51;Mannelijke werknemers;Totaal van de opleidingen;2005;;;;;;;;;;;;
52;Mannelijke werknemers;Talen;1999;32.0;7.0;25.0;2.0;1.0;2.0;1102.0;250.0;852.0;2.0;1.0;2.0
53;Mannelijke werknemers;Talen;2005;;;;;;;;;;;;
54;Mannelijke werknemers;Verkoop en marketing;1999;148.0;78.0;70.0;7.0;9.0;6.0;3670.0;1825.0;1845.0;7.0;9.0;5.0
55;Mannelijke werknemers;Verkoop en marketing;2005;;;;;;;;;;;;
56;Mannelijke werknemers;Boekhouding/financiën/management/kantoor;1999;;;;;;;;;;;;
57;Mannelijke werknemers;Boekhouding/financiën/management/kantoor;2005;;;;;;;;;;;;
58;Mannelijke werknemers;Boekhouding en financiën;1999;137.0;71.0;66.0;7.0;8.0;6.0;6991.0;3165.0;3827.0;13.0;16.0;11.0
59;Mannelijke werknemers;Boekhouding en financiën;2005;;;;;;;;;;;;
60;Mannelijke werknemers;Management;1999;134.0;56.0;78.0;7.0;6.0;7.0;4725.0;1431.0;3295.0;9.0;7.0;10.0
61;Mannelijke werknemers;Management;2005;;;;;;;;;;;;
62;Mannelijke werknemers;Kantoorwerk;1999;19.0;6.0;14.0;1.0;1.0;1.0;295.0;77.0;218.0;1.0;0.0;1.0
63;Mannelijke werknemers;Kantoorwerk;2005;;;;;;;;;;;;
64;Mannelijke werknemers;Persoonlijke vaardigheden;1999;267.0;146.0;121.0;13.0;17.0;10.0;5565.0;2575.0;2990.0;10.0;13.0;9.0
65;Mannelijke werknemers;Persoonlijke vaardigheden;2005;;;;;;;;;;;;
66;Mannelijke werknemers;Informatica;1999;384.0;148.0;235.0;19.0;17.0;20.0;8488.0;3052.0;5436.0;16.0;16.0;16.0
67;Mannelijke werknemers;Informatica;2005;;;;;;;;;;;;
68;Mannelijke werknemers;Techniek, bouw en productie;1999;385.0;150.0;235.0;19.0;17.0;20.0;12149.0;3706.0;8443.0;23.0;19.0;25.0
69;Mannelijke werknemers;Techniek, bouw en productie;2005;;;;;;;;;;;;
70;Mannelijke werknemers;Milieu en arbeidsomstandigheden;1999;393.0;151.0;242.0;19.0;17.0;20.0;6688.0;2214.0;4475.0;12.0;12.0;13.0
71;Mannelijke werknemers;Milieu en arbeidsomstandigheden;2005;;;;;;;;;;;;
72;Mannelijke werknemers;Diensten;1999;118.0;45.0;73.0;6.0;5.0;6.0;2506.0;616.0;1890.0;5.0;3.0;6.0
73;Mannelijke werknemers;Diensten;2005;;;;;;;;;;;;
74;Mannelijke werknemers;Overige typen;1999;43.0;13.0;29.0;2.0;2.0;2.0;1399.0;321.0;1078.0;3.0;2.0;3.0
75;Mannelijke werknemers;Overige typen;2005;;;;;;;;;;;;
76;Mannelijke werknemers;Hogescholen en universiteiten;1999;;;;;;;;;;;;
77;Mannelijke werknemers;Hogescholen en universiteiten;2005;;;;;;;;;;;;
78;Mannelijke werknemers;(Hoge-)scholen;1999;30.0;;30.0;1.0;;3.0;2746.0;;2746.0;5.0;;8.0
79;Mannelijke werknemers;(Hoge-)scholen;2005;;;;;;;;;;;;
80;Mannelijke werknemers;Universiteiten;1999;18.0;;18.0;1.0;;2.0;1316.0;;1316.0;2.0;;4.0
81;Mannelijke werknemers;Universiteiten;2005;;;;;;;;;;;;
82;Mannelijke werknemers;Opleidingsinstelling publieke sector;1999;236.0;;236.0;11.0;;20.0;7111.0;;7111.0;13.0;;21.0
83;Mannelijke werknemers;Opleidingsinstelling publieke sector;2005;;;;;;;;;;;;
84;Mannelijke werknemers;Particuliere opleidingsinstituten;1999;660.0;;660.0;32.0;;56.0;16932.0;;16932.0;32.0;;49.0
85;Mannelijke werknemers;Particuliere opleidingsinstituten;2005;;;;;;;;;;;;
86;Mannelijke werknemers;Lev. app., software /moeder-zusterbedr.;1999;;;;;;;;;;;;
87;Mannelijke werknemers;Lev. app., software /moeder-zusterbedr.;2005;;;;;;;;;;;;
88;Mannelijke werknemers;Leveranciers van apparatuur en software;1999;99.0;;99.0;5.0;;8.0;2228.0;;2228.0;4.0;;6.0
89;Mannelijke werknemers;Leveranciers van apparatuur en software;2005;;;;;;;;;;;;
90;Mannelijke werknemers;Moeder- en zusterbedrijven;1999;49.0;;49.0;2.0;;4.0;1421.0;;1421.0;3.0;;4.0
91;Mannelijke werknemers;Moeder- en zusterbedrijven;2005;;;;;;;;;;;;
92;Mannelijke werknemers;Vakbonden;1999;1.0;;1.0;0.0;;0.0;20.0;;20.0;0.0;;0.0
93;Mannelijke werknemers;Vakbonden;2005;;;;;;;;;;;;
94;Mannelijke werknemers;KvK, branche- en werkgeversorg.;1999;81.0;;81.0;4.0;;7.0;2097.0;;2097.0;4.0;;6.0
95;Mannelijke werknemers;KvK, branche- en werkgeversorg.;2005;;;;;;;;;;;;
96;Mannelijke werknemers;Eigen bedrijf;1999;871.0;871.0;;42.0;;;19231.0;19231.0;;36.0;;
97;Mannelijke werknemers;Eigen bedrijf;2005;;;;;;;;;;;;
98;Mannelijke werknemers;Overige instanties;1999;14.0;;14.0;1.0;;1.0;477.0;;477.0;1.0;;1.0
99;Mannelijke werknemers;Overige instanties;2005;;;;;;;;;;;;
100;Vrouwelijke werknemers;Totaal van de opleidingen;1999;837.0;435.0;402.0;100.0;100.0;100.0;21433.0;10521.0;10911.0;100.0;100.0;100.0
101;Vrouwelijke werknemers;Totaal van de opleidingen;2005;;;;;;;;;;;;
102;Vrouwelijke werknemers;Talen;1999;19.0;3.0;16.0;2.0;1.0;4.0;575.0;77.0;499.0;3.0;1.0;5.0
103;Vrouwelijke werknemers;Talen;2005;;;;;;;;;;;;
104;Vrouwelijke werknemers;Verkoop en marketing;1999;109.0;72.0;37.0;13.0;17.0;9.0;3607.0;2311.0;1296.0;17.0;22.0;12.0
105;Vrouwelijke werknemers;Verkoop en marketing;2005;;;;;;;;;;;;
106;Vrouwelijke werknemers;Boekhouding/financiën/management/kantoor;1999;;;;;;;;;;;;
107;Vrouwelijke werknemers;Boekhouding/financiën/management/kantoor;2005;;;;;;;;;;;;
108;Vrouwelijke werknemers;Boekhouding en financiën;1999;109.0;61.0;48.0;13.0;14.0;12.0;5242.0;3035.0;2207.0;24.0;29.0;20.0
109;Vrouwelijke werknemers;Boekhouding en financiën;2005;;;;;;;;;;;;
110;Vrouwelijke werknemers;Management;1999;47.0;20.0;27.0;6.0;5.0;7.0;1585.0;590.0;995.0;7.0;6.0;9.0
111;Vrouwelijke werknemers;Management;2005;;;;;;;;;;;;
112;Vrouwelijke werknemers;Kantoorwerk;1999;21.0;8.0;13.0;3.0;2.0;3.0;415.0;109.0;305.0;2.0;1.0;3.0
113;Vrouwelijke werknemers;Kantoorwerk;2005;;;;;;;;;;;;
114;Vrouwelijke werknemers;Persoonlijke vaardigheden;1999;163.0;104.0;60.0;20.0;24.0;15.0;3158.0;1877.0;1280.0;15.0;18.0;12.0
115;Vrouwelijke werknemers;Persoonlijke vaardigheden;2005;;;;;;;;;;;;
116;Vrouwelijke werknemers;Informatica;1999;193.0;85.0;108.0;23.0;19.0;27.0;3121.0;1213.0;1908.0;15.0;12.0;17.0
117;Vrouwelijke werknemers;Informatica;2005;;;;;;;;;;;;
118;Vrouwelijke werknemers;Techniek, bouw en productie;1999;31.0;16.0;15.0;4.0;4.0;4.0;845.0;290.0;554.0;4.0;3.0;5.0
119;Vrouwelijke werknemers;Techniek, bouw en productie;2005;;;;;;;;;;;;
120;Vrouwelijke werknemers;Milieu en arbeidsomstandigheden;1999;61.0;25.0;37.0;7.0;6.0;9.0;1085.0;454.0;631.0;5.0;4.0;6.0
121;Vrouwelijke werknemers;Milieu en arbeidsomstandigheden;2005;;;;;;;;;;;;
122;Vrouwelijke werknemers;Diensten;1999;58.0;36.0;22.0;7.0;8.0;5.0;959.0;432.0;527.0;4.0;4.0;5.0
123;Vrouwelijke werknemers;Diensten;2005;;;;;;;;;;;;
124;Vrouwelijke werknemers;Overige typen;1999;25.0;6.0;18.0;3.0;1.0;5.0;841.0;131.0;710.0;4.0;1.0;7.0
125;Vrouwelijke werknemers;Overige typen;2005;;;;;;;;;;;;
126;Vrouwelijke werknemers;Hogescholen en universiteiten;1999;;;;;;;;;;;;
127;Vrouwelijke werknemers;Hogescholen en universiteiten;2005;;;;;;;;;;;;
128;Vrouwelijke werknemers;(Hoge-)scholen;1999;9.0;;9.0;1.0;;2.0;882.0;;882.0;4.0;;8.0
129;Vrouwelijke werknemers;(Hoge-)scholen;2005;;;;;;;;;;;;
130;Vrouwelijke werknemers;Universiteiten;1999;13.0;;13.0;2.0;;3.0;656.0;;656.0;3.0;;6.0
131;Vrouwelijke werknemers;Universiteiten;2005;;;;;;;;;;;;
132;Vrouwelijke werknemers;Opleidingsinstelling publieke sector;1999;55.0;;55.0;7.0;;14.0;1703.0;;1703.0;8.0;;16.0
133;Vrouwelijke werknemers;Opleidingsinstelling publieke sector;2005;;;;;;;;;;;;
134;Vrouwelijke werknemers;Particuliere opleidingsinstituten;1999;240.0;;240.0;29.0;;60.0;5656.0;;5656.0;26.0;;52.0
135;Vrouwelijke werknemers;Particuliere opleidingsinstituten;2005;;;;;;;;;;;;
136;Vrouwelijke werknemers;Lev. app., software /moeder-zusterbedr.;1999;31.0;;31.0;4.0;;8.0;495.0;;495.0;2.0;;5.0
137;Vrouwelijke werknemers;Lev. app., software /moeder-zusterbedr.;2005;;;;;;;;;;;;
138;Vrouwelijke werknemers;Leveranciers van apparatuur en software;1999;;;;;;;;;;;;
139;Vrouwelijke werknemers;Leveranciers van apparatuur en software;2005;;;;;;;;;;;;
140;Vrouwelijke werknemers;Moeder- en zusterbedrijven;1999;33.0;;33.0;4.0;;8.0;741.0;;741.0;3.0;;7.0
141;Vrouwelijke werknemers;Moeder- en zusterbedrijven;2005;;;;;;;;;;;;
142;Vrouwelijke werknemers;Vakbonden;1999;0.0;;0.0;0.0;;0.0;8.0;;8.0;0.0;;0.0
143;Vrouwelijke werknemers;Vakbonden;2005;;;;;;;;;;;;
144;Vrouwelijke werknemers;KvK, branche- en werkgeversorg.;1999;17.0;;17.0;2.0;;4.0;663.0;;663.0;3.0;;6.0
145;Vrouwelijke werknemers;KvK, branche- en werkgeversorg.;2005;;;;;;;;;;;;
146;Vrouwelijke werknemers;Eigen bedrijf;1999;435.0;435.0;;52.0;;;10521.0;10521.0;;49.0;;
147;Vrouwelijke werknemers;Eigen bedrijf;2005;;;;;;;;;;;;
148;Vrouwelijke werknemers;Overige instanties;1999;4.0;;4.0;1.0;;1.0;106.0;;106.0;0.0;;1.0
149;Vrouwelijke werknemers;Overige instanties;2005;;;;;;;;;;;;
150;C Winning van delfstoffen;Totaal van de opleidingen;1999;9.0;3.0;6.0;100.0;100.0;100.0;180.0;51.0;129.0;100.0;100.0;100.0
151;C Winning van delfstoffen;Totaal van de opleidingen;2005;;;;;;;281.0;;;100.0;;
152;C Winning van delfstoffen;Talen;1999;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0
153;C Winning van delfstoffen;Talen;2005;;;;;;;10.0;;;4.0;;
154;C Winning van delfstoffen;Verkoop en marketing;1999;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;1.0;1.0;1.0
155;C Winning van delfstoffen;Verkoop en marketing;2005;;;;;;;69.0;;;25.0;;
156;C Winning van delfstoffen;Boekhouding/financiën/management/kantoor;1999;;;;;;;;;;;;
157;C Winning van delfstoffen;Boekhouding/financiën/management/kantoor;2005;;;;;;;24.0;;;9.0;;
158;C Winning van delfstoffen;Boekhouding en financiën;1999;0.0;0.0;0.0;3.0;0.0;4.0;4.0;0.0;4.0;2.0;1.0;3.0
159;C Winning van delfstoffen;Boekhouding en financiën;2005;;;;;;;;;;;;
160;C Winning van delfstoffen;Management;1999;1.0;0.0;0.0;7.0;7.0;7.0;12.0;5.0;7.0;7.0;9.0;6.0
161;C Winning van delfstoffen;Management;2005;;;;;;;;;;;;
162;C Winning van delfstoffen;Kantoorwerk;1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
163;C Winning van delfstoffen;Kantoorwerk;2005;;;;;;;;;;;;
164;C Winning van delfstoffen;Persoonlijke vaardigheden;1999;1.0;0.0;0.0;6.0;5.0;7.0;10.0;2.0;8.0;6.0;4.0;6.0
165;C Winning van delfstoffen;Persoonlijke vaardigheden;2005;;;;;;;29.0;;;10.0;;
166;C Winning van delfstoffen;Informatica;1999;2.0;0.0;1.0;17.0;11.0;21.0;57.0;3.0;54.0;32.0;7.0;42.0
167;C Winning van delfstoffen;Informatica;2005;;;;;;;10.0;;;4.0;;
168;C Winning van delfstoffen;Techniek, bouw en productie;1999;1.0;0.0;1.0;13.0;11.0;14.0;38.0;17.0;22.0;21.0;33.0;17.0
169;C Winning van delfstoffen;Techniek, bouw en productie;2005;;;;;;;54.0;;;19.0;;
170;C Winning van delfstoffen;Milieu en arbeidsomstandigheden;1999;4.0;2.0;2.0;39.0;59.0;28.0;39.0;21.0;18.0;21.0;41.0;14.0
171;C Winning van delfstoffen;Milieu en arbeidsomstandigheden;2005;;;;;;;60.0;;;21.0;;
172;C Winning van delfstoffen;Diensten;1999;1.0;0.0;1.0;11.0;5.0;14.0;13.0;2.0;12.0;7.0;4.0;9.0
173;C Winning van delfstoffen;Diensten;2005;;;;;;;7.0;;;3.0;;
174;C Winning van delfstoffen;Overige typen;1999;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;2.0;1.0;0.0;1.0
175;C Winning van delfstoffen;Overige typen;2005;;;;;;;18.0;;;6.0;;
176;C Winning van delfstoffen;Hogescholen en universiteiten;1999;;;;;;;;;;;;
177;C Winning van delfstoffen;Hogescholen en universiteiten;2005;;;;;;;;;5.0;;;3.0
178;C Winning van delfstoffen;(Hoge-)scholen;1999;0.0;;0.0;1.0;;2.0;6.0;;6.0;4.0;;5.0
179;C Winning van delfstoffen;(Hoge-)scholen;2005;;;;;;;;;;;;
180;C Winning van delfstoffen;Universiteiten;1999;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0
181;C Winning van delfstoffen;Universiteiten;2005;;;;;;;;;;;;
182;C Winning van delfstoffen;Opleidingsinstelling publieke sector;1999;1.0;;1.0;11.0;;17.0;19.0;;19.0;10.0;;14.0
183;C Winning van delfstoffen;Opleidingsinstelling publieke sector;2005;;;;;;;;;24.0;;;15.0
184;C Winning van delfstoffen;Particuliere opleidingsinstituten;1999;4.0;;4.0;45.0;;72.0;49.0;;49.0;27.0;;38.0
185;C Winning van delfstoffen;Particuliere opleidingsinstituten;2005;;;;;;;;;83.0;;;50.0
186;C Winning van delfstoffen;Lev. app., software /moeder-zusterbedr.;1999;;;;;;;;;;;;
187;C Winning van delfstoffen;Lev. app., software /moeder-zusterbedr.;2005;;;;;;;;;47.0;;;29.0
188;C Winning van delfstoffen;Leveranciers van apparatuur en software;1999;0.0;;0.0;1.0;;2.0;2.0;;2.0;1.0;;1.0
189;C Winning van delfstoffen;Leveranciers van apparatuur en software;2005;;;;;;;;;;;;
190;C Winning van delfstoffen;Moeder- en zusterbedrijven;1999;0.0;;0.0;4.0;;6.0;51.0;;51.0;28.0;;40.0
191;C Winning van delfstoffen;Moeder- en zusterbedrijven;2005;;;;;;;;;;;;
192;C Winning van delfstoffen;Vakbonden;1999;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0
193;C Winning van delfstoffen;Vakbonden;2005;;;;;;;;;0.0;;;0.0
194;C Winning van delfstoffen;KvK, branche- en werkgeversorg.;1999;0.0;;0.0;1.0;;2.0;1.0;;1.0;1.0;;1.0
195;C Winning van delfstoffen;KvK, branche- en werkgeversorg.;2005;;;;;;;;;0.0;;;0.0
196;C Winning van delfstoffen;Eigen bedrijf;1999;3.0;3.0;;37.0;;;51.0;51.0;;28.0;;
197;C Winning van delfstoffen;Eigen bedrijf;2005;;;;;;;;;;;;
198;C Winning van delfstoffen;Overige instanties;1999;0.0;;0.0;0.0;;1.0;1.0;;1.0;0.0;;0.0
199;C Winning van delfstoffen;Overige instanties;2005;;;;;;;;;5.0;;;3.0
200;D Industrie;Totaal van de opleidingen;1999;636.0;287.0;349.0;100.0;100.0;100.0;17194.0;6372.0;10822.0;100.0;100.0;100.0
201;D Industrie;Totaal van de opleidingen;2005;;;;;;;9763.0;;;100.0;;
202;D Industrie;Talen;1999;15.0;3.0;12.0;2.0;1.0;3.0;648.0;134.0;514.0;4.0;2.0;5.0
203;D Industrie;Talen;2005;;;;;;;367.0;;;4.0;;
204;D Industrie;Verkoop en marketing;1999;16.0;6.0;10.0;2.0;2.0;3.0;433.0;138.0;294.0;3.0;2.0;3.0
205;D Industrie;Verkoop en marketing;2005;;;;;;;415.0;;;4.0;;
206;D Industrie;Boekhouding/financiën/management/kantoor;1999;;;;;;;;;;;;
207;D Industrie;Boekhouding/financiën/management/kantoor;2005;;;;;;;622.0;;;6.0;;
208;D Industrie;Boekhouding en financiën;1999;8.0;1.0;7.0;1.0;0.0;2.0;326.0;48.0;277.0;2.0;1.0;3.0
209;D Industrie;Boekhouding en financiën;2005;;;;;;;;;;;;
210;D Industrie;Management;1999;53.0;18.0;35.0;8.0;6.0;10.0;1879.0;471.0;1408.0;11.0;7.0;13.0
211;D Industrie;Management;2005;;;;;;;;;;;;
212;D Industrie;Kantoorwerk;1999;5.0;1.0;4.0;1.0;0.0;1.0;110.0;22.0;88.0;1.0;0.0;1.0
213;D Industrie;Kantoorwerk;2005;;;;;;;;;;;;
214;D Industrie;Persoonlijke vaardigheden;1999;86.0;54.0;32.0;13.0;19.0;9.0;1578.0;736.0;842.0;9.0;12.0;8.0
215;D Industrie;Persoonlijke vaardigheden;2005;;;;;;;1327.0;;;14.0;;
216;D Industrie;Informatica;1999;148.0;59.0;89.0;23.0;21.0;25.0;3426.0;1542.0;1884.0;20.0;24.0;17.0
217;D Industrie;Informatica;2005;;;;;;;1033.0;;;11.0;;
218;D Industrie;Techniek, bouw en productie;1999;138.0;67.0;71.0;22.0;23.0;20.0;5800.0;2201.0;3598.0;34.0;35.0;33.0
219;D Industrie;Techniek, bouw en productie;2005;;;;;;;3175.0;;;33.0;;
220;D Industrie;Milieu en arbeidsomstandigheden;1999;132.0;66.0;65.0;21.0;23.0;19.0;2052.0;795.0;1257.0;12.0;12.0;12.0
221;D Industrie;Milieu en arbeidsomstandigheden;2005;;;;;;;971.0;;;10.0;;
222;D Industrie;Diensten;1999;29.0;9.0;20.0;4.0;3.0;6.0;552.0;202.0;350.0;3.0;3.0;3.0
223;D Industrie;Diensten;2005;;;;;;;201.0;;;2.0;;
224;D Industrie;Overige typen;1999;8.0;2.0;6.0;1.0;1.0;2.0;390.0;81.0;309.0;2.0;1.0;3.0
225;D Industrie;Overige typen;2005;;;;;;;1651.0;;;17.0;;
226;D Industrie;Hogescholen en universiteiten;1999;;;;;;;;;;;;
227;D Industrie;Hogescholen en universiteiten;2005;;;;;;;;;402.0;;;7.0
228;D Industrie;(Hoge-)scholen;1999;13.0;;13.0;2.0;;4.0;1092.0;;1092.0;6.0;;10.0
229;D Industrie;(Hoge-)scholen;2005;;;;;;;;;;;;
230;D Industrie;Universiteiten;1999;2.0;;2.0;0.0;;1.0;117.0;;117.0;1.0;;1.0
231;D Industrie;Universiteiten;2005;;;;;;;;;;;;
232;D Industrie;Opleidingsinstelling publieke sector;1999;74.0;;74.0;12.0;;21.0;2480.0;;2480.0;14.0;;23.0
233;D Industrie;Opleidingsinstelling publieke sector;2005;;;;;;;;;1406.0;;;23.0
234;D Industrie;Particuliere opleidingsinstituten;1999;212.0;;212.0;33.0;;61.0;5849.0;;5849.0;34.0;;54.0
235;D Industrie;Particuliere opleidingsinstituten;2005;;;;;;;;;2857.0;;;47.0
236;D Industrie;Lev. app., software /moeder-zusterbedr.;1999;;;;;;;;;;;;
237;D Industrie;Lev. app., software /moeder-zusterbedr.;2005;;;;;;;;;521.0;;;9.0
238;D Industrie;Leveranciers van apparatuur en software;1999;22.0;;22.0;3.0;;6.0;551.0;;551.0;3.0;;5.0
239;D Industrie;Leveranciers van apparatuur en software;2005;;;;;;;;;;;;
240;D Industrie;Moeder- en zusterbedrijven;1999;10.0;;10.0;2.0;;3.0;322.0;;322.0;2.0;;3.0
241;D Industrie;Moeder- en zusterbedrijven;2005;;;;;;;;;;;;
242;D Industrie;Vakbonden;1999;1.0;;1.0;0.0;;0.0;16.0;;16.0;0.0;;0.0
243;D Industrie;Vakbonden;2005;;;;;;;;;100.0;;;2.0
244;D Industrie;KvK, branche- en werkgeversorg.;1999;13.0;;13.0;2.0;;4.0;356.0;;356.0;2.0;;3.0
245;D Industrie;KvK, branche- en werkgeversorg.;2005;;;;;;;;;32.0;;;1.0
246;D Industrie;Eigen bedrijf;1999;287.0;287.0;;45.0;;;6372.0;6372.0;;37.0;;
247;D Industrie;Eigen bedrijf;2005;;;;;;;;;;;;
248;D Industrie;Overige instanties;1999;3.0;;3.0;0.0;;1.0;38.0;;38.0;0.0;;0.0
249;D Industrie;Overige instanties;2005;;;;;;;;;779.0;;;13.0
