ID;Cijfersoort;PolitieregioS;Perioden;Aanwezig_1;BijnaAltijdGebruikt_2;Aanwezig_3;BijnaAltijdGebruikt_4;Aanwezig_5;BijnaAltijdGebruikt_6;Aanwezig_7;BijnaAltijdGebruikt_8;TechnoPreventieSomscore_9;SAvondsLichtBrandenBijAfwezigheid_10;FietsInBewaakteFietsenstalling_11;WaardevolleSpullenMeenemenUitAuto_12;WaardevolleSpullenThuisLaten_13;SocioPreventieSomscore_14;PreventieTotaalSomscore_15;TechnoPreventieSomscore_16;SocioPreventieSomscore_17
77;Waarde;Flevoland (PO);2011;70.9;61.9;8.3;6.6;87.6;66.1;14.9;10.2;1.4;41.4;35.3;71.8;38.7;1.9;3.4;1.4;1.9
78;Betrouwbaarheidsmarge;Nederland;2009;0.7;0.8;0.5;0.4;0.7;0.8;0.5;0.4;0.0;0.7;0.7;0.6;0.7;0.0;0.0;0.0;0.0
79;Betrouwbaarheidsmarge;Nederland;2010;0.8;0.9;0.6;0.5;0.8;0.9;0.5;0.4;0.0;0.8;0.7;0.7;0.7;0.0;0.0;0.0;0.0
80;Betrouwbaarheidsmarge;Nederland;2011;0.7;0.8;0.5;0.4;0.7;0.8;0.4;0.4;0.0;0.7;0.7;0.6;0.7;0.0;0.0;0.0;0.0
81;Betrouwbaarheidsmarge;Groningen (PO);2009;3.4;3.4;1.4;1.0;3.2;3.3;1.9;1.7;0.1;2.7;2.7;2.9;2.7;0.1;0.1;0.1;0.1
82;Betrouwbaarheidsmarge;Groningen (PO);2010;4.2;4.2;1.8;1.4;3.9;4.2;1.8;1.5;0.1;3.5;3.4;3.5;3.5;0.1;0.1;0.1;0.1
83;Betrouwbaarheidsmarge;Groningen (PO);2011;3.8;3.7;1.6;1.5;3.7;3.8;1.9;1.5;0.1;3.0;2.9;3.1;3.0;0.1;0.1;0.1;0.1
84;Betrouwbaarheidsmarge;Friesland (PO);2009;2.4;2.6;0.8;0.5;1.9;2.6;1.4;1.0;0.0;2.3;2.1;2.3;2.3;0.1;0.1;0.0;0.1
85;Betrouwbaarheidsmarge;Friesland (PO);2010;3.9;4.1;1.4;1.3;3.2;4.1;2.4;2.0;0.1;3.5;3.2;3.5;3.5;0.1;0.1;0.1;0.1
86;Betrouwbaarheidsmarge;Friesland (PO);2011;3.0;3.1;1.3;0.8;2.3;3.1;1.9;1.6;0.1;2.7;2.4;2.6;2.6;0.1;0.1;0.1;0.1
87;Betrouwbaarheidsmarge;Drenthe (PO);2009;3.8;4.1;2.3;2.0;2.6;4.0;2.4;2.0;0.1;3.5;3.4;3.3;3.5;0.1;0.1;0.1;0.1
88;Betrouwbaarheidsmarge;Drenthe (PO);2010;3.9;4.1;2.4;2.1;2.6;3.9;2.5;2.0;0.1;3.6;3.4;3.4;3.5;0.1;0.1;0.1;0.1
89;Betrouwbaarheidsmarge;Drenthe (PO);2011;4.1;4.2;2.6;2.3;2.5;4.1;2.1;1.7;0.1;3.6;3.2;3.3;3.5;0.1;0.1;0.1;0.1
90;Betrouwbaarheidsmarge;IJsselland (PO);2009;2.7;2.9;1.9;1.6;1.9;2.7;1.6;1.3;0.0;2.6;2.5;2.4;2.6;0.1;0.1;0.0;0.1
91;Betrouwbaarheidsmarge;IJsselland (PO);2010;3.9;4.1;2.6;1.9;3.7;4.2;2.1;1.7;0.1;3.5;3.4;3.2;3.5;0.1;0.1;0.1;0.1
92;Betrouwbaarheidsmarge;IJsselland (PO);2011;3.3;3.4;2.1;1.8;2.3;3.4;1.6;1.3;0.1;2.9;2.8;2.7;2.8;0.1;0.1;0.1;0.1
93;Betrouwbaarheidsmarge;Twente (PO);2009;3.7;4.0;3.1;2.8;3.1;4.1;2.7;2.3;0.1;3.7;3.6;3.4;3.6;0.1;0.1;0.1;0.1
94;Betrouwbaarheidsmarge;Twente (PO);2010;3.9;4.2;3.1;2.8;3.2;4.0;2.7;2.2;0.1;3.5;3.3;3.2;3.5;0.1;0.1;0.1;0.1
95;Betrouwbaarheidsmarge;Twente (PO);2011;2.6;2.9;2.6;2.2;2.6;3.0;1.5;1.3;0.1;2.8;2.6;2.6;2.7;0.1;0.1;0.1;0.1
96;Betrouwbaarheidsmarge;Noord- en Oost Gelderland (PO);2009;3.2;3.4;3.0;2.9;2.5;3.4;2.0;1.4;0.1;3.1;3.0;2.8;3.1;0.1;0.1;0.1;0.1
97;Betrouwbaarheidsmarge;Noord- en Oost Gelderland (PO);2010;3.6;3.9;3.3;2.8;2.5;3.9;2.1;1.8;0.1;3.7;3.6;3.1;3.6;0.1;0.1;0.1;0.1
98;Betrouwbaarheidsmarge;Noord- en Oost Gelderland (PO);2011;3.6;4.0;3.3;2.9;2.9;4.0;2.5;2.3;0.1;3.5;3.5;3.1;3.5;0.1;0.1;0.1;0.1
99;Betrouwbaarheidsmarge;Gelderland-Midden (PO);2009;1.1;1.2;1.0;0.9;0.9;1.3;0.7;0.6;0.0;1.2;1.2;1.0;1.2;0.0;0.0;0.0;0.0
100;Betrouwbaarheidsmarge;Gelderland-Midden (PO);2010;3.7;4.0;2.8;2.5;3.7;4.1;2.4;2.0;0.1;3.6;3.5;3.2;3.5;0.1;0.1;0.1;0.1
101;Betrouwbaarheidsmarge;Gelderland-Midden (PO);2011;3.1;3.3;2.5;2.4;2.4;3.1;1.8;1.4;0.1;3.1;3.0;2.6;3.0;0.1;0.1;0.1;0.1
102;Betrouwbaarheidsmarge;Gelderland-Zuid (PO);2009;3.1;3.3;3.0;2.7;2.3;3.4;2.1;1.8;0.1;3.1;3.0;2.6;3.1;0.1;0.1;0.1;0.1
103;Betrouwbaarheidsmarge;Gelderland-Zuid (PO);2010;4.1;4.3;3.0;2.6;3.7;4.2;3.2;2.5;0.1;3.7;3.6;3.2;3.5;0.1;0.1;0.1;0.1
104;Betrouwbaarheidsmarge;Gelderland-Zuid (PO);2011;4.5;4.5;3.3;3.1;4.1;4.4;2.1;1.8;0.1;3.7;3.7;3.3;3.5;0.1;0.1;0.1;0.1
105;Betrouwbaarheidsmarge;Utrecht (PO);2009;3.8;4.3;2.4;2.3;3.5;4.4;3.0;2.6;0.1;4.0;3.9;3.5;3.9;0.1;0.1;0.1;0.1
106;Betrouwbaarheidsmarge;Utrecht (PO);2010;4.2;4.3;2.0;1.7;3.8;4.3;2.4;2.0;0.1;3.6;3.6;3.0;3.5;0.1;0.1;0.1;0.1
107;Betrouwbaarheidsmarge;Utrecht (PO);2011;3.9;4.3;2.1;1.6;4.2;4.4;2.4;2.0;0.1;3.9;3.7;3.2;3.8;0.1;0.1;0.1;0.1
108;Betrouwbaarheidsmarge;Noord-Holland Noord (PO);2009;1.9;2.0;1.1;0.9;1.7;2.0;1.1;0.9;0.0;1.8;1.8;1.6;1.9;0.0;0.1;0.0;0.0
109;Betrouwbaarheidsmarge;Noord-Holland Noord (PO);2010;3.7;4.1;2.1;1.9;3.3;4.1;2.7;2.1;0.1;3.6;3.5;3.2;3.6;0.1;0.1;0.1;0.1
110;Betrouwbaarheidsmarge;Noord-Holland Noord (PO);2011;1.5;1.6;0.9;0.7;1.3;1.6;1.0;0.8;0.0;1.4;1.4;1.3;1.4;0.0;0.0;0.0;0.0
111;Betrouwbaarheidsmarge;Zaanstreek-Waterland (PO);2009;3.9;4.1;2.0;1.7;3.3;4.1;2.3;2.0;0.1;3.6;3.4;3.2;3.6;0.1;0.1;0.1;0.1
112;Betrouwbaarheidsmarge;Zaanstreek-Waterland (PO);2010;4.0;4.1;2.3;2.0;3.4;4.1;2.5;2.0;0.1;3.5;3.4;3.2;3.5;0.1;0.1;0.1;0.1
113;Betrouwbaarheidsmarge;Zaanstreek-Waterland (PO);2011;3.8;4.0;1.9;1.6;3.1;3.8;2.5;2.0;0.1;3.5;3.4;3.1;3.5;0.1;0.1;0.1;0.1
114;Betrouwbaarheidsmarge;Kennemerland (PO);2009;3.9;4.1;1.9;1.5;3.7;4.1;2.6;2.1;0.1;3.5;3.5;3.3;3.6;0.1;0.1;0.1;0.1
115;Betrouwbaarheidsmarge;Kennemerland (PO);2010;4.0;4.2;2.1;1.7;3.7;4.1;2.4;2.1;0.1;3.5;3.5;3.2;3.5;0.1;0.1;0.1;0.1
116;Betrouwbaarheidsmarge;Kennemerland (PO);2011;3.0;3.1;1.7;1.6;2.5;3.0;1.7;1.5;0.1;2.8;2.7;2.5;2.8;0.1;0.1;0.1;0.1
117;Betrouwbaarheidsmarge;Amsterdam-Amstelland (PO);2009;4.5;4.6;1.8;1.1;4.6;4.5;2.3;2.0;0.1;3.6;4.0;3.9;4.0;0.1;0.1;0.1;0.1
118;Betrouwbaarheidsmarge;Amsterdam-Amstelland (PO);2010;5.0;5.0;2.5;2.5;5.0;4.9;2.4;2.0;0.1;3.9;4.0;4.4;4.2;0.1;0.1;0.1;0.1
119;Betrouwbaarheidsmarge;Amsterdam-Amstelland (PO);2011;4.6;4.6;1.8;1.6;4.6;4.7;2.7;1.8;0.1;3.9;4.0;4.0;4.1;0.1;0.1;0.1;0.1
120;Betrouwbaarheidsmarge;Gooi- en Vechtstreek (PO);2009;3.1;3.3;1.4;1.2;2.7;3.2;2.3;1.9;0.1;3.0;2.9;2.6;2.9;0.1;0.1;0.1;0.1
121;Betrouwbaarheidsmarge;Gooi- en Vechtstreek (PO);2010;4.1;4.3;2.0;1.7;3.5;4.2;3.1;2.8;0.1;3.8;3.6;3.2;3.7;0.1;0.1;0.1;0.1
122;Betrouwbaarheidsmarge;Gooi- en Vechtstreek (PO);2011;2.8;3.0;1.7;1.5;2.4;3.0;2.1;1.8;0.1;2.7;2.5;2.3;2.6;0.1;0.1;0.1;0.1
123;Betrouwbaarheidsmarge;Haaglanden (PO);2009;1.5;1.7;0.8;0.7;1.6;1.7;1.1;0.9;0.0;1.5;1.5;1.3;1.5;0.0;0.1;0.0;0.0
124;Betrouwbaarheidsmarge;Haaglanden (PO);2010;1.5;1.6;1.0;0.8;1.6;1.7;1.0;0.9;0.0;1.5;1.5;1.4;1.5;0.0;0.1;0.0;0.0
125;Betrouwbaarheidsmarge;Haaglanden (PO);2011;1.5;1.7;0.9;0.9;1.6;1.7;1.1;0.9;0.0;1.6;1.6;1.4;1.6;0.0;0.1;0.0;0.0
126;Betrouwbaarheidsmarge;Hollands Midden (PO);2009;3.7;4.1;2.1;1.8;3.5;4.1;2.5;2.1;0.1;3.6;3.7;3.2;3.6;0.1;0.1;0.1;0.1
127;Betrouwbaarheidsmarge;Hollands Midden (PO);2010;4.1;4.3;2.1;1.8;3.4;4.1;2.4;2.0;0.1;3.6;3.5;3.3;3.5;0.1;0.1;0.1;0.1
128;Betrouwbaarheidsmarge;Hollands Midden (PO);2011;1.3;1.4;0.8;0.7;1.2;1.4;0.8;0.7;0.0;1.3;1.2;1.1;1.3;0.0;0.0;0.0;0.0
129;Betrouwbaarheidsmarge;Rotterdam-Rijnmond (PO);2009;4.6;4.8;1.9;1.7;4.5;4.7;2.7;2.3;0.1;4.2;4.2;3.9;4.2;0.1;0.2;0.1;0.1
130;Betrouwbaarheidsmarge;Rotterdam-Rijnmond (PO);2010;3.9;4.2;2.0;1.9;4.0;4.2;2.7;2.3;0.1;3.6;3.6;3.5;3.5;0.1;0.1;0.1;0.1
131;Betrouwbaarheidsmarge;Rotterdam-Rijnmond (PO);2011;4.6;4.8;2.0;1.9;4.9;4.9;2.7;2.4;0.1;4.1;3.9;4.1;4.0;0.1;0.2;0.1;0.1
132;Betrouwbaarheidsmarge;Zuid-Holland Zuid (PO);2009;3.2;3.5;2.6;2.3;3.3;3.8;2.3;1.7;0.1;3.4;3.3;3.0;3.3;0.1;0.1;0.1;0.1
133;Betrouwbaarheidsmarge;Zuid-Holland Zuid (PO);2010;3.4;3.6;2.8;2.5;3.0;3.7;2.2;2.0;0.1;3.2;3.1;2.7;3.1;0.1;0.1;0.1;0.1
134;Betrouwbaarheidsmarge;Zuid-Holland Zuid (PO);2011;3.2;3.4;2.6;2.3;2.6;3.3;2.0;1.6;0.1;3.1;2.9;2.7;3.0;0.1;0.1;0.1;0.1
135;Betrouwbaarheidsmarge;Zeeland (PO);2009;4.2;4.5;4.2;3.7;3.4;4.5;2.8;2.3;0.1;4.0;3.9;3.8;4.0;0.1;0.1;0.1;0.1
136;Betrouwbaarheidsmarge;Zeeland (PO);2010;4.0;4.1;3.6;3.4;3.6;4.1;2.5;2.2;0.1;3.5;3.3;3.3;3.5;0.1;0.1;0.1;0.1
137;Betrouwbaarheidsmarge;Zeeland (PO);2011;3.7;3.9;3.7;3.5;3.1;3.9;2.2;1.6;0.1;3.5;3.3;3.1;3.5;0.1;0.1;0.1;0.1
138;Betrouwbaarheidsmarge;Midden- en West-Brabant (PO);2009;2.0;2.2;2.3;2.1;1.8;2.3;1.6;1.4;0.0;2.2;2.2;1.7;2.2;0.0;0.1;0.0;0.0
139;Betrouwbaarheidsmarge;Midden- en West-Brabant (PO);2010;3.7;4.0;3.7;3.4;3.5;4.1;2.5;2.2;0.1;3.7;3.6;3.1;3.6;0.1;0.1;0.1;0.1
140;Betrouwbaarheidsmarge;Midden- en West-Brabant (PO);2011;1.7;1.7;1.5;1.3;1.5;1.8;1.1;1.0;0.0;2.2;1.9;1.6;1.9;0.0;0.1;0.0;0.0
141;Betrouwbaarheidsmarge;Brabant-Noord (PO);2009;1.8;1.9;1.5;1.4;1.7;1.9;1.0;0.9;0.0;1.8;1.8;1.4;1.8;0.0;0.1;0.0;0.0
