ID;SBISGroothandel;Jaren;Bedrijven_1;WerkzamePersonen_2;NettoOmzet_3;BrutoWinst_4;Totaal_5;Personeelskosten_6;OverigeKosten_7;Bedrijfsresultaat_8
255;5141 Stoffen,fournituren,huishoudtextiel;1996;0.5;2.2;0.6;22.7;20.8;8.9;11.9;3.5
256;5141 Stoffen,fournituren,huishoudtextiel;1997;0.5;2.2;0.7;22.5;18.2;8.3;9.9;4.7
257;5141 Stoffen,fournituren,huishoudtextiel;1998;0.5;1.8;0.7;24.5;20.1;8.2;11.9;4.5
258;5141 Stoffen,fournituren,huishoudtextiel;1999;0.5;1.8;0.7;22.2;18.0;8.0;10.1;4.7
259;51421 Bovenkleding;1993;;;;;;;;
260;51421 Bovenkleding;1994;;;;;;;;
261;51421 Bovenkleding;1995;;;;;;;;
262;51421 Bovenkleding;1996;2.1;8.5;3.6;22.8;20.8;6.7;14.1;3.0
263;51421 Bovenkleding;1997;2.2;11.6;3.5;22.7;19.4;6.9;12.5;4.2
264;51421 Bovenkleding;1998;2.3;11.6;3.9;23.8;19.2;6.8;12.4;5.5
265;51421 Bovenkleding;1999;2.2;10.9;4.6;23.3;18.0;6.5;11.5;5.8
266;51422 t/m 51426 Overige textiel,schoenen;1993;;;;;;;;
267;51422 t/m 51426 Overige textiel,schoenen;1994;;;;;;;;
268;51422 t/m 51426 Overige textiel,schoenen;1995;;;;;;;;
269;51422 t/m 51426 Overige textiel,schoenen;1996;1.2;4.6;1.6;22.7;18.7;7.1;11.6;4.8
270;51422 t/m 51426 Overige textiel,schoenen;1997;1.2;5.0;3.1;34.2;31.7;5.2;26.5;2.9
271;51422 t/m 51426 Overige textiel,schoenen;1998;1.3;4.2;3.8;35.8;33.2;5.1;28.1;2.9
272;51422 t/m 51426 Overige textiel,schoenen;1999;1.2;4.1;3.9;33.2;30.1;5.5;24.5;3.1
273;5143 Consumenten elektronica;1993;1.4;10.1;3.7;20.0;16.6;7.5;9.1;3.7
274;5143 Consumenten elektronica;1994;1.4;9.8;3.5;20.3;18.2;7.5;10.7;2.7
275;5143 Consumenten elektronica;1995;1.4;10.5;3.7;20.9;18.6;7.5;11.1;2.9
276;5143 Consumenten elektronica;1996;1.5;10.6;3.9;20.7;19.1;7.8;11.3;2.2
277;5143 Consumenten elektronica;1997;1.7;11.2;4.2;23.5;20.6;8.2;12.4;3.8
278;5143 Consumenten elektronica;1998;1.7;12.2;4.7;22.4;19.3;7.8;11.5;3.7
279;5143 Consumenten elektronica;1999;1.7;12.2;5.1;22.2;19.2;8.1;11.1;4.0
280;5144 Glas-, porselein en aardewerk;1993;0.7;3.6;1.0;30.2;23.5;8.3;15.2;7.1
281;5144 Glas-, porselein en aardewerk;1994;0.8;3.6;1.0;29.5;24.4;8.0;16.4;5.9
282;5144 Glas-, porselein en aardewerk;1995;0.9;4.2;1.0;31.2;25.0;8.9;16.1;6.7
283;5144 Glas-, porselein en aardewerk;1996;0.8;4.3;1.0;34.4;28.6;9.0;19.6;6.5
284;5144 Glas-, porselein en aardewerk;1997;0.9;4.1;1.1;33.3;27.1;9.2;17.9;7.0
285;5144 Glas-, porselein en aardewerk;1998;1.0;3.5;1.3;32.4;26.2;8.8;17.4;7.0
286;5144 Glas-, porselein en aardewerk;1999;0.9;3.8;1.4;37.8;29.1;9.4;19.7;9.4
287;5145 Parfums en cosmetica;1993;0.7;4.3;0.8;40.0;34.7;12.9;21.8;7.2
288;5145 Parfums en cosmetica;1994;0.6;4.2;0.9;40.5;36.3;12.5;23.8;6.1
289;5145 Parfums en cosmetica;1995;0.6;4.7;1.0;39.1;35.2;12.1;23.1;6.7
290;5145 Parfums en cosmetica;1996;0.6;4.6;1.0;35.4;32.0;11.2;20.8;4.5
291;5145 Parfums en cosmetica;1997;0.6;4.9;1.1;36.5;31.2;11.4;19.8;6.2
292;5145 Parfums en cosmetica;1998;0.7;5.0;1.3;35.8;30.9;10.9;20.0;6.3
293;5145 Parfums en cosmetica;1999;0.6;5.1;1.3;36.7;31.3;10.8;20.5;6.5
294;5146 Farmaceutische, medische producten;1993;1.7;16.2;5.7;25.9;20.3;9.9;10.4;6.8
295;5146 Farmaceutische, medische producten;1994;1.5;16.6;6.1;25.2;20.7;9.5;11.2;5.7
296;5146 Farmaceutische, medische producten;1995;1.6;17.4;6.7;24.8;19.7;9.1;10.6;6.6
297;5146 Farmaceutische, medische producten;1996;1.6;17.3;7.9;24.7;20.6;8.0;12.6;5.0
298;5146 Farmaceutische, medische producten;1997;1.7;17.5;8.8;24.4;20.2;8.0;12.2;4.9
299;5146 Farmaceutische, medische producten;1998;1.8;19.8;9.9;24.7;19.8;7.9;11.9;5.7
300;5146 Farmaceutische, medische producten;1999;1.8;20.6;10.9;23.8;19.7;8.1;11.6;5.1
301;51461 Farmaceutische producten;1993;;;;;;;;
302;51461 Farmaceutische producten;1994;;;;;;;;
303;51461 Farmaceutische producten;1995;;;;;;;;
304;51461 Farmaceutische producten;1996;0.5;8.7;5.9;21.3;18.3;6.0;12.3;3.7
305;51461 Farmaceutische producten;1997;0.6;8.8;6.5;21.5;18.0;6.1;11.9;4.1
306;51461 Farmaceutische producten;1998;0.6;10.1;7.3;22.3;17.7;6.2;11.5;5.4
307;51461 Farmaceutische producten;1999;0.6;10.7;8.1;20.7;16.9;6.0;10.9;4.9
308;51462 Medische insrumenten e.d.;1993;;;;;;;;
309;51462 Medische insrumenten e.d.;1994;;;;;;;;
310;51462 Medische insrumenten e.d.;1995;;;;;;;;
311;51462 Medische insrumenten e.d.;1996;1.1;8.6;2.0;33.3;26.6;12.9;13.7;7.4
312;51462 Medische insrumenten e.d.;1997;1.1;8.7;2.2;32.9;26.6;13.4;13.2;7.3
313;51462 Medische insrumenten e.d.;1998;1.2;9.7;2.7;31.2;25.5;12.6;12.9;6.5
314;51462 Medische insrumenten e.d.;1999;1.2;9.9;2.7;33.1;28.1;14.3;13.8;5.8
315;51471 t/m 51473 Sport- en kampeerartikel;1993;0.8;2.9;0.6;27.0;20.0;8.5;11.5;7.6
316;51471 t/m 51473 Sport- en kampeerartikel;1994;0.8;2.9;0.7;25.6;20.7;8.6;12.1;5.4
317;51471 t/m 51473 Sport- en kampeerartikel;1995;0.9;3.5;0.8;27.5;21.6;7.9;13.7;6.7
318;51471 t/m 51473 Sport- en kampeerartikel;1996;1.0;3.9;0.8;26.7;23.5;7.9;15.6;5.2
319;51471 t/m 51473 Sport- en kampeerartikel;1997;1.1;4.5;1.0;19.9;18.0;7.0;11.0;4.6
320;51471 t/m 51473 Sport- en kampeerartikel;1998;1.2;4.3;1.0;20.3;17.9;6.9;11.0;3.8
321;51471 t/m 51473 Sport- en kampeerartikel;1999;1.2;4.7;1.2;23.3;21.2;8.9;12.3;3.9
322;51474 Speelgoed;1993;0.3;1.1;0.5;24.5;20.3;6.2;14.1;4.6
323;51474 Speelgoed;1994;0.3;1.2;0.4;24.6;22.6;7.2;15.4;2.2
324;51474 Speelgoed;1995;0.3;2.4;0.5;28.9;23.8;6.6;17.2;5.7
325;51474 Speelgoed;1996;0.3;1.5;1.7;24.6;16.3;2.7;13.6;9.2
326;51474 Speelgoed;1997;0.3;2.1;1.9;24.4;16.1;2.8;13.3;9.3
327;51474 Speelgoed;1998;0.4;2.0;2.5;21.8;14.0;1.7;12.3;8.2
328;51474 Speelgoed;1999;0.3;1.8;2.5;22.6;14.3;2.0;12.2;8.7
329;51475 t/m 51477 Optische, juweliers art.;1993;0.8;4.8;1.3;27.9;21.6;10.7;10.9;6.8
330;51475 t/m 51477 Optische, juweliers art.;1994;0.7;4.8;1.3;27.9;22.3;11.2;11.1;6.0
331;51475 t/m 51477 Optische, juweliers art.;1995;0.7;4.5;1.3;27.0;22.2;9.9;12.3;5.1
332;51475 t/m 51477 Optische, juweliers art.;1996;0.7;4.0;1.3;25.3;19.6;8.6;11.0;6.0
333;51475 t/m 51477 Optische, juweliers art.;1997;0.8;3.6;1.4;24.0;20.3;9.1;11.2;4.7
334;51475 t/m 51477 Optische, juweliers art.;1998;0.8;3.0;1.5;25.2;20.4;9.4;11.0;5.8
335;51475 t/m 51477 Optische, juweliers art.;1999;0.8;3.2;1.5;26.2;20.8;8.8;12.0;5.8
336;51479 Huismeubilair;1993;0.8;4.2;1.0;27.6;22.0;9.5;12.5;5.9
337;51479 Huismeubilair;1994;0.9;3.7;1.2;25.8;18.5;7.3;11.2;7.5
338;51479 Huismeubilair;1995;0.9;3.4;1.5;21.0;14.5;4.7;9.8;6.7
339;51479 Huismeubilair;1996;0.9;3.5;0.8;25.9;24.5;7.1;17.4;4.1
340;51479 Huismeubilair;1997;1.1;4.5;0.9;29.1;24.5;9.9;14.6;5.7
341;51479 Huismeubilair;1998;1.2;4.6;1.0;29.1;24.5;9.9;14.6;5.6
342;51479 Huismeubilair;1999;1.2;6.2;1.1;28.8;24.9;10.7;14.2;5.1
343;51481 Woningtextiel en vloerbedekking;1993;0.5;3.3;0.8;27.5;21.6;11.2;10.4;6.6
344;51481 Woningtextiel en vloerbedekking;1994;0.5;3.3;0.8;28.5;23.0;11.8;11.2;6.2
345;51481 Woningtextiel en vloerbedekking;1995;0.5;4.0;0.8;30.2;25.5;11.3;14.2;5.6
346;51481 Woningtextiel en vloerbedekking;1996;0.5;3.8;0.8;29.1;25.8;12.7;13.1;5.2
347;51481 Woningtextiel en vloerbedekking;1997;0.6;4.3;0.9;27.7;23.9;10.7;13.2;4.2
348;51481 Woningtextiel en vloerbedekking;1998;0.6;3.8;1.0;28.0;24.0;10.6;13.4;4.4
349;51481 Woningtextiel en vloerbedekking;1999;0.6;3.7;0.9;30.9;27.7;12.5;15.1;3.4
350;51482 Huishoudelijke artikelen;1993;0.2;2.3;0.5;27.7;19.1;9.2;9.9;8.9
351;51482 Huishoudelijke artikelen;1994;0.2;2.1;0.5;30.1;19.2;8.7;10.5;11.2
352;51482 Huishoudelijke artikelen;1995;0.2;1.9;0.5;29.4;19.7;8.4;11.3;10.0
353;51482 Huishoudelijke artikelen;1996;0.3;1.9;0.5;28.5;23.4;10.5;12.9;5.4
354;51482 Huishoudelijke artikelen;1997;0.3;2.2;0.6;27.7;24.1;9.8;14.3;4.3
355;51482 Huishoudelijke artikelen;1998;0.3;2.3;0.6;26.9;22.3;9.6;12.7;5.2
356;51482 Huishoudelijke artikelen;1999;0.3;2.5;0.7;27.5;22.2;9.8;12.4;5.6
357;51483 t/m 51485 Drukwerk, papierwaren;1993;0.9;9.5;2.3;27.0;21.0;10.8;10.2;6.0
358;51483 t/m 51485 Drukwerk, papierwaren;1994;1.1;9.8;2.4;25.4;19.9;10.3;9.6;5.4
359;51483 t/m 51485 Drukwerk, papierwaren;1995;1.0;9.7;2.5;25.3;23.3;9.9;13.4;2.5
360;51483 t/m 51485 Drukwerk, papierwaren;1996;1.0;9.8;2.6;25.9;21.0;10.2;10.8;5.7
361;51483 t/m 51485 Drukwerk, papierwaren;1997;1.1;9.8;2.8;24.2;20.0;9.9;10.1;5.6
362;51483 t/m 51485 Drukwerk, papierwaren;1998;1.1;10.5;3.1;25.0;21.0;9.5;11.5;4.7
363;51483 t/m 51485 Drukwerk, papierwaren;1999;1.1;12.0;3.6;26.8;21.1;9.8;11.4;6.5
364;51486 Fietsen en bromfietsen;1993;0.3;1.4;0.5;19.3;15.0;8.0;7.0;6.7
365;51486 Fietsen en bromfietsen;1994;0.2;1.5;0.5;18.8;15.6;8.4;7.2;6.4
366;51486 Fietsen en bromfietsen;1995;0.3;1.6;0.5;21.5;17.2;8.2;9.0;4.3
367;51486 Fietsen en bromfietsen;1996;0.3;1.6;0.4;20.7;18.0;7.8;10.2;3.4
368;51486 Fietsen en bromfietsen;1997;0.3;1.7;0.5;22.9;19.1;8.3;10.8;4.4
369;51486 Fietsen en bromfietsen;1998;0.3;1.8;0.5;23.8;19.7;8.5;11.2;4.8
370;51486 Fietsen en bromfietsen;1999;0.3;1.8;0.6;25.7;20.8;9.6;11.1;5.4
371;51715 Overige non food consumenten art.;1993;;;;;;;;
372;51715 Overige non food consumenten art.;1994;;;;;;;;
373;51715 Overige non food consumenten art.;1995;;;;;;;;
374;51715 Overige non food consumenten art.;1996;2.9;10.9;2.3;29.6;23.9;9.8;14.1;6.9
375;51715 Overige non food consumenten art.;1997;3.0;11.0;2.3;29.2;23.4;9.9;13.5;6.7
376;51715 Overige non food consumenten art.;1998;3.1;11.8;2.7;28.2;22.3;9.3;13.0;6.4
377;51715 Overige non food consumenten art.;1999;2.8;14.5;2.7;29.2;24.5;11.0;13.4;5.8
378;5172 Algemeen assortiment cons. goederen;1993;;;;;;;;
379;5172 Algemeen assortiment cons. goederen;1994;;;;;;;;
380;5172 Algemeen assortiment cons. goederen;1995;;;;;;;;
381;5172 Algemeen assortiment cons. goederen;1996;2.6;7.3;2.5;18.5;14.5;5.9;8.6;5.7
382;5172 Algemeen assortiment cons. goederen;1997;2.6;9.4;2.5;18.4;13.6;6.1;7.5;5.6
383;5172 Algemeen assortiment cons. goederen;1998;2.7;9.3;2.6;18.2;14.3;5.6;8.7;4.3
384;5172 Algemeen assortiment cons. goederen;1999;2.2;9.0;2.6;18.2;14.6;7.0;7.6;4.7
385;516 Machines, apparaten en toebehoren;1993;11.8;109.4;29.5;27.8;21.6;12.6;9.0;6.7
386;516 Machines, apparaten en toebehoren;1994;12.2;111.4;31.6;26.3;20.5;11.9;8.6;6.5
387;516 Machines, apparaten en toebehoren;1995;12.2;113.2;32.8;26.6;21.5;11.5;10.0;5.8
388;516 Machines, apparaten en toebehoren;1996;12.6;121.8;43.2;24.0;19.4;9.6;9.8;5.4
389;516 Machines, apparaten en toebehoren;1997;13.2;129.2;48.7;22.1;18.3;9.3;9.0;4.6
390;516 Machines, apparaten en toebehoren;1998;13.8;139.5;55.5;22.7;18.4;9.0;9.4;5.0
391;516 Machines, apparaten en toebehoren;1999;13.6;151.7;63.6;24.6;19.1;9.1;10.0;6.1
392;5161 Gereedschapswerktuigen;1993;0.7;4.4;0.7;30.2;26.2;14.9;11.3;4.4
393;5161 Gereedschapswerktuigen;1994;0.7;4.2;0.8;30.8;27.7;14.6;13.1;3.7
394;5161 Gereedschapswerktuigen;1995;0.7;4.2;0.8;31.0;26.8;14.3;12.5;5.3
395;5161 Gereedschapswerktuigen;1996;0.7;4.5;1.0;34.7;27.0;14.4;12.6;8.4
396;5161 Gereedschapswerktuigen;1997;0.7;4.4;1.0;30.4;24.3;12.9;11.4;6.7
397;5161 Gereedschapswerktuigen;1998;0.7;4.6;1.0;31.7;25.7;14.1;11.6;6.9
398;5161 Gereedschapswerktuigen;1999;0.7;5.3;1.1;30.5;25.9;14.3;11.6;5.5
399;5162 Machines voor de bouw;1993;0.4;2.9;0.8;24.3;18.7;11.4;7.3;6.7
400;5162 Machines voor de bouw;1994;0.5;3.3;0.9;24.6;21.6;11.5;10.1;4.2
401;5162 Machines voor de bouw;1995;0.3;3.3;1.0;24.2;20.7;10.8;9.9;4.4
402;5162 Machines voor de bouw;1996;0.4;3.8;1.3;23.0;21.2;9.5;11.7;3.3
403;5162 Machines voor de bouw;1997;0.4;3.3;1.3;20.9;17.2;9.1;8.1;4.4
404;5162 Machines voor de bouw;1998;0.5;4.1;1.4;21.2;17.2;9.2;8.0;4.6
405;5162 Machines voor de bouw;1999;0.5;4.0;1.6;22.9;18.8;9.9;8.9;4.5
406;51641 Computers en -randapparatuur.;1993;2.0;25.5;9.9;28.8;21.7;12.7;9.0;7.7
407;51641 Computers en -randapparatuur.;1994;2.3;25.9;10.6;25.2;20.5;10.8;9.7;5.6
408;51641 Computers en -randapparatuur.;1995;2.6;26.1;10.8;25.8;19.9;10.5;9.4;6.7
409;51641 Computers en -randapparatuur.;1996;2.8;27.6;16.6;20.7;16.8;7.6;9.2;4.6
410;51641 Computers en -randapparatuur.;1997;3.1;32.6;20.5;18.3;15.5;7.1;8.4;3.5
411;51641 Computers en -randapparatuur.;1998;3.5;38.9;25.2;20.4;16.1;6.6;9.5;4.9
412;51641 Computers en -randapparatuur.;1999;3.6;43.6;31.1;23.6;16.6;6.5;10.1;7.4
413;51642 Kantoormachines;1993;0.5;7.2;3.8;17.5;13.5;6.4;7.1;4.2
414;51642 Kantoormachines;1994;0.5;7.6;4.5;16.0;12.9;5.7;7.2;3.3
415;51642 Kantoormachines;1995;0.4;7.6;4.5;16.5;13.1;5.6;7.5;3.6
416;51642 Kantoormachines;1996;0.5;7.0;5.5;14.0;10.8;4.2;6.6;3.3
417;51642 Kantoormachines;1997;0.5;8.0;6.5;13.0;10.2;4.2;6.0;3.0
418;51642 Kantoormachines;1998;0.5;8.8;7.1;13.5;11.0;4.5;6.5;2.7
419;51642 Kantoormachines;1999;0.5;9.0;7.9;14.0;12.0;4.6;7.4;2.4
420;51643 Kantoormeubels;1993;0.3;3.0;0.6;32.0;26.6;14.0;12.6;5.7
421;51643 Kantoormeubels;1994;0.3;2.5;0.5;28.2;25.7;12.6;13.1;3.1
422;51643 Kantoormeubels;1995;0.3;2.7;0.6;27.6;23.7;11.6;12.1;4.8
423;51643 Kantoormeubels;1996;0.4;2.7;0.6;27.8;23.7;11.2;12.5;4.8
424;51643 Kantoormeubels;1997;0.4;3.2;0.8;28.3;23.5;12.0;11.5;5.3
425;51643 Kantoormeubels;1998;0.4;3.5;0.9;28.4;22.8;11.2;11.6;6.1
426;51643 Kantoormeubels;1999;0.4;4.3;1.0;29.5;25.0;12.6;12.4;5.0
427;51651 Machines voor de grafische industr;1993;0.1;2.0;0.5;28.0;24.7;14.9;9.8;3.3
428;51651 Machines voor de grafische industr;1994;0.2;2.1;0.5;29.2;27.0;14.8;12.2;2.8
429;51651 Machines voor de grafische industr;1995;0.2;2.0;0.5;29.1;25.9;14.3;11.6;3.9
430;51651 Machines voor de grafische industr;1996;0.2;1.9;0.6;26.2;19.0;9.7;9.3;7.4
431;51651 Machines voor de grafische industr;1997;0.2;1.9;0.7;24.1;18.8;10.6;8.2;5.6
432;51651 Machines voor de grafische industr;1998;0.2;2.0;0.7;24.6;19.7;11.2;8.5;5.2
433;51651 Machines voor de grafische industr;1999;0.2;2.1;0.7;26.0;22.4;12.6;9.8;4.2
434;51653 Intern transportmateriaal;1993;0.3;4.2;0.9;31.0;25.0;14.6;10.4;6.4
435;51653 Intern transportmateriaal;1994;0.3;4.3;0.9;32.1;28.1;15.2;12.9;4.6
436;51653 Intern transportmateriaal;1995;0.3;4.4;0.9;32.6;27.3;15.2;12.1;6.0
437;51653 Intern transportmateriaal;1996;0.4;4.6;1.0;31.7;24.9;13.9;11.0;7.1
438;51653 Intern transportmateriaal;1997;0.4;4.7;1.1;30.8;25.8;14.4;11.4;6.0
439;51653 Intern transportmateriaal;1998;0.4;5.0;1.2;31.2;25.9;14.3;11.6;6.2
440;51653 Intern transportmateriaal;1999;0.4;5.5;1.3;31.3;27.1;15.2;11.9;5.5
441;51654 Machines voor warmte en koeltechn;1993;0.5;4.0;0.9;27.1;21.3;12.9;8.4;6.2
442;51654 Machines voor warmte en koeltechn;1994;0.6;4.6;1.2;25.3;21.2;11.4;9.8;4.7
443;51654 Machines voor warmte en koeltechn;1995;0.5;4.7;1.0;29.2;24.7;13.5;11.2;4.8
444;51654 Machines voor warmte en koeltechn;1996;0.5;4.9;1.1;29.5;23.8;13.6;10.2;6.0
445;51654 Machines voor warmte en koeltechn;1997;0.5;5.0;1.1;29.9;24.3;13.9;10.4;6.1
446;51654 Machines voor warmte en koeltechn;1998;0.5;5.3;1.2;29.3;23.8;13.7;10.1;6.1
447;51654 Machines voor warmte en koeltechn;1999;0.5;5.5;1.2;31.7;25.2;14.4;10.9;7.2
448;51655 Verbrandingsmotoren, pompen;1993;0.4;4.9;0.9;29.9;24.6;14.9;9.7;6.2
449;51655 Verbrandingsmotoren, pompen;1994;0.3;4.1;1.0;29.5;25.6;14.2;11.4;5.1
450;51655 Verbrandingsmotoren, pompen;1995;0.3;4.2;1.0;30.0;25.3;14.3;11.0;5.5
451;51655 Verbrandingsmotoren, pompen;1996;0.3;4.6;1.3;27.1;22.0;12.6;9.4;5.6
452;51655 Verbrandingsmotoren, pompen;1997;0.3;4.9;1.3;27.5;23.0;13.3;9.7;5.2
453;51655 Verbrandingsmotoren, pompen;1998;0.3;5.0;1.5;26.3;21.7;12.9;8.8;5.3
454;51655 Verbrandingsmotoren, pompen;1999;0.3;5.0;1.4;28.9;23.7;14.1;9.6;5.7
455;51656 Appendages, techn. toebehoren;1993;1.3;10.5;2.2;34.4;26.0;15.4;10.6;8.8
456;51656 Appendages, techn. toebehoren;1994;1.2;11.3;2.5;33.1;28.2;15.3;12.9;5.6
457;51656 Appendages, techn. toebehoren;1995;1.3;11.6;2.4;32.8;26.1;14.2;11.9;7.2
458;51656 Appendages, techn. toebehoren;1996;1.2;13.0;3.1;33.3;26.0;14.5;11.5;7.9
459;51656 Appendages, techn. toebehoren;1997;1.2;12.7;3.3;27.2;21.4;12.1;9.3;6.5
460;51656 Appendages, techn. toebehoren;1998;1.1;13.1;3.4;27.2;22.2;12.8;9.4;5.7
461;51656 Appendages, techn. toebehoren;1999;1.0;13.8;2.8;33.1;27.5;16.0;11.5;6.2
462;51657 Elektromotoren , schakelkasten e.d;1993;1.9;17.0;3.9;27.1;20.9;12.2;8.7;6.8
463;51657 Elektromotoren , schakelkasten e.d;1994;1.7;18.1;4.4;27.7;22.3;12.5;9.8;6.1
464;51657 Elektromotoren , schakelkasten e.d;1995;1.9;18.0;4.6;27.7;21.3;12.0;9.3;6.9
465;51657 Elektromotoren , schakelkasten e.d;1996;2.0;19.5;5.4;27.3;20.9;11.5;9.4;7.0
466;51657 Elektromotoren , schakelkasten e.d;1997;2.1;21.0;5.5;26.4;21.2;11.6;9.6;5.9
467;51657 Elektromotoren , schakelkasten e.d;1998;2.1;20.4;5.7;26.2;21.1;11.6;9.5;5.8
468;51657 Elektromotoren , schakelkasten e.d;1999;2.0;23.0;6.9;27.2;22.1;12.7;9.4;5.8
469;51658 Meet- en regelapparatuur;1993;0.5;5.1;1.1;29.1;24.2;15.0;9.2;6.6
470;51658 Meet- en regelapparatuur;1994;0.5;5.4;1.2;28.9;25.5;14.8;10.7;5.0
471;51658 Meet- en regelapparatuur;1995;0.5;5.6;1.3;30.2;26.4;15.4;11.0;5.3
472;51658 Meet- en regelapparatuur;1996;0.5;5.4;1.3;35.8;30.5;17.3;13.2;6.4
473;51658 Meet- en regelapparatuur;1997;0.6;5.5;1.4;33.0;27.9;16.0;11.9;6.5
474;51658 Meet- en regelapparatuur;1998;0.6;6.4;1.6;34.7;29.3;16.9;12.4;6.4
475;51658 Meet- en regelapparatuur;1999;0.6;6.8;1.7;33.5;27.7;15.8;11.9;6.7
476;5163, 51652 + 51659 Overige machines;1993;1.5;10.6;1.8;35.3;29.0;17.4;11.6;7.4
477;5163, 51652 + 51659 Overige machines;1994;1.4;12.1;1.9;34.5;31.6;16.8;14.8;4.2
478;5163, 51652 + 51659 Overige machines;1995;1.6;12.1;2.1;34.8;30.8;16.3;14.5;5.7
479;5163, 51652 + 51659 Overige machines;1996;1.7;14.0;2.5;33.1;28.5;14.4;14.1;6.3
480;5163, 51652 + 51659 Overige machines;1997;1.8;13.6;2.6;32.9;28.3;15.2;13.1;6.8
481;5163, 51652 + 51659 Overige machines;1998;1.8;14.4;2.9;32.8;28.7;15.7;13.0;6.5
482;5163, 51652 + 51659 Overige machines;1999;1.7;14.4;3.0;33.1;29.8;16.8;13.0;5.9
483;5166 Landbouwmachines en tractoren;1993;1.1;7.6;1.4;24.9;18.6;12.0;6.6;6.6
484;5166 Landbouwmachines en tractoren;1994;1.1;7.7;1.5;24.9;20.4;12.2;8.2;5.0
485;5166 Landbouwmachines en tractoren;1995;1.1;7.5;1.5;24.5;20.1;11.9;8.2;4.9
486;5166 Landbouwmachines en tractoren;1996;1.1;8.4;1.6;24.4;20.3;11.7;8.6;4.8
487;5166 Landbouwmachines en tractoren;1997;1.1;8.5;1.6;25.4;20.8;11.4;9.4;5.6
488;5166 Landbouwmachines en tractoren;1998;1.2;8.1;1.7;25.0;20.0;11.0;9.0;5.4
489;5166 Landbouwmachines en tractoren;1999;1.2;9.2;1.9;25.0;21.8;12.4;9.4;4.0
490;51711+51712+51714 Bedrijfsmeubels e.d.;1993;;;;;;;;
491;51711+51712+51714 Bedrijfsmeubels e.d.;1994;;;;;;;;
492;51711+51712+51714 Bedrijfsmeubels e.d.;1995;;;;;;;;
493;51711+51712+51714 Bedrijfsmeubels e.d.;1996;1.5;8.7;1.8;26.9;22.0;10.7;11.3;5.5
494;51711+51712+51714 Bedrijfsmeubels e.d.;1997;1.5;9.0;2.0;28.4;23.0;11.6;11.4;6.3
495;51711+51712+51714 Bedrijfsmeubels e.d.;1998;1.5;8.7;2.0;29.9;24.1;11.8;12.3;6.5
496;51711+51712+51714 Bedrijfsmeubels e.d.;1999;1.5;9.3;2.2;30.1;24.4;12.8;11.6;6.2
497;51713 Emballage;1993;0.9;5.2;1.8;20.9;14.5;7.5;7.0;6.6
498;51713 Emballage;1994;0.9;5.1;1.7;21.9;17.3;7.5;9.8;5.0
499;51713 Emballage;1995;1.0;5.4;1.6;23.3;17.3;8.0;9.3;6.3
500;51713 Emballage;1996;0.9;5.2;1.5;23.1;18.3;8.8;9.5;5.1
501;51713 Emballage;1997;0.9;5.5;1.7;21.6;17.1;8.1;9.0;5.2
502;51713 Emballage;1998;1.0;5.8;2.0;20.5;16.4;7.6;8.8;4.8
503;51713 Emballage;1999;0.9;6.5;2.0;21.4;18.1;8.8;9.3;4.6
