ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersInternetomzet_1;OmzetontwikkelingTOVEenJaarEerder_2
125;Detailhandel geen tankstations en apoth.;2021 juni;348.0;17.5
126;Detailhandel geen tankstations en apoth.;2021 2e kwartaal;356.0;17.3
127;Detailhandel geen tankstations en apoth.;2021 juli;296.0;11.2
128;Detailhandel geen tankstations en apoth.;2021 augustus;284.4;11.8
129;Detailhandel geen tankstations en apoth.;2021 september;300.7;11.6
130;Detailhandel geen tankstations en apoth.;2021 3e kwartaal;293.7;11.5
131;Detailhandel geen tankstations en apoth.;2021 oktober;313.7;4.8
132;Detailhandel geen tankstations en apoth.;2021 november;391.4;6.3
133;Detailhandel geen tankstations en apoth.;2021 december;429.7;3.9
134;Detailhandel geen tankstations en apoth.;2021 4e kwartaal;378.3;5.0
135;Detailhandel geen tankstations en apoth.;2021;356.3;24.9
136;Detailhandel geen tankstations en apoth.;2022 januari;373.8;-7.5
137;Detailhandel geen tankstations en apoth.;2022 februari;278.1;-25.8
138;Detailhandel geen tankstations en apoth.;2022 maart;321.2;-22.1
139;Detailhandel geen tankstations en apoth.;2022 1e kwartaal;324.4;-18.3
140;Detailhandel geen tankstations en apoth.;2022 april;308.6;-16.8
141;Detailhandel geen tankstations en apoth.;2022 mei;338.5;-3.0
142;Detailhandel geen tankstations en apoth.;2022 juni;332.3;-4.5
143;Detailhandel geen tankstations en apoth.;2022 2e kwartaal;326.4;-8.3
144;Detailhandel geen tankstations en apoth.;2022 juli;316.0;6.7
145;Detailhandel geen tankstations en apoth.;2022 augustus;293.1;3.1
146;Detailhandel geen tankstations en apoth.;2022 september;322.9;7.4
147;Detailhandel geen tankstations en apoth.;2022 3e kwartaal;310.7;5.8
148;Detailhandel geen tankstations en apoth.;2022 oktober;333.5;6.3
149;Detailhandel geen tankstations en apoth.;2022 november;420.9;7.5
150;Detailhandel geen tankstations en apoth.;2022 december;388.6;-9.6
151;Detailhandel geen tankstations en apoth.;2022 4e kwartaal;381.0;0.7
152;Detailhandel geen tankstations en apoth.;2022;335.6;-5.8
153;Detailhandel geen tankstations en apoth.;2023 januari;339.0;-9.3
154;Detailhandel geen tankstations en apoth.;2023 februari;287.7;3.4
155;Detailhandel geen tankstations en apoth.;2023 maart;336.5;4.8
156;Detailhandel geen tankstations en apoth.;2023 1e kwartaal;321.1;-1.0
157;Detailhandel geen tankstations en apoth.;2023 april;316.8;2.7
158;Detailhandel geen tankstations en apoth.;2023 mei ;353.2;4.4
159;Detailhandel geen tankstations en apoth.;2023 juni;348.2;4.8
160;Detailhandel geen tankstations en apoth.;2023 2e kwartaal;339.4;4.0
161;Detailhandel geen tankstations en apoth.;2023 juli;317.3;0.4
162;Detailhandel geen tankstations en apoth.;2023 augustus;303.1;3.4
163;Detailhandel geen tankstations en apoth.;2023 september;319.3;-1.1
164;Detailhandel geen tankstations en apoth.;2023 3e kwartaal ;313.3;0.8
165;Detailhandel geen tankstations en apoth.;2023 oktober;346.6;3.9
166;Detailhandel geen tankstations en apoth.;2023 november;420.3;-0.1
167;Detailhandel geen tankstations en apoth.;2023 december;381.5;-1.8
168;Detailhandel geen tankstations en apoth.;2023 4e kwartaal;382.8;0.5
169;Detailhandel geen tankstations en apoth.;2023;339.1;1.1
170;Detailhandel geen tankstations en apoth.;2024 januari;350.7;3.5
171;Detailhandel geen tankstations en apoth.;2024 februari;304.6;5.9
172;Detailhandel geen tankstations en apoth.;2024 maart;344.4;2.4
173;Detailhandel geen tankstations en apoth.;2024 1e kwartaal;333.3;3.8
174;Detailhandel geen tankstations en apoth.;2024 april;342.7;8.2
175;Detailhandel geen tankstations en apoth.;2024 mei;359.8;1.9
176;Detailhandel geen tankstations en apoth.;2024 juni;353.4;1.5
177;Detailhandel geen tankstations en apoth.;2024 2e kwartaal;352.0;3.7
178;Detailhandel geen tankstations en apoth.;2024 juli;344.9;8.7
179;Detailhandel geen tankstations en apoth.;2024 augustus;323.8;6.8
180;Detailhandel geen tankstations en apoth.;2024 september;349.7;9.5
181;Detailhandel geen tankstations en apoth.;2024 3e kwartaal;339.5;8.4
182;Detailhandel geen tankstations en apoth.;2024 oktober;365.6;5.5
183;Detailhandel geen tankstations en apoth.;2024 november;426.3;1.4
184;Detailhandel geen tankstations en apoth.;2024 december;425.4;11.5
185;Detailhandel geen tankstations en apoth.;2024 4e kwartaal;405.8;6.0
186;Detailhandel geen tankstations en apoth.;2024;357.6;5.5
187;Detailhandel geen tankstations en apoth.;2025 januari;364.2;3.8
188;Detailhandel geen tankstations en apoth.;2025 februari;316.2;3.8
189;Multi-channel (zwaartepunt niet online);2014 januari;77.6;17.0
190;Multi-channel (zwaartepunt niet online);2014 februari;63.3;17.0
191;Multi-channel (zwaartepunt niet online);2014 maart;77.0;16.5
192;Multi-channel (zwaartepunt niet online);2014 1e kwartaal;72.6;16.8
193;Multi-channel (zwaartepunt niet online);2014 april;83.2;32.3
194;Multi-channel (zwaartepunt niet online);2014 mei;80.6;19.0
195;Multi-channel (zwaartepunt niet online);2014 juni;79.9;15.4
196;Multi-channel (zwaartepunt niet online);2014 2e kwartaal;81.2;21.9
197;Multi-channel (zwaartepunt niet online);2014 juli;75.7;20.9
198;Multi-channel (zwaartepunt niet online);2014 augustus;75.2;25.0
199;Multi-channel (zwaartepunt niet online);2014 september;79.7;5.7
200;Multi-channel (zwaartepunt niet online);2014 3e kwartaal;76.9;16.4
201;Multi-channel (zwaartepunt niet online);2014 oktober;89.1;14.3
202;Multi-channel (zwaartepunt niet online);2014 november;92.6;12.1
203;Multi-channel (zwaartepunt niet online);2014 december;110.1;25.9
204;Multi-channel (zwaartepunt niet online);2014 4e kwartaal;97.3;17.7
205;Multi-channel (zwaartepunt niet online);2014;82.0;18.2
206;Multi-channel (zwaartepunt niet online);2015 januari;97.6;25.8
207;Multi-channel (zwaartepunt niet online);2015 februari;77.2;21.9
208;Multi-channel (zwaartepunt niet online);2015 maart;92.9;20.8
209;Multi-channel (zwaartepunt niet online);2015 1e kwartaal;89.2;22.9
210;Multi-channel (zwaartepunt niet online);2015 april;96.1;15.4
211;Multi-channel (zwaartepunt niet online);2015 mei;91.3;13.3
212;Multi-channel (zwaartepunt niet online);2015 juni;106.7;33.5
213;Multi-channel (zwaartepunt niet online);2015 2e kwartaal;98.0;20.6
214;Multi-channel (zwaartepunt niet online);2015 juli;93.6;23.8
215;Multi-channel (zwaartepunt niet online);2015 augustus;89.3;18.7
216;Multi-channel (zwaartepunt niet online);2015 september;100.8;26.5
217;Multi-channel (zwaartepunt niet online);2015 3e kwartaal;94.6;23.0
218;Multi-channel (zwaartepunt niet online);2015 oktober;112.2;25.9
219;Multi-channel (zwaartepunt niet online);2015 november;113.5;22.6
220;Multi-channel (zwaartepunt niet online);2015 december;128.8;17.0
221;Multi-channel (zwaartepunt niet online);2015 4e kwartaal;118.2;21.5
222;Multi-channel (zwaartepunt niet online);2015;100.0;22.0
223;Multi-channel (zwaartepunt niet online);2016 januari;112.9;15.7
224;Multi-channel (zwaartepunt niet online);2016 februari;93.8;21.5
225;Multi-channel (zwaartepunt niet online);2016 maart;105.7;13.8
226;Multi-channel (zwaartepunt niet online);2016 1e kwartaal;104.1;16.7
227;Multi-channel (zwaartepunt niet online);2016 april;105.2;9.5
228;Multi-channel (zwaartepunt niet online);2016 mei;116.9;28.0
229;Multi-channel (zwaartepunt niet online);2016 juni;121.8;14.2
230;Multi-channel (zwaartepunt niet online);2016 2e kwartaal;114.6;16.9
231;Multi-channel (zwaartepunt niet online);2016 juli;104.7;11.8
232;Multi-channel (zwaartepunt niet online);2016 augustus;100.6;12.7
233;Multi-channel (zwaartepunt niet online);2016 september;109.9;8.9
234;Multi-channel (zwaartepunt niet online);2016 3e kwartaal;105.0;11.1
235;Multi-channel (zwaartepunt niet online);2016 oktober;131.4;17.1
236;Multi-channel (zwaartepunt niet online);2016 november;146.2;28.8
237;Multi-channel (zwaartepunt niet online);2016 december;148.8;15.5
238;Multi-channel (zwaartepunt niet online);2016 4e kwartaal;142.1;20.3
239;Multi-channel (zwaartepunt niet online);2016;116.5;16.5
240;Multi-channel (zwaartepunt niet online);2017 januari;137.9;22.2
241;Multi-channel (zwaartepunt niet online);2017 februari;105.1;12.0
242;Multi-channel (zwaartepunt niet online);2017 maart;124.1;17.4
243;Multi-channel (zwaartepunt niet online);2017 1e kwartaal;122.4;17.5
244;Multi-channel (zwaartepunt niet online);2017 april;132.7;26.2
245;Multi-channel (zwaartepunt niet online);2017 mei;147.4;26.1
246;Multi-channel (zwaartepunt niet online);2017 juni;151.8;24.6
247;Multi-channel (zwaartepunt niet online);2017 2e kwartaal;144.0;25.6
248;Multi-channel (zwaartepunt niet online);2017 juli;127.6;22.0
249;Multi-channel (zwaartepunt niet online);2017 augustus;119.8;19.0
250;Multi-channel (zwaartepunt niet online);2017 september;143.8;30.9
251;Multi-channel (zwaartepunt niet online);2017 3e kwartaal;130.4;24.2
252;Multi-channel (zwaartepunt niet online);2017 oktober;145.7;10.9
253;Multi-channel (zwaartepunt niet online);2017 november;180.9;23.8
254;Multi-channel (zwaartepunt niet online);2017 december;191.7;28.9
255;Multi-channel (zwaartepunt niet online);2017 4e kwartaal;172.8;21.6
256;Multi-channel (zwaartepunt niet online);2017;142.4;22.2
257;Multi-channel (zwaartepunt niet online);2018  januari;173.9;26.0
258;Multi-channel (zwaartepunt niet online);2018 februari;127.3;21.2
259;Multi-channel (zwaartepunt niet online);2018 maart;160.0;28.9
260;Multi-channel (zwaartepunt niet online);2018 1e kwartaal;153.7;25.6
261;Multi-channel (zwaartepunt niet online);2018 april;175.6;32.2
262;Multi-channel (zwaartepunt niet online);2018 mei;176.1;19.5
263;Multi-channel (zwaartepunt niet online);2018 juni;189.9;25.1
264;Multi-channel (zwaartepunt niet online);2018 2e kwartaal;180.5;25.4
265;Multi-channel (zwaartepunt niet online);2018 juli;174.7;36.9
266;Multi-channel (zwaartepunt niet online);2018 augustus;156.8;30.9
267;Multi-channel (zwaartepunt niet online);2018 september;172.0;19.6
268;Multi-channel (zwaartepunt niet online);2018 3e kwartaal;167.8;28.7
269;Multi-channel (zwaartepunt niet online);2018 oktober;188.2;29.1
270;Multi-channel (zwaartepunt niet online);2018 november;241.8;33.6
271;Multi-channel (zwaartepunt niet online);2018 december;222.1;15.9
272;Multi-channel (zwaartepunt niet online);2018 4e kwartaal;217.4;25.8
273;Multi-channel (zwaartepunt niet online);2018;179.9;26.3
274;Multi-channel (zwaartepunt niet online);2019 januari;213.8;23.0
275;Multi-channel (zwaartepunt niet online);2019 februari;162.0;27.3
276;Multi-channel (zwaartepunt niet online);2019 maart;194.2;21.4
277;Multi-channel (zwaartepunt niet online);2019 1e kwartaal;190.0;23.6
278;Multi-channel (zwaartepunt niet online);2019 april;212.2;20.9
279;Multi-channel (zwaartepunt niet online);2019 mei;219.2;24.5
280;Multi-channel (zwaartepunt niet online);2019 juni;236.5;24.6
281;Multi-channel (zwaartepunt niet online);2019 2e kwartaal;222.7;23.3
282;Multi-channel (zwaartepunt niet online);2019 juli;203.6;16.5
283;Multi-channel (zwaartepunt niet online);2019 augustus;187.4;19.5
284;Multi-channel (zwaartepunt niet online);2019 september;222.4;29.3
285;Multi-channel (zwaartepunt niet online);2019 3e kwartaal;204.5;21.8
286;Multi-channel (zwaartepunt niet online);2019 oktober;223.1;18.5
287;Multi-channel (zwaartepunt niet online);2019 november;256.5;6.1
288;Multi-channel (zwaartepunt niet online);2019 december;287.7;29.6
289;Multi-channel (zwaartepunt niet online);2019 4e kwartaal;255.8;17.7
290;Multi-channel (zwaartepunt niet online);2019;218.2;21.3
291;Multi-channel (zwaartepunt niet online);2020 januari;237.9;11.2
292;Multi-channel (zwaartepunt niet online);2020 februari;195.3;20.4
293;Multi-channel (zwaartepunt niet online);2020 maart;285.7;46.9
294;Multi-channel (zwaartepunt niet online);2020 1e kwartaal;239.6;26.0
295;Multi-channel (zwaartepunt niet online);2020 april;404.9;91.9
296;Multi-channel (zwaartepunt niet online);2020 mei;359.7;64.2
297;Multi-channel (zwaartepunt niet online);2020 juni;356.8;51.4
298;Multi-channel (zwaartepunt niet online);2020 2e kwartaal;373.8;68.5
299;Multi-channel (zwaartepunt niet online);2020 juli;307.9;51.1
300;Multi-channel (zwaartepunt niet online);2020 augustus;284.6;51.3
301;Multi-channel (zwaartepunt niet online);2020 september;313.4;41.2
302;Multi-channel (zwaartepunt niet online);2020 3e kwartaal;302.0;47.6
303;Multi-channel (zwaartepunt niet online);2020 oktober;345.7;55.8
304;Multi-channel (zwaartepunt niet online);2020 november;440.4;71.7
305;Multi-channel (zwaartepunt niet online);2020 december;521.4;80.9
306;Multi-channel (zwaartepunt niet online);2020 4e kwartaal;435.8;70.6
307;Multi-channel (zwaartepunt niet online);2020;337.8;54.9
308;Multi-channel (zwaartepunt niet online);2021 januari;541.2;127.5
309;Multi-channel (zwaartepunt niet online);2021 februari;511.8;162.1
310;Multi-channel (zwaartepunt niet online);2021 maart;546.1;91.1
311;Multi-channel (zwaartepunt niet online);2021 1e kwartaal;533.0;122.4
312;Multi-channel (zwaartepunt niet online);2021 april;483.5;19.4
313;Multi-channel (zwaartepunt niet online);2021 mei;416.4;15.8
314;Multi-channel (zwaartepunt niet online);2021 juni;426.1;19.4
315;Multi-channel (zwaartepunt niet online);2021 2e kwartaal;442.0;18.2
316;Multi-channel (zwaartepunt niet online);2021 juli;332.3;7.9
317;Multi-channel (zwaartepunt niet online);2021 augustus;317.5;11.6
318;Multi-channel (zwaartepunt niet online);2021 september;342.6;9.3
319;Multi-channel (zwaartepunt niet online);2021 3e kwartaal;330.8;9.6
320;Multi-channel (zwaartepunt niet online);2021 oktober;365.5;5.7
321;Multi-channel (zwaartepunt niet online);2021 november;445.3;1.1
322;Multi-channel (zwaartepunt niet online);2021 december;520.4;-0.2
323;Multi-channel (zwaartepunt niet online);2021 4e kwartaal;443.7;1.8
324;Multi-channel (zwaartepunt niet online);2021;437.4;29.5
325;Multi-channel (zwaartepunt niet online);2022 januari;468.8;-13.4
326;Multi-channel (zwaartepunt niet online);2022 februari;305.4;-40.3
327;Multi-channel (zwaartepunt niet online);2022 maart;377.8;-30.8
328;Multi-channel (zwaartepunt niet online);2022 1e kwartaal;384.0;-28.0
329;Multi-channel (zwaartepunt niet online);2022 april;366.1;-24.3
330;Multi-channel (zwaartepunt niet online);2022 mei;397.7;-4.5
331;Multi-channel (zwaartepunt niet online);2022 juni;393.1;-7.7
332;Multi-channel (zwaartepunt niet online);2022 2e kwartaal;385.6;-12.8
333;Multi-channel (zwaartepunt niet online);2022 juli;364.3;9.6
334;Multi-channel (zwaartepunt niet online);2022 augustus;326.8;3.0
335;Multi-channel (zwaartepunt niet online);2022 september;377.6;10.2
336;Multi-channel (zwaartepunt niet online);2022 3e kwartaal;356.2;7.7
337;Multi-channel (zwaartepunt niet online);2022 oktober;385.2;5.4
338;Multi-channel (zwaartepunt niet online);2022 november;490.0;10.0
339;Multi-channel (zwaartepunt niet online);2022 december;436.5;-16.1
340;Multi-channel (zwaartepunt niet online);2022 4e kwartaal;437.2;-1.5
341;Multi-channel (zwaartepunt niet online);2022;390.8;-10.7
342;Multi-channel (zwaartepunt niet online);2023 januari;375.2;-20.0
343;Multi-channel (zwaartepunt niet online);2023 februari;301.4;-1.3
344;Multi-channel (zwaartepunt niet online);2023 maart;370.3;-2.0
345;Multi-channel (zwaartepunt niet online);2023 1e kwartaal;349.0;-9.1
346;Multi-channel (zwaartepunt niet online);2023 april;371.8;1.6
347;Multi-channel (zwaartepunt niet online);2023 mei ;422.9;6.3
348;Multi-channel (zwaartepunt niet online);2023 juni;427.4;8.7
349;Multi-channel (zwaartepunt niet online);2023 2e kwartaal;407.4;5.6
350;Multi-channel (zwaartepunt niet online);2023 juli;357.7;-1.8
351;Multi-channel (zwaartepunt niet online);2023 augustus;339.1;3.8
352;Multi-channel (zwaartepunt niet online);2023 september;349.2;-7.5
353;Multi-channel (zwaartepunt niet online);2023 3e kwartaal ;348.7;-2.1
354;Multi-channel (zwaartepunt niet online);2023 oktober;385.7;0.1
355;Multi-channel (zwaartepunt niet online);2023 november;466.7;-4.7
356;Multi-channel (zwaartepunt niet online);2023 december;417.0;-4.5
357;Multi-channel (zwaartepunt niet online);2023 4e kwartaal;423.1;-3.2
358;Multi-channel (zwaartepunt niet online);2023;382.1;-2.2
359;Multi-channel (zwaartepunt niet online);2024 januari;387.5;3.3
360;Multi-channel (zwaartepunt niet online);2024 februari;306.3;1.6
361;Multi-channel (zwaartepunt niet online);2024 maart;371.7;0.4
362;Multi-channel (zwaartepunt niet online);2024 1e kwartaal;355.2;1.8
363;Multi-channel (zwaartepunt niet online);2024 april;385.4;3.7
364;Multi-channel (zwaartepunt niet online);2024 mei;404.3;-4.4
365;Multi-channel (zwaartepunt niet online);2024 juni;396.7;-7.2
366;Multi-channel (zwaartepunt niet online);2024 2e kwartaal;395.5;-2.9
367;Multi-channel (zwaartepunt niet online);2024 juli;373.0;4.3
368;Multi-channel (zwaartepunt niet online);2024 augustus;344.6;1.6
369;Multi-channel (zwaartepunt niet online);2024 september;372.7;6.7
370;Multi-channel (zwaartepunt niet online);2024 3e kwartaal;363.4;4.2
371;Multi-channel (zwaartepunt niet online);2024 oktober;388.8;0.8
372;Multi-channel (zwaartepunt niet online);2024 november;458.6;-1.7
373;Multi-channel (zwaartepunt niet online);2024 december;447.0;7.2
374;Multi-channel (zwaartepunt niet online);2024 4e kwartaal;431.5;2.0
375;Multi-channel (zwaartepunt niet online);2024;386.4;1.1
376;Multi-channel (zwaartepunt niet online);2025 januari;391.9;1.1
377;Multi-channel (zwaartepunt niet online);2025 februari;302.1;-1.4
378;4791 Postorderbedrijven, webwinkels;2014 januari;76.9;3.8
379;4791 Postorderbedrijven, webwinkels;2014 februari;69.7;4.0
380;4791 Postorderbedrijven, webwinkels;2014 maart;75.4;9.1
381;4791 Postorderbedrijven, webwinkels;2014 1e kwartaal;74.0;5.6
382;4791 Postorderbedrijven, webwinkels;2014 april;77.5;13.0
383;4791 Postorderbedrijven, webwinkels;2014 mei;80.2;5.9
384;4791 Postorderbedrijven, webwinkels;2014 juni;80.5;8.6
385;4791 Postorderbedrijven, webwinkels;2014 2e kwartaal;79.4;9.1
386;4791 Postorderbedrijven, webwinkels;2014 juli;78.9;2.7
387;4791 Postorderbedrijven, webwinkels;2014 augustus;77.4;7.8
388;4791 Postorderbedrijven, webwinkels;2014 september;81.7;4.2
389;4791 Postorderbedrijven, webwinkels;2014 3e kwartaal;79.4;4.8
390;4791 Postorderbedrijven, webwinkels;2014 oktober;82.5;8.8
391;4791 Postorderbedrijven, webwinkels;2014 november;91.3;11.8
392;4791 Postorderbedrijven, webwinkels;2014 december;110.3;18.4
393;4791 Postorderbedrijven, webwinkels;2014 4e kwartaal;94.7;13.3
394;4791 Postorderbedrijven, webwinkels;2014;81.9;8.4
